0.00011079+0.00076654i,0.00046751-0.00048142i,-0.001767-0.00025742i,-0.0031783+0.00095793i,-0.0023219+0.0012914i,-0.00060936+0.0012715i,0.00041274+0.0011783i,0.00085195+0.00043398i,0.0012207-0.00011426i,0.00059772-0.00048372i,-0.0001867-0.0010697i,9.7191e-05-0.0012161i,0.00012336-0.00069379i,0.00024896-0.00085501i,0.00043134-0.0010869i,0.00045469-0.00056353i,0.00072197-0.00030971i,0.00044951-0.00023848i,6.2378e-05+8.9704e-05i,0.00031435+0.00014146i,0.00023935-8.5555e-05i,0.00028277+8.5968e-05i,-2.2526e-05+8.7098e-05i
0.001551+0.0010098i,0.00099839+0.00072866i,0.001156-0.00042249i,0.00082548-0.0016983i,0.00045162-0.0014391i,0.00062268-0.00028475i,0.0006845+0.00037611i,0.00043616-8.2778e-05i,-7.4042e-05-0.00044567i,-0.00044228+0.00025787i,0.0002351+0.00028128i,0.0012808-0.00070426i,0.00086119-0.0006458i,0.00053962-0.0008125i,0.00042066-0.00052386i,7.9492e-05+0.00070231i,0.00015271+0.00079623i,0.00025966-0.00043111i,0.00037603-0.00061681i,0.00032395+0.000271i,-0.00011102+0.0006599i,7.6857e-05+0.00084619i,1.3581e-05+0.00047349i
-0.00012131-0.0010211i,0.00038414-0.0011807i,0.0010611-0.00035738i,0.00090168-5.7565e-06i,0.00016861+0.0012265i,-8.1133e-05+0.0018381i,-4.8556e-05+0.0011882i,0.00055401+8.2577e-05i,0.00039237-1.8409e-05i,-0.00045497+0.00046312i,-0.00081965+0.00026813i,-0.00055704+6.2992e-05i,-0.00047389+0.00046237i,-0.00035634+0.00043834i,8.3873e-05-0.00021096i,0.00081905-0.00036845i,0.00077679+0.000417i,0.000107+0.0011284i,-0.00041562+0.0014187i,0.00021909+0.0010324i,6.9233e-05+0.00043131i,-0.00038289+0.00029878i,0.00031237+0.00072182i
-0.00021216-0.00085509i,-7.1369e-05-0.0011327i,0.00038534-0.00014185i,-0.00078091-0.00024911i,-0.001192+0.00012715i,-0.00058659+0.00068961i,-0.00028725+0.00028043i,0.00044583+5.9491e-05i,0.00087718-0.00034099i,0.00013807-0.00019405i,-0.00034933+0.00034175i,-0.00034143+7.4704e-05i,8.2595e-05+0.00035861i,-0.00014882+0.00078409i,-0.00039945+0.00061816i,-3.8233e-05+0.00019218i,-0.00010157-0.00041826i,-0.00030088-0.0010432i,-0.00044714-0.00076956i,-0.00023598-0.00023638i,-0.00069081+0.00020673i,-0.00092178-0.00013506i,0.00039631-0.00087598i
0.0015966-0.0016762i,0.00066197-0.0015509i,-9.9296e-05-0.0016646i,-0.00081928-0.001171i,-0.0015168+7.9438e-05i,-0.0010336+0.0011622i,-0.00048458+0.00093024i,3.4911e-05+0.00042363i,0.00064413-2.719e-05i,0.00023808-0.00048283i,-0.00095169-0.0009172i,-0.0017173-0.0008462i,-0.0015165-0.00062046i,-0.00085817-0.00026177i,-0.00010546+0.00059996i,-0.00010505+0.00025091i,-0.00042782-0.00088461i,-0.00012832-0.00098367i,0.00022286-0.00054094i,-8.2984e-06-0.00052834i,0.00024567-0.00063187i,0.00060683-0.00055599i,7.5601e-05-0.00072782i
-3.364e-05+0.0021962i,-1.8895e-05+0.0018662i,-0.00021451+0.0010602i,-0.0004395+0.00044529i,-0.00050883-0.00021078i,0.00050816-0.001037i,0.0012248-0.0015978i,0.00053763-0.0016617i,0.00019211-0.00077832i,0.00099638-0.00010249i,0.00088625-0.00051686i,0.00089151-0.00070041i,0.00075861-0.00012426i,-4.5042e-05+0.0001939i,-0.00031562-4.7358e-06i,0.00041543+6.2567e-05i,0.00065268+0.00037322i,-0.00010989-0.00013657i,0.00040212-0.00049844i,0.00087961-0.00013626i,0.00081981+0.00030521i,0.0010114-0.00013848i,0.00040135-0.00047053i
0.0010586-0.00097545i,0.00045114-0.00024395i,-0.0012586-0.0015208i,-0.003116-0.0010133i,-0.0035987+0.00028895i,-0.0019142+0.00045251i,-9.9308e-05+0.0009092i,0.00059938+0.0012153i,0.00078056+0.00069796i,0.00038969+0.00028009i,-0.00030997-0.00013161i,-0.00048651-7.0563e-05i,-2.7384e-05+7.5567e-05i,0.00063203-0.00050765i,0.0010563-2.1714e-05i,0.0011562+0.00057808i,0.00059275+0.00021759i,0.00077303-0.00041871i,0.0010246-0.00011154i,0.00038676+0.00043808i,0.00030526+0.00043376i,1.951e-05+0.00015922i,-0.00060768+0.00015798i
-0.0017832-0.0033996i,-0.0025165-0.0019407i,-0.0040777-8.973e-05i,-0.0046734+0.00054314i,-0.0027376+0.00083979i,-0.00016+0.00037929i,0.0010093-0.00044423i,0.00073951-0.0012459i,-0.00023926-0.0011117i,-0.00018838-6.8136e-05i,-0.00013004+0.00030567i,-0.00041989+0.00015101i,0.00025067-0.00019713i,0.0010377-0.00086726i,0.0010911-0.00056456i,0.0004314-0.00038461i,-1.6092e-06-0.00017074i,0.00026753+0.00023443i,-2.3787e-05+0.00059662i,-0.00069333+0.0011975i,-0.00036406+0.00052674i,1.1893e-05-0.00078104i,-0.00066054-0.0010233i
0.0026438-0.0025436i,0.0024107-0.0019651i,0.0022221-0.002613i,0.0007511-0.0033353i,-0.00062728-0.0019614i,-0.0019231+4.2272e-06i,-0.0020779+0.00075964i,-0.0012897-0.00060792i,-0.0011272-0.0014144i,-0.0016431-0.00043649i,-0.0015388+0.00034566i,-0.00073266+1.7131e-05i,-0.00058168-0.00040265i,-6.4642e-05+0.00071996i,0.00085963+0.0017903i,0.00068061+0.00071703i,0.00072375-0.00031266i,0.00073194-0.00052017i,0.0013233-0.00036704i,0.0014323+0.00031404i,0.00028918+0.00045974i,9.7073e-05+0.00033467i,0.00063556-0.00013397i
-0.0030562-0.0026492i,-0.0024512-0.0005964i,-0.0042583+0.00014044i,-0.0042141+0.00044897i,-0.002605+0.00053699i,-0.0011986+0.00024458i,0.00033662-0.00024281i,0.0015683+0.00028392i,0.00048687+0.00040534i,-0.00072769+7.5375e-05i,-0.00042875+0.00027161i,0.00025983-0.00031435i,0.00060467-0.0011785i,0.00058029-0.0014353i,0.00030217-0.00084413i,0.0002642-0.00050383i,0.00054642-0.0011441i,0.00050356-0.00072805i,0.00013919-0.00049059i,-0.00021504-0.00028628i,-0.00068081+0.00052995i,-0.0011958+0.00097327i,-0.0014898+0.0015434i
0.0013378+0.00010925i,0.0012597+0.00020474i,0.00096323+0.00036647i,5.2685e-05+0.00043105i,-0.0011578+0.00076662i,-0.00078689+0.00029426i,0.00016278+0.00044645i,0.00035028+0.00061842i,0.00010424+0.00038166i,-0.00025571+0.00033289i,-0.00074804-0.00039843i,-0.00046493-0.00077016i,0.00034726-0.00015543i,0.00064334+0.00038548i,0.00050001+0.00046564i,0.00042785+0.00054861i,0.0010564+0.0010004i,0.0011111+0.00081228i,0.00043478+0.00052479i,0.00019647+1.7997e-05i,0.00029889-0.00051089i,0.00022292-0.00019489i,-0.00065612-5.2071e-05i
-1.7975e-05-0.00038187i,-0.00080845-0.0015713i,-0.00098055-0.0012685i,-0.0018162-0.0007327i,-0.0017101-0.00027737i,-0.00016566+0.00019649i,0.0012565+0.00050492i,0.00090814+0.00075771i,0.00040697+0.00049414i,0.00074606+0.00011916i,0.0009731+0.00017172i,0.00097985+0.00034652i,0.00055888+6.0704e-05i,0.00015087-0.00019312i,-0.00020645+9.5784e-05i,3.1786e-05+0.00063228i,0.00037621+0.00068639i,0.0002787-0.00016864i,0.00023438-0.00050807i,0.00040755-0.00044938i,0.00072574-0.00010822i,0.00017039-7.7714e-05i,-0.00043422-0.0003059i
0.00096694-0.003089i,0.00041288-0.001536i,0.00085646+0.00018011i,-0.00059062+0.00034342i,-0.0021704+0.00011998i,-0.0015391+0.00019919i,-8.5435e-05-0.00043103i,0.0013532-0.00080867i,0.0010675-0.00063832i,-0.00058681-0.00041741i,-0.00095801-0.00034777i,-0.00064262+0.00031433i,-0.00097769+0.00075826i,-0.00029847+0.00039037i,0.00075971+0.00010374i,0.00088487+2.4221e-05i,-0.00025715-0.00030052i,-0.00065595-0.00030857i,-0.0003423-0.00028577i,6.027e-05-0.00074034i,0.00064545-0.00057462i,0.00044501-0.00041778i,0.00038399-0.00031813i
0.0014352-0.00048677i,0.0016177-0.00013576i,0.001708-0.0012187i,0.00080676-0.0020089i,-0.0007945-0.0012084i,-3.3411e-05-6.0404e-05i,0.00096154+0.00066715i,0.00061819+0.00083459i,0.00019844+0.00067645i,-0.00053912+3.0446e-05i,-0.0014367-0.00077799i,-0.001208-0.00033522i,0.00031396+0.00015138i,0.0011473+0.00011346i,0.0011556+0.00016714i,0.0009998-0.00071561i,0.00038568-0.00068524i,0.0003296-0.00022266i,0.00038712-0.00011884i,-0.00031575+0.00014881i,-0.0001441+0.00081347i,0.00072267+0.00085443i,-0.0001169+0.00017863i
-0.0011935+0.0035957i,-0.000775+0.0038822i,-0.00054081+0.003451i,0.0006802+0.0031074i,0.0020637+0.002123i,0.0020468+0.0011215i,0.001627+0.00074509i,0.0013343+0.00054105i,0.001072+0.00038378i,0.00094656-7.3675e-05i,0.00031664-0.0013282i,-0.00039097-0.0022023i,-0.00084382-0.0014068i,-0.00059531+0.00042376i,-4.4693e-05+0.00083882i,0.00031469+0.00019801i,0.000565+0.00052576i,0.00026888+0.0010037i,0.00015887+0.0012336i,0.00011861+0.00066619i,-0.00014231+0.00044999i,-0.00035521+0.00080945i,-0.00086592+0.00055111i
-0.0014241-0.0021373i,-0.0011221-0.0024712i,-0.0021797-0.0028954i,-0.0031999-0.00032081i,-0.0028686+0.0020474i,-0.0013797+0.0014185i,0.00048541+0.00011739i,0.0014094-0.00011819i,0.00092398-0.00020343i,-0.0004339+2.4477e-05i,-0.00073571+0.00072576i,1.5232e-05+0.00066127i,0.00031552+0.00021683i,0.00033313+9.6011e-05i,0.00027436+0.00019093i,0.00016225+0.00023587i,0.00063845+6.1467e-05i,0.0001677-0.00019484i,-0.00012194+0.00010516i,6.027e-05+0.00092786i,0.00010413+0.00064723i,-0.00017828-0.00022938i,-0.00024293-0.00027911i
0.0005303+7.5281e-05i,0.00058514+0.0015182i,0.00095933+0.00016419i,0.00049691-0.00025069i,0.00016519+0.00022339i,0.00087429+0.00044742i,0.0013679+0.00013537i,0.001353-0.00031499i,0.00074633-0.00017275i,-0.00020506+0.0002121i,5.0632e-05+0.00094341i,0.0011821+0.00070623i,0.00033531+0.0002297i,-0.00056963+0.00010225i,-0.00039087-0.00049253i,0.00019403-0.00045076i,9.2043e-05-7.2195e-05i,-0.00027802-8.9266e-05i,4.9574e-05+5.0355e-05i,4.4941e-05+0.0003476i,-0.00044465-0.0002289i,-0.00026702-0.00089754i,-4.9192e-05-0.00064095i
-0.00071089-6.7277e-05i,-0.0016967+0.0009015i,-0.0032467+0.00017666i,-0.0045099-0.00058732i,-0.0037521-0.00066069i,-0.0014077-0.00014298i,-0.00016756-0.00012561i,-0.00024139-0.00045888i,0.00026486-0.00087414i,0.00063257-0.00034871i,-2.6218e-05+0.00057312i,-0.00078019+0.00039532i,-0.00087348-0.00010597i,-0.00032426-1.5585e-05i,0.00023936+0.00040212i,0.00051544+9.0083e-05i,0.00093817-0.00069492i,0.0015891-0.00087002i,0.00093249-5.4021e-05i,-0.00011277+0.00064673i,-0.00043262-0.00034625i,0.00015736-0.00092025i,0.00011513-8.1836e-05i
8.2401e-05-0.00090556i,0.00014077-0.00080539i,-0.0012661-0.0011987i,-0.0023678-0.0015375i,-0.0013029-0.001338i,0.00023674-0.00040166i,0.0013217+0.00049838i,0.0016098-0.0001729i,0.0014363-0.00051467i,0.0007785-7.6716e-05i,0.00047839+0.00018214i,0.00010555-0.00018384i,0.00078253-0.00044776i,0.0021419-0.00063511i,0.0014057-0.00043749i,3.0107e-05+2.3128e-05i,0.00044639+0.00035391i,0.001124+3.357e-05i,0.0011052-0.00024006i,0.00025025-0.00041063i,-0.00026981-0.00084623i,-9.1569e-05-0.00083381i,2.1283e-05-0.00033682i
4.4517e-06+0.0006715i,0.0020026+0.00046655i,0.0032684+0.001101i,0.0019615+0.00079381i,6.3762e-05+0.00055677i,0.00040868+0.00087573i,0.00081189+0.00096552i,0.00090847+0.00081715i,0.0020567+0.00055255i,0.0020338+0.00032755i,0.00073754-0.00033438i,3.0316e-05-0.00011233i,0.00060541+4.7415e-05i,0.00039934-0.0002761i,-3.2348e-05+0.00021093i,-0.00013917+0.00060406i,0.00048312+0.0010117i,0.00061387+0.0012565i,-0.00043041+0.00061689i,-0.00098123+4.5957e-05i,-1.1913e-05+0.00032395i,0.00049292+0.00092486i,1.1849e-05+0.00023781i
0.0010317+0.002349i,9.5085e-05+0.002971i,-0.0007898+0.0030685i,-0.00059151+0.002222i,0.00051326+0.00091383i,0.0013847+0.00078186i,0.0019216+0.0010766i,0.001862+0.00018979i,0.00095497+8.9797e-05i,0.00036563+0.00071905i,0.00032133+0.00071184i,0.00030221+0.0005294i,-0.00054418+0.00057076i,-0.00088846-1.0489e-05i,-0.00057347-0.00013931i,-0.00043712+0.00066206i,0.00010663+0.0011034i,0.0003466+0.00061882i,0.00065431-0.00051861i,0.0010689-0.0011055i,0.0014426-0.00059873i,0.00088891-0.00015644i,8.1895e-05+0.00047263i
-0.0018774-0.00088056i,-0.0025172-0.0012329i,-0.0029416-0.00033756i,-0.0024418+0.00057673i,-0.00063732+4.52e-05i,-0.00056648-0.00053999i,-0.00045705-0.00059987i,0.00023788-8.6033e-05i,-8.1734e-05+0.00071337i,-0.0010829+0.00083637i,-0.00078109+0.00047352i,0.00053795+0.00046108i,0.0011905+0.00026523i,0.00053477-0.0004026i,-0.00054978-0.00066876i,-9.4402e-05-0.00068142i,0.00017864-0.00076564i,-0.00049853-0.0007297i,-0.00062404-0.00045187i,7.5358e-05-0.00035354i,0.00058731+2.3542e-05i,0.00013046+0.00039948i,-0.0003645+0.00076652i
0.00062698-0.00044235i,0.0014167-0.0015402i,0.0020238-0.0022822i,0.0012897-0.00063832i,-0.00043696+0.0015243i,-0.00027323+0.0014851i,0.00091659+0.0010565i,0.0012185+0.00059598i,0.00051131+0.0001158i,-0.00051918-0.00051355i,-0.00061176-0.00089814i,-0.00013905-8.4806e-05i,0.0002661+0.00047871i,0.00071136+0.00050965i,0.00074486-0.00012684i,0.00030282-0.00070064i,0.00033594-0.00059456i,0.00035317-0.00059161i,0.00087684-0.00046573i,0.00084793+0.00010919i,-0.0002196+0.00044785i,-0.00059251+0.00048565i,-0.00039996+0.00033656i
-0.00084075+0.0024466i,-0.00056527+0.0028374i,0.00029598+0.0035218i,0.0018055+0.0036372i,0.0010318+0.0023873i,0.00013178+0.00099214i,0.00072378-0.00023088i,0.0010587-0.00067447i,0.0011595-0.00058745i,0.00040371-0.0003886i,-0.00040716-0.00075148i,4.1966e-05-0.0015347i,7.6569e-05-0.0014259i,-0.00062295-0.0003811i,-0.00029981+0.00060315i,0.00041222+0.00070318i,0.0010876+0.00046068i,0.0010837+0.00061574i,0.00052329+0.0012207i,0.00062571+0.00081058i,0.0006711-5.5998e-07i,-0.00010361+0.00021679i,-0.0006915+0.00016767i
0.00041737-0.0028344i,0.00041096-0.0017006i,-0.0010889-0.00086483i,-0.0031377+2.0683e-06i,-0.0033756+0.0015192i,-0.001495+0.001663i,0.0003804+0.00056873i,0.0013239-0.00033798i,0.0009158-0.00089503i,0.00041507-0.0011461i,0.00020446-0.00040848i,0.00046241+0.0013927i,0.0010962+0.0020571i,0.0006764+0.00084369i,-0.00018201-0.00016747i,-0.00069806-0.00049466i,-0.00088376-2.1029e-05i,-4.6e-05-0.00019615i,0.00054901-0.00021036i,0.00074483+0.00082614i,0.00092873+0.0010356i,0.00015553+0.0009255i,-0.00017107+0.00054692i
0.00065109+0.0008302i,0.00032736+0.00054559i,-0.00064566+0.00023989i,-0.0015089-0.00037957i,-0.0011443-0.00093329i,-0.00065533-0.00068986i,0.00016198-0.00021103i,0.00088598+0.00018928i,0.00063997+0.00020349i,0.0003858-0.00038094i,-0.00058063-0.00080183i,-0.0014188-0.00047442i,-0.0012904-8.0392e-05i,-0.00090377-0.00045939i,-0.0011003-0.00066957i,-0.0013719-0.00060078i,-0.00089595-0.00065259i,-0.00053021-0.0013802i,-0.00034984-0.0011277i,0.00042094-0.00044961i,0.00086088-0.00012619i,0.00015812+0.00030646i,-0.00086141+0.00026025i
0.0012242-0.0026962i,0.00067048-0.0032232i,-0.00018645-0.0047578i,-0.0017-0.0034775i,-0.0026873-0.0015571i,-0.0013804-0.00035022i,0.00035677-0.00011583i,0.0006087-0.00032264i,0.00033535-0.00061889i,-0.00069031-0.00045123i,-0.0014642+0.00016381i,-0.00063235+0.00077066i,0.00023421+0.00075864i,0.00033039-0.00032204i,0.00044241-0.00027811i,0.0005975+0.00027289i,0.00051597-1.1213e-05i,0.00072256+2.4514e-05i,0.0012925+0.00017881i,0.00085587-0.00018422i,0.00044522+0.00010147i,-0.00012674+0.00060516i,-0.00045877+0.00023883i
-3.7035e-05+0.0014007i,0.0012329+0.0021109i,0.0015317+0.0025752i,0.00041918+0.0014817i,-0.00016328+0.00069485i,-8.8807e-05+0.0013097i,0.00067424+0.0011117i,0.0015115+0.00079469i,0.0013861+0.00043483i,0.00063968-3.3049e-05i,2.5464e-05-0.00057214i,9.8476e-05-0.0012076i,0.00023994-0.00094669i,0.00019434-0.00018377i,0.00022152+0.00079747i,0.00063336+0.00070838i,0.00094535+0.0001234i,0.00051331+3.0459e-05i,0.00034264-0.00033372i,0.00034735-0.00029577i,0.00022684-0.00042493i,0.00054759-0.00099605i,0.00091502-0.00049193i
0.00042831-0.00092633i,-0.00043272-0.00049431i,-0.0013647-0.00017453i,-0.0013323-0.00027732i,5.3645e-05-0.0007737i,0.0010653-0.0014518i,0.001512-0.0014477i,0.0015448-0.00088395i,0.00090459-0.00013862i,0.00046626+0.00024207i,0.00077004+0.00010101i,0.0010409-0.0005604i,0.0013386-0.0010048i,0.00086639+0.00013268i,-9.835e-05+0.0010093i,-0.0004523+0.0010002i,-8.6219e-06+0.00046355i,0.0007805+0.00048203i,0.00050991+0.00057955i,0.00075034+0.00058015i,0.00083806+0.0010874i,-0.00013736+0.0014021i,-0.00036673+0.00043783i
0.00061385-0.0015345i,3.0574e-05-0.0019816i,-0.00093425-0.0012908i,-0.0027549-0.00022093i,-0.0027004+0.00010946i,-0.0016323+6.4654e-05i,-0.00073292+0.00027505i,0.00062045+0.00053555i,0.0013426+0.00012014i,0.00062398+0.00036118i,-5.9209e-05+0.0010026i,-0.00049478+0.001589i,-0.00084889+0.00096386i,-0.00076351-0.00047064i,-0.00016494-0.00096086i,9.0599e-05-0.00093456i,0.00013914+5.277e-05i,0.0003256+0.00047176i,0.00043507-0.0003355i,0.00029662-0.0006601i,-0.00016303-0.00073017i,0.00041027-0.00049273i,-7.5658e-06-0.00052457i
-0.00065472-0.00081264i,-0.00059638-0.00011638i,-0.0013096-0.00036276i,-0.0018774-3.6825e-05i,-0.00088832+0.0003761i,0.00059301+0.0017517i,0.0011026+0.0022206i,0.00090557+0.0012339i,0.00023182+0.00071661i,-0.00023011+0.00072003i,-0.00060897+0.00026487i,-0.0011751-3.854e-05i,-0.00049124-0.00060615i,7.5671e-05-0.0014621i,0.00010887-0.0018759i,0.00086914-0.0014292i,0.001347-0.00045213i,0.00028005+0.00036687i,-0.00080225-2.3519e-07i,-0.00098226+3.5967e-05i,-0.00048604-0.00020516i,-0.00051116+4.5006e-05i,-0.00032731+0.0011152i
0.0028922-0.0014791i,0.0016674-0.00067854i,-0.00011734-0.0010057i,-0.0025123-0.0011416i,-0.0025175-0.00066282i,-0.001315-0.0005671i,-0.00064039-0.00093742i,-0.00058676-0.0016527i,-0.0012639-0.0014562i,-0.001457-0.00092044i,-0.00078489-0.0003968i,-0.00055088-0.00013299i,-0.00021464+0.00010323i,0.0005839+0.0011214i,0.0006635+0.0009512i,0.0014556+0.00079733i,0.002245+0.0011991i,0.0015064+0.00068369i,0.00090556+0.00091853i,0.0002997+0.00076829i,-0.00029948-0.00012651i,0.00011005-0.00082574i,0.00059765-0.00092329i
-0.0018159+0.00056779i,-0.0011632-1.9332e-06i,-0.00016436+3.5744e-05i,-0.0005783+0.0011766i,-0.00085594+0.0013734i,0.00049061+0.001047i,0.0011106+0.0008524i,0.00068778+0.00073568i,0.00035888+0.00079907i,0.00033884+0.00028962i,0.0013278-0.00027078i,0.0011722+7.4361e-05i,0.00075807+9.233e-05i,0.00080793+0.00020373i,0.00066428+0.0010281i,-0.00014951+0.0009209i,-0.00028447+0.00045832i,-8.5578e-06+0.00022623i,-7.944e-05+0.00018423i,-8.4388e-05+0.0010352i,-0.00038233+0.0010651i,-0.00012841+0.0005763i,0.00037478+0.00063851i
0.00023377+0.00093575i,0.00026076+0.00065251i,0.00029618+0.00046131i,0.00023201-0.00092597i,0.00039392-0.0013893i,0.00034837-0.0013385i,0.0008157-0.00066044i,0.0010558+0.00047405i,0.00049936+0.00019422i,-0.00026269-8.2742e-05i,-0.00046954-0.00042035i,-0.00012255-0.0007756i,-0.0005529+8.5978e-05i,-0.00076589+0.00079582i,-0.001086+0.001091i,-0.0019429+0.00080209i,-0.0019657+0.00042653i,-0.0010412+0.0010597i,-0.00044091+0.001327i,2.9261e-05+0.00077882i,-0.00017645+0.00035606i,-0.00043309-0.00013096i,-0.00066099-0.00036446i
-0.0015982-0.0012235i,-0.0014091-0.00092798i,-0.0018851-0.0002498i,-0.0023853+0.00037119i,-0.0026096-4.1984e-05i,-0.001484-0.0001053i,-0.0004476+0.00055609i,7.6304e-05+0.00024261i,0.00019905-6.4785e-05i,-0.0010219+0.00011204i,-0.0012062-0.00010032i,-0.0012882+9.6124e-05i,-0.0018514+0.00013647i,-0.0012515-0.00035006i,-0.00019827-0.00033892i,-0.00019825+0.00049224i,-0.00069822+0.00029066i,-0.00019831-0.00023382i,0.0004449-0.00015373i,0.00018757-0.00058206i,-0.00040805-0.00055161i,-0.00039176-0.00055447i,-0.00046632-0.00049669i
-0.00095321-0.0012921i,-0.0014738-0.00078331i,-0.0020095+0.0002072i,-0.0018229+0.0010507i,-0.0014731+0.0017955i,9.2793e-06+0.0013615i,0.00046397+0.00019967i,-0.00013895-0.0001861i,0.00040012+0.00044197i,0.00018562+0.00089245i,-0.00031298+0.00062619i,-4.2625e-05-0.00029074i,-9.7307e-06-0.0011371i,-0.00045628-0.00099647i,-0.00020376-0.00018962i,1.081e-05+0.00042776i,-0.00031942+0.00026472i,0.00026803-0.000176i,0.00015277+0.00017422i,-0.00058888+0.00036665i,-0.0004289+0.00027399i,-0.00039673+6.9469e-05i,-0.00041133+0.00029806i
-0.00036794+0.0024137i,7.2534e-05+0.0025811i,0.00061594+0.0016144i,0.00062019+0.00078836i,0.00025007+0.00063467i,0.00062956+0.00043384i,0.0016942+0.00024847i,0.0011666+0.00012017i,0.00040452-0.00067124i,0.00038391-0.00055498i,0.00088908+8.7007e-05i,0.00093214+0.00010729i,5.0011e-05-0.00021002i,-4.7843e-05+0.00010168i,0.00035798+0.00093909i,0.00057513+0.0010361i,-0.00020956+0.00051386i,-0.00089627+0.00011191i,-0.00015626+0.00035924i,0.00035582+0.00021378i,6.8066e-05+0.00048868i,0.00029254+0.00032602i,0.00078991-0.00023033i
-0.0021562-0.0013862i,-0.0030095-9.4754e-05i,-0.00508+0.001128i,-0.0050122+0.0018089i,-0.0032078+0.0026696i,-0.0013747+0.0023524i,-5.4665e-05+0.0010074i,3.7201e-05-6.6096e-05i,-0.00095342-0.0002782i,-0.00075359-4.0071e-05i,0.00075847+0.00022242i,0.0017432+0.00016781i,0.0019181+0.00012375i,0.0014191+0.00014066i,0.0005262+4.3578e-05i,-0.00041798-2.1377e-05i,-0.0008722-0.00028471i,-0.00064463-0.00026326i,-0.00094955+0.00017342i,-0.00071958+0.00033648i,-0.00035245+0.00014309i,-0.00040822-5.3038e-06i,-0.00024969+0.00063585i
-0.0020034-0.0024093i,-0.0027175-0.0016846i,-0.0037214-0.00125i,-0.0021874-0.00017421i,0.00039639+0.00072298i,0.0022803+0.00095318i,0.0024506+0.00070366i,0.0013559+0.00041929i,-0.0002729+0.00028893i,-0.00091992-1.7931e-05i,-0.00066936-5.2655e-05i,-0.00071042+0.00063625i,-0.0010349+0.00049862i,-0.00084432-0.00018896i,-0.0011859-0.00066509i,-0.0016874-0.0011866i,-0.0012138-0.0014705i,-0.00049595-0.00069513i,-0.00037446-0.00032097i,-0.00061069-0.00043479i,-7.0205e-05-0.00045126i,7.5135e-05-0.00048357i,-0.00025622-8.0336e-05i
-0.0017363-0.0011964i,-0.002189-0.0015606i,-0.002117-0.00076674i,-0.0025898+0.0007478i,-0.0033598+0.0014934i,-0.0028915+0.0014151i,-0.0015667+0.00074933i,-0.00017469-0.00021299i,0.00056138-0.0013853i,-0.00029988-0.0015587i,-0.0010041-0.0010471i,-0.0011912-0.00087394i,-0.0011992-0.0011147i,-0.00056746-0.0012946i,0.00057566-0.0015247i,0.0010235-0.0012662i,7.0266e-05-0.0011103i,9.284e-05-0.0010056i,3.6919e-05-0.00048021i,6.0834e-05+6.1337e-05i,0.00031579+0.00031063i,-0.00017741-5.5755e-06i,-0.00099789-0.00013362i
-0.0020407+0.00076892i,-0.0016211+0.0016974i,-0.0017885+0.0026449i,-0.0020242+0.0033975i,-0.0016131+0.0034351i,-0.00013059+0.0028616i,0.00087518+0.0018759i,0.00047586+0.00063552i,-0.0003645+0.00067005i,-0.00072303+0.0012483i,-0.00055864+0.0011724i,-0.00037512+6.7741e-05i,0.00044365-0.0019734i,0.0009833-0.002327i,0.00070715-0.0010187i,0.00026407-5.3403e-05i,0.00068754+0.00043978i,0.0015289+0.00031292i,0.0010706+0.00052898i,0.00047319+0.00065147i,0.00052089+7.2784e-05i,0.00030925-4.6224e-05i,-0.00023428+0.00048362i
0.0005989+6.9161e-07i,0.00084892+0.0012712i,-0.00087826+0.0015881i,-0.0020542+0.00072298i,-0.0018942-0.00022513i,-0.00070828-0.00055522i,0.00063749-0.00057271i,0.0011176+1.1554e-05i,0.00079752+0.00063148i,0.00026328+0.00071683i,0.0003063+0.0005159i,0.0005919+0.00048487i,0.00055057+0.00041335i,0.00084648+0.00062459i,0.00083768+0.0011624i,0.00038602+0.00096288i,0.00052815+2.7835e-05i,0.0012899-0.00095057i,0.0011049-0.00096813i,0.00043278-0.0001549i,7.2816e-05+0.00015829i,-0.00051406+0.0003757i,-0.00071149+1.7278e-05i
-0.0010652-0.0038279i,-0.0013843-0.0040871i,-0.0032729-0.006566i,-0.0038836-0.0063035i,-0.0037642-0.0024342i,-0.0030535+0.00062177i,-0.001369+0.00091251i,-0.00034434+0.00043215i,-0.00044641+0.00010734i,-0.0010345-9.4918e-05i,-0.00093614+0.00053938i,0.00024928+0.00085514i,0.00060248+0.0005197i,0.00017363-3.3871e-05i,0.00025066-7.9778e-05i,0.00016421-0.00017439i,0.00017337-0.00030647i,-9.0504e-05-0.000162i,-0.00043589+4.8854e-05i,-0.00039428-0.00088877i,-0.00086854-0.0010652i,-0.0013384-0.00041318i,-0.0012707+0.00013356i
-0.00029083-7.2302e-05i,0.0010836-0.00089528i,0.00075478-0.0011079i,-0.00028287+0.00037241i,-0.00080818+0.0010923i,-0.00011588+0.00042392i,0.00058057-0.00027452i,0.00023019+0.00018581i,-0.00025023+0.00034336i,-0.00069314+0.00013872i,-0.00058658-0.0001725i,-0.00089084-0.00079764i,-0.0014789-0.0013613i,-0.0013111-0.0016896i,-0.00057964-0.0016958i,0.00014586-0.0015173i,-9.221e-05-0.00039531i,-0.00071516+0.00017904i,-0.00088382+0.00024477i,-0.00035035+2.0054e-05i,-0.00011016-0.00034255i,-0.00058648-0.00051637i,-0.0012179-0.00084182i
