0.00011079+0.00076654i,0.00046751-0.00048142i,-0.001767-0.00025742i,-0.0031783+0.00095793i,-0.0023219+0.0012914i,-0.00060936+0.0012715i,0.00041274+0.0011783i,0.00085195+0.00043398i,0.0012207-0.00011426i,0.00059772-0.00048372i,-0.0001867-0.0010697i,9.7191e-05-0.0012161i,0.00012336-0.00069379i,0.00024896-0.00085501i,0.00043134-0.0010869i,0.00045469-0.00056353i,0.00072197-0.00030971i,0.00044951-0.00023848i,6.2378e-05+8.9704e-05i,0.00031435+0.00014146i,0.00023935-8.5555e-05i,0.00028277+8.5968e-05i,-2.2526e-05+8.7098e-05i
0.0029692+0.00013334i,0.0037718+0.00017959i,0.0041328-0.0013575i,0.0014596-0.0016792i,-0.00071819-0.0019897i,0.00022974-0.0014194i,0.00038143-0.0011311i,-0.00016921-0.0015847i,-7.8904e-05-0.0010754i,0.0003189-0.00046268i,-0.00029718-0.00020031i,-0.00074752+0.00041823i,-0.00041589+0.00043984i,-8.8146e-05+1.428e-05i,6.9457e-05+0.0006108i,0.00035931+0.001163i,0.0002601+0.00049147i,2.5634e-05-8.9125e-05i,-0.00014826-0.00010987i,-0.00033877-0.00010088i,-1.983e-05+0.00014044i,0.00045216+1.2968e-05i,0.00091578-0.00056155i
-0.00049803-4.6887e-05i,0.00023805+0.00077665i,-0.0010398+0.00086748i,-0.0019003+0.00053842i,-0.00099244+0.00072436i,0.00033376+3.3077e-05i,0.0017398-0.00051916i,0.0011765-0.00019642i,-0.00017085-3.793e-05i,-0.00062701+0.00029932i,-0.00033711+0.00046726i,0.00043392+0.0004162i,0.00057346+0.0002221i,0.00018542+0.0006845i,-0.00025281+0.0012063i,0.000189+0.00080954i,0.00070798-0.00010388i,0.0003885-0.00077538i,-0.00056332-0.00087861i,-0.00093727-0.00037401i,-0.00094509+0.00034892i,-0.00078673+0.00020314i,-0.00084054-0.00040617i
-1.0684e-05+0.0012166i,-0.00051922+0.0013291i,-0.00054493+0.00012458i,0.00069522-0.00080514i,0.0014436-0.00064264i,0.0009428-0.00047196i,0.00049796-0.0007596i,0.00031489-0.00065282i,0.00030308-0.0003732i,0.00056426-0.00048942i,1.3133e-05-0.00062763i,-0.0009235-0.00066809i,-0.00052747-0.00015814i,0.00051243+0.00011966i,0.00082882+1.6987e-05i,0.00043404-0.00026163i,-0.00046775-0.00045769i,-0.0007356-0.00038944i,-9.7372e-05+0.00033597i,-5.2954e-05+0.00085323i,-0.00063703+0.0012144i,-0.00036493+0.0001834i,-0.00033237-0.00036562i
-0.0011952-0.00090042i,-0.00082923-0.0011899i,0.00015193-0.00060779i,0.0010137+0.00083306i,0.00074855+0.00077845i,0.00055199+0.00074013i,0.00094041+0.00094966i,0.0011259+7.0147e-05i,5.5304e-05-0.00020833i,-0.00039646+0.00041493i,0.00038758+0.00027751i,0.00046645-2.4378e-05i,0.00057387+2.2455e-05i,0.00066052+0.00020501i,0.00089353-7.1229e-05i,0.0010072-0.00025708i,0.0002061-0.00062325i,0.00024653-0.00096258i,0.0007609-0.0005381i,0.00048436-0.0013645i,-0.00060025-0.0013852i,-0.00084573+0.00016625i,0.00029517+0.00011926i
0.0017602+0.0022502i,0.0028392+0.0024452i,0.0033067+0.0018596i,0.0031793+0.00067646i,0.0029669+0.00035958i,0.0022505-0.00081365i,0.0012996-0.00013506i,0.00059892+0.00078629i,0.00050147+0.00023484i,0.00068779-0.00014996i,3.0614e-05-0.00059067i,-0.00090539-0.00072154i,-0.00055109-0.00037119i,-0.00036812+0.00036194i,-0.0004962+0.0006027i,-0.00022695+0.00047928i,0.00029203+0.00020279i,0.00067159-0.00013245i,0.00031838-0.00023772i,0.00044935-0.00043659i,0.00065013+0.00056634i,0.00052556+0.00098893i,0.0002795+0.00018671i
0.00086974+0.0010667i,0.00029483+0.0010843i,-0.00040232+0.00095469i,-0.00085461+0.00097954i,-0.0010316+0.00066259i,-0.0010389+0.00041161i,-0.00046017+0.00062757i,-8.2524e-05+0.00046368i,-0.00058809+0.00064941i,0.00013601+0.00069535i,0.0014417+0.00013175i,0.0011996-0.00027561i,0.00041374-0.00014269i,6.7844e-05+3.8576e-05i,-0.00033737+5.4254e-05i,-0.00043922-0.00012282i,-0.00019347+2.4518e-05i,-0.00034079+0.00052164i,-0.00051542+0.0004055i,-0.00043769-0.0006594i,5.0462e-05-0.0014133i,0.00057734-0.0016468i,0.00068142-0.0012797i
-0.0007104-0.00023668i,-2.1226e-05-0.00078669i,-0.00040609-0.00030456i,-0.00055974+0.001284i,-0.00048217+0.0020386i,0.00012946+0.0021023i,0.00034153+0.0013502i,-4.0925e-05+0.00026712i,-0.00052489-0.0001646i,-0.0008232-0.00011772i,-0.00048302+0.00020928i,0.00064147+0.00044396i,0.0009404-2.1017e-05i,-0.00037457-0.00056622i,-0.00037624-0.00038915i,0.00058702-0.00065415i,0.001445-9.1736e-06i,0.0014912+0.00051295i,0.00079905+0.00044854i,0.00018785+0.00026002i,0.00012549+0.00011311i,-0.00048771-3.2584e-05i,-0.0008049-0.00037931i
-0.00051426+0.00012253i,0.00024564+0.00035967i,0.00048829-0.00074655i,3.7506e-05-0.0015295i,-0.00066319-0.00095661i,-0.0007207-3.5644e-05i,1.0263e-05+0.00013597i,-0.00013344-0.0005423i,-0.0006136-0.00014889i,2.0784e-05+0.00018057i,0.00062179-1.7376e-05i,0.00056813-0.00014076i,0.00030508-0.00021129i,-0.00028242+2.3392e-05i,-0.00019897-0.00012787i,0.00050712-0.00043306i,5.885e-05-0.00042798i,-0.00076492+0.00028454i,-0.00074952+0.00083408i,-0.00053103+0.0010568i,-0.00034727+0.0010923i,-0.00019884+0.0004113i,-0.00090921-0.00046886i
-5.6883e-05-0.00026319i,0.00027024-0.00090609i,-0.0008136-0.0017579i,-0.0010724-0.001908i,-0.00031536-0.0013698i,0.00059348-0.0012496i,0.0013618-0.0016447i,0.0017586-0.0011916i,0.0017689-0.00095811i,0.0012013-0.00090515i,0.00021953-0.00056311i,-0.00085008-0.00063395i,-0.00081826-0.0011956i,-0.0003462-0.00048166i,-0.00058884+0.00061697i,-8.4884e-05+0.00036604i,0.00040176+0.00011862i,0.0010795+0.00029229i,0.00062682-3.2928e-05i,-7.4407e-05-0.00021125i,-1.7595e-05-0.0001551i,0.00018146+5.6388e-05i,0.0003159-0.00017988i
-0.0025426-0.00019749i,-0.0023252+0.0012213i,-0.0026473+0.0017152i,-0.002192+0.002314i,-0.00034788+0.0025428i,0.0007853+0.0013738i,0.00045147+0.00028723i,0.00027575+0.00031121i,0.0003969+0.00065584i,0.00035184+0.00031141i,0.00056753+5.9237e-05i,0.00075516-0.00050698i,0.00011335-0.00071715i,-0.00037122-7.2853e-05i,-6.2546e-05+0.00015238i,0.00010841-0.00038211i,0.00022711-0.0002055i,0.00092675+0.00048004i,0.00041628+0.00012373i,-4.6638e-05+0.00028834i,0.00073583+0.00085361i,0.00078904+0.00085842i,-0.0001123+0.00056259i
