0.00057766-0.0024955i,0.0012194-0.0018966i,2.8759e-05-0.0021145i,-0.00070867-0.0018698i,-0.00054233-0.00095217i,0.00026563-2.748e-06i,0.00079334+0.00074827i,0.00048513+0.0006766i,0.00045018+0.00011044i,0.00039224+7.053e-05i,0.00034893+0.00041501i,0.00015472+0.00050273i,0.00078632+0.00074521i,0.0010794+0.00074524i,0.0005432+0.00059053i,9.0547e-05-5.9004e-05i,9.3749e-06-0.00029134i,0.00025552-0.00016761i,-0.00014779-0.00023611i,-0.00078516+0.0001584i,-0.00042017-0.00016552i,-0.00037207-0.00021478i,-0.00049828+0.00036504i
-0.0019319+0.00057146i,-0.0011524+0.001908i,-0.00072414+0.0021217i,-0.00060511+0.00095064i,0.00051508-0.00026831i,0.00099224-6.5072e-05i,0.00044326+0.0005583i,-1.014e-05+0.00016867i,-0.0003385-0.0010797i,0.00012406-0.001378i,0.0007681-0.0015363i,0.00073639-0.00048707i,-0.00018655+0.00078915i,-0.00020731+0.00039836i,0.00045869+0.00073464i,0.00091739+0.00083068i,0.0011787+0.00075774i,0.0003512+0.0005951i,-0.00068725+0.00021951i,-0.00070607+0.00012762i,-7.5816e-05-0.00030132i,-0.0003533+0.00010433i,-0.0012878+0.00011301i
-0.0015616-0.0011645i,-0.0015811-0.0015284i,-0.0004489-0.0012738i,0.00045686-0.0011483i,0.00022679-0.00067811i,0.0004861+5.7955e-05i,0.001326+0.0010637i,0.0010793+0.0014139i,0.00028762+0.00055013i,-0.00067016-0.00015314i,-0.00058743+0.00019004i,-0.00026643+0.00059261i,-0.00081959+0.00019034i,-0.00092544+0.00037259i,-0.00063281+0.0011456i,-0.00033269+0.00080234i,-0.00033554-0.00012064i,-0.00046051-0.0003288i,0.00011941-3.7673e-06i,-7.9024e-05+0.00018697i,-0.00059586+8.2863e-05i,-0.00077289-0.00042728i,-0.0005074-0.0013466i
0.0016269+0.0010624i,0.00041564+0.00062233i,-0.00066166+0.00011887i,-0.000371+0.00049872i,0.00056587-0.00038886i,0.0011026-0.00078655i,5.4216e-05+0.00015006i,-0.00034312+0.0009615i,9.1632e-05+0.0015859i,9.9991e-06+0.00098983i,0.00044859-0.00024998i,0.0015708-0.00011776i,0.0016493+8.4636e-05i,0.001011-0.00064991i,0.00044318-0.0011794i,0.00035868-0.00038146i,0.00037759-3.5002e-05i,0.00043978-0.00053142i,0.00074505-0.0004672i,0.0006393-0.00024426i,0.00069624+0.00014737i,7.4332e-05+0.00019321i,-0.0012311-0.00031781i
-0.0025636+9.4263e-05i,-0.0026509-0.00021258i,-0.00077742+7.4332e-05i,-9.0411e-05-0.00046816i,-0.00063599-0.00079799i,-0.0010118+4.7346e-05i,-0.00041208+5.7286e-05i,0.00024528+8.2791e-05i,0.00047728+0.0004355i,1.8595e-06-0.00011586i,-0.00082488-0.00024364i,-0.00059056+0.00038369i,0.00014619+0.00052341i,-0.00053809+0.00035501i,-0.00042153-5.7854e-05i,0.00043758+7.905e-05i,0.00046911-4.6207e-05i,-0.00019047-0.00020365i,-0.0003822-0.00048299i,0.00012354-0.00026851i,-0.00023728+0.00072337i,-0.00075049+0.00088071i,-0.0004109+0.00043739i
0.0019284-0.0013214i,0.00021153-0.0023515i,0.00045042-0.0026085i,0.0016087-0.0032258i,0.0011149-0.0026515i,-0.00022204-0.00055967i,-0.00043211+0.00017341i,-0.00033104-0.0007436i,-0.000385-0.0013375i,0.00019697-0.001499i,0.00032272-0.00094617i,-0.00062074-0.00058645i,-0.0011197-0.00085307i,-0.0010459+5.5566e-05i,-0.0012018-0.00019922i,-0.0011289-0.0012583i,-0.0003264-0.0013585i,1.8028e-05-0.0012276i,0.00031804+0.0001415i,0.00087275+0.0012194i,0.00054088+0.00049876i,-0.00029814-0.0006058i,-0.00064561-0.00054089i
0.0001467+0.00010608i,-0.00039808-0.00021328i,-0.00095429-0.00090339i,-0.0013755-0.00072822i,-0.0016835-0.00031313i,-1.6365e-05+0.00044069i,0.0014457+0.00056219i,0.00076523-0.00010267i,0.00034926+0.00021814i,0.00066396+0.00038996i,0.00058447-0.00022448i,0.00082543-0.00062797i,0.00096886-0.00038524i,0.00036393+0.0003502i,-0.00017179+0.00066637i,-8.8075e-05+7.7875e-05i,0.00021187-0.00029204i,-7.0121e-05-0.00040223i,-0.00047917-0.00014018i,-0.000606-0.00039423i,-0.00065991-0.00096985i,-0.00045576-0.00042058i,-7.5333e-05+0.0007087i
-0.0038715-0.00078858i,-0.0044782+0.00055472i,-0.0034195+0.00099696i,-0.001432-8.3794e-05i,-0.00025746-0.0011294i,-0.00023424-0.00077612i,-0.00034331-0.00018148i,-0.00038183-0.00063944i,-0.0003158-0.0015866i,0.00030951-0.0012584i,0.00087919-0.00059944i,0.00074961-0.00077013i,0.00063408-0.0011765i,0.00099374-0.00069231i,0.00098778+0.0001752i,0.00059606+0.00055362i,-0.00034229-2.6088e-05i,-0.00066684-0.0009475i,-5.9518e-05-0.00063078i,-6.2572e-05+4.9373e-05i,-0.00050081+0.0001053i,-0.00086079-6.7217e-05i,-0.0012195-0.00023523i
-0.00014924-0.0024927i,-0.00048171-0.0039157i,-0.00011493-0.002844i,0.0017162-0.00086279i,0.0022554-0.00011615i,0.0014469+0.00019907i,0.001017+0.00048913i,0.00045424+0.00018618i,0.00014393+0.0003644i,0.00054694+0.00045562i,-7.9601e-06+0.00015838i,-0.0011278+0.000288i,-0.0010787+0.00046723i,0.00018107+0.00043185i,0.00066873+0.00029251i,0.00026859+0.00058435i,-0.00017906+0.00033068i,-0.00074014-0.0005185i,-0.00098266+5.9754e-05i,-0.0013412+0.00081088i,-0.0013996+0.0011581i,-0.00067338+0.0012655i,6.6828e-05+0.00090819i
-0.00067808+6.1725e-05i,-0.0004436-0.00041499i,-9.0428e-05-0.00089131i,-2.9953e-05-0.0012614i,0.00085244-0.0013933i,0.0012529-0.0011623i,0.00074389-0.00016478i,0.00039626+0.00011141i,0.00022141-6.106e-05i,0.00062556+0.0001441i,0.00036697+0.00016589i,-8.7027e-06+0.00020972i,-0.00042212+0.0004182i,-0.0010722+0.00038158i,-0.00048897+0.00038548i,0.00012926+0.00038487i,0.00047392+0.00043891i,0.00020696+0.00096444i,-0.00036166+0.00096393i,-0.00034606-7.8682e-05i,4.9435e-05-4.5044e-05i,-0.00047364+0.00031846i,-0.00034822+0.00091602i
