0.0003612+4.9703e-05i,0.0017351-0.0010557i,0.0018287-0.0017093i,-5.3091e-05-0.0019816i,-0.0018415-0.0011635i,-0.0018839+0.00013164i,-0.00059817+0.0004542i,0.00051083+0.00075608i,0.00086384+0.00081158i,0.00050989-4.7539e-05i,0.00065923+0.00014502i,0.0012057+0.0010287i,0.0013453+0.00055458i,0.00085825-0.00041386i,0.00029172-0.00023612i,0.00017074+0.00038718i,0.00026837+0.00040507i,0.0002881-3.6571e-06i,4.7472e-05+7.8003e-05i,-0.00029891-0.0001609i,-0.00050321+0.00017253i,-0.0011278+0.00050962i,-0.0012288-0.00041749i
-0.00072643+0.0013154i,-0.0010612+0.0010451i,-0.00086836+0.00086705i,-0.00039179+8.7978e-05i,0.00049517-0.00068269i,0.00082211-0.00062314i,0.00043827-0.0018164i,-3.7165e-06-0.0024673i,-0.00070811-0.0013766i,-0.00071372-0.00023349i,0.00019499+8.598e-05i,-3.9369e-05-0.00032161i,-0.00054326-0.0003987i,0.0003983-0.00026332i,0.00035732+6.7403e-05i,-0.00033339+0.00029053i,-0.0001807+0.0004345i,0.00022511-4.2935e-05i,0.00036099-0.00041121i,2.8714e-06-0.0002737i,-0.00039463-0.00051464i,-0.0010287-9.9063e-05i,-0.00068426+0.00074392i
0.0016645+0.0013317i,0.0021064+0.00082147i,0.0018394+0.0013313i,0.0012773+0.00035977i,0.0012926-0.001497i,0.00099772-0.0026524i,0.00077475-0.0024904i,0.00048835-0.001144i,8.3333e-05+0.00028059i,-0.00044572+0.00081728i,-0.00055861+0.00083487i,-0.00017692+0.0005499i,0.00031335+7.7646e-05i,0.00079661-3.3543e-05i,0.00076358-1.0968e-05i,0.00057076-0.00033908i,3.8339e-05-0.00083399i,-0.00051259-0.0006605i,0.00030925-0.0002908i,0.0012905-0.00090914i,0.00097616-0.0011871i,0.00047104-0.00053675i,-0.00035619+0.00024216i
-0.0007339+4.1797e-06i,-0.0014488+0.00018636i,-0.00066378+0.0005485i,0.00084403+0.00050637i,0.00084421+0.00015726i,0.0002191+0.00038987i,0.00039811+0.00023789i,0.00039371+0.00039378i,-0.00028015+0.0010849i,-0.00036276+0.001442i,5.4789e-05+0.0011223i,0.00040371+0.00058728i,-0.00020407+0.00064289i,-0.00021567+0.00049854i,0.00035129-0.00015969i,0.00017037+0.00040714i,0.00010632+0.0010706i,9.488e-05+0.00015292i,0.0003165-0.00091151i,0.00050996-0.0017319i,0.00020191-0.0016541i,-0.00041771-0.001128i,0.00023664-0.0010986i
0.00082904-0.0014747i,0.0009359-0.0018036i,0.00047497-0.0019811i,-0.00033725-0.0020404i,-0.0004673-0.0012019i,0.00010668-0.00014532i,0.0002359-0.00057207i,-0.0004849-0.00097886i,-0.0010421-0.00094405i,-0.00094448-0.00041828i,-0.00046639+0.00038577i,0.0003155+0.00050782i,0.0010111+9.112e-05i,0.0007339+0.00034246i,-3.0383e-06+0.0004878i,-0.00031254-0.00025326i,-0.0003323-0.00040664i,-9.3455e-05-0.00060115i,-0.00063919-0.000895i,-0.001075-0.00087996i,-0.00074986-0.00067479i,0.00020772-9.4865e-05i,0.00086761-5.1752e-05i
0.00030609-0.0016656i,-0.00022179-0.00035592i,-0.00020385+0.00025298i,0.0002203-0.00040719i,0.00013564-0.00065299i,-8.6065e-06-0.0002824i,-3.2606e-05+0.00015022i,-0.00042141+0.00049147i,-0.00031855-0.00030414i,-0.00010558-0.00034175i,-0.00012945+0.00077322i,-0.00031955+0.00063786i,-0.00045191+0.00066123i,0.00094419+0.00087443i,0.0013949+0.00012714i,0.00044551-6.7615e-06i,0.00035239-2.3542e-05i,0.0002562-0.00056703i,0.00047166-0.00064104i,0.00021627-0.00086079i,-0.00038004-0.0010013i,-0.0001465-0.00084376i,0.00067284-0.00074398i
0.002581+0.0014921i,0.0023253+0.0015268i,0.0026173+0.00019368i,0.0021304-0.00057729i,0.0011904-0.0010633i,0.00013997-0.00080442i,-0.00023435-5.4704e-05i,0.0001822+5.0672e-05i,0.00068636-0.00048883i,0.00084551-0.00097712i,0.00084003-0.00074211i,0.00037895-0.00041372i,-0.00030724+0.00022514i,5.8143e-05+6.0016e-05i,0.00053354-0.000302i,0.00032859+1.851e-05i,0.00049243-5.8486e-05i,0.0002399-0.0010094i,-0.00020334-0.0017499i,-4.9041e-05-0.00095625i,-0.0002592-0.00066843i,-0.0003569-0.0012907i,0.00013014-0.00052487i
-0.0010442+0.00019384i,-0.00017207+0.00022008i,-0.00032381+0.00023324i,-0.00075467+0.00064692i,-0.00050039+0.00054921i,-6.9098e-06-7.2951e-05i,-0.00031957-0.00075701i,-0.0013543-0.0013189i,-0.00092112-0.0013933i,0.00044601+0.00045941i,1.7925e-05+0.0012525i,-0.00032324+0.0010629i,0.00020952+0.00056978i,0.00082041-0.0002783i,0.000931-0.00014102i,0.00031315+0.00062961i,0.00030921+0.00023414i,0.00057663-0.0005634i,0.00030934-0.0005038i,-0.00016192-0.00058158i,-7.4468e-05-0.00022374i,5.2667e-05+7.4079e-05i,-0.00057875-0.00050149i
0.0011076-0.00035226i,0.00098414-0.00063032i,0.00095351-0.0015346i,0.00038301-0.001234i,-1.7275e-05-0.00029735i,-0.0006987-0.00060606i,-0.00052502-0.00032031i,-0.00055329+0.0004474i,-0.001242+0.00029122i,-0.00060673+0.00051695i,-7.7141e-05+0.00091996i,-0.00048781+0.00041313i,-9.4778e-05+0.00031283i,0.00060612+0.00036565i,0.00082401+0.00026124i,0.00068624+8.233e-05i,-4.0914e-05+9.0379e-05i,-0.00059119-9.3232e-05i,-0.00050338-0.00014658i,-0.00011343+8.6133e-05i,0.00040032+0.00025722i,-0.00019861-2.8207e-05i,-0.00076245-0.00040849i
-0.00062161-0.00032845i,-0.00099981+9.1402e-05i,-0.00093875+0.00033834i,5.1025e-05+0.00023375i,0.0010084-0.0003476i,0.0018303-0.0011879i,0.0019789-0.0016852i,0.0011781-0.0014129i,0.00060273-0.00049346i,0.00015206+0.00025752i,-0.00016757+9.6431e-05i,-0.00019354-0.00034591i,-0.00014161-0.00074941i,-0.0001598-4.2828e-05i,-0.00010096+0.00047238i,0.00039401-0.00011706i,-0.00025443+0.00036301i,-0.00082347+0.00051034i,-0.00011936+0.00018333i,-0.00011998-0.00057546i,-0.00025646-0.00071002i,-0.00031048-0.00026032i,0.00028617+2.2422e-05i
-0.00079999-0.00081664i,-0.0012374+0.00013203i,-0.0021021-0.00011649i,-0.0016017+0.00016858i,-0.00083119+0.00031846i,-0.0003935+0.00023148i,0.00051445-0.00030017i,0.00043167-0.00029366i,-0.00035082+7.8108e-05i,-0.00063911-0.0001207i,-0.00038414-0.0004235i,0.00058297-0.00046151i,0.00085833+0.00058947i,9.9899e-05+0.0011837i,-0.00031064+0.00096983i,0.00016756+0.00097603i,8.9157e-05+0.00081966i,-0.00062313+0.00078494i,-0.00062955+0.00091318i,0.0001008+0.0003976i,0.00038258+0.00014246i,-0.00027861+0.00040869i,-0.00083564+0.00078028i
0.0010015+0.00060827i,0.00065552+0.00072119i,0.00099991+0.00031996i,0.00080058+0.00013503i,0.00054042+0.00042825i,0.00072189+0.00069429i,0.00072628+0.0004548i,0.00022911-0.00010172i,-0.00022061-2.6016e-05i,-0.00058686-0.00028182i,-0.00025279-0.00039053i,0.00024404+0.00029735i,-0.00023303+0.0002836i,-7.2018e-05+0.00016826i,0.00072724+3.6125e-05i,0.0012248-0.00016277i,0.00057181+0.00021197i,-0.00033936+0.00028468i,-0.00013243-0.00027733i,0.00063291-0.00074677i,0.00076043-0.00021076i,0.00027108+0.00025915i,4.2094e-05+0.00029672i
-0.0014626+0.00052961i,-0.002142+0.00133i,-0.0022831+0.00024267i,-0.001581+0.00044646i,-0.00095653+0.0005267i,0.00024046-0.00032794i,0.0001919-0.00091558i,-0.0010199-0.00084816i,-0.0008887-0.00077466i,-0.00054713-0.00021871i,-0.00093098+0.0010479i,-0.00034224+0.0014507i,8.3141e-05+0.0015646i,0.0006155+0.0015212i,0.0011298+0.00097659i,0.00060431+0.00030236i,-0.0001579-1.4916e-05i,-5.7992e-05-0.00057403i,0.00031827-0.00097236i,8.3259e-05-0.00087774i,-0.00042219-0.00063339i,-9.9884e-05-0.00043621i,0.00099563-6.051e-07i
-0.001246+0.0016159i,-0.00095148+0.0016498i,0.00032032+0.0014087i,0.00073188+0.00031265i,0.00063511-0.00023628i,0.00088938+0.00020806i,0.00019734+0.00024154i,-0.00019528+0.00059018i,0.00024411+0.00089351i,0.00073845+0.0004112i,0.00056058+0.00077618i,-0.00016871+0.0018746i,-0.00059697+0.0015125i,-0.00014704+0.00094936i,0.00073036+0.00072829i,0.00088909-0.00015173i,0.00048546-0.00060224i,-0.00011076-0.00033205i,-0.00059709+0.0004773i,-0.00052224+4.6636e-05i,-0.00062521-0.0012279i,-0.00087863-0.00076054i,-0.00042334-0.00015678i
-0.00014026+0.0024067i,0.00013678+0.0023533i,0.0013346+0.002308i,0.00132+0.001532i,0.0012188+0.00028728i,0.00085357-0.00050632i,0.00035029-0.00067379i,-0.00027785-0.00038206i,-0.00060665-0.00027863i,1.757e-05-0.00082628i,9.3208e-05-0.00067114i,6.9468e-05+0.00019163i,0.0011945+0.00065616i,0.0014642+0.00033267i,0.00041858-4.365e-05i,-0.00052608-9.5999e-05i,-0.00033053+0.00013124i,-1.1169e-07-0.00059382i,-0.00023539-0.00099031i,0.00020594+3.2542e-05i,0.00028882+9.7451e-05i,0.0001588-0.00011581i,0.00012807+0.0001074i
0.0013318+0.001097i,0.0012296+0.00034547i,0.00071088+0.00076255i,-7.5261e-05+0.0010111i,-0.00078155+0.00024947i,-0.00064814-0.00077597i,-8.2133e-05-0.0014145i,8.9448e-05-0.0014554i,-0.00019859-0.0010557i,-9.2423e-05-0.000604i,0.00077635+3.6695e-05i,0.00098022+0.00036481i,0.0011951+0.00022207i,0.0015254-0.00033243i,0.00094664-0.00060063i,5.0327e-05-0.0004521i,-0.00060644-0.00035891i,-0.00045249-0.00023846i,-7.3062e-05+0.00018604i,-0.00070658+3.4366e-05i,-0.001004-0.00075548i,-0.00072109-0.00067757i,8.1497e-05-0.00029163i
0.0013928+5.705e-05i,0.0011467+0.00030957i,0.00071332+0.00030451i,0.00011228-0.00059878i,6.5488e-05-0.0016035i,0.00047913-0.00090147i,0.00058278-0.00021885i,0.00065846-0.0002776i,0.00073682-0.0001764i,0.000858+0.00026969i,0.00031237+0.00098063i,0.00014017+0.00088127i,0.0011887+0.00021947i,0.0012368-3.3647e-05i,0.00092783-0.00051842i,0.0004-0.00066659i,0.00045967-0.00057914i,0.00059902-0.00044429i,-0.00035924+6.7089e-05i,-0.00043455+0.0002831i,0.00026877+0.00024093i,0.00048519+3.087e-05i,0.00080868+0.00021442i
0.00018439-0.00045318i,-0.00019911-0.00077156i,0.00038729-0.0022082i,0.00060823-0.0017329i,0.00013011-0.00039985i,0.00021551-0.00031072i,-0.00020148-0.00089489i,-0.00038284-0.0011469i,-0.00012652-0.00041073i,-0.00045217-0.00047606i,-0.00095416-0.00019268i,-0.00040407+0.00030185i,0.00061783-0.0004779i,0.00098644-0.00021103i,0.00012792+0.00069977i,-0.00029279+0.00050026i,0.00030235+1.76e-05i,0.00073261+0.00023458i,0.00034781+0.00040636i,0.00019041-9.9077e-05i,0.00040929-0.00034711i,-0.00052106-0.00024147i,-0.00059273-3.1778e-05i
-0.00051503-0.00063108i,-0.00094767-0.00094245i,-0.0010465-0.00077756i,-0.00051083-5.0372e-05i,-0.00026194+7.3787e-05i,-3.3014e-05-0.00011002i,2.6556e-05-0.0010537i,-0.00039959-0.0010554i,-0.00067673-0.00063341i,-0.00043261-0.00069944i,-1.4411e-05+0.00048459i,4.3242e-05+0.00047714i,0.00069638-0.00080483i,0.0012004-0.00077116i,0.00086748-0.00012955i,0.00046312+0.00037944i,8.9802e-05+0.00094031i,2.1723e-05+0.00089997i,6.7844e-05+0.00022307i,0.00070144+9.7629e-05i,0.00058308-0.00043759i,-3.7147e-05-0.00075691i,-2.9115e-07+0.00034075i
-0.002646+0.00043173i,-0.0029896+0.0010112i,-0.002714+0.00037182i,-0.00039908+0.00047149i,0.00021759+0.00074072i,-0.00019628-4.4974e-05i,-0.0002428-0.00077635i,-0.0014268-0.00080311i,-0.0015654-0.0001825i,-0.001065+0.0006676i,-0.00073474+0.00022528i,0.00053552-0.00016578i,0.00084109+0.0010989i,0.00018223+0.0013738i,-1.1506e-05+0.00080314i,-0.00019581+0.00027677i,-6.6188e-05-0.00035263i,-4.8084e-05-0.00087419i,-8.6333e-05-0.00073181i,-0.00073975-0.00032306i,-0.00042835-0.00063094i,0.00037747-0.00013376i,-0.0003316+0.0002876i
-0.0011197-0.0016314i,-0.00090292-0.0014056i,-0.0011742-0.0017487i,-0.0012705-0.0014342i,-0.00068939-0.00048704i,0.00018623-0.00026351i,0.00039294-0.00029763i,0.0004157+0.00011083i,0.00046845+0.00038973i,0.00022953+0.00033042i,0.00047728+0.00096926i,0.0011484+0.0014493i,0.00076517+0.0014682i,-0.00010568+0.001477i,-5.2365e-05+0.00097676i,0.00018437+0.00042189i,0.00018742-0.00013002i,0.0003539-0.00046728i,0.00029147-0.00057147i,0.00016508-0.00073069i,0.00049904-0.00073927i,0.00021174-0.0001818i,-0.00065037+0.00027423i
-0.0010353-0.00052034i,-0.0016899+0.00054659i,-0.001288+0.0012796i,-0.00042393+0.0018929i,2.9784e-05+0.002043i,0.00049701+0.0012119i,0.00041267-3.9667e-06i,-0.00034673-0.00051555i,-0.0007249-0.00023927i,-6.3364e-07-0.00028316i,0.00084034-0.00036797i,0.0010733-0.00051263i,0.0011051-0.0001063i,0.00088669+0.00026291i,0.00014428+0.0010451i,-4.1832e-05+0.0012672i,0.00045596+0.00027352i,0.001027+0.00015643i,0.00090414+0.00053637i,0.00051112+0.00019892i,0.00057748-0.00024443i,0.0002991-0.0004774i,9.7486e-05-0.00061523i
0.0015693-7.4902e-05i,1.2161e-05-0.00056171i,-0.00027928-0.0012174i,0.00056373-0.0014871i,0.0014175-0.0015957i,0.00052841-0.0011114i,-3.9817e-05-0.0007083i,-0.00038671-2.4586e-05i,-0.00046846-0.00010436i,3.9726e-05-0.00073943i,3.575e-05+0.0003196i,-3.5711e-05+0.00076801i,0.00034363-0.00010012i,0.00035566-0.00028854i,2.3898e-05-0.00042664i,-0.00016787-0.00052267i,-0.00038833-0.00030877i,-0.00046098-2.2483e-05i,-0.00013367-0.00042571i,0.00019156-0.0010821i,-0.00019443-0.00097655i,-0.00061013-0.00019025i,-0.00045717+0.00028885i
0.00014333-0.0015062i,0.00017166-0.0013809i,0.00041075-0.00067704i,0.00042175+0.0002409i,-0.00036127+0.00069134i,0.00010238+0.00043807i,0.00032116-3.7752e-06i,-0.00025712-0.00053288i,-0.0005229-0.00048226i,-0.00027887+0.00020432i,-4.7746e-05+0.00033064i,0.00043188+0.00037966i,0.001072+0.00055267i,0.00084344+0.00074235i,-0.00028269+0.00086816i,-0.000846+0.00047515i,-0.00077193+0.00022082i,-0.00098801+0.00053856i,-0.0012494+0.00031548i,-0.00046183-2.6879e-05i,2.9311e-05-0.00032968i,0.00012489-0.0009632i,0.00042178-0.00075484i
0.00054511-0.00059588i,0.00086125-0.000374i,0.0010793+0.00012282i,0.00027592+0.00023283i,0.00057403-0.00030171i,0.00058683-0.00018976i,0.00035942+7.0164e-05i,-0.00054389-0.00046076i,-0.00099426-0.00085091i,-0.00016403-0.00055622i,0.00030861-3.6979e-05i,8.5498e-05+0.00048267i,0.00059535+0.00060205i,0.0012379+0.00034258i,0.0012531+0.00010174i,0.0013348-7.3923e-05i,0.0011351-0.00018187i,0.0010253+0.00033189i,0.000737+0.0005473i,0.00033247+0.0010568i,-0.00015687+0.00095131i,-0.00047748-0.00011684i,-0.0010928-0.00065145i
-9.7736e-05+0.0020218i,0.00047888+0.00078319i,0.00075654-0.0001272i,0.0014393-0.00010485i,0.0010703-0.00017597i,-1.5596e-05-0.00078546i,-0.00029968-0.0010056i,-0.00086536-0.0007377i,-0.00090774-0.00076533i,-0.00019591-0.00041472i,0.00042431+0.00057616i,0.00079945+0.0006115i,0.00066593-0.00015455i,0.0005577-0.00039485i,0.0005857-0.00014366i,0.00017237+3.159e-05i,-0.00018088-0.00024437i,-0.00052578-9.9605e-05i,-0.0010127-0.00042935i,-0.00029708-0.00056519i,0.0002443-0.00056456i,-0.00023013-0.00017033i,-0.00081098+3.2516e-05i
0.00049917+0.0019684i,0.00058996+0.0027817i,0.00078001+0.0039691i,0.00066036+0.0028369i,0.0015756+0.00091519i,0.002069-5.6939e-05i,0.0013929+0.0006922i,0.00068943+0.0003351i,0.00086126-0.0010573i,0.0015699-0.00060736i,0.0015091+0.00071804i,0.0013493+0.00069332i,0.0011982+0.0007428i,0.00079431+0.001342i,0.00035849+0.0011003i,0.00038305-0.0003525i,0.00016091-0.0010703i,-0.00047934-0.00055043i,-0.00053816-0.00014441i,-0.00027445-0.0010212i,4.7454e-05-0.0017519i,6.8314e-05-0.0011983i,4.8651e-05-0.00066478i
0.0018375-0.00052951i,0.0014979-0.0013671i,0.0015345-0.00088858i,0.00095325-0.0007128i,0.00022101-0.001265i,-0.00062973-0.0008775i,-0.00085134-0.00029249i,0.00029209-0.00076987i,0.00075895-0.00032195i,0.00044857-0.00024974i,7.8634e-05-0.00050069i,0.00019434-0.00056667i,0.00080859-0.00030785i,0.00061169-0.00078816i,-0.00025998-0.0010293i,-0.00045404-0.00057362i,0.00072918-0.0005347i,0.0011622-5.573e-05i,0.00046887+0.00018629i,0.00068941-0.00022709i,0.00025557-0.00024092i,-0.00035524-0.00053818i,0.00087649-0.00076823i
0.0015792+0.0019929i,0.0015831+0.0019041i,0.0023482+0.00050143i,0.001685+0.00041787i,0.00067378+0.00010003i,0.00052012-0.00070607i,0.00038903-0.00083427i,-6.1815e-05-0.00048106i,0.00021023-0.00040384i,0.00053616-0.0004656i,0.00039068-0.00041426i,0.00029514+0.00031302i,0.00073315+0.0005035i,0.0011818-8.8902e-05i,0.0010451-0.00022043i,0.00093984-0.00021629i,0.00034515+0.00030919i,0.00014792+0.00077255i,0.00020392+0.00060171i,-4.1273e-05+0.00065145i,0.0002213+0.00094708i,0.00048681+0.0004395i,0.00052314+3.9446e-05i
0.0010629+0.0012177i,0.0010895+0.0013099i,0.0009183+0.0014584i,0.0011193+0.00083624i,0.0011256-6.497e-05i,0.00025713-0.00027069i,-9.1797e-05-6.5212e-05i,0.00048271-0.00058686i,-0.00014704-0.0012231i,-0.0010314-0.00065752i,-6.4216e-05-0.00013779i,0.00077928+0.00028738i,0.000659+0.00087493i,0.00090489+0.0011228i,0.00070975+0.00081177i,0.0004751+0.00036784i,0.00037495+0.00059664i,0.00023946+0.00056434i,0.00015148+0.00044486i,0.00032486+0.00037646i,0.00019788-0.00021492i,-3.0245e-05-0.00015555i,-0.00038109+0.0002596i
1.1688e-05-0.00018041i,-0.00070431-0.0012531i,-0.00064927-0.0014561i,-0.00011718-0.0013117i,0.00035632-0.00051867i,0.00069704+0.00064621i,0.00077499-5.817e-05i,0.00085455-0.0011266i,0.00083614-0.00074277i,0.00048024-0.00055875i,0.00036749-0.0009119i,0.00044401-0.00057511i,0.00047829-0.00012474i,0.00073321+0.00032377i,0.00014343+0.00060847i,-0.00012762+0.00044359i,0.00029843-1.7834e-05i,0.00016345+0.00010657i,1.6124e-05+7.7482e-05i,0.00040241-0.00011666i,0.0001126-0.00037208i,-0.00021783-0.00043175i,0.00045189-0.00058721i
-0.00010005+0.0019025i,-2.4414e-05+0.0023341i,0.0010745+0.0012797i,0.0016939+0.00010297i,0.00026145-0.00037845i,-0.001021-0.00062289i,-0.00086788-0.00050848i,-0.00029905-0.00052118i,0.00037873-0.00027952i,-1.259e-05+0.00018427i,-0.00063118+3.6415e-05i,-0.0011026+5.6785e-05i,-0.00070514+0.00053339i,0.00055157+0.00041015i,0.00066783+4.963e-05i,0.00026344+3.4367e-05i,-1.0944e-05-0.00035377i,-0.00027238-0.00026639i,-0.00012531+0.00049096i,-0.00022021+0.00089249i,-0.00095985-5.1947e-05i,-0.0010645-0.00062879i,-0.0006594-0.00050611i
-0.00087638-0.0011071i,-0.0010201-0.0010965i,-0.00086152-0.00050876i,-0.00089201-0.00031966i,-0.00072925-2.4011e-05i,-0.00074551+0.00012629i,-0.00097368-0.00070451i,-0.0010364-0.0012963i,-0.0012215-0.00093214i,-0.0010146-0.00026683i,-0.00011027+0.00032718i,0.00096077+0.00038554i,0.0013909-0.00028697i,0.0017492-0.00053385i,0.00093435-0.00024988i,-0.0004381-3.6995e-05i,-0.00049897-0.00060727i,-0.00011533-0.00068685i,2.2391e-05-0.00012316i,0.0004847-0.00044844i,0.00067644-0.00038533i,-0.00036475-2.1549e-05i,-0.00025181+0.00038886i
