-0.00029196+0.00041752i,-0.00061634+3.1379e-05i,-0.0014895+0.00047592i,-0.0017974+0.00099591i,-0.00236+0.00055966i,-0.0020115+0.00077189i,-0.00047472+0.0010144i,0.00092231+0.00053304i,0.0013241+0.00021753i,0.0013164-0.00010665i,0.00031966+6.3948e-05i,-0.00015631-4.2778e-05i,-0.00014232-0.00038594i,-0.00016692-0.0004069i,0.00016478-0.00087393i,-0.00020277-0.00098857i,-5.2963e-05-0.00075468i,0.00029861-0.00082843i,-0.00016716-0.00014424i,0.00019973-8.7683e-05i,0.00083852+0.00039293i,0.00020946+0.00084819i,-0.00045453+0.00026246i
0.00056287-0.001439i,0.00099516-0.0026843i,0.0009232-0.002566i,0.0003229-0.0010363i,-0.0013385-0.00068685i,-0.0018641-0.0011062i,0.00013293-0.0012628i,0.0013505-0.00039966i,0.0014135-0.0009403i,0.0011146-0.0010805i,0.00079323+0.00035491i,-3.3325e-05+0.00069184i,-0.0007232-0.0002308i,-0.00012272-0.00098021i,0.00038437-0.00047722i,0.00031631+0.00022211i,-0.00031502-9.5174e-05i,-0.00060148-0.00080179i,-0.00099189-0.0011686i,-0.0011308-0.00012963i,-0.000698+0.0012932i,-0.00082176+0.0013279i,-0.00051297+0.00025965i
-0.0003324-4.3909e-05i,-0.0011577+0.0011849i,-0.0032698+0.00082747i,-0.0029273+0.00056004i,-0.0011875+0.0011378i,-0.00032193+0.0010569i,0.00025927+0.0001609i,0.00038435-0.00074404i,0.00058435-0.00090031i,-0.0002724-0.00029523i,-0.00032996-0.00063535i,-0.00018276-0.0010926i,-0.00049454-0.00025515i,-0.00047431+0.00076123i,-2.2286e-05+0.000685i,0.0004839+0.00058139i,-7.7188e-05+0.00033012i,-0.0010425-0.00071514i,-0.0015415-0.0010099i,-0.0015094+0.00037403i,-0.0008932+0.0014251i,-0.00070395+0.0013854i,-0.00010368+0.00066331i
0.0015228+7.5062e-05i,0.0030644-0.00028511i,0.0026153-0.0012345i,0.0015153-0.0017559i,0.00018755-0.00092501i,0.00010979+1.428e-06i,0.0012392+0.00015586i,0.0018719+0.00024712i,0.0023603+0.00022256i,0.0018185-0.0002473i,0.001272-0.00029105i,0.00056337-0.00025385i,0.00019257-0.00066354i,0.00022941-0.00078265i,0.000394-0.00018957i,-0.000407+3.2803e-05i,-0.0011614-0.00013867i,-0.00079617-0.00062771i,-0.0004428-0.00088598i,-0.00054338+6.1308e-06i,-0.00059881-1.7244e-05i,0.00017895+0.00017981i,0.001023+0.00091345i
0.0013043+0.0028035i,0.0026595+0.0039062i,0.0025875+0.002893i,0.0030632+0.0010155i,0.0023891+0.00077257i,0.00025203+0.00043722i,0.00019007+1.1625e-05i,0.00085231-0.00043078i,0.00078977-0.00093204i,0.00070555-0.00034811i,-0.00030085+0.00071785i,-0.00088221+0.00048468i,-0.00033976-0.00036572i,0.00023957+0.00015589i,0.00060753+0.00041051i,-0.00027735-7.5711e-05i,-0.0011703-0.00042877i,-0.00080909-0.00025605i,-0.000734-0.00037812i,-0.00084413-0.0003757i,-0.0005517+0.00038768i,-0.00010576+0.00060964i,0.00033211-0.00011053i
-0.0026739+0.0001775i,-0.0029976+0.0008899i,-0.0039711+0.0010522i,-0.0031601+0.00070226i,-0.0015982+0.00094381i,-0.00094003+0.00043119i,0.00029097-0.00023283i,0.0010504+0.00018581i,0.00032408+0.00054662i,-5.2303e-05+0.00049611i,3.5993e-05+8.2536e-05i,0.00046439+1.1281e-05i,0.00019967+0.00041559i,-0.00053315+0.00034659i,-0.00032697+0.00035879i,0.00044559-0.00043937i,0.00019406-0.00071072i,-0.00045087-0.00080957i,-0.00065288-0.00079464i,-0.0007011-0.00020524i,-0.00048311-0.00024799i,-0.00043759+2.5391e-06i,-0.00039381+0.00069366i
0.00017469+0.0011832i,0.00041011+0.00096456i,-0.00079694+0.0007899i,-0.0017169+0.00015469i,-0.001232-0.00038504i,0.00033264-0.00061041i,0.0018541-0.00036875i,0.0021385-1.0922e-05i,0.0016161+0.00011376i,0.00071486+0.00019201i,0.00026647-0.00047178i,0.00016912-0.00073904i,-0.00025445-5.97e-05i,-0.00026853+0.00080036i,0.00062562+0.00033126i,0.0010753-0.00060933i,3.8617e-05-0.00080028i,-9.0896e-05-0.00092998i,-0.00015183-0.00040959i,-0.00077959-6.4703e-05i,-0.0013552-0.00010817i,-0.0010853+0.00016104i,-5.8556e-05+7.9932e-05i
-0.0011369-0.0014202i,0.00025701-0.0013535i,0.00011298-0.0021108i,-0.0011337-0.0011363i,-0.0018991+0.00058066i,-0.00069017+0.0015492i,0.0010544+0.0010881i,0.0014333+2.1963e-05i,0.00064515-0.00081132i,0.00010245-0.00079797i,0.0001837+0.00037953i,0.00015751+0.00087043i,-0.00047114-0.00027088i,-0.00056582-0.00039541i,-0.00022522+0.00030644i,0.00013374-0.00042828i,0.00084766-0.00070187i,0.00019982-0.00083242i,-0.0012415-0.00097451i,-0.0014761-3.23e-05i,-0.00078848+0.00072951i,8.5589e-05+0.00058267i,0.0008307-0.00014955i
0.0013011+0.0010138i,0.0018956+0.0012326i,0.002359+0.00025005i,0.0022946-0.00022857i,0.00082968-4.458e-05i,-0.0003685+0.00033932i,0.00024976+0.0011077i,0.0014342+0.00073994i,0.0016402+1.3359e-05i,0.00034929-0.0001114i,-0.00018066+5.0015e-05i,-0.00014158+0.0003689i,-0.00029196-0.0001823i,0.0001098-0.0002691i,0.00051719+0.0002401i,0.00033153+8.2568e-05i,-0.00012984-0.00033349i,1.5475e-05-0.00064559i,-4.1634e-05-0.00089754i,-0.00038957-0.00013525i,-9.6274e-05+0.00031028i,0.00067609+0.00011338i,0.0011445+0.00017798i
0.00012029-0.0012055i,-0.00013955-0.0011063i,-0.0014346-3.8974e-05i,-0.001398-0.00025216i,-0.00062883-0.0004435i,0.00011064+0.00040299i,0.00055504+0.00040446i,0.0010137-0.00030959i,0.00089829-3.0293e-06i,0.0002131+0.00044705i,-2.4419e-05+0.00055267i,-0.0002612-4.7054e-05i,-0.000975-0.00041768i,-0.0013459-0.00035412i,-0.00037848-0.00051482i,0.00077923+1.4205e-05i,0.00087174+0.00059652i,0.00014752-0.00016307i,-0.00094838-0.00079523i,-0.0011102-0.00083058i,-0.00033214-0.00094568i,-0.00060517-0.00053164i,-0.00080802-0.00043631i
-0.0021259+0.00027408i,-0.0014936-0.00013428i,-0.0015195-0.0004318i,-0.00052417-2.7262e-05i,0.00057515+0.00087498i,0.001069+0.0011333i,0.00094903+0.00082106i,0.00089306+3.4943e-05i,0.00124-0.00097903i,0.00070935-0.00104i,-6.4725e-05-0.001256i,-0.00043199-0.0012683i,-0.00047741-0.0013173i,-0.00033049-0.0013752i,-9.3473e-05-0.00067443i,-0.0003399-0.00086684i,-0.00058613-0.00091416i,-0.00046925-0.00084522i,-0.00034969-0.00093877i,-0.00089749-0.00057593i,-0.0013508-8.2426e-05i,-0.00099918+0.00028604i,-0.00051363+4.702e-05i
0.0035124-0.0029032i,0.0041185-0.0027974i,0.0037686-0.0024271i,0.0018438-0.0014065i,-0.00047538-7.0143e-05i,-0.00096218+0.0017814i,0.00018399+0.0020296i,0.00094066+0.00067616i,0.00039671+0.00028075i,-0.00039465+0.00065869i,-0.0001678+0.00033944i,0.00011589-0.00048145i,8.6217e-05-0.00030969i,-6.9268e-05-0.0003479i,-1.1043e-05-0.00062655i,0.00028566-0.00016334i,0.0001582+7.5219e-05i,-0.0001931+0.00023408i,-0.00027381-0.00015196i,-6.7943e-05+8.4909e-05i,0.0004986+0.00026105i,0.000965-0.00060768i,0.00048218-0.0012111i
0.00011283-0.00069596i,-0.00070602-0.001874i,-0.00066505-0.0017571i,-3.1041e-05-0.00053057i,-0.00051843+0.00033473i,-0.0012332+0.00062871i,-0.0006029-0.00030192i,1.3582e-05-0.00075573i,-0.00037512+0.00013089i,-0.00033709+0.00042804i,0.00069918-0.00014442i,0.00084436-0.00090331i,0.00036615-0.00062708i,0.00068408-0.00021318i,0.0010186-0.00036689i,0.0012132-0.00027723i,0.00089292-0.00044548i,-5.2321e-05-0.00076371i,-0.00064797-5.8642e-05i,-0.0010456+0.00082452i,-0.00080816+0.00023962i,0.00025979-0.00042087i,0.00045369-0.00071294i
-0.002329+0.00055606i,-0.0017878+0.00019204i,-0.00045946+0.00088857i,8.6003e-05+0.00045021i,0.00024322-4.3495e-05i,0.00068118+0.00052402i,0.00047202+0.00047695i,-0.00011322+1.2138e-05i,-0.0012887-8.196e-05i,-0.00049334-0.00062865i,0.00068443-0.00094862i,0.00071604-0.00024311i,0.00071483+8.1962e-06i,0.00039399-0.00039191i,0.00027059-0.00061205i,0.00068074-0.00059187i,0.00099616+2.08e-05i,0.00077353+0.00012085i,-0.00013966-0.00013715i,-0.00085618-0.0005225i,-0.00091592-0.0011425i,-0.00037979-0.00089826i,0.00044552-0.00019973i
0.0039682-0.0005601i,0.0034526-0.0014481i,0.0036921-0.0011648i,0.0023738-0.00054623i,0.0004059-0.0011651i,-0.00055478-0.00094571i,0.0002017-0.00055571i,0.0015431-0.00057172i,0.001197-0.00089156i,0.00061348-0.00079252i,0.00091483-0.00042788i,0.0006085-0.0011784i,0.00015533-0.0018784i,0.00011319-0.0013866i,0.00014427-0.00073476i,-0.00036583-0.00045626i,-0.00049285-0.00026569i,0.00017147-0.00039492i,-0.00042855-0.00045991i,-0.00054664-0.00056698i,8.6712e-05-0.0006597i,0.00022408-0.00023562i,0.00038156-0.00010374i
0.0012128+3.4388e-05i,0.00025663-0.00035187i,0.00050949-0.00096286i,0.00077564-0.0012646i,0.00029508-0.00069647i,-0.00023679-4.8759e-05i,0.00053072+7.6911e-05i,0.00081205-0.00031199i,0.00059537-0.0010823i,0.00015012-0.0010308i,-0.00018248-0.0004714i,0.00024923-0.00019936i,0.00031034-0.0006949i,-0.0005311-0.0010547i,-0.00093536-0.0006422i,-0.00023105-9.0209e-05i,0.00052757+0.00024843i,-2.9993e-05-0.0001553i,-0.00038681-0.00064139i,-0.00014679-0.00053228i,0.00039362+0.00021981i,0.00078776+0.00073076i,0.0006017+0.00060184i
-0.0006051-0.0017464i,-0.00025262-0.0012973i,-0.0010265-0.0019686i,-0.0013349-0.0011183i,-0.0013093+0.00063105i,-0.00094689+0.0012562i,0.00015372+0.0008766i,0.00048797+0.00029388i,0.00014085-6.6811e-05i,0.00064382+0.00036929i,-9.5133e-06+0.0003935i,-0.00056738+0.00012941i,-0.00042517+0.00050232i,-0.0005237+0.00056464i,2.0285e-05+0.00047981i,2.64e-05+0.00018605i,-0.00028157-0.00048947i,3.6736e-05-0.00096046i,-1.8029e-05-0.00053361i,-0.00047939-0.000278i,-0.00053597+0.00022273i,-0.00013402+0.00058611i,0.00012272+0.00084621i
0.0024118-0.00077749i,0.0021797-0.0013603i,0.0019482-0.0017201i,0.0011209-0.0012045i,-0.00013237-0.00034638i,-0.00057219-0.00018633i,-0.00033855-0.00019779i,0.001045+0.00035142i,0.0014722+0.0004489i,0.00061361-0.00028414i,-0.00011843-0.00096358i,0.00010367-0.0014074i,-9.6249e-05-0.0014628i,-8.4427e-05-0.00096591i,0.00026835-0.00023268i,0.00062783+2.7554e-05i,0.00037579-0.00068621i,-0.00084654-0.0011703i,-0.0012144-9.3067e-05i,-0.00057492+0.00076561i,-9.0913e-05+0.00086784i,0.00068489+0.0010079i,0.00098925+0.00057771i
0.00051322+0.0017354i,-2.8314e-05+0.0019405i,-0.00028719+0.0031481i,-5.6575e-06+0.0030346i,-0.00023535+0.00087603i,6.0574e-06-0.00025037i,0.00035887+0.00030241i,0.00051389+0.00038152i,0.0012587-0.00074388i,0.0014356-0.0010104i,0.0013962-0.00063806i,0.0013226-2.4211e-05i,0.00044074+0.00048394i,0.00023469+0.00059861i,0.00091889+0.0003954i,0.0011886-0.00031033i,0.001187-0.00064647i,0.00089055-0.00056506i,-4.9549e-05-0.00057032i,-0.00037929+0.00024482i,-0.00023169+0.00064255i,0.00029822-6.3977e-05i,0.00054384-0.0006136i
-0.00035954-0.0002323i,0.00032314-0.0015398i,0.00044815-0.0011161i,-0.00013307-0.0014633i,-0.00076354-0.0018234i,-0.00081887-0.00091127i,9.2559e-05-0.00056391i,0.0018461-0.00038992i,0.002273-0.00048221i,0.00097671-0.001041i,0.00031528-0.0010533i,0.00073981-0.00088241i,0.00080042-0.00080782i,0.00060583-0.00058805i,0.00015663-0.00015531i,8.9947e-05-0.00022614i,0.00026336-0.00083838i,-0.0011213-0.00089683i,-0.0014444+8.4093e-05i,-0.00013514+0.00059659i,0.00073645+0.00034409i,0.00034199+0.00035224i,-0.00024529+0.00031552i
0.00091979+0.0015477i,0.00011946+0.0018489i,0.00044199+0.0017346i,0.00052416+0.00081256i,0.00048055+0.0004714i,0.0004649+0.00020562i,0.00041278-0.00069987i,-0.00012178-0.0011849i,0.00080005-0.00079344i,0.0016259+0.00012784i,0.00037356+0.00028536i,1.1023e-05+0.00053396i,0.00020121+0.00087094i,-0.00041501+0.00020152i,-0.00023589-0.00036938i,0.00033406-0.00032177i,0.00081213-0.00013916i,0.00067966-0.00029536i,-0.00060944-0.00033326i,-0.0013468-4.829e-05i,-0.00048616+6.5144e-05i,0.00083377+0.0007868i,0.00080677+0.0010995i
0.00085618+0.0016134i,0.0015476+0.001482i,0.0021261+0.0012335i,0.0022904+0.0006863i,0.0019465+0.00020241i,0.0016026+0.00028864i,0.0013263+0.00076954i,0.0015343+0.001325i,0.0013228+0.00083385i,0.00061758+2.3845e-05i,3.5373e-05-0.00099994i,0.00031824-0.001068i,0.00032895-0.00062956i,-2.979e-05-0.00030282i,1.6502e-08+8.9406e-05i,0.00052678+0.00072394i,0.0010172+0.00084173i,0.00066897-0.00016864i,-0.00030156-0.00044535i,-0.00052719+6.0464e-05i,-3.2264e-05+0.0010742i,0.00011664+0.0010051i,0.00097054+0.00013341i
-0.00039555+0.0020509i,-0.00083653+0.0025419i,-0.00045203+0.0033526i,-0.00030881+0.0023355i,0.00018676+0.00082556i,0.0010171+0.00097034i,0.0014628+0.0014429i,0.0020752+0.00095239i,0.0021685+0.00026703i,0.0012458+0.00056404i,0.00043227+2.5325e-05i,0.00050499-3.8692e-05i,-4.3115e-05+0.00053972i,0.00011901+0.00022874i,0.00083805-6.9246e-05i,0.00066914-1.7492e-05i,5.6761e-05-0.00017194i,-0.00086581-5.6202e-05i,-0.0012264+0.00025535i,-0.0010946+0.00014381i,-0.00059376+0.00015282i,0.0005283+0.00040544i,0.00062957+0.00024957i
-0.000818-0.001716i,-0.00046248-0.0014651i,-0.00078467-0.00092971i,-0.0012503+0.00023251i,-0.0017512+0.0015435i,-0.00093162+0.0020481i,-0.00010851+0.0013863i,0.00037228-0.00061517i,0.00040248-0.0018697i,7.0445e-05-0.0016586i,-0.00024245-0.0011776i,-0.00081927-0.00096804i,-0.00045197-0.0010242i,0.00048966-0.0007756i,0.0010283-0.00043895i,0.0016509+2.0314e-05i,0.0016945-3.8248e-05i,0.00082704-0.00023014i,8.4938e-05+0.00013923i,-0.00020116+5.3704e-05i,0.00026647+7.0227e-05i,0.00051092+0.0011172i,0.00058739+0.0010284i
0.0008458-0.0016245i,0.0013329-0.002559i,0.00093406-0.0033652i,0.00086574-0.0021682i,0.00037064-0.00073812i,0.00016242-0.0002886i,0.00050617-0.00057262i,0.00066846-0.00082873i,0.00015744-0.00063755i,0.00023225-0.00045494i,0.00025799-0.00017379i,-0.00029496+1.5708e-05i,-0.00035206-0.00011349i,-7.6207e-05-0.00020236i,0.00058531-0.00047195i,0.0011195-0.0012725i,0.0012657-0.0012495i,0.00049439-0.00021226i,-0.00027729+0.0003836i,-0.00025263+0.00046233i,-0.00033899+0.00059808i,-0.00077645+0.00055696i,-0.00064296-0.00036647i
0.0019754+0.00035141i,0.00076685+0.00095513i,0.0004571+9.4139e-05i,4.1231e-05-0.00096975i,-0.00056-0.0005553i,-0.00063877+7.8765e-05i,0.00052276+0.00054426i,0.001783+0.00067017i,0.0012883-0.00036125i,0.00046573-0.00097603i,0.00035668-0.0012284i,-0.00036731-0.0014109i,-0.0011069-0.0011254i,-0.00094993-0.00042276i,-0.00039962-2.3179e-05i,-0.00056588+0.00030714i,-0.00011304+0.00020482i,0.00032986-0.0002932i,0.00026343-4.9788e-05i,0.00053533+0.00067227i,9.878e-05+0.0002854i,-0.00029443-0.00012303i,-0.00028253+4.6574e-05i
-0.00048362-0.00030961i,-0.00042902-0.00014875i,-0.00011685+0.00022882i,-0.00028869+0.00079848i,-0.00014748+0.0013382i,0.00038036+0.0010224i,0.0010224+0.00047656i,0.0014229-0.00041493i,0.0013576-0.00070512i,0.00079816-0.00036732i,0.00019136-0.0008235i,1.5413e-05-0.00131i,1.4411e-05-0.0010368i,0.00057458+3.9075e-05i,0.00070897+0.00086986i,-8.1788e-05+0.00020487i,-0.00090463-0.00045667i,-0.0011507-9.0919e-05i,-0.00039531+0.00061319i,0.00018436+0.0010766i,-6.6834e-05+0.00058116i,-0.00058519-6.0536e-05i,-0.00040254-0.00035755i
-0.0021724-0.00076342i,-0.0018327-0.00087286i,-0.0010884+0.0007592i,-9.8349e-05+0.0012931i,0.00044665+0.00086722i,0.0006211+0.0011083i,0.00027348+0.0012282i,0.00017321+0.00023101i,0.00063842-0.00057851i,0.00088034-0.00025809i,0.00081168+0.00089551i,0.00059831+0.00079088i,-0.00014295-0.0011164i,0.00010933-0.0015013i,0.00026943-0.00078829i,-0.00046422-0.00044585i,-0.00030445-0.00021913i,-1.3971e-05+0.0002548i,-0.00045094+0.00030783i,-0.00027038-0.00012287i,0.0004775+0.00055108i,0.00018507+0.0018688i,0.00019352+0.0011974i
-0.0010195-9.0851e-05i,-0.00099702-0.0001537i,-0.0012179-0.00045261i,-0.0012686-0.00055382i,-0.0016465-0.00011343i,-0.00060056+0.00014149i,0.00014888-0.00029908i,-0.00017094-0.0010607i,-0.00019641-0.0010788i,-0.00010578+0.00029217i,-2.7025e-05+0.00077252i,-0.00058797+0.00032465i,-0.0010538-0.00039153i,-0.0012627-0.00025358i,-0.0011942+0.0003566i,-0.00083016+0.00015788i,-3.5132e-05-5.5393e-05i,9.4885e-05+0.00014382i,-0.0002079+0.0002008i,-0.00014456+0.00024596i,-0.00054832+0.00012435i,-0.00019204+4.8694e-05i,0.00066458+1.9252e-05i
-0.00031341+0.00042801i,-0.0012398-0.00020168i,-0.0017482+0.00044082i,-0.0016249+0.0007916i,-0.0014509+0.00086847i,-0.0016676+0.00087945i,-0.00089444+0.00032755i,-5.9658e-06+0.00024609i,-0.00016351+0.00030996i,-0.00029394-5.2875e-05i,-0.00023432-0.00042981i,-0.00014624-0.00054551i,-0.00012229+0.00037504i,-0.00022956+0.00094642i,0.00011919+0.00058295i,0.00030454+0.00031476i,-0.00014976+0.00036662i,-0.00055063+0.00064773i,-0.00090107+0.00052259i,-0.00082774-4.4401e-05i,-0.00056716+0.00025916i,0.00043829+0.0007772i,0.0011282+1.9962e-05i
0.00096641+1.0165e-05i,0.00091672-0.00048603i,0.0010296-0.0011253i,0.000695-0.00083434i,-7.361e-05+0.00039524i,0.00042058+0.00082473i,0.00095775+0.00086755i,0.0010191+0.00046562i,0.00075116-0.00028403i,-2.3873e-05-9.6619e-06i,-0.00038551+0.00050022i,-0.00026348+0.00013488i,-3.9266e-05+0.00062852i,0.00026152+0.0013793i,0.00094567+0.0015085i,0.001262+0.0010554i,0.00096232+0.00043431i,0.00043132+5.2672e-06i,-0.00068054+2.3634e-05i,-0.0012994-0.00024957i,-0.00085541+0.00013474i,-0.00034632+0.00020155i,-0.00026729-0.00067433i
0.0010918-8.6697e-06i,0.001937-0.0011413i,0.0024933+0.00037253i,0.0024118+0.00029481i,0.0015564-0.0010826i,0.00071892-0.00043178i,0.00065489-0.00011909i,0.0012005-0.00058671i,0.0012518-0.00041854i,0.00059853+3.2812e-06i,-0.00015239-0.00043654i,-0.00043641-0.0011651i,-0.00040285-0.0010228i,-0.00015776-0.0012452i,7.9644e-06-0.0011206i,9.1033e-05+8.9815e-05i,-0.00031905+0.00029182i,-0.0006286-0.00061343i,1.7527e-05-0.00045012i,0.00012127+2.1721e-06i,-0.00024756+0.00032704i,-0.00013701+0.00029635i,0.00038966+1.3589e-05i
-0.0013035-0.0016554i,-0.0027328-0.001693i,-0.0031431-0.0001629i,-0.0022017+0.0015086i,-0.001291+0.0016549i,-0.0010116+0.0012413i,-0.00044418+0.0012623i,0.00058894+0.0010318i,0.00035534-5.914e-05i,-0.00022942-0.0003913i,0.00028729-0.00046816i,0.00030247-0.00080385i,-0.00025834-0.00069691i,-0.00043231-0.00032667i,-0.0004094-0.0001624i,0.00032421-0.00010829i,0.00028788+0.00019024i,-0.00068393+0.00019731i,-0.0011054+2.2487e-07i,-0.001534+0.00090389i,-0.00095908+0.00074804i,5.2034e-05-6.328e-07i,0.00029179+9.7672e-05i
0.0010185-0.00045346i,0.0011042+1.4589e-05i,1.7613e-05+0.00043534i,-0.00086695-0.00052945i,-0.0014917-0.00069115i,-0.0015571+0.00020656i,-0.0010218+0.001016i,-0.00017697+7.5111e-05i,0.0004597-0.0013205i,0.00022289-0.0010613i,-0.00050058-0.0010156i,-0.00081245-0.00046959i,-0.00072527+0.00048799i,-0.00035483+0.00092312i,8.0329e-05+0.0003964i,0.00021301-0.00042647i,0.00081242-0.00020916i,0.00026769+2.5109e-05i,-0.00064765-0.00058048i,-0.00055675-0.00085357i,-0.0007114-0.00037788i,-0.0011398+0.00026155i,-0.0002842+0.00064987i
0.0011176-0.0020802i,0.00076535-0.0029717i,0.00025937-0.0041657i,0.0001155-0.0031883i,-0.00050374-0.00085994i,-0.0010248+0.0012192i,-0.00039349+0.00072856i,0.00034236-0.00063283i,9.0535e-05-0.001163i,-0.00045904-0.00088471i,-0.00069751+1.3445e-05i,-0.0004533+0.00018596i,-0.00088231+5.7117e-05i,-0.00038853-0.0007256i,0.00055823-0.001314i,0.00047906-0.00052546i,0.00030058+0.0003332i,7.6256e-05+2.2131e-05i,-0.00029195-0.00017012i,-0.00091442-0.00017252i,-0.0006408-0.00026576i,0.00012572-0.00023675i,5.2063e-05-0.00039814i
0.00050382-0.0023505i,0.00078361-0.0019033i,0.0013644-0.00152i,0.0008525-0.0016906i,-3.127e-05-0.00090102i,-0.00098112+0.00087273i,-0.00041732+0.0013753i,0.0010697+0.00063416i,0.00061287-0.00050357i,-0.0004167-0.0014309i,-0.00098963-0.0012347i,-0.0011989-0.0007142i,-0.00093828-0.0007067i,-0.00062565-0.00098503i,-0.0010501-0.00059179i,-0.0010483-0.00056232i,-0.00016076-0.00062778i,0.00074733-0.00066872i,0.00094994-0.0014057i,-0.00012942-0.00083251i,-0.00024088+0.00018501i,0.00073826+0.00033751i,0.00058048+0.00071713i
0.0026635+0.00050163i,0.0017679+0.0011886i,0.00099599+0.0027711i,5.5024e-05+0.0026565i,-0.0011385+0.0016417i,-0.0016582+0.0015814i,-0.00087139+0.0015926i,0.00047889+0.0007091i,0.00081546+0.0003202i,0.00079828+0.00056402i,-0.00038226+0.00032507i,-0.0009786-0.00027638i,-8.1732e-05-0.0011151i,0.0003222-0.0010617i,0.00055909+1.3802e-05i,0.00051743+0.00039533i,0.00037679-7.1121e-05i,0.00019793-0.0003846i,-3.1071e-05-0.00010344i,6.0813e-05-0.00026814i,4.6083e-05-0.00025518i,-0.00048472+0.00058757i,-0.00057656+0.00053609i
0.0005151-3.4906e-05i,0.00040886-0.00029347i,0.00037668-0.00039613i,-0.00031048+8.7887e-05i,-0.00077021+0.00065697i,-0.00010294+0.0010833i,0.00060027+0.0011303i,0.00091471+0.00088551i,0.00089078+0.00040638i,0.00024364-4.1341e-05i,-0.00030723-0.0001071i,-0.00094154+0.00060037i,-0.0015783+0.00049547i,-0.0010406-0.00034307i,0.00015089-0.00012892i,0.0007944+0.00040422i,0.00055881-9.0951e-05i,-0.00024138-0.00064047i,-0.00088609-0.00052827i,-0.00089769+0.00014996i,-0.00023801+0.00046473i,0.00088305+0.00045504i,0.0013264+0.00054906i
0.0024677-0.00025487i,0.0028051-0.00066191i,0.0024518-0.00081096i,0.00043162-0.0018242i,-0.00040297-0.0025063i,-0.00061122-0.0012536i,0.00015928-0.0003945i,0.00081254-0.00092669i,0.00054954-0.001334i,0.00058733-0.0013475i,0.00055401-0.00075666i,-0.00018479-0.00036596i,-0.00050425-0.00050124i,-0.00043151-0.00022154i,0.00031342+0.00049395i,0.0010254+0.00024852i,0.00030522-0.0001678i,-0.00068502-0.00022163i,-0.00085358-0.00012098i,-0.00085985+0.00034796i,-0.00037936+0.00041329i,0.0003345+0.00013937i,6.6697e-05-5.1485e-06i
0.0010131-0.00027464i,0.00062667+0.00024026i,-0.00047446-0.00096822i,-0.00083102-0.00038228i,-0.0012858+0.00013892i,-0.00025547+0.00015235i,0.00092271-5.8213e-05i,0.0012773-0.00032223i,0.0013128+5.5098e-05i,0.00041439+2.095e-05i,-0.00021188-1.4448e-05i,0.00051497-9.7405e-05i,0.0010039+0.00010132i,0.00027056+0.00026154i,0.00048046-0.00017978i,0.0012741-0.00079523i,0.00094803-9.7425e-05i,0.00015107+0.00030442i,6.6442e-05-0.00044012i,-3.6202e-05-0.00068932i,-0.00032803+5.837e-06i,-3.8723e-05+0.00059453i,0.000242+0.00046567i
-0.0016537+0.0041054i,-0.0011263+0.0030875i,0.00017291+0.0028205i,0.00088709+0.0034841i,0.0013077+0.0028145i,0.00072763+0.0012473i,0.0011835+0.00034853i,0.00179-0.00043843i,0.0016401-0.00042769i,0.0013031+0.00073343i,0.00079066+0.0010376i,4.1597e-05+6.9604e-05i,-0.00094551-0.0004856i,-0.00064475-0.00050176i,-0.00031421-0.00046227i,-0.0002867-0.00079004i,-3.6382e-05-0.00028009i,0.00011421+0.00039409i,-0.00010298+0.00020763i,-0.0010204+0.00041205i,-0.001255+0.00051236i,-0.000716+0.00049322i,0.00012781+0.00082415i
-0.0009368-0.0004166i,-0.00021225+0.0006138i,-0.00061096+0.0011944i,-0.00013085+0.00033581i,0.00098174+0.00018104i,0.001459-0.00028541i,0.00072469-0.00049005i,0.00017508+0.00010445i,0.00058381-0.00039242i,0.00050255-0.00087808i,-1.9388e-05-0.00052223i,-7.8845e-05-0.0007276i,-0.000185-0.0017653i,-0.00035913-0.0011947i,-0.00030923+9.2788e-06i,-0.00092405-5.4563e-05i,-0.0011865-0.0002972i,-0.00066994+3.4104e-05i,-0.00077522+0.00027926i,-0.0012513+4.6868e-05i,-0.0015442-1.9389e-05i,-0.0009742+0.00030579i,-9.0295e-05+0.00054692i
-0.00087098-0.0011182i,-0.0010187+6.3645e-05i,-0.0019743+5.1004e-05i,-0.0024085-0.00077853i,-0.002277-0.0015048i,-0.0019439-0.0013981i,-0.00022873-0.00058777i,0.0013004+0.00025309i,0.00078967-4.0996e-05i,0.0001604-0.00076873i,4.1339e-05-0.00049264i,0.00013352-0.00031541i,-0.00020278-0.00055625i,-0.0011945-0.0007341i,-0.0011048-0.00028005i,0.00021068+0.00011681i,0.00034792-4.3452e-05i,-0.00060219-0.0003979i,-0.00094253-0.00065565i,-0.00081448-0.00020068i,1.2181e-07+0.00027241i,0.00046145+0.00099191i,2.9856e-05+0.0014389i
