-0.0014159-0.001413i,-0.00059352-0.0023187i,-0.0019463-0.0020589i,-0.0021628-0.00078168i,-0.0015109+0.0011144i,-0.00022091+0.0017408i,0.00040952+0.0011123i,0.00058912+0.00033694i,0.00062497+0.00071081i,0.00023502+0.0010798i,0.00055337+0.00058717i,0.00057872-0.00041669i,7.3296e-05-0.0010165i,-2.8975e-05-0.0012398i,0.00040909-0.00093369i,0.00051769-0.00017692i,0.00040481-0.00023499i,-0.00010651-0.00058013i,-0.00035325-0.00030338i,-0.00057584-0.00055819i,-0.00045933-0.00022689i,0.00017853+0.00054827i,0.00024958+0.00060503i
-0.0021886-0.0012218i,-0.0038619-0.0030819i,-0.0041071-0.0046443i,-0.0032492-0.0037029i,-0.0018654-0.0023854i,-0.0011263-0.00094592i,-0.00059734-0.00016753i,0.00015692-0.00042687i,0.00019655-0.0007277i,-5.2262e-05-0.0013118i,-0.00026544-0.0017146i,2.607e-05-0.0012071i,0.00059428-0.0008109i,0.00037417-0.0011273i,0.00072918-0.001234i,0.0012474-0.0011945i,0.0010807-0.00068669i,0.00069021-6.8623e-05i,0.0001973+0.00030136i,-0.00051585+0.00080903i,-0.00094615+0.0011989i,-0.0005914+0.00057725i,-0.00081819+1.2391e-05i
0.00089443-0.00059439i,-1.5534e-05-0.0024559i,0.00054754-0.0029565i,1.3752e-05-0.002023i,-0.00082526-0.0010514i,-0.00068086-0.00012125i,-0.0002649-0.00086456i,-0.00034309-0.0014971i,-0.00061145-0.00051437i,-0.00084988-0.00048536i,-0.00079283-0.00093465i,-0.00059169-0.0004695i,-0.0004607-0.00016271i,0.0002595-0.00041956i,0.001156-0.00025834i,0.0013451-0.00011929i,0.00079071-0.00044243i,5.8828e-06-0.00031775i,-0.00051177+0.00017575i,-0.00074666+0.00011886i,-0.00039424-2.9974e-05i,0.00023594-0.00032546i,0.00095764-0.00063136i
0.0020485+0.00037865i,0.0014364+0.00031588i,0.0015706-5.1576e-05i,0.0013747-0.0012401i,0.0010931-0.00166i,0.001107-0.00027281i,0.00023309+0.00036789i,-0.00057072-0.0012287i,-0.00091167-0.0017524i,-0.0014945-0.0012781i,-0.00077291-0.00086503i,9.5513e-05-0.00014558i,-5.6856e-05-0.00022262i,-0.00032648-4.4852e-05i,-0.00034001+0.00019521i,0.00029945-0.00058466i,0.00073794-0.00089647i,0.00018904-0.00018145i,-0.00018782+7.0902e-06i,9.7305e-05+0.00015196i,0.00027192+0.00042374i,7.5101e-05+0.00072864i,-4.5938e-05+3.2401e-05i
0.00057587-0.0019726i,-0.00025812-0.0020142i,-0.0011221-0.0022104i,-0.00060732-0.0018946i,0.00010071+1.9412e-06i,0.00027642+0.001484i,7.046e-05+0.0015109i,-0.00038356+7.7706e-05i,-0.00061844-0.0017037i,-0.00023854-0.0017037i,0.00018485-0.00042101i,0.00017216+0.00046369i,0.00018283+0.00029528i,0.00035795+0.00055017i,0.00056875+0.00028209i,0.0005582-1.274e-05i,1.4189e-05+0.0003208i,-0.00054981+2.501e-05i,-0.00063298-0.00054261i,0.00028202-0.001022i,0.00034062-0.0012727i,6.5404e-05-0.00080673i,0.0010541-0.00026981i
-0.0010663+0.00018808i,-0.0020421-8.6205e-06i,-0.0024539+0.00022518i,-0.0017547-0.00025152i,-0.00044277-0.0004732i,-0.00017342+0.00075568i,-0.00012495+0.0012448i,-0.00046787+0.00051845i,-0.0012857-0.00011723i,-0.00091537+0.00039939i,-0.00036001+0.00024426i,-0.00035078-0.00014941i,1.4468e-05-8.2276e-05i,0.00029639-0.00010533i,0.00023421-0.00084238i,-0.00022021-0.0011191i,-0.00037497-0.00049163i,0.00030419-7.3272e-05i,0.00069232-4.5228e-05i,0.0002763+0.00044564i,-0.00052869+0.00046623i,-0.00013521+0.00013088i,0.00026065-3.1331e-05i
-0.0017975+0.00087518i,-0.003509+0.0011903i,-0.0038377+0.00097706i,-0.0025099+0.00087243i,-0.001303+0.00097064i,-0.00057824+0.00066888i,-0.00010292+1.2366e-05i,-1.4579e-05-0.00020935i,-0.0004748+0.00046848i,-0.00091132+0.00058737i,-0.00088293-3.6458e-06i,-4.4543e-05-0.00035159i,0.00093073-0.00053684i,0.0013455-0.0011101i,0.0010881-0.00064155i,0.00035113+0.00025758i,-0.00056431+0.0002163i,-0.0006687-0.00017199i,0.00037044-0.0002687i,0.0005904-0.00026009i,0.00069339-0.00086842i,0.00098965-0.00066057i,0.0004263+0.00038319i
-0.00078299-0.00023039i,-0.0023388-0.0013906i,-0.0031368-0.0002427i,-0.0024812-0.00054841i,-0.0011211-0.00047543i,-8.3153e-05-7.4392e-05i,-0.00042916+0.00026694i,-0.00088292-0.00039921i,-0.00042834-0.0013752i,-0.00014264-0.00097136i,-6.2071e-05-0.00054209i,0.00053489-0.00049125i,0.000448-0.00066308i,-2.5948e-05-0.00058189i,0.00030146-0.00024795i,0.0005258-0.00060456i,3.8023e-05-0.0011391i,0.00039558-0.00067695i,0.00076295-0.00037551i,0.00043469-0.00036874i,-0.00031584-0.00025285i,-0.0012653+0.00010764i,-0.00099744+0.00011837i
-0.00029226-0.00041393i,-0.0012966-0.0016198i,-0.0037015-0.0019339i,-0.0033239-0.0021134i,-0.0013399-0.00098937i,5.3492e-05+0.00041401i,0.00064188-9.9294e-05i,5.9726e-05-0.00086947i,-0.00095438-0.0011353i,-0.0012068-0.00050597i,-0.00041478-0.00017447i,0.00011907-0.00039067i,0.00067491-0.00021061i,0.00074994+0.00047027i,0.00037929+0.00061874i,0.00094327+9.2174e-05i,0.0014098-5.1047e-05i,0.00043021-4.7823e-05i,0.00010207+0.0001346i,-1.889e-05+4.4648e-06i,-0.00066574-0.0010965i,4.7485e-05-0.00097738i,0.00071058+0.00022516i
-0.00098648-0.0016577i,-0.0022717-0.0022965i,-0.0027223-0.0032247i,-0.0022197-0.0030782i,-0.0016665-0.0017299i,-0.00090256+0.00041089i,-0.00062577+0.00086299i,-0.0013086-0.0005133i,-0.0017664-0.00084667i,-0.00081751-0.00086746i,0.00038497-0.00044908i,0.00053554+0.00038326i,0.00062289+0.0002294i,0.0011471-0.00011354i,0.0018664-0.00040896i,0.0025247-0.00072167i,0.0013842-0.00097236i,-4.6264e-05-0.00034794i,-0.001171+0.00070745i,-0.0015122+0.00072697i,-0.00079501-4.6121e-05i,9.798e-05-0.00025514i,0.00074369+3.8573e-05i
-0.00085743-0.0012697i,-0.0011472-0.0020999i,-0.00084401-0.0020924i,-0.00064501-0.0013723i,0.00052779-0.00042151i,0.0013247+0.00030753i,0.0011756+0.00080654i,-0.00033021+0.00063206i,-0.0017478+0.00048964i,-0.00097715+0.00048289i,-0.00023715+0.00049537i,-0.00036511+0.00037491i,-0.00056193+0.00035379i,0.0004592+0.00066082i,0.0011561+0.00038087i,0.00047008-0.00049196i,1.6293e-05-0.00057909i,0.00013816-0.00055514i,5.8244e-05-0.00050626i,-0.00031797-0.00026117i,-0.00011421-0.00050655i,0.0005191-4.3186e-05i,0.00037029+0.00017226i
0.00046981-0.0010857i,9.4591e-05-0.0018133i,-0.00022362-0.0020747i,0.00036447-0.0012262i,0.00074419-7.4162e-05i,0.0014034+0.00030412i,0.0019+0.00032488i,0.0008935+0.00024289i,-3.1438e-05+0.00033961i,-0.00066831+0.00037801i,-0.0011624-0.0005147i,-0.00033116-0.00086356i,0.0010185-0.00071571i,0.0013605-0.0012303i,0.00096179-0.0012663i,0.00057503-0.00029372i,0.00025631-6.9993e-05i,-0.00015953-0.00039163i,0.00030639-0.00019441i,0.00047748-0.00011764i,0.00047799+0.0001233i,0.00076573+0.0011531i,0.00056161+0.001204i
0.0013459-0.00093543i,0.00076763-0.00093839i,0.000749-0.0012711i,0.00061811-0.0010364i,0.00032259-0.00079863i,0.00069809-0.00021752i,0.0010914+0.0002789i,0.00088764-5.9866e-05i,0.00033282-0.00039916i,0.00034059-0.00013366i,0.00055283-0.00041216i,0.00023628-0.0014176i,8.9047e-05-0.0013894i,0.0007512-0.0002202i,0.00098731+0.00020229i,0.00062325+0.00027759i,0.00013935-0.00025459i,-0.00084806-0.00056164i,-0.0014051-0.00068526i,-0.00047988-0.00097884i,0.00058413-0.00087283i,0.00066168-0.00024169i,0.00063795-0.00010706i
-0.00064493-0.00027774i,-0.0020085-0.0013536i,-0.002156-0.002008i,-0.0014198-0.0024198i,-0.00044199-0.00216i,-0.00012407-0.0010629i,-0.00011017-0.00057369i,-0.00027404-0.0014759i,-0.0004115-0.0018548i,-0.00090627-0.0015264i,-0.00098036-0.0008593i,-0.00038806-0.00039397i,-0.00012915-0.00031316i,0.00028492+0.00051663i,0.0013503+0.00066293i,0.0015276+0.00033114i,0.00066232+0.00055669i,-0.00049481+0.00039552i,-0.00091406-3.1502e-05i,-0.00089387-0.00065976i,-0.00024474-0.00075721i,0.00030839+0.00024401i,-0.0001512+0.00063029i
-0.0020082+0.00099271i,-0.0028586+0.00015556i,-0.0022009-0.0002697i,-0.00027953-6.8049e-05i,0.0006228-8.8751e-05i,0.00078233+5.2628e-05i,-0.0010151+0.00051527i,-0.0020258+0.00027926i,-0.0010663-0.00032173i,-0.00022653-0.00041426i,-2.2268e-05-0.00068242i,-0.00079015-0.0005951i,-0.00078582-0.0010272i,0.00068695-0.00099081i,0.00091845+5.3631e-05i,0.0003071+8.7386e-05i,1.2768e-05-0.00048645i,0.00016925-0.0006191i,-0.00014119-4.4639e-05i,-0.00061907+0.0001198i,-0.00047253-0.0010443i,0.00026408-0.0012343i,0.00064098-0.00041973i
6.7959e-05+0.00012292i,-0.00021435-0.00055298i,-8.7439e-05+0.00059425i,0.00047281+0.0011984i,0.00012699+0.0010666i,-8.6069e-05+0.00089739i,0.00067609+0.00021539i,-0.00030215-0.00057942i,-0.0019855-0.00051764i,-0.001388+0.00046092i,-0.00011314+0.00026197i,-1.9052e-07+1.9484e-05i,0.00025221+0.00051241i,0.00031155+0.00068304i,0.00017651+0.00040744i,-0.00024356+0.00011212i,-0.0004924-0.00057932i,-0.00030211-0.00074563i,-0.00044534-0.00046951i,-0.0004625-0.00023632i,3.9665e-05-5.9014e-05i,0.00012089-0.00039276i,-0.000161-0.00079355i
-0.0013042-0.00066295i,-0.0020852-0.00041345i,-0.0035411-0.00039346i,-0.0032454-0.00028387i,-0.001343+0.00038986i,0.0011984+0.0012971i,0.0016615+0.0014715i,1.3922e-05+0.00068714i,-0.0016786+0.00038338i,-0.0011275+0.00066546i,2.0652e-05+0.00031296i,0.00049205+0.00026851i,0.00043597+0.00059816i,0.00011314+0.00021021i,-0.00010185-0.00046304i,0.00033396-0.0015074i,0.00085748-0.0017364i,-7.1072e-05-0.00065756i,-0.00074173-0.00012879i,-0.00067766-3.2896e-05i,-0.00043668-0.00019663i,-0.00021797-0.00018265i,-5.9572e-05-1.3577e-06i
-0.00032502-0.00037819i,-0.00057509-0.0014693i,-0.00030959-0.0016055i,0.0005702-0.0011766i,0.001122-0.0013686i,0.0015267-0.00081872i,0.00088281-7.6391e-05i,0.00014881-0.00029136i,-0.00034722-0.00073207i,-2.9103e-05-0.00056485i,0.0003626-0.00013201i,0.00021561+0.00082432i,0.00051151+0.0011988i,0.00075954+0.0005793i,0.00050978+4.1505e-05i,0.00034795+0.000126i,0.00036632-0.00072304i,-0.00044897-0.0014023i,-0.00098456+6.714e-05i,-0.00085541+0.00073216i,-0.00092596+0.00039563i,-0.00037614+0.00021883i,0.00020686+0.00021281i
0.00056017-0.0030246i,-0.0017198-0.0028371i,-0.0023974-0.0030061i,-0.0023067-0.0016659i,-0.0020419-0.00076942i,-0.00069625+0.00074197i,0.0002449+0.0015819i,-5.9237e-05+0.00030574i,-0.00085653-0.00043714i,-0.0007631-0.00054791i,-0.00043245-0.00081718i,-0.00046943-0.00058304i,0.00029977+0.00022437i,0.00018916+0.00091524i,0.00012801+0.00035919i,0.00067166-0.00058933i,0.00035175-0.0011364i,-5.7348e-05-0.00029382i,2.3242e-05+0.00038292i,0.00046478+1.928e-05i,0.0003879+0.00012877i,-5.8738e-05+0.00010646i,0.00027966-0.00048647i
-0.00031995-0.00061759i,-0.0017328-0.0009063i,-0.0019829-0.0012628i,-0.001286-0.00089824i,-0.00069177+4.4038e-05i,-0.00040678+0.00025448i,0.0003173-0.00025108i,0.0002691-0.00010573i,-0.00099547-4.6313e-05i,-0.00094522-0.00054555i,0.00036324-0.00079657i,0.00050073-0.0010186i,0.00029565-0.0012559i,0.00045848-0.0008773i,0.00065153-0.00042874i,0.0010792-0.00048126i,0.0006483-0.00040828i,0.00017463-0.0001383i,0.00036921-8.838e-05i,0.0004751-0.00054803i,0.00043325-0.00043812i,-5.2364e-05+0.0003091i,-0.0004952+0.00065852i
0.0014426+0.0012853i,0.00030194+0.00063861i,7.5447e-05+0.00076035i,0.00038837+0.0012863i,0.0012105+0.00053583i,0.0014213+0.00043241i,-0.00025122+0.00041955i,-0.0012931-0.00034435i,-0.0010054+0.00018405i,-0.00063126+0.00010531i,-0.00063872-0.00065618i,-0.00066428-2.8862e-05i,-0.00079708+0.00028084i,-0.00041277-0.00016827i,0.00032779-5.7342e-05i,0.00028479-0.00053491i,0.00028786-0.00086932i,6.5766e-05-0.00080335i,-0.00026711-0.00081915i,-0.00052036-0.00025219i,2.0071e-05+7.1302e-05i,0.00014691+0.00078912i,0.00026148+0.00041665i
0.00072371+0.001719i,0.00018558+0.0013498i,-0.00041107+0.00095253i,0.00022651+0.00070091i,0.0012158+0.00067971i,0.0016107+0.0014889i,0.00086408+0.001645i,-0.00073507+0.0011328i,-0.0012109+0.00012461i,-0.00039847-0.00082747i,0.00035093-0.00095258i,0.00063927-0.00072334i,3.8248e-05-0.00064282i,0.00020869-0.00047992i,0.00068755-0.0007785i,0.0008092-0.0010619i,0.00071794-0.00067529i,0.00038183+1.6119e-05i,0.00026117+0.00054451i,0.00011725+0.0010449i,-0.00070263+0.00086359i,-0.0010929+0.00037707i,-0.00061259-9.3944e-05i
