-0.0023814+0.00099187i,-0.00059252-0.00060574i,-0.0016505-0.00010777i,-0.0027679+0.0015512i,-0.0025374+0.0029717i,-0.0025246+0.0027111i,-0.0019363+0.0016289i,-0.00068449+0.0018822i,0.0003323+0.0018285i,0.00042149+0.0011047i,0.00054377+0.00060309i,0.00086138-6.4879e-05i,0.0005701-0.00014885i,0.00024675-0.00056809i,3.8349e-05-0.00060502i,-0.00019142+0.00013313i,-0.00051716+0.0003091i,-0.00081243+0.00030274i,-0.00061005+0.00090555i,0.0001478+0.00050695i,0.00044674-0.00040205i,-5.6208e-05-0.00052316i,7.634e-05-0.00021454i
-0.0018687-0.0031966i,-0.00068319-0.0039003i,-0.0010241-0.0026106i,-0.0019651-0.00037373i,-0.001555+0.00097274i,-0.00068027+0.0010512i,-0.00031307+0.00079361i,-0.00081063+0.0010123i,-0.0010717+0.001272i,-0.0005688+0.0005338i,9.1535e-05-0.00086466i,0.00033502-0.0011937i,0.00012162-0.00096285i,-0.00027433-0.00053268i,-0.00055699+0.00011494i,-0.0011886+0.00051897i,-0.0010986+4.8382e-05i,-0.00060649-0.00010337i,-0.0011446+0.00039867i,-0.00099067+0.00042824i,8.5686e-06+0.00065808i,0.0002051+0.00050328i,-0.00021874+0.00024463i
-0.00095179-0.00059847i,-0.001565-0.00072615i,-0.0017626-0.0006656i,-0.0017764+1.3801e-06i,-0.0015966+0.00024996i,-0.0019246-0.00012407i,-0.0017793-0.00010373i,-0.00086543+0.0010397i,-0.00016237+0.0010183i,0.00042593+0.00049533i,3.8447e-05+0.00017455i,0.00032989+0.00047223i,0.0010457+0.00063001i,0.00069589+0.00048i,0.00057961+0.00039408i,0.00072407+1.1929e-05i,6.7542e-05-0.00027965i,-0.00054696-0.00049751i,-0.00058988-0.00018256i,-0.00032877-4.3531e-05i,6.9053e-05-0.00070673i,0.0002573-0.0010876i,-0.00033881-0.00052219i
-0.00013072+0.0019181i,-0.0013119+0.0021943i,-0.0010492+0.0017818i,0.00034772+0.00041466i,0.0013613-0.00044304i,0.00077022-0.00093078i,-0.000395-0.00098685i,-0.00056604-0.0007052i,-0.00072694-0.00011839i,-0.00037791+0.00063876i,0.0006175+0.00038457i,0.00028665-0.00058217i,-0.00018987-0.00052403i,-0.0008146-0.00017475i,-0.00093801+0.00010924i,-0.00046375+0.00068883i,0.00041392+0.00050204i,3.6776e-05-0.00031604i,-0.0014569-0.00062268i,-0.00055468-4.8758e-05i,0.00018121-5.0031e-05i,-6.5264e-05+9.087e-05i,-2.0508e-05+0.000604i
0.0012779-7.1918e-05i,0.0014985+1.4692e-05i,0.0011634-0.00055716i,-0.00016-0.0012816i,-0.00089434-0.00072991i,-0.0004361-2.656e-05i,-0.00088922+0.00035908i,-0.0014411+0.00043264i,-0.00045562+0.00013091i,0.00013546-0.00021474i,5.2661e-05-0.00014593i,-0.00011535+0.00057278i,-0.00052395+0.00032335i,-0.00018772-0.00044436i,0.00086908-0.00014352i,0.0011676+5.4078e-07i,0.00067731-0.00065477i,1.7352e-05-0.00079432i,-9.6172e-05-0.00032337i,1.1135e-05+0.00059214i,-0.00026998+0.00033465i,-0.00040981-0.00012322i,-0.00024362+0.00018143i
-0.00018057+0.0014714i,-8.7705e-05+0.0020899i,-0.00048357+0.002522i,-0.00088138+0.0017329i,-0.00089935+0.001148i,-0.0010181-0.00021888i,-0.00095984-0.00069178i,-0.00090038+0.00097523i,-0.00068191+0.0022379i,0.00037888+0.0018288i,0.0012945+0.00092996i,0.0011409+0.00036315i,0.00056726+0.00010393i,-0.00014657-7.773e-06i,-0.0010631-0.00046554i,-0.0013576-0.00044589i,-0.00086608-0.00051037i,-0.00081176-0.00057752i,-0.00055326+0.00011432i,-0.00016899+0.0004659i,-0.00058009+0.00027999i,-0.00087394+0.00060414i,-0.0004026+0.00065716i
0.0012479+7.945e-05i,0.00063632+4.6507e-06i,0.0017543-0.00034495i,0.0026622-0.0007093i,0.0017282-0.0001927i,0.0005666+0.00056101i,0.00085213+0.00025011i,0.00034145-0.0002914i,-0.0011133-0.00020829i,-0.00067677-0.00031569i,0.00019542-0.00013973i,0.00063798+0.00050725i,0.00063743+0.00016198i,-0.00018211+0.00020469i,-0.00057833-0.00012456i,-0.00026913-0.00035287i,-0.00041724-0.00055319i,-0.0011272-0.0011439i,-0.00059932-0.00053731i,1.7321e-06-0.00010137i,-0.00029859-0.00021449i,-0.0005028+0.00051024i,-0.00015629+0.0010869i
0.00095588-0.0013945i,-0.00017543-0.0018414i,-0.0012738-0.0021318i,-0.0015976-0.001387i,-0.0011843-0.00051958i,-0.00045893+0.00031637i,-0.00088032+0.00045816i,-0.0015842-0.00033638i,-0.0013107+9.6302e-05i,-0.00023799+0.00079423i,0.00056903+0.0007195i,0.00060416+0.00058048i,0.00017287+0.00058823i,-6.3525e-05+0.00046038i,-0.00042087+0.00038941i,-0.0003543+0.00054025i,-0.00042247+0.00084629i,-0.00046612+0.00085276i,-1.1596e-05+0.00077701i,-1.2748e-05+0.0011355i,-0.00021024+0.00087611i,0.00029018+0.00013522i,0.00080289-0.00047183i
-0.00072972+0.00037047i,0.00021151+0.00068252i,-0.00053556+0.0010203i,-0.0015356+0.0013627i,-0.0012441+0.0015511i,-0.00011034+0.00045928i,-0.00018619-0.00028588i,-0.00019939-0.00027566i,0.00059159+6.8462e-05i,0.0012502+5.5555e-06i,0.0013439-0.0009855i,0.0011095-0.00089467i,0.0013736-0.00050764i,0.00086998-0.00060051i,-1.8263e-05-0.00060154i,-0.00010628-0.00041342i,-2.9311e-05-6.6419e-05i,-0.0004673+0.00053137i,-0.00046135+0.0011711i,-0.00032858+0.00068183i,-0.00045969+4.9807e-05i,-0.00029503-8.7106e-05i,-0.0005304+4.7833e-05i
0.00025806+0.00048672i,-0.00068234+0.00086084i,-0.0012354+0.00071554i,-0.0010137+0.0010809i,-0.0004908+0.001159i,0.00046588+0.00065402i,0.00050991+0.00075036i,-0.00057981+0.00074914i,-0.00083542+0.00021861i,8.0801e-05-0.00028204i,0.00058913-0.00062854i,0.00089446-0.00053263i,0.00022492-8.5887e-05i,-1.0307e-05+0.00022725i,-6.4299e-05+0.00031822i,-0.00057522-0.00020381i,0.00019302-0.00079286i,0.00056095-0.00030146i,-0.00016696+6.6993e-05i,-0.00094771+0.00014237i,-0.0013131-0.00059404i,-0.0009077-0.0011062i,-0.00046557-0.00061439i
-4.3807e-05-0.00023785i,0.0006267-0.00013768i,0.00091765+0.00024387i,0.00039886+0.0005032i,0.00041885+0.00026042i,0.00051781+4.7379e-05i,-0.00039683+0.00057612i,-0.001242+0.00060207i,-0.0012567+0.00054165i,-0.00038752+0.00061937i,0.00068452+0.00019145i,0.0014105+0.00028677i,0.0013895+0.00042198i,0.00071272-0.00042548i,0.00038296-0.00072595i,0.00019494-2.5323e-05i,2.6988e-05-0.00019909i,-0.00060184-0.00029879i,-0.00060148-8.7432e-05i,7.7647e-05+0.00017816i,-0.00015852+0.00042777i,-0.00037493+7.3505e-05i,-0.00030289-0.00024179i
0.0013478+0.0007643i,0.0010958+0.001193i,0.00049782+0.00028134i,-0.00094949-0.00095537i,-0.0014203-0.0016248i,-0.0015237-0.0013609i,-0.0018798-0.0015362i,-0.0013213-0.00078112i,-0.00023734+0.0004943i,3.0063e-05+0.00068029i,-0.00018458-3.2501e-05i,0.00030996+6.1508e-05i,0.00044501+7.3138e-05i,-0.00012194-0.00051139i,-0.00056845+0.00030701i,-0.00077025+0.00037387i,-0.00038813+0.0001856i,0.00014275+8.3377e-05i,0.00042039+0.00025423i,0.00052969+0.00032372i,-0.00014544-0.00032059i,-0.00014347-0.00065149i,0.00026126-0.00052232i
-0.00024016+0.0017664i,-0.00077139+0.00091394i,-0.00092049-0.00032348i,-0.00056662-0.00091044i,-0.00029578-0.00079174i,0.00032067-0.00093536i,-0.00029486-0.0013366i,-0.00062166-0.00026933i,-0.00064319+0.0011134i,-0.00013458+0.00071794i,0.00061525+1.7124e-05i,0.00057156+0.00028952i,1.5089e-05+8.7594e-06i,-0.00067286-0.00063232i,-0.00059803-0.00033157i,-4.3155e-05+0.00031164i,-0.00061475-0.00044668i,-0.00090959-0.00074681i,-0.00051239+0.00014736i,-0.00080907+4.5177e-05i,-0.0010126-0.00025101i,-0.0011133+0.00013541i,-0.00083175+0.0004097i
0.00088137+0.0012521i,0.0016793+0.0012377i,0.0030561+0.00010393i,0.0020984-4.6783e-05i,0.0015075+0.0003608i,0.0010642+0.00022918i,-1.7111e-06-0.00052859i,4.4707e-05-0.00085089i,0.0008287+0.00018531i,0.0011195+0.00059169i,0.0010551-0.00062522i,0.00074851-0.001467i,0.00017888-0.00092671i,-0.00024002+0.00014844i,-0.0001353-0.00010899i,0.00016773-0.00033626i,-0.00044243+0.00067528i,-0.00076163+0.00040264i,-0.00063608-1.9492e-05i,-0.00034273+0.00074099i,-0.00047046+0.00091278i,-0.00097843+0.00016852i,-0.00027847-0.00032757i
-0.00022774+0.00075577i,-0.00059981+4.6979e-06i,-0.00098988+0.00026057i,0.00044628+0.001022i,0.0012179+0.0012534i,-4.1202e-06+0.00096883i,-0.00034046+0.00053844i,-1.9083e-06+0.00063946i,-2.1425e-05+0.0007194i,-3.7808e-05+0.00075366i,0.00012805+0.00062489i,0.00071204+0.0001681i,0.0011147+5.9519e-05i,0.0006057-7.7042e-05i,0.00011545-0.00042599i,0.00027395-0.00067439i,3.7613e-05-0.0002323i,-0.00027561-0.00018415i,-0.00017801-0.00021444i,0.00012692+0.00040935i,-0.00025974+0.00047715i,-0.00083897+0.00030299i,-0.00019098+0.0003326i
-0.00098821-0.001408i,-0.0018712-0.00049764i,-0.0028103+0.00029004i,-0.0035087+0.0020796i,-0.0032748+0.0031072i,-0.00093334+0.0017426i,0.0006336-0.00022694i,0.00024718-0.0004607i,-0.00065644+0.0006154i,-0.00086214+0.00068363i,-0.00027259-0.00019241i,7.5039e-05-0.0010732i,-0.00041492-0.0012182i,-0.00081201-0.0006878i,-0.00037239-0.00033681i,-0.00035239-0.00064108i,-0.00083089-0.00074799i,-0.00093454-0.00058755i,-0.00054987-0.00017747i,-0.00024299+0.00069007i,0.00031495+0.0012378i,0.0001602+0.00058347i,-0.00046958+0.00010857i
-0.0036984+0.00061313i,-0.0035788+0.00054962i,-0.0033507+0.00095613i,-0.0028203+0.0021576i,-0.000424+0.0024839i,0.00044747+0.0020301i,-0.00074148+0.0014474i,-0.0014265+0.00083686i,-0.0011343+0.00050515i,0.00046648+0.00053757i,0.0010046+0.00014679i,0.00044077-0.00081513i,0.00061884-0.0012523i,0.00084586-0.00072349i,-2.825e-05-0.00020136i,-0.00060111+0.0002385i,-1.5899e-05-0.00013016i,0.00027946+0.00035452i,-0.0014815+0.001016i,-0.0016187+0.00060316i,-0.00010881+0.00036442i,5.8316e-05-0.00035156i,5.6226e-05-0.00051153i
-0.00024049+0.0004118i,-0.00027738-0.00013756i,0.00025344-0.00049534i,6.3763e-05-0.00052295i,-0.00021762+8.0651e-05i,-0.00017413+0.00053369i,-0.00046694-0.00012806i,-0.0010127-0.00051699i,-0.00077686+0.00016752i,0.00017955+0.00026193i,0.0012357-0.00056417i,0.0017456+6.5899e-05i,0.0015243+0.00051832i,0.00065792-0.00049359i,-0.00026679-0.00078262i,-0.00049743-0.00065056i,0.00038816-0.0009743i,0.00035707-0.00084607i,-4.8739e-05-0.00060763i,-6.1692e-05-0.00055719i,0.00011143-0.00018724i,0.00038287+0.00069282i,0.00058349+0.0010965i
0.0015413+0.0011473i,0.00015258+0.0012075i,-0.00056697+0.00076033i,-0.00016595-0.00022016i,0.00021518-0.00084317i,-1.8811e-05-0.00046822i,-0.00095931-0.00024913i,-0.001248-0.00018851i,-0.00065439-9.2449e-05i,0.00015406+5.0947e-06i,0.00078856-0.00012314i,0.00032893-0.00057807i,-0.00090867-0.00072036i,-0.0010285-0.00016328i,-0.00069305+0.00037065i,-0.00062812+0.00035308i,-0.00010154+0.0004719i,-0.0002137+0.00047107i,-0.00051581+0.00051982i,-0.00041108+0.00048873i,-0.00083661-6.1493e-05i,-0.00017128-6.4535e-05i,0.0007624+0.00021293i
0.00069486-0.00032178i,0.00061818-0.00039101i,0.0015283-0.00046441i,0.0020481+0.00046968i,0.00060793+0.0015623i,-7.2271e-05+0.00091923i,0.00042869-0.00023264i,0.00026881-1.806e-06i,0.00011833+0.00080115i,0.00079767+0.00042963i,0.00044282-0.00028313i,0.00030181-0.00022043i,0.00060912-0.00016115i,0.00016777-0.00051747i,-0.00038477-0.00020076i,-0.00061827+0.00023995i,-0.0008943-0.00034744i,-0.00068525-0.00063045i,-0.00053176+0.00013446i,-0.0002226+0.00078496i,-0.00041219+0.00062739i,-0.00043275+0.00057775i,0.00032027+0.00035281i
-0.00026012-0.00084077i,-0.00081351-0.00020381i,-0.00035933+0.0006724i,-0.00097805+0.0019163i,-0.001489+0.0018166i,-0.00043391+0.00031417i,-0.00064268-0.00084236i,-0.0015518-0.0005562i,-0.00084954+4.3348e-05i,0.00075492+2.2765e-05i,0.0013805+0.00065661i,0.00099703+0.00084836i,0.00054704+0.00028592i,0.00051865+0.00032448i,0.00050634+0.00012904i,0.00029353-8.4257e-05i,-6.8379e-05-0.00020384i,-0.0002018-0.00016688i,4.3938e-05+0.00043778i,-0.00018565+0.00036728i,-0.00040449+2.9743e-05i,-0.00055295-0.00035477i,-0.00069252-0.00033596i
-0.00025914+0.00034544i,-0.00071655-1.7355e-05i,-0.0017734-0.00016461i,-0.0018377-0.00096601i,-0.00048854-0.00094605i,0.0013889-0.00069139i,0.00058917-0.00030401i,-0.00071614-0.00021377i,-3.9341e-05+4.1429e-05i,0.00042253+0.00028652i,0.00054309-0.00026952i,0.0010735-0.00044857i,0.001439+7.102e-06i,0.00068393+6.6547e-05i,1.0877e-06-0.0001036i,0.00026324+0.00052239i,0.00055032+0.001238i,0.00081329+0.001165i,0.0011521+0.00084237i,0.0012137+5.621e-05i,0.00057941-0.00020759i,-0.00049003+1.893e-05i,-0.00014396-1.3418e-05i
0.00082295-0.00066293i,0.00075522-0.0010526i,0.0010002-0.0012702i,-0.00032125-0.00093839i,-0.0014682+3.6266e-05i,-0.0014903+0.00074887i,-0.0013681+0.00028447i,-0.00092941-0.00016162i,-0.00019305-9.9669e-06i,0.00032396+0.0001532i,0.00076352+0.00029489i,0.0012849-0.00018316i,0.00097929-0.00016921i,0.00011599+0.00063256i,0.00068593+0.00055877i,0.00054964-0.00018125i,-0.00028276-0.0008587i,-0.00031699-0.00057025i,-0.00021978+3.6038e-05i,0.00018125-3.5167e-05i,0.00034204-0.00046366i,0.00063564-0.00029549i,0.00093738+0.00054351i
0.0027877-0.000674i,0.0019024-0.00055044i,0.0030873-0.0014537i,0.0021961-0.0025344i,0.00076695-0.0024874i,-0.00021919-0.001161i,-0.000986-0.00069592i,-0.00050253-0.00029925i,-0.00040058-1.529e-05i,9.5837e-05-0.00045833i,0.00070514-0.00032088i,0.00044628-0.00031229i,0.00024844+0.00011539i,-7.4652e-05+0.00095105i,-0.00014626+0.0010749i,0.00012295+0.00026715i,0.00025607-0.00065664i,-0.00025513-0.00036964i,-0.00075251+0.00041853i,-0.00038199+0.00031962i,0.00024501-0.00042314i,0.00045576-0.0005506i,0.00024812+0.00011437i
0.0022099-0.0013612i,0.0023456-0.00043102i,0.002448-0.00071129i,0.0019638-0.0011773i,0.00054096+0.00011256i,2.059e-05+0.0010825i,0.00033023+0.00054411i,-0.00024232+0.0001023i,0.00016371+8.791e-05i,0.00016632-0.00090078i,0.00044114-0.00079982i,0.00080612-0.00021636i,8.3423e-05-0.00032924i,-0.0009673+0.00029734i,-0.0014904+0.00053953i,-0.0014106-0.00032352i,-0.001056-0.0005916i,-0.0011509-0.00028677i,-0.00089295-0.00031885i,0.00024085-7.472e-05i,6.8995e-05+0.00031633i,-0.00079362-3.8813e-05i,-0.00039509-0.00069452i
-0.00081918-0.00053836i,-0.001036-0.0012115i,-0.0018702-0.0017971i,-0.0028965-0.0017125i,-0.0021566-0.00077271i,-0.00041364-4.3736e-05i,0.00022976-3.8333e-05i,-0.00011186+0.0003953i,-0.00019399+0.00048203i,-0.00021862+0.00050059i,-0.00018071+0.00032933i,0.0002047-0.00033182i,0.00087893-0.0010615i,0.00026779-0.0012031i,-0.00022435-0.0011088i,0.00030623-0.0006127i,0.0001211+0.00038249i,-0.00055513+0.00057703i,-0.0009834+0.00022442i,-0.00088208-3.0564e-05i,-5.7685e-05-0.0002337i,0.00040534+0.00013858i,0.00027254+0.00031888i
-0.001191+0.0017737i,0.00010596+0.0010503i,0.00026298+0.0019029i,0.00079031+0.0023073i,0.001895+0.0019186i,0.0013327+0.00091407i,0.00012164+0.00074881i,-0.0011428+0.00089192i,-0.0016979+0.00064507i,-0.00083566+0.00016508i,0.00034519+0.00010002i,0.0010164+0.00018301i,0.00065824-0.00089319i,-8.1699e-05-0.0010685i,-0.00062576+2.1292e-05i,-0.0011191+0.00073316i,-0.0012552+0.00033691i,-0.00063321+9.8734e-07i,-0.00058334+0.00021623i,-0.00019434-0.00035897i,0.00036217-0.00095628i,-0.00021354-0.0012905i,-8.9585e-05-0.0010659i
-0.00090119+0.00085343i,-0.00018368+0.0015975i,0.00021502+0.0025198i,0.00028751+0.0022378i,-0.00029504+0.0013925i,-0.0007575+0.00092506i,-0.00046299+0.001222i,-0.00025243+0.0012595i,2.8375e-05+0.00094293i,0.00057554+0.00040243i,0.00062845-0.00031975i,6.4351e-05-0.00066448i,0.0003314-0.00020449i,6.4222e-05-0.00013377i,-0.0011202-0.00037092i,-0.00053231-0.00047465i,0.0004006-0.00088256i,-8.2646e-05-0.00015622i,-0.00057101+0.00037909i,-0.00039932-0.00025616i,-0.00035441-0.00065744i,-0.00061588+0.00028226i,-0.00038047+0.00098507i
0.0021193-0.0022536i,0.00070587-0.0020799i,-0.00019238-0.0024347i,-0.00084079-0.0015308i,-0.00098888-1.558e-05i,-0.00063064+0.00057411i,-0.00020016-0.00024765i,-0.00033584-0.00077703i,-0.00071071-9.0293e-05i,4.1801e-06+0.00044334i,0.00071122+0.00030654i,0.00078492-0.00010237i,0.0010876-3.9438e-05i,0.00063815+8.3144e-05i,0.00050045+0.00016456i,0.00087139-2.1095e-05i,0.00034506-0.00035147i,-0.00047361-0.00015602i,-8.3435e-05+0.00024002i,0.00040977+0.00050006i,0.00016414+8.4432e-05i,0.00020471-0.00080813i,3.5846e-05-0.00032006i
0.00089527+0.0010806i,0.0010922+0.00084608i,0.00045528+0.00010799i,-0.00097838+0.0005559i,-0.0013355+0.0016823i,-0.00095672+0.0017262i,-0.00112+0.00010331i,-0.00073156-0.00038384i,-0.00029431+0.0002554i,-0.00020331-0.00050163i,0.00044238-0.0010035i,0.00067834-0.00059681i,-1.2358e-05-0.00012697i,-0.0001569+0.00046314i,2.3826e-05+0.00048564i,-0.00031187+0.0004906i,-0.00020355+0.0001529i,0.00049651+0.00039876i,6.55e-05+0.00092171i,-0.00058379+0.00054892i,-0.00037338+0.00075761i,-0.00085196+0.0011691i,-0.00086887+0.00079937i
-0.00024106-0.00040815i,-0.000389-0.00048694i,-0.0011643-0.0006448i,-0.00081512-0.000768i,-0.00013189-0.00077529i,-0.00046192-0.00013038i,-0.00058396+2.8506e-05i,-0.00037647+0.00016499i,-0.00074785+0.00051637i,-0.0005226+0.00086051i,-0.00011936+0.00059659i,-0.00011245-0.00062106i,-0.00028142-0.0010657i,-0.00075027-0.00072498i,-0.00079889+0.00013762i,-0.00036826+0.00078553i,-8.0011e-05+0.00061707i,-0.00033048+0.00030956i,-0.00096181+0.00035963i,-0.0010622+0.00076609i,-0.00069744+0.00075364i,-0.0011021+0.00029103i,-0.00042375-0.00020443i
0.0015662-0.00027532i,0.0023502-0.0010739i,0.0028428-0.0020916i,0.00058444-0.0017114i,-0.0013257-0.00051814i,-0.0012869+0.00043629i,-0.0013442+0.00013089i,-0.0018096+0.00022179i,-0.0013724+0.0011507i,0.00013611+0.0010144i,0.00049996+0.00031413i,0.00032142+2.5791e-05i,-4.3041e-05-1.2635e-05i,-0.00038611+0.00016704i,-0.00067918+0.0005098i,-0.00030618+0.00012264i,-0.00013317-0.0007957i,-0.00059866-0.00091512i,-0.00080772-0.00054446i,-0.00055283-0.00077817i,-0.00015565-0.00078001i,-0.00017424-0.00048596i,-0.00023022-4.9217e-05i
