-0.0026545+0.00037581i,-0.0021076-0.00067214i,-0.002728-0.00089494i,-0.0032763-0.00024087i,-0.0026271+0.00011717i,-0.0011973+0.00089839i,-0.00035317+0.0016162i,0.00018378+0.0012149i,0.00093868+0.00022405i,0.0009788-0.00020818i,0.00035458-0.0007116i,0.00029285-0.00052016i,0.00047072-2.3536e-05i,-2.7791e-05-0.00021235i,-0.00027632-0.00064011i,-0.00036323-0.00013569i,-6.4174e-05+1.4853e-05i,0.00076504+7.6008e-05i,0.001002+0.0004979i,0.00075057+0.00030109i,0.00058946+0.00053158i,9.9584e-05+0.00067434i,-0.00069544+0.00054549i
0.00090385-0.00012776i,0.0010815+0.00050688i,0.00084471-0.00114i,0.00017955-0.0022726i,0.00014492-0.0015406i,0.00063232-0.00057853i,4.4364e-05-3.3579e-05i,-0.00037139-7.7545e-05i,-0.00042506+0.00019214i,-0.00051216-0.00011495i,-5.2651e-05-0.00068253i,0.00035179-0.00026366i,0.00022213-4.3316e-05i,-1.7574e-05-0.0002589i,-7.0434e-05-0.00012127i,-0.00010879-0.00031918i,0.00032815-0.00089514i,0.00091843-0.00048408i,0.0005228+0.00021482i,-0.00027576+0.00051293i,-0.00028087+0.00076931i,-3.9692e-05+0.00071682i,0.00022071+0.00067964i
0.00063999+0.0015889i,-0.00033358+0.0013705i,-0.00020283+0.0007467i,0.00025631-0.00028491i,0.00025331-0.00030154i,0.00038478-0.00045606i,0.00015756-1.7025e-05i,0.00064411+0.0004492i,0.0016501-0.00011295i,0.0012791-0.00055192i,-5.6109e-05-0.00012318i,-0.00017507-5.7537e-05i,-0.0002129-0.00048803i,-0.00085099-0.00059515i,5.3657e-05-0.00040515i,0.00077632+0.00011157i,0.00045399-0.00036829i,0.00036781+0.00011257i,-0.00012802+0.00096089i,-0.00034662+0.0013145i,-0.00026203+0.0011177i,0.00064766+0.00011445i,0.0004933-0.00012456i
-0.001072+0.00021549i,-0.001737-0.0005737i,-0.0021299-0.00087283i,-0.0014721-0.00014023i,-0.0010216-3.2166e-05i,-0.00021763-0.0009112i,0.0009974-0.00032547i,0.00081358+0.00025605i,-3.8348e-05+8.1349e-05i,-0.00053856+0.0009896i,-0.00064607+0.00074042i,0.00027059-0.0004187i,0.00046252-0.0005478i,-4.5091e-05+6.5092e-06i,-0.00016517-0.00027442i,0.00010368-0.00034831i,-3.3549e-06+0.00012656i,3.9205e-05+0.00035578i,0.00076644+0.00011958i,0.00081963-0.00024355i,0.00046822+5.3643e-05i,0.00012238+0.0002064i,9.6024e-05-9.948e-05i
0.00097593+0.0010507i,0.0016857+0.0014474i,0.0016302+0.002062i,0.00064382+0.0019314i,0.00051686+0.0013677i,0.00098668+0.0013851i,0.001139+0.00086526i,0.00074073+0.00040181i,0.00032992+0.00052166i,0.00025888-4.8752e-07i,-0.00013233-0.00053888i,-1.4386e-05-0.00015849i,-0.00034828+0.00030386i,-0.00055529-0.00026617i,-0.00037669-0.00020972i,-0.0001017+0.00016512i,0.00069947+0.00025257i,0.00056257+0.00089414i,0.00060217+0.00063771i,0.0011992+1.1484e-05i,0.0010514-5.9666e-05i,0.00047803+0.00010352i,6.2238e-05+8.8439e-05i
-0.0019488+0.00063449i,-0.0022849+0.00034098i,-0.0015432+0.00065982i,-0.00081423+0.00098406i,-0.0002601+0.00049611i,-0.00034705-0.00032248i,-0.00015181-0.00017198i,0.00019086+2.4501e-05i,-0.00048774+0.00038814i,-0.00083935+0.00098554i,-0.00034447+0.00063963i,0.00016729+0.00022939i,-0.00024501+0.00012735i,-0.00035063-2.3181e-05i,0.0002251+8.926e-05i,0.00021252-2.7792e-05i,0.0002822-0.00064108i,0.00025039-0.00085347i,-8.4178e-05-0.00068758i,-0.00026239-0.00033775i,-0.00011063+0.00065797i,-0.00063739+0.00095714i,-0.0007114+0.00091916i
0.0020733-0.0019738i,0.0022979-0.0020078i,0.0022475-0.0019766i,0.00093824-0.0014903i,-0.00099369-0.0014061i,-0.0010371-0.00085624i,0.00038574-7.9658e-05i,0.0013901+0.00010245i,0.00025745-0.00051573i,-0.0010733-0.00098722i,-0.0010863-0.00061729i,-0.00033001-7.2901e-05i,0.00045115+0.00024248i,0.00050388+0.00083836i,-7.3415e-05+0.0011015i,-0.00030848+0.00057546i,-0.00014082+1.0764e-06i,0.0002159-0.00026955i,3.5224e-05-0.00064427i,-0.00020997-0.00060268i,-0.00028222-3.5658e-05i,-0.00024088+0.0002398i,3.7393e-06-0.00030898i
-0.0009622-0.00035549i,-0.0011819-0.00045874i,-0.0025293-0.00054849i,-0.0021382+0.00011414i,-0.00058626+0.00039752i,0.00059817-7.4489e-05i,0.00070684-9.6566e-05i,0.00016868+0.00045601i,-0.00062372-0.00014145i,-0.00090943-0.00072425i,-0.00052357-0.00056382i,-0.00032302+0.00017482i,-0.00033631+0.00055991i,-0.00033095-5.5782e-05i,0.00022891+0.00022557i,0.00026879+0.00030143i,-0.0003899+0.00020003i,-0.00074344+0.00068181i,-0.00071198+0.00069558i,-0.0005205+0.00029114i,-7.8214e-06-4.23e-05i,0.00028757-0.00029393i,0.00063387-0.00045984i
-0.00129-0.002323i,-0.00035239-0.00261i,-0.0011204-0.0030504i,-0.0011497-0.0023569i,-0.00034255-0.00053519i,0.00075139+4.2097e-05i,0.0011703-0.00015092i,0.00023539+0.0001011i,-0.00029718+0.0002036i,-0.00023677+0.00064943i,-0.00080406+0.0010849i,-0.00096426+0.00067326i,-0.00069865-0.00054825i,-1.8671e-05-0.0011144i,0.0005876-0.00046585i,0.00054424+1.4113e-05i,-6.1825e-05-0.00044154i,0.00014279-0.00037276i,0.0012656-0.00023326i,0.00086439-0.00052988i,-0.00062325-0.00017756i,-0.00089285+4.5968e-05i,5.7452e-05+0.00037027i
-0.0031291+0.0028383i,-0.0023755+0.0023162i,-0.0021168+0.0031234i,-0.00048538+0.0029304i,0.00043858+0.0020877i,0.00036694+0.00086284i,0.00050772+0.00036038i,0.00042144+0.00015237i,3.2382e-05-0.00050748i,0.00015245-0.000607i,-0.00033089+6.1582e-07i,-0.00074803-0.00010709i,-0.00023639-7.5054e-05i,-9.0476e-05+0.00029442i,-0.0001397+0.00021549i,0.00050698-0.00022078i,0.00096285+0.00010498i,9.9122e-05+0.00032566i,-0.00052017-0.00043424i,5.8622e-05-0.00048501i,0.0005511+3.1813e-05i,-0.00034991+0.00014485i,-0.0014617+7.3533e-05i
-0.0013393+0.00047412i,-0.00099185+0.00074046i,-0.0011444+3.8207e-05i,-0.0012557-0.00051781i,-0.00050446+0.00025924i,3.0751e-05+0.00078919i,0.00045775+0.00025613i,0.0010082+0.0004771i,0.00046617+0.00056814i,-0.00029315-0.0004322i,0.00014801-0.00017989i,-0.00019699+0.00077368i,-0.00091164+0.00080911i,-0.0005786+0.00054116i,-9.7926e-06+1.8115e-05i,0.00041999+9.2897e-05i,0.00022477+0.00073602i,-9.3097e-05+0.00078416i,0.00049494-0.00012411i,0.00056168-0.00074665i,-0.00022193-0.00046456i,-0.00035866-0.00028989i,-0.00039047-0.00044951i
0.0027191-0.00094202i,0.0035867-0.0010594i,0.002811-0.00093286i,0.00025228-0.0014146i,-0.0010309-0.0015367i,-0.001295-0.00037803i,-0.00047723+0.00058185i,0.00030004+0.00014935i,0.00081785-0.00078328i,0.0009468-0.00066721i,0.00055603-0.00088595i,0.00034793-0.00092634i,0.00010235-0.00033735i,0.00015765-0.00014884i,-0.00018848-0.00021059i,-0.00050063-0.00043356i,-3.3118e-05-0.00026591i,0.00038576-0.00034062i,0.00039997-0.00029862i,0.00079752+0.00048665i,0.00074088+0.00079456i,0.00069833+0.00029756i,0.00055032+0.00021879i
-0.00037155+0.0011759i,-0.0014044+0.001357i,-0.00065845+0.0011583i,-0.00015561+0.0013432i,0.00053847+0.0010658i,0.00092843+0.00073047i,0.00093189+0.00048518i,0.00066083+9.919e-05i,-0.0002747+4.931e-05i,-0.0010388+0.00010929i,-0.000785-0.00019413i,9.2917e-05-0.0002762i,0.00059913+0.00024737i,0.00061087+0.00032391i,0.00033475+0.00041145i,-0.00019548+0.0010459i,-0.00011688+0.0016153i,-0.00013597+0.0010334i,-0.00017324+1.3373e-05i,-0.00034519-0.00022958i,-0.00016556+0.00049282i,3.5908e-05+0.00077738i,-0.00075414+0.00052815i
-0.0014314+0.0017737i,-0.0014354+0.0015298i,-0.0013381+0.0029156i,-0.00020152+0.0019274i,0.00079034+0.00035533i,0.0014412-2.5669e-05i,0.0016715+0.00024425i,0.0019887+0.00051631i,0.00091084+0.00047496i,-0.00038541+0.00030653i,-0.0006363+4.1577e-05i,-0.00096025-9.0832e-05i,-0.00098248+0.00017974i,-0.00036634+0.0004135i,7.7079e-05+0.00024309i,0.00033345+0.00024295i,0.0006495+0.00041398i,0.00048845+0.00083454i,0.00078707+0.00089393i,0.00043267+0.00041213i,-0.00045764+0.00041035i,-0.00035627+0.00032274i,-0.00034476-4.7535e-05i
-0.0029638-6.3973e-05i,-0.0024817-0.0019449i,-0.0027806-0.00075949i,-0.002708+0.0012763i,-0.0014756+0.0017733i,-0.0001125+0.0019614i,0.00050961+0.0015492i,0.00039492+0.00092087i,0.00016676+0.00052459i,-0.00055463-4.6156e-05i,-0.0012235-0.00059189i,-0.00090483-0.00043102i,-0.00011804+7.2162e-05i,-0.00041306+0.00079999i,-0.0017598+0.00088344i,-0.0011682+0.00086526i,0.00013228+0.00072428i,4.9324e-05+0.0001107i,-8.8449e-05+0.00048017i,0.00082793+0.0007126i,0.00082997-0.00032711i,-0.00013207-0.00094992i,-0.00013455-0.00025831i
0.00028454+0.00098119i,-2.5989e-05+0.0010309i,0.00032782+0.0011412i,0.00011534+0.00049917i,0.00061278+0.00049189i,0.0011126+0.00086084i,0.00098273+0.00057218i,0.00061843+4.2779e-05i,0.00018657-0.00021472i,0.00069299-0.00035238i,0.0010177-0.00020972i,0.00021781-0.0001803i,-0.00034512+0.00026446i,0.00039514+0.00079734i,0.00074094+0.00046391i,6.2573e-05-0.00042363i,0.00015517-0.00067452i,0.00045748+5.8536e-05i,0.00050153+0.00070538i,-0.00017186+0.0011816i,-0.00074774+0.0014928i,-0.00049369+0.00061441i,-0.0004954-0.00047235i
0.00088376+0.0028836i,0.0011301+0.0017198i,0.0015797+0.0013279i,0.0015032+0.0011214i,0.0010498-5.582e-05i,0.00067284-0.00014924i,7.1142e-05+0.00029706i,-0.0007516-0.00053994i,-0.0010392-0.00044061i,0.00048182-7.4597e-05i,0.0013755+0.00042272i,0.00075759+0.0007605i,0.00042874-0.00021505i,0.00048237-0.0010547i,0.0005275-0.00065562i,0.00079587-0.00026779i,0.00085241+4.6801e-05i,0.00069165+0.00047298i,0.00020518+0.00066518i,-0.00028035+0.00049877i,-0.000453-0.0003063i,-0.0002515-0.0007183i,-0.00031091-0.00015934i
-0.0011336-0.00028888i,-0.00030269-6.4661e-05i,-0.0011013+0.0011955i,-0.0020452+0.00037082i,-0.0015093-0.00071835i,3.8669e-05-0.00052529i,0.00059629-0.00011647i,0.00078023+0.0002952i,0.00055925+0.00096541i,-0.0002923+0.00060743i,-0.00076246+3.3929e-05i,-0.00092411+0.00067596i,-0.00054627+0.00051467i,0.00035634+0.00025878i,0.00073782+0.00076168i,0.00049185+0.00080261i,0.00053612+0.00059547i,0.0001739-4.8991e-05i,-0.00069704+7.0659e-05i,-0.00044939+3.6743e-05i,-0.00031208-0.00026747i,-0.001029+0.00048482i,-0.0010181+0.00081325i
-0.0017252+0.00025911i,-0.0026342+0.00053712i,-0.0025889+0.00015334i,-0.0010705-0.00026483i,0.00065042-0.00018492i,0.0011778+5.2912e-06i,0.0011519-9.2585e-05i,0.0007265-0.00055683i,-0.00024794-0.00069217i,-0.0006883+0.00018649i,-0.00059139-0.00010346i,-0.0003587+0.0001143i,-0.00078239+0.00065307i,-0.00050926+0.0014402i,0.00043712+0.0021034i,0.0008829+0.0018432i,0.00058449+0.0012315i,0.00016374-0.00024337i,6.5605e-05-0.00059813i,-0.00039042-9.9685e-05i,-0.00034487-0.00013669i,-0.00038311-0.00026531i,-0.0007383+4.6655e-05i
-0.00076332-0.00037057i,-0.0011048-0.00033028i,-0.00071944-0.0012835i,-0.0010696-0.0016679i,-0.00089104-0.001293i,-0.00050555-0.00043643i,-0.00064391+0.0001836i,-0.00052328+0.00075242i,-0.00021242+0.001034i,-0.00013836+0.00034561i,-0.0010046+4.8386e-05i,-0.0011308+0.00025182i,-0.00045646+0.00063991i,0.00022993+0.00057806i,0.00083247+0.00065609i,0.00035709+0.0016852i,-4.3707e-05+0.001442i,0.00027393+0.00072515i,0.00012783+0.00035648i,-0.00025246-0.0001335i,-0.00040105+1.1874e-05i,1.0597e-05+0.00023262i,0.0002173+0.00042953i
-0.00050435-0.0011049i,-3.5389e-05-0.0010163i,0.00032427-0.00043558i,0.00063148-0.00073171i,0.00061529-0.00070667i,0.00070275-0.00026994i,0.00085835-0.000573i,0.00014222-0.00038507i,-8.3171e-05+8.3166e-05i,8.2584e-05-0.00068316i,6.0578e-05-0.0010225i,-7.051e-05-0.00045811i,-0.00065794+9.0794e-05i,-0.00051934+0.00027537i,-0.00029915+0.00014915i,-0.00051864+8.4535e-05i,0.00029438+0.00014078i,0.00058596+2.8424e-05i,0.00014469+0.00044023i,-8.9947e-05+0.00053782i,-0.00017863+0.00026778i,-0.0002239+2.877e-05i,-0.00056745+0.00041378i
-0.0021701+0.00085675i,-0.0025877+0.0011568i,-0.001936+0.0015239i,-0.00091188+0.0021556i,-0.00041986+0.0022175i,0.00025759+0.0021498i,0.0011097+0.001589i,0.0010034+0.0006959i,0.00041092+0.00029571i,0.00028351+0.00044061i,0.00047248+8.9274e-05i,0.00013524+0.00027038i,0.00022939+0.00010325i,7.7353e-05-0.00044055i,-0.00060014-0.00041104i,-0.0001875-8.4787e-05i,0.00044799+0.001027i,0.0006872+0.001253i,0.00013547+0.00017596i,-0.00024486-0.00062533i,0.00031876-0.0002716i,5.4579e-05+0.00023453i,-9.9509e-05+0.00012519i
-0.0016543+0.00038269i,-0.0012322-0.00029252i,-0.00052815-0.00022325i,-0.00075698+0.00029809i,-0.00069654+0.00039039i,0.00038807+0.00028436i,0.00083763-0.00010834i,0.00032454-0.00050717i,-0.00037783+0.00037954i,-0.00058669+0.0012108i,-0.00056328+0.00051285i,-0.00053237-0.00029414i,-0.00027107-0.00030262i,-0.00040094+0.00012068i,0.00046396+0.0003728i,0.00079372+0.00034707i,0.00013264-0.00016317i,0.00013264-0.00043578i,2.3498e-05+0.00052104i,-8.9055e-05+0.0013411i,-0.00022605+0.00096258i,-0.00058809+0.00063797i,-0.00033124+0.00086367i
-0.00057415+0.00044748i,0.00043439+0.001056i,0.0013719+0.0010146i,0.001642-0.00020814i,0.0010956+0.00034882i,0.00056432+0.0011436i,0.00032806+0.0013998i,0.00017536+0.00098071i,0.00055536+5.0192e-05i,0.00066657-0.00074126i,0.00019634-0.0010264i,-0.00085222-7.6792e-05i,-0.0013135+0.00041935i,-0.0010911-0.00030842i,-0.0007692-0.0009891i,-0.00076761-0.0011005i,-0.00019988-0.00051727i,0.00075005-0.00012972i,0.0016193+2.0771e-05i,0.0011613+0.00011301i,0.0002068-8.3437e-05i,3.2895e-05+8.5207e-05i,0.00049155-0.00013279i
-0.0011815-0.00096264i,-0.0011876-0.0025317i,-0.00075756-0.0027884i,-0.00012244-0.0025387i,0.00020197-0.0020091i,1.9997e-05-0.0010781i,0.00025169-0.00017917i,0.00057464-6.5477e-05i,0.00030231-4.4179e-06i,0.00035948+6.8325e-05i,-7.6682e-05+0.00036234i,-0.0010323+0.0010365i,-0.0012068+0.00054987i,-0.00018394+0.00022874i,1.2043e-05+0.00043102i,0.00010283+1.4501e-05i,0.00098829-0.00037865i,0.00024876+0.0005706i,-0.00034323+0.0009268i,0.00039822+0.00080805i,0.00039681+0.00027351i,-4.9793e-05-0.00034689i,2.1156e-06+2.541e-05i
-0.00095283-0.0013601i,3.3059e-05-0.0016469i,-0.00024134-0.00073962i,0.00048751+0.00053857i,0.0013454+0.0011453i,0.00097102+0.0014536i,9.0605e-05+0.00064261i,-0.00024171-0.00013509i,-0.00083841-1.4376e-05i,-0.00068965+0.00010198i,0.00077833+0.00042305i,0.00072426+0.00066564i,-0.00068734+0.00050864i,-0.00055614+0.00056162i,-8.7967e-05-8.298e-05i,-0.00062411-0.0005235i,-0.0013513-0.00081002i,-0.0010961-0.00098704i,0.0002787-0.00081042i,0.0004003+0.00014713i,0.00033005+0.00031494i,0.00069803+4.864e-05i,0.00030775-0.00012955i
-0.0017971+0.00048524i,-0.0017491+0.0011421i,-0.0020234+0.002144i,-0.00061808+0.0024068i,0.00076824+0.0017772i,0.00081692+0.0010699i,9.6318e-05+0.00066021i,-0.0002811+0.0004866i,0.00025461+0.00051236i,-0.00026647+0.00039611i,-0.0005031+0.00055059i,-0.0001903+0.00053701i,-0.00055123+0.00056543i,-0.00034702+0.00060993i,-9.9255e-06-4.4986e-06i,0.00017543-0.00018182i,1.5779e-05-4.2464e-05i,-0.00024532+7.3332e-05i,0.00025376+0.00055063i,0.00017542+0.0007877i,0.00010497+0.000707i,0.00052826+0.00050884i,0.00040557-0.00010344i
