-0.0015948+0.00058078i,-0.000138+0.00028556i,-0.00038327-0.0010268i,-8.4359e-05-0.0020727i,0.00042351-0.00082586i,0.00063159+0.0011138i,0.00030296+0.002244i,0.00066515+0.0025896i,0.0012796+0.0017119i,0.0011902+0.00014859i,0.00010831+7.6936e-05i,-0.00022783+0.0007902i,-0.000239+0.00081925i,-7.6116e-05-0.0002038i,0.00015886-0.00078239i,-0.00033367-0.00076656i,-0.00021106-0.00072509i,0.00044234-0.00040947i,0.0004537+0.00018724i,6.9026e-05-3.1634e-05i,-0.0002673-0.00021322i,-5.226e-06-0.00040932i,0.00043588-0.00080725i
0.0012254+0.0022637i,0.0016779+0.0014979i,0.0017988+0.00037399i,0.0013246-0.0008314i,0.0014931-0.0016127i,0.0009036-0.001796i,-0.00030059-0.0014128i,-0.00021941-0.00023997i,0.0010664-0.00061144i,0.00086613-0.0015269i,-0.00099506-0.00040304i,-0.0014816+0.00084188i,-0.0015264+0.00096971i,-0.0010619+0.00054823i,-8.1768e-05+0.00050704i,-0.00013198+0.00058142i,-0.00041626+0.00060185i,0.0003434+0.00039037i,0.0010756-0.0003203i,0.0011819-0.00046031i,0.00071238+5.4231e-05i,0.00043234+0.00048947i,5.2479e-07+0.00087201i
0.0013029+0.00022394i,0.00076726+0.00070157i,0.0018921+0.00017655i,0.0020022-0.00039433i,0.0013425-0.0010637i,0.00057656-0.0010264i,0.00064508-0.00045201i,0.00080838-5.4808e-05i,0.00025872+0.0002817i,-8.4169e-05-0.00068888i,-0.00019512-0.0009881i,-0.00030367-0.0001278i,0.00018299+0.00066523i,0.00080528+0.00088552i,0.00090448+0.00046325i,0.00068292+6.2903e-05i,0.00031691+6.9951e-05i,-0.00024372+0.00052492i,-0.00015155+0.00023033i,9.3324e-05-0.00022449i,0.00018506+0.00010619i,-8.7469e-06+0.001482i,-0.00026622+0.0016158i
0.0010344+0.0014062i,0.0020164+0.0010872i,0.0019376+0.0012481i,0.0016026+0.00046557i,0.0010671-0.00033358i,8.8598e-05-0.0012249i,0.00056117-0.00073347i,0.001363-0.00081165i,0.001179-0.0014067i,0.00029536-0.00061609i,-0.00030227-0.00040107i,-0.00080063-0.00016167i,-0.0016869+0.00023229i,-0.0012397+9.5732e-05i,-0.00045387-4.9886e-05i,-0.00047924+0.0001215i,-5.9124e-06+0.000291i,-0.00010109+0.0004899i,-3.5348e-05+0.00059804i,0.00090555-0.00013452i,0.001105-1.6084e-05i,0.0011839+0.0004989i,0.00048533-0.00011367i
0.00060457-0.0001426i,0.00079629-0.00077289i,0.00074002-0.0013345i,0.0007446-0.0010408i,-0.00032348-0.00085459i,-0.00070065-0.0013245i,7.787e-05-0.00079756i,0.00074808-0.00030529i,0.0010625-0.0006279i,-0.00034722-0.001048i,-0.0012092-0.00067433i,-0.00049367-0.00068127i,0.00072222+6.6813e-06i,0.00158+0.0010372i,0.00080551+0.0010138i,7.0387e-05+0.00033583i,0.0001143-1.6701e-05i,0.00044862+0.00060821i,0.0013187+0.00030646i,0.001028-0.00097771i,0.00063139-0.00077843i,0.0008431-9.1755e-05i,0.00029069-0.00048488i
0.0010193-0.0001232i,0.00067767+0.000214i,0.00051729-0.00014851i,0.00024437-0.00060495i,-0.00039686-0.00083325i,-0.00076823-0.00074165i,-0.00059404-0.00019315i,2.68e-05-6.0018e-05i,0.00097967-0.00019209i,0.00083866-0.00027789i,-0.00019063-3.4466e-05i,-0.00068759+0.00015667i,-0.001221+0.00077837i,-0.0012732+0.00069259i,-0.0010656+0.00024838i,-0.00057562+0.00020801i,4.7842e-05-0.00050873i,0.00033522+0.0002901i,0.0010973+0.00089822i,0.0014999+0.00066623i,0.00097325+0.0005161i,0.00097809-4.7601e-05i,0.00082359-0.00027789i
-0.00026485-0.0020554i,-0.00013448-0.0017772i,-3.0937e-05-0.002095i,-0.0002773-0.0023045i,-0.00036138-0.0018659i,-0.00034683-0.00095041i,0.00039667-0.00045088i,0.00051819+0.00015276i,-8.6355e-05+0.00018145i,0.00032024-3.5714e-05i,0.00025268-3.2373e-05i,-0.0010311-0.00028786i,-0.0011941+0.00031071i,0.00016018+0.00048544i,0.00085185-9.4717e-05i,0.00025618+0.00031918i,0.00024164+0.00093437i,0.00081851+0.00076579i,0.00096136+0.00024684i,0.00095462+0.0001421i,0.00071529+0.00046418i,0.00033972-0.00012833i,0.0007489-0.00096902i
-0.00053211+0.00040693i,-4.0905e-05+0.00098674i,0.0016389+0.00049865i,0.0011508+0.00082329i,0.00029367+0.00086735i,0.00067088+0.00026886i,0.00048413+0.00011674i,-0.00026064+0.0001127i,-0.00029515-7.5818e-05i,-0.0005622-0.00021927i,-0.000526-0.00046i,2.3714e-05-0.00028953i,0.00024569-0.0002282i,0.00047165-0.00031712i,0.00080016-0.00029056i,0.00062914-0.00040067i,0.00030795+0.00031627i,-0.00012707+0.0013664i,-0.00030989+0.0012832i,-0.00022852+0.00015436i,0.00020473-0.00031491i,-0.00014352+0.00038545i,-8.5771e-05+0.00044709i
0.0015401-0.00096619i,0.00072061-0.00024797i,0.00047109-0.001177i,0.00033733-0.0022113i,-0.0003316-0.0014079i,-0.0008032+0.00012854i,-0.00027992+0.0010595i,0.00073698+0.00091279i,0.0006988+0.00052786i,-0.00046247-0.00016495i,-0.00029271-5.6276e-05i,-0.00045837+0.00059452i,-0.0013021+0.0010603i,-0.00081698+0.00099143i,9.1547e-06+3.8962e-05i,3.0566e-05-0.0002777i,1.6497e-05+0.00018193i,0.00050887+0.00050967i,0.00049557+0.00020353i,0.00046156-0.00072846i,0.00028989-0.0008088i,0.0001012+0.00022539i,-0.00012197-1.615e-05i
0.00093742-0.00041733i,0.0010107-0.00029638i,0.00043692-0.00010679i,-0.00046066-0.00068618i,-0.00076677-0.0011238i,-0.00089352-0.0011384i,-0.00032423-0.0010092i,3.9256e-05-0.00067896i,-0.00074738-0.00071382i,-0.00094363-0.0010657i,-0.00093414-0.00064481i,-0.0011208+0.00018955i,-0.00088227+0.00027806i,7.7725e-05+0.00016345i,0.00086346-0.00012798i,0.00063372-0.00071765i,-5.9663e-05-0.00022771i,-0.00057774+0.00073489i,-0.00046393+0.00030807i,0.00032091-0.00060171i,0.00077441-0.00040376i,0.00062975-2.4603e-05i,0.0005998-2.7485e-05i
-4.5323e-05+0.00012509i,0.00059934+0.00087345i,0.0021315+0.00078536i,0.0021646+0.00020403i,0.00072983-0.0014358i,-0.00019476-0.0022981i,-8.7142e-05-0.00048446i,-0.00020973+0.00067354i,-0.00024418-0.00035951i,-0.00082506-0.0016311i,-0.001481-0.0014739i,-0.0018054-0.00042742i,-0.0016369+0.00010577i,-0.00056694+0.00010535i,0.00013061-0.00013519i,-0.00012442-0.00019878i,-0.00052154-0.00047217i,-0.0002361-0.0008668i,5.8055e-05-0.00078358i,0.0001723-0.00039047i,0.00076985-0.00055403i,0.000781-0.0012485i,0.00030934-0.0010604i
-6.3487e-05-0.001809i,0.00020393-0.0020976i,0.00021798-0.0021219i,-6.5388e-05-0.0017442i,-0.00012243-0.0011845i,-0.0004178-0.00090982i,-2.7164e-05+8.0993e-05i,0.00016721+0.00053057i,4.0462e-05-5.1126e-05i,0.00027493-0.00083391i,-0.00030256-0.00051915i,-0.0010087+0.00029411i,-0.00085646+0.00016008i,-0.00058953+0.00010463i,-0.00035817-9.8906e-05i,0.00041472-0.00067385i,0.00085549-0.00045698i,0.00046742-0.00029643i,-1.1533e-05-0.00038306i,8.478e-05-0.00080912i,0.00029491-0.00092507i,0.00057996-0.000145i,0.00016265+0.00017327i
0.0029682-0.00076858i,0.0021521-0.0016091i,0.0018859-0.002512i,0.0004838-0.0027131i,-0.00036095-0.0022252i,-0.00087452-0.0013654i,-0.00098582-0.00070221i,-0.001051-0.0008708i,-0.001677-0.00075893i,-0.0014905-0.00085372i,-0.000898-0.000428i,-0.0011366+0.00045924i,-0.00032486+0.00043383i,0.00086906+0.00056445i,0.0015458+0.00048082i,0.001673-0.00040178i,0.00028495-0.00042126i,7.7204e-06-0.0003489i,-0.00033923-2.6642e-05i,-0.0004588-0.00040454i,0.00017643-0.00071409i,0.00053628-0.00036443i,0.00036646-0.00051118i
0.0011532-0.00081802i,0.00087065-0.00019398i,0.00010869-0.0002629i,-0.00037272-0.00051631i,-0.00026641-0.00064981i,0.00073912+3.5087e-05i,0.00089807+0.00033174i,-1.1156e-05+0.00019064i,-0.00040039+0.00018664i,-0.00026126-1.803e-05i,0.00024975+0.00036358i,0.00026978+0.0007597i,-0.00041146+0.0016719i,-0.00049416+0.0015648i,4.1678e-05+0.00037434i,0.00033761-0.00041789i,0.00018438+0.00021884i,0.00091805+0.00048337i,0.0012542+4.6863e-05i,0.00055136-0.00046549i,0.0008425-0.0013791i,0.00094013-0.0014128i,0.00036157-0.00055422i
-0.001364+0.00017012i,-0.0018884+0.00029178i,-0.0010197+0.00055539i,-0.00022049-0.00016126i,-0.000538-0.00011938i,-0.00057765-0.00074528i,-0.00052943-0.001197i,-0.00055615-0.00037321i,-0.00042555+0.00015183i,-0.00020816+0.00015634i,-0.0006596+0.00020635i,-0.0015412+0.00029422i,-0.00097177+9.8262e-05i,0.00040337+0.00016178i,0.00099979-8.0838e-05i,-8.7943e-05-0.00083276i,-8.5491e-05-0.00084039i,0.0016663-0.00037216i,0.0022672-0.00044879i,0.0014761-0.0004043i,0.00086515+0.00024699i,0.00025628+0.00024918i,0.0004007-0.00030629i
-0.0011695-0.00043193i,-7.2469e-05-3.3318e-05i,0.00030491-0.0004914i,0.00063467-0.00035911i,0.00044144-5.1691e-05i,9.3752e-05+0.00020672i,4.5912e-05+0.00019838i,5.5952e-05+0.0001035i,0.00041754-0.0011674i,0.00054103-0.0010729i,-0.00014182+3.6762e-05i,-0.00062601+0.0002949i,-0.0010398+0.00017778i,-0.00094767+0.00022826i,-0.00016628-0.00034676i,-0.00023864-0.00039245i,-0.00088194+6.0981e-06i,-0.00068154+3.6635e-05i,0.00049325-0.00017799i,0.00082707-0.00035668i,0.00012414-0.00027615i,6.4456e-05+0.00010299i,0.00012805+0.00036368i
-0.00019109+0.00036385i,-0.0012594+0.0007811i,-0.0011711+0.0012381i,-0.00052216+0.00087399i,-6.4088e-05-4.9985e-06i,0.00082462-0.00046242i,0.001228-0.00049114i,0.00072416-0.00048552i,-9.0759e-05-0.0010566i,-0.00034024-0.0012654i,-0.0010338-0.00018411i,-0.0017196+0.00026762i,-0.0014413-0.00015022i,-0.00058869-0.00071609i,5.9508e-05-0.00092293i,0.00010978+9.3241e-05i,-0.00030571+0.00070133i,-0.00048762+0.00036575i,0.00048952+0.00031227i,0.0011091+1.6778e-05i,0.00027652+0.00048122i,-0.00038684+0.00046068i,-0.0005902+0.00016257i
-0.0012545+0.0015558i,8.6646e-05+0.0015088i,0.00099836+0.0013044i,0.0013909+0.00063672i,0.0011784-0.00064465i,0.00051103-0.0019459i,-3.4304e-05-0.0018864i,-0.00039485-0.0013765i,6.8414e-05-0.00093475i,0.00028986-6.7686e-05i,-0.00022333-0.00019958i,-0.00048891-0.00049828i,-0.00082234-0.00021086i,-0.0011349-0.00013732i,-0.00083771+7.2037e-06i,-0.00041921+3.1475e-05i,-0.00013787-3.9779e-05i,0.00021338-1.7063e-05i,0.0011185-3.8406e-05i,0.00064244-0.00033696i,-0.00063835-0.00067394i,-0.00060254-0.00064937i,-0.00023156-0.00057746i
0.00052858+0.00021848i,0.00015349+0.00040032i,0.00081998+0.00097089i,0.00073977+0.00046416i,-7.6099e-05-0.00035767i,0.00068501-0.0005151i,0.00070665-0.00016882i,0.00017352-7.5296e-05i,-1.2459e-05-0.00017413i,0.00011488-0.00042297i,0.00017325-0.00053233i,-0.00030271-4.7351e-05i,-0.00072431+0.00065056i,-0.00095483+0.00057088i,0.00017893+3.3979e-05i,0.00056248+7.7898e-05i,-0.00015047+0.00014068i,-0.00029815-0.00015602i,6.3424e-05-0.00061876i,0.00036147-0.0010869i,-0.00027763-0.00053559i,-0.00071326+0.00027719i,9.8246e-06+0.00014474i
-2.1001e-05-0.0023247i,-0.00034431-0.0013023i,-0.00048238-0.0011035i,-0.00034836-0.00076162i,-0.00065534-0.00050602i,-0.00015769-0.00058024i,0.00072356-0.00080508i,0.00074347-0.00073331i,0.00016056-0.0010854i,-0.00076044-0.0010682i,-0.00048248-0.00018954i,0.00019115+0.00068239i,-0.00046028+0.00012691i,-0.00060771-0.00048772i,0.00015224-0.0004082i,0.00097404-0.00019585i,0.00046495+0.0002692i,0.00019152+0.0004503i,0.0015967-3.7505e-05i,0.0017549-6.2426e-05i,0.00075637-0.00041126i,0.00019257-0.00094557i,-1.2808e-05-0.00060302i
-0.00051133-0.00010904i,-0.001623+0.00047208i,-0.0015124+0.0009854i,-0.0006067+0.001374i,0.00035902+0.0010017i,0.00079101+0.00018113i,0.00061694-0.00016013i,0.0005448+0.00046363i,0.00049569+0.00085546i,0.00026132+0.00015237i,-0.00047699+0.00010181i,-0.0011137+0.00075625i,-0.00069659+0.00089789i,-6.7172e-05+0.00046545i,-0.00011087-7.8465e-05i,7.0166e-05-0.00067844i,2.9591e-05-0.00044237i,-0.00037426+0.00051803i,-0.00051288+0.00013863i,-0.0003541-0.00020236i,0.00067291+0.00049701i,0.0008599+0.00028077i,0.00014425-0.00060224i
-0.00032384+0.0013223i,0.00039378+0.0011804i,-0.00051214+0.00089643i,-0.00028255-0.00025056i,-0.00022718-0.001606i,-0.00063228-0.0014015i,-0.00021594-0.0001264i,0.00032797+0.00021567i,0.00042666-2.3879e-05i,0.00075629-0.00056014i,0.00044079-0.00048025i,-0.00063388+0.00019987i,-0.00081143+0.00070065i,-0.0009308+0.0013195i,-0.00079486+0.00054877i,-0.00016094-9.3846e-05i,-0.00069231+0.000939i,-2.2724e-05+0.001164i,0.00065309+0.00045743i,0.000734+0.00041903i,0.00092739-3.7286e-05i,0.00070462-0.00036355i,0.00020024+0.00033765i
0.0010058-0.00015537i,0.001746-0.00071891i,0.0011585-0.001063i,-0.00047942-0.0013797i,-0.00046498-0.00082654i,-0.00040461-0.00086515i,-0.00067305-0.00099496i,0.00022-0.00097227i,0.000149-0.00073522i,-0.00099472-6.0196e-05i,-0.0013791-0.00010385i,-0.0014874-0.00046619i,-0.0006936+0.0003756i,1.2829e-05+0.0013881i,-0.00014568+0.00055843i,-0.00083832-0.0002475i,-0.001134-3.1091e-05i,-0.00057524+4.8279e-05i,0.00035937+0.00017796i,0.00037357-5.5154e-05i,-0.00032312-0.00054415i,-0.00047009-0.00025154i,-0.00023215+0.00060358i
0.00048198+7.0965e-05i,0.00080625+0.00049414i,0.001132+0.00014215i,0.0010724-0.00067509i,0.0011878-0.0011104i,0.00077259-0.0010524i,0.00040761-0.00075675i,0.00076673-0.00049734i,0.00046595-0.00073587i,0.00018019-0.00079956i,-0.00058371-0.00087094i,-0.0016669-0.00037585i,-0.0013742+0.00059564i,-0.00051783+0.00060761i,-6.2247e-07-0.00023328i,-6.713e-05-0.00040524i,-0.00031264+2.8386e-05i,-0.00030705+0.00030553i,0.00014969+0.00019935i,0.00071883-0.00034065i,0.0010659-0.00029776i,0.0012195-5.6726e-05i,0.00088221-0.00013513i
-0.00025378-0.0013346i,0.00049533-0.00047846i,0.00089316-0.00057657i,0.00024043-9.1553e-05i,-0.00014827+0.00073805i,0.00017685+0.00060051i,0.00039826+0.00046994i,-0.00022777+0.00046928i,-0.00052017+0.00017194i,-0.00083316+0.00039253i,-0.0013022+0.00029354i,-0.00098717+0.00061259i,-0.00064324+0.0010829i,-0.00017488+0.00055751i,0.00052687+0.00029759i,0.00028916+0.00036051i,-0.00022885-0.00012086i,-2.2666e-06-0.00033015i,5.6532e-05-0.00074802i,-6.5608e-05-0.00076389i,8.1713e-06+0.00015817i,0.00044674+0.00029615i,0.00051215-0.0001306i
0.00014345+4.1563e-05i,-0.00039555-0.00073357i,-0.00080898-0.0016063i,-0.00031637-0.0015856i,-0.00039595-0.0015329i,-0.0012202-0.0020825i,-0.00046674-0.0018205i,0.00045692-0.0002571i,0.00018066+0.00021272i,0.00014467-0.00039069i,-0.00040631-0.00067526i,-0.00074546-0.00058683i,-0.00070243+0.00068973i,-0.00094123+0.00098211i,-0.00024063-0.00038875i,0.00037658-0.00079095i,0.00010278+3.4027e-05i,0.00035073+0.00027572i,0.0010485-0.00027942i,0.0012398-0.00044314i,0.0010875-7.3715e-05i,0.00064353+5.9493e-05i,-3.4755e-05+2.3558e-05i
-0.00031981-0.00057262i,0.00030481-0.00031871i,-0.00043188-0.00036649i,-0.00090551-0.00046338i,-1.6603e-05-0.00020915i,0.00053597-0.00069243i,9.7139e-05-0.0011783i,-0.00040903-0.000958i,-0.0001965-0.0010998i,-0.00044645-0.0013942i,-0.00060601-0.00091406i,-0.00084704+0.00053161i,-0.0010692+0.0012211i,-5.115e-05+0.00040212i,0.00073272-9.155e-06i,0.0002764+0.00053983i,-3.0639e-05+0.0004162i,0.00050393-0.00058957i,0.0010284-0.001042i,0.00092556-0.00068613i,0.00033416-0.00032997i,0.0002857+0.00029019i,0.00019751+0.00075388i
-0.0021122+0.0010902i,-0.00077975+0.00050156i,0.001256+0.0017499i,0.00094043+0.0016084i,0.00080925-0.0011473i,0.00071616-0.0027509i,0.00040344-0.0021839i,0.0006653-0.00050459i,0.00079088+0.00073139i,0.00075579+0.00057278i,-3.8351e-05+0.00013529i,-0.0010671-0.00082364i,-0.001011-0.00080712i,-0.00021649+5.0211e-05i,0.00028105-8.3679e-05i,-0.00020942-0.00041512i,-0.00050754-0.00038645i,-4.9856e-05+0.00064061i,0.00065065+0.0012485i,0.00063677+0.0011159i,-4.1197e-05+0.00076546i,0.00028621-0.00015899i,0.00061832-0.00085158i
0.00060768-0.00020666i,0.00065507-0.000848i,0.0011361-0.00099686i,0.00058665-0.0011233i,-0.00018023-0.0012462i,-0.00032028-0.0008675i,0.00036219+7.0585e-05i,0.000966+0.00054243i,0.00032937+5.657e-05i,-0.00096683-0.00057942i,-0.0011224+4.8607e-05i,-0.0011258+0.00092546i,-0.0008192+0.00065681i,-0.00015107+9.4168e-05i,0.00028984-4.3377e-05i,0.00037942-0.00015297i,0.0003691+0.00020711i,0.00027516+0.00088645i,0.0008437+0.000674i,0.0015225-0.00029082i,0.0010151-0.00031327i,9.7123e-05+0.00013775i,-0.00056845-4.3397e-05i
0.00029394+0.00075245i,0.00034626+0.00055223i,0.00041222+0.00067099i,0.00010823-0.00039667i,-9.6443e-05-0.0018095i,0.00038819-0.0020034i,0.00051997-0.00050874i,-0.00020035+0.00071218i,-0.0010922+0.00034257i,-0.00096179-0.0003648i,-0.00031446+0.00013569i,-0.00044936-0.00012083i,-0.00065957-0.00031892i,-0.00022579-0.00010012i,0.00018022-0.00070032i,0.00040621-0.0006635i,0.0006781+0.00011178i,0.00074095+0.00082323i,0.00035017+0.0012985i,0.00026237+0.00054786i,0.00046009+7.8697e-05i,0.00042467-0.00029107i,0.00017443-0.00048673i
-0.00085307+0.0013864i,8.2266e-05+0.0014281i,0.00034854+0.0023752i,0.00026331+0.001772i,0.00056938+0.00073867i,0.00026463+0.00018302i,-0.00043532+0.0006001i,-0.00012525+0.0010445i,0.00030285+0.00059016i,0.00057086+0.00032934i,0.00061314-0.00020982i,0.0003213-0.00010245i,-0.00028314+0.00033215i,9.7404e-05+0.00028714i,0.00026981+0.00056029i,-0.0009403+0.00058366i,-0.00092988-0.00014741i,0.00014072-0.0008567i,-3.3655e-05-0.00071826i,-0.00032259+0.00015022i,0.00021374+0.00021195i,0.00036669+6.1087e-05i,-0.00024598+0.00047313i
-0.00031829-0.0015722i,-4.3065e-06-0.0014752i,0.00010617-0.00063085i,-1.728e-05+0.00024941i,-0.00023216-0.00037312i,0.00047979-0.00044354i,0.00070582-0.00026155i,0.00024083-0.00056905i,4.215e-05-0.00076297i,-0.000764-0.00087127i,-0.00057344-0.0013676i,-0.00029974-0.00094141i,-0.00021334+0.00045861i,0.00010313+0.00072109i,0.00066336+9.8425e-05i,0.00045388+0.00013015i,3.3107e-05+0.00045492i,0.0010004+0.0006247i,0.0011642+0.00020249i,0.00010467-0.00039947i,-9.7225e-05-0.00083194i,0.00043002-0.00059891i,0.00053636+0.00095227i
