-0.0020872-0.0013383i,-0.0020672+0.00033818i,-0.00053448+0.0005993i,0.00075213+0.00011109i,0.00071228+0.00083034i,-7.2651e-05+0.00084571i,-0.00038949+0.00014357i,0.00016066-0.00016171i,0.00042499-0.0010433i,0.00014489-0.00083581i,7.9206e-05-1.6073e-05i,0.00047214-0.00039657i,0.00072689-0.00085628i,0.00088602+0.00022717i,0.00037093+0.0009243i,0.00011341+0.00027908i,0.0002858-5.9718e-05i,-0.00026769+0.0003752i,-0.00074689+0.00072192i,-0.00016583+0.00046977i,7.3305e-05-6.466e-05i,-0.00074672+0.00013955i,-0.00082379+0.00062906i
-0.0027222+0.00017549i,-0.0019431+0.0012116i,-0.00096639+0.0019977i,0.00019194+0.0017582i,0.00038397+0.0017826i,-0.0001862+0.0018543i,-0.0010184+0.0017414i,-0.0014817+0.00085201i,-0.0014614-0.00053039i,-0.00090818-0.00048214i,-0.00023033+0.00014796i,0.00020278-0.00011477i,0.00071578-0.00035723i,0.0010228-7.364e-05i,0.0014172-7.233e-05i,0.0012972-0.00023912i,0.00018192-0.00015928i,-0.00011917-0.00035312i,-0.00012269-0.00011098i,-0.00066304-0.00022441i,-0.00018234-0.00032914i,0.00098609+0.00012223i,0.0013522+0.00057705i
0.00041826+0.00022749i,6.7749e-06+0.00093509i,-0.00094766+0.00089043i,-0.0017921+0.00037006i,-0.0013073+0.00092262i,-0.00071216+0.0018164i,-0.00073018+0.0015383i,-0.00038187+0.00082158i,-0.00023714-0.00010698i,-0.00065339-0.00051411i,0.00012262-0.00018394i,0.00060729-0.00013969i,0.00013409-2.4959e-05i,2.9345e-05-6.4215e-06i,0.00026172+0.00015651i,0.00044568-5.0662e-05i,0.00076533-0.00047534i,0.00057381-6.0865e-05i,2.0246e-05-2.8152e-05i,-0.00048274-5.2774e-05i,-0.00044266+9.5442e-06i,0.00022222+0.00015028i,0.00076111+0.00052495i
0.00071111-0.00076955i,0.0012163-0.00029373i,0.00063523-0.00012579i,-0.00069528+7.246e-05i,-0.0010044-0.00072204i,-0.0006285-0.0010748i,-0.0006163-0.00011846i,-0.00058596+0.0011275i,-0.00046434+0.0012943i,-0.00088663+0.00058609i,-0.0003167-2.326e-05i,0.00046821-0.00058405i,0.00060832-0.00063235i,0.00019875+0.00028207i,-0.00090792+0.0008206i,-0.0014917+0.00027001i,-0.0012239-0.00033956i,-0.00038943+6.6575e-05i,0.00048893-1.1215e-05i,0.00048049-0.00047199i,0.000116-0.00043927i,-0.00022938-0.00021344i,2.8663e-05+0.00046491i
-0.00079024-0.00062288i,0.0010977-0.00069061i,0.00039147+2.5375e-05i,-0.00055217-8.4051e-05i,-0.00133-0.00054676i,-0.0013381-0.00071951i,-0.00083777+0.00047285i,-0.00031673+0.0016443i,0.00027227+0.00097549i,0.00025831-8.3187e-05i,-0.00014036-0.00047144i,-0.0002851-0.00098726i,-0.00023203-0.00059207i,-0.00067302-0.00053965i,-0.00050642-0.00035216i,-0.0001164+0.0002383i,-0.00018052-0.00029332i,-0.00022301-0.0011883i,8.0083e-06-0.0007683i,-0.00085418-0.00022703i,-0.00037236-0.00031237i,0.00086624-0.00066682i,0.00054604-0.00067802i
-0.0010228-0.0012357i,-0.00053696-0.0012605i,-7.7246e-05+7.1998e-05i,0.00029506+0.00075704i,-0.00038018+0.00083988i,-0.0012039+0.00062688i,-0.0012118-0.00030625i,-0.00036903-0.00036043i,0.00013879+0.00063405i,0.00033162+0.00082937i,0.00075566-3.3213e-05i,0.00078872-0.00084855i,0.00036158-0.00024838i,0.00023032+0.00066756i,-0.00025817+0.00054575i,-0.0003846-0.00028247i,-0.00020397-0.00026434i,-0.00012322+0.00024185i,-9.8454e-06+0.00046114i,-0.00068614+0.00054514i,-0.00051213+0.0005384i,0.00040681+0.00041597i,0.0003098+0.00086164i
-0.001822-0.00078597i,-0.0014303+0.00087192i,-0.0011102+0.001865i,-0.0014163+0.00070396i,-0.0021621+0.00026564i,-0.0020614+0.00051165i,-0.0010506+0.00045328i,0.00035073+0.00013648i,0.00095604-2.9508e-05i,0.00020443-0.00016283i,-0.00056239-9.5144e-05i,-5.837e-05-0.00042781i,0.00067937-0.00053842i,0.0013411-0.00024559i,0.0013475+0.00046761i,0.0012182+0.00078536i,0.0011604+0.00028601i,0.00095037-0.00064532i,0.0010225-0.00049694i,0.00092571+0.00021415i,0.00044969-2.7785e-05i,7.4959e-05-0.00041786i,-3.0879e-06-0.00034948i
-0.0013769+0.00082008i,-0.00098377+0.00084823i,-0.00043975+0.00090803i,0.00051253+0.0018524i,0.0011861+0.0012832i,0.00031894+0.00069088i,-0.0011369+0.00087241i,-0.0018549+0.00056114i,-0.0015122+0.00044913i,-0.0010363-0.0001666i,-0.00063701-0.0007117i,-0.00036514-0.00040595i,0.00030069-0.0012057i,0.00095102-0.001328i,0.00076413-0.00056306i,0.00079317+0.00010552i,0.0006586+0.0013475i,0.00023566+0.00064739i,-2.1131e-05-0.00083927i,-8.9646e-06-7.1007e-05i,0.00043331+0.00049532i,0.00042802+0.00046609i,0.00023365+0.0007405i
-0.00026289-0.0011946i,-0.00066262+0.00020868i,-0.0014851+0.00086272i,-0.0024342+0.0001895i,-0.0016135-0.00024571i,-0.00047011+2.2225e-05i,0.00012779+0.0014622i,-0.00011469+0.0021209i,-0.0011179+0.0011034i,-0.0011979+0.00052306i,-0.00042515+0.00017295i,0.00020861+1.858e-05i,0.00040105+0.00016238i,0.00021597+0.00027177i,-5.4662e-05+7.1241e-05i,0.00062391-0.00028915i,0.00046186-0.00014908i,-0.00018535+0.00023716i,0.00010509+0.00032186i,0.00028528+0.00026501i,0.00048667+6.8454e-05i,0.0005311-9.2586e-05i,-0.00019619+0.0001694i
-0.0027577-0.00082188i,-0.0027168+0.0014679i,-0.0016729+0.0032054i,-0.0011022+0.0018602i,-0.0012943+7.877e-05i,-0.001074-0.00014537i,-0.0003609+0.0004003i,8.3225e-05+0.00088368i,-0.00071291+0.0012788i,-0.00081746+0.0008748i,0.0001939+6.5615e-05i,0.00057391-0.00057655i,2.2557e-05-0.00043341i,0.00065944+2.1765e-05i,0.0012152+0.00012036i,0.00021224+6.7727e-05i,-0.00010032+0.00065469i,0.00041095+0.00042784i,0.00085361+0.00016747i,0.00033659+0.00052978i,-0.00039456-0.00020591i,-0.00076613-0.00057649i,-0.00052929+0.00012454i
