0.0002389-0.0002106i,0.00072717-0.00079255i,0.0014256-0.0011266i,0.0011428-0.00067995i,-0.00078511+0.00035698i,-0.0023259+0.0013272i,-0.0020986+0.0014453i,-0.00073301+0.0015893i,0.00097325+0.0012889i,0.0018498+0.00013292i,0.00090316-0.0011566i,0.00032257-0.00107i,0.00067407+0.00025394i,0.00024141+6.7857e-05i,-0.00015726-0.00092884i,-0.00058755-0.0013161i,0.00015274-0.00061151i,0.00096872+0.00019111i,9.5144e-05+0.00022566i,-0.00099203+0.00033232i,-0.0011322+3.7766e-06i,-0.00044066-1.3763e-05i,-0.00034552+8.2005e-05i
0.00077749-0.0012839i,0.00060663-0.0023313i,0.0017262-0.002219i,0.00093944-0.0018747i,-0.0012733-0.001715i,-0.0022865-0.0011206i,-0.0019774-0.00072031i,-0.0013004-0.00047862i,-0.0005615-0.00076452i,-0.00057986-0.0013912i,-0.00055912-0.0021099i,0.00011831-0.0017297i,-0.00014534-0.0013017i,-0.00020127-0.00079415i,-0.00038038+4.2411e-05i,-0.0011532+0.00094271i,-0.00097147+0.0011188i,-0.00013653+0.00058566i,0.00027805+0.00025587i,0.00035467+0.00039022i,-0.00013468+0.0008486i,-0.00087858+0.00030552i,-0.000613-0.00044033i
-0.00089804+0.0018929i,-0.00089557+0.0013515i,-0.0011529+0.0022816i,-0.0016237+0.0022802i,-0.00061075+0.0002962i,-0.00048764-0.000193i,-0.00095538+0.00083405i,-0.0004682+0.0006085i,5.1618e-05-6.9316e-05i,0.00027023+0.0002i,0.00032223+7.283e-05i,0.00014216+2.9383e-05i,0.0001354+0.00016993i,0.0002184+0.00040793i,-0.00026391+0.00048132i,-0.00046139-0.00045272i,0.00023904-0.00021402i,0.00033365+0.00028709i,-0.00055492+0.00075485i,-0.00080585+0.00061132i,-0.00023675-0.00017734i,-0.00023152-0.00047818i,0.00018475-0.0005407i
-0.00048629-0.0020871i,0.00068994-0.0022261i,0.00054895-0.0018838i,-0.00040859-0.0011042i,-0.0014007-0.00073653i,-0.0021955-0.00012164i,-0.0018015+0.00044793i,-0.00061784+0.0010078i,0.0009344+0.00047555i,0.0010596-0.00079729i,-5.6783e-05-0.00087041i,-0.00012913+1.7212e-05i,-0.00010143+0.0003832i,-0.00044249+2.8095e-06i,-0.0010223-0.00050055i,-0.0016747-0.0002655i,-0.00092169-9.7316e-05i,0.00038071-0.00040837i,0.0002005-0.00043337i,3.4277e-05-0.00020397i,-6.9677e-05-0.00033836i,-0.00024946-0.0003093i,0.00019979-0.00046935i
0.00058132-0.00066433i,-0.00029782-5.8063e-05i,-0.00086934+0.00049009i,-0.00064364+0.00045607i,-0.00041426+0.00011612i,-0.0007812-0.0001833i,-0.0013856-0.00046271i,-0.001269-0.00033143i,-0.00079718-0.00044695i,-0.00028245-0.00068808i,-9.0861e-05-0.00048847i,8.6757e-05-0.0004327i,-0.00022283+0.00012708i,-0.00059413+0.00071249i,-0.00052461+5.2064e-05i,-0.00024758-0.00038803i,0.00019911-0.00033227i,0.00066762-0.00046359i,0.00042678-0.00014861i,-0.00043264+0.00023419i,-0.00033405-1.3868e-05i,-7.68e-05+0.00026229i,-0.00064498+0.00064032i
-0.00035055+0.0016404i,-0.00047554+0.0011696i,-0.0012367-0.00014639i,-0.001426-0.001208i,-0.0013857-0.00088053i,-0.001304-0.00044735i,-0.0020051+7.3443e-06i,-0.002102+7.2168e-05i,-0.00088617-0.0002505i,-0.00012637-0.00074392i,0.00033093-0.00076601i,0.00014416-0.00024643i,0.0003065+0.00025775i,0.00074896+0.00036628i,0.00039689+0.00090116i,-0.00051286+0.0012646i,-0.00078042+0.0011921i,-0.00048188+0.00095328i,9.2376e-05+0.00024381i,0.00055491+0.00040309i,0.00059207+0.00057953i,0.00030952+0.00044501i,0.00041403+0.00076945i
-0.001279+0.00090384i,-0.0013931+0.0014131i,-0.00082778+0.0013613i,-0.00018568+0.0011734i,0.00061718+0.00097727i,0.00031122+0.00038404i,-0.0010347+6.258e-05i,-0.0011904+0.0011237i,-0.00047281+0.0012611i,0.00072308-9.3836e-05i,0.0017235-0.00083827i,0.0013817+0.00014272i,0.00066745+0.0010881i,0.00046718+0.00057299i,5.6017e-06+1.914e-05i,-0.00013814+0.00017319i,-3.8423e-05-0.00012437i,0.00010326-0.00038808i,0.00010156-8.1425e-05i,-0.00012839+0.00055671i,-0.00070401+0.00034591i,-0.00083245-0.00037266i,-5.6277e-05-0.0010203i
0.0012161-0.0030027i,0.0010882-0.0032879i,0.0020431-0.0048611i,0.0018548-0.0051199i,-0.00022061-0.0028546i,-0.0020728-0.0010587i,-0.0023097-2.439e-05i,-0.001858+0.00022329i,-0.00063416-0.00085566i,0.00043371-0.0018585i,0.0007895-0.0012189i,0.0004577-0.00016434i,-0.00037514-0.00050899i,-0.0012624-0.00071115i,-0.0019132-0.00033351i,-0.0015037-0.0011576i,-0.00088216-0.0010612i,-5.9581e-05+0.00041513i,0.00017606+0.00094238i,-6.3366e-05+0.001063i,-3.7108e-05+0.0010865i,-0.00034661+0.00040022i,-0.00087961+6.2809e-05i
0.0010549-0.0016009i,0.00034978-0.0020467i,-0.00020176-0.0021443i,-0.00060996-0.0010887i,-0.0013956-0.00047154i,-0.0015654-0.00015699i,-0.0016597+0.00017881i,-0.0010223-0.00059693i,-7.5219e-05-0.00082232i,-0.0005023-0.0009968i,-0.00091835-0.00060485i,-0.0010102-0.00044972i,-0.0014117-0.0012625i,-0.00093118-0.0018411i,-0.00045841-0.0013435i,-0.00046313-0.00015947i,-0.000159+0.00071126i,-0.00049298+0.00084558i,-0.00046092+0.00034849i,-6.7784e-05+8.1772e-05i,0.00064946+0.00012116i,0.00048582+0.00030323i,-3.4636e-05+2.7027e-05i
-0.00038816+0.00032069i,-0.0012427+8.7843e-05i,-0.0014759-0.0002402i,-0.0011257-7.4447e-05i,-0.00090707-0.00062551i,-0.00072325-0.00097679i,-0.0015736-0.00091456i,-0.0017974-0.00041764i,-0.0011976+0.00036919i,-0.00061441+0.0010807i,-9.941e-05+0.00076173i,0.00010768-0.00018476i,-0.00029555-0.00051637i,-0.00051674-0.00027976i,-0.00023166-0.00086131i,-1.2718e-06-0.0011581i,0.00050231-0.0003002i,0.00044068+3.2187e-05i,0.00016448+0.00023617i,0.00063498+0.00029991i,0.00079043-0.00026587i,9.7573e-05-0.00015772i,-0.00035195-0.00014674i
-0.0013914+2.2617e-05i,-0.0018496-0.00075184i,-0.001507-0.00073266i,-0.00085697-0.00041858i,2.4299e-05-0.00045136i,-0.00026588-0.0011937i,-0.0011806-0.0012041i,-0.0012108-0.00053743i,-0.00039922-0.00043262i,-0.00027232+0.00031462i,-0.00041239+0.00023655i,0.00013816-0.001156i,0.00016224-0.00082622i,-8.7099e-06-4.6898e-05i,-0.00058667-0.00013916i,-0.0005683+0.00059576i,-1.2264e-06+0.0015076i,0.00014961+0.001314i,-0.00017621+4.9626e-05i,-0.00065055-0.00012264i,-0.00092632+0.00052259i,-0.00083144+0.00039179i,-0.00034186-0.00049496i
-3.6682e-05-0.0021983i,0.0001257-0.0021902i,-0.00024476-0.00223i,-0.00060675-0.0021012i,-0.0010153-0.0013761i,-0.0011109-0.00061274i,-0.0010538-0.00031973i,-0.00072517+3.8e-05i,1.8929e-05-6.5591e-05i,-0.00050513-0.00016044i,-0.0011039-0.00027337i,-0.00083658-0.00015151i,-0.00023027-1.3062e-05i,-1.5487e-05+0.00028294i,-0.00067208+0.00029264i,-0.00061127+0.00025657i,0.0003375+0.00025462i,0.00047979+0.00020463i,0.00024776+0.00031667i,0.00032952+0.00044085i,0.00073202+0.00043585i,0.00032474-0.00020467i,0.00025555-0.00019753i
0.0012502-0.00017793i,0.0017374+0.00048241i,0.0018379+0.0016593i,0.00024123+0.0011151i,-0.0010993-0.00010065i,-0.0015547-0.0010131i,-0.0013561-0.0012681i,-0.0002413-0.0004418i,0.00099137-0.00032359i,0.00087835-0.00057139i,0.00043959-0.00074722i,0.00013343-0.0011342i,-0.00016194-0.00099794i,-7.8811e-05+5.2597e-05i,-0.00045954-2.8914e-05i,0.00010494+0.00031582i,0.00059246+0.00085499i,0.00035436+0.0003732i,0.0002343+0.00017893i,0.00022879+0.00012714i,0.00052648+0.0001173i,0.00075989+0.00012052i,0.00076261+0.0001897i
0.00075444+0.00061175i,0.0010809+0.0011054i,0.00097982+0.0011739i,0.00092041-0.00010663i,0.0011851-0.001079i,0.00037563-0.00055365i,-0.0017052-0.00064223i,-0.0015752-0.0004092i,1.6346e-05+0.00021754i,0.00050806-0.00062786i,0.00040285-0.0012301i,0.00065002-0.00078839i,0.00065723-0.00041448i,0.00056581+0.00042565i,0.00084698+0.00060979i,0.00086608+2.9541e-05i,0.00069223-0.00014699i,-2.2991e-05+0.00010009i,-0.0003179+0.00024754i,1.7201e-05+0.00024159i,0.00033214-0.00024736i,0.00079561-0.0004049i,0.00053294-0.00025471i
-0.00059413+0.0013734i,-0.0022596+0.0020084i,-0.0022537+0.00088465i,-0.0010013-3.1578e-05i,-0.00028804-0.00010872i,-0.00075956-0.00011329i,-0.0015009+0.00043491i,-0.0022906+0.00088341i,-0.0017843+0.0004789i,-0.00024145-0.00070161i,0.00055105-0.00082001i,0.00049565-0.00018744i,0.00049351+6.8154e-05i,0.00072501+0.00054604i,0.00095053+0.00058511i,0.00093907-1.5899e-05i,-0.00018759-0.00014632i,-0.00027681+0.00042592i,0.0007449+0.00023314i,0.00041638+0.00039335i,-0.00048958+0.0011861i,-0.00045501+0.00043128i,-0.0001715-0.00010372i
-0.00042306+0.00126i,0.00030333+0.00079759i,0.00096654+0.00060635i,0.00079041+0.0011522i,0.00014438+9.4119e-05i,-0.00057952-0.0008401i,-0.0013724-0.00077015i,-0.00128-0.00024399i,-0.00099081+0.00033748i,-0.00059901-0.00019848i,0.00034073-0.0010381i,0.00050469-0.00055905i,7.7929e-05+7.5237e-05i,0.00068114-0.00022291i,0.00062435-0.00053974i,-0.00019758-0.00042756i,-0.00040395+9.8727e-05i,-0.00051321+0.00021249i,-0.00022353-0.00012645i,0.00051583-0.00066214i,0.00094493-0.00060079i,0.00014096-0.00038933i,-0.00039083-0.00025976i
0.00073067+0.0016508i,0.0010318+0.0025897i,0.00098418+0.0015769i,0.00034545-4.5875e-05i,-0.00012565-0.0015135i,-0.00091773-0.0018452i,-0.0012328-0.0011993i,-0.00077541-0.00077819i,0.00014742-0.00087149i,0.00080208-0.00087239i,0.0001473-0.00067468i,-0.0004142-0.00087176i,-8.4191e-06-0.00090385i,-4.8199e-05-0.0011462i,0.00027455-0.00079394i,-0.00018865+0.00035907i,-0.00084992+0.0004739i,-0.0013916-2.5521e-05i,-0.00096127-0.00040624i,-0.00028848-2.4974e-05i,-0.00098131+0.00041878i,-0.00076582+0.00032465i,0.00033131-3.1916e-05i
0.00059446-0.00072459i,0.0021682+2.2681e-05i,0.0021112-8.3034e-05i,0.00096779-0.00021434i,-0.00053333-0.00064079i,-0.0017991-0.00045924i,-0.0023437-0.00030446i,-0.0016283-0.00033247i,-0.00080135-0.00013206i,-0.00017567-0.00051986i,-2.4807e-07-0.00078918i,0.000293-0.00021138i,-0.0001671-0.00010355i,-0.00059498-0.00079855i,-0.00050225-0.00085607i,-0.00075426-0.00026077i,-0.00036324+0.00039806i,-5.1365e-05-5.7188e-05i,-0.00022359-0.00080901i,-0.00026141-0.00044972i,-0.00084191+0.00010939i,-0.0008792+9.8311e-05i,-0.00031417+0.00028222i
0.00059156-0.00024147i,0.00041328+0.0008709i,0.00055746+0.0010966i,0.00056659+0.00040068i,-0.00039974-0.0007807i,-0.0011867-0.001565i,-0.0010635-0.0012933i,-0.00089611-0.0010707i,-0.00037118-0.00063428i,0.00013386-0.0011219i,0.00011271-0.00060398i,-0.0003681+0.00095853i,-0.00013738+0.0012374i,0.00067157+0.00083124i,0.00049059+0.00094145i,-0.00020808+0.00063475i,-0.00030745+0.00023099i,0.00065392+0.00016977i,0.00085141-0.00033729i,0.00052003-0.00093437i,0.00065985-0.0010234i,6.3941e-05-0.00065714i,-0.00024827-0.00011275i
0.00029063+0.00029275i,0.0009437+0.00080066i,0.00086489+0.00063711i,0.00075326+0.00018546i,0.00013752-0.00042782i,-0.0012613-0.0012851i,-0.0020108-0.00090818i,-0.00094004-0.00021596i,0.00026672+0.00036502i,-4.6737e-05+0.0010042i,-0.00032617+0.0013067i,-5.0042e-05+0.0002839i,-0.00039057-0.00066789i,-0.00049672-0.0010444i,-0.00028328-0.0012121i,-0.0004406+0.00016926i,-0.00010799+0.0010304i,-0.00019507+0.00073876i,-0.00039123+0.00066521i,6.3565e-05+0.00076i,-1.1441e-05+0.00035057i,-0.00054069-0.0001976i,-0.00023371-0.00088049i
0.00050244+0.0010743i,0.00016122+0.00091656i,-0.00037441+0.00038752i,-0.00065124-0.00085353i,-0.00019124-0.0016054i,-0.00091762-0.00067678i,-0.0019452+0.00039408i,-0.0016964+0.0010624i,-0.001215+0.0012377i,-0.00052344+0.00104i,-0.00024599+0.00089858i,-7.05e-05+0.00096178i,-7.8341e-05+0.00066766i,-5.342e-05-0.00037226i,-0.00043809-0.00058631i,-0.0012837+0.00026892i,-0.0011059+0.0004577i,-0.00039214-0.00025923i,-0.000637-0.00065296i,-0.00071411-0.00087067i,1.0104e-05-0.0012736i,8.2717e-05-0.00033437i,-0.00023287+0.00027022i
0.00012844-0.0013749i,0.00020719-0.0020621i,0.00015492-0.0033142i,-0.00022238-0.0024364i,-0.00050186-0.0012477i,-0.00039081-0.00085884i,-0.00034683-0.00017597i,8.7904e-05+0.00023768i,0.00018099-6.1994e-06i,0.00027744+3.5727e-05i,0.00038922+0.00035273i,-0.00048814+0.00032257i,1.7737e-05+0.00019939i,0.00026412-1.049e-05i,-0.00060477-0.00037609i,-0.00073722-3.6421e-05i,-0.00030375+0.0003012i,-0.00033842+0.00012621i,-7.6567e-05+2.4339e-05i,2.6041e-05-0.00034057i,0.00027635-0.0010933i,0.00022467-0.0012088i,-0.00017528-0.00012482i
0.0022191-0.00059067i,0.002922-0.0001118i,0.0021132+0.00044363i,0.00026845-0.00053803i,-0.00076404-0.0011104i,-0.0016104-0.00044129i,-0.0011521+0.00014645i,7.0803e-05+0.00074914i,0.00040776+0.00024926i,0.00017007-0.00056494i,-0.00053397-9.9482e-05i,-0.00098964-0.00045113i,-0.00088388-0.00087236i,-0.00081312-0.00062904i,-0.00098771+6.9247e-05i,-0.00065538+0.00060237i,-7.8979e-05+0.00016118i,0.00024188+0.00039322i,0.0004389+0.00017542i,0.00029137-0.00030905i,0.00036264-0.00025975i,0.0009259-0.00042031i,0.00056563-0.0012106i
-0.00023666-0.0021755i,-0.0011026-0.00096205i,-0.0018509-0.00013731i,-0.0012047+0.00016367i,-0.00018975+0.00064089i,-0.00051629+0.00014247i,-0.00041791-0.00015596i,-0.0003427+0.00030082i,-0.00058855+0.0006497i,-0.00019488+0.0007914i,-2.7523e-05+0.00062856i,-0.00029771+0.00011533i,-0.00074796-7.4399e-05i,-0.0011899+0.00032002i,-0.00087482+0.00066729i,8.1915e-05+7.589e-05i,0.0010195-0.00040227i,0.00060872+2.1851e-05i,0.00017898+3.9562e-05i,0.00022002+6.8741e-05i,0.00017173+0.00085117i,-0.00024017+0.0010837i,-0.0003482+0.00042326i
-0.00054195-0.00057763i,-0.0008385-0.00066894i,-0.001188+0.00044948i,-0.00034921-7.1574e-05i,0.00055838-0.00020193i,-0.00014553-0.0001418i,-0.001552+5.3185e-05i,-0.0021598+0.00066815i,-0.0014799+0.00060308i,-0.00059835-6.4063e-06i,-8.1608e-05-0.00048726i,-9.6731e-05-0.00037242i,-2.5811e-05-0.00016256i,0.0001717+0.00051515i,0.00015419+0.00059042i,0.00032892+0.00051865i,9.537e-05+0.00068069i,-0.00024005+0.00013272i,-0.0001606-0.00053513i,0.00017346-0.00042483i,0.00025946+0.0005163i,-0.00023583+0.00053932i,-0.0012239-0.00028012i
0.00029135+0.00056431i,0.0013972-0.00020957i,0.0015709-0.00036953i,0.00048019-0.00076181i,-0.00018637-0.0015421i,-0.00085869-0.00098024i,-0.0012123-0.00034368i,-0.00068873-0.00046986i,-0.00026361-0.00051247i,0.00051588-0.00017474i,0.00089049+0.00032726i,0.00048586+0.00056635i,0.00027783+0.0006913i,-1.692e-05+0.00049438i,-0.00053114+0.00045716i,-7.5285e-05+0.0005123i,0.00040887-0.00015117i,0.00052146-0.00017535i,0.00061867+4.9114e-05i,0.00087509+7.4297e-05i,0.00089923+0.00053475i,0.00070296+0.00060279i,0.00088655+0.00043505i
0.00074109+0.00054343i,-0.00014914+0.0016759i,-0.0013877+0.0023192i,-0.0012538+0.0008051i,-0.0010456-0.00072363i,-0.0016062-0.0004809i,-0.0015671+0.00011384i,-0.001478+0.00010885i,-0.0011129-0.00042969i,-0.00015805-0.00032734i,0.00024065+0.00076686i,0.0001431+0.00060557i,5.3264e-05+0.00021943i,0.00016104+3.38e-05i,7.3532e-05+3.5272e-06i,-0.00082005+6.3028e-05i,-0.0010576-0.00017041i,-0.00042615+0.00010033i,-0.00019128+0.00023126i,7.4237e-05+9.4383e-05i,-0.00067474-0.00013309i,-0.0016769-8.4603e-05i,-0.001021+0.00035262i
-0.0010657-0.00028315i,-0.0016366-0.00021858i,-0.0015195-0.00028352i,-0.00064968+0.00022298i,-4.3143e-05+0.0011356i,-0.0011736+0.00079596i,-0.0022981+0.0004235i,-0.0016444+0.00044227i,-0.00081909+0.00063437i,-0.0001737+0.00056012i,8.1463e-05+0.00027785i,-0.00080438+0.00022993i,-0.0012142+0.00036633i,-0.00070137+0.0005279i,-0.00044419+0.00066716i,-0.00096136+0.00022521i,-0.00068298-0.00061594i,0.00081865-0.00064379i,0.0011176-0.00020604i,0.0010484+0.0001649i,0.000939+0.00049002i,0.00054208+7.6118e-05i,0.00052057-0.00055876i
0.0024121+0.0012956i,0.0022474+8.4629e-05i,0.0024397-0.00059141i,0.0020249-0.00072304i,0.00089733-0.0016564i,-0.00020759-0.0016797i,-0.0006516-0.00088744i,-0.00060617-0.0002713i,0.00032204+0.00040028i,0.0013537+2.8468e-05i,0.0010658-0.00052442i,0.00044755-9.1066e-05i,-0.00027322-9.6138e-07i,-0.00030352-0.0003523i,-5.7463e-05-0.0001753i,-0.00040048+0.00011026i,8.3702e-06+0.00061824i,0.0005661+0.00089933i,2.6175e-06+0.00099323i,-7.4545e-05+0.00050121i,-0.00012677-0.00055043i,-0.00039647-0.0012162i,0.00014454-0.0012473i
0.0018541+0.0014493i,0.0022412+0.0014503i,0.0028991+0.00067524i,0.0016553-0.00074406i,0.00024953-0.0015971i,-0.00062168-0.0016656i,-0.0013112-0.00082621i,-0.0013141+0.0006741i,-0.0010144+0.00098423i,-0.00058791-0.00012944i,-0.00069625-0.00076203i,-0.00094824-0.00061284i,3.9753e-05-0.001041i,0.00066168-0.0011452i,-0.00024388-0.00050405i,-0.00066017+5.0497e-06i,-0.00048449-8.4398e-05i,-0.0003484+8.4592e-05i,7.2042e-05+0.0008421i,0.00039388-2.076e-05i,4.457e-06-0.0012349i,-0.00029459-0.0013224i,-0.00013456-0.00095829i
-0.001027-0.002763i,-0.0013742-0.0015543i,-0.0016226-0.0012516i,-0.00098586-0.00057253i,-0.0015377+4.7818e-05i,-0.0016904+6.3087e-06i,-0.00099663-0.00027806i,-0.0001842-0.00049886i,0.00083646-0.00066342i,0.0007971-0.00016867i,-0.0004008+0.00049204i,-0.0006152+0.00021911i,-0.00072435-0.00039753i,-0.0011804-0.00014678i,-0.00050473-0.00030725i,0.00051055-0.00019577i,7.0578e-05+0.00047953i,-0.00091297+0.00016581i,-0.0001563+0.00050246i,0.00037257+0.0013626i,-0.00053834+0.00081389i,-0.00077437+1.8315e-05i,-7.7811e-05+0.00018181i
-0.0016066-0.00014587i,-0.00073755-0.0012156i,-0.00044531-0.0010674i,-0.00076662-0.00052585i,-0.00060689-2.0532e-05i,4.0047e-05+0.00047394i,-0.00054481-0.00029854i,-0.0014037-0.00063097i,-0.00094965+8.8989e-05i,0.00029828+0.00023313i,0.0010914+6.8413e-05i,0.00040178+0.00015697i,-0.00022108+0.00040998i,-0.00067364+0.00084706i,-0.0005699+0.0005568i,-0.00017413+5.3478e-05i,0.00056986+5.8437e-06i,0.0008979+0.0001159i,-0.00063868-0.00016217i,-0.00064448-0.00050605i,0.00024694-0.00036313i,-1.9882e-05+5.5813e-05i,-0.00061055-6.2098e-05i
