0.0008624-0.00023659i,0.0014539-0.00076098i,-0.00038657-0.0010092i,-0.0011893-0.00047306i,-0.0014459+0.00021538i,-0.0012648-0.00045012i,0.00013126-0.0013569i,0.00061801-0.0012485i,0.00059683-0.00071018i,0.00089937-0.0010146i,0.00089829-0.0015719i,0.00050953-0.0015569i,-6.7656e-07-0.001043i,-0.00063121+3.9546e-05i,-0.00097076+0.00017954i,-0.00063127-0.00019275i,0.00015256-0.00029258i,0.00095654-0.00036543i,0.00064163-0.00029446i,6.1394e-05-0.00026973i,-9.2936e-05+1.9255e-05i,-0.00014283-0.0002731i,-0.00016376-0.00082004i
0.00088226+0.00016207i,0.00064713+0.00063316i,0.0013271+0.00045373i,0.0010418-0.00081255i,0.0013648-0.0015063i,0.0012794-0.0017391i,-0.00033686-0.0022472i,-0.0010819-0.0017309i,-0.00086316-0.00058533i,-0.00071442-0.0002928i,0.00019664-2.258e-05i,0.001749-9.4024e-05i,0.0017563-0.00063073i,0.00055239-0.0008826i,-7.1348e-05-0.00026873i,0.00054048-9.7145e-05i,0.00066026-0.00053193i,-1.0835e-05-0.00021005i,-5.6219e-05+0.00047963i,-8.7766e-06+0.00067677i,-0.00017789+0.00068266i,7.3798e-05+0.00063591i,1.5359e-05+0.00035043i
0.00040445+0.00018502i,0.00084138-0.00064182i,0.0013038-0.00052178i,0.0015195-9.5474e-05i,0.0012409-0.0001198i,-5.7178e-05-0.00045343i,-0.00051948-0.0013397i,-0.00023787-0.00116i,0.00052382-0.00051032i,0.00070344-0.00029514i,0.00047661-0.0003368i,0.00098872-4.5441e-05i,-7.4083e-05-0.00020019i,-0.0010567-0.00089098i,-0.00024448-0.00044783i,-0.00013565+0.00012737i,-0.00074181-0.000263i,-0.00050766-0.00093422i,0.00020128-0.0005459i,-0.0003776+7.8999e-05i,-0.00098143+0.00017102i,-0.00086897-0.00020537i,-0.0004706+0.00017974i
0.00040634+0.0010989i,-0.00076879+0.0014557i,-0.0020492+0.00099225i,-0.0017498-0.00084129i,-0.00043126-0.0016045i,0.00025572-0.0021689i,0.00016337-0.0021073i,-0.00051711-0.0016579i,-0.00063904-0.0014138i,-0.00014557-0.00045324i,-0.00014964-0.00016679i,-0.00035807-0.0006966i,0.00044268-0.00097309i,0.00084582-0.00020474i,-8.2452e-05+0.00038428i,-0.00045345-1.3651e-05i,-0.00060306-0.00010477i,-0.00061491+0.00011953i,-0.00070814-5.7562e-05i,-0.00084175-7.8016e-05i,-0.0011251-2.1102e-05i,-0.0010955+0.00030809i,-0.00055756+0.00089227i
-0.00016274-0.0013236i,0.001351-0.0010959i,0.0017148-0.0011985i,0.0010453-0.0013426i,0.00035009-0.0012065i,1.8884e-05-0.00069925i,-0.00057536-0.00063148i,-0.00056543-0.00063078i,-0.00038554-0.0003801i,-0.00026845+7.717e-05i,3.4732e-05+0.00026371i,0.00015419-0.00020161i,-6.5823e-05-0.00070303i,-0.00018513-0.00062314i,0.00024478+6.9893e-05i,0.00067762+0.00030023i,0.00030344-0.00025651i,-0.00019119-6.5429e-05i,0.00034105+0.00040509i,0.0007017-0.00019152i,0.00024844-0.00067309i,-0.00052351-0.00040181i,-0.00068585-0.00032021i
-0.0009972-0.00025784i,-0.00062411+0.00031003i,-0.0013978+0.00091326i,-0.00053424+0.000509i,0.00076545+0.00027289i,0.0013002+0.00044336i,0.00054709+2.9482e-05i,-8.9337e-06-0.0007066i,0.00063975-0.00025827i,-0.00024138+0.00079225i,-0.00067811+0.00071219i,0.00035648-9.7312e-05i,0.00048273-0.00049593i,-0.00014309-0.00045291i,-0.00020821+0.00031113i,-0.00015225+0.0004165i,-0.0001554+0.00029005i,0.00015149+0.00053608i,0.00045313+1.8435e-05i,0.00059837-0.00074091i,-0.00029359-0.00027274i,-0.00061491+0.00065623i,-0.00022286+0.00011794i
-0.0026809+0.0017251i,-0.0019117+0.002673i,-0.0023339+0.0033191i,-0.0010647+0.0020396i,0.00086839-1.0122e-05i,0.0015118-0.0014953i,0.00073033-0.0019223i,-0.00030028-0.001275i,-0.0010293-0.00071051i,-0.00075824-0.00053546i,0.00075411-0.00027018i,0.0018949+4.0557e-05i,0.0016483+0.00048899i,0.00097915+0.00067656i,0.00069265+0.00065301i,0.00022907+0.00031205i,-0.00035086-0.00012842i,-0.0003061+0.00024798i,-0.00039022+0.00026755i,-0.00091511+0.00028693i,-0.00043485-3.1653e-05i,-4.0878e-05-0.00027928i,7.3005e-05+0.00032797i
-0.000862+0.0014885i,0.00071211+0.0011326i,0.0011825+0.0012383i,0.0017688-0.00040983i,0.0024282-0.0014198i,0.0016441-0.00075607i,0.00055973+0.00011375i,-0.00063167-0.00070608i,-0.00043235-0.00094479i,0.00046995-0.00033178i,0.00080716-5.905e-05i,0.00097054-0.00044949i,0.00077987-0.0010532i,0.00043264-0.0010002i,0.00061069-0.00081412i,0.0005084-0.00030142i,0.00010696+0.00040445i,0.00015704+0.00042301i,0.00030791+0.00027735i,0.00045728+0.00034476i,0.00037291+0.00021264i,1.8832e-05-6.2925e-05i,-0.00066036-0.00018369i
0.0013856+0.00094837i,0.00077002+0.0008127i,0.00050853+0.0012888i,0.00072984+0.0016176i,0.00047389+0.00060991i,-0.00027992-0.00071447i,-0.0012563-0.0011537i,-0.0010626-0.0005034i,-0.00019341-0.00015163i,0.00025896-0.00039099i,0.00048365-0.00028898i,0.00062125-0.00067975i,0.00085718-0.0010352i,-1.027e-05-0.00066821i,-0.00084559-0.00034876i,-0.00058499-0.0001262i,0.00018173-3.684e-05i,0.00034459+0.00055295i,0.00019647+0.00031064i,0.00044867-0.00056546i,4.7325e-05-0.00037406i,-4.1523e-05+0.00011111i,0.00039783+0.00022083i
-0.000499+0.00084152i,-0.001371+0.00055921i,-0.0010799+0.0012669i,-0.0013167+0.00079428i,-0.00027123-0.00064349i,0.0002452-0.00080565i,-0.00067394-0.0003554i,-0.00072992-0.00046634i,-0.00071243-0.00035608i,-0.00048645+0.000123i,5.4872e-06-0.00010712i,0.0003518-0.0005266i,0.00011287-0.00030748i,-0.00062363-2.0385e-05i,-0.0010058+0.00027852i,-0.00079737+0.00036048i,-0.0003967+3.7376e-05i,0.00076167-9.1869e-06i,0.00082727-0.0006471i,0.00043169-0.00066714i,0.00019631+8.3583e-05i,-0.00058724-0.00027139i,-0.00089529-0.00044121i
-0.00065577+0.00035199i,-0.00078789+9.5675e-05i,3.6507e-05-0.0014776i,0.001849-0.0023014i,0.0022153-0.001242i,0.0016789-0.0010812i,0.00041657-0.0015056i,-0.00089031-0.0009283i,-0.0012929-0.00037669i,-0.00042482-0.00082321i,0.00043149-0.00041622i,0.00087241+1.1155e-05i,0.00062268-0.00015692i,-5.8114e-05+0.00018317i,0.00029044-2.0293e-05i,0.00041082-0.00013654i,-0.00034799+1.2987e-05i,-0.00077924+0.00050699i,-0.0010091+0.00056016i,-0.000797-0.00023087i,-0.00069786+0.0003475i,-0.00020338+0.00051384i,0.00028431+0.00017878i
2.7221e-05+0.0010635i,0.00017153+0.0012522i,0.00083646+0.0013i,0.0013273-0.00024906i,0.00088529-0.00206i,0.0005951-0.0023011i,3.8687e-05-0.0020897i,-0.00084021-0.0010137i,-0.00056285-0.0008422i,-0.00015693-0.001086i,-0.00029911-0.00047882i,-0.00038601-0.00060418i,0.00031775-0.0010471i,0.00045012-0.0012505i,0.00052259-0.001053i,0.00039684+5.5708e-05i,0.00028552+0.00023614i,0.00083453-0.00022679i,0.00045791-0.00041453i,-0.00014576-0.00023755i,0.00026124-0.0001778i,0.00073705-0.00047105i,0.00037805-0.00069496i
0.00022495+0.0011874i,-6.4932e-05+0.0011554i,0.00073463+0.0010419i,0.0013331+0.0013829i,0.00042602+0.00067294i,3.5735e-05-0.00027718i,0.00050014-0.00080262i,0.00060447-0.00089717i,-2.7828e-05+5.2844e-05i,-0.00036533+0.00049216i,-8.545e-06+0.00021712i,0.0010439-0.0004617i,0.0010484-0.0010799i,0.00039648-0.00083827i,0.0004494+0.00046922i,0.0010159+0.00082731i,0.0012877+0.00096552i,0.00014454+0.00090307i,-0.00038157+0.00022273i,0.00020535+1.8307e-05i,0.00077278-0.00028039i,0.00093843-0.00028802i,-9.3085e-05+0.00037876i
0.00023134+0.00048505i,0.00036481-0.00013679i,-1.8689e-05-0.00037335i,3.0656e-05-0.000586i,0.00021811-0.0014426i,9.2191e-05-0.0018891i,-0.00047319-0.0019952i,-0.0009171-0.0017255i,-0.0001988-0.00071987i,0.00092917+0.00043802i,0.0014432+0.00076052i,0.0014028+0.0005181i,0.00066553+5.9174e-05i,0.00048307+0.00035136i,0.00066581+9.0897e-05i,-0.00026585-0.00070206i,-0.00065536-0.00044956i,-0.00033839+0.00024273i,-0.0002891-0.0001993i,-0.00029869-0.00044033i,-0.00042907-7.6822e-06i,-0.00030139+0.00026242i,-0.00014207+0.00065661i
9.7661e-05+0.0017525i,0.00025172+0.0014552i,0.00059213+0.0017469i,0.0016267+0.0010097i,0.0022113-0.00048838i,0.0016716-0.0013959i,0.0011094-0.0014533i,-8.0731e-05-0.0015253i,-0.00086967-0.0014229i,-0.0001292-0.00037268i,0.00078074+0.00019838i,0.0010906-0.00015779i,0.00058723-0.00075588i,0.0001048-0.0010569i,-0.00019497-0.0010032i,-0.00076863-0.00079497i,-0.00083713-0.00082577i,-0.00035846-0.0013368i,8.5168e-05-0.001348i,-0.00052713-0.00045756i,-0.0012537-0.00011968i,-0.00053198-0.00047708i,-0.00036915-0.00052425i
-8.1576e-05-0.0024894i,-0.00014574-0.0023294i,-0.00046241-0.0015543i,0.00014561-0.0012176i,0.00035718-0.00096938i,0.00071702-0.0006693i,0.00029297+1.3016e-05i,-0.0011393-0.00038336i,-0.001137-0.0011964i,-0.00094977-0.00041964i,-0.0013416+0.00051594i,-0.001122+0.00010941i,-0.00046388-0.0003756i,6.7551e-05+0.00017467i,-3.9156e-05+0.00066861i,-3.7018e-05+0.00032385i,0.00031456+1.4104e-05i,0.0003421-0.00016472i,0.0005076-6.9352e-05i,0.00065848+0.00040718i,0.00029005+0.00047203i,-0.00013082+0.00051889i,-0.00044034+0.00068381i
0.0020823-0.0020214i,0.0016838-0.0019572i,0.0016394-0.002819i,0.0007591-0.0018838i,-0.00019682-0.00065937i,-0.0004766-0.0012149i,-8.7113e-06-0.001184i,-0.00039864-0.00089593i,-0.00078499-0.00092123i,-0.00029597-0.00068939i,-8.6862e-05-0.00081039i,-0.00017272-0.00057739i,-0.00027499-0.00051154i,-0.00021317-0.00053077i,-0.00027048+0.00054724i,-9.5615e-05+0.00071093i,0.00032539+0.00049296i,0.00035894+0.00051072i,0.0003639+0.00058655i,0.00029284+0.00054967i,0.00044131-5.7304e-06i,0.00041556-0.00022492i,-3.1698e-05+0.00036834i
0.00026281-0.00011917i,0.00044229-5.1308e-05i,3.6361e-05-7.9351e-05i,-0.00056471-0.00011148i,-0.001132-0.00075688i,-0.00044737-0.0010318i,9.9278e-05-0.00049199i,-0.00064121-0.00083091i,-0.001-0.00081496i,-0.00088456+0.00046989i,-0.00034182+0.00044516i,0.00060896-0.00032206i,0.00065243-0.0013698i,0.0003213-0.0013465i,-0.00021477-0.00067032i,-0.00079584-0.00081446i,-0.00052115-0.00074989i,-0.00028036+0.00062208i,-0.00024447+0.00096577i,1.7743e-06-0.00021231i,0.00019837-0.00058342i,-1.3563e-05-7.1882e-05i,-0.00043462+0.00047623i
0.0010455+0.001504i,0.00064038+0.0018637i,-0.0002422+0.0016586i,-8.3384e-05+0.00099844i,0.0017514+9.782e-05i,0.0023341-0.0011335i,0.00092567-0.0014969i,-0.00032163-0.00066661i,-0.00036913-0.00043102i,0.00036832-0.00074916i,0.00078501-0.00072466i,0.0012117-0.0015358i,0.0017482-0.0018304i,0.0021445-0.00050826i,0.0017282+0.00044164i,0.00034168+4.914e-05i,-0.00076349+0.00013276i,-0.0011263+0.0002747i,-0.00056987+0.00024459i,0.00057789+0.00040527i,0.00068655+0.00047606i,-0.00014615+0.00069442i,-0.00053873+0.00079589i
0.0024955+0.0013171i,0.0033954+0.001459i,0.0024703+0.00038169i,0.0020598-0.00029353i,0.0010323-0.00052068i,-0.00033122-0.0010894i,-0.00031795-0.0011107i,9.635e-05-0.0010858i,0.00021788-0.0011186i,0.00071445-0.00025581i,0.00089687+0.0004968i,3.8878e-05-0.00045819i,0.00027228-0.0011416i,1.2487e-05-0.00020188i,-0.00076275+0.00070156i,-0.0004843+0.00049703i,-0.00053443-0.00019802i,-0.00021192-0.00067224i,0.00058417-7.8177e-05i,0.00057395+0.00041698i,0.00042185-8.6143e-05i,0.00038461+0.0003007i,0.00051433+0.00091496i
0.00019083+0.0015746i,0.00015556+0.0015027i,0.00016858+0.0014853i,0.0005036+0.0003324i,0.00086796-0.00088268i,0.0014904-0.0013948i,0.0013011-0.0019465i,0.00049756-0.0021725i,-0.00028544-0.0017346i,-0.00049069-0.001198i,0.0002775-0.00083234i,0.0011894-0.00092652i,0.00132-0.00081239i,0.00041106-0.00063399i,0.00053148+0.00017779i,0.0010332+0.001034i,0.00061287+0.0005539i,0.00024235+0.00013725i,0.00031302+6.4054e-06i,0.00070552+0.00033136i,0.00077738+0.00076746i,0.00061196-4.5656e-05i,0.00040408-0.00048104i
-0.00088974-0.0010775i,-0.00059134-0.00039773i,-0.00049962+4.959e-06i,0.00042802-0.0005153i,0.0012819-0.0010003i,0.00099701-0.00057595i,-0.00032179-0.00076122i,-0.001301-0.00040282i,-0.0013098+0.0011494i,-0.00047114+0.00072787i,-2.6658e-05-0.00028333i,0.00041913-0.00041297i,0.00085739-0.00086804i,-3.7151e-05-0.00050803i,-0.0003664+0.00028601i,0.00028514+0.0010731i,0.00023805+0.00099002i,6.22e-05+0.00086242i,0.00031517+0.00062592i,0.00046138+2.686e-05i,-2.4665e-05-0.00020616i,-0.00020469-0.00039588i,-7.4377e-05-0.00041336i
0.00041983+0.0024652i,0.0012473+0.0014811i,0.0018969+0.0015086i,0.0030569+0.0011153i,0.0024264-0.00038426i,0.00082875-0.0016935i,0.00026086-0.0021263i,-0.00031598-0.0015329i,-0.00088669-0.00091672i,-0.00015398-6.4343e-05i,0.0007279+0.00022907i,0.00031473+0.00019405i,-9.1987e-05-0.00026795i,-0.00021828-0.000566i,-0.00091926-0.00037659i,-0.00066459+0.0002659i,-0.00028701+0.00037854i,-0.00052822-0.00067799i,-0.00017084-0.0011229i,0.00053596-0.00084975i,0.00059175-0.00070738i,0.00055138-3.2565e-05i,0.00054822+0.00064852i
-0.00038266-0.00049174i,-0.00031648-0.00049863i,-0.00039127+0.00030314i,-0.00064042+0.00061131i,-0.00075117+0.00040199i,-0.00044824-0.00044649i,-0.00056004-0.0011669i,-0.0005149-0.0014554i,-0.00038653-0.0016091i,-0.00065597-0.0012139i,-0.00073348-0.00056133i,-0.00021563-0.00035068i,0.00018763-0.00068629i,0.00010542-0.00037463i,0.00018357-0.00029891i,-0.00041418-0.00056896i,-0.0010082-0.00030991i,-0.00026227+0.00029484i,0.00039543+0.0004381i,0.00052291+0.00042083i,0.00023904+0.00038842i,-0.00035646+0.00065505i,-0.00056358+0.0010421i
0.00069566-0.0015341i,0.00068315-0.001866i,-0.00032433-0.0023844i,-0.00052376-0.0021067i,0.00062542-0.00084565i,0.00098602+1.227e-05i,-0.00053996-0.00037007i,-0.0012837-0.0010356i,-0.00079754-0.000908i,-0.00059964-0.00026617i,0.00033301+0.00036672i,0.0005189+0.00095884i,0.00032151+4.1842e-05i,0.001202-0.00097955i,0.0013403-9.4061e-05i,0.00094287+0.0011765i,0.00025987+0.00097947i,-0.00047638+0.00033143i,-0.00022951+0.00025051i,-0.00025795+7.8483e-05i,-9.8995e-05+0.00017554i,-3.5074e-05+8.4896e-06i,-0.0001243-0.00064744i
0.00029817+0.0016428i,0.00028421+0.00050503i,0.00046246-0.00049898i,0.00076083-0.0015184i,0.00045753-0.0015944i,-0.00033385-0.0013716i,0.00021284-0.0017713i,0.00062655-0.0014559i,-0.00033924-0.00056997i,-0.00078951+0.00011128i,-0.00073925+0.00091649i,-0.00024595+0.00041378i,0.00044844-0.00013827i,0.0004167+0.00019384i,-0.00033426+0.00044044i,-0.00053233+0.00045243i,-0.00025143-0.00035673i,-0.00017307-0.00050392i,-0.00033608-7.0335e-05i,-0.0001781-0.00045828i,9.6091e-05-0.0010197i,-4.411e-05-0.00084035i,-0.00025034-0.00066089i
-0.0012366+0.00048695i,-0.0018202+0.00020234i,-0.0014413+0.00082221i,-0.00028359+0.0015442i,0.00049458+0.00049476i,0.00010128-0.00090514i,-0.00039541-0.0014481i,-0.00072037-0.0012311i,-0.00078801-0.0009021i,-0.00027274-0.00061561i,0.00038817-0.00051628i,0.00087109-0.00056627i,0.0010364-0.00064045i,0.00049447-0.00066513i,-0.00042637-0.00019903i,-0.00022508+0.00032573i,0.00096113+0.00024916i,0.0013003-0.00030747i,0.00046905+0.00022566i,-0.00010501+0.00083677i,-0.00016473+5.0825e-05i,0.00036544-0.00028245i,0.000525-5.1724e-05i
0.0014828-0.0015288i,0.0014267-0.0012689i,2.2835e-05-0.00038527i,-0.0011187-0.00070567i,-0.00098556-0.0011289i,-0.00078477-0.00069769i,-0.00024103-0.0013618i,-0.00020964-0.0017755i,0.00020829-0.00092683i,0.00065181-0.00021051i,0.00071007+0.00045854i,0.00077681+0.00017543i,0.00093077-0.0004336i,0.0008778-0.00076318i,0.00052996-0.00081752i,-0.00013436-0.0004001i,-0.00087303-0.00032135i,-0.00097232-0.00028998i,-0.00019687+5.9402e-06i,0.0001274+0.00049692i,-0.00048292+0.00080676i,-0.00037743+0.00053787i,0.00014126-0.00064838i
-0.0010005+0.00089228i,0.00023233+0.00086172i,7.8077e-05+0.00087674i,0.00077605+0.00096031i,0.0015751+0.0012419i,0.0015712+0.00096862i,0.00057792-0.00011112i,-0.00079514-0.00097394i,-0.0010175-0.00031381i,-0.00095568+0.00033307i,-0.00083742+0.00063i,-0.00016642+0.00067712i,0.00020482+0.0012887i,-0.000496+0.001562i,-0.00084579+0.00074653i,-0.00011021+5.3989e-05i,0.00097957+2.2483e-06i,0.00060526+0.00061153i,-1.1126e-05+0.00065777i,0.00057293-0.00012495i,0.0010066-0.00027614i,0.00067432-6.5988e-05i,0.00092307-0.00012592i
