-0.000584+8.7232e-05i,-8.2641e-05-0.0018019i,-0.0019849-0.0017409i,-0.0025928-0.0011401i,-0.0022166-0.00024341i,-0.0021293+0.00083918i,-0.0017477+0.00090522i,-0.0011794+0.00071524i,-0.00024777+0.00069443i,0.00091679+0.00057119i,0.0010127-0.00024687i,0.00038112-0.00074198i,0.00010739-0.0012001i,-0.00014437-0.0014121i,-0.00021352-0.0010322i,-0.00013844-0.00037102i,-0.00058886+0.00022962i,-0.00017712-0.00019797i,0.00045825-0.00088534i,0.00027894-0.0014137i,8.4026e-05-0.00076495i,-0.00038561+0.00026871i,2.7419e-05+0.0003916i
-0.00032873-0.0009535i,-0.00057903-0.00095222i,-0.00059857-0.0001843i,-0.00036571+0.00069018i,-0.000477+0.0012266i,-0.00070281+0.0010589i,-0.0010972+0.00045423i,-0.0008407-3.6172e-05i,5.4232e-06-0.00024185i,0.00034067-0.00041344i,0.00049922-0.00020027i,0.00082661-8.8228e-05i,0.00091458-0.0001766i,0.00053231+0.00030043i,0.00013584+0.00041165i,-0.00034754+0.00019635i,-0.00039067+0.00027078i,0.00011673+0.00017575i,0.00015341-0.00043512i,-0.0001002-5.1281e-05i,8.4117e-05+0.00048702i,0.00030842+0.00036269i,-9.5335e-05+0.00034164i
0.0003163+0.0022338i,5.8993e-05+0.0022277i,-0.00061684+0.0014044i,-0.00018152+0.00093341i,0.00050281+0.00069951i,0.00027421-0.0006071i,-0.00044392-0.00038015i,-0.00077131+0.00076936i,-0.00034024+0.0010986i,-0.00023967+0.001135i,-0.00058796+0.00076788i,0.00010748+0.00017619i,0.00061779+0.00062992i,1.4284e-05+0.0007332i,-0.00018017+1.4291e-05i,-8.122e-06-0.00058654i,-3.6629e-05-0.0010654i,-4.1608e-05-0.00077021i,-0.00036301-0.00038578i,-0.0011191+8.9583e-05i,-0.0012038+0.00027328i,-0.00015106+0.00019251i,0.00099571-0.00017462i
-0.00033312+0.0015931i,-0.0010941+0.0010041i,-0.0016247+0.00047653i,-0.00077102-0.0002174i,-5.764e-05-0.00025909i,-0.00086741+0.00014967i,-0.00126-0.00023794i,-0.0012965-0.00039179i,-0.00081402-0.00017523i,-0.00010365-0.0010678i,0.0002618-0.0011512i,-8.6114e-06+0.00035731i,-0.00048215+0.00038441i,-0.0006976-0.00023403i,-0.00036351-0.00078842i,-0.00019695-0.00097781i,-0.00070123-0.00039975i,-0.00057797+0.00052265i,-0.00098832+0.00098219i,-0.00097522+0.00099517i,0.00025183+0.00048316i,0.00014319+0.00013116i,-4.3641e-06+4.9839e-05i
-0.0011497-0.00020357i,-0.0011626-0.00097392i,-0.00016565-0.00063431i,0.001607-0.00049035i,0.0022915-0.001614i,0.00080577-0.0028563i,-0.00059767-0.0011252i,-0.00084819+0.0010125i,-0.00031154+0.00041778i,0.00021923-0.00054517i,0.00062619-0.00046037i,0.00044019-0.00012157i,-0.00060905-8.7626e-05i,-0.001087-0.0005326i,-0.00087746-0.00062169i,-0.00033593-0.00031082i,0.00018267-7.4352e-05i,0.00051937+3.7207e-06i,0.00071732-0.00011994i,0.00041784-0.00015567i,1.253e-05+2.1013e-05i,-0.00032332-1.2437e-05i,-7.6386e-05+0.00012596i
0.0020987+0.00018364i,0.0014415-0.00059087i,0.00030038-0.00057942i,-0.00019192-0.0011982i,-0.0003911-0.0013577i,-0.00077416-0.0012542i,-0.0011308-0.0011399i,-0.00095705-0.00035254i,-0.00058862+0.0003734i,0.00011767+0.00070679i,0.0012649+0.0010432i,0.0011349+0.0004029i,-0.00014804-1.7839e-05i,-0.0005535-5.5928e-05i,-3.293e-05-0.00080356i,0.00015466-0.0011151i,0.00016747-0.0010497i,0.00021928-0.0004593i,0.00020439+0.00014784i,0.00060067+0.00045684i,-0.00015133+6.2265e-05i,-0.0010405-0.00020526i,0.00021602+6.611e-05i
-0.00024748+0.00046741i,4.1938e-05-0.00027717i,0.00045963-0.001038i,-0.00072119-0.0011623i,-0.00127-0.00084565i,-0.00056486-0.00048362i,-0.0012239+0.00013189i,-0.0012339+8.2494e-05i,-0.00026408-0.00069496i,0.00044369-0.0011152i,0.00062253-0.00029229i,0.00040713+0.00049871i,-0.00016317+0.00050645i,-0.00091254+0.00096614i,-0.0010279+0.00072966i,-0.00024905-0.000153i,0.00042726+0.0005218i,0.00018306+0.001087i,-0.00040421+0.00088819i,-0.00017433+0.00043903i,0.00061696+0.00033488i,0.00086044+0.0005496i,0.0004954+0.00039106i
0.00092224-0.0020754i,-0.00074552-0.0022754i,-0.0011473-0.00096405i,-0.00080048+7.5276e-05i,-0.00041428-6.1896e-05i,-0.00038839-0.00041951i,-0.00084872-0.0001007i,-0.0012304-9.5322e-05i,-0.00102-0.00048498i,-0.00050011-0.00074355i,0.00028782-0.0002566i,0.00057727+5.73e-05i,0.0002427-0.0006594i,1.6986e-05-0.00032993i,-7.4836e-05+0.00057189i,-0.00023713-0.00011598i,-3.5557e-05-0.00060261i,0.001004+0.00029774i,0.0013354+0.00063752i,0.00058888+3.5408e-05i,0.0008028-0.00077954i,0.0010757-0.00056643i,0.00037216+0.00011715i
0.0015661-0.0014897i,0.00096074-0.0030587i,-0.00082337-0.0032828i,-0.0026873-0.0021938i,-0.0027261-0.00097959i,-0.0023679-0.00017574i,-0.0025364-0.00010736i,-0.0015357+0.00044387i,-0.00019453+0.00083416i,3.5865e-05+0.00025314i,0.00035415-0.00056918i,0.0011679-0.0012239i,-0.00016703-0.00027928i,-0.00093767+0.00094084i,-0.00057839+0.00091247i,-0.00026503+4.3805e-05i,0.00074902-0.00037423i,0.0012348+0.00010572i,0.0010269+0.00013368i,0.001037-0.00027276i,0.00073484+0.00030183i,-1.7484e-05+0.00054167i,-0.0003841-0.00016708i
0.0004232-0.0033887i,-0.00081982-0.0040886i,-0.00212-0.0029957i,-0.0018359-0.00064893i,-0.0010514+0.00015116i,-0.00048873+0.00073788i,-0.00055121+0.00085428i,-0.00026706+0.00036681i,3.4798e-05-0.00020535i,-0.00037991-0.00011896i,-0.00023362+0.0003077i,0.00015199+0.00012036i,0.00029079+0.00049655i,0.0006662+0.00049004i,0.00037743+8.3103e-05i,-0.00016733-0.00016184i,-0.00011643-9.2495e-05i,0.00012515-4.4043e-05i,0.00019535-0.00014617i,0.00024204-0.00036953i,0.00015902-0.00041304i,0.0004903+8.3619e-05i,0.00064616+0.0007137i
0.0028455-0.00036988i,0.0023706-0.0010422i,0.0015204-0.00034482i,0.00052066+0.0011363i,-0.0007036+0.00099627i,-0.0013111+0.00017184i,-0.0012066+7.2487e-05i,-0.00063473+0.00032997i,-0.00029371+0.00078405i,-0.00027561+0.00021693i,-0.00062802-0.00041643i,-0.00062534-0.00043144i,-0.00056841+9.6796e-05i,-0.00071027+0.00010452i,-0.00091354+4.0979e-07i,-0.00075127+0.00050932i,2.5079e-05+0.00091375i,0.00052227+0.00056032i,0.00066798+0.00027586i,0.00061143+0.00032401i,0.00091663-0.00020511i,0.00055071-0.00038803i,0.00012246+0.00016771i
0.001156+0.00061604i,-0.00012595+0.00077554i,-0.00059972+0.00021149i,-0.00062805-0.00061568i,-0.00088233-0.00085978i,-0.0012943-0.00085873i,-0.0012063-0.00098526i,-0.00098903-0.00058084i,-0.00096796+0.00025528i,-0.00085762+0.0003102i,-0.0006548+0.00011596i,-0.00015438+0.00032501i,0.00048071+1.3671e-05i,0.00035547-0.00035383i,-0.00046536-0.00023342i,-8.7915e-06+0.00023554i,0.00098926+0.00082559i,0.00071252+0.00038186i,6.5907e-05+2.2741e-05i,0.00036361-0.00010909i,0.0001413+0.00013112i,-0.00069691+0.00039997i,-0.00043355+0.00027346i
0.00068662-0.0010481i,-0.00058588-0.0013808i,-0.001353+0.00024477i,-0.0012205+0.00019323i,-0.00075121-0.00061302i,-0.0012834-0.00090779i,-0.0011126-0.00065012i,-0.00073941+0.00022914i,-0.00069905-3.8427e-05i,-0.00019205-1.8364e-05i,0.00034272+0.00087917i,0.00037034+0.00047956i,0.00010772-7.4256e-05i,-0.00085362-0.0001537i,-0.0011515-0.00014582i,-0.0010774+0.0002367i,-0.00091678+0.00030677i,-0.00023329+0.00023076i,0.00046307-8.5286e-05i,0.00036421+0.00017664i,7.7683e-05+0.00056487i,4.7518e-05+0.00031774i,0.00039335-0.00027719i
0.0024419-0.0010106i,0.0011057-0.0016282i,-0.00032337-0.0021042i,-0.0012917-0.0020171i,-0.0012303-0.002664i,-0.0015134-0.0023374i,-0.0021583-0.00046252i,-0.0017078+0.00053993i,-0.0010746+0.00058258i,-0.0013239+0.00019416i,-0.0010707-0.00054505i,-0.00062177-0.0009612i,-0.00028874-0.00061217i,-0.0007382+0.00010103i,-0.0011579+0.00073124i,-0.00040281+0.00042882i,0.00014144+0.00022952i,-0.00016393+0.0004562i,-0.00016908+0.0001289i,0.00063559+0.00030991i,0.00074767+1.1381e-05i,0.00024864-0.00081024i,-7.6456e-05-0.00052915i
0.0012864+0.00029575i,-0.00010738-0.00053317i,-0.00054598-0.0019456i,0.00014386-0.0016161i,-0.00011474-0.00086597i,-0.00053145+0.0003813i,-0.00093789+0.0014532i,-0.0017373+0.0012951i,-0.0015154+0.00018096i,-0.00038951-0.00081293i,0.00043514-0.00029226i,0.00059403+0.0001653i,6.6005e-05-0.00015574i,-0.00097873-0.00031433i,-0.0015493+7.2288e-05i,-0.0011479+0.00074934i,-0.00080951+0.001402i,-0.00065013+0.0013573i,-0.00046996+0.00071838i,-0.00056237-4.5677e-07i,-0.00036487-0.00058318i,0.00016916-0.00038532i,0.0003024-0.00018451i
0.001255+0.00047186i,0.0013763+0.00082294i,0.0016519+0.00059964i,0.00099831-0.00047905i,0.00010836-0.00047998i,-0.0011188-0.00025833i,-0.0020239+0.00012466i,-0.0015094+0.00098862i,-0.0003793+0.00038989i,0.00014863-0.00038125i,0.00019346+0.00049425i,0.00018102+0.00036752i,9.1456e-05+0.00021911i,-0.00039885+0.00060417i,-0.001028+0.00035861i,-0.00099+0.00038386i,-0.00012153+0.00027159i,0.0010085-0.00015625i,0.0012253-4.4067e-05i,0.00067009+0.00015098i,0.00048328-0.00012667i,0.0004668+0.00016274i,5.7692e-05+0.00011625i
-0.00031465+0.0011402i,-0.00096365-7.8203e-05i,-0.0011881-0.0011618i,-4.3407e-05-0.0010076i,0.00020424-0.0002056i,-0.00041529-0.00049369i,-0.001241-0.00099698i,-0.0010277+0.00017832i,8.2111e-05+0.00054761i,0.0015551-7.2622e-05i,0.0013138-8.6665e-05i,0.00024053+8.5597e-05i,0.00019516+0.00022505i,-0.00054111+0.00028754i,-0.00078704+0.00057575i,-0.0003614-0.00018339i,-0.00027115-0.00017915i,-0.00048228+0.00033184i,-0.0008057+0.00013105i,-0.00028046+0.00016056i,0.00028247+0.00044356i,0.00031533+0.00070479i,9.8596e-05+0.00083991i
0.0011135+0.00034439i,-1.5565e-05+0.001i,-0.00041475+0.00097865i,0.00012121+0.0010678i,-0.00036135+0.00066942i,-0.0011192-0.00038443i,-0.00098281-0.00029957i,-0.0008915+0.00050966i,-0.00026478+0.00086373i,0.00076257+0.00043833i,0.00096498-0.00024395i,0.00019635-0.00027399i,1.1409e-05+0.00035405i,-0.00018443+0.00061081i,-0.00042283+0.00079385i,-0.00016451+0.0004378i,-6.2383e-05+0.00010708i,0.00045863+0.00058141i,0.00071102+0.00085498i,4.7403e-05+0.0002969i,7.058e-07-0.00024851i,-1.725e-05-0.00028211i,-0.00061154-0.0002307i
0.0013711+0.0027216i,0.0010767+0.0017787i,0.00059338+4.0528e-05i,5.8029e-05-0.00044131i,0.00019585-0.00020741i,-0.00026366+5.162e-06i,-0.0013366-2.1816e-05i,-0.0015671-7.0729e-05i,-0.00063061+0.00036259i,-3.0431e-05+0.00026088i,-6.8768e-05-4.7915e-05i,-0.00018682+0.00016957i,-6.3284e-06+0.00029087i,-0.00029628-0.00035977i,-0.00099391-0.0007428i,-0.00072055+0.00026116i,2.8996e-05+0.0007366i,-9.3792e-05+0.0004815i,-0.00039972+0.0004322i,-0.00027085+0.00062918i,-0.00054151+2.3265e-05i,-0.00042787-0.00029569i,-0.00042441-0.00018269i
-0.00049619-0.0010436i,-0.0017177-0.0017882i,-0.0015904-0.0021208i,-0.00096725-0.0015061i,-0.0011585-0.00092419i,-0.0010475-0.00062292i,-0.0010995+0.00022125i,-0.00096373+0.00020322i,-0.00068605-0.00037548i,-0.00010521-0.00013296i,0.00043392+0.0002846i,0.00017744+8.6206e-05i,-0.00034125+7.1157e-05i,-0.0006743+0.00017154i,-0.00074492+0.00028573i,-0.00029147+0.00013624i,-8.673e-05-0.00013923i,0.00052321+0.00050147i,0.00053633+0.0013639i,-0.000137+0.0016356i,-0.0011293+0.001247i,-0.0016828-0.00011665i,-0.00085034-0.0009376i
-0.00012625-0.0015141i,0.00022918-0.0012686i,0.00060881-0.00019359i,-0.00026024+0.00066306i,-0.00060551+0.0017641i,-0.00057426+0.002279i,-0.00045985+0.0013292i,-0.00060534+0.00064314i,1.532e-06+0.00060003i,-0.00016497-0.00022017i,-0.00048079-0.00031366i,0.00049221+0.00024792i,0.00092516-0.00032244i,0.00019153-0.00027554i,-0.00026701-0.0002932i,-0.00027624-0.00038939i,-3.0484e-05-9.1791e-05i,4.5991e-05-6.1528e-05i,-0.00034875+0.0001716i,-5.5397e-05+0.00019395i,0.00038758-0.0002513i,1.8961e-05+0.00014708i,3.5387e-05+0.00073868i
0.0012977-0.00084791i,0.0025427-0.0016568i,0.0025453-0.0014569i,0.0011487-0.00048393i,-0.00096516-0.00047275i,-0.0024796-0.00039595i,-0.0021202+0.00044579i,-0.00082042+0.00093555i,-9.4648e-05+0.0004698i,-6.135e-05+6.2591e-05i,-4.092e-05+0.00013593i,0.00013706+0.00040549i,-0.00067886-4.0318e-06i,-0.00094098-0.00035954i,-0.00082089-0.00028424i,-0.0011266-0.00035479i,-0.0010291-0.00016246i,-0.00089562-0.00015127i,-0.0013587+0.00041125i,-0.0012099-0.00026614i,-0.00011988-0.00079666i,-5.5713e-05+1.1972e-05i,-9.0239e-05+0.00044122i
0.00042717-0.0013834i,-0.0012884-0.0012234i,-0.0029901-0.00050831i,-0.0026861+0.00081575i,-0.0019444+0.0017088i,-0.00069909+0.0012174i,-0.0011561+0.00075629i,-0.0022225+0.0003627i,-0.0015716-0.00043805i,-0.001278-0.00064256i,-0.001342-3.7225e-05i,-0.0006771-0.00010094i,0.0011095-0.00031107i,0.0016206-0.00011469i,0.00044467-7.6409e-05i,-0.00018695+0.00015212i,-0.00015989+0.00052148i,7.0305e-05+2.1719e-05i,-2.0871e-05-0.00083038i,-0.00026038-0.00069841i,-0.00043827+0.00017379i,-0.00033054+0.00060153i,0.0002974+0.0008826i
0.00093561+0.00084209i,4.6672e-05+0.00030196i,-0.00039229-8.2083e-05i,-0.00025367-0.0007622i,0.00038072-0.0012871i,-0.00026635-0.00058286i,-0.0014534-0.00014339i,-0.001171-2.3519e-05i,-3.5502e-05-0.00011988i,0.00045406-0.0003169i,0.00014374+0.00011541i,-0.00030823+0.00012838i,-0.00090238-0.00045673i,-0.001034-0.00051479i,-0.00081962-1.8302e-05i,-0.00039603-0.0004314i,2.6837e-05-0.00099639i,6.3019e-05-0.00037576i,0.00033776-6.6576e-05i,0.00064772+0.00018546i,0.00072535+0.00048798i,0.00042895+0.00039595i,-0.00010824+8.567e-05i
-2.7177e-05-0.0026247i,-0.00044327-0.0038306i,-0.0015941-0.0037103i,-0.00096837-0.0020563i,-0.00089686-0.00066042i,-0.0013444-0.00025614i,-0.0012153-0.00016807i,-0.0010422-7.2019e-05i,-0.00064644+0.00036015i,-0.00054759+0.00081404i,-0.00029885+0.00070819i,-0.00018918+0.00079407i,-0.0009336+0.0006738i,-0.0011507+0.00075123i,-0.0010519-2.4762e-05i,-0.0013047-0.00053153i,-0.00075886+3.7512e-06i,-0.00049447+0.00037298i,-0.00084675+0.00066666i,-0.00022201+0.00072346i,0.0005944+0.00053248i,0.0010517+0.00028818i,0.0010352-0.00024169i
0.0021406+5.9398e-06i,0.0011808-0.0010021i,0.0011178-0.0012344i,0.001184-0.00065589i,0.0010261-8.1354e-05i,0.00038398-0.0011582i,-0.00037804-0.0021231i,-0.00061491-0.0010916i,-0.00071062+0.00049499i,-0.00029202+0.0011847i,0.00020456+0.0016261i,0.00030083+0.0015648i,9.5588e-05+0.0011515i,0.00041487+0.00063943i,0.00048951-0.00037284i,-3.8104e-05-0.0004928i,-0.00042343-0.00032062i,7.0915e-05+6.5259e-05i,0.0004154+0.00074199i,0.00014081+0.0012965i,-0.00015342+0.0013984i,0.00026677+0.0016505i,0.00099383+0.0015546i
0.00070099-1.5126e-05i,0.00047683-0.00029281i,0.0013071-0.0013977i,0.0006953-0.0018429i,-0.00048321-0.0014877i,-0.000283-4.8469e-05i,0.00018434+0.0010656i,-0.00032249+0.00054183i,-0.00033431+0.00030171i,0.0003456+0.00075287i,0.00027435+0.00088208i,5.4843e-05+0.00084741i,0.00052846+0.00081915i,0.00078222+0.00028487i,-5.5485e-05+0.00021739i,-0.00078054+0.0001737i,-0.00085905-0.00026987i,-0.00044696-0.00073064i,0.00014516-0.00099208i,-0.00016898-0.00069818i,-0.00027575-0.00072835i,-0.00024792-0.00016236i,0.00024579+8.6855e-05i
0.0012575+0.00024183i,0.00028818-0.0010988i,-0.0001802-0.0018268i,-4.3569e-05-0.0015615i,0.00011483-0.0010572i,-0.00059-0.00098517i,-0.001158-0.00014082i,-0.00050357+0.00047917i,-8.1601e-05+0.00012362i,-0.00043583-0.00021306i,-0.00087495-0.00074005i,-0.00043629-0.00063497i,-8.7802e-05-0.00027505i,-0.00043993-8.1355e-05i,-0.0010899-6.6978e-05i,-0.00095589+0.00010276i,-0.00054331+0.00054586i,-0.00052585+0.00071602i,3.7836e-05+0.00057855i,5.623e-05+0.0004185i,0.00030343+0.00067494i,0.00076128+0.00083796i,0.00023086+0.00050064i
0.001052-0.00045996i,-4.9422e-05-0.00022321i,-0.00056595+0.00063933i,-0.00065791+0.00093524i,-0.00011654+1.7314e-05i,0.00067086-7.9804e-05i,-0.00038314+0.0012337i,-0.0013845+0.0020162i,-0.00044407+0.0010198i,0.00068789+6.7767e-05i,0.0013246+0.00046754i,0.0011267-0.00030915i,0.00013163-0.001088i,-0.00044061-0.00085447i,0.00016388-0.00073759i,-0.00024045-0.00050206i,-0.00078727-0.00060251i,-0.0011748-0.00070768i,-0.0010458-0.00056396i,-0.00090349-0.00013245i,-0.0012368+0.00051907i,-0.0003818+0.001178i,0.00034505+0.00085899i
0.0026638+0.0011155i,0.0033684+0.0015629i,0.0030861+0.00043169i,0.0017407-0.00058119i,-3.0377e-05-0.00089187i,-0.00093371-0.00076806i,-0.0010828-0.00038076i,-0.00067755-0.00051909i,-0.00017428-0.00031491i,-0.00047186+0.00014401i,-0.0011214-2.7136e-05i,-0.00080462+0.00036815i,-0.0008696+0.0009231i,-0.00099809+0.00058191i,-0.00043386+0.00027691i,-0.00074402+0.00046976i,-0.0010467+0.0012358i,-0.00075253+0.0014722i,-0.00039712+0.00075149i,-4.7351e-05+0.00055489i,0.00037177+0.00085035i,0.00090751+0.001228i,0.0011215+0.00061662i
-0.001935+0.0010696i,-0.0022908+0.0010224i,-0.0021867+0.00098762i,-0.0011432+0.000294i,1.1925e-05-0.00021082i,0.0009875-0.00046527i,0.00038413+0.00013468i,-0.0012775+0.000385i,-0.001083+9.07e-05i,-0.00048694+0.00034653i,6.2608e-05-2.3441e-05i,0.0008755-0.0010645i,0.0008387-0.00062598i,0.00078078-0.0002577i,-9.1084e-05-0.00043277i,-0.00045242-0.00017071i,0.00043008-0.00036244i,0.00035922-0.00027994i,-0.00036724+0.00016569i,-0.00036702-2.1116e-05i,-0.00026026-0.00018212i,-0.00043962+0.00024211i,-0.00055794+0.00042513i
-0.00090747-0.00085217i,-0.0020734-0.0014138i,-0.0013251-0.0017023i,0.00014076-0.00052701i,-0.00081794+0.00040056i,-0.0018697-0.00040289i,-0.0015832-0.0010494i,-0.0011428-0.00054011i,-0.00080666-0.00022509i,-4.9725e-05-0.0005604i,0.00050619-0.00062458i,-0.00015369-0.00055307i,-2.4419e-05-0.00053862i,0.0001477-0.00072834i,-0.00031696-0.00037413i,-0.00039278-4.5236e-05i,-0.00043306-0.00019655i,-0.0006655+0.00063209i,-5.1009e-05+0.0012777i,9.9079e-05+0.00055924i,0.00017528+1.5932e-05i,0.00062271-4.929e-05i,0.00074814+1.8072e-05i
