0.00035059-0.0005771i,0.0012341-0.0021122i,0.00062504-0.0043699i,-0.000835-0.0037004i,-0.0022367-0.0017367i,-0.0030589+0.001291i,-0.0016322+0.0024652i,-8.1035e-05+0.0017206i,0.00048413+0.0014362i,0.00056295+0.00088689i,0.00065604+5.4478e-05i,0.00046292-0.00021453i,-0.00054991+8.5383e-05i,-0.000942+5.4227e-05i,-0.00024902-0.00022114i,-0.00022142+0.00039823i,-0.00047033+0.00057708i,-0.00033984-0.00056349i,0.00013851-0.0005048i,-0.00018701+0.00072246i,-0.00063394+0.0009291i,-0.00048462+5.275e-05i,-0.00064084-0.00010307i
0.00042685+0.00023681i,0.00020787-0.00087753i,-0.00098375-0.001521i,-0.0013936-0.00074624i,-0.0016439-8.6959e-05i,-0.0008901+9.2688e-05i,0.00043753+0.00020362i,0.00067791+0.00041642i,0.00071717+3.7197e-05i,0.00074162-0.00013485i,8.8374e-05-0.00024636i,-0.00057813-0.00038844i,-0.00020716+0.0001158i,0.00080174+8.0851e-05i,0.00044532-0.00036006i,2.0854e-05-0.00017805i,0.00016462-0.00078438i,0.00024065-0.0011532i,0.00049627-0.00049839i,0.00021929-0.00020643i,-0.00034537-0.00032893i,-0.00053011+0.00018033i,-0.00031386+0.00056577i
0.0013848-0.00065747i,0.0012713-0.0019217i,-0.00020709-0.0037925i,-0.0009552-0.0039081i,-0.0017793-0.0026092i,-0.0019041-0.00081521i,-0.0006446+0.000327i,0.00045998+0.0011968i,-8.1993e-05+0.0009489i,-0.00081355-5.1314e-05i,-0.0010114-0.0003418i,-0.0012804-9.2729e-05i,-0.00075685+9.7365e-05i,7.9426e-05-0.00010505i,0.00018639+5.783e-06i,0.00036207-3.383e-06i,0.00018912-0.00011909i,-0.00036739+0.00047236i,-0.00016182+0.00057766i,0.00025982-0.00011681i,7.733e-05-0.00014539i,-4.4934e-05+0.00060507i,8.1476e-05+0.00074949i
-0.00039961-0.00013077i,-0.00014424+0.00071719i,7.9662e-05+0.00054339i,-0.0011359-0.00080986i,-0.0013883-0.0015456i,-0.00073088-0.0004994i,-0.00052897+0.00011708i,-0.0005344+0.00012128i,0.00011138+0.00042872i,0.00069089+0.00027148i,0.0003352-0.00010387i,0.00019481+0.00033823i,0.00035616+0.00069264i,-7.0951e-05+0.00024362i,-0.00013525-0.0002325i,-0.00073649+5.9458e-05i,-0.0010877-0.00015277i,-0.00026413-0.0003384i,0.00055564-4.3836e-05i,0.0011988+0.00021505i,0.0002914+0.00050812i,-0.00024959+0.00013986i,0.00017283+0.00012965i
-0.0022388-0.00091932i,-0.0016412-0.00021826i,-0.001794+0.00074463i,-0.0015459+0.0012635i,-0.0011309+0.0010307i,-0.0011229+0.00091437i,-0.00061371+0.0013496i,0.00054599+0.00042699i,0.00077881-0.00021852i,0.00011211-0.00044987i,-0.00028036-0.00041961i,-0.00017263+0.00036357i,0.00032788+0.00019092i,0.0007675-0.00043172i,0.00070373-0.00031436i,0.00052673+1.2797e-05i,0.00035778+9.214e-05i,0.00010774-0.00022362i,-0.00071416+2.755e-05i,-0.00030749-0.00016738i,0.00061207-0.00041302i,0.00033893-0.00025171i,0.00021843+0.0001571i
0.00036482+0.001502i,0.001442+0.0015978i,0.001729+0.00038432i,0.0010391-0.0016325i,-2.2259e-05-0.0023385i,-0.0004387-0.0010277i,5.678e-05-0.00030745i,0.0003632-0.00030926i,0.0002411-0.00031243i,0.00048146+4.3635e-05i,0.00014022-0.00012066i,-0.001081-0.00033556i,-0.0009422+0.00032035i,-0.00072564+0.00088855i,-0.00030759+0.00033963i,0.00087419-0.00018037i,0.001048+0.00068541i,0.00030882+0.0012642i,9.5623e-05-0.00019193i,-0.00015979-0.0012716i,0.00010962-0.00073564i,0.00018853+4.335e-05i,-0.00020213+7.5222e-05i
0.0011848-0.0029992i,0.00070289-0.0036569i,-0.00052051-0.0047385i,-0.0020005-0.0033349i,-0.0030597-0.00069416i,-0.001986+0.00095096i,-0.00079886+0.00092405i,-0.00067159+0.00035589i,-0.00092369+0.0005915i,-0.00055894+0.00014033i,-0.00020635-0.00075642i,-0.00043798-0.00020378i,-0.00033469+0.0003993i,0.00011665-2.2036e-05i,6.5744e-05+0.00021658i,-0.00071573+0.00078862i,-0.00025664+0.00073002i,0.00070555+0.0010559i,0.00086767+0.0011784i,0.00077921+0.00039836i,-7.6459e-05-1.4641e-06i,-0.00067635-8.179e-05i,-0.00043939-7.4412e-05i
-0.00068753+0.0012029i,-0.00065852+0.00022837i,-0.0017838-0.00046592i,-0.0022577-0.0011318i,-0.0019904-0.00081315i,-0.0018401-0.00034368i,-0.00097619-0.00054627i,-2.0593e-05-0.0005492i,0.00031019-6.4806e-05i,0.00035208+0.00023808i,1.1638e-06-5.6452e-05i,4.333e-05+5.0408e-05i,0.00033633+0.00048064i,0.00059673+0.00060042i,0.0004372+0.00084363i,9.7709e-05+0.00094052i,0.00040678+0.00050536i,0.00043803+0.00066209i,0.0003239+0.00053181i,0.00045276-2.9504e-05i,6.6095e-05-0.00042243i,-0.00031603-0.000294i,-0.00016336+0.00067357i
-2.8297e-06+0.00070021i,0.00034637+0.00087644i,0.0012821-0.00026945i,0.00051616-0.0010772i,-0.00068386-0.0023104i,-0.0012203-0.0016461i,-0.00078222+1.8991e-05i,5.0352e-06+0.00054035i,0.0005404+0.00092269i,0.00051662+0.0012281i,0.00046372+0.00069793i,-0.00014579+0.00015303i,-0.00092239+5.457e-05i,-0.0011547-2.8205e-05i,-0.00051192+4.368e-05i,0.00024665-0.00020205i,0.00051805-0.00055656i,0.00027295-6.4119e-05i,-0.00019886+0.00045128i,-4.1882e-05+0.00061919i,0.00036131+0.00013287i,0.00057885-0.00018568i,0.00033592+0.00040929i
0.0031307-0.0018483i,0.0020234-0.0028534i,-0.0002687-0.0027918i,-0.0017188-0.001981i,-0.0021036-0.0012562i,-0.0018568-0.00010532i,-0.0010343+2.9648e-05i,0.00018437+9.7791e-05i,0.00075969+0.00096657i,0.00036038+0.00097206i,2.3104e-05+0.00040175i,5.6449e-05+0.00031271i,3.7843e-05+9.0314e-05i,0.00035643+0.00044019i,0.00037945+0.00054606i,-0.0002834+0.00014807i,-0.0013352+4.6887e-05i,-0.0016489+0.00032285i,-0.0014565+0.00034769i,-0.0008714-0.00043198i,-0.00098963-0.00064193i,-0.00083157-1.2529e-05i,0.00023265+0.00014409i
0.0006518+0.002172i,0.0010237+0.0016154i,0.00055424+0.00053123i,0.00017842-0.00070407i,-8.5496e-05-0.0010227i,-0.00090633-0.00018186i,-0.00055511+0.00032309i,0.00020459+0.00074907i,0.00039198+0.00043594i,0.00036035+0.00029686i,0.00036446+0.0002225i,0.00023361+0.00011254i,-0.00045568+0.00029638i,-0.00058409-0.00022458i,8.411e-05-0.0010317i,0.00025583-0.0011337i,5.8715e-05-0.00040709i,-1.3904e-05-0.0001789i,0.00047669-0.00034865i,0.00051631-0.00024968i,-0.00059636+8.1629e-06i,-0.00051744+0.00035996i,0.00045713+0.00094395i
-0.0021297+0.0013492i,-0.0027265-1.3932e-05i,-0.0020539+0.0013641i,-0.00056923+0.0014052i,0.00031523-0.0003368i,-0.00089099-0.00054825i,-0.0014636+0.00042184i,-0.00052553+0.00088548i,0.00057074+0.00052077i,0.00071211+0.00023646i,0.00077696+7.9747e-05i,0.0010803-0.00070549i,0.00024505-0.0010407i,-0.00071564-0.0010704i,-0.00052612-0.0011124i,-0.00060254-4.9488e-05i,-0.00010595+0.0011777i,0.00039797+0.0013699i,0.00017435+0.00055008i,-9.8577e-06+0.00044002i,-6.4321e-05+0.00064956i,-0.00013275+0.00032872i,0.00013719+0.0009342i
-8.339e-05+0.0010275i,0.00054872+0.0014427i,0.0017767-9.3491e-05i,0.0014271-0.0021079i,0.00079678-0.0024759i,-0.00020445-0.0012578i,-0.00082174-0.00091838i,-0.00050786-0.00092747i,0.00038607+0.00040001i,0.0006353+0.00022106i,0.00042454-0.00016894i,0.00038454+0.00053044i,0.00036019+9.3785e-05i,-0.00051984-0.00047983i,-0.0007582+6.9114e-05i,-0.00020114+0.0006339i,0.00010906+0.0006916i,1.3448e-05-0.00030245i,-0.00021663-0.00057967i,-0.00026738+0.00067697i,0.00011828+0.0013517i,0.00097834+0.0015588i,0.00086013+0.0016199i
0.002391-0.00048964i,0.0016723-0.0003084i,0.0017749-0.0013973i,0.00045604-0.0021359i,-0.0017876-0.0015263i,-0.0016653-0.00080253i,-0.00051518+0.00020579i,-0.00053152+0.00053089i,-0.0010383+0.00045045i,-0.00071134+0.00036594i,-1.1651e-05+6.5812e-05i,0.0003423+0.00042927i,0.00059587+0.00063196i,0.00068586+0.00015025i,0.00028073-0.00021113i,-7.5851e-05-0.00063522i,-0.00020297-0.00056744i,-0.00042476+0.00039325i,0.00013028+0.00036036i,0.00037153+0.00037533i,0.00074219+0.00057736i,0.00071145+0.00026435i,-0.00016936-8.7744e-05i
0.00067548-0.00016233i,0.0005543-0.00069196i,0.0016716-0.00045239i,0.0017304-0.0013051i,0.00055504-0.0030638i,-0.00034074-0.0023064i,0.00024151-0.00012104i,0.00067715+0.00045993i,-0.00011546+0.0004409i,-0.00026632+0.00073829i,7.6667e-05+0.00077064i,-0.00010999+0.0002806i,-0.00038426+3.2997e-05i,0.00013281-0.00051088i,0.0004625-0.00082214i,0.00033597-0.00020509i,0.00020777+0.0003479i,-3.005e-05+0.00027954i,-0.00019682-0.00011213i,-4.5788e-05-0.00085765i,4.1256e-05-0.00086261i,0.00026164+5.9477e-05i,0.00046784+0.0004231i
-0.0012737-0.00045011i,-0.0012623+5.5134e-05i,-0.00064068+0.0011159i,-0.00062594+0.0012394i,-0.00084471-5e-05i,-0.00063156-0.0009005i,-0.00039251-0.00039405i,0.00039681+0.00036762i,0.00086964+0.00066918i,0.00073247+0.00075036i,0.00060921+0.00081807i,-6.1145e-05+0.00044075i,-4.2976e-05-0.00041208i,0.00061338-0.0012074i,0.00060678-0.0007539i,0.00036501-2.0078e-05i,0.00032901+0.0006217i,-0.00020349+0.00076985i,-0.00026591+0.00016618i,0.00060637-0.00016739i,0.00082163+3.7441e-06i,0.00020446-6.0672e-05i,-7.0451e-05+3.3155e-05i
0.0019605-0.00071045i,0.0018266-0.0014639i,9.8474e-05-0.0029995i,-0.0015485-0.0033292i,-0.00173-0.0019224i,-0.00086639+6.3495e-05i,-0.0002305+0.00074907i,-0.00025666+0.00026508i,-0.00019978-0.00030704i,0.00021133-0.00025213i,0.00034876+8.3783e-05i,0.00042618-0.00054776i,0.00089549-0.0007593i,0.00057463-0.00052304i,0.00015841+1.5322e-05i,-3.6407e-06+0.00012837i,-8.5787e-05-0.00015055i,0.00046025-0.00060094i,0.00046209-0.00081871i,-0.00022675-0.00019959i,-0.00023591-0.00013865i,0.00031063-0.00018643i,-5.9587e-05-5.6296e-05i
-0.00048299-0.00017714i,8.9827e-05+0.0002083i,0.00091385-0.00054557i,0.00066997-0.0011628i,-0.00054226-0.0018091i,0.00063586-0.0015628i,0.00050616+0.00038883i,0.00013878+0.00065592i,7.238e-06-0.00018899i,-0.00021605+0.00015495i,0.00014155+0.00047182i,0.00062626+0.00047179i,0.00061117+0.0010386i,0.00050393+0.00038376i,-0.0003461-0.00035593i,-0.0017161+0.00016675i,-0.0020385+0.0011213i,-0.0014073+0.0014844i,-0.00018669+0.0011679i,0.00028005+0.00071597i,0.00025914+0.0006087i,-0.0001194+0.00088274i,-0.00066648+0.00057484i
-0.0011949-0.00042095i,-0.0010637-0.00057301i,-0.0013628-0.0011214i,-0.0010899-0.0010601i,-0.00089087-0.00095972i,-0.00083676-0.00094918i,-0.0003315-0.00058878i,0.00027632-0.00040317i,0.00060096-0.00043555i,0.00057403-0.00028023i,0.00040326+2.9735e-05i,0.00026077+0.00038056i,-3.754e-05-0.00048907i,8.717e-05-0.0010951i,7.4794e-05-0.00058955i,-5.1352e-05-0.00053924i,-0.00074495-0.0010483i,-0.00083174-0.0009438i,-0.0003126-0.00096193i,-7.2323e-05-0.00094063i,2.3301e-05-0.00051111i,0.00026673+0.0002171i,0.00040519+0.00047516i
0.00021013+0.00032303i,0.0011237+0.00025986i,0.00062072+0.0004689i,7.5308e-05+0.00015176i,-0.00079446-0.0015046i,-0.0010012-0.0014984i,-0.00043572-0.00041323i,0.00039594-0.00081412i,0.00042884-0.00080141i,0.00057211+0.0002747i,0.00049718+0.00068425i,-0.00024812+0.00049478i,-0.00058472+7.7232e-05i,-0.00040928-0.00055329i,-0.00031526-0.0004843i,-0.00080092+0.00057535i,-0.0012531+0.00053108i,-0.00079606-0.00040736i,-0.00029773-0.00010515i,0.00014935+0.00051563i,0.00033393-0.0003564i,0.00029369-0.00047727i,-3.2309e-05+0.00034484i
0.00092382+0.0012153i,0.00093706+0.00049163i,0.0013915-0.00079786i,0.0012563-0.0019104i,-1.0132e-05-0.0019347i,-0.00046773-0.0011747i,7.5448e-05-0.00046217i,-9.5784e-05+4.9275e-05i,-0.00037169-7.6997e-05i,-0.00038028-8.4342e-05i,0.00026615-0.00028988i,-3.5014e-05+0.00012836i,-0.001324+0.00014376i,-0.001122-0.00038242i,-0.00049278-0.0007899i,-2.4456e-05-0.00037721i,0.00016481+0.00075324i,0.00020665+0.0011346i,0.00040957+0.00077347i,0.00063374-7.2655e-05i,0.0003585-0.00046388i,-4.6305e-05+8.1425e-05i,-0.00015297+0.00019233i
0.00041345+0.00055483i,0.00066549-0.00036266i,0.00052089-0.0013979i,0.00019255-0.0022586i,8.4236e-05-0.0020338i,0.00048627-0.00056924i,0.00080195+0.00051288i,0.0011692+0.00033625i,0.00046171+0.00052304i,-0.00086582+0.000428i,-0.0006727-0.00024223i,0.00052936-0.0006395i,0.00038231-0.00093561i,0.00023946-0.00093474i,0.00085598-0.00067183i,0.00066521+0.00017618i,0.00013856-3.6261e-05i,0.00027609-0.00010972i,0.00025015+0.00052616i,0.00034917+0.00011438i,-0.00016774-0.00052997i,-0.00084863-0.00051479i,-0.00066895+0.00033574i
-0.00013804-0.0014147i,-0.0015445-0.0008781i,-0.0019502+0.00034847i,-0.0017942-0.00021496i,-0.0012697-0.0008144i,-0.00053107-0.00048195i,-0.000871-0.0004997i,-0.00078853-6.8969e-06i,-4.8525e-05+0.0012243i,6.9563e-05+0.0010363i,0.00064031+8.9054e-05i,0.0010023-7.9616e-05i,0.00057524+0.00057184i,0.00052841+0.00065655i,0.00070157+3.1437e-05i,8.8717e-05-0.00037974i,-0.00044898-7.4683e-05i,-8.3122e-05+0.00039874i,0.00024941+0.00062631i,1.7086e-06+0.0001673i,0.00058262-0.00037322i,0.00076321+5.9341e-05i,-0.0001094+0.00082409i
0.0010383+0.00066554i,0.0013975+0.0011476i,0.0014474+0.0012288i,0.0019427-0.001117i,0.0010312-0.0019712i,-0.00058953-0.00091995i,-0.00028157+0.00030658i,0.00036685+0.00064467i,0.00060034+0.00058524i,0.00060944+0.00043037i,0.0003029+0.00013553i,0.00020969-0.00017361i,0.00013797+0.00035515i,-9.0222e-05+0.00056943i,9.3437e-05-0.00018477i,-0.00012945-0.00015443i,-0.00021181+0.00056815i,-0.00031315+0.0005422i,-6.7831e-05+0.00010085i,0.00037762-0.00045162i,0.00074349-0.00024475i,0.00057567-0.00015842i,-7.5473e-05-0.00025199i
3.4489e-05-0.00071787i,-4.2542e-05-0.00036872i,0.00050928-0.0019025i,7.719e-05-0.0029835i,-0.00069461-0.0023971i,-0.00099523-0.0010399i,-0.00079286+0.00024372i,0.00013796+0.00025654i,0.00029099-0.00028262i,-0.00017634-0.00054137i,-0.00044042-0.0012106i,-0.00026538-0.0010279i,0.00043155-0.00071006i,-7.1288e-05-0.00011805i,-0.00083073+0.00025355i,-0.00024774+1.7332e-05i,-0.00043046+0.0002616i,-0.00045547+0.00016727i,0.0001715+0.00021719i,2.3169e-05-0.00023779i,0.00021704-0.00080136i,0.00030446-0.00018166i,0.00020285+0.00017576i
0.0010248-0.00011617i,0.0019087-0.00023894i,0.0011184-0.0014863i,-0.0001823-0.0018424i,-0.0010123-0.0011724i,-0.00089253-0.00042319i,-0.00048244+5.9808e-05i,-0.00023035-8.8965e-05i,-0.00022027+6.4723e-05i,-0.00021824-0.00013483i,3.8303e-05-0.00035139i,0.00032826+7.7979e-05i,0.0009455+0.00036176i,0.0011629+0.00061925i,0.00039581+0.00035566i,-7.5731e-05-8.5786e-05i,0.00012674-0.00073757i,0.00012093-0.0011927i,-0.00040742-0.00060629i,-0.00058445-0.00017692i,-0.00050562-0.00017382i,-0.00034026+0.00017756i,-0.00019337-1.2109e-05i
-0.001206-0.00072296i,-0.0016475-0.00030071i,-0.0017962+0.0009461i,-0.0014482+0.0011049i,-0.00058604+7.0953e-05i,1.3581e-05-0.00043734i,0.00036808-3.04e-06i,0.00020605+0.00061906i,-0.00058118+0.00070739i,-0.00049265+0.00056268i,0.00065354+0.00016743i,0.00083956-0.00045924i,-5.965e-05-0.00030447i,-0.00080211+9.8932e-05i,-0.00089086+0.00029036i,-0.00042361+0.00077504i,0.00012038+0.00090035i,-0.0006212+0.00027985i,-0.00080739-2.3585e-05i,-0.00019753-4.59e-05i,0.00035058-0.00016879i,0.0004349-8.0715e-05i,0.00024759+0.00018949i
-0.00033645+0.0026505i,0.00071052+0.0025481i,0.0013942+0.0014143i,0.0011878-0.00081186i,0.0010412-0.0026574i,0.00045399-0.0023269i,-5.3287e-05-0.0009293i,0.00048762+0.00010559i,0.00076801+0.00014798i,0.00082975-6.0349e-05i,-3.9637e-05-1.8457e-05i,-0.00055456+9.759e-05i,-0.00021132-4.4503e-05i,0.00020344-0.00084891i,0.00038191-0.0014624i,0.00050665-0.00085582i,0.00041636+0.00031192i,0.00019781+0.00055819i,0.00062227+0.00037009i,0.00013446+0.00036004i,-0.00032096+0.00017619i,0.00011428+0.00010801i,8.9049e-05+0.00069904i
0.00071247-0.00079442i,0.00026081-0.0016578i,0.00036873-0.0020095i,0.00028115-0.0021833i,8.5469e-05-0.0012769i,-0.00072253-0.00029414i,-0.00030505+0.00027431i,0.00014787+0.00081791i,-0.00050496+0.00011659i,0.00025265-0.00030068i,0.00062202-0.00016917i,-0.00082063-0.00061764i,-0.0010632-0.00061032i,-0.00064727-6.9615e-05i,-0.00078324-0.00033712i,-0.00090015-5.2561e-05i,-0.0005843+0.00061078i,3.719e-05+0.00034897i,0.00097532-0.00050404i,0.00079507-0.00079083i,0.00011571-0.00014219i,0.00024587+0.00029467i,-6.5504e-05-0.00012356i
5.9489e-05-0.0019904i,0.0001775-0.0012923i,-0.0010385-0.00079529i,-0.0013497-0.00084946i,-0.001154-0.0009866i,-0.000958-0.00082617i,-0.00087475+4.83e-06i,-0.0009044+0.00011596i,-0.00075286+0.00015522i,-0.00046536-0.00025348i,-0.00064612-0.00074452i,-0.00046295-0.00056582i,-0.00044055-0.00051164i,-0.00027603-0.0002444i,0.0002333-0.00050126i,-0.00019472-0.0010336i,-0.00029138+0.00022139i,2.5321e-05+0.00074343i,0.00015488-0.00044521i,2.1058e-05-0.00031519i,-0.00024386-0.00020179i,-0.00024533-0.00062841i,-0.00053895-0.00067585i
-0.0011708+9.3102e-05i,-0.00188+0.00066767i,-0.0014076-0.0002586i,-0.00053224-0.00017813i,-0.00022343-0.00021698i,0.00029662-0.00019946i,0.00032965+0.00061594i,0.00042107+0.001291i,0.0003181+0.00077043i,0.00074817-0.00028107i,0.00094973-0.00031929i,0.00031125+0.00010694i,-0.00037378+0.00059143i,-0.00060449+0.00077184i,-7.5986e-05+0.00046498i,9.0077e-05-6.45e-05i,-0.00027938-0.00032325i,-0.00013788-0.0001907i,0.00029021-0.00014855i,0.00025545-0.00048602i,0.00045121-0.00088635i,0.00029466-0.00031169i,1.9609e-05+0.00021437i
-0.00018761-0.00069227i,0.00058929-0.0012586i,0.00068903-0.0022854i,-0.0004149-0.0033674i,-0.0012712-0.0021079i,-0.00069602-0.00059473i,0.00025874+0.00048158i,0.00059756+0.0010292i,0.00043047+0.00041913i,-1.6465e-05+0.00028757i,-0.00025743+0.00077593i,-0.00063041+0.0005544i,-0.00069599-0.00032052i,-0.00037312-0.00080816i,8.4662e-05-0.00048275i,-0.00023942-0.00030994i,-0.00052937+0.00013108i,-3.0957e-05+0.00063918i,0.00013329+0.00037346i,9.3957e-05-3.446e-05i,-0.00024625+0.00045329i,-0.00034921+0.0009199i,-0.00018518-2.1128e-05i
