-0.00073381+0.00075874i,5.4744e-06-0.00069627i,-0.00048881-0.00040435i,-0.000368+5.3757e-05i,-0.00027751+0.0011865i,-0.00051336+0.00075009i,-0.0012964-0.00025117i,-0.00088731+0.00043939i,0.00045891+0.0009142i,0.0012475+0.00067201i,0.00060015+0.00018739i,0.00043557-0.0012459i,0.00042592-0.0016063i,-0.00027241-0.00096135i,-2.508e-05+4.5571e-05i,0.00096462+0.0007075i,0.0012186+0.00019751i,0.00097773-0.00031653i,0.00073834-0.0003915i,0.0002099-2.8111e-05i,-0.00023308-0.00013336i,0.00014424-0.00040007i,0.0011887-9.1646e-05i
-0.0013172+0.00099319i,-0.0012794+0.00064657i,-0.00046867+0.0010211i,0.00023446+0.0013387i,0.00066187+0.0011329i,0.00029772+0.00053479i,-0.00073297+9.9162e-05i,-0.0006947-0.00036614i,-0.00046395-0.00016212i,-0.00018205+0.00041117i,0.00052085+0.00047073i,0.00011083-0.00011764i,-0.0003643-0.001194i,-0.00078944-0.0011477i,-0.00060667-0.00012854i,0.00013232+0.00034812i,0.00037079+0.0006212i,0.00020884+0.00076319i,-7.1248e-05+0.00038366i,-0.00054716+1.9416e-05i,-0.00037323+0.00013532i,-0.00021681+2.1812e-05i,-0.00079734+0.00015013i
0.00027856-0.00097569i,0.00049365-0.0018176i,0.0011827-0.0010862i,0.0018729-0.00025683i,0.0016907-0.000482i,-1.7729e-05-1.1137e-05i,-0.00079072+7.9818e-05i,-0.00078193+0.00031867i,-0.00048047+0.00068848i,0.00025193+0.00034789i,0.00016866-6.0754e-05i,0.00052447+0.00021604i,0.0004482+5.5621e-05i,0.00025401-0.00042485i,0.00036435-0.00068151i,0.00029747-0.00068803i,0.00038048-0.00081122i,0.00039253-0.00092911i,0.00092326-0.00085504i,0.0013152-0.00054453i,0.00086265-0.00033719i,0.00018744+8.5583e-08i,0.00028921+0.00021387i
0.00021661+0.00046251i,-0.00019524+0.00080909i,0.00061642+0.0015429i,0.0017995+0.0022022i,0.0011319+0.0014799i,-0.00071181+0.00066155i,-0.0017202+0.00055621i,-0.0015405+0.00029873i,-3.9498e-05+0.00048422i,0.00019919+0.0003598i,6.8988e-05-0.00013339i,0.00055271+0.0002076i,0.00016206+0.0004429i,0.00017206+9.1942e-05i,0.00098173+6.5889e-05i,0.0014521+3.5306e-05i,0.0012244+0.00012991i,0.00043654+0.00039995i,2.1241e-05+6.7075e-05i,0.00018162-3.3848e-05i,0.00034374+0.00025078i,0.00047834-2.8456e-05i,0.00037256-0.00016333i
0.00068625+0.00019897i,0.00065301+0.00075941i,0.00065862+0.00078875i,0.00048953+0.00087325i,5.1741e-05+0.00080268i,-0.0014611+0.00025496i,-0.0022262-0.0004392i,-0.0015149+9.0337e-05i,-0.00034857+0.0001255i,0.0002542-0.00028595i,0.00044+0.00018469i,0.00062619+0.00020137i,-0.00011257+0.00011042i,-0.00010219-0.00021102i,0.0002074-0.00058907i,-0.00035852-0.00023194i,-0.00011151+0.00031865i,0.00034214+0.00039544i,-0.00027209-1.0791e-06i,-0.0007304-0.00024023i,8.0907e-05+0.00014875i,0.00018737+0.00061707i,-0.00074949+0.00037548i
0.00083892-5.3462e-06i,0.0015522+0.00055653i,0.0017683+0.00028949i,0.0012657-1.7091e-05i,0.0002731+0.00035307i,-0.0010579+0.0011637i,-0.0012013+0.0013704i,-0.00061912+0.00080066i,-0.00086672+0.000718i,-0.00095198+0.00064115i,-0.00012582+0.00058836i,0.00053487+0.00076118i,0.00098615+0.00058685i,0.0010921+9.4218e-05i,0.00017597-0.00031723i,-0.00011403-0.00064032i,4.6822e-05-0.00098182i,0.00073873-0.00086395i,0.00086016-0.00041778i,-9.7561e-05-0.00016346i,-6.8572e-05+0.0003865i,-0.00011891+1.9722e-05i,-0.0004719-0.00080172i
-0.00054529+0.00084646i,-0.00079585-0.0001852i,-7.4162e-05+0.0002118i,0.00054173+0.0010102i,0.00045503+0.00057959i,0.00013785-0.00089211i,-0.00049511-0.00094596i,-0.00061673+0.00037824i,-0.00032374+0.00087361i,0.00027528+0.00058519i,-0.00014204+0.00069824i,-0.00067247+0.00052359i,0.00017349+3.066e-05i,0.00047006-0.00044052i,-0.00024819-0.00068152i,-0.00076164-0.0010832i,-0.000945-0.00090214i,-0.00079993-0.00030739i,-7.1476e-05-0.0003194i,0.00058273-0.00068679i,0.00085692-0.00014515i,0.00029395+0.00058676i,-7.0262e-06+0.00025706i
0.00028778-0.0031628i,-0.00011676-0.002078i,-0.0019499-0.0010368i,-0.0028449+0.00061886i,-0.0032093+0.0014928i,-0.0024656+0.00083666i,-0.00031448+8.565e-05i,0.00025015+0.00061786i,-0.00023932+0.00045825i,-0.00022173+5.3399e-05i,-0.00024041-3.7321e-05i,-0.00044384-0.00053265i,0.00026606-0.00055055i,0.00066614-0.00060058i,0.00029753-0.001315i,0.00064451-0.00092349i,0.00032708+7.859e-05i,0.00013605+0.0004822i,0.00080385+0.00068871i,-0.00012417+0.0005708i,-0.00071734-0.00042883i,-0.0005603-0.00088023i,-0.00021914-0.00051508i
-0.00039578-0.0007401i,0.00057747-0.00038071i,0.00080216+0.001262i,0.00082228+0.0030115i,-0.00013479+0.0033391i,-0.00096649+0.0018685i,-0.0012729+0.00019412i,-0.0011041-1.2963e-05i,-0.00052336+0.0003434i,0.00081421+0.0012822i,0.0013752+0.0013236i,0.00057875+0.00030621i,0.00018355+6.4013e-05i,0.00075321+0.00075653i,0.00029313+0.00078157i,-0.00027487+8.7743e-05i,0.0001227+0.00026818i,-0.00019981-6.7877e-05i,-0.00038737-0.00035636i,0.00043198+0.00020488i,0.00025142+0.00049788i,-0.00046013+0.00068373i,-0.00075023+0.00099802i
0.00015933-0.00047353i,0.00086428-3.7143e-05i,0.00034933+1.3049e-06i,-0.00027476-0.00032846i,-0.0012705+0.00021608i,-0.002372+0.00037439i,-0.0022901-0.00029637i,-0.00085103+3.1751e-05i,0.00047064+0.00059008i,0.00027945+0.0012145i,-6.2927e-05+0.0012121i,0.00032115+0.00094039i,0.00033812+0.00096802i,-0.00022647+0.00073126i,-0.00012952+0.0003555i,0.00029312-0.00025977i,0.00023258-0.0010597i,0.00030355-0.0010229i,0.00030885-0.0001837i,0.0001476+0.0003455i,-0.00033379+0.00064144i,-0.0006867+0.00072575i,-0.00064609+0.00021217i
-0.0018957-0.00070807i,-0.0020514-0.00035633i,-0.0026182+0.00010193i,-0.0020537+0.0012822i,-0.0005052+0.0017137i,-0.00062407+0.0014634i,-0.0016935+0.00051344i,-0.0014131+0.00033292i,-0.00054279+0.00078473i,-0.00012053+0.00071565i,0.00090134+0.00072351i,0.0014475+0.00037083i,0.00080476-0.00061i,0.00011094-0.0012158i,-0.00039724-0.00092801i,-0.00091606-0.00095237i,-0.0010436-0.001128i,-0.00038759-0.0010289i,0.00015653-0.00040512i,-0.00010639+0.00029868i,-0.00023753+0.00048016i,-7.6465e-05+0.00031358i,0.000113+0.00024035i
0.0010396-0.00049338i,0.0010142-0.00041589i,0.00074686-0.00043247i,0.00039673-0.00060431i,0.00025554-0.00078568i,-6.8151e-05-0.0003634i,-0.00074672+0.0001386i,-0.00012985+0.00076096i,0.00030352+0.0014177i,9.4157e-05+0.00092793i,-0.00049093+0.0001884i,-0.00012071+0.00047593i,0.00059316+0.00079106i,0.0003756+0.00019496i,-0.00029057-0.00041354i,-0.00065891-0.0003575i,0.00010504-0.00046381i,0.00032956-0.00081165i,0.00015761-0.00044287i,0.00034024-5.6362e-06i,-0.00042427-1.3244e-05i,-0.0010431-0.00011149i,-0.00064657+0.00029543i
0.00020834-0.00076244i,0.0011603+0.00025678i,-0.000378+0.00097052i,-0.001935+0.00077121i,-0.001667+0.001608i,-0.0020961+0.0014472i,-0.0024948-0.00020458i,-0.0016083-0.00076588i,-0.00065333-0.00037878i,-0.0005022+0.0003829i,-0.00012263+0.00062607i,6.1575e-05+0.00027145i,-0.00014396-0.00016902i,1.4597e-05-0.00014339i,-0.00023916+0.00023638i,-0.00061714-0.00022391i,0.00028407-0.00039342i,0.00072146-9.5751e-05i,-0.00029546-0.0004503i,-0.00037357-0.00048765i,7.6992e-05-2.7687e-05i,8.3394e-05-7.43e-05i,-0.0002914-0.00068591i
4.4288e-05-9.7156e-05i,-0.00010199+0.00026219i,-0.00038327+0.00051175i,0.00012251+0.0010589i,0.00068374+0.0016594i,-6.4842e-05+0.0013811i,-0.0005638+0.00063917i,0.00029071+0.00049096i,0.0010354+0.00041245i,0.00080793+9.1755e-05i,0.00050643+6.135e-05i,0.00049639+0.00015189i,0.00038718-0.0004018i,0.0007743-0.00033235i,0.00066973+0.00018208i,2.8415e-05+0.00042274i,-0.00054093+0.00071311i,-0.00011152+0.00035438i,0.00013952-0.0004499i,-9.7408e-05-0.00079297i,3.0826e-05+0.00013683i,5.1767e-05+0.001214i,4.5573e-05+0.0008695i
-0.00032072-0.00020336i,-0.0005342-0.00103i,-8.393e-05-0.0013708i,0.00017725-0.00094422i,-0.00045942-0.00097363i,-0.0017894-0.0013019i,-0.002162-0.0011573i,-0.0011084-0.00061062i,0.00016742+1.7097e-05i,0.00068333+6.9383e-05i,0.00071623+2.2888e-05i,0.0001104+0.0001956i,-0.00017735-0.00043549i,0.00028824-0.00062644i,-0.00018288+0.00025815i,-0.00038461+0.00089345i,0.00053596+0.0012658i,0.0013928+0.00089156i,0.0011223+0.00056186i,0.0001435+0.000709i,-0.00022542+0.0011819i,-0.00027561+0.00063364i,-0.00054159-0.00018469i
0.00081333+0.00056091i,0.0011909+0.0012001i,0.00075261+0.0010345i,-0.00052141+0.00086774i,-0.0020142+0.00051714i,-0.0028624-0.00025561i,-0.0024145-0.00059709i,-0.001019-5.8683e-05i,-0.00012621-0.00016841i,-0.00042652-0.00057437i,0.00023978-0.00059242i,0.0004297-0.00044723i,-0.00052784-0.00020752i,-0.0011613-8.3922e-05i,-0.00064365-9.8564e-05i,0.00023158-0.00048907i,0.0001966+0.00013476i,0.00037228+0.00010767i,0.00057295-0.00059983i,-1.1668e-05-0.00034485i,-0.00043551-0.00042343i,-0.00048845-0.00045788i,-0.00076388-0.00013595i
0.00015792+0.00073221i,0.0012487+8.6763e-05i,0.0018704-0.0012426i,0.0010611-0.0014834i,1.3569e-05-0.00088044i,-0.0004957-0.00018727i,-0.00049852+0.00052637i,-0.00046921+0.00071514i,-0.00026269+0.00057184i,0.00020951+0.00056453i,0.00054342+0.00050048i,0.00051291+0.00064801i,-4.344e-05+0.00078788i,-1.6272e-05+0.00017611i,0.00055046-3.0997e-06i,0.00022893-1.4584e-05i,4.9981e-05+0.00053178i,8.3893e-05+0.00096307i,-0.00041933+2.6595e-05i,-0.00029397-0.00078943i,-0.00020661-0.00035563i,0.00038047+0.00031335i,0.0012748+0.00035593i
-0.00011363-0.00038883i,-0.0009136-0.00056053i,-0.00058158+0.00019369i,-6.481e-05-0.00036501i,-0.00034861-0.00070336i,-0.00096937-0.00046537i,-0.0011433-0.00036418i,-0.00037893+0.00020161i,0.0006161+0.0003431i,0.00085788+9.3647e-05i,0.00021662+0.00011632i,-0.00061813+0.00012077i,-0.00012555-2.3415e-05i,0.00073152+9.5661e-05i,0.00047903+0.00038545i,-0.00096012+0.00034404i,-0.0015833-0.00014717i,-0.00077412-0.00071543i,-0.00033423-0.00088803i,-0.00080045-4.7817e-05i,-0.0010788+0.00053985i,-0.00082562+0.0004446i,-0.00044549-7.8293e-05i
0.00043559+0.00027782i,0.0010667+0.00072501i,0.0010821+0.00056178i,0.00043822+0.00057988i,9.2266e-05+0.00079725i,-0.0005625+0.0017419i,-0.0013941+0.0013733i,-0.00096036-4.3315e-05i,0.00013096-0.00026466i,0.00056497+0.00042377i,0.00023801+0.00054689i,0.00018639-0.00040776i,-0.00010177-0.0009652i,-0.00025834-0.0009575i,-0.0002205-0.00038945i,0.00082066+0.00020939i,0.00059757+0.00070595i,-0.00078751+0.00093499i,-0.00078096+0.00048388i,-0.00088764+5.0827e-05i,-0.00096781+0.00028777i,-0.00048729+0.00064906i,-0.0007058+0.0010022i
-0.001189+0.00051407i,-0.00062771+2.0355e-06i,-0.00039741-0.00086511i,-0.0008872-0.0010122i,-0.0017718-0.00021578i,-0.0013539-0.00078714i,-0.00048351-0.0015945i,-0.00060204-0.00040084i,-0.00012781+0.00095591i,0.00029298+0.0010905i,0.00015265+0.00049822i,-8.5297e-05-0.00046978i,-0.00024514-0.0012649i,0.00020369-0.0016038i,0.00059513-0.001148i,0.0007527+1.453e-05i,0.00027199+0.0008471i,0.00044047+0.00012713i,0.00095324-0.0010591i,0.00069401-0.00072963i,0.00022255-0.00027082i,-0.00065514-0.0001667i,-0.00038191+0.00044778i
-0.00064831-0.00038687i,0.00027873-0.0012979i,0.00064594-0.00016039i,0.00047167+0.0013928i,-8.2254e-07+0.0015231i,-0.00036206+0.0012038i,-0.00086121+0.000588i,-0.00051292+0.00041547i,-0.00038409+0.00074688i,-0.00025239+0.00080196i,0.00010291+0.00036264i,0.00030223-0.00028083i,-0.00024179-0.00071831i,-0.00098021-0.00082422i,-0.00052462-0.00073831i,0.00017179-0.00029032i,0.00067947-4.2746e-05i,0.00025382+0.0001031i,-0.00027806-2.4947e-05i,3.7457e-05+0.00016936i,0.00074944+0.00042843i,0.00087933+0.00031844i,6.0049e-05+3.6288e-05i
0.00010741+4.5331e-05i,0.0011739-0.00021857i,0.00096462-0.00019357i,0.00011848-0.0001674i,0.00020037+4.2044e-06i,-0.00037955+0.00011198i,-0.0016483+9.1695e-05i,-0.0011619+0.00057258i,0.00022515+0.0015684i,0.00051537+0.0017742i,0.00012775+0.0010979i,0.00014988+0.00036557i,0.00012166+0.00034741i,5.5026e-07+0.00031142i,0.00071965-0.00011695i,0.00065958-0.00045645i,0.0006017-0.0001808i,0.0011733+0.00020306i,0.00056336+0.00015774i,0.00027365+4.8622e-05i,0.00043196-0.00042014i,-2.877e-05-0.00049096i,-0.00052072-0.00046041i
-5.6162e-05+0.00057461i,5.9202e-05+0.00088232i,-0.00029925+0.00097646i,-0.0011579+0.00086715i,-0.0014728+0.0010837i,-0.0017001+0.00036593i,-0.0016197+0.00016152i,-0.00085463+3.9214e-05i,-0.00050156-0.00048967i,-1.4568e-05-0.00076583i,0.00080041-0.00040396i,0.00043302+0.00023431i,-7.1949e-05-0.00023227i,-0.00067071-0.0011613i,-0.00071779-0.0010598i,-0.00053954-0.00038507i,-0.00055913-0.00020951i,-0.00025263-3.3069e-05i,-0.00081936+0.00022695i,-0.0013185+0.00010759i,-0.00046352-0.00013518i,-5.1424e-05-7.1676e-05i,-0.0002589-0.00033229i
-0.00098415+0.0020721i,-0.00054631+0.0013377i,0.0002695+0.0019725i,0.0013424+0.0020217i,0.0015001+0.00045353i,-0.00041484-0.00071457i,-0.0016928-0.0014418i,-0.00059535-0.0012028i,0.0004328-5.9403e-05i,0.00052012+0.00029384i,0.00044727+0.00047746i,3.4995e-05+0.0001561i,0.00017066-0.00028375i,0.0010754+6.5145e-05i,0.00047803-0.00011712i,-0.0012554-0.00088089i,-0.0012945-0.00036504i,-6.4311e-05+0.00029033i,0.00051557+5.6794e-06i,0.00029356-0.0001574i,2.8561e-05-0.00016215i,-0.00026268-2.2192e-05i,-0.00026184-0.00040721i
-0.00057386-0.00027882i,-0.00019801-6.0419e-05i,-0.00038151+0.001522i,-0.00051709+0.0028045i,-0.00092074+0.002528i,-0.0010939+0.00044264i,-0.0016298-0.0011197i,-0.0014653-0.00083755i,-0.00024914+0.00025685i,0.00048957+0.0011251i,0.0005822+0.00082i,0.00031974-0.00029458i,0.00051646-0.00050714i,0.0012483-0.00027786i,0.00127+0.00013725i,0.00047208-0.00058471i,-0.00022131-0.0017673i,-0.00034638-0.0014334i,0.00021517-0.00064275i,0.00096301-0.00037044i,0.00055219+5.344e-05i,-0.0004906+0.00055299i,-0.0013399+0.001299i
-0.00083828-1.6484e-05i,-0.00017968-0.0011713i,-8.8758e-05-0.00031772i,-0.00087224+0.0010415i,-0.0012096+0.0014297i,-0.0014999+0.00039361i,-0.0014048-0.00056179i,-0.00028254+0.00012554i,0.0002884+0.0012936i,0.0005261+0.0020189i,0.0010452+0.0015883i,0.00058972-4.5838e-05i,8.9947e-05-0.0010815i,-1.2438e-06-7.9996e-05i,-0.00078472+1.0303e-05i,-0.0012318-0.00074742i,-0.00084458+0.00049952i,-5.5089e-05+0.0013839i,0.0006327+0.0010206i,0.00072721+0.00023182i,0.00062369-0.00016241i,0.00049058+5.6954e-05i,0.00035741+0.00040088i
0.00077587+0.00022066i,0.00059255+0.00082744i,-0.00024804+0.00066019i,-0.00079154-5.6504e-05i,-0.00089909-0.00024589i,-0.0021299-0.00096427i,-0.0025136-0.0011875i,-0.0014547-0.00057685i,-0.00054766-0.00042668i,-0.00025862-0.00021321i,-2.2525e-05-0.00013339i,0.00011155-5.0297e-05i,9.4506e-05+0.00026694i,0.00010048+0.00069992i,2.4102e-05+0.00029088i,6.0631e-05-0.0006162i,0.00014708-0.00063718i,-0.00016576-0.00052431i,-0.00045892-0.00063888i,0.00026991-0.00051108i,0.00084345-0.00085918i,0.00084295-0.00057002i,0.00046292+0.0001591i
-0.00021297+0.00086624i,-0.0013331+0.00096155i,-0.0015668+0.0010979i,-0.0010299+0.0010674i,-0.0013775+0.00029045i,-0.0021567-0.00097036i,-0.0028718-0.00028742i,-0.0021858+0.0010427i,-0.00076321+0.0010274i,-6.9282e-06+0.0004875i,0.00034137+0.00043729i,0.00098804+0.00067065i,0.00072558+0.00080561i,-0.00022216+0.0010497i,-0.00044171+0.00083839i,-3.0887e-05-0.00010544i,0.00047848-0.0011661i,0.00074856-0.0013318i,0.0004848-0.00048913i,1.7781e-05-5.4627e-05i,-0.00025254+9.8536e-05i,-0.0002658+0.0003849i,-7.1525e-05+0.00033654i
-5.3396e-05-0.00094135i,0.00035583-0.0011136i,0.00039292+0.00039964i,-0.00088596+0.0012605i,-0.00088645+0.00054733i,-0.00035284-0.00043996i,-0.00097432-0.00071674i,-0.0010751-6.0608e-05i,-0.00055174+0.00065744i,-6.0891e-05+0.00070383i,0.0006829+0.00067461i,0.00029788+0.00013824i,0.00042243-0.00023588i,0.0010603+9.0995e-06i,0.00056466+0.00034166i,-0.00032581+0.00023947i,-0.00065355-0.0004971i,-0.00037169-0.00086485i,0.00032583-0.00017401i,0.00073961+0.00023613i,0.00060863+8.5142e-05i,0.00016751-0.00042474i,-0.0002564-0.00061914i
0.00017886+0.0001873i,7.5717e-05-0.00060424i,-0.0011387+5.0265e-06i,-0.001967+0.00077622i,-0.001584+0.00018277i,-0.00090209-0.0010885i,-0.00067154-0.00073443i,-0.00072582+0.00026667i,-0.00032594+0.0008415i,-1.6599e-05+0.00096222i,-0.00017426+0.00085076i,0.00046425+0.00059471i,0.00078195-0.00015752i,0.00071743-0.00085128i,0.00012813-0.00049317i,-0.00058058+0.00047009i,-0.00095227+0.00038524i,-0.00014657-0.00036135i,-6.0869e-05+0.00022559i,-0.0005379-0.00010762i,-0.00061194-0.00012262i,-1.8317e-05+0.00087836i,0.00045896+0.00055504i
0.00045159+0.0025701i,0.00022337+0.0013919i,0.0007917-0.00025453i,0.00019856-0.0010599i,-0.00087613-0.0013825i,-0.0024116-0.0015737i,-0.0027465-0.00023012i,-0.0013372+0.0014053i,0.0002544+0.0012703i,0.00050742+0.00037847i,0.00025636+3.7171e-05i,0.00042112-0.00042476i,8.7083e-05-0.0010074i,-6.3955e-07-0.00083717i,-0.00014629-0.00039104i,-0.00043181-0.00034832i,-0.0005252+0.00031961i,-0.00044204+0.001i,-0.00029116+0.00031089i,-0.00025831-0.00030267i,-2.5221e-05-0.00012554i,-0.0002197-0.00021351i,0.00015642-0.00032322i
-0.00064933-0.00024603i,0.00041989+0.0001036i,0.0013007-0.00044912i,0.00088239-0.0005983i,-0.00016987-0.00016362i,-0.0008858+0.00050086i,-0.0012483+0.00034202i,-0.0012451+0.00049578i,-0.00088386+0.00099717i,-0.00023593+0.0016728i,0.00084939+0.0016661i,0.0014129+0.00028527i,0.0013235-0.00011713i,0.0012403-3.5815e-05i,0.00075796-0.0003541i,0.00017908-8.1831e-05i,-0.00029679-0.00046098i,-0.00068845-0.00044968i,-0.00083253+0.00019734i,-0.0005751+3.9372e-05i,-1.5805e-05+0.00034638i,-0.00029291+0.0011359i,-0.00041064+0.00038885i
