-0.0043827+0.00092128i,-0.0035805+0.00065346i,-0.0035127+0.001154i,-0.0024019+0.0020508i,-0.00089425+0.0028724i,0.00017019+0.0027246i,-0.00031594+0.0024156i,-0.0012258+0.0023925i,-0.0009772+0.0022798i,-0.00010623+0.0015609i,0.00076983-1.6263e-05i,0.0010028-0.0011027i,0.0004152-0.0010343i,-0.00017315-0.00092852i,-0.00056224-0.0004037i,-0.00095733+0.00060123i,-0.001364+0.00070555i,-0.00097688+0.00010247i,0.00011075+6.6713e-05i,0.00065064+0.00019652i,0.00029612-0.00014513i,-0.0002772-0.00026261i,-0.0001747+0.00011877i
0.0015106-0.00040996i,0.00067434-0.0019833i,-0.00080772-0.0023655i,-0.0015463-0.0018248i,-0.0011556-0.0012037i,-0.0013606+0.00038673i,-0.00087242+0.00095454i,0.00023037+0.00066805i,0.00041529+0.00033308i,-6.5163e-05-0.00055135i,-0.00040761-0.0010048i,0.0002247-0.00051257i,0.000772+0.00025158i,0.00055468+0.00048614i,-0.00035442+0.00046718i,-0.00035949-1.8929e-05i,0.00018166+7.906e-05i,0.00058554+0.00053364i,0.00083098+0.00013182i,0.00050278+0.00028491i,0.00046404+0.00011684i,3.7209e-05-0.00042501i,-0.00042955-0.00060944i
0.0001209-0.00028058i,-0.00039603+8.6395e-05i,-0.00065215-0.00070415i,-0.00062844-0.00098221i,-0.001191-0.00025002i,-0.0007277+1.2959e-05i,-0.00064601-0.00018868i,-0.00083596-0.00051752i,-0.00020199-0.00039765i,0.00032057-0.00015719i,0.0010009-0.00014161i,0.00091133+9.6147e-05i,0.00051334+1.637e-05i,0.0007483-1.3083e-06i,0.00044096+0.00029394i,-0.00019887+0.00029216i,-0.00087977+9.5641e-05i,-0.0013477-6.1944e-06i,-0.00033406+0.00041326i,0.00034095+0.00082077i,0.00012961+0.00059168i,-0.00032876-0.00028269i,0.00014702-0.00053002i
0.00090074-0.0013649i,0.00044102-0.0017559i,0.00049952-0.0017607i,4.8904e-05-0.00074045i,-0.00033464-5.9773e-05i,-0.00064312-1.5328e-05i,-0.0015681+4.0272e-05i,-0.0021844-7.7541e-05i,-0.0013009-0.0005646i,-0.00042686-0.00036079i,-6.3013e-05+0.0001828i,0.0003242-0.0004151i,8.5372e-06-0.0013257i,-0.00030304-0.00078597i,0.00012114-0.00037808i,0.00029073-0.0011424i,0.00045069-0.00098945i,0.00074368-0.00033171i,0.00072294-2.6998e-05i,0.00051934+0.00024619i,0.00019406+0.0001792i,8.1987e-05+0.00019938i,6.0413e-05-1.0321e-05i
-0.0001451-0.00070001i,0.00030939-0.00082426i,-0.00060974-0.00020713i,-0.00016535+0.00062347i,-0.00018189+0.0004136i,0.0002133-9.7742e-05i,0.00077497+0.00024446i,0.00057828+0.00052251i,0.00034661+9.3967e-05i,-0.00010956+0.00012854i,-0.00076261-0.00010727i,-0.00026521-0.00025221i,0.00042886+0.0003811i,0.00016157+0.0007935i,-3.2247e-05+0.00078111i,0.00028903+0.00061903i,-4.0675e-05+0.00068167i,-0.00039568-2.2416e-05i,-0.00019084-0.00080376i,-0.00012606-0.00036285i,0.00024496-0.00025534i,0.0007949-0.00037832i,0.00099201+0.00065687i
-0.0012122-0.0007716i,-0.0012126+0.00044544i,-0.0019079+0.0012333i,-0.0023062+0.00083214i,-0.0013479+0.00017297i,0.00073838-0.00027081i,0.0013114-0.00035i,0.00048943-0.00050726i,-9.0236e-05-0.00021336i,-0.00025772-1.5452e-05i,-0.00083772-0.00038594i,-0.0010349-0.00017061i,-0.00021849-0.00016834i,0.00026983-0.00064705i,0.00030938-0.00023825i,0.00046081-5.0935e-05i,0.00057496+0.00030934i,-6.7649e-05+0.00057338i,-9.6288e-05+0.00041844i,0.00032902+0.00040751i,0.00095526+0.00050104i,0.0010628+8.1126e-06i,-4.3887e-06-0.00030978i
-0.00016971-0.0010588i,-2.0905e-06+0.00026315i,-0.00027514-0.00051981i,-0.0007825-0.00093998i,-0.0009268-0.0004993i,-0.0014129-0.00031242i,-0.0010867+0.0001674i,-0.00097851+0.00028026i,-0.00086447-0.00069345i,0.00015568-0.0021636i,1.0542e-05-0.0014554i,-0.00051787-0.00041768i,-0.00023587+0.0004315i,-0.00025394+0.001223i,0.00026679+0.00089872i,0.00097008+0.00052202i,0.0005643+0.00037701i,0.00017841+0.00047554i,-0.00017518+0.0007687i,-0.00031331+0.00042952i,0.00070275-0.0005003i,0.00096806-0.00029065i,0.00033016+0.00054382i
0.00032048+0.0016295i,0.0010835+0.0015681i,0.0011146+0.0018031i,0.0011437+0.0013967i,0.0016057+0.00097316i,0.0017973+0.0012285i,0.00083277+0.0008909i,-6.7703e-05+0.00030084i,-0.00059166-0.00038732i,-0.00078555-0.0006213i,-0.00020653-0.00020454i,0.00021227+6.9192e-05i,-0.00022155-0.00058i,-0.00031075-0.00071397i,0.00074828-0.0002635i,0.00062788-0.00036128i,-0.00015521-0.00041363i,-0.00041553+0.00024364i,0.00018942+0.00031984i,0.00053069-5.5951e-05i,-0.00027704-0.00013784i,-0.00071909+0.00026939i,-0.00030764+0.00031469i
-0.00051828+0.00074397i,0.00028949-0.00038359i,0.00038795-6.3243e-06i,0.00035326+0.00065295i,0.00013932+0.00047276i,-0.00011282-5.6642e-05i,-1.0359e-05-0.00062451i,-2.2919e-05-0.00026824i,-0.00043717+0.00014365i,-0.00038465-0.00023201i,-0.00026333-0.00012367i,0.00037603+0.00063274i,0.0012021+0.00053727i,0.0011093+0.00010545i,0.00071083+0.0006845i,0.00010604+0.00048406i,-0.00040982-0.00065474i,-0.00055049-0.00068218i,-0.001206+5.0217e-05i,-0.00128+5.5571e-05i,-1.0705e-05+0.00048028i,0.001076+0.00071821i,0.00098871+2.7264e-05i
0.00051067+0.0010533i,0.0016074+0.0012378i,0.0016457+0.00099337i,0.00044876-2.3826e-05i,-0.00034096-0.00047779i,-0.00071061+0.0004448i,-0.0005734+0.0007551i,3.6261e-05+0.00030322i,0.00016158-0.00058348i,0.00032168-0.00047165i,0.0003978+0.00016752i,0.00036287+0.00042013i,-9.6508e-05+0.00037076i,-0.00038298-6.7305e-05i,-0.00046311-3.283e-05i,-0.00079243-9.493e-05i,-0.00054328-0.00037959i,-0.00027294-0.00035263i,-0.00061404+1.4054e-05i,-0.00019643+0.00024303i,0.00026239-6.1563e-05i,-0.00019699-6.7625e-05i,-0.00017539+0.0003572i
-0.0001958-0.0010192i,-0.00089889-0.0018938i,-0.0019061-0.0027287i,-0.0021864-0.0012971i,-0.0016188+0.00048828i,-0.00042418+0.0010456i,-0.00017632+0.00040219i,-0.00049701-4.8335e-05i,-0.00097949-0.00085438i,-0.00081231-0.0011126i,0.00054389-0.00073466i,0.0014685-0.00059339i,0.0016146-0.00029329i,0.0015508+0.00040025i,0.00085593+0.00073316i,0.00035217+0.00071754i,-9.1069e-05+0.00093093i,-0.00022822+0.001039i,0.00069118+0.00052363i,0.00043742-0.00026596i,2.7046e-05-0.00034997i,0.00034438-0.00041577i,0.00043581-8.6372e-05i
0.00030973-0.0002103i,0.001644-2.3268e-05i,0.0012896+0.00031876i,0.00062246+0.00088902i,0.00053343+0.00061831i,0.00014647-0.00015149i,-0.00076045+0.00022213i,-0.0015293-0.00014748i,-0.0012468-0.0008299i,-0.00089348-0.00050775i,-0.00040985-0.00067761i,0.00038856-0.00043619i,0.00016543+0.00055272i,-0.00049058+0.00045831i,-0.00086634+0.00011572i,-0.00082798+0.00034226i,-0.00018963+0.00036457i,0.00020843+0.00061814i,-0.00036476+0.00072526i,-0.00101+0.00052626i,-0.00027073+0.000384i,0.00024045-0.00066221i,8.5328e-06-0.00075336i
-0.00032361-0.00059078i,-0.0010812-0.00034251i,-0.0011143-0.0007905i,-0.0018659-0.00060493i,-0.0017442-7.986e-05i,-0.000878+0.0007333i,-0.00058689+0.0010436i,-0.00057676+0.00049769i,-0.00085768-0.00033814i,-0.0013226-0.00015311i,-0.0016435-0.0002223i,-0.00067861-0.00036254i,0.00065612+0.00016356i,-4.7218e-05+0.00015183i,-0.00047428-0.00028311i,-6.5522e-05-0.00017599i,-0.00055782-0.00018946i,-0.00063935-0.00042951i,-0.00012876-0.00049048i,0.00047697-0.0006922i,0.00040604-0.00071319i,0.00052823-0.00041098i,0.00086582+0.00042823i
-0.00057705-0.00059798i,-0.00030075-0.0015951i,-5.5323e-05-0.0025675i,0.00048525-0.0014381i,0.00047333+0.00021858i,0.00035324+0.00066594i,0.00041033+0.00026197i,0.0007075-0.00052222i,0.00050175-0.0010641i,-0.00057174-0.0010556i,-0.00075799-0.00035323i,-0.0005796+0.0006493i,-0.00052069+0.00076438i,-0.00034941+0.00054454i,-0.00010649+0.0010481i,4.0717e-05+0.0014004i,0.00059516+0.00122i,0.0013563+0.00091549i,0.0010066+0.00041517i,0.00014596+0.00053058i,3.06e-05+0.00039893i,0.0001374-0.00035245i,0.00058131-0.00023067i
-3.8537e-05-0.00045293i,0.00047227-0.0026572i,-0.00039635-0.0022917i,-0.00046292-0.00039492i,-0.00021324+0.0012323i,6.9547e-05+0.001512i,-0.00029426+0.00055431i,-0.00066846-0.00037443i,-0.00050473-0.00050274i,-0.0001378+0.00045121i,-0.00042196+0.00039785i,-0.00024563-0.00043393i,0.00047621-0.0002964i,0.00061605+6.7393e-05i,0.00045549+0.00045434i,-6.6177e-05+0.00075316i,-0.00011813-3.8189e-06i,3.6035e-05-0.00013914i,1.8625e-06+8.4252e-05i,0.00023147-0.00087846i,0.00029614-0.0012669i,0.00027171-0.00015779i,-0.00010857+6.234e-05i
-0.00023025-0.00065685i,0.0009815-6.2129e-06i,0.0011239+6.635e-05i,-0.00011829+0.00038079i,-0.00074202+0.00096814i,0.00016199+0.00067434i,0.00049388+0.0003429i,-5.8483e-05+0.00061271i,-0.00030414+0.00018883i,-0.00025307-0.00045387i,-0.00034708-0.00031625i,-9.5448e-05-0.00025879i,0.00016619-0.00063826i,-0.00021067-0.0006093i,-0.00052453-0.00086919i,0.00014443-8.1441e-05i,0.00037836+0.00029719i,9.1931e-05-0.00083833i,6.5457e-05-0.0004575i,0.00064169+0.00046792i,0.00064748+0.00050293i,0.00040319-1.0763e-05i,0.00078396-0.00032519i
-8.0687e-05+0.00041651i,-0.00020188+0.00033748i,-0.00046075-0.00058123i,-0.00014802-0.0011834i,1.3547e-05-0.00084069i,-0.00083465-8.4024e-05i,-0.0013743+0.00012856i,-0.0007744-0.0001993i,-0.00051029-4.9668e-05i,-0.00021555-6.7426e-05i,0.00037735-0.00076765i,9.4381e-05-0.00038308i,-0.00032246+0.00062629i,-4.6833e-05+0.00057587i,8.0878e-05+0.00056125i,-0.00027018+0.0010332i,-0.00071307+0.0013758i,-0.00058405+0.0012443i,-0.00015711+0.00017316i,0.00025488-0.0004928i,-8.7088e-05-0.00017752i,-0.00034307-0.00014827i,-0.00045065-0.00071486i
0.0017712+0.00066489i,0.0015051-0.00055955i,0.001472-0.0015343i,0.0015196-0.0016427i,0.0010124-0.001139i,-0.00055306-0.0010587i,-0.00086525-0.0010879i,5.4765e-05-0.0005049i,-0.00026003+0.00028075i,-0.00046577-0.00050916i,-0.0001589-0.00107i,-0.00015185-8.1326e-05i,0.00038691+0.00051252i,0.00051917+0.00062087i,0.00049169+0.0004346i,0.00055614+0.00081816i,0.00015683+0.0014784i,-0.00011715+0.00046453i,-0.00022097-0.00059827i,-0.00037812-0.00027898i,-2.1183e-05+0.00036289i,0.00022605+0.00042912i,0.00049512-0.00018192i
0.001251+0.0007738i,0.0021312-0.00021934i,0.0031155-0.0010388i,0.0019883-0.0017863i,0.0004118-0.0018336i,-5.1366e-05-0.0010169i,-0.00032387-0.00064446i,-0.00066496-0.00090235i,-0.00067967-0.0015108i,-0.00070278-0.0019373i,-0.00071293-0.0014015i,7.5789e-05-0.0001386i,0.00091723+0.0007987i,0.0003825+0.00068563i,-0.00014534+0.0006893i,-2.0359e-06+0.00039585i,0.00051341+0.00019244i,0.000918+3.5189e-05i,7.5229e-05-0.00010127i,-0.00036189+0.00024253i,0.00025057-0.00034022i,0.00042558-0.0011008i,-3.6786e-05-0.00028319i
-0.00075079-0.00078139i,-0.00017482-0.00052231i,0.00080399-0.00044579i,7.8555e-05-0.00033005i,-0.00078788-0.00016663i,-0.00010092-0.00029996i,0.00078398-0.00081149i,0.00089818-0.0010789i,0.00079834-0.0007882i,0.00093374-0.00033617i,0.00025992-0.00011626i,0.00013093+0.00013045i,0.00057148+0.00074272i,0.00031344+0.00023225i,0.00020475-0.00023551i,0.00016518+0.00011171i,0.00024675+0.00043892i,0.00059706+0.00056587i,0.00013107-1.4505e-05i,-0.00066178-0.00056698i,-0.00049895-0.00083219i,2.9428e-05-0.00030631i,0.00059361+0.00035107i
-0.00072553+0.0021961i,-0.000545+0.0013072i,0.00023833+0.00067438i,-0.00010855+0.00078i,0.00027393+0.00040225i,-0.00056041-0.00072121i,-0.0010887-0.0012917i,-0.00037884-0.00056488i,0.00032514+0.00027798i,0.00070008+0.00030433i,0.00055712-0.00047747i,0.00060664-0.0011164i,0.00053517-0.0011559i,-0.00023013-0.00064328i,-0.00058041-0.00044051i,-0.00012422-0.00054025i,0.00013338+0.00036285i,0.00048331+0.0014989i,0.00060631+0.0013556i,-3.8034e-05+0.00062621i,0.00011683+0.00026992i,0.0011957+5.7373e-05i,0.0013136-0.0002276i
0.00047002+0.00065411i,0.0010337+0.0002875i,0.00027467-0.00057461i,1.7688e-05-0.00061433i,-5.0333e-06-0.0003199i,-0.00010832-0.00035379i,-0.00082451+6.6344e-05i,-0.0021172+0.00010709i,-0.0016274-0.00015783i,-0.00039453-0.00027244i,-0.00078855+0.00013107i,-0.00052938+0.00011519i,0.0010952-0.00036976i,0.0013296-0.000318i,5.9076e-05+0.00028614i,-0.00075225+0.00068574i,-0.00058063+0.00077551i,-0.00026492+0.00085995i,-0.00023795+0.0010814i,-0.00031531+0.00022247i,1.9128e-05-0.00046924i,4.7073e-05-0.00015255i,-9.1712e-05-1.5006e-05i
-0.00016353+0.00072826i,-0.00076017-0.00093828i,-0.0010369-0.0010483i,-0.00094076-0.0004922i,-6.0815e-05+0.00012973i,8.5605e-05+0.00028118i,-0.00055365-0.00040627i,-0.00019678-0.00032738i,0.00046163-0.00032876i,0.00064011-0.00024833i,0.00034283-1.0789e-05i,0.0001774-0.00045796i,3.7529e-05-0.0010674i,-0.00026641-0.00099187i,-0.00050036-0.00029243i,-0.00020852+0.00054115i,0.00030792+0.00057875i,-0.00041477-0.00013494i,-0.00074387-0.00052821i,-0.0006024-0.00015368i,-0.00032649+0.0002783i,0.0001239+0.0001292i,0.00011783+0.0001549i
-0.00044977-0.00060776i,-0.00055202+1.5245e-05i,-0.00053241+0.00094897i,-3.157e-05+0.00062723i,0.00053491+0.00059694i,2.8754e-05+0.0006517i,-5.0294e-05+0.0010713i,-0.00023302+0.0013466i,-6.4824e-05+0.00050946i,0.0001861-0.00021201i,0.00022133-0.00054891i,0.00058144-0.001018i,0.00036351-0.00097319i,0.00015641-0.00066582i,0.00048024-8.9933e-05i,0.00070985+0.00022321i,0.00010273+0.00033115i,-0.00025253+0.00093259i,-2.4691e-05+0.00074196i,0.00036007+3.504e-05i,0.00031649-0.00023908i,-0.00048153-8.4358e-05i,-0.00045803+0.00072345i
0.0012351-0.00054794i,0.0011305-0.0010822i,0.00060912-0.0011888i,-0.00051569-0.00093237i,-0.0015332+0.00030695i,-0.001196+0.0014266i,-0.0012316+0.00081298i,-0.00098414-0.00059004i,-0.0003127-0.00087191i,-0.00018142-0.00033089i,-0.00015973-0.00014347i,-6.4662e-05-0.00048342i,0.00033144+0.00021216i,0.00068578+0.00079804i,-0.00016505+0.0010502i,0.00017919+0.00079063i,0.0012595+0.00033999i,0.001108+0.00088695i,0.0005389+0.00081318i,0.0003375+0.00041356i,9.6704e-05+0.00073985i,0.00024544+0.00052735i,0.00040782-0.00028134i
0.00069681-0.00065893i,-0.00011205-0.00016188i,-0.00088452-0.00056547i,-0.0015032-0.0015291i,-0.00089481-0.00077062i,2.9166e-05+6.4205e-05i,0.00038357-0.00069013i,0.00023178-0.0014068i,0.00035063-0.0018199i,7.9054e-05-0.0020979i,-0.00028061-0.0011231i,-0.0005495+0.00023645i,-0.0008755-0.00010977i,-0.00014373-0.0004549i,0.00056393-0.00039922i,0.00027079-0.00043335i,0.0001989-0.00046704i,0.00042183-0.00044812i,0.00061273-0.00033927i,0.00034184-0.00071454i,0.00011988-0.0010633i,7.1241e-05-0.00041479i,-9.7845e-07+3.2056e-05i
0.00032357+0.0020626i,0.0009001+0.0014792i,0.0014353+0.00028057i,0.001213-0.0002791i,0.00042839-0.00074129i,-0.00031508-0.00072194i,-0.0005409-0.00026125i,-0.00050775-0.00024886i,0.0003661-0.00052416i,0.00049131-0.00054737i,-0.00065338-0.00068416i,-0.00057172-0.00044886i,0.00018006-0.00028478i,0.00042242+0.00014082i,-0.00019615+0.00098253i,-0.0006091+0.0014073i,-0.00021811+0.00072389i,-5.7554e-05+0.00018081i,0.00025854+0.00011615i,-5.4273e-05-0.00045606i,-6.7488e-05-0.00024648i,0.0010148+0.00059741i,0.0012593-1.6213e-05i
0.0010058+0.00051428i,0.00041643-0.00042434i,0.00085895-3.7199e-06i,0.0011724+0.00056223i,0.00048863+0.00091756i,-0.00028513+0.0010211i,-0.00067219+0.00031724i,-0.0010236-0.00090702i,-0.00098119-0.0014069i,-0.00060356-0.00082451i,-0.00032507-0.00020597i,-0.00020554-0.0004173i,-0.00011256-0.00039885i,-0.00061051+0.00054303i,-0.00041451+0.0011803i,-5.385e-05+0.00085781i,0.00049811+0.00067493i,0.00027129+0.0007475i,-0.00041737+6.974e-05i,-0.00042811-0.00019139i,-0.00037617-0.00012699i,-0.00022801-0.00010557i,0.00061324+0.00036337i
-0.00062512+0.00011283i,-0.0017845-3.3877e-05i,-0.001938-0.00033858i,-0.0011925-2.3184e-05i,-0.00063448+0.0010847i,-0.00068556+0.0013699i,-0.0012916+0.00049629i,-0.0015243-0.00069911i,-0.0010143-0.00095051i,-0.00054902-0.0011901i,-0.00038226-0.0009319i,-0.00035479+0.00032671i,0.00042152+0.00069688i,0.0012956-0.00022797i,0.00087132-0.00024272i,-4.224e-05+0.00061365i,-0.00040127+0.0002064i,0.00028259-0.0010275i,0.00056338-0.00012431i,0.00023072+0.00092853i,-5.3076e-05-2.4494e-05i,-0.00037564-0.00080626i,-0.00044173-0.00079308i
0.00038525-0.00055865i,0.00079055-0.00069594i,0.0004476-0.0010635i,-0.00024849-0.00057564i,5.7386e-05+0.00071102i,-0.00018022+0.0014695i,-0.00072662+0.00038412i,-0.00037024-0.00046117i,-0.00026562+0.00040979i,3.2918e-05+0.0010755i,-5.7545e-05+0.0012488i,0.00025864+0.001091i,0.00039354+2.2641e-05i,-0.00037212-0.00068789i,6.6717e-05-0.00041582i,0.00028902-0.00056675i,5.7741e-05-0.00055455i,0.00042124-0.00017226i,0.00028037-0.00071507i,0.00020588-0.00085603i,0.0003584-0.00044529i,0.00022508-0.0002004i,0.00019161-0.00043299i
-0.00026048+0.00092013i,-0.00037668+7.6161e-05i,0.00016396-0.00011294i,0.0006435-0.00063005i,8.7439e-05-0.00062576i,-0.00028195-0.00036131i,0.00072978+0.00023737i,0.0010222+0.00039025i,8.1598e-05-0.00023946i,-7.0503e-05-0.00070433i,-0.00016495-0.00095343i,-0.00052991-0.00011346i,4.8846e-05+0.0012471i,0.00045718+0.0017353i,4.9311e-05+0.001268i,-0.00051621+0.00092349i,-0.0004215+0.00099552i,0.00015958+0.00088872i,0.00076782+3.0186e-05i,0.0011222-0.00043869i,0.00035725-0.00024235i,2.4175e-05+2.1975e-05i,-0.0003528+0.00015263i
-0.00069603-0.0010918i,-0.00044409-8.8519e-05i,-0.00086898+0.00091472i,-0.00078324+0.0014594i,-0.0010639+0.0011552i,-0.00027775+0.00019955i,0.00047603-0.00019652i,-0.00026788-0.0001102i,-0.00060017-0.00075849i,-0.00067011-0.0007757i,-0.0012915+5.0552e-05i,-0.00076848-7.2803e-05i,-0.00013367+5.458e-05i,-0.00047611+0.00069996i,-0.00090056+0.00097123i,-0.00044572+0.00062771i,0.00035093+0.00063425i,0.00061992+0.00078253i,0.00011342-0.00015992i,-0.00060658-0.0007207i,-0.00093565-0.00067052i,-0.00027511-0.0004607i,0.00058493-0.00050489i
