-0.001587+0.00095115i,-0.00046857+0.00017638i,-0.00010329+0.00011302i,0.0007936-7.6362e-05i,0.00042827+0.00062063i,-0.00057701+0.0014797i,-0.00023335+0.0018593i,0.0010659+0.0016916i,0.0017233+0.00069857i,0.0010815-0.00079508i,8.5016e-07-0.0010061i,-0.0010522-0.00043011i,-0.0015842+4.005e-05i,-0.0011615-0.00044191i,-0.00032208-0.0012089i,-1.339e-05-0.0010299i,0.00074293-0.00060497i,0.0013519+5.6926e-05i,0.00064624+0.0011163i,3.605e-05+0.0012952i,-0.00026671+0.00023031i,-0.00075697-0.00030483i,-0.00070256+7.7857e-05i
-7.124e-05-0.00059096i,0.00030706-0.0006651i,-0.00010058-0.00011795i,-0.0010561+0.0005111i,-0.00069055+0.00095073i,-0.00062503+0.0012776i,-0.00084225+0.0014595i,0.00048106+0.0011067i,0.00038101+0.00029471i,-0.00065959-0.00025993i,-0.00044048+8.6899e-05i,-0.00020961+0.00058635i,-0.00045149+0.00066341i,0.00023704+0.00073453i,0.001114+0.00044529i,0.00072895-3.7001e-05i,0.00027189+0.0005637i,9.4179e-05+0.0011622i,-0.00048364+0.00066284i,0.00020168+0.00068309i,0.00081246+0.00087769i,0.00076445+0.00016404i,0.00047791-0.00040701i
-0.0010424-0.0012831i,-0.00037625-0.00094053i,-0.00065414-0.00050507i,-0.0011101-0.00051367i,-0.00094664+0.00010179i,-0.00044191+0.0009024i,-0.00036658+0.00039537i,-0.000668-0.00011271i,-0.00095024-0.0003093i,-0.00047914-0.00030256i,-6.3107e-05-0.00046892i,0.00076861-0.0011132i,0.00095037-0.0011978i,0.00028824-0.0010672i,0.00055858-0.0005236i,-3.7408e-05+0.00026437i,-0.00057714-4.6921e-05i,7.4685e-05-0.00066041i,0.00019767-0.00066981i,-0.00038478-0.00028238i,-0.00053295+0.00082108i,-0.00064216+0.0009217i,-0.00023498+0.00031526i
-0.0010797+0.00039608i,-0.0011346+0.0013902i,-0.00021486+0.0019568i,0.00082137+0.0020543i,0.00043032+0.00056025i,-0.000519-0.00046165i,-0.00079196-0.00017094i,-0.00025663+3.8085e-06i,-6.1467e-05-7.9595e-05i,-0.00052321+8.5776e-06i,-0.00026672-0.00012433i,3.8941e-05-0.00037224i,-0.00010144-0.00061392i,-0.00013651-0.00035758i,-4.03e-05-0.00053474i,-0.00015598-0.00055614i,0.0001078+0.0007787i,0.00011817+0.00074222i,0.00035269-0.00041742i,0.00072061-0.00018741i,0.00050692+0.00024439i,0.00046205-0.00027816i,0.00027608-0.00046751i
-0.0010033+0.0019867i,-0.00084639+0.0014597i,0.00065261+0.00068882i,0.0017389+0.0002445i,0.0011812-0.00029629i,-1.2791e-05-0.0003874i,0.0001417+0.00044229i,0.00058723+0.0012604i,-0.00025007+0.00057506i,-0.00097292-0.00019012i,-0.0010198-0.00065389i,-0.00098292-0.0011053i,-0.0011219-0.0007755i,-0.00068359-0.00015132i,-0.00027038+0.00068591i,-0.00017937+9.3226e-05i,-0.00019285-0.00071357i,-0.00085725-0.00085191i,-0.00052418-0.00072026i,5.4123e-05-0.00031778i,-0.00047172-0.00012395i,-5.5658e-05-0.00024242i,0.00031428-0.00046716i
0.00048838-0.0014309i,5.3289e-05-0.0012442i,0.00026001-0.0010548i,0.00039368-0.00077292i,0.00035233-0.00083928i,-4.8321e-05-0.00061065i,6.6805e-05-0.00030868i,0.000491-0.00051289i,0.0008315-0.00029401i,0.00040734-0.00011489i,-0.00034138-0.0001853i,-8.0027e-05-0.00024237i,-0.00012821+0.00022446i,-0.00036235+0.00026837i,-0.00023751-0.00023418i,-0.00014555+5.2917e-05i,-0.00010143+0.0002338i,0.00018013-0.00041018i,0.00048745-0.00052138i,-0.00011342-1.0407e-05i,-0.00033656+0.00036175i,-9.2244e-06+0.0010864i,0.00031267+0.00069776i
-0.0017819+0.00094532i,-0.0015371+0.0016586i,-0.00055039+0.0019656i,9.4168e-05+0.0020824i,3.9563e-05+0.0011799i,0.0004312+8.2219e-06i,0.00033956-0.00014532i,0.00013957+0.00030201i,-0.00014604-0.0002958i,-0.00053775-0.00055889i,-7.6115e-05-0.00025089i,9.8969e-05-0.00052249i,-0.00020732-0.0012604i,0.00015257-0.0016228i,0.0004714-0.0011596i,0.00024897-0.00047086i,-0.00044289-0.00018921i,-0.00078189-0.00029572i,-0.00072744-4.4263e-05i,-0.0003406+0.00031147i,-0.00011652-3.6052e-06i,-0.0003137-0.00015379i,-0.00014951-7.8952e-05i
-0.0014877-0.00054939i,-0.0013549+0.00045714i,0.00069245+0.0019129i,0.0016817+0.0011716i,0.0011901-0.0005823i,0.00010392-0.0010569i,0.00014056-0.00031319i,0.0014367-4.2641e-05i,0.0015641+0.00049522i,0.00094686+2.6955e-05i,0.00098946-0.0013279i,0.0005069-0.002165i,-0.00025211-0.0012331i,-0.00034236+0.00040698i,0.00031344+0.00063161i,0.00072442+0.00045375i,0.00055541+9.1494e-06i,0.00041363-0.00036634i,0.00036765-0.00091447i,0.00045988-0.0011549i,0.00043324-0.00047806i,1.7818e-05-0.00026336i,-0.00021596-0.00016755i
0.00097789+0.0022964i,0.00072127+0.00075412i,0.0019834+0.0001399i,0.0013019-0.00013453i,-0.00032726-0.00090597i,-0.00046369-0.00056046i,-0.00037412+0.00041704i,-0.00036768+0.00049641i,-0.00049396+0.00029763i,-0.00033021-0.00084095i,-1.6163e-05-0.0012711i,-0.00048364-0.00039021i,-0.00055936+0.00065484i,-0.00073991+0.0014141i,-0.0005634+0.00081924i,9.604e-05+0.00010774i,0.00018215-3.2123e-06i,-0.00012134-7.7857e-05i,-0.0010253-0.00020015i,-0.0011376-0.00064555i,-0.00035656-0.00016158i,0.0003458+0.00065951i,0.00045683+0.00050327i
-0.0010478+0.0020637i,-0.00055893+0.0018782i,0.00058429+0.0024958i,0.0020744+0.0015792i,0.0025453+3.0055e-05i,0.0017554-0.00022252i,0.0013561+0.00043639i,0.001199+0.0012216i,0.00077402+0.00038064i,0.00019819-9.6364e-05i,7.8613e-05-0.00039443i,-0.00018551-0.00092821i,-0.00081611-0.00090851i,-0.00091682-0.0004406i,-0.0015087+0.000988i,-0.00072859+0.0014725i,0.00053531+0.00083533i,0.00063336+0.00035471i,0.00044503+0.00013718i,-9.6209e-05-0.00028079i,-0.0005067-0.00031075i,0.00040685-0.00016559i,0.0013617-3.0416e-05i
-0.00035208-0.00089952i,7.9963e-05+0.00073975i,0.0002774+0.00085556i,0.0011964+2.9017e-05i,0.0018093+6.614e-05i,0.001216+0.00055458i,0.0004428+0.0012221i,-0.00010315+0.0013302i,-0.00014058+0.00025156i,-4.6353e-05-0.0001147i,-9.1226e-05+0.00065906i,0.00035098+0.00066584i,0.00020533-0.00021328i,0.00039182-0.00043061i,0.00063137+0.00075807i,0.00015376+0.0011783i,0.00047488+0.00076693i,0.00057437-8.6436e-05i,-7.2799e-05-0.0005194i,-0.00047632+0.00026856i,-8.8086e-05+0.00087327i,0.00045006+0.001081i,0.0012389+0.00037698i
-0.0018218-0.0024623i,-0.0025475-0.0018788i,-0.0034876-0.00089324i,-0.0030788-0.00011184i,-0.0014797+0.00076273i,-8.8084e-05+0.00063689i,9.3762e-05-0.00025665i,-0.00017744-0.00084805i,-0.00024343-0.00040632i,-0.00038962-0.00019699i,-0.0012868+0.00020676i,-0.0012095+0.00027988i,-0.00015149-7.1989e-05i,-2.7587e-05-0.00061527i,-0.00029443-0.00023335i,-0.00028609+0.00010395i,0.00015074-3.0651e-05i,0.00011262-0.00012894i,0.00010721-0.00059859i,-3.3999e-05-0.0003212i,-0.00096861+0.00013083i,-0.00086487-0.00023463i,6.7268e-05-0.00055827i
0.00097468+0.00038836i,0.0012813+0.0001835i,0.0014085+0.0002212i,0.0017913-5.2608e-05i,0.0018569-0.00019154i,0.0019214-0.00050973i,0.0015555-0.00020116i,-0.00048487-0.00035455i,-0.0011955-0.0014606i,-0.00052313-0.0017482i,-0.00050981-0.0010829i,-0.00037535-0.00038847i,4.3232e-05-0.00050372i,-4.5136e-05-0.0002406i,-0.00063055+0.0004272i,-0.00054229+0.00087797i,-0.0005892+0.00069056i,-0.00043625+0.00062256i,0.00017906-2.7308e-05i,-0.00022248-0.00065499i,-0.00065206-0.0004934i,-0.00034704-0.00076008i,0.00063421-0.00091097i
-0.0023675+0.00044146i,-0.0023772+0.0011116i,-0.00094662+0.0025098i,4.2658e-05+0.0024144i,0.0012348+0.00082127i,0.0010871+0.00072271i,0.00076036+0.00085528i,0.0007562+6.0387e-05i,1.4005e-05-0.00070467i,-0.00089398-0.0010036i,-0.00083604-0.0013085i,4.0382e-05-0.0010335i,-0.00067317-0.00041299i,-0.0011913+0.00017206i,3.9974e-05+0.00018311i,0.00042011-0.00029392i,0.00032689-0.00016552i,0.00049588-0.00029986i,0.00024276-0.00043042i,-0.00032621-0.00067142i,-0.00071024-0.00033461i,-0.00019494+0.00033416i,0.00022455+0.00059851i
-0.0015751-5.626e-05i,-0.00078594+0.00070125i,-0.00029628+0.00040863i,-0.00075394-0.00031336i,-0.00039156-0.00043335i,0.00062609+0.00033955i,0.00043844+0.00069719i,-2.9317e-05+9.3005e-05i,-8.1261e-05-0.00040769i,2.2869e-05+0.00017022i,-0.00029266+0.0003267i,-0.00085158-0.00029459i,-0.0009424-0.00014143i,-0.000212+0.00043995i,5.9329e-05+0.00038962i,0.00024005+0.00012784i,0.00013168+0.00015056i,-0.00017016-0.00029066i,-0.0002995-0.00039775i,-0.00046912+0.00021919i,-0.0004872+0.00040369i,0.00032488+0.00075074i,0.00050002+0.00068116i
-0.0015558-0.001879i,-0.00079134-0.0021441i,-0.0010413-0.0010803i,-0.0011458+0.001041i,7.3724e-05+0.0022094i,0.00067382+0.0020789i,0.00029902+0.0018883i,7.027e-05+0.0005198i,0.00010572-0.0005565i,-0.00012301+5.0263e-05i,-0.00014841-0.0001289i,2.1054e-05-0.0010281i,-0.0001961-0.00092616i,6.8025e-05-0.00051068i,0.00042194-0.00023738i,0.00029539-0.00018459i,0.00013322-0.00053537i,2.4256e-05-0.00088642i,-8.7939e-06-0.0008142i,-0.00024961-0.00046642i,-0.00027779-0.00048681i,-4.1213e-05-0.00047598i,-0.00038226-1.7432e-06i
0.001297+0.00084966i,0.001367+0.00101i,0.00016932+0.00073565i,-0.00090029-0.00068804i,-0.00065214-0.0013926i,-0.00033559-0.00088101i,-0.00041964-0.00056565i,-0.00049152-0.00055264i,-0.00069146-0.00075859i,-0.00040741-0.00045542i,-7.7555e-05+7.5691e-05i,-0.00013962-0.00085592i,-0.00022526-0.0010705i,-0.0003726+0.00013381i,-0.00077791+0.00038387i,-0.00083525+0.00014227i,-0.00024971-0.00036681i,-0.00067211-0.00055118i,-0.0015076-0.00032744i,-0.0010668-0.00034806i,-7.4894e-05-6.5688e-05i,0.00056372-0.0003286i,0.00026077-0.00099952i
-0.0032871+2.9224e-05i,-0.0026453+0.00096301i,-0.002082+0.0019688i,-0.0011742+0.0027242i,-9.4265e-05+0.0025274i,0.00084778+0.0010875i,-8.4203e-05+0.00063397i,-0.00050786+0.00035413i,0.00068913+2.9264e-05i,0.00068634-0.0002067i,0.00032785-0.00059051i,-0.00015519-0.00032968i,-0.00027315-1.7484e-05i,0.00051505-0.00011079i,0.00050903+1.4191e-05i,0.00049325-0.00019391i,0.00054209+1.3338e-05i,-0.00024357-0.00023212i,1.2631e-05-0.00064646i,0.00031606-5.3606e-05i,-0.00021572-4.8743e-05i,-0.00038859-0.00025814i,-0.00058031+4.6715e-06i
-0.0011276+0.0012724i,-0.00099289+0.00096872i,-0.0010183+0.00095488i,-4.5938e-05+0.00025945i,0.0013871-0.0010222i,0.00062966-0.00050683i,-0.00012932-3.6777e-05i,0.00024518+2.0927e-05i,0.0001795+0.00043831i,6.953e-05+0.00014441i,0.00010784+3.2258e-05i,0.00016165-0.00077153i,0.00017617-0.0019565i,-1.9495e-05-0.0010042i,-0.00056075-0.00012727i,-0.0002983+0.00011871i,-0.00039098-0.00044576i,-0.00045264-0.0012799i,0.00016064-0.00080339i,0.0008045+0.00033805i,0.001184+0.00082543i,0.00059007+0.00031386i,0.00026116-0.00010124i
0.0011264-0.00086285i,0.00086066-0.0013443i,0.001336-0.0011061i,0.00080683-0.0005413i,0.00022412-0.00035942i,-0.00042609+0.00012563i,-0.00047567+0.0013082i,0.00011495+0.0014884i,-0.00013906+0.00062281i,-0.00079209+9.0931e-05i,-0.0014399-0.00052424i,-0.0017409-0.00066636i,-0.00039427+0.00015188i,0.00048313+0.00078686i,0.00052044+0.00072879i,0.00018693+0.0008297i,0.00025839+0.00025591i,0.0011345-0.00042787i,0.00098422-0.00030653i,0.0001633-0.00018516i,-4.2858e-05-0.00059042i,-0.00021805-0.00052464i,0.00010309-0.00020731i
0.00087078+0.00032381i,0.00023727+0.00069221i,0.0010474+0.00028832i,0.0010844+0.00010146i,0.00092647-0.0003936i,0.00066911-0.00084583i,1.3694e-05-0.0001486i,9.4574e-05-0.00032361i,-2.1274e-05-0.000686i,-0.00083198-0.00074561i,-0.0010512-0.00034055i,-0.0001834+0.00066488i,0.00074155+0.00076044i,0.0006459+0.00019538i,0.00028527-0.00014353i,0.00014967-0.00026466i,0.00018864-0.00048498i,-0.00040494-0.00034101i,-0.00064399-0.00034718i,0.00016501-0.0010133i,0.00014101-0.00089806i,-4.0203e-05-0.00046468i,0.00045298-0.00025609i
0.0017635+0.00034862i,0.00094233+0.00066544i,0.00020016+0.00049999i,0.00053504+0.00012541i,0.00066389-9.0523e-05i,0.00015704+5.3043e-06i,0.00052966+0.00032138i,0.00058851+0.00072014i,-0.00019379+0.00040153i,-0.0010137+0.00014678i,-0.0014256-0.00023602i,-0.00083908-0.00066389i,-0.00032632-0.00035362i,-0.00038087+3.7823e-05i,6.8837e-05-0.00024888i,6.0164e-05-0.00035527i,-0.00036313-7.5916e-05i,0.00015019+0.0002292i,0.00059174+0.00042751i,0.00091809+0.00046373i,0.0010629+0.00031645i,0.0001559-0.00052615i,-0.00091988-0.00021816i
-0.0020937+4.1096e-05i,-0.00066806+0.00094424i,-6.9466e-07+0.0018703i,-0.00012847+0.0011736i,-0.00031478+0.00091691i,-0.00017677+0.00094867i,6.4486e-05+0.00027355i,0.00046708-0.00031503i,0.00044993-0.00069346i,-0.00011092-0.001145i,-6.9186e-05-0.00063114i,0.00046139-0.00052333i,-3.0055e-05-0.00031933i,-0.00065501+2.5285e-05i,-0.00023538-0.00012961i,0.00024061+0.00012183i,0.00038801+0.00013138i,0.00047196+7.7494e-05i,0.00043867-6.0847e-05i,0.00053603+0.00024693i,0.00041293+0.00016299i,0.00054563+4.1099e-05i,0.00050514-0.00014924i
0.0036023-0.0011193i,0.0041664-0.00066471i,0.0037362-0.0023745i,0.0023171-0.0035148i,0.00073028-0.003043i,0.00040978-0.0016065i,0.00082291-0.00053873i,0.00052892-0.00017448i,0.00024692-0.00015256i,-0.00046733-0.00086822i,-0.00069404-0.0013919i,-0.00056743-0.001096i,-0.00066655+0.00038769i,-0.00036965+0.00097661i,-0.00037265+0.0008231i,0.00017826+0.00047098i,0.00016151-0.00010895i,-0.00048941-0.0002141i,-0.0011093-0.00059679i,-0.0010022-0.00092369i,0.00012804-0.0004689i,0.00083801-0.00033932i,0.00026239-0.00064722i
-0.00052194-0.00090748i,-0.00080674-0.00082381i,-0.002384-0.0010121i,-0.0026551-0.00072407i,-0.0016708-0.00042337i,-0.00073722-0.00040909i,-0.00049142-0.00011822i,-0.00010999+0.000545i,0.00040508+0.0002673i,0.00035416-0.00021514i,-0.00031379-0.00016836i,1.5466e-06-0.00050133i,0.00045926+7.7916e-05i,0.001078+0.00032271i,0.00068776-0.0002754i,-9.8061e-06-0.00055257i,0.00037871-0.00078633i,-7.8029e-05-0.0007783i,-0.00069665-0.00068026i,-0.00080034-0.00069581i,4.3119e-06-2.2037e-05i,0.0011236+0.00026776i,0.00059498-0.00014996i
-0.0011542+0.00049009i,-0.0015916-0.0003168i,-0.00020235-0.00095209i,0.00035484-0.00029375i,0.00073751-0.00013279i,0.00068673-0.00057186i,-0.00016599-0.00019124i,1.0983e-05+0.00045209i,0.00045473-4.7519e-05i,-0.00015084-0.0010173i,-0.0004808-0.00085487i,-0.00019369-0.00026597i,5.4962e-05-0.00053335i,-0.00032245-0.00099395i,-0.00043012-0.0011036i,-9.7395e-05-0.00033319i,-0.00071084-0.00029194i,-0.0010561-0.00038175i,-0.0001475+0.0013741i,0.00035552+0.0023709i,0.00071724+0.0016669i,0.00024157+0.00089299i,-0.00034831+0.00028912i
