-3.7009e-05+0.00080734i,0.00010924+0.00044882i,-0.00058126-0.00062746i,-0.00091835-0.0013911i,-0.0020551+0.00026325i,-0.0024428+0.0023083i,-0.00052873+0.003224i,0.0011484+0.0025639i,0.0017278+0.0010733i,0.0016551-0.00039368i,0.0010815-0.0013791i,0.00063461-0.0019947i,0.00023587-0.0016189i,-0.00011768-0.00051057i,-0.00077742-3.5449e-05i,-0.0014584-1.4747e-05i,-0.0013693+0.00030705i,-0.0013167+0.00052871i,-0.001066+5.7712e-06i,-0.0010635-0.00043542i,-0.0011082+0.00034451i,-0.00073283+0.00086165i,6.4147e-05+0.00073431i
0.00023529+0.0014441i,0.00038368+0.00097451i,-0.0010092+0.00073473i,-0.00095525+0.0015351i,0.00040313+0.0022237i,0.00074359+0.0020535i,0.0011663+0.0012865i,0.0010972+5.3995e-05i,0.00016457-0.00091581i,0.00012531-0.0015463i,0.00091615-0.0014646i,0.0009193-0.00059985i,0.001044-0.00058402i,0.0017515-0.00075376i,0.00098328-0.00072778i,-2.9902e-05-0.00061659i,1.759e-05+0.00030068i,-0.00052522+0.00056583i,-0.00035065+2.5994e-05i,0.00058973-0.00014617i,0.00066772+0.00073363i,-7.9813e-06+0.00075948i,-0.00098334-0.00023864i
-0.0010736+0.00014303i,-0.0018005+0.00020925i,-0.0013532+3.737e-05i,3.4924e-05-0.00050642i,0.00068306-0.00070954i,0.00098165-0.0003853i,0.00074747+0.00038965i,-0.00015809+0.00078533i,-0.00027974+0.00058137i,-9.6981e-05+0.00069624i,-0.00017795+0.0004466i,-0.00030887-9.4305e-05i,-0.00022178-0.00057347i,0.00030112-0.00053017i,0.00082724-0.00064602i,0.00086766-0.00055853i,0.00067607-0.00045436i,0.00070915-0.00024745i,0.00096053-0.00028613i,0.00089383-0.00050777i,0.00017438-2.9616e-05i,-0.00076104+0.00052684i,-0.00034537+0.00018873i
0.0011336-0.00032369i,0.00089564-0.00067556i,0.00060103-0.00057354i,0.00039271-0.00035933i,-0.00069945+0.00046864i,-0.0018896+0.0024954i,-0.00055911+0.0024195i,0.00075021+0.001225i,0.00026808+0.00050737i,-0.0001136-0.00067571i,0.00026222-0.00083588i,4.529e-05+0.00025053i,-0.00051805+0.00076869i,-0.0011028+0.00047819i,-0.0013857+0.00044837i,-1.1376e-05+0.00069271i,0.00056093+0.00059086i,-0.00019557+1.9533e-05i,-0.0006392-0.00024369i,-0.00076251-7.242e-05i,-0.000505+0.00015005i,-0.00065292+0.00032761i,-0.00023452+0.00062631i
0.0011001+0.00011719i,0.0016683+0.00076079i,0.0013825+0.00022596i,-6.3627e-05+0.00020253i,-0.00032339+0.00098354i,0.00029519+0.001317i,0.0011209+0.0013479i,0.0012354+0.0005215i,0.00042787-0.00086634i,0.00046029-0.00097513i,0.0010358-2.5246e-05i,0.0010306+0.00064647i,0.00067269+0.0005455i,0.0003345+0.00042618i,5.8162e-05+0.0002865i,0.000103+0.00037523i,0.00021981+0.00056676i,-0.00077241+0.00075755i,-0.00089252+0.0013544i,0.00013197+0.0010758i,0.00072133-1.4155e-06i,0.00077137-0.00097173i,0.00029236-0.0010729i
-0.0018089-0.00022224i,-0.00138-0.00039112i,-0.0012262-1.5705e-05i,-0.0001323+0.00034724i,0.00098121+0.00035151i,0.00097229+0.00013323i,0.00075289-0.000275i,0.00094107-0.00022771i,0.0006948-6.7861e-06i,0.00040077+0.0004249i,0.0007958+0.00037234i,7.9268e-05-0.00043382i,-0.0012843-0.00094112i,-0.00118-0.00085745i,-0.0003101-0.00012746i,-0.000132+0.00025555i,-0.0004711-7.8047e-05i,-0.00023464-0.00025932i,0.00028479+0.00016785i,0.00023352+0.00013503i,0.00051049+4.9352e-05i,0.00032171+0.00026192i,-0.00011193+0.0005722i
-0.00086192+9.0269e-05i,-0.00060559-0.0007558i,-0.0014128-0.00042131i,-0.0022502+0.0005136i,-0.00183+0.001333i,-0.00073696+0.0011482i,-0.0003233+0.00080276i,-0.0011704+0.00069469i,-0.0011429-0.00017817i,-0.00045928-0.00023572i,0.00012571+0.00040656i,0.0004653-0.00011435i,0.00030548-0.00068034i,-9.1971e-06-9.9295e-05i,-0.00027728-3.7169e-05i,-0.00033423-0.00049354i,-0.00026501-0.0003238i,-1.1207e-05-0.00029986i,-3.5677e-05-0.00023428i,-7.1615e-05-4.442e-05i,-0.00061299-0.00013477i,-0.00067244+0.00019521i,-0.00028157+0.00019941i
-0.0010354+0.0013314i,-0.00046812+0.0025314i,0.00056662+0.0031211i,0.00083404+0.0014449i,-0.00038876+0.0007951i,-0.00052222+0.0015712i,0.00041474+0.0016493i,0.00080229+0.00074542i,0.00048547-2.1993e-05i,3.012e-05-0.00016234i,0.00023646-0.00031606i,7.0941e-05-4.6852e-05i,-0.00066194-0.00041602i,-0.00074299-0.00035915i,-0.0009043-6.1852e-05i,-0.0010475-7.9663e-05i,-0.00026063+4.7874e-05i,0.00030911+8.7535e-06i,0.00052584-0.000248i,0.00031768-0.00014836i,0.00062627+7.3826e-05i,0.00058416+0.00012402i,0.00028988-0.00012946i
0.00029043-0.00045013i,-9.3602e-05-0.00029536i,-0.00075039-0.00059157i,-0.00098484-0.00076942i,-0.00035646-0.00034772i,4.9074e-05+0.00061961i,9.8373e-05+0.0013349i,2.2121e-06+0.00028867i,-0.00028825-0.00072352i,-0.00091684-0.00021256i,-0.001917-7.0464e-05i,-0.0014678+7.5675e-05i,-0.00022448+0.00010321i,-3.4226e-05+0.00031982i,-0.0002322+0.00030969i,-0.00033033-9.4274e-05i,-2.2461e-05-0.00040339i,0.00038911-0.00080628i,0.00041015-0.00042683i,0.001153+0.00017359i,0.0010582+0.00020301i,0.00013136-3.8968e-06i,-0.00026305+7.634e-05i
-0.0010272+0.00049113i,-0.0016356-0.00021326i,-0.00087022-0.00031287i,-0.00089684-0.00023896i,-0.0003555-3.8735e-05i,0.00054231+0.0008764i,0.00017818+0.001045i,0.00023181+0.00077064i,0.000273+0.0010186i,0.00021856+0.00062392i,0.00010486+0.00080287i,-0.00077681+0.0009224i,-0.0010785+0.00068158i,-0.00014922-0.00019156i,0.00041571-0.00065298i,-0.00012433+0.00015696i,-0.00048448+0.0011174i,-0.00073117+0.00057975i,-0.0002186+0.00030032i,0.00090719+0.0007992i,0.0004542+8.5673e-05i,-0.00044037-0.0006022i,-0.00063836-0.00061377i
-0.00072646+0.0025818i,-0.00015373+0.0024937i,-0.00026357+0.0014835i,-0.00045548+0.0018409i,0.00013718+0.0017627i,1.4538e-05+0.0012481i,-0.00033163+0.0015231i,0.00017889+0.00079615i,0.00038513-0.00025567i,0.00021235-0.00096295i,-0.00022235-0.0017709i,-0.00050991-0.0014282i,-0.00090217-0.00062105i,-0.00071209-0.00024904i,-0.0001113-0.00046085i,-2.988e-05-0.00079515i,-5.2046e-06-0.0008441i,0.00040355-0.00067021i,0.00047819-0.00039802i,3.7992e-05-0.00054289i,-4.1206e-05+0.00051814i,9.7167e-06+0.00037459i,0.00074964-0.00039443i
