-0.0017607+0.00059019i,-0.0001784-0.00077423i,0.0012421-0.0028261i,0.002626-0.004173i,0.0021698-0.0045852i,0.00027892-0.0025846i,-0.00029994+0.00025185i,0.00030155+0.00085986i,0.00046505+0.00018405i,0.00046947-0.0001776i,7.4172e-05-0.00068281i,-0.00060406-0.00085606i,-0.001085-0.0009199i,-0.0013808-0.00063096i,-0.0011318-0.00017495i,-0.00047815+0.00045945i,-9.8055e-05+0.00066051i,-0.00032784+8.38e-05i,0.00016893+7.0716e-05i,0.00056013+0.00046591i,0.00043384+0.00076326i,0.00060422+0.00015381i,0.00041848-0.00082936i
-0.00032677-0.00071172i,0.0019953-0.00063141i,0.0039903-0.0010584i,0.0053642-0.0028332i,0.0042774-0.0038948i,0.0012432-0.0033532i,-0.00075385-0.0019979i,-0.00075505-0.00059142i,-0.0005139+0.00057365i,-0.00050074+0.00079518i,0.00020741+6.9094e-05i,0.00073336-0.00012015i,0.00081298+0.00014927i,0.00050218+0.000516i,-0.00059841+0.00073093i,-0.00056435+0.00054919i,0.00043983+0.00024165i,0.00028109+0.00050975i,-0.00032953+0.00096639i,-0.00010356+0.00034489i,0.00051861+5.6135e-06i,0.00085935+9.8463e-05i,0.00083986+0.00046677i
0.0010587+0.0014945i,0.0022041+0.0010703i,0.0050501+0.00025067i,0.0063958-0.00073883i,0.0046454-0.0017844i,0.0012463-0.0010964i,-0.00061958+0.00058828i,-0.00061662+0.00089594i,-0.00041742+0.00074421i,-7.253e-05-0.00037389i,0.00017876-0.00081961i,-0.00031582-0.00039433i,-0.00073096+0.00010581i,-0.00075695+8.5731e-05i,3.0266e-06+8.8095e-05i,0.00039108+0.0010433i,0.00020039+0.0013413i,-0.0004239+0.00051796i,-0.00044088+0.00024671i,-0.00052391+0.00028252i,-0.0010492-0.0002405i,-0.00059738-0.00067568i,-0.00025458-0.00091066i
0.00061532-0.00063166i,0.0013748-0.00080011i,0.0026583-0.0019234i,0.004098-0.0042112i,0.003186-0.0043025i,0.0005152-0.002884i,-0.00076718-0.001312i,-0.00012204-0.00055051i,0.00092853-0.00021567i,0.00079118-0.00047647i,-0.00028934-0.0009691i,-0.00064329-0.00068131i,-0.00033682-7.456e-05i,-2.6387e-05+2.3302e-06i,0.00026771+0.00026881i,0.00040246+0.0012856i,-0.00031501+0.0018016i,-0.0010094+0.0017483i,-0.00035696+0.0010819i,-0.00057065+0.00037942i,-0.00094255+0.00073736i,-0.0009841+0.00092691i,-0.00079886+0.0002234i
-0.0010383+0.0014293i,0.00033429+0.00068226i,0.0030602+0.0005555i,0.0050863-0.0012923i,0.0041626-0.0028029i,0.0014942-0.0022118i,0.00017284-0.0009592i,2.0189e-05+7.6307e-05i,0.00074618+3.44e-05i,0.00082898-5.6485e-05i,-0.0002577+5.5927e-05i,-0.00054365+0.00026129i,-0.0004658+0.00056631i,-0.00085742+0.00036613i,-0.00093117+0.00049957i,-0.00060869+0.00070639i,-0.00029521-0.00023658i,4.513e-05-0.00046392i,-0.00020087-8.3313e-06i,-0.00088322+0.00024077i,-0.0010802+0.00029972i,9.6091e-05+0.00039904i,0.0011524+0.00052732i
0.0025043-0.00075873i,0.0026926+0.00028163i,0.0036781-0.00079712i,0.0043916-0.0035329i,0.0031241-0.0040908i,0.00091791-0.0020767i,0.00051169-0.0007951i,0.0013317-0.00017231i,0.00055997-0.00060718i,-0.00042941-0.0010698i,-0.00070106-0.00083957i,-0.0004249-0.0008521i,0.00019079-0.00069766i,0.0011389+3.3157e-06i,0.0016911+0.00058106i,0.00092548+0.00044854i,-0.00017746+0.00051433i,-0.00038861+0.00028039i,0.00029996+5.4724e-05i,8.9352e-05-3.4239e-05i,-2.9703e-05+0.00038927i,9.5446e-05+0.0007979i,0.00070728+0.0001969i
0.0011139+0.00046707i,0.0017184-2.975e-06i,0.0028587-0.00051176i,0.0049629-0.0019225i,0.0041441-0.0039475i,0.0011551-0.0035845i,-0.00049504-0.0012829i,-0.00099801-0.00024851i,-0.0012913-0.00075232i,-0.00045002-0.0007937i,0.0003509-0.00026909i,-3.9786e-05-1.5819e-06i,-0.00059998-0.00019781i,-0.00040803-0.00063566i,-0.00068177-0.00026159i,-0.00075709+0.0010067i,-0.00039836+0.0012592i,-0.00036395+0.0010699i,-0.00014047+0.00062892i,0.00054407-0.00047422i,0.0009249-0.00095735i,0.00082544-0.00014113i,0.00088973+0.00023289i
-0.00060671+0.0010084i,0.00024246+0.00041859i,0.0024946-0.00058237i,0.0043484-0.002432i,0.0035814-0.0030514i,0.0014302-0.0011833i,0.00021656+0.00052569i,-0.00052345+0.00042318i,-0.00075762+9.5184e-05i,-0.00011928+6.6361e-05i,0.00030892+5.4256e-05i,-0.00013704-0.00015414i,-0.00024936-0.00087537i,-0.00049991-0.00072657i,-0.00040988-0.00043569i,0.00018816-4.6183e-06i,0.00019293+0.00036021i,0.0002183+0.00044929i,0.00012012-1.8064e-05i,-0.00037477+2.4022e-05i,-0.00065099-0.00013352i,-0.0006144-0.00043863i,-0.0001686+3.8583e-05i
-0.001078-2.0358e-05i,0.00017393-0.00056754i,0.0030687-0.00067206i,0.0039876-0.0012918i,0.0033636-0.0019713i,0.0025355-0.001377i,0.0010684-0.00014298i,1.6573e-05+9.9149e-05i,-0.00021635-0.00058133i,-0.00017427-0.0010799i,-0.0001645+2.9909e-05i,-0.00013271+0.00064009i,-0.00032611+0.00044701i,-0.00072169+0.00044133i,-0.00052713+0.00042074i,-0.00064516+2.3951e-05i,-0.00018912-0.00021686i,0.00049039-0.00027834i,-0.0001202+0.00059664i,2.6064e-05+0.00080169i,0.00088677+3.9429e-05i,0.00085398+0.00057641i,-0.00021515+0.00040982i
-0.00017778+0.0014068i,0.0013621-0.00036344i,0.0047826-0.00090216i,0.0064915-0.0010758i,0.0041196-0.0016306i,0.0004839-0.0020122i,-0.00068369-0.0010607i,-0.00024161-0.0003964i,0.00017584-0.00046316i,0.00031165-0.00038733i,0.00010298-0.0005223i,-2.2782e-05-0.00023911i,-0.00015291+0.00027432i,-0.00033436+0.0009341i,-0.00032535+0.001039i,-0.00015278+0.00094206i,-0.0004576+0.0012256i,-0.00035599+0.00089844i,-0.00013255-8.3672e-05i,-0.00014033-0.0008788i,2.5029e-05-0.00053725i,0.00049229-7.1157e-06i,-5.5398e-05-0.00031086i
0.00079077+0.0017166i,0.0019249+0.00082536i,0.004911-0.00048778i,0.0069319-0.0031269i,0.0049657-0.0037524i,0.0024073-0.0025309i,0.00027119-0.0015921i,-0.00089888-0.00064413i,-0.00012832+0.0004392i,0.00071874+0.00030109i,-0.00025785-0.00067659i,-0.00075646-0.00095765i,-0.0014187-0.00048189i,-0.0021087+0.00046314i,-0.001106+0.00098584i,-0.00079234+0.00039053i,-0.0010914+0.00033503i,-0.00094238+0.00069663i,-0.00069559+8.2267e-05i,-0.00049492+8.7816e-05i,-0.00021408+0.00043747i,0.00070339+0.00028044i,0.00067762+0.00049682i
0.00050716-0.0003382i,0.00084479-0.00015187i,0.0025292-0.00014802i,0.0034048-0.0021095i,0.001479-0.0031535i,-0.00015616-0.0014352i,0.00031365-0.00046573i,9.7179e-05-0.00067014i,0.0001595-0.00067158i,0.00098257-0.00038082i,0.00033767-0.00090012i,-0.00056487-0.0016381i,-0.00057481-0.00069999i,-0.00088646+0.00066214i,-0.00029346+0.00061808i,0.0005626+0.00065513i,0.00095613+0.001599i,0.00073785+0.0012246i,0.00021995+0.00014053i,-0.00018932-0.00036103i,0.00024424-0.0007806i,0.00039984-0.00055279i,-0.00017384-0.00034377i
0.00042018-0.00035338i,0.00071945-0.00095253i,0.0027389-0.0007948i,0.0044981-0.0018426i,0.0026616-0.003042i,-8.2245e-05-0.0019966i,-0.00033176-0.00011972i,0.00018481+0.00075979i,0.00067094+0.00065963i,0.0010942+0.00027033i,0.00092909-0.00044316i,0.0011513-0.00024209i,0.00086163+0.00054885i,-0.00013298+0.00032771i,-0.00020715+0.00056551i,-4.3284e-05+0.00058846i,-5.3347e-05-0.00013695i,-0.00011992+5.465e-05i,-7.4884e-05+0.00010908i,-0.00016462+0.00045412i,-0.00035487+0.0007186i,-0.00038861+0.00045511i,0.00047327+0.00046622i
0.0012374-0.00010864i,0.0020776+0.00096545i,0.003771+0.00077032i,0.0053614-0.00065645i,0.003519-0.0020929i,0.00079083-0.0011969i,0.00061438+0.00056086i,0.0011447+0.00080058i,-0.00014156+0.00081794i,-0.00080416+0.00035362i,-0.00010778-0.00031795i,0.00068763+0.00045571i,0.00061559+0.0011569i,0.0001635-7.8248e-05i,0.0004469-0.0015948i,-0.00021304-0.001868i,-0.00097919-0.0010961i,-0.00073969-0.00010705i,-0.0004942+0.00024997i,-0.00018709+0.0010676i,-1.7377e-05+0.0012896i,6.2561e-05+0.00072537i,8.2061e-05+6.2856e-05i
0.00027052-0.0002486i,0.00095531+0.00057586i,0.0028596+0.00039621i,0.0041523-0.00071253i,0.0035428-0.0018277i,0.0021179-0.0013294i,0.0013851-0.00020221i,0.0007814+0.00017444i,0.0002204+0.00025972i,0.00049028-1.7687e-05i,-7.8665e-05-0.00065744i,-0.00030642-0.0011832i,-0.00039294-0.00094531i,-0.0012017-0.00033834i,-0.0010699-0.00011737i,-0.00067629+0.00059659i,-0.00052666+0.0010112i,-0.00069492+0.00011643i,-0.0012571-0.00050072i,-0.00057664-0.0002567i,0.00047915-0.00058997i,0.00077334-0.00067866i,0.0010178-0.00022218i
0.00043815+0.0014589i,0.0012296+0.0011878i,0.003835-0.00030981i,0.0055618-0.0022351i,0.0043758-0.0041678i,0.0015936-0.0029586i,0.00025486-0.00077672i,7.001e-05-0.00052756i,0.00017646-0.00059061i,-0.00010019-0.0009022i,-0.00089425-0.0013682i,-0.001426-0.0010488i,-0.001447-0.00056362i,-0.00075654-0.00025912i,0.00018422+6.4318e-05i,2.7923e-05+0.00096656i,-0.00054225+0.0014245i,1.0876e-05+0.00045088i,0.00050116+0.00040647i,0.0005175+0.0007653i,0.00096422+0.00056864i,0.00063834+0.00015765i,0.00030661-2.4645e-05i
0.0014273-0.00047255i,0.0012124+0.00066919i,0.0024364-0.00038533i,0.0027401-0.0023604i,0.0018324-0.0029522i,0.00021458-0.001208i,-0.0011347+0.00077972i,-0.0011689+0.00066401i,0.00049534-0.00048556i,0.00080687-0.00060144i,-0.00041512-3.5779e-05i,-0.00055258+0.00087906i,-0.00013483+0.0014112i,-0.00019679+0.00076155i,-8.14e-05+2.9403e-05i,-0.00019853+0.00042294i,-0.00041235+0.0010592i,0.00063761+0.0013475i,0.0015185+0.0012525i,0.00047293+0.0011342i,-0.00070808+0.00051495i,-0.00024353-9.7259e-05i,-0.00021986-0.00030261i
-0.00094345-0.0018417i,4.3327e-05-0.0017602i,0.002462-0.0017722i,0.0040122-0.0027566i,0.0027209-0.0034693i,-5.5516e-05-0.0018393i,-0.0013453-0.00047111i,-0.00051286-0.00061386i,0.00023651-0.00090217i,0.00037948-0.0013891i,0.00032862-0.00055209i,-0.00022255+0.00011742i,-3.7089e-05-0.00020343i,0.00056533+3.5737e-05i,0.0002031-0.00011137i,-0.00021416+0.00043062i,-0.00037533+0.0013922i,-0.00042561+0.0013701i,0.00030985+0.00137i,-0.00018877+0.0013166i,-0.00062173+0.00042615i,-0.00018157-0.00039076i,-0.00025504-0.00052005i
0.0007393-0.0010734i,0.0018288-0.00052072i,0.0035613-0.00099089i,0.0049844-0.0023987i,0.0034892-0.0022842i,0.0010293-0.00046379i,0.00022153+0.00052232i,-6.0191e-05-7.5958e-05i,-0.00023353-0.00023303i,3.6786e-05+0.00016184i,0.0002008-0.00021707i,0.00033382-0.00023463i,0.00083687+0.00038547i,0.00041157+0.00043854i,-0.00051074+0.00010214i,-0.00036055-0.00072661i,0.00012876-0.00049774i,-0.00049926+0.00082596i,-0.00061578+0.0010721i,8.5226e-05+0.00092901i,0.00015446+0.00046581i,-4.1548e-06-0.0003234i,-0.00049484-0.000673i
0.0019407+0.0010876i,0.0028554+0.00057612i,0.0048267-0.0016011i,0.0058731-0.0033878i,0.0038768-0.0032874i,0.00050816-0.0011482i,-0.00088356+0.00019079i,-0.0005975+0.00038965i,-0.00045426+0.00020025i,-0.00038424-0.00012275i,-0.00052975+0.00011379i,-0.00087885+0.00033527i,-0.00084644+0.00053357i,-0.00051554+0.00089034i,-0.00069896+0.00054335i,-0.00078457-0.00012668i,-0.00075077-0.00021881i,-0.0014919-0.00014153i,-0.0017835-0.00020594i,-0.0010489-0.00010259i,-0.00032718-0.00015834i,3.0008e-05-9.5928e-05i,0.00022688+0.00013049i
-0.00092468+0.0023747i,0.00094586+0.0022228i,0.0040779+0.0017804i,0.0056798-0.00062335i,0.0038289-0.0021978i,0.0017683-0.00095914i,0.001257-0.00024245i,0.00062001-0.0011383i,-7.0311e-05-0.0016385i,0.00020288-0.001495i,0.00065646-0.0017171i,6.2622e-05-0.0016878i,-0.00041293-0.00077872i,-0.00010816-0.00017094i,0.00035502+2.0075e-05i,6.9266e-05+0.00045884i,-0.00024423+0.00078146i,-0.00027327+0.00054251i,-0.000933+0.00024868i,-0.0016268-0.000143i,-0.001454+0.00012287i,-0.00026446+0.0005365i,0.00054636-0.00011472i
-0.00099097-0.00039054i,-0.00071712-0.00045744i,0.0016726-0.00072138i,0.0035266-0.0021502i,0.0023967-0.0027832i,0.00016495-0.0017336i,-0.00011386-0.00045746i,0.00025681-0.00027358i,0.000801-0.00066755i,0.0010357-0.00041923i,-0.00014237-7.9718e-05i,-0.00026649+0.00011921i,0.00011807+0.00067682i,-0.0003348+0.00052383i,-0.00052645+0.00034147i,-0.00071353+0.00089216i,0.00015462+0.0008473i,0.0006214+0.00084895i,0.00019112+0.00084152i,0.00026768+0.00044929i,0.00019215-0.00022999i,-0.00016652-0.00029184i,-0.00069293-0.00041987i
-0.00011049-0.00098302i,0.0015986-0.0010488i,0.0036939-0.0020284i,0.0044704-0.0027609i,0.0029214-0.0023395i,0.0010237-0.0015754i,0.00034153-0.00062968i,7.1346e-05-0.0004226i,6.0457e-05-0.00058131i,0.00011004-0.00044113i,-0.00048029+3.2508e-05i,-0.00046307+3.4377e-05i,-0.00031149+0.00037953i,-0.00087289+0.00087781i,-0.0013065+0.00078551i,-0.00082121+0.00025588i,-7.5576e-05-0.00012137i,-0.00030666+0.00030283i,-0.00044537+0.00079505i,1.8718e-05+0.00029884i,0.00010573-5.5343e-05i,-5.2538e-05+0.00020005i,-0.00049642+9.4893e-05i
0.0015993+0.00056209i,0.002814+0.00058727i,0.003743-0.00034236i,0.0050001-0.0022934i,0.0032838-0.00308i,0.00073819-0.0028085i,6.3527e-05-0.0014015i,-0.00028409-3.6427e-05i,-0.00028704+0.00068804i,-0.00020548+0.00060102i,-0.00022829-9.1906e-05i,-0.00017392-0.0002321i,-2.0199e-05+0.00086768i,0.00015246+0.0010741i,-0.00026743+0.0014295i,-0.00037345+0.0012141i,-0.00070883+6.2411e-05i,-0.00075621-0.00029298i,-0.00012729+5.7069e-05i,0.00036071+0.0012288i,0.00092036+0.0016425i,0.0015186+0.00056988i,0.0011411-0.00035676i
-0.001109+0.00015344i,-8.8973e-05+0.00089537i,0.0018839+0.0009987i,0.0035589-0.00055948i,0.0028209-0.0010397i,0.0010174-0.00066337i,-0.00022135-0.00012358i,-0.00055141+0.00074173i,-0.00024864+0.0010259i,-5.6323e-05+0.0002518i,-9.6342e-05-0.00047921i,0.00012477-0.00064299i,0.0003184-0.00039822i,0.00040816+4.0336e-05i,0.00042827+0.00041774i,-0.00041685+0.0010186i,-0.0016084+0.00090017i,-0.0020211+0.0010055i,-0.0013685+0.00093047i,-0.00080915+0.0006198i,-0.00082783+0.00051104i,-0.00024918+6.3733e-05i,0.00031852+0.00016869i
0.0011139-0.0008728i,0.0014001-0.00051972i,0.0040582-0.0010981i,0.0053995-0.003247i,0.0036607-0.0039967i,0.001135-0.0022714i,-3.4828e-05-0.00061887i,0.00047258-0.00015838i,0.00098791+0.00021135i,0.00044248+0.00013692i,-4.9219e-05-0.00042046i,-0.00011682-0.00081762i,0.00028305-0.00065856i,0.00036784-0.00045751i,-0.00041867+0.00030671i,-0.0010153+0.00098893i,-0.0013761+0.00086295i,-0.00090651+0.00085213i,-0.00042593+0.0011452i,-0.00011872+0.00057415i,0.00051217+9.4204e-05i,0.00029799+3.1578e-05i,0.00033957+1.929e-05i
0.0018474+0.00032652i,0.0028981-0.00011039i,0.003871-0.0004748i,0.0052816-0.0018382i,0.0042945-0.0027802i,0.0014348-0.00079662i,0.00010571+6.0783e-05i,1.2953e-05-0.0010762i,0.00031354-0.0013564i,0.00031416-0.00098701i,0.00015595-0.00040745i,-0.00057058+0.00013079i,-0.00048313+0.0006006i,0.00010752+0.00089462i,-0.00055412+0.00088573i,-0.0012649+0.00046879i,-0.00097016+0.00015192i,-0.00064987+3.3885e-05i,-0.0004215+0.0002021i,-0.00027018+0.00061716i,-0.0001678+0.00064033i,-0.00017829+0.00033288i,-0.00065449+0.00036066i
0.00036013+0.00088985i,0.0020169+0.0016082i,0.0044997+0.001222i,0.0059519-0.0020925i,0.0039983-0.0044168i,0.0010323-0.003261i,0.00051402-0.0014006i,0.0007477-0.0006492i,2.7156e-05-0.00018797i,-4.0308e-05+0.0002594i,0.00026195-3.14e-06i,0.00042101-0.00066272i,0.00057718-0.00056851i,-0.00041809-0.00017052i,-0.00060462+0.00046818i,-0.0001584+0.00061308i,-0.00037567+0.00047027i,-0.00062927+0.0005418i,-0.00056412+0.00060118i,-0.00013404+0.00067904i,0.00067635+0.00040651i,0.00078079+0.00020707i,-0.00013248+0.00017445i
-7.076e-05+7.8052e-06i,0.0016032+0.00049256i,0.003809-0.00084501i,0.0049017-0.0025134i,0.0032269-0.0028787i,0.00091794-0.0010328i,-0.00023273+8.0698e-05i,-0.0011387-0.00040488i,-0.00080874-0.0006802i,3.3744e-05-0.00027202i,9.6465e-05-8.5579e-05i,4.649e-05-9.2637e-05i,0.00080438+0.00051334i,0.0010132+0.00072211i,-2.2976e-05+0.00028889i,-0.00050367+0.00028922i,-0.00095506+0.00036891i,-0.00054214-5.1487e-05i,6.8558e-05+0.00014425i,0.0006378+0.00052258i,0.00014078+0.00080726i,-0.00037975+0.00083455i,0.00043917+0.00034976i
0.0019278-0.0005343i,0.0018826+0.0001684i,0.003324-0.0005792i,0.0044795-0.0022824i,0.0034127-0.0028488i,0.0012593-0.00080429i,0.00019508+0.00086815i,0.00012134+0.00029115i,0.00067284+0.00022332i,0.00098559-0.00015796i,0.001167-0.00020774i,0.00025414-7.9624e-06i,0.00020022-0.0011551i,0.00065683-0.0020358i,-4.4296e-05-0.0013444i,-0.00082477+0.00013356i,-0.00065982+0.0009849i,0.00010267+0.0012418i,5.5613e-05+0.0012684i,-7.9869e-05+0.00084055i,0.00012404+0.00026486i,0.00018397+0.00016545i,0.00010979-0.000159i
0.00042876-0.00046914i,0.0018349-0.00096433i,0.003352-0.0017572i,0.0034973-0.002687i,0.0025822-0.0031095i,0.0014699-0.0010931i,5.9457e-05+0.00036027i,-0.00083737+0.00029305i,-0.00082619+0.00039778i,-0.00015912+0.00079421i,4.613e-05+0.00046473i,4.2574e-05-0.00018105i,-1.8516e-05-0.00027591i,-9.0311e-05-0.00021233i,-0.00035812+0.00021957i,-0.00074239+0.00022649i,-0.00043836-0.00025689i,0.00021137+2.4792e-05i,-9.06e-05+0.00027526i,-0.00078509+5.7518e-05i,-0.00039715+0.00022678i,-0.00037961+0.00050309i,-0.0010684+0.00056375i
-0.00024804+0.001237i,0.0022431+0.00121i,0.005822+0.0013658i,0.0073399+8.7211e-05i,0.0051116-0.0021317i,0.0016357-0.0013995i,7.0921e-05+0.0010865i,0.00015107+0.0017239i,0.00043415+0.00047918i,0.00097026-0.00056698i,0.0011421-0.00063138i,0.00012366-1.8414e-05i,-0.0006801+0.00049184i,-0.00045897+0.00044236i,-0.00021918+0.00054127i,-0.00055152+0.00079559i,-0.00044611+0.00041213i,-0.00022914+0.00066405i,-0.00016746+0.00091897i,-0.00016269+0.00067796i,-6.3985e-05+0.0002505i,-0.00021588+0.00027097i,-0.0002954+0.00045483i
0.0015038-0.0020721i,0.0014928+7.7857e-05i,0.0028926-2.2034e-05i,0.0037694-0.0011822i,0.0025269-0.0017592i,0.00030416-0.00077096i,-0.00065725+0.00016666i,-0.00014339-0.00089481i,-0.00015908-0.00076147i,-0.00057702+0.00028594i,-0.00037794+1.2299e-05i,-0.00017763-0.00012925i,-2.3692e-05-0.00018685i,0.00013412-0.00018477i,0.00035787+0.00059955i,0.00030498+0.0011136i,-0.00022147+0.00054864i,-0.00056641+0.00033405i,-0.00091839-7.4259e-05i,-0.00044465-0.00094709i,0.00029152-0.00070449i,0.00025007+0.00085832i,-0.00047593+0.0010574i
