0.00029116+0.00014099i,-0.00011679-0.00076526i,0.00054933-0.0024682i,-0.00017667-0.0025054i,-0.0011571-0.0011436i,-0.00097237+0.00037032i,8.9319e-05+0.0018948i,0.00045889+0.0023682i,0.00060135+0.0012352i,0.00085443-0.00040767i,0.0010164-0.00095562i,7.3841e-05-0.00071084i,-0.00068402-8.7909e-05i,0.00016916+0.00021672i,-0.00031295+0.00051473i,-0.001171+0.00063937i,-0.0012142+0.00016781i,-0.00091714-0.00067212i,-9.7125e-05-0.00059205i,-0.00016594+0.00092253i,-0.0012603+0.0012811i,-0.0018163+3.6834e-05i,-0.0011726-0.00043142i
0.00065859-0.0015536i,0.0017451-0.00099442i,0.0011815-0.00094088i,0.0005272-0.00079151i,0.00045305+0.00011549i,0.00037727+0.0009907i,0.0010214+0.00047657i,0.00030029-0.00047058i,-0.00071511-0.00079134i,-0.00035717-0.00044953i,-0.00011474-0.00025043i,0.00015577-0.00018452i,0.00025957+0.0010161i,-0.00012439+0.001169i,-0.00022838+0.00017221i,-0.00066467-0.00010291i,-0.00024587-0.00015285i,0.0001069-0.00019999i,0.00032992-1.0173e-05i,0.00048952-0.00051585i,0.00046734-0.00060019i,0.00061854-9.326e-05i,0.0005921-0.00051862i
-0.00097652-0.00037253i,-0.0016891+0.00036364i,-0.0010102+0.00038868i,6.8513e-05+0.00063667i,0.0013558+0.00026287i,0.0022689-0.00048125i,0.0017386-0.00072163i,0.00051211-0.000362i,-0.000269+0.00049154i,-0.00082257+0.0011283i,-0.0005777+0.00043189i,-0.00040281+0.00021929i,-0.00024016+0.00057915i,0.00031371+0.00085342i,6.9478e-05+0.00097197i,-0.00053945+0.00034637i,-0.000155-8.4555e-05i,0.00070829-0.00060686i,0.00043565-0.00059999i,-0.00037241-0.00024626i,-0.00010829-0.00011777i,0.00063455-9.7772e-05i,-0.00015367-0.00017647i
0.0019398+0.001001i,0.0026114+0.001199i,0.0023207+0.00045411i,0.0015589-8.5513e-05i,0.00078039-4.6261e-06i,0.00034182-0.00025685i,0.00054026-0.00032302i,0.00041241+0.00013918i,-0.00019967+0.00032717i,-0.00040879+0.00067812i,-0.00025889+0.00090995i,-0.00021864+0.00068386i,-0.0010553+0.0010737i,-0.0013169+0.0014561i,-0.00031762+0.0013992i,-7.9304e-05+0.0010003i,-9.5781e-05+0.0010616i,-0.00044932+0.0011105i,-0.0011314+0.00020055i,-0.00049055+2.6959e-05i,8.0256e-05+0.00028968i,0.00022869-0.00035406i,0.00026848-0.00052461i
-0.0016139+0.00047693i,-0.0012862+0.0013801i,-0.0019025+0.001369i,-0.00126+0.0012246i,3.9557e-05+0.0016159i,0.0015575+0.0018092i,0.0018926+0.00049082i,0.00067923+2.9957e-05i,-0.00045883+0.00026511i,-0.00065865+0.00084447i,-0.00015748+0.0011953i,0.00025315+0.00092549i,0.00050897+0.00074307i,0.00042643+0.00078179i,0.00031153-0.0001209i,0.00036676-0.00077793i,0.00065824+5.4289e-06i,0.00075254+2.0855e-05i,0.00029886-0.00027727i,-0.00041381+0.00055582i,-0.00023661+0.00086149i,3.5869e-05+0.00047253i,-0.00040463-0.00035483i
-0.00050513+0.00015361i,-0.00017926-0.00093866i,-0.000183-0.002131i,0.00096665-0.0020149i,0.001463-0.00080696i,0.00060885-0.00022335i,1.3066e-05-0.00016052i,-0.0007577+0.00016277i,-0.0017244+0.00057167i,-0.0015186+0.00083874i,-0.00056178-0.00016283i,-3.8415e-05-0.00027772i,0.00017082+0.00057006i,-0.00044586+0.00038625i,-0.00074094-0.00031651i,0.00020115-5.4155e-05i,0.00032552+0.00036899i,0.00043941+0.00026582i,0.00063633+6.57e-05i,6.4332e-05+0.00043267i,-5.2688e-05+0.00078624i,4.9516e-05+0.00084371i,-0.00021748+0.00052202i
-0.0005801+0.0010676i,-0.00078964+0.0010661i,3.8235e-05+0.0014782i,0.00097784+0.0019329i,0.0010147+0.0016417i,0.0013025+0.0015382i,0.0012918+0.00085774i,-0.00060205+0.00036241i,-0.0017647+0.00041254i,-0.0010297+0.0010049i,6.9389e-05+0.00075966i,0.00046462-2.6655e-06i,0.00052654+7.5202e-05i,0.00033781+0.00058951i,-0.00022702+0.0005845i,-0.00072426+0.00022215i,-5.4281e-05-4.7588e-05i,0.00062864-0.00049793i,0.00056437-0.00045934i,0.00093068+0.00036063i,-9.4826e-05+0.00041351i,-0.0010231-8.6186e-05i,-0.00052193+9.2896e-05i
0.002207+8.7167e-05i,0.0023188-0.00059672i,0.0013122-0.00053813i,5.8424e-05+0.00053665i,-0.00012076+0.0010899i,0.0011993+0.00084822i,0.0019351+0.00030987i,0.00047745-0.00020113i,-0.00079939-0.00020913i,-0.00072681+0.00029358i,-0.0010685+0.00084546i,-0.00095995+0.00072568i,-0.00040983+0.00020573i,-6.1653e-05+5.8073e-05i,-0.00014827+0.00047735i,-0.00037513+0.0013753i,-0.00034551+0.0014246i,-9.5107e-05+0.00036432i,-0.00033846-0.00085035i,-0.00071236-0.00081125i,-0.00018718-0.0006358i,0.00059508-0.00049638i,0.00085781+0.00024084i
-0.00040926+0.0008855i,8.4894e-05-0.00022508i,0.00075692-0.000682i,0.00054813-0.00041058i,0.00056366-0.00039982i,0.0015358-0.00095054i,0.0013558-0.0013645i,0.00041795+0.00010292i,0.00015628+0.00072967i,7.139e-05-8.8563e-05i,-0.0001243-0.00054894i,-0.00011646-0.00059057i,0.00012629-0.00039023i,-0.00051018-0.00055293i,-0.00083157-0.00046179i,-0.00022537-0.00035084i,0.0005968-0.00023342i,0.00037216+0.00022057i,-5.6311e-05+0.0012057i,-0.00030375+0.0012445i,-6.2446e-05+0.00045789i,0.00011253+5.3122e-05i,-0.00031697-3.7814e-05i
-0.0010544-0.00079262i,-0.00091743+0.0005033i,-0.00077891+0.0017659i,-0.00013025+0.0018622i,0.001191+0.0019663i,0.0021077+0.001167i,0.0018437+0.0001801i,0.00044422-0.00017145i,-0.00033441-0.00042195i,-0.00011988+0.00040483i,-0.00037688+0.0013885i,-0.00038416+0.0012962i,-0.0003842+0.00071765i,-0.00010709+0.00041017i,6.9423e-05+0.00031354i,-7.7854e-05+0.00014936i,-0.00031857+0.00010534i,-0.00051163+0.00055351i,9.9004e-05+0.00084909i,0.00030932+0.00035194i,0.00022434-0.00037417i,0.00059908-0.00037004i,5.9817e-05+0.00047181i
0.00034031-0.00021187i,0.0014385-5.4791e-05i,0.0021419+0.00012257i,0.0019098+0.00060097i,0.00076051+0.00098084i,0.00084032+0.00067889i,0.00085626-0.0002275i,-0.00022602-0.0009387i,-0.00058743-0.00035958i,-0.00034146+0.00056466i,-0.00068634+0.00027526i,-0.00040651+3.724e-05i,0.0001422+0.00026521i,-0.00026536+0.00033649i,-0.00041539-0.00014679i,-0.00035136-0.00099736i,-0.00013448-0.00098242i,0.00033477-0.00056179i,8.9347e-05+0.00011673i,-0.00011645+0.00050687i,-0.00041853+0.00029772i,-0.00021664+0.00026184i,0.00020166-0.00011093i
-0.0015382-0.00075406i,-0.00086295-0.0010405i,0.00021049-0.00057357i,0.00027881+0.00030547i,0.00047435+0.0010563i,0.001016+0.00098383i,0.00078965+0.00041059i,8.8425e-05+0.00034248i,-5.7243e-05+3.5752e-05i,-7.4825e-05-0.00018511i,0.00016062+8.1601e-06i,0.00075347+5.2128e-05i,0.00073103-2.4432e-05i,-0.00064551-0.00010148i,-0.0012777-0.00056264i,-0.00080278-0.00059685i,-0.00059558+0.00016183i,6.5128e-05+0.00045029i,0.00051092+0.00010008i,0.00041349+0.00017048i,0.00038937+0.00070796i,0.00040914+0.0011413i,0.00055892+0.0011051i
0.00061497+0.00024437i,0.00033987+0.0012235i,0.00067179+0.00083045i,0.00079045+0.00047503i,0.00061181+0.0010686i,0.0004114+0.00090515i,0.00067429-9.0957e-05i,0.00017923+5.2026e-05i,3.3607e-05+0.0003567i,0.00042196+0.00069641i,-1.3283e-05+0.00068624i,-0.00025312+0.00015186i,-0.0006745+0.0002597i,-0.00094646+0.00037958i,-0.00098997-1.6179e-05i,-0.00099935-4.4419e-05i,-3.5564e-07+0.00017317i,0.00050271+0.00028255i,0.00017626+0.00022696i,-0.00031542+0.0008693i,-0.00045737+0.00025287i,0.00024697-0.0012136i,6.2852e-05-0.00096332i
-0.00010054-0.00080758i,-0.00022406-0.00063985i,-0.00071343+0.00035016i,-0.00050048+0.001165i,0.00086048+0.00077402i,0.0020446-0.0002115i,0.0017857-0.00096692i,0.00019335-0.00091645i,-0.00062835-0.00039537i,-0.00049489-0.00030117i,-0.00052561+0.00018235i,-0.00071886+0.0006311i,-6.4153e-05+0.00063205i,0.0010093+6.5656e-05i,0.0012559+7.7374e-05i,0.00033938+0.00038084i,-0.00023837-3.4638e-05i,0.00016974-0.00025538i,0.001056-0.00027172i,0.00098278-0.00025624i,0.00056734-0.00044707i,0.00017587-0.00072029i,0.00022951-0.00041227i
-0.00098367-0.0022837i,-0.0010108-0.0021597i,-0.00048645-0.0016787i,-0.00052418-0.0004209i,0.00022005+0.00087504i,0.0017956+0.0001649i,0.0021773-0.00073105i,0.00086066-0.00040585i,-0.00038955+0.00057525i,-0.00019279+0.0006716i,-0.00012216+0.00048052i,-0.00062586+0.00032493i,-0.00044796+0.00032325i,-0.00027122+0.00072761i,-0.00036668+0.0005969i,-2.144e-05+0.00019438i,-0.00015795+0.00022844i,-0.00076371+0.00036254i,-0.00055708+0.00072849i,-0.00029087+0.00098034i,0.00023962+0.00075153i,0.00078863+0.00045721i,5.7634e-05+9.3875e-05i
-0.00036428+0.00042716i,0.00014984+0.001237i,4.7056e-05+0.0012918i,8.9067e-05+0.0014453i,0.00011543+0.0015808i,0.00081923+0.001017i,0.00074479+0.00038793i,0.00012326-0.00076762i,-0.00080346-0.00065514i,-0.0013148+0.00084086i,-0.0003543+0.00097884i,0.00061683+0.00061311i,0.00028202+0.0003226i,6.1388e-05+3.9705e-05i,0.00048798+0.0003552i,0.00061202+0.00084545i,0.00058329+0.00083452i,-6.2442e-05+0.00042877i,-0.00083962+0.00034931i,-0.00095818+0.00029081i,-0.0010359-1.312e-05i,-0.00081504+0.00063988i,-0.00036002+0.00090184i
0.0022333+0.0021707i,0.0027139+0.0019769i,0.0038713+0.00032905i,0.0036821-0.00074917i,0.0025095-0.0014124i,0.0020051-0.00042262i,0.00091248+0.00022452i,-0.0006073+4.737e-05i,-0.00085753+0.00056048i,-0.00035731+0.00091869i,0.00020652+0.00023752i,7.5121e-07+0.00031953i,-0.00093305+0.00080682i,-0.00053747+0.0005984i,-0.00015252+0.00075486i,-0.00050145+0.0012472i,-0.00026355+0.00049421i,0.00051043-0.00065301i,0.00072753-0.00049099i,0.00022864+0.00041447i,0.0005669+0.00017445i,0.00054412-0.00073917i,-0.00045409-0.0015322i
0.0008747+5.7295e-06i,0.0018636-0.00026687i,0.0011791-0.00087844i,0.00043257-0.00025987i,0.00064791+0.00021113i,0.0012465-0.00047159i,0.0014194-0.00039137i,-1.7878e-05-3.0009e-05i,-0.00053784-0.00044589i,0.00016779+7.3963e-05i,0.0003538+0.00075854i,0.00017434+0.0010003i,0.0003783+0.0013413i,-0.00045142+0.0012696i,-0.0013883+0.000259i,-0.00056453-0.00010999i,0.00039036+0.00067144i,0.00074346+0.00066128i,0.0005435+0.00052422i,0.00034584+0.00079188i,0.00011547-0.00028969i,-0.00025651-0.0011252i,-0.00071184-0.00039614i
-0.00051386-0.0018478i,-0.0013889-0.0015i,-0.0014255-0.0015239i,-0.0020086-0.00045263i,-0.00031673+0.0016028i,0.0014326+0.0023302i,0.001032+0.0012857i,-1.1368e-05+6.3603e-05i,-0.0010197+0.00016875i,-0.0007301+0.00070225i,-9.1253e-05+0.00027577i,-0.00055392-3.9625e-05i,0.00041815+0.00024604i,0.0013875+0.00061939i,0.0007291+0.00090408i,0.00068035+0.000848i,0.00030499+0.00016865i,0.00027689-0.00017134i,0.00071947+8.5025e-05i,0.00065258+0.00039804i,0.00076645+6.7768e-05i,0.00031649-0.0001058i,-0.00038385+0.00039232i
-0.0014993+0.00041984i,-0.00031513-5.4669e-05i,0.00069334+1.0147e-05i,0.0012007+0.00073383i,0.0016104+0.0014046i,0.0012099+0.00057172i,0.00068007-0.00081412i,0.00053402-0.0010746i,1.1795e-05-9.9845e-05i,-0.00033014+0.00076803i,-0.00044719+0.00064677i,-3.5875e-05+0.00061306i,0.00057762-7.9083e-05i,0.00076373-0.0011462i,0.00041238-0.00081985i,-0.00017955-0.00079251i,-0.00019336-0.00049817i,-7.8923e-05+0.00020955i,-0.0003463+0.00014524i,-0.00015999-5.8419e-05i,-1.6227e-05+0.00048074i,0.000143+0.00077586i,0.00046698+0.00075585i
-0.00094543-0.00068844i,0.00052338+0.00048598i,0.0021806+3.4686e-05i,0.0017629-0.00059748i,-4.483e-05-0.00032748i,-0.0001207-0.00039731i,0.001037-0.00041748i,0.0010841-0.00021776i,-0.00043493+0.00015283i,-0.0014131+0.00023297i,-0.00084764+0.00024807i,6.3512e-05+0.00083855i,0.00013445+0.00061088i,-0.00076636-2.6312e-05i,-0.00095331+0.00026879i,-0.00057952+0.0014592i,-3.3466e-06+0.0015798i,0.00082722+0.00067174i,0.00046473+0.00019402i,-6.7557e-05+0.00026089i,0.00015438+0.00044683i,-5.4065e-05+6.5603e-05i,-0.00074419+0.00014562i
-0.00091543+0.0020397i,-0.00099915+0.0028838i,0.00047708+0.0022434i,0.0012238+0.00080592i,0.00076822+0.00039473i,0.00069449+1.1194e-05i,0.00067421-0.0012327i,0.00018306-0.0012477i,-0.00020562-0.00024863i,-0.00031734+0.00016527i,-0.00037079+0.00022944i,-0.00026425+1.9125e-05i,-0.00096991-0.0001853i,-0.0012376-0.00035245i,-0.00041807+0.00031015i,-0.00042559+0.001015i,-0.00094416+0.00093851i,-0.001432+0.00013197i,-0.00072508-0.00047596i,0.00018899+7.8415e-05i,-0.00030978+0.00051482i,-0.00063411+0.00034677i,-0.00054996+1.8595e-05i
7.686e-05-0.00063708i,0.00059764-0.00025231i,0.00087417+0.00046156i,0.00056908+0.0002431i,0.0014125+8.6564e-06i,0.0025241+0.00019804i,0.0012816+3.16e-05i,-7.7806e-05-0.00032806i,7.9798e-05+0.0003266i,-0.00040457+0.00066725i,-0.00086203+0.00053994i,-0.00015049+0.00048194i,0.00023341+0.00049816i,-2.1103e-05+0.0006688i,-0.00040971+0.0005546i,-0.00021303-6.3961e-05i,-0.00034553+1.7668e-05i,-8.5717e-05+0.00096255i,0.00041822+0.0012481i,0.0005816+0.00078421i,0.00077587+0.00040969i,0.00070289+0.00042674i,0.00037932-0.00011358i
-0.00010049+0.0016159i,0.00023245+0.000736i,0.0011046-0.00019285i,0.001533-0.00051712i,0.00087313-0.00016718i,0.00033708+0.00010374i,-0.00015418-0.00040002i,-0.00127-0.00082886i,-0.0010724-0.00080077i,0.00015044-0.00067576i,0.00058334-0.00027555i,6.3121e-06+0.00034304i,-0.00084108+0.00070656i,-0.00093404-2.2785e-05i,-0.00074894-0.00090704i,-0.00037437-0.00055506i,0.00035956-0.00099171i,-6.3097e-05-0.00062711i,-0.00085057+0.00044545i,-0.0006693+5.0037e-05i,-2.9948e-06+0.00042038i,1.1735e-05+0.00014881i,0.00047747+0.00042852i
-0.0010531-0.001191i,8.3795e-05-0.00069703i,0.0010096-0.00011549i,-0.00013317+0.00077104i,-0.00049305+0.0011937i,0.00087511+0.00093416i,0.00172+0.00038938i,0.00098835-0.00035948i,6.7548e-05-0.00021809i,-3.5533e-05+0.00030665i,5.5743e-05+0.00059285i,0.00013478+0.0010014i,0.00031772+0.00039703i,0.00021619-0.00042044i,0.00052047-0.00043859i,0.00093749-0.00043061i,0.00036646-3.6131e-05i,-9.1313e-05+0.00052211i,1.4593e-06+0.00011872i,-0.00014936+1.6665e-05i,-0.00040198-4.9369e-05i,-0.00084241+0.00017058i,-0.00096425+0.00032945i
-0.00014281-0.00030507i,0.0003171+0.00023292i,0.00013339+0.00085313i,0.00069798+0.0007236i,0.0017834+0.0009617i,0.001466+0.00021147i,0.00046433-0.00076151i,-0.00028318-0.00063726i,-0.0011344+0.0005646i,-0.0014576+0.0011442i,-0.0014606+0.00074683i,-0.00075522+0.0003115i,-4.3007e-05-0.00010306i,0.00044543-0.00033701i,0.0010589-7.6998e-05i,0.00086024+8.3075e-05i,-0.00033213+0.00018433i,-0.0012993-0.00029931i,-0.00077619-0.00091478i,-0.0002781-0.00014693i,-0.00021779+0.00014794i,-0.00016669-0.00060765i,0.00038288-0.0011399i
-0.0011673+0.0010604i,-0.00077291+0.0026424i,-0.00030277+0.0030746i,-0.00022122+0.0022619i,3.9143e-05+0.00066282i,0.00026261-0.00064615i,0.00038554-0.00081507i,-0.00034953-0.00011916i,-0.00084798+0.0010431i,-0.00077384+0.0013506i,-0.00073921+0.00090985i,-0.00089333+0.00011817i,-0.00065815+0.00050069i,-0.00088214+0.00073663i,-0.0014218+9.65e-05i,-0.00063685-4.6992e-05i,0.00049244+8.4521e-05i,0.00070305+0.00019344i,5.7011e-05+0.00060112i,-0.00062123+0.00027965i,9.2158e-05-0.00048193i,0.00052247-0.00085986i,0.00012855-0.00071755i
0.00080563-0.0011324i,0.00089689-0.0020799i,0.0015694-0.0022607i,0.0018615-0.00055484i,0.001486+0.00086792i,0.0012063+0.0014855i,0.00088411+0.0016899i,0.00057273+0.0008987i,-0.00015168+0.00041627i,-0.00017142+0.00069286i,0.00032574+0.00086148i,0.00059178+0.00057234i,5.381e-05+0.00012496i,-0.00052702+3.6832e-06i,-0.00097491+0.00055993i,-0.0010336+0.00075323i,-0.00046987+0.0005278i,-0.00041118+0.00061557i,-0.00081632+5.1038e-05i,-0.00043935-3.2258e-05i,-3.4641e-05+0.00071564i,-0.00050211+0.00074676i,-0.00058407+9.8833e-05i
0.0014453+0.0017066i,0.0022952+0.0017004i,0.0018815+0.001103i,0.0013526-0.00032475i,0.0011209-0.00074831i,0.00089391-0.00077292i,0.00032858-0.00093497i,-0.00084567-0.00013077i,-0.001274-7.3129e-05i,-0.00080569-0.00046703i,-0.00046907+6.0105e-05i,-2.9273e-05+0.00066519i,2.5051e-05+7.9116e-06i,-0.00041974-0.00078559i,-0.00042912-0.00017532i,4.6003e-05+0.00062727i,0.00016297+0.00038679i,-0.0002809-0.00039608i,-0.00036373-0.00025919i,0.00022761-4.9467e-05i,0.00034222-9.8173e-05i,2.1492e-05+0.00011647i,-0.00036676+0.00041012i
0.00036765-0.0018631i,0.0012822-0.001195i,0.00090862-0.0012187i,-0.00024229-0.00028437i,-0.0011317+0.00093631i,-0.00087451+0.0014049i,-0.00037685+0.00064082i,-0.00044026-0.00016525i,-0.0010989+0.00013076i,-0.0012594+0.00037617i,-0.00078888+0.00031646i,-0.00041275+0.0007296i,-0.00091635+0.0015367i,-0.0011846+0.0013277i,-0.00088565+0.0018266i,-0.00029132+0.0020259i,0.00023215+0.0013717i,6.8701e-05+0.00067033i,-0.00051129-0.00026563i,-0.00034562-0.00048724i,0.00028096-0.00029429i,0.00082112-0.00047872i,0.00058508-0.00066467i
0.00024577+0.00087377i,5.6883e-05+0.00031024i,-1.0324e-05-0.00056551i,0.00013418-0.0010229i,0.00070978+0.00095641i,0.0010571+0.002099i,0.00079669+0.0010861i,-0.00016016+0.00068774i,-0.00083245+0.00037852i,-0.00080439-0.00046018i,-0.00071358-0.00016241i,-0.00035797+0.00089288i,-0.00066828+0.0010067i,-0.00039809+0.00066834i,0.00016484+0.00090783i,-0.00013756+0.0012583i,-0.00042471+0.00077041i,-0.00017957+0.00024706i,0.0002105+5.2618e-05i,0.00045964-0.00033987i,0.00038032-0.00023734i,0.00014972+0.00037528i,0.00026922+0.00065512i
-0.00045971+0.00025395i,-0.00069728+0.0004349i,-0.0015953-0.00022722i,-0.0013396-0.00099831i,0.00013856-0.00092274i,0.00072381+4.4532e-05i,0.00071174+0.00026487i,0.00071545-0.00057233i,0.00057747-0.00047521i,0.00052242-0.00015971i,0.00055223-0.00011166i,0.00074166-9.8276e-05i,0.00058738-4.3911e-05i,-0.00036846+0.00069964i,-0.00096197+0.00074086i,5.2323e-05-0.00068699i,0.0010305-0.00056559i,0.0004656+0.00052503i,-0.00053055+0.0014243i,-0.00075496+0.0011453i,5.6703e-05+2.9261e-05i,0.00041342-0.00068236i,0.00020744-0.0006848i
