-0.0037507+2.829e-05i,-0.0014182-0.0029056i,-0.0017335-0.0013655i,-0.00087533+0.0015792i,-0.00011614+0.0031822i,0.00058034+0.0017902i,0.0010082+0.00071712i,0.0001447+0.000578i,-0.00070601+0.00043637i,0.00013172+1.4666e-05i,0.00075273-0.00044271i,0.00045763-0.00031371i,0.0002354+0.000154i,2.9507e-05+0.00027397i,-0.00079629-5.4746e-05i,-0.0013089-8.1566e-05i,-0.00038783-8.1686e-05i,0.00059286-0.00030296i,0.0010039-9.9332e-05i,0.0011763+0.00017845i,0.0010794-0.00062039i,0.00076882-0.0006056i,-0.00022677+1.9813e-05i
0.00098702-0.00092031i,0.00059709-0.0008867i,0.00033383-0.0013532i,0.00035101-0.00082156i,-0.00087656+7.4224e-05i,-0.0016759+0.0013087i,-0.00046104+0.0011172i,-1.8763e-06+0.00049672i,-0.00024008-0.00033161i,-0.00019736-0.00066594i,-0.00098584-0.00017863i,-0.00080222+8.5101e-05i,0.00025255-0.00032781i,0.00056982-0.00024546i,0.00041207+0.00019732i,-0.00010216+0.00014738i,-0.00046862+0.00025437i,-0.00053047+0.00056906i,-0.00055087+0.00065079i,-7.0814e-05+0.00020728i,0.00063072+0.00022371i,0.00070767+0.00022752i,0.00051548+6.5815e-05i
-0.00068025-0.00096999i,0.00090674-0.00075617i,4.9496e-05-0.0010762i,-0.0012369-0.00026351i,-0.0023929+0.0012261i,-0.0025582+0.0011881i,-0.001696+0.00027683i,-0.00068573+0.00032544i,-0.0002494+0.00041808i,-0.00085585+4.4766e-05i,-0.00079907+0.00028054i,-1.8309e-05+8.4956e-05i,0.0010213-0.00077931i,0.001647-0.0010424i,0.00064835-0.0007995i,0.00031192-2.226e-05i,0.00063713+0.00064688i,0.00081329+0.00022297i,0.00093385-0.00023416i,0.00036574+0.00016589i,-0.00037911+0.00027885i,-0.00011538-0.00061803i,0.00022673-0.0013392i
0.00071894+0.0006728i,-0.00010864+0.0018278i,-8.4903e-07+0.0010326i,0.00037107-5.7566e-05i,-0.00070627+0.00025449i,-0.0013966+0.0015509i,-0.00081158+0.0013814i,-0.00029912+5.4422e-05i,-0.00035906-0.00087704i,-0.00038406-0.0005349i,3.5629e-05-0.00026715i,0.0012878+0.0003074i,0.0012556+0.00064172i,0.00048637+0.0003135i,0.00058411+0.00022751i,0.00050782-0.00034139i,0.00016929-6.3233e-05i,0.0002192+0.00054787i,0.00012154+0.00014115i,0.00065309-0.00078082i,0.00097254-0.00099189i,2.7372e-05-0.00071173i,-1.2824e-06-0.0013009i
0.00060577+0.00092938i,-0.00066841-0.00027852i,0.0011112-0.00088467i,0.002581-0.0023127i,0.0012484-0.0027456i,-0.00109-0.0019066i,-0.0010258-0.0012997i,0.00011598-0.00055091i,-8.7123e-05+0.000545i,7.2818e-05+0.00098813i,0.0001703+3.0302e-05i,0.00010156-0.00072561i,-0.00045601-2.021e-05i,-0.00095011+0.00064386i,-0.00018612+0.00039994i,-0.00040573+0.00055131i,-0.00097621+0.00042229i,-0.00051164-0.0002224i,0.00020394-0.00053232i,0.0009947-0.00048891i,0.00034088-0.00034744i,0.00016584-0.00049684i,0.00048163-0.00079883i
-0.001351+0.00050302i,0.00067985+0.0015969i,0.00076455+0.0022892i,0.00088229+0.0022787i,0.00097997+0.0020431i,0.00063368+0.0020431i,0.00031119+0.0015947i,-0.00038538+0.0010032i,-0.00096881+0.0010774i,-0.00068515+0.00095862i,-0.0001934+0.00050725i,-0.00016794+0.00039558i,-0.00042957+0.00038787i,-0.00033715+6.4667e-06i,-0.00033-0.00067921i,-0.00040045-0.0012151i,0.00065379-0.00089513i,0.00057252+0.00068178i,-0.00014606+0.0013022i,0.00039514+3.1422e-05i,0.0011131-0.00020377i,0.0010158+0.0006276i,0.00042474-0.00011945i
-0.00062126-0.00082701i,-0.00080405+0.0014502i,-4.6239e-05+0.0020985i,0.00074013+0.001459i,0.00053047+0.00099008i,0.00030704+0.0011017i,0.00026403+0.00084201i,0.00021132-0.00078332i,0.00036221-0.0011588i,-0.00028684-0.00010193i,-0.00063154+0.00025924i,-0.00048393+0.00027019i,-0.00014414+6.6793e-05i,0.00021978-0.00021913i,8.6387e-05-0.00078713i,-0.00053065-0.00086359i,-0.00084894-0.00091513i,-0.00030166-0.0012619i,0.00050696-0.0013231i,0.0011557-0.00069898i,0.001576-0.00052306i,0.00084041-0.00040832i,-0.00061679-7.6716e-05i
0.001158-0.001122i,0.0012458-0.0014239i,0.00026217-0.0010966i,-0.00065662-1.0262e-05i,-0.0013417+0.0019697i,-0.0016518+0.0029106i,-0.00098917+0.0016114i,-0.0008304+0.00014332i,-0.00054506-0.00016512i,0.00037173-0.00052451i,0.0010733-0.0010608i,0.00043187-0.00035886i,7.574e-05-0.0001416i,0.00031479-0.00077369i,0.00086499-0.00024886i,0.00060981+0.00036602i,0.00079613+0.00026696i,0.00069675+0.00025086i,-5.5106e-05+0.00035905i,-3.786e-05+0.0001801i,0.00035864-0.0004857i,0.00031172-0.00039851i,0.00023622-0.00022788i
0.0013709+0.00039968i,0.0010536+0.0012845i,0.0010287+0.0010673i,0.00039365+0.00047285i,-0.00093477-0.0003045i,-0.00069667-0.00083264i,0.00020211-0.00013065i,-0.0001663-8.4559e-06i,-0.0001481-0.0012175i,-2.007e-05-0.0010315i,-0.00025006-0.00023433i,6.4637e-05+0.00014157i,-9.0892e-05+9.6251e-06i,-0.0004653-0.00043494i,0.00037271-0.00075928i,0.0010226-0.00020909i,0.00010061-5.394e-05i,-0.00016289+0.00033234i,0.00025122+0.00060534i,-0.00054142-0.00026726i,-0.00083221-0.00024304i,0.00036054-0.00012214i,0.0010262+7.4637e-05i
0.00011221-0.0021315i,-9.0695e-05-0.0022787i,-0.00030285-0.0026307i,-0.00042953-0.0020561i,-0.001047-0.00099826i,-0.00090181-1.2351e-05i,-0.00044264+5.3803e-05i,-0.0010526-0.00098361i,-0.0012039-0.0014547i,-0.00072918-0.001106i,-0.0011027-0.00062875i,-0.00067401-0.00081212i,0.00052294-0.00084698i,0.00042272-0.00040107i,0.00016427+0.00022205i,0.00025716+0.00070769i,8.3171e-05+0.00040229i,0.00043483+2.3556e-05i,0.00053499+1.6305e-07i,0.00010806-4.6355e-05i,0.00016886+0.00024033i,0.000263+0.00041919i,-0.00046108+0.0001735i
0.00059819+0.00085448i,0.00039749+0.0018208i,0.00082057+0.0015867i,-6.7069e-05-6.5446e-05i,-0.001458-0.00061115i,-0.0018954+4.4274e-05i,-0.0020418+0.0006098i,-0.0018444+0.00070837i,-0.0016849+0.00027962i,-0.0012111-0.00034912i,-0.00075127-0.00093515i,-0.00051444-0.00072513i,-0.0002986+0.00028208i,-7.9027e-05+0.00073294i,-0.00021855+0.00061901i,0.00013703-0.00010414i,0.00083199-0.00067669i,0.00037801-0.00034199i,0.00021943+0.00018686i,0.00029349+0.000107i,-7.1397e-05-3.7872e-05i,-0.00051686-0.00061178i,-0.0006667-0.0011338i
-0.00057413+0.00037073i,0.00030813+4.6562e-05i,0.0012092-0.00079405i,0.001048-0.00070106i,-0.00049435-0.00066745i,-0.00088482+0.00024011i,0.0002239+0.00044738i,0.00073959-0.0006127i,0.00082749-0.0011076i,0.00062354-0.00032945i,0.00034851+0.00019753i,-4.3116e-05+0.00077847i,-4.7436e-06+0.0008555i,0.00011785-0.00034615i,0.00016756-0.0010959i,0.00046833-0.00023518i,0.0003372+0.00037814i,-0.00047483+0.00012526i,-0.00045615+0.00026141i,0.00043656+8.5859e-06i,0.00045107-0.00016771i,-5.0319e-05+0.00041703i,-0.00032131+0.00034159i
0.00051177-0.00097095i,0.0018434-0.0020508i,0.001972-0.0018731i,0.0024029-0.00097594i,0.0016959-4.2661e-05i,0.0007774+0.00056258i,0.0002507+0.00087994i,-0.00099892+0.00054176i,-0.0011557+0.00041319i,-0.00010863+0.00094437i,0.00019152+0.00042563i,0.00049098-0.00028224i,0.00064864-0.00050661i,6.7743e-05-0.00076244i,7.1703e-05+0.00016785i,-1.4866e-05+0.0010262i,0.00022933+0.0004364i,0.00043072-0.00010334i,0.00023778+0.00041835i,0.00028901+0.0010094i,7.5158e-05+0.00052192i,0.00021204-0.00024268i,0.00058713+4.7247e-05i
0.00071052+0.0012227i,0.00079273+0.0021147i,0.0012244+0.00095271i,0.0017217+0.00021228i,0.00075323+0.00057898i,-0.00054071+0.001243i,-0.00039677+0.00079778i,0.00010681-0.0003857i,0.00010722-0.0005862i,-0.00056136-0.00027746i,-0.00087936-9.7623e-05i,-0.00099782-7.6406e-05i,-0.00076553-8.8784e-07i,-0.00062927+0.00040759i,-0.00031423+0.00095988i,-0.00018302+0.00083839i,-6.0966e-06-0.00014264i,0.00046736-2.97e-05i,0.00083211+0.00069038i,0.00085831+0.0009832i,0.00057093+0.00069826i,0.0005571-0.00033097i,0.00041261-0.00094832i
-0.0008413-0.00071362i,-0.0010679-0.0011439i,-0.00066428-0.00072782i,-8.1453e-05-9.5699e-05i,2.9736e-05+0.00050441i,-0.00030951+0.00090671i,-0.00012265+0.0014833i,-0.00012184+0.00089864i,-0.00056878+0.00026915i,-0.00033794+0.00035165i,0.00014998+0.00011155i,-0.00023448+0.00026893i,-0.00074705+0.00075985i,-0.00083213+0.0007884i,-0.00076498+0.0011792i,-0.0010019+0.0012861i,-0.00079621+0.0010104i,-0.00067288+0.0014666i,-0.00032098+0.00076333i,5.6448e-05-0.00048956i,-1.2048e-05-0.00012126i,0.00013336+0.0001568i,9.0063e-05-0.00031214i
0.0010317-0.00062747i,0.0012248-0.00043612i,0.00097143+0.0012679i,0.00094564+0.0018288i,0.00079517+0.0012621i,0.00087448+0.0013153i,0.0009181+0.001034i,0.0002302+0.00034615i,5.0836e-05-0.00036446i,0.00015859-0.000139i,0.00027472-0.00020802i,0.00063315-6.5972e-05i,0.00063988+0.00043621i,5.7952e-07-3.233e-05i,-0.00021207+0.00020795i,0.00028893+0.00090022i,0.00040567+0.00073425i,-9.401e-05+0.00079341i,-0.00094272+0.00066032i,-0.00058265+2.6488e-05i,-7.7578e-05+8.205e-05i,-0.00020213-0.000374i,-0.00015519-0.00036576i
0.0017345-0.00011135i,0.0007216-0.00015859i,-0.00017731-0.0012794i,-0.00051985-0.0019474i,-0.0014673-0.00056979i,-0.0019524+0.00059682i,-0.0010329+0.00085409i,-0.0001504+0.00099403i,-0.00013223+0.00075031i,-0.00064787-0.00025497i,-0.00085323-0.00092123i,-0.00019616-0.00076608i,0.00048365-0.00012604i,0.00062627+0.00050124i,8.9412e-05+0.00030769i,5.9805e-05-3.8705e-06i,0.00068446+0.00087476i,0.00050437+0.0011779i,0.00015565-0.00021246i,7.551e-05-0.0012715i,-0.00012049-0.0012316i,-0.00023261-0.00016867i,0.00047254-1.3179e-05i
-0.00053735+0.00017968i,0.0011328-0.0010005i,0.00074021-0.00080663i,-4.8214e-05-0.00017204i,-0.00076303+0.00042316i,-0.00054104+0.00048095i,2.1672e-05-0.00028756i,-8.7154e-05-0.00091906i,-0.00070414-0.00099385i,-0.00077002-0.00078816i,-0.00039103-0.00083152i,0.00036684-0.0003876i,0.00064459+7.8458e-05i,0.00044393-0.00055274i,0.00025139-0.00077861i,2.8503e-05-0.00074118i,7.7288e-05-0.00065751i,0.00085135-9.6982e-05i,0.00071771-5.4337e-05i,4.8057e-05-0.0002275i,-9.5638e-06-4.7452e-05i,0.00044068-7.7421e-05i,0.00066898+0.000193i
-0.0010812+0.00064656i,-0.00088703+0.0012357i,0.0008662+0.0018414i,0.0022005+0.0013667i,0.0015874+9.4438e-05i,-0.00011491+0.00020157i,-0.00072301+0.00032302i,-0.00073988+0.00016683i,-7.1651e-05+0.0003347i,0.00025283+0.00023694i,0.00048792+0.00016136i,0.0007398+0.00043064i,0.001229-5.2384e-05i,0.0010987-0.00032054i,-7.7859e-06+3.5737e-06i,-0.00067807+0.00039613i,-0.00056222+0.00017298i,3.0261e-05+0.00011126i,0.00066064+0.00069155i,0.00029298+0.00058329i,-0.00020473+0.0004719i,-0.00022171-0.00015462i,0.00022011-0.00053511i
0.00048042+0.0011135i,-0.0001993-0.0012994i,0.0012788-0.002468i,0.0021703-0.0020383i,0.0016429-0.00096538i,0.00028457+0.00017274i,-0.00015873+0.00028883i,-0.00021664-7.8375e-05i,0.00011895+0.00012255i,0.00072492+7.4278e-05i,-1.6836e-05-0.0001468i,-0.0012546-0.00082723i,-0.0013699-0.00089683i,-0.0015647+0.00018907i,-0.0017023+0.00083066i,-0.0010241+0.0012908i,-4.9206e-05+0.0009375i,0.00033266-0.00016891i,0.00051458-0.00059435i,0.00033782-0.00076749i,0.00022337-0.00096408i,-0.00013926-0.00070872i,-0.00014091+4.5393e-06i
-0.00027081+0.0014643i,0.0011497+0.0023356i,0.002558+0.00071075i,0.0021144-0.00042752i,0.00020293-8.9973e-05i,-0.00093525+0.0013689i,-0.0002336+0.0028134i,-0.00063287+0.0014296i,-0.00084058-7.9053e-05i,0.00032423-0.00074106i,0.00022999-0.0016329i,-0.0010272-0.0013393i,-0.0013658-0.0002667i,-0.00049422+0.00050777i,0.00019648+0.00054042i,0.00062677+0.00040946i,0.00057498+0.000549i,0.0001981+0.00023388i,8.6358e-05+0.00037167i,-0.00011034+0.00061653i,-0.00030954-2.8635e-05i,-7.6325e-05-0.00062908i,0.00016674-0.00046255i
-0.00010442+0.00098942i,-0.00032984+0.0018552i,-0.00021525+0.0012178i,0.00078328+0.00026719i,0.00013501-0.0005288i,-0.00068364-0.00062473i,-0.00012063+0.00024615i,-0.00017824+0.00098791i,-0.00019315+0.00084156i,0.00028739-5.6163e-05i,-1.8579e-05-0.00032785i,-0.00017595-2.5227e-05i,0.00039429+9.9983e-07i,0.00052376-0.00029399i,0.00025697-0.00052549i,0.00022227-0.00038607i,0.0004091+0.00022688i,9.0669e-06+0.00041736i,0.00012891+2.9458e-06i,0.00069492+0.00043951i,0.00030067+0.00088848i,-0.00022941+0.00030726i,-0.00014433-0.00019837i
0.00048214+0.00085839i,0.0013853-0.00037635i,0.0010441-0.00050568i,-0.00022667+0.0008671i,-0.0012094+0.0015458i,-0.0011399+0.0016864i,-0.00034222+0.0013603i,-0.00021373+0.00032705i,-0.00050254-0.0003956i,1.4244e-05-0.00090271i,0.00023828-0.00084614i,-0.00028523+0.00012102i,-0.00056996+0.00056734i,-0.00055172+0.0005497i,-0.00031253+9.9049e-05i,-0.00018516-0.00020398i,-0.00010295+0.00049424i,0.00021591+0.00074256i,0.0011192+0.00036612i,0.001707+0.00023775i,0.0013404+0.00012172i,0.00077278-0.00030543i,0.00040868-0.000411i
0.00171+9.8178e-05i,0.0014386+0.00024173i,0.00039801-0.0013197i,-0.00055046-0.0024829i,-0.0016615-0.0017746i,-0.0019634+0.00039245i,-0.00083297+0.0014266i,0.00021367+0.0011004i,0.00093109+0.00046755i,0.0011002-7.6323e-05i,0.00046804-3.9485e-05i,0.00047342+0.00070123i,9.4151e-05+0.0013219i,0.00016768+0.0010791i,0.00034649+0.00030071i,0.00012773-9.1861e-05i,-8.9266e-05-0.00014838i,9.9576e-05-0.00055368i,0.00021063+0.00022765i,-4.4311e-05+0.0006964i,0.00011432-9.8945e-05i,8.0739e-05-0.00056359i,-0.00023082-0.00068604i
0.000871-0.0011286i,0.00044412-0.00018848i,0.0004151-0.00019313i,-0.00030762-0.0004564i,-0.0013209+0.00017206i,-0.0017468+0.00075087i,-0.00084032+0.0010299i,2.8437e-05+0.00038074i,0.00018811-0.00031081i,0.0005984-0.00054613i,0.00059516-0.00027299i,0.00047474+0.00033423i,0.00047811+0.00066526i,-7.0053e-05+0.00064002i,0.00034835-9.1971e-05i,0.00094658+5.0592e-05i,2.8855e-05+0.00012486i,-0.00079299+0.00019341i,-0.00057618+0.00076828i,-0.00042579+0.00063344i,-0.00073421+0.00042893i,-0.00085145-0.00039591i,-4.6944e-06-0.00077068i
0.00011585+0.00077436i,-0.00033318+0.00079731i,9.3922e-05+0.0016783i,0.00066997+0.0011642i,0.0010297+1.122e-05i,0.00090051-0.00039853i,0.00035078-5.8964e-05i,-0.00026581+0.00063514i,-0.00020111+0.00028775i,0.00065377+4.228e-05i,0.00047074-0.00022581i,0.00028651-0.00033946i,-0.00077259-0.00031604i,-0.0015621-0.0001959i,-0.0011533-0.00016292i,-0.00022859-0.0006445i,0.00054247+0.00016846i,3.8579e-05+0.0013775i,-0.0006299+0.0012962i,-0.00056071+0.00010332i,-9.52e-05-0.00075643i,0.00022567-0.00058537i,0.00043955-0.00023981i
-0.0013388-0.00023768i,-0.0016601-0.00097982i,-0.00067068-0.0006622i,0.00042368+0.00032624i,0.00044101+0.00035074i,0.00011129-0.00024982i,9.4494e-05+2.6365e-05i,-0.00025414+0.00073175i,-0.00047515+0.00027628i,-0.00066941-0.00039863i,-6.8949e-06-0.00013125i,0.00040752-0.00041367i,-0.00035913+0.00015767i,0.00011352+0.0011944i,0.00044051+0.00074062i,0.00052708+0.0003489i,0.00035016+0.00010786i,-0.0001263-0.00030311i,-0.00064057-0.00021394i,-0.0010267-0.00026849i,-0.00072099-0.00085736i,-4.0967e-06-0.00087092i,0.00030204-0.0010133i
0.0014836-0.00041474i,0.0016267+2.2415e-05i,0.0018031+8.268e-07i,0.0023826+0.00017679i,0.0020064+0.00063011i,0.00052642+0.0011974i,-0.00020662+0.0018765i,-0.00051276+0.0014302i,-0.00050078+0.00062188i,3.6213e-05-1.3589e-06i,-7.526e-05+0.00025112i,-0.00045575+0.00046122i,-3.155e-05-0.00028723i,0.00027088-0.00032151i,-0.00030217+7.4629e-05i,-0.00041306+0.0003149i,-0.00036065+0.00019184i,7.8859e-05+0.00029004i,0.00069824+0.00070976i,-0.00011939+0.00059809i,-0.00076289-0.00024438i,-0.00012359-0.000628i,0.00028902-0.00021821i
0.00024441+0.0012673i,-0.00031476+0.0017556i,-0.00010928+0.0016591i,0.001101-0.00039983i,0.0016649-0.0013101i,0.00036253-0.00071829i,-0.0011614-0.00046672i,-0.00081361+0.00023914i,0.00012237+0.0013689i,0.00033948+0.0013682i,0.00045014+0.00041335i,0.00054096-8.4402e-05i,-0.00026672-0.00010122i,-0.0010966+0.00031156i,-0.00061549+0.00047951i,-0.00018628-0.0004352i,0.00024757-0.00030702i,5.3682e-05+0.00047541i,-0.00082504+0.00074408i,-0.00078441+0.0006917i,-9.5007e-05-9.5219e-05i,0.00067137-0.00065868i,0.00040431-0.00026365i
-0.0004751-0.0010761i,-0.0017036-0.0011916i,-0.0021018-0.00042489i,-0.00064085+0.00048061i,-0.0009067+0.00076018i,-0.0016763-0.00040257i,-0.001425-0.0002814i,-0.0015682+2.0678e-05i,-0.001387-0.00026156i,-0.00029731+1.4416e-05i,0.00045631+0.00015114i,0.00068394+0.00021369i,-0.00017432+0.00021859i,-0.0011283-0.0002492i,-0.00097575-0.00071272i,-0.00017196-0.00080475i,0.00048268-0.0006049i,0.0003865+3.3446e-05i,-0.00011533+6.5786e-06i,0.00020888-0.00063987i,0.00043508-0.00055813i,1.3564e-06-0.00032859i,-0.00038195-5.7474e-05i
0.002019+0.0013736i,0.0031717+0.0012942i,0.0048917+0.00049007i,0.0035562+0.00015356i,0.00037503+0.00057098i,-0.0015985+0.0016045i,-0.0021636+0.0020526i,-0.00137+0.00072276i,-0.00026934-0.00045001i,0.00016215-8.8004e-05i,-0.0001501-7.2429e-06i,-0.00034426-0.00010656i,-0.00010184+0.0011441i,-0.00014881+0.0019311i,0.00048171+0.0013077i,0.0012329+0.00042537i,0.0011275+0.00035648i,0.00027165+0.00076574i,-7.4039e-06+0.00083235i,-0.00039856+0.00039723i,-0.00055973-0.00010043i,9.0956e-05+9.5783e-05i,9.5485e-05+0.00014145i
0.0010412-0.00025011i,0.00092082-0.00058356i,0.0018403-0.0017336i,0.0011535-0.0028557i,-0.00057589-0.0023756i,-0.00084506-0.00064699i,0.00063564+9.3723e-05i,0.0010925-0.00022458i,9.3118e-05-0.0011851i,-6.2063e-05-0.0016869i,0.00016444-0.00077192i,0.00026954+5.1403e-05i,0.00040224+0.00015148i,0.00059277+0.00010228i,0.00028933-8.5568e-05i,-0.00014329-3.8927e-05i,-0.00017547-7.6666e-05i,-0.00021701-0.00010327i,6.2106e-05+0.00023692i,0.00042323+0.0005751i,0.00011112+0.00073857i,-0.00092194+0.00055661i,-0.00093804+2.4594e-05i
