-0.00091284+0.00055157i,-1.7949e-05-9.2672e-05i,-0.0010238-0.00023928i,-0.0018311+0.0006809i,-0.0025506+0.002016i,-0.0022717+0.0017257i,-0.0017555+0.00083183i,-0.00082638+0.0011048i,0.0002086+0.001131i,0.00083146-0.00011452i,0.00076606-0.0012243i,0.00025742-0.0015774i,0.00016247-0.00062384i,0.00042116+0.00057885i,0.00026429+0.00078968i,-0.00010835+0.000298i,-0.00091351+3.2951e-05i,-0.0009885+0.00055215i,-0.00063774+0.00063785i,-0.00057583-0.00037448i,-0.00049553-0.00077519i,-0.00010165-0.00019743i,0.0004165+0.00061386i
0.00082466-0.00043205i,2.6673e-05-0.0010057i,0.00012815-0.0019232i,-0.0004281-0.0016941i,-0.0014543-0.00075175i,-0.0019003-0.00015189i,-0.0016458-7.2637e-05i,-0.0010193-0.00023827i,-9.4562e-05-0.00011942i,9.3478e-05+0.00059971i,-0.00057469+0.00070996i,-0.00041297+0.00071896i,-3.4557e-05+0.00041648i,0.00064244+0.00016141i,0.0010111-4.4476e-05i,0.00023323-0.00013984i,-0.00025065-0.00025967i,-4.272e-05-0.00019336i,0.00025674-0.00036623i,0.00028415-0.00059589i,0.00028491-0.00037706i,0.00046886-0.00049311i,0.0010238-0.00076185i
-0.00060185-0.0029493i,1.1661e-05-0.0018199i,-0.00015965-0.0016357i,-0.0014073-0.00091712i,-0.0030864+0.00096069i,-0.0029068+0.0014176i,-0.0013244+0.00049287i,5.2278e-05-5.9053e-05i,0.00030732+0.00048354i,0.00077752+0.00062723i,0.0014633+0.00034307i,0.00083877+0.00031827i,0.00021092+0.00011865i,0.00012659+0.00014797i,0.00032754+0.00026605i,0.00018421+0.00025589i,-0.00017204+0.00033626i,-0.00053924-3.5271e-05i,-0.0002488-0.00051588i,0.000132-0.0003354i,0.00056538+0.00014878i,0.00010478-0.00032749i,-0.00073045-0.00029505i
0.0014445+0.00068726i,0.00068953-8.4204e-05i,0.00023989-0.0012506i,4.0479e-05-0.0013208i,0.00023715-0.00047207i,0.00021984+0.0006924i,-0.00068861+0.00094355i,-0.0009722+0.00061751i,-0.00032342+0.0011919i,0.00030283+0.001345i,0.00082794+0.00089688i,0.00048963+0.00069881i,8.1455e-05+0.00056114i,-2.0804e-06+0.00031242i,-0.00052644-0.00011726i,-0.0011141-0.00016054i,-0.00038229+0.00026241i,0.0002593+0.00079524i,0.00021985+8.6551e-05i,0.00050828+6.1686e-05i,-0.00019617+0.0004596i,-0.0008802-0.00038284i,-0.00025521-0.00070301i
-5.621e-05+0.00061539i,-0.00018241+0.00031007i,7.6822e-05-0.0007945i,0.00010488-0.00087731i,-0.0005982-0.00075723i,-0.0015049-0.00046032i,-0.0018123-1.8529e-05i,-0.00074841+8.3402e-05i,0.00037109+0.00029018i,0.0010017+0.00027616i,0.0007289-0.00021675i,0.00051623-0.00083428i,0.00075199-0.00012859i,0.00036556+0.00072539i,0.00036207+0.00077457i,0.00060304+9.8002e-05i,0.00027409-0.00029141i,-0.00017237+0.00015047i,-0.0002257+0.0006536i,0.00051452+0.00013217i,0.00086671-3.5268e-05i,0.00073378+0.00023261i,0.00019572-0.00018395i
-7.4858e-05-0.00070205i,4.436e-05-0.00048445i,-0.00080919-0.00030597i,-0.00084538-0.0010875i,6.2308e-05-0.0011685i,0.00066686-0.00032992i,0.00081225-9.8372e-06i,0.00031548+0.00021206i,0.00016578+0.0010741i,0.00079355+0.00063163i,0.00097725+5.0865e-05i,0.00054884-7.1252e-05i,0.00031211-0.00037777i,0.00038381+0.00049607i,6.3107e-05+0.0008063i,-6.0028e-05-0.00063351i,0.00043098-0.0011159i,0.00054851-0.00011072i,-5.508e-07+0.00091641i,-0.00013081+0.00092693i,0.00017109+0.00055438i,-3.9491e-05+0.00017637i,0.00018019+0.00013401i
-0.00022613-0.00018389i,0.00011419-5.5974e-06i,-0.00079439-0.00046522i,-0.0017524-0.00079851i,-0.0019166-0.00027292i,-0.0011866+0.00035489i,-6.7401e-05+6.1394e-05i,6.4798e-05-0.00021275i,-0.00020156+0.00023138i,0.00021512-0.00023397i,0.0005625-0.00050407i,0.00038779-0.00059832i,-0.00018537-0.0002185i,-0.0003732+0.00093326i,-0.00012373+0.0008731i,0.00025343-0.00012364i,0.00050202-0.00090437i,0.00018127-0.00037761i,-0.00042176+0.00010683i,-0.00050295+7.617e-05i,-0.0001061+0.00028759i,0.00026107+0.00036912i,0.00053805-0.00010554i
0.00078186+1.9234e-05i,0.00026119-0.0016793i,-0.00016391-0.0015982i,-0.00035785-0.00089026i,-0.001235-0.00054039i,-0.001258-0.00018317i,-0.00060369-0.00024908i,0.00011941-0.00020591i,0.00099073+0.00061323i,0.0011189+0.00085221i,0.00054807+0.00048797i,0.00017177+0.00047141i,0.00033926+0.00047996i,0.00038241+0.00033128i,-0.00016866+0.00073324i,-0.00097041+0.00082101i,-0.0012252+0.00032676i,0.0001667+0.00043118i,0.0010067+0.00037567i,0.00067949+0.00017815i,-0.0001075+0.00018858i,-0.00013836-4.5923e-05i,2.95e-05-0.00026854i
0.00084972-0.00022786i,0.00039799-0.00016827i,0.00095347-0.00039037i,0.00070225-0.001017i,-3.2886e-05-0.0011569i,-0.00064436+5.0718e-05i,-0.00076384+0.00058895i,-0.00064589+0.00052432i,-0.00057845+0.00084922i,-0.00058644+0.00091749i,7.7317e-05-1.7746e-05i,0.00040476-0.00021135i,0.00065302+0.00045343i,0.00061045+0.00033277i,-9.252e-05-0.0003834i,-1.778e-06-0.00065174i,7.1572e-05-0.00066697i,-0.00031361-0.00039705i,-6.7396e-05+0.00027795i,-0.00025364+0.00061619i,-0.00024266+0.00032913i,0.00047193+0.00043339i,0.00020701+0.0005072i
0.000252+0.0003646i,0.0011653-0.00033037i,0.0015959-0.00034036i,0.00056686-0.00040605i,0.00010533-0.00053655i,-0.00079131-0.00024497i,-0.0014306+0.00033083i,-0.00044791+0.0010988i,-3.0263e-05+0.0011132i,-0.0001821-8.3071e-05i,-0.00050236-0.000529i,-0.00049414-0.00026575i,0.00048612-0.00028135i,0.00091383-0.00022975i,0.00068732-0.00011047i,0.00053431-2.7626e-05i,-7.2476e-05-0.00018273i,0.00026011+0.00017987i,1.5492e-05+0.00062404i,-0.00057024+0.00017005i,-0.00059914-0.00059278i,-0.00025879-0.00041495i,-8.5745e-05+5.7535e-06i
0.00067541-0.0010098i,-0.00019755-0.00105i,-0.00049834-0.0012908i,-0.0010585-0.0014912i,-0.0010566-0.00073097i,-0.00057668-0.00019662i,-0.00058385+0.00062108i,-0.00054965+0.0007264i,0.00035711-0.00022414i,-5.0342e-06-0.0004761i,-0.00030136-0.00017012i,-2.6381e-05-0.00011028i,-0.00023144-4.7313e-05i,0.00018654-0.00051718i,0.0006799-0.00057638i,0.00031197+0.00035901i,-7.7683e-05+0.0010702i,-0.00044416+0.0011316i,-0.00071896+0.00072366i,-0.00064741+0.0002408i,-1.5699e-05+0.00059464i,0.00032136+0.0009259i,-0.00021205+0.0012771i
-0.00078054-0.00024573i,-0.0011229+3.9934e-05i,-0.0017019+0.00015256i,-0.0012865+0.00067759i,-0.00053682+0.00095252i,9.4036e-06+0.00096697i,0.0001601+0.00070808i,-8.2757e-05-0.00032942i,-4.2097e-05-0.0011454i,-0.00047849-0.00098798i,-0.00071212-0.00038276i,-0.00042586-0.00013152i,-0.00011337-0.00029341i,0.00029437-8.1256e-05i,0.00051106-1.7485e-05i,0.00063476-4.4937e-05i,-0.00012132-0.00039303i,-0.00043182-0.0010557i,-0.00029751-0.0012835i,-0.00031447-0.00068632i,0.00016514+0.0001369i,0.00030492-4.235e-05i,0.0004555-0.00053229i
-0.00050025+0.00052836i,-0.0011071-0.0003721i,-0.0002644-0.0004737i,-0.00069302+0.00042261i,-0.0017068-1.7397e-05i,-0.00096357-0.00037588i,-0.00056895-0.00020579i,-0.00037626+4.8767e-05i,-0.00039283+0.0010251i,-0.00021018+0.0012858i,0.00021563+0.00097052i,9.0304e-06+0.00079496i,-0.00023692+0.00078419i,-0.0004656+0.00045795i,-0.00054387-0.00038276i,9.0944e-05-0.00073989i,-0.00013462-0.00020437i,-2.5641e-06-0.0001485i,0.00074156-0.00062639i,0.00064081-0.00052113i,0.00065635-0.00025245i,0.00054416-8.4556e-05i,0.00059993-0.00091058i
-0.0013094+0.0003726i,-0.0014101+0.001108i,-0.0022102+0.0012127i,-0.0022583+0.0012222i,-0.0016582+0.0011507i,-0.0009035+0.00062263i,-0.00074738-8.8726e-05i,-0.00014187-0.0001224i,-1.8506e-05+0.00040873i,-1.5062e-06+0.00010133i,0.00077818-6.1503e-05i,0.00042719+0.00035812i,0.00027938+0.00011109i,0.00039897+2.1715e-05i,-8.412e-05+5.0151e-07i,-0.00056797-0.00012296i,-0.00011636+0.00065165i,0.00074234+0.00089555i,0.00078198-0.00031684i,0.00044034-0.00058204i,0.00059751-0.00014472i,0.00045463+0.00045466i,-9.1523e-05+0.00013035i
-0.0011111+0.0021569i,4.0246e-05+0.00096719i,0.0018541+0.00040729i,0.0024554+0.00041086i,0.0023484+0.00046757i,0.0013729+0.00013019i,-0.00057232-0.00041338i,-0.0013101+0.00015137i,-0.00025161+0.00016309i,0.0010708+6.7145e-05i,0.00084379-0.00017882i,0.00062734-0.00041106i,0.00015239+9.8054e-05i,-0.0003502+0.00030224i,0.00019673+0.00038345i,0.00065985+0.0008236i,0.00093226+0.00049633i,0.0011343+0.00032222i,0.00046593+0.0007679i,-0.00046574+0.00053488i,-0.00033712-0.00051222i,0.00025376-0.00084278i,-0.00052921-0.000411i
-0.00040354+0.00055411i,0.00053711+0.00069543i,0.0014739+0.0015689i,0.0016824+0.0012346i,0.00058939+0.00046948i,-0.000403+0.0008144i,-0.00067046+0.00060583i,-0.00065965+0.00052267i,-0.0011631+0.00098625i,-0.00067757+0.00048397i,7.6233e-05+0.0010189i,1.2246e-05+0.0012788i,0.00058419+0.00014129i,0.0010184-0.00072463i,0.00032012-0.0010195i,0.00012325+0.0001469i,-8.5355e-05+0.00080321i,-0.00074546+0.00029804i,-0.00068877-0.00087752i,-0.00067566-0.001318i,-0.00022716-0.00074585i,8.3572e-05+0.00037598i,-0.00014449+0.00043541i
0.00069066+0.0003767i,0.00044331-0.00042682i,0.00020694-8.0149e-05i,0.00055651+0.00050951i,0.0007874+0.00031979i,0.00064111-0.00020915i,5.8204e-05-5.3847e-05i,-0.00094201+0.00075365i,-0.00074283+0.001713i,-0.00021536+0.00125i,-0.00023855+0.00041197i,-0.00086607+0.000243i,-0.0010156-8.1969e-05i,-0.00042707-0.00073735i,-1.0025e-06-4.8554e-05i,0.00014105+0.0010674i,0.00077574+0.0007913i,0.00068459+0.00062665i,-0.00010981+0.0011947i,-0.00062102+0.00057649i,0.00015586-0.00020282i,0.00039465+6.6262e-06i,-4.565e-05-0.0001543i
-0.00057715-0.00037427i,-0.00099936+2.4902e-05i,-0.0011763+0.00033435i,-0.0010842+0.00027938i,-0.00079342+0.00083042i,-0.0008042+0.0016714i,-0.00095081+0.0016974i,-0.00045656+0.00028365i,0.00047899-0.00070657i,4.6464e-05-9.9155e-06i,-0.00047071+0.00057045i,7.6197e-05+0.00088408i,0.00038055+0.00067995i,8.2721e-05+0.00021368i,-7.1732e-05+0.00011901i,0.00011062+0.00026619i,5.9621e-05-0.00027005i,0.00010655-0.00035015i,0.00058912-8.6187e-06i,0.00036399+0.00014252i,-0.00022763+0.00021859i,-0.00070882-0.00010765i,-0.00050106-0.0013324i
-0.00089646-0.0012409i,-0.00063317-0.0016991i,-0.00060531-0.0018627i,-0.00023919-0.0011737i,-0.0011614+0.00044034i,-0.0010135+0.00075798i,0.00012657+0.00031581i,6.9848e-05+0.00050647i,-0.00032541+0.00094844i,-4.3954e-06+0.00058677i,0.00039044+5.0012e-05i,-0.000261+0.00011446i,-0.0011013+0.00052314i,-0.0010776-0.00019261i,4.0868e-05-0.00061972i,0.00059373-0.00034891i,0.00023591-0.00059383i,0.00061705-0.00097878i,0.00076601-0.00040235i,0.00078916+0.00027667i,0.00069888+5.8507e-05i,8.0169e-05-0.00016193i,-0.00020753-9.8688e-05i
-0.00038566+0.0016737i,-0.00011181+0.0013059i,0.00070105+0.00080223i,0.00019971+0.00033939i,-1.3254e-05+0.00037646i,0.0007582+0.00073638i,0.00041027+6.5604e-05i,-0.00052867+0.00022489i,-0.0007293+0.00092358i,0.00031495+0.00049607i,0.00090162-0.00060014i,0.00097443-0.0012965i,0.00123-0.0010335i,0.00057204-0.00015713i,0.0001276+0.0002938i,0.00021911+0.00044458i,-3.2539e-05-3.5946e-05i,0.00010428-3.4124e-05i,0.00014481-0.00016376i,8.1141e-05-0.00070355i,0.00014269-0.00037167i,0.00045643-0.00031092i,0.00072403-0.00036376i
-0.0011546-0.0020289i,-0.0023584-0.0016694i,-0.0038102-0.0022485i,-0.0032403-0.0017467i,-0.0026985-0.00031679i,-0.0016775+0.00049547i,-0.00086228+0.00087435i,-0.0004929+0.00015658i,-0.00039375-8.7407e-06i,-0.00059956+0.00098605i,-0.00052702+0.001174i,-4.8103e-05+0.00057734i,4.3816e-05-0.00032307i,-1.169e-05-0.00050208i,0.00032382+6.4432e-06i,0.00017402+0.00038626i,-0.00036941-0.0001145i,-0.00080844-0.00033631i,-0.00045557+5.8759e-05i,-0.00052018-1.252e-05i,-0.00013091-0.00040102i,0.00071476-0.00096052i,0.00015433-0.00069905i
0.00039816-0.00056874i,0.00045524-0.0022074i,0.00015453-0.0017285i,0.00038938-0.0008644i,0.00033153+0.00022683i,-0.00019766+0.00034891i,-0.00051769+0.00018692i,-0.0001902+0.00039304i,-0.00012135+0.00013107i,-0.00016168-3.8501e-05i,0.00038388+0.0001404i,8.4468e-05+0.00018024i,-0.000578+0.00032794i,-9.5131e-05+0.00014387i,0.00065665-0.00035464i,5.0488e-05-4.6729e-05i,-0.00023337-0.00014699i,0.0002362-0.00050591i,-0.000404+0.00042038i,-0.0010373+0.00066597i,-0.00067507-8.7199e-05i,-0.00062819+0.00011552i,-0.00062052-3.1817e-05i
-0.00037499+0.0028124i,0.00046428+0.0027997i,0.002431+0.0027805i,0.0022019+0.001753i,0.00018646-8.8704e-06i,-0.00067181-0.00057832i,-0.00097497-6.0715e-05i,-0.00096562+0.00017064i,-0.00029247+0.00038566i,0.00020506+0.00025521i,-0.00042302+0.00012075i,-0.00052702+0.00021245i,-0.00064804+0.0001186i,-0.00019112+0.000288i,0.00047476+0.0008183i,0.00024672+0.00030959i,-0.00027155-0.00034898i,-0.0002111-0.00016065i,-0.00026552+5.7504e-07i,8.5803e-05+8.1882e-05i,0.00028006+0.00065633i,0.00019841+0.00075745i,-0.00012447+0.00029407i
-0.0010264+0.00040709i,0.00024839+0.00052618i,0.00098849+0.00083935i,3.8811e-05+0.00072914i,-0.00020763+2.8401e-05i,0.00070177+1.8691e-05i,-5.2742e-05+0.00030051i,-0.00091113+0.00034019i,-0.0012467+0.00078599i,-0.00088056+0.0017015i,-0.00022121+0.0012705i,-1.8147e-05+0.00061922i,5.6323e-05+2.5758e-05i,0.00076124-0.00035479i,0.00037277-0.00058692i,-0.00020989-0.00091435i,-0.00022394-0.00030001i,-0.00035418+4.235e-05i,0.00025863-0.00010801i,0.00073338+0.00043712i,0.00061118+0.0010227i,0.00046934+0.00071307i,0.00030973+0.00080554i
-0.0024513+0.0014602i,-0.0010891+0.00259i,-0.0006904+0.0023283i,-0.0011318+0.001161i,-0.0007253+0.00092957i,-2.4444e-05+0.00061489i,0.00024099-9.7583e-05i,-0.00028871-0.00065354i,-0.00024635-0.00061291i,0.00021947+0.00025182i,-0.00020147+0.00061738i,-0.0002556+0.00041462i,0.00015355+0.00054582i,0.00033479+0.00033407i,0.0003592-0.00024441i,0.00020397-0.0010393i,0.00012328-0.0012464i,0.00042715-0.00011632i,0.00069565-5.6896e-06i,0.00030988-0.00090662i,-0.00026336-0.00069578i,-0.00045836-0.00010988i,2.9916e-05+0.00056684i
-0.00045439-0.0015328i,-0.001762-0.0017871i,-0.0023409-0.0018372i,-0.0020086-0.00074594i,-0.00069608+0.00017323i,0.00042567-0.00023021i,8.6717e-05-0.0006826i,-2.0243e-05+5.7479e-05i,0.00036925+0.0003059i,-0.00013536+3.0166e-05i,-0.00063867-0.00039805i,-0.00019324-0.00049226i,0.00012281-0.00042565i,0.00045532-0.0007315i,0.00021534-0.000198i,-0.00013475+0.00044916i,-3.9091e-05-3.8202e-05i,-7.6506e-05-0.0012522i,-0.00029381-0.00096823i,-0.00017652+0.00020458i,-0.00035568+0.00019637i,-0.00092906-0.0003364i,-0.00099723-0.00049565i
0.0014105-0.0014411i,0.0019412-0.0024495i,0.00066709-0.0026521i,-9.4955e-05-0.0021967i,-0.00030412-0.00074933i,-0.00064744+0.00020298i,-0.0014341+0.00071315i,-0.0013646+0.0012922i,-0.00043861+0.00068288i,0.00013411+0.00022346i,8.3685e-05+0.00047028i,-0.00085705+0.00081182i,-0.00050917+0.00044379i,0.00048279-0.00051524i,0.00039635-0.0010234i,0.00018565-0.00073738i,0.00018371-0.00097116i,0.00027891-0.0011901i,0.00049814-0.00070993i,0.00038635+0.00023885i,-1.4721e-06+0.00020054i,-0.00045025-0.0004435i,-0.00064254-0.00027371i
-0.0012522-0.0023978i,-0.0022564-0.0019625i,-0.002629-0.0013265i,-0.0028153-5.162e-05i,-0.0027937+0.0011928i,-0.0018293+0.0011596i,-0.00080755+0.00085174i,-6.1968e-05+0.00069568i,0.00018795+0.0004512i,-1.7107e-06+0.00023651i,-0.0002367+0.00039832i,-0.0002411+0.0006104i,0.00039992+0.00025303i,9.2059e-05-0.00014034i,-0.00022015-0.00030521i,0.00056996-0.00022499i,0.00092028-0.00028496i,0.00046127-0.00010796i,3.6376e-05+0.00024593i,-0.00017767+0.00048549i,-0.00015626-3.4882e-05i,0.0004275-0.00085829i,0.0010106-0.00057023i
0.00091184-0.0014021i,0.00071526-0.0036531i,0.00062351-0.0040316i,0.0002888-0.0021158i,-0.00060821-0.00099224i,-0.0010978+0.00017332i,-0.0010479+0.00045434i,-0.00072082+0.00024334i,-0.00022512+0.00061489i,8.8136e-05+0.00087923i,-0.00043381+0.00063966i,-0.00052503+0.00031884i,-1.3772e-05+0.00031155i,0.00047223+0.00017882i,0.00056079-5.3376e-05i,-0.00013142-0.00042586i,-0.00031633-0.00017328i,-0.00053077+0.0006284i,-0.0012385+0.00040714i,-0.0010733-0.00012198i,-0.00017422-0.00032022i,0.00029982-0.00055807i,0.00052013-0.00035612i
-0.0005962+0.0010676i,-0.00094612+0.0015421i,-0.0015813+0.00074846i,-0.0017304+0.00061887i,-0.0010837+0.0017919i,-0.00038918+0.001472i,6.7296e-05-7.8887e-05i,-0.00048383-0.00057996i,-0.00050058-0.00062707i,-0.00046613-0.0004202i,-0.00094707+0.00025758i,-0.00079024+0.00024525i,0.00019236-0.00019443i,0.00085193-7.4904e-05i,0.00019441+0.00017652i,-0.0006325-0.00012871i,-0.00039226-6.446e-05i,3.7365e-05-0.00063363i,0.00028914-0.0010522i,0.00042128-0.00028915i,-0.00017322+0.00076367i,-0.00062779+0.0010797i,-0.00054599+0.00083279i
-0.00030599+0.0002442i,-0.00023753-0.0007696i,-0.00011711-0.0013402i,-0.00017311-0.0013811i,-0.00049383-0.00018351i,-0.00046366+0.00031157i,-0.00045613-0.00015177i,-0.00030929-0.00046762i,4.4969e-05-0.00075949i,0.00081397-0.00074787i,0.0012279+0.00017835i,0.00055998+0.0009899i,-0.00012851+0.00045408i,-3.9326e-05-0.00011646i,-0.00017015-0.00050578i,-0.00051096-0.00028016i,-0.00042519-0.00022624i,-0.00078389-0.00039671i,-0.0008024+0.00020826i,-0.00016209+0.00061394i,0.00032289-0.00013225i,-0.00011898-0.00026603i,8.7584e-06+0.00048336i
4.609e-05-0.0016416i,-0.0010311-0.0012258i,-0.0024281-0.00076934i,-0.0023688+0.0003456i,-0.0015592+0.0010662i,-0.00018296+0.00038489i,0.00023021-4.7432e-05i,2.3249e-05-0.0007451i,4.0584e-05-0.00050409i,-0.00039415+0.00055787i,-0.00027327+0.001089i,0.00098394+0.0012342i,0.0015821+0.00054818i,0.0010196-0.00021459i,0.00027107-0.00061856i,8.7007e-05-7.7314e-06i,-0.00072495+0.00040744i,-0.00019679-7.6138e-06i,0.00010101+0.00019075i,-0.0010389+0.00011407i,-0.00045447-0.0005537i,0.00060727-0.00061172i,0.00048028-0.00065148i
