0.0016854+0.0034865i,0.0021701+0.0034068i,0.0021216+0.00085699i,0.0029541-0.0010941i,0.0029646-0.0010361i,0.00097869+0.00035048i,-0.00022413+0.0013741i,-0.00064082+0.00059938i,-0.00074221+0.00014955i,-5.5699e-05+0.00013254i,0.00038786-0.00018102i,-0.00013593-0.00030239i,-0.0007877-0.00041621i,-0.00043116-0.0003609i,0.00061257-0.00028542i,0.00065522+7.9566e-05i,0.00063912+9.961e-05i,0.00068802-0.00049941i,7.4625e-05-0.00020329i,-0.00016344+0.00058019i,-9.2274e-05+7.241e-05i,-0.00059507-0.00059961i,-0.00058947-0.00055254i
0.00076216-6.6845e-05i,0.0001914-0.00026642i,-0.0011619-3.0771e-05i,-0.0011893+0.00026177i,-2.1508e-05+0.00065749i,0.00079337+0.00012109i,0.0005296-0.00017403i,-0.00027047-0.00030745i,-0.0006818-0.00059306i,-0.00094054+7.5701e-05i,-0.0014136+0.00036426i,-0.00093063-0.00039525i,-0.00027776-0.00063683i,-0.00014578-0.00010259i,1.1965e-05+2.0233e-05i,0.00030103-0.00031709i,0.00044084+0.00027078i,-0.0004686+0.00067669i,-0.00030955+0.00026914i,9.6982e-05-0.00034904i,-0.00046121-0.00014716i,-0.00049657-0.00012544i,-0.00092107-0.00056367i
0.0021244-0.0025188i,0.0028465-0.002689i,0.0020847-0.0027357i,0.0012963-0.0006416i,0.00031276+0.0011643i,4.1439e-05+0.0021988i,-4.2358e-05+0.0017393i,-0.00010852-1.1728e-05i,-0.00030267-2.4896e-05i,-0.00052822-0.00012225i,-0.00016777-0.00066413i,0.00091951-0.00029771i,0.0012586+3.2883e-05i,0.00035922+0.00028772i,-0.00024935+0.0008495i,-6.2518e-05+0.00073191i,0.0002316+0.00034622i,9.842e-06+0.00033327i,-0.00038348+0.00043681i,-0.00017178+8.7426e-05i,4.655e-05-0.00020621i,-0.00022956+0.00025399i,-0.00011362+0.00037197i
-0.001343-0.0017029i,-0.002261-0.0022653i,-0.0011299-0.0020649i,0.00075841-0.0012719i,0.0017288+0.00089591i,0.00075592+0.0012813i,-8.5965e-05+0.00048267i,-6.2908e-05+0.0003065i,0.00026774+0.00048686i,6.5996e-05+0.00037577i,5.3517e-05-0.00079205i,-0.00011619-0.0014563i,0.00034049-0.00097353i,0.0011851-0.00036161i,0.00059713-4.3712e-05i,-0.00038489+0.00017222i,-8.8842e-05+0.00048216i,0.00019666+0.00012281i,-6.2437e-05+0.0001135i,-0.00017825+0.00016884i,-0.00056994-6.1244e-05i,-0.00088648+3.0835e-05i,-0.00018668+0.00026257i
0.00016271-0.00067419i,-4.6821e-05-0.0010502i,-0.0013562-0.00028153i,-0.0016405+0.00060843i,-0.00016849+0.0016965i,0.00063021+0.0021369i,0.0001646+0.0014946i,-2.2635e-05+0.0012779i,-0.00013936+0.0011971i,-0.00052841+0.00044226i,-0.00047622+0.00035776i,-0.0005989+0.00081711i,-0.0014761+0.00040351i,-0.00088201-0.00047662i,0.00035724-0.00089094i,0.0006159-0.00059554i,-0.00011448+0.00010357i,-0.00078024+0.00030495i,-0.00035016+0.00041571i,-0.00023603+0.00047554i,-0.00034365-0.00024031i,-0.00034267-0.00070444i,-0.00084516-0.00034512i
-0.0012629-0.00017716i,-7.3195e-05+0.00022811i,-0.0007192+0.0014036i,-0.0012765+0.0024285i,0.00072178+0.0020773i,0.0019537+0.0010206i,0.00075786+0.00027017i,-0.00023764+0.00033234i,-0.00047951+0.00060573i,-0.00068482+0.00032499i,0.00012099+0.00030787i,0.00059855+0.00051361i,0.00056085+0.00018177i,0.00051319-0.00043836i,0.00038989-0.00042634i,-0.00014649-0.00025518i,-0.00045196-0.00025382i,-0.00070194-0.00059828i,-0.00095559-0.00049377i,-0.00093443-0.00049932i,-0.00096691-0.00022351i,-0.00080922-0.0004501i,-0.00042836-0.00067857i
0.0017894-0.0003045i,0.0025041-0.00067841i,0.0027286-0.0016342i,0.0022148-0.00019469i,8.9241e-05+0.0017951i,-0.00061079+0.0021671i,0.0004112+0.0014453i,0.00095442+0.00057193i,0.00058598-0.00010109i,-0.0006369-0.00011026i,-0.00087524-8.707e-05i,-8.7929e-06-0.00057032i,6.4111e-05-0.00046928i,-0.00060007+1.3382e-05i,-0.00054982-0.00011665i,0.00036737+0.00017322i,0.00064496+0.00044422i,-0.00050491-5.9581e-05i,-0.0010619-0.00040585i,-0.00048782-0.00030349i,0.0003389-0.00020773i,0.00011177-0.00057344i,0.00043829-0.00081656i
-8.1098e-05+0.00012794i,0.00080408-0.0002887i,0.00073834-0.00073137i,0.0010682+0.00010805i,0.0016418+0.0016635i,0.0012985+0.0022356i,0.00059952+0.0010239i,0.00047116+0.00039847i,0.00064723+0.00070496i,-0.00016+0.00015073i,-0.0010038-0.00026901i,-0.00083199-0.00017801i,-0.00025623-0.00020006i,0.00016357+4.5694e-05i,9.1882e-05-0.0001958i,0.00075584-0.0011805i,0.00089124-0.0011831i,0.00029743-0.00038217i,0.00039659-0.00010789i,0.00067692+0.00017873i,0.00044763+0.00022612i,-3.0177e-05-0.00056188i,1.5211e-05-0.00056433i
-0.0011666-0.0010277i,-0.0010894+0.00033708i,-0.00085365+0.0011449i,0.0001038+0.0011103i,0.00087341+0.0014009i,0.0010929+0.0014808i,9.1454e-05+0.0001445i,-0.00037717-0.00062254i,-0.00026568+8.9679e-05i,-0.00092338+0.0007376i,-0.00058102+0.00029772i,-6.5596e-05+0.0002578i,0.000646+0.00014892i,0.0014698-0.00087421i,0.00053404-0.0011574i,4.4641e-05-0.00032208i,0.00045226+0.000189i,0.00053877+0.00014592i,1.3588e-05-0.00036322i,-0.00048631-0.00074671i,-0.00071722-0.00028848i,-0.00063494-0.00034601i,-0.00021526-0.0004371i
-0.00061493-0.0014019i,-6.5792e-05-0.0024132i,-0.00057692-0.0017449i,-0.0013418+0.00021698i,-0.0014976+0.001855i,-0.00081543+0.0021422i,0.00024316+0.0010156i,0.00028558+0.00065965i,-0.00060939+0.00072981i,-0.00052592+0.00070984i,0.00028611+0.00062124i,0.00062741-2.996e-05i,0.00030077-0.00045042i,0.00022175-0.00011248i,0.0001467+0.00084816i,-0.00050009+0.0007526i,-0.00069584+0.00024194i,-0.0003708+0.00023917i,8.3307e-05-0.00018235i,-0.00040942-0.0012617i,-0.00028214-0.0010527i,0.0001905-0.0001768i,0.00016905+0.00012742i
