-0.0026099+0.0011001i,-0.0011436-0.0013677i,-0.0025915-0.0021024i,-0.0022352-0.00035285i,-0.00023577+0.0019965i,0.0017627+0.0019378i,0.0015496+0.0010077i,0.00024668+0.00080581i,0.00083702+0.00086799i,0.0015106-6.7192e-05i,0.00065462-0.0011236i,-0.00029776-0.0011889i,-0.00071564-0.0010598i,-0.00057688-0.0011608i,2.508e-05-0.000339i,0.00030549+0.00046151i,0.00064998+0.00037057i,0.0001707-0.00044534i,-0.0004253-0.0012245i,-0.00023034-0.0010751i,0.00013878-0.00038922i,0.00036593+2.1834e-05i,0.00029931+0.00023725i
0.00031901+0.00031362i,0.0010948+0.00035344i,0.0025677-0.00064575i,0.0030149-0.001023i,0.0021053+0.00040906i,0.0016594+0.0014948i,0.0012218+0.00081391i,0.0001863-0.0003139i,-0.00019138-0.00015948i,0.0002504+0.00018971i,-3.9975e-05-0.00010393i,-0.00031771-0.00074274i,-4.2539e-05-0.0011595i,0.0002461-0.00072803i,0.00046881+0.00036464i,0.00030412+0.0010428i,0.00012828+0.00068765i,-0.00031723+0.00025461i,-0.00065889-0.00012456i,-0.00096297-0.00048854i,-0.0004407-0.00023597i,0.00022152+0.00020831i,-8.0094e-05+7.0848e-05i
-9.7657e-05+0.00069767i,0.00014356+0.0017154i,8.4861e-05+0.0015578i,-0.00027495+0.0016109i,0.00010575+0.0024768i,0.0011748+0.002905i,0.00093115+0.002276i,-0.00025489+0.00086468i,-0.00091161+6.2039e-05i,-0.00064609+0.00027174i,-0.00066594-0.00012523i,-0.00081362-0.00037115i,-0.0012473-0.00042189i,-0.00048355-0.0011232i,0.00010018-0.00031785i,-4.2835e-05+0.00042463i,0.00050111-3.0877e-05i,-5.2181e-06-0.00024827i,-8.566e-05-0.00030422i,0.00011954+0.00019256i,-0.0003537+0.00063098i,-0.00015179+0.00079033i,0.00054523+0.00064534i
0.00062906+0.00057865i,-0.00018922+1.5936e-05i,-0.0010144+0.00024272i,-0.0013804-0.00030114i,-0.00075213-0.0015974i,-0.00083567+3.5136e-05i,-0.0013919+0.0015075i,-0.0017821+0.0005365i,-0.0014386-0.00057017i,-0.0007198-0.00028713i,0.000144-7.0796e-05i,0.00045802-0.00013902i,-0.00043102+0.00050708i,-0.00097822+0.0010007i,-0.0012614+0.00037142i,-0.00013591-0.00016514i,0.00043738-0.00017171i,0.00052197-0.0001766i,0.00056011+9.3268e-05i,-5.7667e-05-0.00017403i,-0.0001707-0.00017957i,0.00030492+0.00019449i,0.00045985+8.493e-05i
0.00097676-0.0010175i,0.0010539+0.00024087i,0.00060364-0.00049163i,-0.00093356-0.00082874i,-0.0020275+0.00065425i,-0.0015223+0.0010387i,-0.00074322+6.8493e-05i,-0.000429-0.00041933i,-0.00031285+0.00048596i,-0.00054847+0.00073557i,-0.00065587-0.00019048i,-0.00062416-0.00022595i,-0.00060044+2.3718e-05i,0.00015356+7.7164e-05i,0.00030889-0.0001117i,-0.00037765-0.00033821i,-0.00061467+0.00015701i,-0.00034125+0.00088858i,9.5534e-06+0.00018331i,0.0002483-0.00041634i,0.00044679-2.7364e-05i,0.00011354+0.00023918i,5.3867e-05+0.00066649i
-0.0011582+0.0012243i,-0.0015367+0.00026708i,-0.00083291-0.00015718i,0.0005666+0.00070484i,0.00040972+0.0016109i,0.00058394+0.0011198i,0.00011009+0.00098871i,-0.0013657+0.00095808i,-0.0015196+0.00049416i,-0.00022135+0.00017095i,0.00082075-0.00072541i,0.00063297-0.0012553i,-0.00046629-0.0010292i,-0.00085706-0.00055776i,-0.0004612-0.00041654i,8.2341e-05+0.00023461i,-0.00021791+0.00099047i,-0.00015878+0.00092067i,-2.254e-05+0.00043601i,-5.3509e-05-8.3922e-05i,0.00020839+0.00011513i,4.734e-05+0.00017915i,-0.00018232-0.00028824i
0.0018037+0.00027947i,0.0015721+0.00053087i,-0.00018198+0.00037644i,-0.0015377+0.00030914i,-0.002233+0.00097239i,-0.0015876+0.0021248i,-0.00094848+0.0023121i,-0.00064051+0.00067403i,-0.00027638-0.00011661i,0.00010642-0.00018155i,-8.7539e-05-0.00057682i,-0.00062785-0.0006472i,-0.00085432-0.00012879i,-0.00066573+0.0004052i,0.00019667+0.00075284i,0.00059254+0.0012972i,0.00018173+0.0016966i,0.00010413+0.0004823i,0.0002873-0.00057787i,0.00039908-0.00022484i,0.0007436+6.9531e-05i,0.00020691-3.5487e-05i,-0.00069104+0.00018405i
-0.00057621+0.00031614i,-0.00041645+0.00089436i,0.00025825-0.00055456i,0.00076362-0.0015071i,0.00037191-4.8343e-05i,-0.000474+0.0015049i,-0.00039701+0.0012329i,-8.6545e-05-0.0001099i,-0.00047289-0.00033918i,-0.00012011+0.00019674i,0.00035272+0.00069968i,-0.00073321+0.0006537i,-0.0011687+0.00025809i,-0.00016581+0.0010902i,0.00019437+0.0010835i,-0.00041298-3.0219e-05i,-0.00019292-0.00031067i,0.00096325-4.692e-05i,0.0015418+0.0008205i,0.001001+0.00085369i,0.0010849-0.00056572i,0.001549-0.00077403i,0.0011482+0.00032817i
0.00058933+9.8189e-05i,0.0006573-0.00032085i,0.0013726-0.0017599i,0.0011118-0.002089i,-9.7145e-05-0.0012079i,-0.00068108+0.00059977i,-0.0010261+0.0016816i,-0.0012072+0.0014263i,-0.00078838+0.00097375i,-0.00013145-0.00028316i,-0.00023764-0.00059805i,-0.0008638-7.1372e-05i,-0.000566+0.00017502i,-4.207e-05+0.00071339i,9.9875e-05+0.00064726i,0.00010499+8.111e-05i,0.00072659-0.00065792i,0.0011218-0.00059168i,0.0007107+0.00021527i,0.00072592+0.00014311i,0.00065225-0.00082666i,0.00071119-0.0008831i,0.00055666-0.00022427i
0.00013659+0.001158i,0.00032022+0.0012874i,-0.00092922+0.0014907i,-0.0008793+0.0014359i,0.00026807+0.00096378i,3.3143e-05-0.00045557i,-0.00077922-0.0012518i,-0.0011584-0.00014521i,-0.00085436+0.0010984i,0.00029087+0.00086567i,0.00054087+0.00059608i,0.00053824+0.0002672i,0.00016499+5.3555e-05i,-0.00043019-0.00022895i,-0.00027724+0.0004412i,0.00021776+0.001047i,0.00064122+0.00021067i,0.00025511+1.6598e-05i,-0.00049183-0.00033571i,-0.00026573-0.00053568i,0.00023555-5.2512e-05i,0.00087029-0.00054577i,0.0012107-0.00031968i
0.00024723-0.0010702i,0.0004006-0.001418i,0.0012437-0.0019765i,0.00066186-0.0023016i,0.00021681-0.0010945i,0.00044364+0.0011557i,0.00038187+0.0014286i,0.00017065-0.0001001i,-0.00025345-0.00049674i,-0.00038077+0.00032003i,0.00022467+0.00057548i,0.00030845+0.0007396i,-9.069e-05+0.00028754i,-0.00037334-5.257e-05i,-6.7187e-05-0.00011944i,0.00057002-0.00039925i,0.00041368-0.00056492i,0.00032642+7.9621e-05i,0.00051488+0.00094762i,0.00030817+0.00063371i,0.00023195+2.6833e-05i,0.00028526+5.1079e-05i,0.00080184+0.0008045i
0.0005859-0.00078334i,0.00014238-0.00027126i,0.00018387-0.0011957i,0.00059376-0.0011029i,0.00036804+0.00020552i,0.00043098+0.00036446i,-0.00013189+0.0003128i,-0.0010777-0.00012011i,-0.00092549-0.00029876i,7.9855e-05+0.00020673i,0.0003914+0.00031833i,-0.00019669+1.5502e-05i,-0.000761-0.00052256i,-0.0005864-0.00012358i,-0.00089678+0.00054413i,-0.0010484+0.00057757i,-0.00074915+0.00069302i,-0.00024477+0.00034298i,-0.00013276+0.0001461i,-0.00035788+7.7298e-05i,-7.0669e-05-0.00024441i,0.0003694-0.00020747i,0.00036211-0.00035938i
-0.00033617+0.0012002i,-0.0014009+0.00084856i,-0.0015193+0.00074281i,-0.0012978+0.0013328i,-0.00055423+0.0018745i,0.00036097+0.0028655i,0.00022058+0.0027545i,-0.00073697+0.0010816i,-0.00095175+0.00023514i,-4.3144e-05+2.8298e-05i,0.00021855-0.0001323i,-0.000149+0.00031673i,0.00014637+0.00075145i,-0.00020768+0.00067583i,-0.00097405+7.4141e-05i,-0.0012995-0.00012388i,-0.00085141-4.1429e-07i,0.00014045-0.00015264i,0.00078991-0.00023757i,0.0014814-0.00019116i,0.001107-0.00054049i,7.6837e-05-0.00093013i,0.00011672-0.00044729i
0.0011387-0.00018746i,0.00082991-0.00022663i,0.00045806-0.00027318i,-0.00045268-0.0017619i,-0.00096712-0.0021097i,-0.00099245-0.00028405i,-0.00086128+0.0008944i,-0.0013581+0.00072747i,-0.0015075+0.00011407i,-0.0010749-0.00044456i,-0.00096769-0.00067621i,-0.00082525-0.00029858i,-0.00024235+8.3144e-05i,-9.2612e-05+0.00019356i,-8.5518e-06+9.3977e-05i,-5.3425e-05+0.00041108i,-0.00051784+0.00039393i,-8.2397e-05+0.00011235i,0.00090343-0.00021388i,0.00075805-0.00066796i,-0.00033754-0.00037563i,-0.00054294-0.00025646i,0.00045023+0.00015954i
-0.00037146-0.00013206i,-1.4429e-05-0.00062359i,-0.00035034-0.0013032i,-0.00025188-0.0008201i,-0.00014304+0.0014225i,0.00070216+0.002096i,3.8158e-05+0.00086674i,-0.0013283+0.00026036i,-0.0012799+0.00024881i,-0.00075465+0.00031668i,0.00010411-5.332e-05i,0.00040458+9.5997e-05i,0.0001685+0.00019345i,2.9885e-05-0.00024568i,0.00021778-0.00017903i,-9.7657e-05+0.00040313i,-0.00021811+0.00031487i,-0.00019806+0.00022156i,-0.00025711-3.0245e-05i,-7.7048e-05-0.00037836i,0.00014122-0.00029182i,-5.4807e-05-6.4731e-05i,-9.2581e-05+0.00081403i
-0.0012066+0.0010882i,-0.00040945+0.0016455i,-0.00033002+0.0022135i,0.00027666+0.0018333i,0.00151+0.0011815i,0.00068142+0.0012849i,8.7774e-05+0.00044398i,7.1746e-05+6.8986e-06i,-0.0006789+0.00020832i,-0.00056528+0.00018541i,0.00055155+0.00015715i,0.00034633-4.0261e-05i,0.00048366-0.00098667i,0.00067248-0.00079199i,-0.00053224+8.9891e-05i,-0.00056538+0.00059138i,7.4456e-05+0.00082324i,0.00061235+0.00039892i,0.00063131+0.00040116i,0.00054095+0.0010146i,0.00087112+0.00045821i,0.00058209+0.00017814i,0.00035034+0.00034666i
0.00082265+0.00058245i,0.0013299+7.48e-05i,0.0012335-0.00115i,-2.8022e-05-0.00072522i,-0.0010282+0.0008119i,-0.0012063+0.0021442i,-0.0017522+0.0013224i,-0.0014821-0.00036101i,-0.00059925-0.00014515i,-0.00080943+0.00051863i,-0.00025117+0.00039488i,-0.00026516+0.00034008i,-0.00085701+0.0004227i,-0.00080237+0.00014424i,-0.00030435-0.0002339i,0.00015069+0.00041636i,-0.00015036+0.00086602i,-0.00088094+0.00036114i,-0.00061434+0.00086001i,0.0007366+0.00091268i,0.0014592+0.00073057i,0.00034502+0.00057119i,-0.00061778-9.9538e-05i
-0.0004959+0.0017238i,-0.0014432-0.00011852i,-0.0017644-0.0020357i,-0.00074971-0.0016213i,7.3647e-05+0.00014093i,0.00052661+0.00091958i,0.00011945+0.00071293i,-0.00079304+0.00010441i,-0.0008284-0.00049032i,-0.00025175-0.00043491i,0.00012609-1.8984e-05i,-0.00080234+8.4139e-05i,-0.001395-0.00027799i,-0.00072722-0.00073247i,0.00030142-0.00040205i,0.00042609+0.00049395i,0.00037951+0.00039124i,0.0001911+0.00064778i,-0.00016977+0.00077373i,-0.0007648+0.00041384i,-0.0012252+0.0003094i,-0.0011866+0.00036233i,-0.00075919+0.00045028i
-0.00018313-0.00017462i,0.00044627+6.9862e-05i,-0.00015321+0.00097514i,-0.00022525+0.0019356i,0.00022505+0.0024269i,0.0002959+0.0024468i,0.00010535+0.0018189i,-0.00015791+0.00057827i,-2.1256e-05-0.00023987i,6.4535e-05-0.00031928i,0.00019932-0.00014778i,0.00028919+0.0003737i,-0.00013717+0.00038656i,-0.00041826-0.00021426i,-0.0004805+0.00010029i,-0.00019344+0.00030531i,4.2321e-05+6.6093e-05i,-0.0001096+3.2893e-05i,0.00021777+0.00046343i,4.4324e-05+1.5509e-05i,-0.00034979-0.00061526i,0.00015852-0.00092108i,0.00044162-0.0006155i
-0.00049093+0.00078919i,0.00049071+0.0015127i,0.0011352+0.00026899i,0.00088439-0.001112i,0.00062649-0.00024693i,0.00057615+0.0017273i,-0.00023871+0.0021029i,-0.00074455+0.00074254i,-0.00091754-0.00016591i,-0.00074872-0.00021925i,-9.6187e-05-0.00036576i,0.00035929+0.0001506i,0.00060085+0.00098822i,7.5687e-05+0.00068284i,-0.00039348+0.00043182i,-0.00043756+0.000315i,-0.00027549+0.00034041i,-0.00012436+0.00023792i,-0.00029378+0.00046969i,0.00010062+0.00094887i,0.0005933+0.0013618i,0.00053372+0.00075007i,0.00022881-0.00071224i
0.00020512-0.00010972i,1.5505e-05-0.0010927i,-0.00020496-0.0023982i,-0.0011821-0.0027022i,-0.0018574-0.0010604i,-0.0013109+0.0011301i,-0.00097163+0.0012833i,-0.0011431+0.00013006i,-0.001527-0.00021433i,-0.0015769+0.00073227i,-0.0010695+0.00092778i,-0.0018435+0.00062274i,-0.0024337+0.0012495i,-0.0017966+0.0010492i,-0.00053523+0.00046965i,0.00087604+0.00072879i,0.0010798+0.00091405i,0.00052963+0.00056184i,0.00056381-4.3765e-05i,0.00046728+1.3319e-05i,0.00034231+0.00057704i,-0.00018949+0.0004577i,-0.00088844-8.2976e-05i
-0.0013228+0.00094015i,-0.00059839+0.00071145i,0.00010863+0.0014961i,0.0012947+0.002107i,0.0010659+0.0014871i,-1.3731e-05+0.00096548i,-8.4865e-05+0.0006414i,-2.1989e-05-0.00012775i,-0.00060277-0.00027096i,-0.00032554+0.00010866i,0.00047294+0.00033966i,0.00036788-7.0583e-06i,-0.00025588-0.00083577i,-0.00024041-0.00044695i,-0.00030046+0.00086395i,-0.00069478+0.0013978i,-0.00084128+0.0014528i,-0.00094826+0.0015376i,-0.00052828+0.00083552i,8.1678e-05+0.00020994i,0.00014746+7.1591e-05i,0.00015711-0.00028694i,-5.5586e-05-0.00060627i
0.00043378+0.0012053i,0.00026924+0.0015741i,-0.00024866+0.00078841i,-0.0015631+0.0012604i,-0.0013419+0.0015499i,-0.0015354+0.00094863i,-0.00134+0.00053471i,-0.00077009-0.00043527i,-0.0013495-0.0012375i,-0.0012695-0.00084005i,-0.00048801-0.00027082i,0.00015598+0.00030964i,9.6928e-05+5.4132e-05i,-0.00051773-0.00049433i,-0.0011613-0.00046535i,-0.0013468-2.1772e-05i,-0.0010133-0.00033757i,-0.0003644-0.00050684i,0.00020833-0.00016276i,0.00066343-0.00041033i,0.0010308-0.00025839i,0.00092947+0.00035194i,0.00015437+0.00075i
0.0009833-9.504e-05i,0.0013014-0.00035213i,0.00048688-0.0017728i,-2.8188e-05-0.0017762i,-0.00023264-0.00017176i,-0.0014759+0.0014555i,-0.0019522+0.0017263i,-0.0019012+0.00093163i,-0.0015749-0.00010116i,-0.0008768-0.0012035i,-0.00076881-0.0008909i,-0.0013697+0.00012069i,-0.0011126+0.0004537i,-0.00018135+0.00051432i,0.00018834+0.00066136i,0.0003767+0.0004861i,0.0005754+0.00043369i,0.00021391+0.00049296i,-0.00029963+0.0001306i,8.0462e-05+0.00029417i,0.00038391+0.00066572i,-0.00013982+0.00072372i,-0.00073448-4.5635e-05i
-0.0011523+0.00027903i,-0.0011912+0.0014431i,-0.00077045+0.0012009i,7.1373e-05+0.00037481i,0.0011786+0.00088363i,0.0012344+0.0015829i,0.00021729+0.0009578i,-0.00076589+0.00024701i,-0.0010333+0.00032495i,-0.00011179+0.00016045i,7.1219e-05-0.00044412i,-0.00063859-0.00096699i,-0.00042463-0.00031141i,-0.00013055+0.00065212i,-0.00023073+0.00033101i,-0.00024954+0.00077027i,-3.1819e-05+0.0018423i,-9.8076e-05+0.00051275i,0.00027012-0.00074117i,0.00086512-0.00057024i,0.00097511-0.00034134i,0.00036278+0.00018652i,-6.6228e-06+0.00017003i
0.0010654+6.5471e-05i,0.00067006+0.00090183i,0.0011343+0.00032713i,0.0014933-0.00078364i,0.00033431-0.00060988i,-0.00095041+0.00057649i,-0.00066776+0.0011458i,-0.00030488+0.0016514i,-0.00073867+0.0013059i,-0.00057042+0.00071354i,0.00011694+0.00052905i,0.00020584+0.00054007i,0.00045548+5.0936e-05i,0.00043017-0.00033231i,-0.00039325-0.00036355i,-0.00089395-0.00027326i,3.0757e-05-0.00035888i,0.0011373-0.00061701i,0.00096923-0.00068497i,0.00057792-0.0011247i,0.00082728-0.0013613i,0.00089768-0.00058913i,0.00011152-3.3374e-05i
0.0001598-0.00037039i,0.00073692-0.00060674i,0.00072876-0.0010352i,0.00071491-0.00028952i,0.00060288+0.00066538i,0.0006212+0.00093388i,0.00044422+0.00074151i,-0.0003692+0.00054532i,-0.0013077+0.0007992i,-0.00043695+0.0010256i,0.00057221+0.00073776i,0.00012014+2.2368e-06i,-0.0008287-0.00068257i,-0.0019477-0.00079126i,-0.002119-0.00018144i,-0.0019791+6.3715e-05i,-0.0015489-8.2459e-05i,-0.0004536+0.00016345i,-0.00027344+0.00011007i,-0.00064147-1.392e-06i,0.00011249+0.00060543i,0.00080349+0.00065841i,0.00046421-9.42e-07i
-0.00019238-0.0019011i,-0.00092127-0.00048158i,-0.00080184-0.00064805i,-0.0015535-0.00098072i,-0.0022494+2.145e-07i,-0.0017125+0.0021373i,-0.0011307+0.0027082i,-0.00084074+0.0013117i,-0.0012076-5.48e-05i,-0.0010401-0.0010303i,-0.00051697-0.0014864i,-0.0011047-0.00099441i,-0.00086956-0.00037735i,1.9854e-05-0.0001868i,0.00045738-0.00020276i,0.00084811-0.00033721i,0.00079599-0.00024548i,0.00015253+0.00047903i,-7.2543e-05+0.00089525i,0.00050428+0.00033591i,0.00039781+4.909e-05i,-0.00036532-0.00013099i,-0.00029204-0.00017473i
0.0010227+0.0011915i,0.0012246+0.001561i,0.001588+0.0022005i,0.0015335+0.0013116i,0.0010566+0.00028546i,1.9538e-05+0.00095003i,-0.00070328+0.0012188i,-0.0010899+0.00072348i,-0.0014014+0.00013735i,-0.0013943-0.00013933i,-0.00077609-0.00029677i,4.5688e-05-0.00050001i,0.00060035-0.00053612i,0.00019785+0.00025268i,0.00022703+0.00016122i,0.00077551+0.0005033i,0.0012025+0.0004255i,0.0014773-0.00027858i,0.00089549+0.00085693i,3.9812e-05+0.00058696i,0.00042268-0.00065632i,0.00087591-0.00072027i,0.00076412-0.00026923i
-0.00087222+0.00011145i,-0.00037143+0.00051163i,-0.00096071-7.3773e-05i,-0.0014279-0.00027114i,-0.00075229+0.00034898i,-0.0003732+0.0010494i,-0.0009982+0.0016128i,-0.0022432+0.0017783i,-0.0016405+0.00094955i,-0.00035365+0.00059197i,-0.00016794+0.00069929i,-0.00096837+0.00062686i,-0.0012261+0.00017604i,-0.001005+0.00049484i,-0.00079035+0.00067163i,-0.00021906-5.9938e-05i,8.6452e-05+0.00022816i,9.648e-06+0.00037973i,-9.8605e-05-0.00029501i,-0.0001099-0.00075024i,-1.9353e-05-0.00039096i,-0.0002192-0.0010403i,-0.00035137-0.0011572i
-0.0014106-0.00035944i,-0.0004366-0.00066152i,0.00034014-0.00056059i,4.9772e-05-0.00039507i,8.4636e-05+0.00037839i,0.00022182+0.00078405i,-6.7104e-05+0.00074094i,-0.00029373+0.00056767i,6.9027e-05+0.00020716i,0.00085973-0.00028826i,0.0014445-0.00032674i,0.00041821+0.00017559i,-0.00071305-0.00012354i,-0.00017088-0.00063658i,0.0006858-0.00011454i,0.00040346+0.00055429i,-0.00015162+0.00022112i,0.00023876-6.5263e-05i,0.00080118-0.0002185i,0.00067068-0.00078873i,0.00054249-0.0011728i,0.00057826-0.00097428i,-0.00057634-0.00071514i
0.00036872+3.8945e-05i,0.0005476+0.00027299i,0.00023599-0.00054044i,0.00068938-0.00062355i,-0.00040935+0.00077948i,-0.0014462+0.0021184i,-0.00029462+0.0014197i,-0.00017176+5.3352e-05i,-0.0016225-0.00046964i,-0.0010148-0.00032293i,-0.0004386-0.0001407i,-0.00034637-0.00081986i,0.00072987-0.00080788i,0.00068089-0.00029251i,-0.00046472-8.5538e-05i,-0.00015274-0.00019823i,0.00023433-0.0010747i,-0.00023475-0.0011627i,-0.00035978-0.00010283i,0.00025277+0.00057612i,0.00052256+0.00044709i,-0.0001974+0.00027952i,-0.0011209-7.8198e-05i
-0.0013421-0.0011544i,-0.0015235-0.00059948i,-0.0016905+0.00074028i,-0.0014542+0.0012102i,-0.00042321+0.0020951i,0.00028369+0.0021591i,-0.00086975+0.00080482i,-0.0019032+0.00016885i,-0.0014925+0.00042296i,-0.00051322+0.00053414i,0.00030548+0.00031333i,8.0027e-05+0.00030447i,-0.00026218+2.8511e-05i,-0.00036356-0.00024168i,-6.5799e-05-0.00037856i,0.00085843-0.00059942i,0.0015138-0.00038891i,0.0014718-0.000194i,-4.2817e-05-0.00015315i,-0.00070744-0.00018914i,-0.00071594-0.0001101i,-0.00032863+6.1744e-05i,0.00039225+9.5365e-05i
-3.0078e-05-0.0002639i,-0.00036548-0.00092756i,0.00038054-0.0021739i,0.00052504-0.0025506i,-0.00011765+4.5577e-05i,-0.001131+0.0026288i,-0.0011909+0.0025625i,-0.00074+0.0021837i,-0.00093894+0.0016508i,-0.0010881+0.00095116i,-0.00097001+0.00061032i,-0.0011284+4.2118e-06i,-0.0012406-0.00051744i,-0.00071152-0.000263i,0.00072011+0.00051194i,0.001305+0.00035221i,0.0012461+0.00013403i,0.0013542+0.00063163i,0.000402+0.0010203i,0.00011106+0.00047605i,-0.00029061-0.00056137i,-0.00050094-0.00073353i,-0.00039306-0.00020841i
-0.00011814+0.0020396i,6.2143e-05+0.0012107i,0.001477+0.000686i,0.00151-2.0792e-05i,0.00067671-0.00054416i,-0.00048687+0.00039155i,-0.00076582+0.0015923i,-0.00071466+0.0017165i,-0.00071762+0.00038362i,-1.1087e-05-0.00064218i,-0.00020109-0.00022747i,-0.00045779+0.00010888i,0.00027568-0.00030492i,0.0001446-0.00057302i,-0.0001461-0.00042904i,0.00066572-0.00047997i,0.00092546-0.00033118i,0.00023978-0.00044081i,-0.00011727-0.00075553i,0.00028742-0.0003328i,0.00050451-5.233e-05i,0.00013493+0.00035218i,0.00063474+0.00068012i
-0.00081924-0.0012167i,0.00013867+0.00090233i,-0.00021911+0.0021261i,-0.00069839+0.001971i,7.0436e-05+0.002145i,0.0013624+0.002148i,0.00090937+0.001274i,-0.00066777+0.00058574i,-0.001841+0.00019627i,-0.0016783-0.00012622i,-1.7159e-05-0.00074137i,0.00073307-0.00089671i,0.00026455-0.00092417i,-9.7836e-05-0.00080074i,-0.00076038-0.00074979i,-0.0011432-0.00065339i,-0.00045591-0.00021549i,-5.5398e-05-0.00018399i,-0.00034935-0.00010054i,-0.0004843+1.1862e-05i,-0.00042393-0.00018071i,-0.00019708+0.00040845i,2.2206e-05+0.0010747i
-0.0015984+0.00086387i,-0.0017584-0.00073206i,-0.0015711-0.0010202i,-0.0016738-0.00098009i,-0.0005903-6.4668e-05i,2.0762e-05+0.0013878i,-0.00070414+0.0014194i,-0.0009719+0.00034617i,-0.00040195+0.00034568i,-0.00043948+0.00022297i,-0.00077235-0.00055085i,-0.0010863-0.0013688i,-0.0012842-0.0011427i,-0.0021605-0.00043141i,-0.0017926+0.00032157i,-0.00050991+0.00092499i,-0.00024781+0.0010608i,-0.00024429+0.00035683i,-3.2424e-05-0.00067826i,0.00024422-9.0568e-06i,-0.00035354+0.00039162i,-0.0008801-0.00031744i,-0.00060144-0.000275i
-0.00050309+0.00010119i,-0.0012667-8.2776e-05i,-0.001105+0.00092312i,-0.00085522+6.153e-06i,4.6812e-05+4.1698e-05i,0.00010262+0.0015195i,2.8592e-05+0.0016485i,-0.00058568+0.00094741i,-0.0016448+0.00099817i,-0.0015391+0.0014911i,-0.00091252+0.0010895i,-0.0011493+0.0010248i,-0.00067706+0.00098525i,0.00058345+0.00086557i,0.00095678+0.0011244i,0.0007333+0.00099013i,0.0010733+6.3113e-05i,0.0010609-0.00075782i,0.00021435-1.2467e-05i,0.0001912+0.00054366i,1.904e-05+0.00056615i,-0.0003181+0.00056608i,-1.5502e-05+0.00033266i
-0.0011+0.00090572i,0.00067572-0.00063914i,0.001202-0.00027388i,0.00098593+0.00065908i,0.0011642+0.0013137i,0.00028928+0.0012883i,-0.00091661+0.00037614i,-0.0013655+0.00057487i,-0.00082009+0.001302i,-7.3983e-06+0.00096153i,0.0007405+0.00089641i,0.0011109+0.00095515i,0.00067141+0.00018859i,-6.6802e-05+2.7337e-05i,-0.00074238+0.00076106i,-0.00050968+0.00076422i,7.9282e-05+0.00044234i,0.0001345+0.00015965i,-1.2177e-05-0.00027839i,-0.00015057-0.00031961i,0.00018808-0.00062267i,0.0006118-0.0012764i,0.00020266-0.00068949i
-0.0001758+0.00022949i,0.00059973-6.7456e-05i,0.00047801-0.00085655i,0.00063003-0.0010388i,0.00091173+0.00058705i,0.00050776+0.0024488i,-3.1696e-05+0.0023123i,0.00034926+0.0004952i,0.00053371-0.00032462i,0.0004585+0.00015167i,0.00070568+0.00036424i,0.00090827+0.00019309i,0.00011138-0.00012249i,-0.00074434-0.00022416i,-0.00083976+2.4359e-05i,-0.000881+0.00033751i,-0.00055592+0.00041752i,-4.6179e-05+0.00027879i,-6.3979e-05-5.5494e-05i,3.5714e-06-0.00037697i,-0.00046131-0.00071387i,-0.0001783-0.00058153i,0.00059092-0.00031915i
-0.0010923-0.00090902i,-0.0013036-0.00027393i,-0.0013973+0.00085463i,-0.00090343+0.0004394i,-0.00049883+0.00053256i,0.00013226+0.0010108i,-0.00031724+3.807e-05i,-0.0010787-0.00077219i,-0.0012224-0.0010314i,-0.0012778-0.0011498i,-0.0019379-0.001522i,-0.0018708-0.0022948i,-0.0011557-0.0025467i,-0.00094822-0.0020557i,-0.00042607-0.0006505i,0.00024884+0.00060385i,-4.6852e-05+0.00047392i,-0.00047521-0.00050067i,-0.00032153-0.00063633i,5.768e-05-0.00032248i,0.00023201-0.00013973i,0.00036919-0.00081948i,0.00014979-0.00076279i
0.0023914+0.0011359i,0.0031669+0.0014951i,0.0045235+0.00067865i,0.0042052-0.00032426i,0.0019924-0.00010766i,-0.00030714+0.00098919i,-0.0018933+0.0016794i,-0.0019861+0.0020836i,-0.0016438+0.0011996i,-0.0011484-0.00010916i,-0.0011945-0.00039397i,-0.00055484+0.00032619i,0.00039205+0.0013326i,0.000244+0.0016429i,3.2314e-05+0.0018085i,-9.9304e-05+0.0012965i,0.00020638+0.00062427i,0.00085108+0.00050514i,0.00085398+0.00089001i,0.001057+0.00090716i,0.00090564+0.00069017i,0.00054649+8.8886e-05i,0.00085635+0.00019403i
-0.00072915+0.0019179i,-0.0021157+0.00063812i,-0.002345+0.00047i,-0.0016033+0.00026366i,-0.0013907+0.0012884i,-0.00069983+0.0018645i,-0.00057944+0.0010908i,-0.0013757+0.00070606i,-0.00069811+0.0010103i,0.00027675+0.0013828i,0.00046917+0.001364i,-0.00036995+0.0017621i,-0.0015129+0.0015771i,-0.0018504+0.00055156i,-0.00087223-0.00026692i,0.00022343-0.00075774i,0.00044948-0.00035086i,0.00054007-3.3819e-05i,0.0004634-0.00030817i,-4.3968e-05-0.00059144i,-0.00019011-0.00048436i,-3.175e-06+0.00019939i,-0.00012448+0.00018824i
