0.0013456+0.0016709i,0.0024766+0.0017636i,0.0022651+0.0018148i,0.0014681+0.00090941i,0.0015183-0.00036311i,0.0013176-0.00092254i,0.00046804-0.0012019i,-0.00031862-0.00063397i,-0.0004284+0.00033957i,-0.00051907+0.00062779i,-0.00024276+5.2769e-05i,0.0004865-0.00045063i,0.00070732-0.00012507i,0.00074339-3.8762e-05i,-0.00015516-0.00022444i,-0.00052516-5.8552e-05i,-4.0553e-05+0.00030371i,0.00013038+0.00031172i,-0.00011247+0.00022624i,-0.00015935-5.4824e-05i,-0.00027801-0.00035415i,-0.00063936-2.9084e-05i,-0.00033527+0.00028962i
-0.00083002+0.00026073i,-0.0021735+0.00084738i,-0.0025544+0.0010325i,-0.0013318+0.00058473i,-0.00019832+0.0003755i,0.00021764+0.00026425i,-4.9126e-05+9.0818e-05i,-0.00034953+0.00025155i,-0.00057725-1.9975e-05i,-0.00036381+0.00035784i,-0.00037635+0.0017925i,-0.00010825+0.0018374i,-0.00032488+0.0013896i,-0.0011393+0.0011856i,-0.00095621+0.00025345i,-0.00022547-0.0002717i,0.000257+0.00059314i,0.00033173+0.00037168i,0.00032664-0.00032695i,-5.5632e-05-1.4889e-05i,-6.1858e-05-0.00020512i,0.00021755-0.00083192i,0.00016581-0.00013118i
0.00066754-0.00050397i,0.00035125-0.00084973i,-9.0055e-05-0.00032592i,-0.0003179+0.00035247i,-0.00018472-0.0001781i,0.00019219-0.00062536i,-0.00057371+0.0002686i,-0.001978+0.0010287i,-0.0017614+0.00066445i,-0.001208+0.00060352i,-0.00038054-7.8078e-05i,-7.5089e-05-0.00039195i,0.00051679-2.6292e-05i,0.0005263+0.00025134i,-0.00016948+0.00020625i,0.00035759-0.0003415i,0.0010404-0.0003271i,0.00084613-0.00056849i,0.0010489-0.001032i,0.0012155-2.3445e-05i,0.00075743+0.00050004i,-0.00015341-0.00055032i,-0.00074628-0.0007097i
0.00012606-0.00013708i,0.00036323+0.00044769i,0.00088432-0.0004156i,0.00032665-0.00065259i,-0.00099309-0.00019213i,-0.00071348-2.5434e-05i,-0.00033945+0.00032242i,-0.00088621-0.00019135i,-0.00077748-0.00074556i,-0.0006884-0.00084563i,-0.001026-0.00015903i,-0.00092398+0.0004551i,-0.00064223+9.4491e-05i,-0.00030375-0.00051392i,0.00072426-0.00069766i,0.0012152-0.0002025i,0.00049515-0.00014039i,-0.00049965+0.00010705i,-0.00033228+0.00051272i,0.00040951+0.00065692i,3.6433e-05+0.00079512i,-3.9237e-05-0.00036574i,-0.00027046-0.00089887i
-0.0010827-0.0011761i,-0.0016415-0.00069562i,-0.0021834+0.00089445i,-0.0014214+0.0015926i,-0.00036785+0.0019191i,-8.1496e-05+0.0017844i,-0.00028676+0.00030125i,-0.00045466-0.00087644i,-0.0008386-0.00011227i,-0.00091607+0.00045162i,-0.00066625+0.00015159i,-0.00071638+0.00014712i,-0.00042603-0.00042942i,0.00071972-0.00075237i,0.00125-0.00023765i,0.00090071+0.00041483i,0.00017189+0.00064137i,0.00029097+0.00058658i,0.00059689+0.00047749i,0.00048764+0.00011486i,0.00033636+9.4056e-05i,-4.0596e-05+0.00040548i,-0.00032157+0.00037798i
0.0010833-2.6631e-05i,-0.00013633+0.00068566i,-0.0003+0.00070669i,0.00041482+0.00029344i,-0.00031745+3.6265e-05i,-0.0006185+0.00051799i,-0.00052962+0.00022759i,-0.00077621-0.00033763i,-0.00031883+9.1087e-05i,5.5747e-05+0.0004025i,1.4484e-05+0.00058901i,-0.00047254+0.0010507i,-0.00065997+0.00086191i,-0.00017486+0.0004114i,0.0004167-1.5534e-05i,0.00043645+0.00028818i,0.00024721+6.3881e-05i,-0.00014115-0.00044543i,-0.00041724-0.0003916i,-0.00013429-0.00024132i,-0.00010471+7.6182e-05i,-0.00023126-0.00024341i,1.2308e-05-0.0004067i
4.3266e-05-0.00011615i,0.00038974-0.00034922i,0.00047797-0.00041078i,0.0012197+8.5542e-05i,0.0010468-0.00026482i,0.00056545-0.00012754i,-0.00017194+0.00074463i,-0.00073243+0.0015832i,-0.00018029+0.00089348i,-6.7824e-07+0.00056629i,-0.00020368+0.00064037i,0.00041442-0.00029563i,0.0011926-0.00026111i,0.00083561-0.00040198i,0.00041486-0.00061757i,-0.000161-0.00049445i,-0.00060035+0.00019051i,-0.00025116-0.00013897i,-0.00022695-0.00048648i,-0.00040744+0.00088539i,-0.00027229+0.0011717i,-0.00057882+5.6539e-05i,-0.00097172-0.00054384i
0.0025043+0.00013189i,0.0026981-0.0006842i,0.0020186-0.0018637i,0.00073616-0.0017316i,-0.00060705-0.00058891i,-0.0010529-9.8427e-05i,-0.0014151-0.00044006i,-0.00098919-0.00086718i,-0.00011332-0.00041407i,-0.00018481+0.00040091i,-0.00037297+0.0005298i,-4.6206e-05+0.00035839i,0.0003849+7.9823e-05i,3.23e-05+0.00041923i,-0.00077739+0.00053249i,7.7887e-06+0.0001045i,0.0013658-0.00019112i,0.0013045-0.00023924i,0.00040917+0.0003387i,0.00025237+0.000698i,0.00045307+0.00036849i,-3.0883e-05+6.4023e-05i,-0.00061196-0.00040719i
-0.00030043-0.00091762i,-0.0014702-0.0016932i,-0.0013018-0.0016594i,-0.0012241-0.0011882i,-0.0014732-0.0014751i,-0.0016215-0.0012589i,-0.00087239-0.00054424i,-2.3214e-05-7.7918e-06i,-0.00012743+0.00035252i,-0.0003244+0.0005571i,-0.00050346+0.00044695i,-0.00075051+0.00052528i,-0.00060731+0.00082351i,-0.00041178+0.0009811i,7.7115e-05+0.0013716i,2.5985e-05+0.0010562i,-0.0001279+0.00038935i,8.5695e-05+0.00040758i,0.00067623-0.00046428i,0.00063262-2.6688e-05i,-5.7267e-05+0.0005542i,-0.00012267+9.5534e-06i,-0.00055422-0.00015321i
0.0013677-0.00015325i,0.00079633-0.00087543i,0.00011988-0.00082993i,-0.00019115-0.00039382i,-0.00035455+4.7163e-05i,-0.00060381+6.5417e-05i,-0.001065+0.0001071i,-0.00050354+0.00025801i,0.00021803+4.2234e-05i,0.00020651-0.00032997i,0.00062302+2.7974e-05i,-6.1837e-05+0.00013835i,-0.0011935+0.00013055i,-0.00052417+0.00055688i,0.00040261+0.0006088i,0.00099279+0.00046628i,0.0011412+0.00069957i,0.00074953+0.00058029i,9.551e-05+0.00023056i,-0.00022041-0.00010016i,-0.00019832-0.00035609i,-2.5452e-05-0.0001595i,0.00037871-0.00016378i
