-0.001223-0.00031605i,0.00029728-0.0013666i,0.00070859-0.00028537i,0.001096+0.0015366i,0.0011808+0.002714i,0.00090916+0.0022318i,0.0010709+0.0014324i,0.0008631+0.0012789i,0.00058865+0.0012709i,0.00060668+0.00079512i,0.00018154+0.00018045i,0.00072738-0.00021525i,0.00097333-0.00027548i,0.00053142+0.00016805i,0.0002828+0.00087474i,-6.5981e-05+0.0011715i,-9.0702e-05+0.0007094i,0.00011046-0.00013449i,0.00033064-0.00047223i,0.00049505-0.00039116i,-0.00034244-0.0004204i,-0.00074025-0.00098377i,0.00011595-0.0012392i
0.0010134-0.00056656i,0.0017784-0.00054914i,0.0010824-0.00078043i,0.00079543-0.00074471i,0.0015803-0.00033547i,0.0015332-5.3159e-05i,0.00057468-0.00016819i,-0.0003544-8.3889e-05i,-0.0004136+0.00026966i,0.0003264-2.587e-06i,0.00022745+6.9544e-05i,-0.00051256+9.3828e-05i,-0.001096-0.000767i,-0.0006532-0.00066598i,0.0001491-4.2509e-05i,0.0012103+0.00010931i,0.0014442+0.00022068i,0.00079723+8.2101e-05i,0.0002501-9.2408e-05i,9.4556e-05-9.5391e-05i,5.2857e-05-0.00018209i,-0.00010537-0.00033383i,0.00038694-0.00052896i
-0.00087399-0.0012561i,-0.00077321-0.00023186i,0.00016457+0.0011812i,0.0016397+0.0020545i,0.0021966+0.0021888i,0.0019352+0.00088284i,0.0010345-4.5795e-05i,-0.00035448+8.5322e-05i,-0.00080327-7.1607e-05i,-0.00045431+0.00033522i,-0.00040012+0.0009474i,-0.00069504+0.00071208i,-1.8317e-05+0.00057776i,-0.00013907+0.00025834i,-0.00030168-0.00026256i,0.00024733-0.00015838i,-0.00014433-0.00015932i,-0.00042016-0.00032055i,0.00011116-0.00055435i,3.6646e-05-0.00027907i,-0.00020607+0.00049591i,-0.00047403+0.00017269i,-0.0002492+6.5135e-05i
-0.0002991+0.0015392i,0.0011725+0.0016905i,0.0023513+0.0017274i,0.0021298+0.001778i,0.0012889+0.00083451i,0.00081075-0.00053241i,0.00066251-0.0010315i,-0.00031082-0.00086311i,-0.00046231+5.4747e-05i,-0.00024535+0.00040633i,-0.00062905+0.00030207i,-0.0006832+0.00028864i,-0.00067532+7.1054e-05i,-0.00012163-0.00034398i,0.00052201-0.00031057i,0.00068069-0.00026684i,0.00062909-0.00049466i,0.00022952-0.00012408i,-0.00061438-0.00037092i,-0.00083967-0.00043447i,-0.00049613+0.00036225i,-0.00042793+0.00039375i,-0.00042405-0.00053148i
0.00013207+0.00046639i,0.00054107+0.00092109i,0.0022072+0.0012001i,0.0037769+0.0011956i,0.0033272+0.00019615i,0.0015357-8.535e-05i,0.00072422+0.00012466i,0.00041555+0.00064205i,0.00012204+0.0012638i,-2.0347e-05+0.0015613i,6.9285e-05+0.0014121i,-0.00028496+0.00097593i,-0.00022779+0.0004203i,0.00034452-0.00044219i,-9.563e-05-0.00094942i,-0.00081787-0.00071496i,-0.0011971-0.00073614i,-0.00045946-0.00093616i,-4.8099e-05-0.00041407i,-0.00058405+0.00036675i,-3.5075e-05-0.00018322i,0.00073517-0.00035623i,0.00026149+2.5538e-05i
8.9622e-05-0.00059948i,0.00064504-0.0011048i,0.0015723+0.000115i,0.0015239+0.0011258i,0.0017639+0.0012543i,0.0013282+0.0011164i,2.2796e-05+0.0001805i,0.00010864+7.5364e-06i,1.1544e-05+0.00014584i,-0.00082569-0.00055084i,-0.00044806-0.00094987i,-3.3457e-05-0.000339i,-0.00048565+6.7532e-06i,-0.00069013-0.00039471i,-0.00046478-0.00016073i,-0.00018143-3.9183e-05i,-7.1997e-05-0.00013999i,0.00023742+0.0011495i,8.6115e-05+0.0018807i,0.00037002+0.0014522i,0.00039658+0.0008764i,3.0982e-05+0.00037151i,0.00015797+0.00031118i
0.00083799+0.00038397i,0.0014414+0.00079603i,0.0019738+0.0010352i,0.0020406+0.00067037i,0.0021957+1.7744e-05i,0.0018894-0.00056083i,0.00097029-0.00035579i,0.00015255+0.00082464i,-6.7154e-05+0.0011136i,-0.00041925+0.00072274i,-0.00074042+9.0843e-05i,-0.00057161-0.00056595i,-0.00047185-0.0004701i,-0.00083683+8.2341e-05i,-0.00087148+0.00098385i,-0.00064944+0.0011115i,-0.00042321+0.00055767i,-0.00023018-1.2197e-05i,0.00021643-0.0003992i,0.0001478+0.00026007i,-0.00048062+0.00022432i,-0.00018907-0.00022915i,-0.00023305+0.00023101i
0.0013859+0.0001195i,0.00076172+0.00055845i,0.00012797+0.00065567i,0.00045873+0.00079134i,0.00055717+0.00054511i,0.00050012-2.8143e-05i,0.00077006-0.00027687i,0.00026757+0.00029914i,9.8848e-05+0.00029438i,0.00058009+0.00033821i,-0.00010201+0.00097411i,-0.00096798+0.0010958i,-0.00095333+0.0012724i,3.6404e-05+0.00072892i,-4.1827e-05-0.00044271i,-0.00032624-0.00093922i,0.0002555-0.00052649i,0.00055558+0.00022361i,0.00052993+8.4436e-05i,0.00073169-0.00054793i,0.0010275-0.00032576i,0.00088153-4.9989e-05i,6.7992e-05-0.00061422i
0.0023495+0.0015698i,0.0026897+0.00090268i,0.0030309+7.5054e-05i,0.0032911-0.00028086i,0.003688-0.0016299i,0.00246-0.001885i,-0.000426+0.00013791i,-0.0011729+0.0016294i,-0.00014098+0.0018506i,-0.00020427+0.00073371i,-0.00082883-0.00021826i,-0.0011417-0.0007458i,-0.00096256-0.0007536i,-0.00078389-0.00027647i,-0.00071898+0.00014741i,0.00010721+0.0003418i,-0.00018688-0.00011008i,-0.0010235-0.00023628i,-0.00074074+0.00018428i,-0.00028362+0.00024928i,0.00067087+7.3839e-05i,0.0012619+0.00017079i,0.0011727+3.1493e-05i
0.00033327-0.00099856i,0.00064496+0.00042607i,0.0017198+0.00073461i,0.0029448+0.00057416i,0.0027855+0.00012686i,0.0012875-0.00073627i,0.00014602-0.0010451i,-0.00013637-2.8427e-05i,-0.00013791+0.00070759i,-0.0004005+0.00066821i,-4.9197e-05+0.00058984i,9.669e-05+0.00074169i,-0.00041548+0.00029655i,-0.0011896+0.00016824i,-0.00066047-3.3578e-05i,-0.00023767-0.00048498i,-0.00054132-0.0002695i,0.00016414+0.00016566i,0.0007064-5.7915e-05i,0.00028674+9.214e-05i,0.00011501+0.000524i,-0.00020496+0.0007065i,-0.00099795+0.00020908i
-0.002822+0.0019014i,-0.0018766+0.0021813i,-0.00068273+0.0030089i,0.0011937+0.0027479i,0.0023893+0.0021858i,0.0021007+0.00062625i,0.0012123-0.00041394i,0.00086607-0.00013857i,0.00035982+0.00099772i,0.0004366+0.0012321i,0.00073233+0.00060506i,-0.00011138+2.1439e-06i,-0.00075213-0.00030468i,-0.0006923-9.2306e-05i,5.079e-06+0.00024727i,-0.00013322-2.5211e-05i,-0.0011816-0.00038488i,-0.0010638-0.00011238i,-0.00083643+0.00012229i,-0.0010045+9.8479e-05i,-0.0010782-0.00028395i,-0.00031851-0.00064027i,0.0004275-0.00052648i
0.0010077+0.0012569i,0.0019365+0.001263i,0.0028972+0.0011931i,0.0029498-5.5137e-05i,0.0022017-0.001078i,0.0010835-0.0008847i,-9.1396e-05+3.0151e-05i,-0.00040069+0.00039391i,0.00026038-0.0001717i,0.00063966-0.00023391i,0.001016-0.00044059i,0.0010415-5.2603e-06i,-0.00049546+0.0001551i,-0.0013385+0.00016058i,-0.00042809+0.00036671i,0.00078847+0.00020149i,0.0010419+4.2857e-05i,0.00079591-7.5634e-06i,0.00021122-0.00072894i,-0.00034012-0.0009045i,-0.00010535-0.00026694i,0.0006444-0.00037237i,0.00083632-0.00054529i
0.00162+0.00056393i,0.00088603-9.4562e-05i,0.0015581-0.00060623i,0.0029792-0.00054091i,0.0024953-0.00017706i,0.00075334-0.00039613i,0.0006747-0.00031824i,0.0010516-0.00015165i,0.00082111+0.00021296i,9.7678e-06+0.0010009i,-0.00068415+0.0011016i,-0.001197+0.00074514i,-0.00058126+0.00011953i,0.00046214-2.895e-05i,0.00017309+0.00022833i,-0.00035096+0.00051568i,-0.00040059+0.00040748i,-0.00022491-5.2238e-06i,0.00033648-7.0776e-05i,0.00030189-0.0002164i,3.8424e-05-0.00022743i,0.0006696-0.00038586i,0.00099094-0.00080506i
1.2545e-05-0.001609i,0.00015483-0.00038543i,0.00044627+0.00040491i,0.0012793+0.00072022i,0.0015587+0.00072877i,0.0020319+0.00037055i,0.0013729-7.0724e-05i,0.00014318-0.00010168i,0.00024794+4.928e-06i,-0.00019124+0.00040888i,-0.00045975+0.00075991i,0.00015331+0.00062602i,0.00072679+0.00022916i,0.00021103+0.00057257i,-0.00034741+0.00069567i,-0.00014761+0.00048829i,-3.6651e-05+0.001057i,0.0001786+0.00058117i,0.00044961+8.2255e-05i,0.00028058+7.1961e-05i,-1.017e-05+3.1497e-05i,-0.00027781+0.00018842i,-0.00053844+0.00028232i
-0.00059795-0.0010587i,-0.00046321+0.00097997i,-0.00013546+0.0015643i,0.00068948+0.0021744i,0.0017924+0.0013916i,0.0021067-1.8641e-05i,0.0015953+0.00054075i,0.00019958+0.00082887i,-0.00045398+0.00059502i,-0.00049351+0.0011459i,-0.00041067+0.0016031i,6.4445e-06+0.00095442i,-0.0005459+0.00073232i,-0.0006718+0.00066798i,0.00022806+0.00012254i,0.00041611-0.00027246i,-0.00010866-0.0001207i,-0.0005636-8.4732e-05i,-0.00034867+1.0152e-05i,0.00025638+0.00014906i,0.00010216-7.6807e-06i,0.00029254+0.00028807i,0.00058903+9.0694e-05i
0.0010682+0.0017025i,0.0011868+0.002465i,0.0018145+0.001113i,0.0028028+0.00066738i,0.0028874+0.00090714i,0.0013434+0.00027858i,-2.7073e-05-0.00040055i,-0.00016045+3.7058e-05i,-0.00035311+0.00066672i,-0.00070458+0.00029349i,-0.00060956+0.00035686i,-0.0004392+0.00042317i,-0.00035675+0.00035019i,-0.00027087+0.00037439i,0.00020429+0.00066232i,0.00091013+0.00034688i,0.00064106-0.0003551i,0.00013777-0.00033896i,-0.00012883-0.00017478i,-0.0010146-0.00042219i,-0.0012015-0.00056024i,-0.00035467+9.7889e-05i,-2.6786e-05+0.00022779i
-0.0003344+0.00058113i,-0.0010079+0.0012056i,-0.00079768+0.0011403i,0.001006+0.001054i,0.0019956+0.0015097i,0.00086467+0.00096791i,0.00050991-0.0003039i,-0.00040109-8.4929e-05i,-0.0013873+0.00031329i,-0.0011069+0.00048957i,-0.001231+0.0005056i,-0.0011692+6.7515e-05i,-0.00029405+0.00032997i,2.1028e-05+0.00096485i,0.00049678+0.00067753i,0.00067619-0.00018053i,0.00014199-0.00024528i,-6.4574e-05+1.7996e-05i,-0.00038182+0.00067682i,-0.0006007+0.00028721i,-0.00032134-0.00089394i,0.00026828-0.00072244i,0.00048469+0.00013631i
0.0017335-0.00051463i,0.0019797-0.00062902i,0.0024024+0.00018999i,0.0018854+0.0003049i,0.0011282-0.00016584i,0.00087442+0.00064575i,0.00019073+0.0010977i,-0.00020765+0.0014976i,-0.00021404+0.00054455i,-8.0531e-05-0.00013631i,-0.00018728+4.0645e-06i,-0.00045541+9.4482e-05i,-0.0003413+0.00058066i,0.00031209+0.00063141i,0.00021206-3.6526e-05i,-0.00025507-0.00079239i,-0.00010244-0.00049224i,0.00018759-6.4556e-05i,0.00024147-1.0707e-05i,-0.0001527+0.00016205i,-0.00074871-0.00041134i,-0.00049623-0.0015746i,-9.0145e-05-0.00081803i
-3.0639e-05+0.0005068i,-0.00056104+0.0014205i,-1.4669e-05+0.0010482i,0.0012986+0.00073594i,0.0016172+0.000567i,0.00081648+7.3787e-05i,-0.00063107-1.0785e-05i,-0.00067906-0.00025046i,-0.00086917-4.7538e-05i,-0.0007791+8.1914e-05i,-0.00029866+0.00039906i,-8.0042e-05+0.0012124i,0.00026745+0.00082255i,0.00025245+0.00022917i,-6.8127e-05+0.00040356i,0.0001726+2.9384e-05i,0.00021126+0.00030842i,0.00046594+0.00070377i,0.00083746+0.00019456i,0.00086239+0.00023917i,0.00057897+0.00043206i,-0.0001133+0.00070669i,0.00023773+0.0012376i
-0.0010106+0.0014877i,-0.00045276+0.0020366i,0.0011626+0.0027889i,0.0025646+0.0031207i,0.0031228+0.0019566i,0.0023724+0.00010446i,0.0012436-0.00061175i,0.00077193+0.00024951i,0.00021258+0.0015668i,-0.00031082+0.0016563i,-7.7492e-05+0.00076114i,-0.00064276+0.00020435i,-0.00042535-0.00022905i,0.00082663-0.00066479i,0.00078236+0.00014149i,-0.00013399+0.00015156i,-0.0007417-0.0010511i,-0.00016869-0.00093656i,0.0008594-0.00047204i,0.0011281-0.00013266i,0.0009598+0.00044348i,-8.4193e-05+0.00051653i,-0.00065863-9.7182e-05i
-0.00013907+0.00010845i,-0.00014878+0.0011856i,-0.00039104+0.0023328i,0.0016811+0.0020898i,0.0032606+0.00067024i,0.0030053-0.00035198i,0.001348-0.00021691i,8.8888e-05+0.0005008i,0.00027656+0.00022149i,0.00056549-0.00046513i,-0.0003205+0.00014706i,5.9831e-05+0.00044109i,0.0014748+3.7871e-05i,0.0010827-0.00050856i,0.00067946-0.00019609i,0.00057004+0.00037062i,2.1172e-06+0.00011751i,2.0814e-05-0.00043031i,2.8634e-05-0.00019266i,-0.00013489+0.00059478i,-9.6431e-05+0.00091112i,-0.00020411+0.0011675i,0.00011649+0.0012946i
0.0016248+0.0014226i,0.00094407+0.00073417i,0.0015108+0.00060068i,0.0027417+0.00084662i,0.0025861+0.00019799i,0.0013557-0.00095009i,-6.0582e-05-0.00098702i,-0.00077524-0.00021469i,-0.00081915-0.0001774i,-0.00042807-0.00027866i,-0.00018405+3.5192e-05i,-0.00065691-0.0001109i,2.1387e-05-0.00045176i,0.00083256-0.00055899i,0.00029919-0.0005318i,0.00017705-0.00031657i,0.00029006+0.00010732i,0.00019356+0.00022276i,8.8078e-05+0.00019969i,-0.00038443-9.5227e-05i,-0.00064131-0.00012885i,0.00022485-0.00017952i,0.00096873-0.00011224i
-0.00023138+0.00041879i,-0.00094586+0.0019604i,-0.00031833+0.0033234i,0.0021901+0.0026999i,0.0031747+0.00033875i,0.0014306-0.00078866i,0.00013378-0.00066694i,9.4104e-05-0.00022199i,-0.00035502+0.0003269i,-0.00040227+0.00039341i,-0.00054517+0.00045526i,-0.00058988+0.0003521i,0.00017634+0.00097407i,-3.5109e-05+0.00082609i,-0.00017203-0.00051745i,0.00013257-0.00021262i,0.00080295+0.00040293i,0.0010992+1.8419e-05i,0.00078948+0.00017611i,0.00054394+0.00058503i,-0.00051644+0.0010626i,-0.00061043+0.00074988i,0.00010045-0.00010965i
0.0011118-0.0019047i,0.00042164-0.001681i,0.00074097-1.0482e-05i,0.0019773+0.0015255i,0.0018782+0.00065965i,0.00098456-0.0001519i,0.0002558-7.8269e-05i,0.00041888-7.5809e-05i,0.00104-0.00066177i,0.00012963-0.00097839i,-0.0009317-0.0004927i,-0.00073644+0.00066821i,-8.8801e-05+0.00063705i,0.00076664+0.00039698i,0.00088244+0.00088446i,0.00042978+0.0010781i,0.00016818+0.00052427i,-0.00019832-0.00012632i,-4.0927e-06-5.4814e-05i,-1.2529e-05+0.00063748i,-0.00039973+0.0011143i,0.00020416+0.00035986i,0.0010205+0.00031377i
-0.00021152+0.00092695i,0.00053721+0.00062078i,0.0020962+0.00047864i,0.0024321+0.0010369i,0.0028064+0.00074165i,0.0025222-0.0003272i,0.0015269+0.00032226i,0.0010135+0.0013287i,0.00077316+0.00087923i,0.00051773+0.00021322i,-0.00021089+0.00043592i,-0.0012247+0.00049641i,-0.0012757+0.00075579i,-0.00027856+0.0016232i,0.0003062+0.0015263i,0.00014875-3.2039e-05i,0.00051646-0.001036i,0.0012412-0.0007951i,0.00060468-0.00025664i,0.00012374+7.5789e-05i,0.00020898+0.0001865i,0.00026473+0.00020472i,-7.962e-05+0.00013506i
0.00056808+0.0013571i,0.00031211+0.00097151i,0.0014967+0.0013465i,0.0022215+0.00095329i,0.001809-0.00020053i,0.0010241-0.00075868i,0.00023545-0.00057762i,0.00043444-0.0004192i,0.00053889+0.00031095i,0.00024127+0.00084198i,-0.00038262+0.00069677i,-0.00040065+0.00038981i,1.8508e-05-0.00055666i,-0.00032559-0.00093009i,-0.0011236-0.00032211i,-0.00065432-0.00014016i,0.00012823-0.00038899i,0.00040056-0.00072004i,0.00055316-0.00066571i,0.0002294-4.8222e-05i,-0.00016528+0.00075155i,-0.00060454+0.00052935i,-0.00076559-0.00029866i
0.0032846-0.00185i,0.0024381-0.001423i,0.0018969+0.00036842i,0.0025608+0.00074583i,0.0027542-4.7322e-05i,0.0013129-0.00032818i,-0.00056258-0.00081615i,-0.0007148-0.0006801i,-0.00037739-6.5303e-05i,-0.00049022-0.00017383i,-0.0007114-0.00032359i,-0.00055329+0.00036834i,-0.00026009+0.00039957i,-7.6483e-05-0.00030979i,3.4207e-05+0.00027004i,0.00018841+0.00085374i,8.0984e-05+0.00048601i,0.00029815+0.00026294i,0.00070001+0.00030232i,0.00046445+0.00023844i,0.00067265-0.00013855i,0.00085909+0.0001384i,-0.0003407+0.00080846i
0.0010941+1.4841e-05i,0.0016992+0.00058982i,0.0027926-0.00015812i,0.0039116-0.0012533i,0.0037981-0.0012338i,0.0018873-4.3832e-05i,0.00037272+0.00075187i,-0.00022464+0.0012561i,6.4855e-05+0.0015861i,-0.00023235+0.0011155i,-0.0011853+0.00027152i,-0.0023433-0.0004592i,-0.0017315-0.0007542i,-0.00044366-0.00058095i,0.00030894-0.00066861i,0.00057126-0.00086696i,0.0006294-0.00047547i,0.00038571+0.00020586i,-0.00017913+3.7322e-05i,-0.00039227-0.00037245i,-0.00024836+0.0004722i,0.00038571+0.00084543i,0.00044371-0.0001898i
-0.00093951-8.0669e-05i,-0.0017669+0.00018697i,-0.00011712+0.0014798i,0.001855+0.002114i,0.0020261+0.00087427i,0.00086058-0.00041631i,-0.00023071-0.00044478i,-0.00047139+0.00030069i,-0.00024521+0.00060763i,-6.9267e-05+0.00016994i,-0.00020579+0.00016772i,-0.00018197+0.00024661i,0.0005419+0.00012766i,0.00063955-0.00029862i,0.00039803-0.00030892i,-3.6768e-05-0.00016367i,-0.00026666+6.937e-05i,-9.2209e-05+0.00059023i,-0.00060481+0.00060619i,-0.00062559+0.0012399i,-1.7065e-05+0.0016123i,0.00032079+0.00082715i,0.00038133+0.00023684i
0.002334-0.00017641i,0.0025232+0.0010095i,0.0011345+0.0011422i,0.00018825+9.9487e-05i,0.00024392-0.0012913i,0.00021329-0.0014874i,-0.00038518-0.00055431i,-2.3981e-05+0.00035309i,0.00025909+0.00059898i,-0.00034033-9.4657e-06i,-0.00064673-0.00046542i,-0.00078495-0.00066842i,-0.00072864-0.00050496i,0.0002496-0.00079926i,0.0010741-0.001102i,0.00083332-0.00083925i,0.00035161-0.00034243i,-0.00047455-9.0315e-05i,-0.00081235-0.00045993i,-0.00046993-0.00035345i,-8.7941e-05-0.00026432i,0.00025311-0.00010745i,0.00021705+0.00014362i
-0.00069373-0.0017169i,-8.9295e-05-0.0011224i,0.00037378+0.0013931i,0.00085935+0.0018712i,0.001612+0.0011153i,0.0016781+0.00020686i,0.00095895-0.00058298i,8.0327e-05+0.00022131i,-0.00032847+0.00088443i,0.00029928+0.00054704i,-4.3386e-05+0.00047689i,-0.0006149+0.00079435i,-0.00050953+0.0011432i,-9.4316e-05+0.00075738i,0.00025239+0.00049929i,0.00021073+2.386e-05i,0.00015218-0.00048576i,9.288e-05-0.0006142i,0.00048794-0.00034872i,0.00048982-0.0001994i,-0.00033019-0.00030317i,-0.00052375+0.00070176i,0.00010054+0.0018073i
0.00087436-0.0012657i,0.0005577-0.0010346i,0.0014912-0.00076435i,0.0020338-0.00060538i,0.0015782-0.0011086i,0.00076873-0.00080299i,0.00049735+0.00028309i,0.00091049+0.00050855i,0.00079126-0.00051051i,0.00049716-0.00034557i,-3.6925e-05+8.5072e-05i,-0.00061445+3.7139e-05i,-2.7404e-05+0.00050162i,0.00024709+0.00027035i,0.00023064+0.00030969i,0.00044168+0.00058259i,0.0005483-0.00037115i,0.0004084-0.0012354i,-5.4796e-05-0.0010261i,-0.0003503-0.00088638i,-0.00012457-0.00046608i,0.00032985+0.00026032i,0.00046527+0.00031464i
-7.1832e-05+0.00028052i,-0.00063366+0.00061692i,-0.00054498+0.00048976i,0.00025577+0.00035407i,0.00089462+0.00026348i,0.00059762+0.00053823i,2.0565e-05+0.00024619i,0.00016656-0.00019214i,0.00055026+3.4465e-05i,-0.00019369+0.00038998i,-0.0010458+0.00099154i,-0.00090408+0.0017774i,0.00019715+0.0015756i,0.00037202+0.00034453i,8.3099e-05+5.0099e-05i,0.00018321+0.00035483i,0.00021796+0.00023791i,-2.9807e-05-8.6838e-06i,-0.00021557-0.00033536i,-0.00054119-0.00028671i,-0.0005725+0.00045453i,-0.0001427+0.00028886i,-0.00014002-0.00072371i
