-0.0062052-0.00031538i,-0.0060062+0.00046225i,-0.005736+0.0029342i,-0.0040465+0.0036076i,-0.00047195+0.0033802i,0.0014098+0.0023375i,0.00015311+0.0020423i,-0.00024555+0.0021163i,0.00085643+0.0020247i,0.0017345+0.0013691i,0.0021802+0.0007714i,0.0015418-0.00050425i,0.0011055-0.0018971i,0.0011961-0.0016583i,0.00075653-0.00094045i,-0.00038088+6.0251e-05i,-0.00048853+0.00097002i,0.00026342+0.0014736i,0.00033275+0.00094743i,0.00046045-9.5781e-05i,-0.00010476-0.000278i,-0.0013324+0.00019954i,-0.0018746+0.00054022i
0.0021223-0.00010455i,0.0024208-0.0001036i,0.00094348-5.7395e-05i,-0.0012046-0.0011135i,-0.0016044-0.0011171i,-0.0011432+0.00049122i,-0.00070386+0.00095177i,0.00057+0.00015964i,0.0010342-0.00012117i,0.00041051+6.5196e-06i,-0.00028601-0.00053375i,-0.00038035-0.00086774i,-6.7618e-05+0.00012788i,-8.2604e-05+0.00039706i,-0.00021483+0.00011414i,-0.0003661-0.00010169i,-0.00011095-0.00033864i,0.00020542-0.00015573i,0.00034346+9.3601e-05i,1.6639e-05-0.00022871i,-0.0006247-0.0002996i,-0.00011859-0.00021149i,0.00056177+0.00057618i
0.00017686-0.0018062i,0.0013047-0.0012923i,0.00053668-0.0013506i,0.00019225-0.0019839i,0.00081703-0.0010783i,0.00083685-0.00032919i,0.00038994-0.00023807i,5.3968e-05-0.00042524i,-0.00010301-0.00016015i,-0.0001364+0.00010048i,0.00010799-0.00035578i,0.00010554-0.00017636i,-7.8273e-05-0.0005477i,0.00040943-0.00062561i,0.00016435-1.8267e-05i,-0.00016408+0.00013652i,0.00010559+4.4384e-05i,-0.00022642+8.3038e-05i,-0.00025192+0.00034126i,0.000487+0.00052322i,0.00031909+0.00050235i,-0.00026632+0.00012226i,-0.00035251-0.00050022i
-0.00068559-0.00086086i,-0.0014966+0.00034168i,-0.0015521+0.00064815i,-0.0016166+0.00066253i,-0.00072562+0.00052857i,2.8955e-05-0.00050364i,0.00025868-0.00062475i,0.00036945-0.00017106i,-0.0005384+0.00017499i,-0.00076494+0.00052189i,0.00017723+0.00054251i,0.00047554+0.00010486i,0.00029291+0.0002411i,0.00029837-0.00022367i,0.00013536-0.00048211i,-0.00025164-0.00010085i,-0.00096822-1.7094e-05i,-0.0012663-0.00029601i,-0.0012644-0.00038281i,-0.00082441+3.0492e-05i,-0.00025675+0.00013332i,0.00061664+5.5608e-06i,0.00092723+0.00013325i
0.00031152+0.001608i,0.0012373+0.0021822i,0.0010853+0.0025033i,0.00051249+0.0016991i,-0.0003899-6.9329e-05i,-0.0012176-0.001116i,-0.0015357-0.00095674i,-0.00088217-0.00020149i,-0.00024721+0.0010021i,-0.00011392+0.00095277i,0.0008304+2.1738e-05i,0.0011036-0.0010409i,-0.00020465-0.0009609i,-0.00097192+0.00016296i,-0.00090269-0.00011897i,-0.0003206-0.00058592i,0.00067327-0.00016667i,0.00093154+0.00033466i,0.00092769-0.0003329i,0.00058834-0.00037907i,-0.00033969+0.00020643i,-0.00011242-0.00017492i,0.00019105-0.0008301i
0.0024654+0.0011992i,0.0025677+0.00081804i,0.0030949-0.00017366i,0.0020753-0.0016398i,-5.2454e-05-0.0030728i,-0.0013591-0.0020013i,-0.0014633-0.00042639i,-0.00068565-0.00057931i,0.00046091-0.0007529i,0.0006643-0.00050336i,0.00048134-0.0003511i,0.00028512-0.00023582i,-9.2709e-05+0.00061463i,-0.00075452+0.00068839i,-0.00081516-0.00018648i,-3.3083e-05-0.00026211i,0.0002515+0.00017627i,8.7287e-07-0.00048013i,0.00063672-0.001181i,0.00087164-0.00078127i,0.0006199+8.7919e-06i,-4.3882e-05+0.00080157i,-0.0005009+2.5516e-05i
3.7481e-05+0.00014474i,-0.000308-0.00055654i,-0.0010742-0.00059181i,-0.0018533+0.00048791i,-0.001767+0.00071943i,-0.0013806+0.00014392i,-0.0011448+0.00041284i,0.00016169+0.00034522i,0.00049148-4.7409e-05i,5.0586e-06+4.251e-06i,-0.00025853+0.00041692i,5.9229e-05+0.0002112i,0.000229-0.00062103i,-0.00072803-0.0011275i,-0.00080907-0.0011406i,-0.00040184-0.0010988i,-0.00048339-0.001096i,-0.00063078-0.00024324i,-0.0009515+0.00018687i,-0.0006714+8.2482e-05i,-0.00020175+0.00034284i,0.00017168+0.0002467i,0.00053593-1.8347e-06i
0.0026283+1.0696e-05i,0.0031268-0.0005122i,0.0032668-0.0010632i,0.0021651-0.0010515i,0.00040227-0.00062334i,-0.0013545-0.0005087i,-0.0014393-0.00088332i,-0.0015275-0.001405i,-0.0018075-0.00079702i,-0.00075993-9.5091e-05i,0.00039799+0.00046352i,0.0005959+0.00043946i,0.00045615-1.2958e-05i,-1.8588e-05+0.00017073i,-0.00075398+0.00059788i,-0.0011884+0.00083473i,-0.00092315+0.00060034i,-0.0005848+0.00054651i,-0.00034773+0.00046858i,-0.00028703-5.3095e-05i,-0.00029151+0.00029814i,-0.00069847+0.00053422i,-0.00058793+0.00039509i
-0.0014568-0.00038191i,-0.0015353-0.0006995i,-6.6647e-05-0.00070771i,0.00055216-0.00034669i,-0.00060663-0.0011445i,-0.00058462-0.0012211i,-0.00040331-0.00013922i,-0.00073189+0.00013384i,-0.00044483-0.00044795i,-0.00012839-0.00039837i,0.0001365-8.5272e-05i,0.0002569-0.00024737i,-0.00032674-0.00048199i,-0.00062656-0.00084574i,-0.00020424-0.0012463i,-5.473e-05-0.0011882i,0.00034268-0.00037443i,9.0364e-05+0.00025783i,-0.00077795-0.00035521i,-0.00068657-0.00069165i,-4.2295e-05-0.00045194i,0.00032604+6.2595e-06i,0.00083013-0.00013425i
-0.0012427-0.0033334i,0.00054276-0.0019207i,0.00095994-0.00015803i,0.00035797+0.00049428i,0.00060152+0.00014004i,0.00054349-0.00063151i,0.00022556-0.0010597i,0.00015227-0.00049549i,-0.0009653-0.00051288i,-0.0019806-0.00077562i,-0.0012718-0.000476i,-7.2341e-05-0.00046177i,0.00031189-2.8205e-05i,0.00097588+0.00026272i,0.0009412+0.00019209i,7.9424e-05+0.00035627i,-0.00015753+0.00043624i,4.0121e-05+0.00051766i,6.555e-05+0.0001429i,-0.00017264-3.5893e-05i,-0.00028937-5.2818e-05i,0.0001263-0.00022326i,0.00041687-0.0003659i
-0.0011286+0.001808i,-0.00021241+0.0025096i,0.0006932+0.0018624i,0.0015092+0.00031448i,0.0013266-0.00087069i,0.00024006-0.00060751i,-0.0001626+0.00018555i,0.00036204+0.00032205i,0.0012486+2.1456e-06i,0.00092725-2.6387e-05i,0.00056459-0.0003231i,0.00080007-0.00041338i,0.00010494-0.00029968i,-0.00035643-0.00023044i,-0.00083983-0.00011204i,-0.0011108+0.0002036i,-0.00083289+0.00041956i,-0.00068854+0.00041006i,-0.00018701-8.8461e-05i,-0.00016075-0.00061011i,-7.3063e-05-0.0010388i,-7.3512e-05-0.00050275i,-3.5818e-05-0.00014543i
0.00032635+0.001017i,-0.000577+0.00041752i,-0.00022038-0.00077474i,0.00090204-0.00037454i,0.0009309+0.0001267i,-0.00021385-0.00015396i,-0.00035388+3.8267e-05i,5.1671e-05-0.00031034i,-0.00034414-0.00057198i,-5.6137e-05+0.00017212i,0.00061749-5.8519e-07i,0.00031079-0.00019068i,-0.00018555-8.9997e-05i,-0.0007893-5.7237e-05i,-0.0012326+0.0002531i,-0.0010416+0.00011435i,-0.00058937-0.00056454i,-0.0002688-0.00073753i,-8.3391e-05-0.00028218i,-0.00021563-0.00010094i,5.7049e-05-0.00030285i,0.00035115+3.6791e-05i,0.00012028+5.9851e-05i
0.0011861-0.0014148i,0.0021489-0.0017257i,0.0016748-0.0016825i,0.00049081-0.00099894i,0.00019704-0.00056662i,-0.00032151-0.00056181i,-0.00023823+0.00015864i,0.00037858+0.00036182i,0.00033434-0.00021385i,0.00036198-0.00044681i,0.00083089-3.8779e-05i,0.00054308-9.1524e-05i,0.00072897-0.00033577i,0.00052489-0.0011391i,-9.2938e-05-0.0012302i,-0.00013489-0.00015062i,-1.8134e-05+0.00039151i,-0.00013296+0.00013682i,6.8317e-05+0.00033102i,-4.2185e-05+0.00054392i,-0.00041906-0.00039305i,9.9139e-05-0.00094397i,0.00042144-0.00013441i
-0.00096077-0.00037313i,-0.0022678-0.00078121i,-0.0034034-5.6184e-05i,-0.0025222+0.00081925i,-0.00095553+0.0013115i,0.00040234+0.0017712i,0.001162+0.0023019i,0.00037578+0.0017626i,-0.00072818+0.00071872i,-0.0010546+0.00023271i,-0.0007029+0.00014121i,0.00046079+0.00028153i,0.00058946-3.7707e-05i,0.00021707-0.00066691i,-0.00037102+0.00028022i,-0.00061857+0.00055977i,-0.00056608+0.00028079i,-0.0010942-5.1453e-05i,-0.0010675-0.00064245i,-0.0006754+0.00012195i,-6.6477e-06+0.00047071i,0.00014641+0.00017188i,0.00019386-3.5976e-05i
0.00012252+0.00012886i,0.00095585+0.0015181i,0.00091857+0.0029932i,0.00035384+0.0026652i,0.00024189+0.000655i,0.00020475-0.00028571i,-0.0004447-0.00056295i,-0.00053416-0.00070345i,0.00012091+0.00017917i,0.00056272+0.00061316i,0.00081359+0.00066273i,0.00050386+0.00058934i,0.00018957+0.0005284i,0.00026166+0.00028625i,0.00029729+0.00031355i,0.00027953+0.00064078i,-5.4439e-05+0.00021624i,0.00056848-0.00049637i,0.0011298-0.00080941i,0.00085871-0.00037748i,0.00059758-0.00067241i,0.00053789-0.0012851i,0.00075172-0.0008082i
-0.00086347+0.00065439i,0.00035057+0.00050556i,0.0011942+0.00031205i,0.00028146-0.00033484i,-0.00027872-0.0013565i,-0.00045453-0.0012466i,-0.00031148-0.0011384i,-0.00015738-0.0012453i,-0.00027273-0.00030351i,-0.00071123+0.00069933i,-0.00097717+0.00086112i,-0.00064121+0.00034499i,3.652e-05-0.00034305i,-7.7984e-05+3.7523e-05i,-0.00032581+0.0011188i,9.7452e-05+0.0013441i,0.00027427+0.00076355i,0.00025376-0.00018081i,0.00064616-0.0004565i,0.00068697+6.4516e-05i,0.00015748+0.00113i,-0.00020439+0.00069602i,-0.00092745-0.00018082i
0.001047-0.0013227i,-0.00014179-0.00063665i,-0.0015789-0.0015586i,-0.0021039-0.0020971i,-0.0020597-0.001252i,-0.00064009-0.00080273i,0.00021835-0.00063584i,0.00010541-2.5638e-05i,-0.0003462+0.00044175i,-0.00073437+0.00040967i,-0.00078319+0.00037413i,2.7871e-05+0.0001294i,0.0010586+0.00036572i,0.00017861+0.00091614i,-0.00047272+0.00077437i,0.00049054+0.000472i,0.0008935+0.00055299i,0.00048369+6.2632e-05i,0.00033833-0.00061012i,0.00051439-0.00012926i,-5.6474e-05+0.00019653i,-0.00102-0.00036012i,-0.0009766-0.00054765i
0.0011115+0.0023105i,0.0017922+0.0029294i,0.0019557+0.0020562i,0.00226+0.00033866i,0.001942-0.00036187i,-0.00010598+0.00019109i,-0.00067574+0.00095418i,-0.00026949+0.0011035i,-0.00017431+0.00019653i,0.00072946-0.00089253i,0.0013642-0.0010452i,0.0005198-0.00056692i,-0.00010272-0.00034916i,-0.0002946-0.00064313i,0.00019011-0.00068451i,0.00021296-0.000389i,-0.00052735-0.00029356i,-0.00036105+0.00015364i,9.1348e-05+0.00085155i,-0.00014677+0.00084848i,-0.000253+3.4323e-06i,0.00014699-9.4847e-05i,-0.00053749+0.00047208i
0.0042506-0.00043892i,0.0041471-1.2709e-05i,0.0024666-0.0019578i,0.00058546-0.0039946i,-0.00058234-0.0033254i,-0.0014774-0.0010236i,-0.00083589+0.00073532i,2.3933e-05+0.0010408i,-4.626e-05+0.00035814i,-0.00020954-0.00094628i,-0.00038409-0.0017052i,-0.0002546-0.00098856i,0.00053375+7.514e-05i,0.00044254+0.00033573i,-0.00014283+0.0011067i,-0.00069953+0.0013319i,-0.00061267+0.00041254i,-5.5593e-05-0.00023796i,-2.7283e-05-0.00023489i,-0.00046669+0.00068336i,-0.00082197+0.00031764i,-0.00067112-0.0004836i,-0.0001241+0.00014431i
-0.00068105+0.0016388i,-0.0010063+0.0015035i,-0.0018749+0.0012115i,-0.0010769+0.0012072i,0.00013284+0.00050091i,0.00059801-0.00012352i,0.00078822+9.0104e-05i,0.00022555+0.00025017i,-0.00059635-0.00076986i,0.00028316-0.0010058i,0.00088194-0.00039421i,0.0006851+1.1985e-06i,0.0007369+0.00054536i,0.0006574+0.00012119i,0.00020722-0.00063174i,-8.0032e-06-0.00062105i,0.00026699-6.4144e-05i,0.00039356+0.00028474i,0.00032901-9.2278e-05i,0.00030816-0.00078028i,0.00029277-0.00094413i,9.3655e-05-0.00057088i,-0.000466-9.386e-05i
-0.0011374+0.00075394i,-0.0013819+0.00032863i,2.3105e-05-4.1417e-05i,0.00023631-0.00029168i,-5.6927e-05-0.001302i,-0.0010923-0.0013i,-0.0019434-0.000442i,-0.0018879+0.00044918i,-0.0012094+0.0007136i,-0.00079722+0.0003632i,-0.00042891-0.00013312i,-9.3016e-05-0.00050275i,0.00044382-0.00025615i,0.00018106+0.00016834i,-0.00012029+5.0942e-05i,-0.00038215+6.8616e-05i,-0.0012495-9.519e-05i,-0.0010031-0.00071043i,0.00015211-0.00091218i,0.0007002-0.0006585i,0.00012899-0.0008592i,-0.00020064+8.5869e-05i,-0.00032334+0.00068428i
0.0019886+0.001628i,0.0019163+0.00075713i,0.002695-0.00033923i,0.00215-0.0014916i,0.00032411-0.0020933i,-0.00076193-0.0016868i,-0.00055617-0.00063374i,-0.00037571+0.00010302i,-2.3495e-05+0.00057197i,0.00060378+0.00019212i,0.00034762-8.9432e-05i,0.00020262-5.3141e-05i,0.00063378-0.00024191i,0.00032974-0.00065343i,1.4553e-05-0.00027235i,-0.00017613+0.00069599i,7.8684e-05+0.00053161i,-5.9645e-05-0.00030506i,-0.0003629-0.00080071i,-5.6168e-05-0.0010194i,0.0001715-0.00060854i,-5.4909e-05-0.00017523i,-0.00052315+7.2972e-05i
-0.0034109-0.00085388i,-0.0031015-1.3933e-05i,-0.0019205+0.0011197i,-0.00011915+0.0016208i,0.0010901+0.00080899i,0.00077016+0.00028066i,7.7416e-05+0.00078847i,0.00050541+0.0010058i,0.0013698+0.00086187i,0.0016114+0.0012242i,0.0012284+0.0013182i,0.00080265+2.7841e-05i,0.00078532-0.0010634i,0.00082718-0.00074931i,0.00030091-0.00017632i,0.00013351-0.00016844i,-2.4524e-05-0.00049823i,-0.00043051-0.00067206i,-0.00069663-0.00053632i,-0.00026358-0.00022368i,0.00010766-0.00042516i,-0.00035101-0.00051978i,-0.00083763-0.00050968i
7.568e-05+0.00040463i,0.00027655+0.00092811i,-0.00067406+0.00085877i,1.5538e-05+0.0010502i,0.00076826+0.0010769i,2.8887e-05+0.00014833i,-0.00077164-6.9853e-05i,-0.00046585-0.00052677i,-0.00046175-0.00090488i,-0.00028511-0.00074105i,8.1064e-05-0.0009233i,-0.00041095-0.0011241i,-2.4953e-05-0.00080927i,0.00020505-0.00055156i,-5.1124e-05-0.00044896i,0.00024382+0.00016282i,0.00022032+0.00023723i,0.00020929-5.993e-05i,-2.492e-05-0.00022518i,-0.00042069+0.00029926i,-5.7173e-05+0.0006151i,0.00015023+0.00031729i,0.00033501+0.00028808i
0.00069232+0.0020173i,0.00048175+0.0029618i,0.00045272+0.0021022i,0.00087892+0.001277i,0.0011355+0.00089666i,0.00070377-9.8896e-05i,5.9141e-05-0.00033042i,0.00010817+0.00010424i,-0.00044996-9.1482e-05i,-0.00072828-1.491e-05i,-5.9489e-05-0.00016561i,-1.2817e-05-0.00029882i,-0.00047176-0.000184i,-0.00014633-0.00011652i,0.00041519+2.1195e-06i,-1.1396e-05-0.00038356i,-0.00035663-0.00014834i,-0.00038717+0.00027502i,-0.0003795+0.00014049i,0.00036477-0.00047942i,0.00072972-0.00044234i,0.00027481-0.00013844i,-1.6188e-06-0.00011696i
-0.0041825-0.0006246i,-0.0033754-0.001634i,-0.0023317-0.0010809i,-0.00071094+0.00042412i,0.00055837+0.00065531i,0.00042843-0.00013756i,1.6978e-05-0.0010117i,-0.00044804-0.0010066i,-0.00046003+0.00014979i,-0.00046943+0.0010186i,-0.00028301+0.0004897i,0.00031456+0.00042483i,0.00089122+0.00062765i,0.00032439-4.2633e-05i,2.5735e-05-0.00018582i,0.00011593-6.5298e-05i,0.00021125-7.4682e-05i,0.00056519+4.7303e-05i,0.00091894+3.6789e-05i,0.00045279-4.8108e-05i,-0.00046827-0.00024987i,-0.0002745-0.00016815i,0.00052211-8.826e-05i
0.0008325-0.0012413i,0.0010689-0.0011313i,0.00058404-0.00035914i,-0.00058717-0.0002396i,-0.0011107-0.0011301i,-0.0010044-0.0015344i,-0.00074952-0.0011515i,5.5012e-06-0.00028785i,0.00033454+0.00045895i,-0.00038938+0.00034019i,-0.00046888+0.00031624i,-9.1899e-05+0.00027324i,0.00015208-0.00031971i,-0.00023315-0.00080955i,-0.0011695-0.00041702i,-0.00083417-0.0009171i,-2.8663e-05-0.0013483i,6.7984e-05-0.00075726i,-0.0001546+0.00013219i,-0.0006633+0.00042605i,-0.00048701+0.00062215i,-7.9395e-05+0.00074818i,0.00015885+0.00056131i
-0.00073526+0.0015413i,-0.00038482+0.0017848i,0.00086151+0.0020152i,0.0021647+0.0021138i,0.001904+0.00038107i,0.00035785-0.0012102i,-0.00047308-0.0011213i,0.00018642-0.00040523i,0.00045814+0.00027946i,0.00029+0.00029528i,0.00071588-0.00058387i,0.001236-0.00087169i,0.00044742+1.2908e-05i,-0.0003284+0.00033719i,-0.00053327-7.8114e-05i,-0.00072141-0.0010384i,2.7884e-05-0.001022i,0.00022602-0.00035708i,5.4259e-05+0.00064986i,0.0001723+0.0011798i,7.429e-06+0.00056801i,-0.00034506+0.00019355i,-0.00025931+0.00045743i
0.00058642-0.0031961i,0.0011562-0.0040392i,0.00029483-0.0047489i,-0.0010013-0.0035437i,-0.0021486-0.0010035i,-0.0022231+0.00066981i,-0.0019567+0.001099i,-0.0012989+0.0011361i,-0.0010473+0.00020313i,-0.0011082-0.0001251i,-0.00095465-4.8998e-05i,0.00040779-8.1163e-05i,0.0013973+0.00023998i,0.00099554+0.00038996i,0.00045967+0.00011238i,-9.7601e-06-0.00061911i,-0.00033299-0.0010546i,-0.00045761-0.00094495i,-2.3456e-05-0.00074664i,-8.3891e-05-7.1961e-05i,-0.00033619+0.00037047i,2.4646e-05-0.00045083i,-8.075e-06-0.00037711i
-0.0009201-3.9448e-05i,-0.0018451-0.00039162i,-0.0017276-0.0003119i,-0.0011631+0.00098207i,-0.00037201+0.0014484i,0.00069621+0.00096302i,0.00098458+0.0008223i,0.0010736+0.0006015i,0.00030767-0.0001444i,-0.00068125-0.00040034i,-0.00013974-0.00011018i,7.2983e-05-0.00029429i,2.3543e-05-0.0011124i,0.00037953-0.001439i,0.00093156-0.00079156i,0.00083103-0.00015519i,0.00014452-0.000786i,-0.00022595-0.001028i,-0.0007322+0.00020514i,-0.0010531+0.00088178i,-0.00023303+0.00065786i,0.0006946-0.00016621i,0.00084477-0.00057114i
0.00051128-0.00078101i,0.00046454-0.0011568i,0.00042379-3.6623e-05i,7.1732e-05+0.00096259i,-0.00028278+0.00046212i,-0.00075696+4.493e-05i,-0.0012023-1.0286e-05i,-0.00096711-0.00052606i,-0.00077193-0.00052683i,-0.00053029+0.00017725i,-0.00034179+0.0011081i,5.9872e-05+0.0015815i,0.00073547+0.00070147i,0.00068757-0.00022121i,0.00017446-0.00041005i,0.00011205-0.00026287i,0.00077061+7.3723e-05i,0.00094013+3.5683e-05i,0.00080319-0.00029567i,0.00039341-0.00036826i,-0.00013213-8.1827e-05i,-9.4741e-05-2.4228e-05i,1.3693e-05-8.8366e-05i
-3.9949e-05+0.0025595i,0.00075955+0.00045539i,0.0023141-0.0011719i,0.0018215-0.001732i,0.00058268-0.0012223i,-0.0010453-0.00069593i,-0.00099177-0.00087027i,-0.00039511-0.0014744i,4.1421e-05-0.0011275i,0.00094775-0.00020066i,0.0011448-0.000105i,0.00070444-0.00057355i,0.00061178-0.00071733i,3.9874e-05-0.00074706i,-0.00058399-0.00079217i,-0.00046014-3.018e-05i,0.0003577+0.00045042i,0.00019913+0.00065584i,-0.00010619+0.00078586i,-0.00024962+0.000501i,-0.00017436+0.00071581i,0.00031013+0.00041318i,0.00059734+9.047e-05i
