-0.0020509-0.0013548i,-0.0014161-0.0018294i,-0.0032248-0.001044i,-0.003533-0.00051674i,-0.0023223+0.00088332i,-0.0017406+0.0027216i,-0.0018632+0.0027731i,-0.0013773+0.0020717i,-0.00014062+0.0022164i,0.00054134+0.0017764i,0.00060449+0.00017764i,0.00031107-0.00069284i,-0.00069778-0.00010099i,-0.0016346+0.00028939i,-0.0015935-0.0001762i,-0.0011252+3.5903e-05i,8.8215e-05+8.9518e-05i,0.0011414+0.00031326i,0.00066241+0.00067055i,0.00012643+0.00097452i,8.0636e-05+0.00057582i,0.00010706-0.0004673i,0.00041289+3.2911e-05i
0.0022904+0.00042963i,0.0014245+0.00019708i,0.0013789-1.2054e-05i,0.0012961+0.00014753i,0.0010724+0.00030044i,-0.00014823+0.00061896i,-0.00043478+0.00051066i,-1.4244e-06+0.00025949i,2.5651e-05+0.00032897i,0.00015589-0.00035678i,0.00035163-0.001105i,0.00011781-0.00092641i,-0.00055718-0.00081534i,-0.00043725-0.00020512i,0.00024741+0.00046758i,0.00036911+0.00029805i,0.00026841-0.00017259i,-1.8081e-05-0.00032458i,-0.00091417+0.00027806i,-0.001221+0.0005355i,-0.00088381+0.00029532i,-0.00062602+0.00016984i,-0.00047423+0.000102i
0.00011186-0.0014607i,-0.00041071-0.00096995i,-0.0004362-0.00069524i,-0.00063639+0.00057227i,-0.001443+0.0012376i,-0.00090416+0.00059093i,-0.00042836+0.00018369i,-0.00045678-6.857e-05i,-0.0001754+0.00010645i,-0.00041896+0.00044959i,-0.00098537+9.667e-05i,-0.00080019-0.00036894i,-0.00093406-0.00054356i,-0.00031412-0.00091421i,0.00050364-0.00088962i,0.00029212-0.00055379i,2.8713e-05-0.00036324i,-0.00011549-0.00037628i,8.9348e-05+3.6039e-05i,0.00063035+0.00013387i,0.00018147+4.9472e-05i,0.00048721+0.00045205i,0.00087776+0.00042287i
-0.00025059-0.00074506i,0.00040426-0.00093183i,0.0010694-0.0011451i,0.0014431-0.0014455i,1.0427e-05-0.00030688i,-0.0014649-0.00013968i,-0.0017607-0.00010126i,-0.0013398-8.6144e-05i,-0.0010093-0.00049636i,-0.00072051-0.001123i,-0.00045101-0.0016666i,-0.00021454-0.0012i,-0.00031216-0.00050537i,-0.00034032-0.00051616i,-0.00042449-0.00041427i,-0.00021801+5.6437e-05i,0.00035418+5.8444e-05i,0.00027184-0.00024967i,0.0002997-0.00029871i,9.1382e-05-0.00014616i,-0.00068398-4.2989e-05i,-0.00010684+0.0003613i,0.00089991+7.0616e-05i
0.00096377+0.00050116i,0.0015322+0.00081772i,0.001473+0.0010814i,-3.7876e-06+0.0014197i,-0.00041541+0.00030915i,-0.00079337+0.00041334i,-0.0011986+0.0005801i,-0.00069275-0.00049929i,-0.00034979-0.00067248i,-8.648e-05-0.00024543i,-7.0798e-05-0.00046236i,-0.00077906-0.00074875i,-0.00060163-0.00064546i,-4.1086e-05-0.0012386i,0.00016197-0.0016919i,0.00056501-0.0012613i,0.00094239-0.00024303i,0.00019823+0.00026036i,-7.7072e-05+0.00010817i,0.0005456-0.00014957i,0.0003396-0.0005632i,0.00025323+0.00039697i,0.00052617+0.0011598i
-0.00042588+8.9016e-05i,-0.0010053-0.00032679i,-0.0012527-0.001218i,-0.0001344-0.00058218i,-3.6782e-05+0.00029623i,-0.0013407+0.00055356i,-0.0014551+0.00029905i,1.1693e-06+0.00042667i,0.00065165+0.00071387i,0.00045316-0.00012004i,0.00040393-0.00053794i,0.00041728-0.00025804i,0.00032936-0.00041103i,-6.9135e-05-6.6114e-05i,-0.00073971+0.0007561i,-0.00075663+0.00055919i,-0.00025708-0.00028232i,0.00017292-0.00069637i,-0.00011508-0.00062315i,-0.00031209-0.00010011i,-0.00050398+0.00039685i,-0.0002575-0.00047014i,-0.00033885-0.0011986i
0.0012871-0.00040653i,0.0015022+0.00044524i,0.0015733+5.8874e-07i,0.00097166-0.00024308i,-0.00040407+0.00032504i,-0.0012328+0.00036148i,-0.0013968-0.00057696i,-0.0011297-0.00030225i,-0.00017197+0.00075684i,-1.9525e-05+0.00045876i,-0.0010402-0.00064539i,-0.00097736-0.0014881i,-0.00023451-0.0014974i,-0.00073801-0.0011035i,-0.00066923-0.00071841i,-0.00010172-0.0005401i,-0.00024502+7.487e-05i,-0.00052549+0.00063686i,-0.0007297+0.0013751i,-0.00073113+0.0016808i,-0.00027516+0.00092972i,0.00090508+0.00029898i,0.0013929+0.00025958i
-0.0010061+0.0011937i,-0.0014017+0.0012649i,4.4141e-06+0.0016168i,0.00037545+0.00078655i,-0.00074069-0.00017524i,-0.0012916+5.5341e-05i,-0.0013307+0.00044785i,-0.00037241+1.1125e-05i,0.00047436-5.4368e-05i,0.00023555-0.00014964i,-0.00026583-0.0010092i,-0.00097439-0.0015024i,-0.0012168-0.00084652i,-0.00075317+8.4499e-05i,-0.00085227+0.00023219i,-0.00035531+0.00010283i,0.00039634+0.00011381i,0.00010256-8.6114e-05i,-0.00015789+0.00026895i,-0.00073578+0.00061545i,-0.00088211+0.00057771i,-0.00018283+0.00038874i,0.00016535+0.00032402i
0.0027225-0.00025098i,0.0028461+0.00038307i,0.0022855-0.00011238i,0.0008666+0.0005121i,-0.000271+0.0012911i,-0.00088452+0.0010312i,-0.00060321+0.00028431i,-0.00025812+7.9366e-05i,-0.00062524-7.4767e-05i,-0.00082758-0.0006829i,-0.00078662-0.0007889i,-0.0012636-0.0012565i,-0.00075786-0.0016947i,0.00010547-0.00065844i,0.00019225-0.00027319i,0.00050198-7.0469e-05i,0.00054307+0.00023927i,-0.00044306+0.00033078i,-0.00099291+0.00045643i,-0.00023428+0.00036762i,0.00031481+0.00017663i,-6.6223e-05-5.3231e-06i,-0.00013469-0.00061401i
-0.0021089+9.8239e-06i,-0.002971+2.9532e-05i,-0.0023058-0.0010658i,-0.0015394-0.0015943i,-0.0013229-0.0011295i,-0.00067454-0.0006563i,-0.00010324-3.7871e-05i,-0.00021059+0.00011736i,-0.00067647-0.00047556i,-0.00066952+0.00010973i,-0.00038537+0.00054094i,-0.00051636-0.00018642i,-0.00033059-0.00055419i,0.00010659-0.00084541i,0.00034773-0.0011056i,9.078e-05-0.00029151i,-7.2642e-05+0.00018028i,-0.00016282-0.0002015i,-0.0010341-0.0003027i,-0.0011805-0.00029496i,-0.00020305-0.00042357i,0.00012621-0.00053012i,-2.4308e-05+0.0002163i
0.0019164+0.00075437i,0.0030964+0.00083663i,0.0032818+0.00047255i,0.0014452-1.7375e-06i,-0.00034289-0.00023254i,-0.0012259+0.00023822i,-0.0012494+0.00043054i,0.00019733-0.00022572i,0.00029574-0.00014813i,-0.00041866-0.00018368i,-0.00039021-0.00066957i,-0.00018389-0.00040573i,-8.0501e-05+0.00010867i,-0.00026428+0.00066821i,-7.4715e-05+0.0008788i,0.0009367+0.00056898i,0.0010919+0.00046594i,0.00014073+0.00057824i,-0.00097157+0.00031692i,-0.00087559-0.00066315i,-0.00020177-0.00085611i,7.4908e-05-0.00053264i,0.00066128-0.00016695i
0.00084103+0.0023907i,9.2611e-05+0.001231i,0.00021179+0.001363i,-0.00066525+0.0010772i,-0.0013875+0.00011666i,-0.0013865-0.00015421i,-0.00041325+0.00021129i,0.00044396+0.0010971i,0.00010278+0.0010722i,-8.8189e-05-5.4771e-05i,-9.4117e-05-0.00080643i,-0.00050754-0.00010683i,-0.0011603+0.00064378i,-0.0011242+0.00035783i,-0.00023552-4.8283e-05i,0.00020974+0.00027357i,0.00024717+0.0002728i,0.00051144+1.7181e-05i,0.0005201-0.00011055i,0.00014862+0.00064764i,-1.2811e-05+0.0010383i,0.00021836+0.00046559i,0.00082735-0.00021012i
0.00071926-0.00072006i,0.0006403+7.6583e-05i,0.00073998-0.00010623i,0.00013125+0.00023612i,-0.00034296+0.0011975i,0.00010185+0.00068076i,0.00026613-0.00039858i,9.4634e-05-0.00018417i,0.00030083+0.00016173i,0.00044936-0.00011368i,0.00062071-0.00058402i,0.00017844-0.00073479i,-0.00051053-0.00019569i,-0.00028888-2.8339e-05i,0.00031194-0.00026044i,-2.5657e-05+0.00020974i,-0.00072049+0.00042089i,-0.00084078+0.00060448i,-0.00015659+0.00056842i,0.00024368+0.00039328i,1.6498e-05+0.00020548i,-0.00057006-0.00017086i,0.00010712+0.00030872i
0.00118-0.0012248i,0.0013273-0.0013174i,0.00055448-0.0012423i,-2.9777e-05-0.0012686i,-0.00075133-0.001279i,-0.00064416-0.00022318i,-0.000121+0.00086473i,0.00019067+0.00049493i,-8.8632e-05-0.00032469i,-0.00050723-0.00052824i,-0.0010197-0.00052563i,-0.00080275-0.00034194i,0.00047367-0.00064742i,0.00058622-0.00084942i,0.00023979-7.7164e-05i,5.3934e-05+0.00035607i,0.00013564-0.00021369i,-0.00033044-0.00079848i,-0.0014017+0.00014494i,-0.00042601+0.0001421i,0.0007181-0.00042547i,0.00082662+0.0003411i,0.00077324+0.0004628i
0.00047595+0.00074327i,0.00052414-0.00019494i,-0.00058764-0.00012486i,-0.0015909-0.00079024i,-0.0018349-0.0013053i,-0.0019497-4.8073e-05i,-0.0013789+0.00099789i,-0.0010388+0.0007193i,-0.00092654+0.00056708i,-0.00047127+0.0013418i,-0.00073027+0.00071835i,-0.0015023-0.00075872i,-0.0010204-0.00062819i,-0.00057754+0.00011683i,-0.00030955+0.0001916i,-0.00052295-0.00012865i,-0.00050919-0.00040344i,-0.00051372-0.00034763i,0.00014105-0.00029012i,0.00044386-0.00024201i,7.9012e-05-0.00025253i,6.7136e-05-0.00033155i,0.00038502-3.4267e-05i
-0.0012708-0.0029737i,-0.001236-0.0028239i,-0.0018924-0.0016322i,-0.0014068-0.00034i,-0.00041956+0.00074563i,-0.00034949+0.00097054i,-0.00014432+0.00047357i,-7.5306e-05+0.00010073i,-0.00038374-0.00020184i,-0.0010734+0.00033024i,-0.0014744+0.00019025i,-0.00112-0.00073243i,-0.0012967-0.00042851i,-0.0022016-0.00038642i,-0.0012544-0.00047031i,-0.00012235+0.00011864i,0.00038212-0.00026951i,0.00056596-0.00059328i,-0.00021146-0.00039406i,-0.0004679-0.00057606i,-0.00025844-0.0004266i,-0.00020955-0.00040661i,2.9604e-05-0.00026869i
0.0006016+0.00029916i,0.00037464+0.00098122i,0.00049719+0.0013163i,0.00020315+0.0013148i,-0.00035596+0.0017935i,-0.00054465+0.0013881i,-0.00098093+0.00066766i,-2.0481e-05+0.00010358i,3.5815e-06-0.0006278i,-0.00060445-0.00075911i,-3.4838e-05-0.0012736i,-0.00017296-0.0019914i,-0.00080025-0.0014721i,-0.00028231-2.6257e-06i,0.00043955+0.00069198i,0.0010164+0.00034525i,0.0012201+0.00022971i,0.00031584-7.1961e-05i,-0.00041506-0.0003616i,-0.00045669+2.3434e-05i,-0.00017286+3.6226e-05i,0.00018657+0.0002107i,-3.3533e-05+0.0010519i
0.00011865-0.00064557i,-0.00022915-0.001089i,-0.0014298-0.00085316i,-0.0017825-0.0005738i,-0.0012642-0.00025369i,-0.00079543+0.0004865i,-0.00066906+0.00070944i,-0.00019952+0.00019501i,0.000715+0.00021287i,0.00095286+0.00046031i,-0.00030166-0.00025993i,-0.00046169-0.001178i,0.00024774-0.0009659i,-0.00025476-0.00051387i,-0.00092447-0.00079121i,-0.00051711-0.0010259i,-0.00021164-0.00069118i,-3.0867e-05-4.7101e-06i,0.00043809-4.1956e-05i,-0.00011039+0.00041243i,-0.0007001+0.00050275i,-0.00032614-5.6062e-05i,0.00028517+0.00031167i
