-0.0020509-0.0013548i,-0.0014161-0.0018294i,-0.0032248-0.001044i,-0.003533-0.00051674i,-0.0023223+0.00088332i,-0.0017406+0.0027216i,-0.0018632+0.0027731i,-0.0013773+0.0020717i,-0.00014062+0.0022164i,0.00054134+0.0017764i,0.00060449+0.00017764i,0.00031107-0.00069284i,-0.00069778-0.00010099i,-0.0016346+0.00028939i,-0.0015935-0.0001762i,-0.0011252+3.5903e-05i,8.8215e-05+8.9518e-05i,0.0011414+0.00031326i,0.00066241+0.00067055i,0.00012643+0.00097452i,8.0636e-05+0.00057582i,0.00010706-0.0004673i,0.00041289+3.2911e-05i
-0.00081904+0.0010163i,-0.00062022+0.0013082i,-0.00073471+0.0019194i,-0.00034879+0.0012235i,-0.00044188+0.00041619i,-0.00076711-0.00029366i,-0.00017921+7.8188e-05i,0.00036634+0.00024306i,8.856e-05-0.00019212i,-0.00064693-0.00093021i,-0.0012293-0.0015145i,-0.00080125-0.0012651i,-0.00087555-0.00076243i,-0.0002035-0.00035137i,0.0011377+0.00046475i,0.00070224+0.00072751i,0.00059481+0.00022477i,0.00077452+0.00059635i,0.00038684+0.00087873i,0.00014516+0.0010827i,-1.3809e-05+0.0010182i,-0.00059801+0.00071452i,-0.0010825+9.563e-05i
0.00098501-0.0005898i,0.00064612-0.00039184i,-0.0004592-0.00066271i,-0.0013319-0.0011428i,-0.0013211-0.0012097i,-0.0014762-0.00082134i,-0.00093188-0.00041576i,-0.00028637-0.00032447i,-0.00040746-0.00073129i,-0.00038058-7.5248e-05i,0.00015858-6.6203e-05i,0.0007428-0.0012849i,0.0014218-0.00067804i,0.0020289+9.4603e-05i,0.0014042+0.0007306i,0.00047023+0.0006049i,0.00013311-4.8744e-05i,-0.0003715-0.00020942i,-1.5022e-06+3.5817e-06i,0.00012326+0.00045781i,-0.00045334-0.00053372i,-4.2611e-05-0.0010306i,-0.00014256-0.00026535i
0.003393-0.0012757i,0.0038597-0.00097056i,0.0032352-0.0027368i,0.00085518-0.0032933i,-0.0016581-0.0027291i,-0.0016171-0.0011592i,-0.00036653+4.969e-05i,2.0981e-05-0.00042095i,-0.00043652-0.0016005i,-0.00044179-0.0024582i,-0.00052251-0.0028392i,-0.00048817-0.0029743i,-0.00045667-0.0020489i,-0.00090236-0.00047228i,-0.00063308+0.00055681i,-0.00032223+0.00027008i,-0.00042424-0.00018057i,-0.00063781-0.00021157i,-0.00077775-0.00026841i,-0.00061749-0.00091215i,0.00036973-0.00096078i,0.00069629-0.00037414i,0.00037986-0.00014848i
0.0002437+0.00073418i,-0.0011943+0.00018485i,-0.00052693+0.00080486i,0.00024237+0.00056256i,5.4524e-05+0.00020442i,-0.00017449+0.00023873i,-0.00023817-0.0002713i,-5.7028e-05-0.0011455i,-0.00032408-0.0011984i,-0.00045938-0.00079896i,2.3104e-05-0.0019964i,0.00028147-0.0030219i,6.0359e-05-0.0025131i,-0.00011467-0.0011446i,-0.00029372+0.00021888i,-0.00039101-0.00012005i,-0.00066943-0.00047139i,0.00035447-0.00043533i,0.00101-7.9418e-05i,-0.00021254+2.349e-05i,-0.0010106-0.00023455i,-0.00024479-0.00013957i,0.00056102-0.00026272i
0.0015118+0.0007289i,0.00013253+0.0014416i,0.00066387+0.0013627i,0.0007417+0.00071822i,-0.0011979+0.00024286i,-0.00185-0.00022013i,-0.00062579-0.00032177i,0.00048776+1.5686e-05i,0.00042318+0.00037848i,0.00036305+0.0001452i,0.00021664-0.00035955i,5.6356e-05-0.0012129i,7.62e-05-0.0014509i,0.00011474-0.0010136i,0.00017391-0.00015661i,-0.00059948+0.00059058i,-0.00048107+0.00094052i,-0.00025054+0.00080584i,-0.0010031+0.00030405i,-0.00062434-0.00033867i,0.00041918-0.00028684i,0.00057859+0.0007824i,-0.00020225+0.00088548i
0.00049378-0.0037225i,0.0011507-0.0046959i,0.0013974-0.005542i,-0.0012549-0.0043281i,-0.0032782-0.0020608i,-0.0037611-0.00095939i,-0.0021303-0.0010646i,-0.00097938-0.0012056i,-0.00080679-0.00074813i,-0.00031299-0.00079975i,-0.00070748-0.0010905i,-0.0014511-0.001055i,-0.0010457-0.00068032i,-0.00055658-0.00019476i,1.4688e-05+0.00034928i,2.4013e-06+0.00034963i,-0.00042394+0.00028939i,-0.00023217-0.00012795i,0.00048757-0.00074588i,0.0011155-0.001061i,0.0010296-0.001299i,0.00056551-0.0011524i,-0.00024876-0.00029152i
-0.0012588+0.0011545i,-0.00082544+0.0015594i,0.00088484+0.0017875i,0.0018766+0.00051508i,0.00096309-0.00074387i,0.00031766-0.00074085i,0.00020292-0.00041299i,-6.664e-05-0.0012475i,0.00075111-0.0013515i,0.001055-0.0003941i,0.00042103-0.00087141i,0.00027281-0.0016329i,0.00017071-0.0012253i,0.00058153-0.00097462i,0.00073641-0.00064756i,-7.0417e-05+0.00026713i,-3.2613e-05+0.00065367i,0.0005612+0.00028478i,0.00073307-0.00015959i,0.00069727-0.00077277i,0.0010655-0.00098233i,0.0013144-0.00099111i,0.00081222-0.00020865i
-0.0023447+9.2402e-05i,-0.0021268-0.00031037i,-0.0022823+0.00021747i,-0.0019068+9.198e-05i,-0.0016429-0.00052932i,-0.0018953-0.0008009i,-0.0012174-0.00056015i,-0.00027917+0.00054666i,0.00037157+0.0010236i,0.00087342+0.00058422i,0.00070607+0.00052199i,0.00030431+0.00034388i,0.0010457-0.00026251i,0.0018755-0.00021758i,0.0016883+0.00019275i,0.001029+6.2011e-05i,0.00028791-0.00048973i,-0.00066437-0.00037448i,-0.0012472-0.00018734i,-0.0010192-0.00079928i,-0.00081609-0.00083927i,-0.00065013-0.00031663i,-0.00011093-0.00034142i
-0.00056103-0.0019153i,-0.0012328-0.0010306i,-0.0029698+0.00054537i,-0.002625+0.00082744i,-0.0011439+0.00067925i,-0.0002828+0.00022108i,-0.00031094-0.00041301i,4.732e-05-4.1246e-05i,1.9477e-05+0.00099753i,-0.00059034+0.0008247i,-0.00061929-0.00070213i,-0.0002399-0.0020194i,-0.000242-0.0015627i,9.9756e-05-0.001242i,0.00056477-0.0012567i,0.0005752-0.00096688i,0.0003868-0.0012502i,-0.00012706-0.0014568i,-0.0006475-0.0014009i,-0.00073038-0.0011724i,-0.00052709-0.00014482i,-0.00024394+0.00044844i,0.00013463+7.1275e-05i
-0.00070579+0.00022526i,-0.00058489-0.00018144i,0.00077247-0.0015936i,0.0011411-0.0020484i,-0.00060755-0.00067222i,-0.0021032+0.0013956i,-0.0020804+0.00086204i,-0.0013835-0.0012491i,-0.00090896-0.0018353i,-5.6411e-05-0.0018222i,0.00061173-0.0018032i,0.00025127-0.0021199i,-0.00023283-0.0025079i,-0.00046976-0.001718i,-0.00034573-0.00059903i,-0.0011102-0.00048418i,-0.00057111-0.00056282i,0.00069199-0.00024858i,0.0011188+0.00035386i,0.00029266+0.00041778i,-0.00084354-0.00022416i,-0.0006589+0.00047101i,-8.4867e-05+0.0015745i
0.00038701+0.0004148i,-0.00084148+0.00052142i,-0.00085208+0.0004994i,-0.0010589-0.00052884i,-0.0010569-0.00081336i,-0.00099247+0.00020905i,-0.00092002+0.0011397i,-6.6421e-05+0.00076806i,0.00018317+0.00015566i,-0.00015+0.00028509i,7.3927e-05-0.00014537i,-0.00038868-0.0012192i,-0.0013609-0.0013642i,-0.0017145-0.00065297i,-0.00052571+0.00043153i,0.00014614+0.0016058i,-0.00072043+0.001685i,-0.0013594+0.00014855i,-0.001124-0.00046168i,-0.00085578-0.00067895i,-0.0007637-0.00034087i,-0.00017256-3.9877e-05i,-1.1399e-05-0.00049209i
-0.0016833+0.0012772i,-0.001396+0.00045297i,-0.0012912+0.0014282i,-0.00053273+0.0014242i,0.00030272+0.00017389i,-0.00059404-0.00074706i,-0.00031599-0.00069479i,-0.00011812-0.000168i,-0.00064416+0.0002639i,-0.00095278+0.00034004i,-0.0008393-0.00031413i,-0.00058156-0.0011442i,-0.00021226-0.0011041i,0.00095255-0.00058216i,0.0010859-1.6694e-05i,0.00024258+0.00055878i,-0.00076036+0.00056601i,-0.00086388+0.00024177i,-0.00057714+6.175e-05i,-7.4384e-06+0.00016583i,0.00029953+0.00059114i,-9.5345e-05+4.5258e-05i,-0.00035868+0.00028352i
0.0020626-0.0005033i,0.0025628-0.00079057i,0.0025669-0.00011393i,0.00053146-0.00102i,-0.0014672-0.00051649i,-0.0023135+0.00038109i,-0.0019376-0.00038295i,-5.7748e-05-0.00029614i,0.0005939-0.00022155i,0.00018216-0.0015683i,0.00064649-0.0019628i,0.00095603-0.0011287i,0.00052846-0.00084608i,0.00054369-0.00086885i,0.00099003-0.00036325i,0.0010932+0.0010509i,0.00010649+0.0020548i,-0.00080558+0.0019396i,-0.0011353+0.0013442i,-0.00095338-1.8868e-05i,-9.9919e-05-0.00073335i,0.00076054-0.00034468i,0.00085186+0.00026284i
-0.00099875-0.0020881i,-0.0010386-0.002627i,-0.00096925-0.0019264i,-0.001333+2.7293e-05i,-0.0015925-0.00015699i,-0.0016531-0.00013942i,-0.00073307+0.00098867i,0.000307+0.0012564i,0.00024998+0.00084134i,0.00012675+0.00036318i,0.0014536+9.3233e-05i,0.0019643-0.00014975i,0.00091246-0.0011454i,0.00017004-0.00093193i,-6.8184e-05-5.0101e-06i,0.00014709+0.0002327i,-8.3442e-05+0.00019337i,-0.0006049-0.00014251i,-0.00080086-0.00051597i,-0.00060568-0.00039228i,0.00020859-0.00027915i,0.00041137-0.00046301i,-2.9364e-05-8.6885e-05i
0.0026512+0.0017868i,0.0040679+0.002156i,0.003859+0.0006435i,0.0017006-0.00073022i,-0.00092601-0.0014983i,-0.0019739-0.0015522i,-0.00095974-0.00044673i,-0.0001776+9.4123e-05i,-0.00045594-0.00036817i,-0.0010516-0.00093885i,-0.00078351-0.0012448i,0.00035865-0.0017128i,0.001152-0.0022746i,0.0012862-0.0022139i,0.0010622-0.0017052i,0.00068066-0.0012358i,0.0003579-0.00063195i,0.00044705+0.00010284i,0.00039646-0.0004759i,-8.4066e-05-0.00078664i,-0.0001883-0.0011145i,0.0005468-0.0011366i,0.0012719-8.6649e-05i
-0.0033959-0.00013776i,-0.0030156-0.00072092i,-0.002811-0.00145i,-0.0017518-0.0013295i,-0.0016613+6.9516e-05i,-0.0020455+0.00060029i,-0.0019909-0.0001926i,-0.0016123-0.0007371i,-0.0010144-0.0011304i,-0.00048862-0.0015402i,-0.00034369-0.0015832i,-0.0003507-0.001846i,0.00019334-0.0020143i,0.00083962-0.0015554i,0.00026362-0.00058801i,-0.00044333+0.00038598i,-0.00074342+7.5848e-05i,-0.00063894-0.00099479i,-0.00031099-0.001061i,-0.00060968-0.00022933i,-0.0010141+0.00032592i,-0.00057153+0.0010061i,0.00078596+0.00061422i
-0.0016573+0.0019411i,-0.0007907+0.0026085i,0.00034304+0.0038484i,0.00052632+0.0027129i,-0.0003167+0.00032799i,-0.00049524+0.00019901i,-0.00074949+0.00037784i,-0.00032508+0.00065277i,0.0010256+0.0010459i,0.0017628+0.00083035i,0.00035292+5.9953e-05i,-0.00063033-0.0011447i,-0.0004076-0.0014256i,-0.00010911-0.00013527i,6.2588e-05+0.00079652i,-0.0003982+0.00045315i,-0.00057971+0.00032836i,-0.00017167+0.00047086i,-0.00060578+0.00045183i,-0.0013803+0.00034787i,-0.0015629+0.00020602i,-0.0010697+0.00043588i,-0.00059893+0.00075864i
-0.00021913+0.00069608i,-0.0024438+0.00043292i,-0.0022597+0.0011274i,-0.0010202+0.0017597i,-0.001041+0.00039639i,-0.0013229-0.00090848i,-0.00058251-0.0007031i,-6.7736e-05-0.00027122i,0.0004125+0.00035512i,0.00052068+0.00061086i,-0.00042953-0.00032911i,-0.00087876-0.0010683i,-0.00038722-0.00064502i,0.00015072+2.1104e-05i,0.00036652+0.00055507i,-3.9491e-05+0.00027348i,-0.00090518+0.00017967i,-0.00030047+4.3281e-05i,0.00036516-0.00059656i,-0.00013969+0.000173i,-0.00044863+0.00050536i,-4.4391e-05-0.00017855i,0.00036946+1.7241e-05i
-0.00063693+0.00057598i,-0.00022068-0.0012388i,-5.0396e-05-0.0018585i,-0.00014062-0.0011458i,-0.00025671-7.8869e-05i,-0.00023345+0.00080874i,-0.00074578+0.00054543i,-0.00082508-0.00089453i,-0.00018379-0.0011603i,-0.00020079-0.00057496i,-9.302e-05-0.00043317i,0.00012722+0.00013691i,-0.0001521+0.00046823i,0.0010753+0.00020769i,0.0016123+0.00060865i,0.00041746+0.00074569i,-0.00057019+0.00034205i,-0.00035637+0.00033512i,0.00075302+4.5852e-05i,0.00071121-0.00035881i,0.0002954-0.00039217i,0.00075559-0.00053458i,0.00042611-0.00065254i
-0.0016798+0.00065432i,-0.0017773+0.0020463i,-0.0010968+0.0030409i,-0.00036471+0.0024519i,2.7446e-05+0.0010734i,-0.00044624-0.00018941i,-0.00096974-0.00066526i,-0.00097928-0.0010272i,-0.00023343-0.0009421i,0.00062996-0.00082924i,0.00072106-0.00061944i,0.00029218-0.0002048i,-0.00012127-0.0006212i,0.00031405-0.00052836i,0.00090676-0.00010416i,0.0004911-0.000403i,-4.3013e-05-0.00020175i,-0.00015464+7.7462e-05i,-0.00072869-0.00054635i,-0.00074609-0.00044434i,-0.00039022+5.6827e-05i,-0.00011771-0.00077942i,0.0002992-0.0011404i
-0.00089231+0.0004477i,-0.00013089+0.00017906i,0.00081048+0.00056944i,0.00048593+0.00016519i,0.00042055-0.00063181i,-0.00075861-0.0006706i,-0.0017206-1.3346e-05i,-0.00051243+0.00081705i,-2.5222e-05+0.00091192i,-0.00020276-0.00047637i,-8.3584e-05-0.0015953i,0.00073919-0.0024418i,0.0005757-0.0022975i,0.00024926-0.0011085i,7.8454e-05-0.00058654i,0.00039526-0.0003813i,0.00029174-0.0002966i,-0.00020738-8.7479e-05i,-0.00049415+0.00014733i,-0.00018572-0.00025448i,0.00019892-0.00017113i,0.00031574-0.00011826i,-2.6793e-05+0.00014771i
-0.0029048+7.8815e-05i,-0.0025194-0.00038668i,-0.0024012-0.00025871i,-0.0013282+0.00038147i,-0.00096236+0.0011351i,-0.0012059+0.00041873i,-0.00065456-0.00067422i,-0.00031008-0.00064245i,-0.00017766-0.00026775i,0.00051104-0.0002586i,0.0010325-0.00071945i,0.000538-0.0020202i,1.5298e-05-0.0026684i,0.00013505-0.0019166i,0.00011148-0.00099224i,-0.0003659-2.5811e-05i,-0.0007556+0.0005538i,-0.00011723-0.00012533i,0.00027835-0.00072804i,-0.0001323-0.00010484i,-0.0001788+2.1646e-05i,-0.00055482+0.00010389i,-0.00058158+0.00075128i
0.0025001-0.00024263i,0.0027629-0.00056823i,0.0027828+0.00030561i,0.0015422-0.00062882i,-0.00028252-0.0012562i,-0.00152-0.00042345i,-0.0014905-0.00011722i,-0.00045459+0.00028356i,0.0004457+0.00038218i,8.4052e-05+8.9121e-06i,-0.00079087-0.00044756i,-0.0016301-0.00057749i,-0.0019842-0.00090386i,-0.00084498-0.00066991i,-0.0001273+0.00016732i,-3.1986e-05+0.00026688i,5.4677e-05+0.00032864i,-0.00042253+0.0004697i,-0.0003911+5.88e-05i,2.7755e-05-0.00035849i,-0.00019032-0.00060121i,4.907e-05-0.00033796i,0.00023845+2.3791e-05i
0.0013897+0.00071311i,0.00049954+0.001206i,-0.00085699+0.00053512i,-0.0019643-0.00012304i,-0.0019152-0.00059102i,-0.0014201-0.0010054i,-0.00070205-0.00013042i,-8.3199e-06+0.00083203i,0.00017806+0.000961i,-0.00015984-0.00011415i,-0.00086886-0.001132i,-0.00054738-0.0015483i,0.00025939-0.00086715i,2.851e-05-0.00044087i,-9.2923e-05-0.00083892i,-1.8814e-05-0.00050953i,0.00022962-0.00010928i,0.00049054-0.00039641i,0.00058623-0.00018656i,0.00083792+0.00051845i,0.0002889+0.000828i,0.00014256+0.00078278i,0.00049888+3.1333e-05i
-0.0012238-0.00069331i,-0.00044652-0.0015832i,5.3826e-05-0.0017342i,-0.0003297-0.00043724i,-0.00069786-5.461e-05i,-0.0010156-0.00044674i,-0.0011606+5.7292e-05i,-0.0013554-6.4391e-05i,-0.00098261+0.00013582i,0.00025439+0.0007684i,0.0010521+0.00031849i,0.001031+0.00022i,0.0010329-5.5328e-05i,0.0015625-0.0001886i,0.0013161-8.3486e-05i,0.00079386+3.0096e-05i,-0.0001227+0.00034602i,-0.00069847+0.00041848i,-0.00090035+0.00037543i,-0.00096419+4.436e-05i,-0.00031936+0.00024715i,0.00052+0.00041884i,0.00082225+0.00041515i
0.0022004-0.00040698i,0.0012699+0.00013955i,-6.5491e-05+0.00044576i,-0.00045003-0.0004993i,-0.0016436-0.00066336i,-0.0024473-0.00013327i,-0.0012254+0.00031167i,-0.00022034-0.00026534i,-0.00030836-0.00076193i,4.4716e-05-0.00066246i,0.000136-0.0012575i,-0.00059213-0.0014793i,-0.00034997-0.001065i,4.9612e-05-0.0008691i,0.00019883-0.0010785i,0.000149-0.0013112i,0.00021722-0.0012906i,0.00050456-0.0016259i,0.00044901-0.001027i,0.00011272-0.00029352i,-0.00011516-0.00081883i,-4.4637e-05-0.0013992i,0.00025185-0.0001833i
0.00025642+0.0020765i,0.00020202+0.0021082i,0.00037768+0.0015737i,0.00067614+0.00096906i,-0.00079964+0.0013327i,-0.0022231+0.00081108i,-0.0011934-4.4437e-05i,0.00012953-0.0006608i,0.0011174-0.00073623i,0.0010519-0.00078287i,0.00048577-0.0017247i,0.00048213-0.0024708i,3.121e-05-0.0023756i,-0.00040117-0.0022494i,9.7653e-05-0.0018207i,0.00067028-0.00093023i,0.00047639-0.00042989i,8.6855e-05-0.00060873i,-3.0968e-05-0.00034268i,-0.00043056+0.000413i,-0.00089468+0.0002205i,7.999e-05-0.00016519i,0.00080567+6.1491e-05i
-0.0015207-0.0023071i,-0.0015757-0.00099421i,-0.0016831-0.0010048i,-0.0020757-0.00048652i,-0.002273-7.7479e-05i,-0.0018702-0.00029683i,-0.001843-0.0001427i,-0.0024477-1.9953e-06i,-0.0024191-0.00019178i,-0.0011432-0.00080115i,0.00010915-0.0015102i,0.00053873-0.0020094i,-0.0001484-0.0016475i,-0.00089327-0.00075985i,-0.00028078-7.2694e-05i,-2.8841e-05+0.00038354i,-0.0012746-0.00015115i,-0.0013767-0.00043629i,-0.00069428-0.00035779i,-0.00055439+0.00027931i,-0.00066454+0.0011689i,-0.00060341+0.00038289i,0.00012796-0.00010086i
0.003032-0.00068867i,0.0030048-0.00067306i,0.0025139-0.00027766i,0.0023669-0.00085806i,0.0014576-0.0013214i,0.00057193-0.0010644i,0.00041507-0.00067528i,0.0006187-0.00074777i,0.00081589-0.00080655i,0.00068288-0.00017982i,0.00016565+6.0881e-05i,-0.0015057-0.00017112i,-0.0023031-7.1939e-05i,-0.00098832+1.4873e-05i,-0.00089232+6.936e-05i,-0.0012923-0.00048107i,-0.00080189-0.00080425i,-0.00090663-0.00095224i,-0.0012377-0.0017436i,-0.00057079-0.001601i,-0.00019451-0.00022272i,-0.00021944+0.00019679i,-0.00044168+0.0002093i
-0.00010633+0.00031731i,-0.00018916+0.0019856i,-0.00079044+0.0016977i,-0.0010156+0.0003912i,-0.0018813+0.00020978i,-0.0024676+5.8578e-05i,-0.0018941-0.00050675i,-0.0012815-0.00057289i,-0.0012991-0.00034305i,-0.0011358-0.00018514i,-0.0010955-0.00017592i,-0.0010757-0.00055563i,-0.00039158-0.00056551i,0.00072347-0.00053015i,0.0012176-0.00035844i,0.0010342+0.00040516i,0.00052799+0.00062976i,0.00011791+0.00051104i,-0.00041323+0.00089597i,-0.00022647+0.0013758i,0.0008473+0.0011426i,0.0013586+0.00056942i,0.00076749+0.00087397i
-0.00027692-0.00094526i,0.0001254-0.0011997i,0.00069099-0.0012716i,-0.00018779-0.0010984i,-0.0017575+0.00021543i,-0.0022436+0.00067251i,-0.0019176+0.00062086i,-0.00082871+0.00083536i,0.00048459+6.1315e-06i,0.0010276-0.00042447i,0.00083153+0.00023815i,0.00088359-0.00015902i,0.0014721-0.00085763i,0.0012436-0.0002777i,0.00075417+5.1323e-05i,0.00096368-2.0998e-05i,0.0013991-7.175e-05i,0.00083147+2.3372e-05i,-2.8978e-06-0.00039134i,-0.00034018-4.3617e-05i,-0.00043252+0.00033722i,-0.00090597-0.00047098i,-0.00054047-0.00074127i
-0.0025491-0.00067501i,-0.0033418-0.0003206i,-0.0044665-0.00077005i,-0.0032971-0.000129i,-0.0017207+0.0007786i,-0.0018171+0.0007796i,-0.0018547-0.00046566i,-0.00059661-0.0013785i,-0.00055338-0.00064368i,-0.00060231+0.00098801i,0.00015914+0.0010687i,0.00036811-0.00032672i,0.00071249-0.00093319i,0.00074866-0.00092679i,0.00044002-0.00052548i,0.00075468+0.00020341i,0.00079782-2.8682e-05i,0.00082465-0.0001393i,0.0011673+0.00049018i,0.00074946+0.00072457i,-0.0001216+0.0008363i,-0.0002095+0.00087011i,0.00047409+0.0003079i
0.00029099-0.0017787i,2.4011e-05-0.0015143i,0.00074467-0.0027755i,0.00069228-0.0026238i,-0.00064757-0.001543i,-0.0013326-0.00072618i,-0.00093235+0.00036029i,-0.00077563+0.0008748i,-0.00080833+0.00014452i,-0.0014176-0.0012485i,-0.00073641-0.0021075i,0.00050152-0.0021776i,0.00032416-0.0022656i,-0.00057505-0.0014952i,-0.00078496+6.0722e-05i,-0.0004551+0.00063966i,0.00024185-9.5238e-05i,0.00082434-0.000555i,0.00016592-0.0002998i,-0.00097186-0.00028346i,-0.0014195-0.00060772i,-0.0011459-0.0011932i,-0.00068206-0.0010611i
-0.0010862-0.0026178i,-0.0038037-0.0020563i,-0.0039194-0.0016223i,-0.003185-0.00041329i,-0.0038002+0.00048267i,-0.0029001+0.00052531i,-0.00086884+0.00093393i,-0.00035029+0.00091363i,-0.00088658-0.00033108i,-7.4669e-05-0.0012028i,0.00067063-0.0009208i,0.00057841-0.00086016i,0.00043324-0.0009635i,0.00013886-0.00054983i,-0.0004974+0.00054407i,-0.00086138+0.0010632i,-0.00090188+0.00027024i,-0.00047961-0.00033104i,0.00019125-0.00021384i,0.00012032-0.00025686i,-0.00055967-0.00040708i,-0.0010918-0.0004117i,-0.00053576+3.4625e-05i
0.0016426-0.002503i,0.0015679-0.0027784i,0.0019697-0.0032249i,0.0011884-0.0026237i,0.00056056-0.0021243i,0.00013864-0.0014192i,-5.5767e-05-0.0010701i,0.00015722-0.00086632i,-3.0078e-05-0.00080957i,-0.0008373-0.0012025i,-0.0012291-0.00099101i,-0.0016331-0.00094822i,-0.0021396-0.0013397i,-0.0012037-0.00029424i,-0.0003298+0.00050554i,0.00021336+0.00025024i,6.188e-05+0.00086925i,-0.0009693+0.00056977i,-0.00065768-0.0011954i,0.0002537-0.0013427i,0.00016933-0.00075815i,-0.00068817-0.0004282i,-0.00071186+0.000125i
-0.0010753+0.0016969i,-0.001668+0.0018228i,-0.0010726+0.0020624i,-0.00093087+0.00046612i,-0.00045543-0.00058391i,-0.00050448-0.00054207i,-0.00083892-0.00029958i,-0.00025532+0.00022138i,0.00027564+0.00048252i,0.00049685+0.00057623i,0.0004636-0.0001434i,0.00090203-0.0011831i,0.00068659-0.0009344i,-6.6633e-05-8.9105e-05i,0.00038483+0.00012275i,1.8856e-05+0.00017219i,-0.00061506+0.00030188i,-0.00073526+0.00021233i,-0.00070685+0.00044957i,-0.00039391+0.00086466i,-0.0005138+0.00050762i,-0.0006008+0.0005314i,-0.00038347+0.00032128i
0.0014472-8.558e-05i,0.0031125+0.00070239i,0.0029845-0.00035063i,0.0013412-0.00077303i,0.0001589-0.0010778i,-0.0017369-0.0010003i,-0.002158+0.00035779i,-0.0006913+0.00039611i,0.00063837-2.3366e-05i,0.0019633+0.00019283i,0.0025107-6.1872e-05i,0.001968-0.00022174i,0.0015699-0.00050938i,0.00068995-0.0014914i,-8.4599e-05-0.0014438i,-0.00010375-0.0003166i,-0.00042259+0.00017433i,-0.00085972+3.2673e-05i,-0.00054704-0.00026179i,-0.00082998-0.00023135i,-0.0006907-0.00020979i,0.00045201-0.0002067i,0.00031322+0.00085889i
0.00016881+0.00041281i,0.00021808+0.00050764i,7.8081e-05+3.8278e-05i,-0.00062247+0.00061946i,-0.0021827+0.00095406i,-0.002514+0.0011271i,-0.0015255+0.00022978i,-0.00059648-0.00094737i,-0.00018188-0.0008112i,0.00021106-0.00076309i,0.00035319-0.00062468i,0.00026701-0.00051408i,-0.00010795-0.0012334i,0.00015637-0.0014561i,0.00032408-0.0011257i,-0.00026095-0.00063247i,-0.00035188-0.0001103i,-0.00015473+0.00029037i,-9.8715e-05+0.00033486i,-0.00033119+0.00025255i,0.0001037+0.00018437i,0.0010165+0.00057053i,0.00069105+0.0008926i
0.001195+0.0021515i,0.0017617+0.0016457i,0.002463+0.00053889i,0.0027129-0.00042994i,0.0020272-0.0012065i,0.0004136-0.00054891i,-0.0006284+0.00044831i,-0.00041448-0.0001929i,-3.5124e-05-0.0010272i,-4.8263e-05-0.0015314i,0.00035316-0.0023509i,0.00092351-0.002761i,0.00060273-0.0023258i,-0.00017458-0.0010234i,-0.00036112-0.00047466i,0.00025207-0.00036293i,0.0006069+0.00029634i,0.00019281+0.00052372i,3.8108e-05-0.00030778i,4.7325e-05-0.00082949i,-0.00056206-0.00036658i,-0.0014607-0.00076253i,-0.00056181-0.00089535i
-0.0013788-0.0021134i,-0.0015238-0.00098965i,-0.0034618-0.0012553i,-0.0040211-0.0018942i,-0.0030647-0.00071202i,-0.0016953+0.00036096i,-0.00030192+0.00048387i,-0.00013152+0.00040974i,-0.00043614+0.00048588i,0.00050761+0.00047512i,0.00052423+0.00024i,-0.00058271+0.00012645i,-0.0010963+0.00018244i,-0.0014067-0.00035391i,-0.0009064-0.00068118i,-0.00069729-0.00016855i,-0.00078521+0.0004906i,-0.0004178+0.00022192i,-0.00047231-0.00057024i,-0.00064559-0.00058067i,-0.0008467-0.00040856i,-0.00087079-0.00020146i,-0.00024669-0.00022088i
0.00021042+0.0012026i,-0.00019436+0.00087662i,0.00031557+0.00095211i,0.00012405+0.0016244i,-0.00016524+0.00065375i,-0.00090768-0.0004415i,-0.0012541+7.6742e-05i,-0.00066981+0.00036498i,-0.00048635-0.00023983i,-0.00076965-0.00036269i,-0.0011698-0.00027966i,-0.0015378-0.000192i,-0.0009452-0.00024324i,0.00013986-0.00025487i,8.0788e-05-0.00069288i,-0.00020302-0.0008415i,-0.00056814-0.00061677i,-9.441e-05-0.00080286i,-0.0002003-0.00066242i,-0.0012971+0.00018535i,-0.0013004+0.0005459i,-0.0007114+0.00037087i,8.6505e-05+0.0003352i
2.1389e-05-0.0016352i,0.00048433-0.0013684i,0.001549-0.0013651i,0.0012959-0.00089872i,-0.00079741-0.00039695i,-0.0023348+0.00088839i,-0.002421+0.0016633i,-0.0013572+0.00068621i,-0.00044515-0.00028995i,-8.771e-05-0.00052025i,-6.7787e-06-0.0010118i,-0.00019442-0.0017604i,-0.00072213-0.0015349i,-0.00075653-0.00024102i,-0.0006408+0.00087815i,-1.3581e-05+0.0002133i,0.00026805-0.0002819i,-0.00016137-7.2193e-05i,-0.00065444-1.2005e-05i,-0.00032859+2.9873e-05i,0.00068011-0.0002228i,0.0006712-0.00044804i,-0.00027748-6.052e-06i
