-0.0062073+0.00042392i,-0.0046252-6.4503e-05i,-0.0061267+0.0010748i,-0.0049961+0.0019824i,-0.0028162+0.0027924i,-0.0018136+0.0025691i,0.00023785+0.0018288i,0.00047436+0.00098873i,0.00033779+4.2898e-05i,0.0011236-0.00033096i,0.0012893-0.00039069i,0.0010633+0.00025131i,0.00038684+0.00037067i,-0.00058676-0.00097063i,-0.00116-0.0013431i,-0.00057983-0.000228i,-1.2354e-05-0.00016499i,-0.00078867-0.00088509i,-0.001113-0.0012673i,-0.00011413-0.00056126i,6.7311e-05+0.00046645i,-0.00023123+0.00014453i,-4.3735e-05+0.00022433i
-0.00031524-0.00024526i,9.673e-05-0.00068156i,0.00046134-0.0011373i,0.0008609-0.0013285i,0.00067234-0.0015448i,0.0002634-0.00066176i,0.00034101-0.00017143i,0.0010781-0.00086925i,0.00050061-0.0015599i,-0.00025412-0.0015485i,-0.00021732-0.00067376i,-0.0007009+0.00031538i,-0.001089-0.00036036i,-0.0011135-0.00092218i,-0.00039826-5.7963e-05i,0.00043865+0.00030953i,0.00022568+0.0004374i,-0.00063894+0.00044978i,-0.0011271-0.00015655i,-0.0010043-0.00010189i,-0.00011781+0.00029704i,-6.1416e-05+0.00078333i,0.00030661+0.00029392i
-0.0012378-0.00041315i,-0.00075821-0.00065452i,0.0011524-0.0010467i,0.0011189-0.00066969i,-0.00024034-0.00049378i,-0.00025074-0.00013349i,-0.00052877+0.00086302i,-8.7725e-05+0.00073596i,5.6247e-05-0.00022811i,-0.0009666-0.00056067i,-0.00066113-6.4822e-05i,-0.00033225+0.00031695i,-0.0011413+4.5814e-05i,-0.00085804-1.8529e-07i,8.5895e-05+1.6856e-05i,0.00043852-6.1437e-05i,0.00064641-1.283e-05i,0.0003961-0.00039012i,-0.00042231-0.000843i,-0.00067074-0.00057601i,-0.00031717-0.00018769i,-0.00042174+0.00012056i,0.00011496+0.00057984i
-0.00071298-0.0010869i,-0.00071159+8.8834e-05i,-0.00015196-0.00038509i,-0.00027781-0.0012047i,-0.001243-0.0011444i,-0.0016863+0.00049339i,-0.00054629+0.0015187i,0.00089386+5.4654e-05i,0.00094592-0.0011069i,0.00059336-0.00058868i,5.6445e-05+0.00014034i,-0.0002291+0.0003175i,0.0005008-0.00028969i,0.00069289-0.00080573i,0.00024899-0.00038765i,6.5775e-06-4.6398e-05i,-0.00019948-1.3071e-05i,-0.00027474-8.2215e-05i,-0.00085762+5.9986e-05i,-0.00099057+4.878e-05i,-0.0005001-0.00019336i,-0.00064087-9.6141e-05i,-0.00067769+0.00012393i
0.0016325-0.00016224i,-0.0003771-0.00010596i,-0.0018582-0.0013025i,-0.0014612-0.0010117i,-0.0019811-0.00014336i,-0.0026251+0.00090398i,-0.0012506+0.00052041i,-0.00020357-0.00024239i,-0.0010355-0.00064643i,-0.001088-0.00088542i,-0.00069836-0.00027101i,-0.00056162+0.00032576i,-0.00023175+0.00044541i,-0.00037416+6.7166e-06i,-0.0010673-0.00061487i,-0.0013998-0.00060123i,-0.0010169-0.00062602i,-3.7736e-05-0.00075672i,0.00031635-0.00038099i,9.1541e-05+0.0001355i,-0.00011599-1.6383e-05i,-0.00083891-2.8077e-05i,-0.0011037+0.00016222i
-0.0015447-0.00040148i,-0.0014854+1.1041e-05i,-0.0009853+0.0014398i,-0.001054+0.001163i,-0.0021126-0.00035637i,-0.0011218-9.4156e-05i,0.00033369+0.0010923i,0.00024304+0.00045645i,0.0007514-0.00079359i,0.00046221-0.00054512i,0.00013629+0.00059877i,0.00028392+0.0012419i,-0.00046786+0.00056381i,-0.0012336-0.00038722i,-0.0013083-0.00069502i,-0.0010878-0.00081915i,-0.00031057-0.001167i,-0.00026394-0.0014517i,-0.00070077-0.0011326i,-0.00078139-0.0010188i,0.00032502-0.0010966i,0.00085632-0.00056381i,-6.1407e-05-0.00020501i
-0.0011265-0.0013289i,-0.0024051-0.00095811i,-0.0025108-0.00029767i,-0.0025504+0.00078622i,-0.0028195+0.00027511i,-0.0018073+0.00063437i,0.00023982+0.00074388i,0.0003405+0.00026042i,-0.00045321+0.00027953i,2.5259e-05+0.00011398i,0.00097668+0.00034924i,0.0004443+0.00069367i,-0.00029123+0.00011322i,-0.00022959-0.00067944i,-0.00025525-0.0012423i,-0.00078178-0.0009649i,-0.0010236-0.00070242i,-0.00041992+0.00015684i,9.1947e-05+8.8288e-05i,-0.0004901-0.00032942i,-0.0012608+0.00019511i,-0.0011334+0.0009575i,-0.00025606+0.00086597i
0.0013104+0.0024838i,0.00087949+0.00079681i,0.0017242-0.0006502i,0.00039756-0.0014105i,-0.0012763-0.0018975i,-0.0013981-0.001377i,-0.00012701-0.00058445i,0.0011685-0.00068054i,0.00075135-0.0015558i,-0.0001512-0.0014512i,-0.00064005+5.2678e-05i,-0.00098035+0.00081713i,-0.001098+0.00061119i,-0.00074793+0.00056857i,-8.09e-05+0.00094319i,0.00086125+0.00070781i,0.00073851-0.00010371i,-0.00031982+0.00021041i,-0.00097335+0.0003847i,-0.00059903+0.00075084i,8.8132e-05+0.00081288i,0.00029684+0.00046042i,0.00077241-0.00011869i
0.0029349+0.0033275i,0.0033329+0.0022875i,0.0051856+0.00058783i,0.0046924-0.0013339i,0.0021268-0.0029589i,0.00024632-0.0022223i,5.1929e-06+0.00035128i,0.00094477+0.00058935i,0.0009405-0.00050974i,-4.4262e-05-0.0017015i,-0.00068454-0.0016902i,-0.0011471-0.00096418i,-0.0012838+0.00010367i,-0.001424+0.0010707i,-0.00094873+0.00076945i,-0.0002907+0.00019017i,0.00012958-0.00010768i,0.00046447-0.00060379i,2.7323e-05-0.00075991i,-0.00045363-1.0315e-05i,-0.00045343+0.00035942i,0.00052349-6.934e-06i,0.0007143+1.1155e-05i
-0.0011648+0.00021895i,-0.00089946+0.0002722i,-7.9939e-05+0.0007218i,0.00058058+3.9773e-05i,2.7622e-05+2.3319e-05i,-6.21e-05+0.00033771i,0.0004072+0.0010337i,0.00086397+0.00057961i,-3.4731e-05-0.001026i,-0.0013383-0.0011063i,-0.00074157-0.00024277i,-0.00046578+0.00040655i,-0.0014465+0.00043498i,-0.0012168-0.00015579i,-0.00047165-0.00030362i,-0.0010073-0.00041614i,-0.00058155-0.00054046i,-0.00041139-0.00068863i,-0.0013169-0.00058042i,-0.001147+8.4404e-05i,-0.00013431-0.00034091i,0.0005894-0.00074599i,-1.0359e-05-0.00045527i
-0.00068073+0.0019105i,-0.00064563+0.0017526i,-0.00016201+0.0020992i,-0.0002558+0.0014858i,-0.00090245+3.7334e-05i,-0.0013876-0.00031092i,-0.0010269+0.00023998i,6.0257e-05-7.5322e-05i,0.00091949-0.00069725i,0.00033511-0.00010912i,-0.00052489+0.00056825i,-0.00084768+0.00027519i,-0.00017678-0.00022447i,0.00047994-5.3564e-05i,0.00013673-7.8829e-05i,0.00041881-0.00066756i,0.0010216-0.00017829i,0.00029368+0.00029198i,-8.0732e-05+0.00057408i,0.00027011+0.00053908i,0.00081661+0.0002536i,0.00067486+0.00026029i,0.00015539-0.0001847i
0.0021513+0.0016021i,0.002347+0.00075357i,0.0018539-0.00077127i,0.0009384-0.0025302i,-0.00046213-0.002747i,-0.0010031-0.0010675i,-0.00014079+0.00030356i,0.0011253-0.00035909i,0.0011274-0.0012899i,-0.00017147-0.0016721i,-0.00072165-0.0010245i,-0.00095125-0.00019463i,-0.0010675+0.00061361i,-0.00087111+0.00068528i,-0.0010285-0.00091256i,-0.00060011-0.0013103i,-5.1923e-05-0.00022148i,5.3296e-05+0.000291i,-8.1168e-05+0.00038153i,-0.00039258-0.00011708i,8.3559e-05+6.8635e-05i,0.0010015+0.00047695i,0.0006717+6.0252e-05i
-0.00048209+0.0023981i,-0.0007399+0.00096067i,-0.00097174+0.00045036i,-0.00048849+0.0003731i,-0.00055539+7.6863e-05i,-0.000196+0.00042106i,0.0007521+0.0012352i,0.0011343+0.00098839i,0.00071655+0.00049434i,0.00044723+0.00014862i,-5.9399e-05+6.969e-06i,-0.00036004+2.8113e-05i,8.3101e-05-6.142e-05i,-0.00015951-0.00034932i,-0.00062788-0.00045798i,0.00028214-0.0006089i,0.00046355-0.0011264i,-0.0002889-0.0009202i,0.00011328+5.4087e-05i,0.00049129+0.0005887i,0.00075794+0.00050691i,0.00051669+0.00074574i,4.3999e-05+0.00096491i
0.0025896-0.001432i,0.0017855-0.0021033i,0.0015599-0.0041391i,0.00090419-0.0050763i,-0.00068491-0.0034833i,-0.001681-0.00073893i,-0.00086577+0.0010808i,0.00017302+0.0006146i,0.00051107-0.00079064i,-0.00038914-0.00067956i,-0.0013995+0.00027244i,-0.0016062+0.0010297i,-0.0014667+0.0018841i,-0.00069665+0.0014833i,-0.00012432+2.932e-05i,0.00052216-0.00010064i,0.00050283-1.0354e-05i,0.00034032-0.00024537i,-0.00047386-0.00030513i,-0.0011369-0.00026548i,-0.00045662-9.8204e-05i,-6.0467e-05-0.00078392i,-0.00022987-0.0005028i
-4.5472e-05-9.4545e-05i,-0.00034651+8.24e-05i,-0.00057309-4.0061e-05i,-0.0016235+0.00033656i,-0.0030167+0.0001802i,-0.0028247+0.00039363i,-0.00077442+0.00050238i,0.0012483-0.00032233i,0.0008491-0.00090448i,-0.00042151-0.00085084i,-0.00037416-2.3699e-05i,-8.1622e-05+0.00041395i,-0.00017751+0.00034799i,-9.0887e-05-4.9102e-05i,-6.5864e-05-8.6223e-05i,-0.00025203+0.00032584i,-0.00016274-0.00045949i,-0.00041179-0.001208i,-0.00036373-0.0011805i,2.6537e-05-0.000958i,-1.0258e-05-0.00050647i,-0.00037944+9.0418e-05i,-0.00052659+0.00036986i
0.00040967+0.00039837i,0.0003643+0.00012226i,0.00084853+0.00050613i,0.00092993-0.00029717i,0.0006625-0.0014834i,0.00078717-0.00096699i,0.00098203+0.00073052i,0.00097545+0.00064214i,0.00037119-0.0011354i,0.00011729-0.0010921i,-0.00045406+0.00014098i,-0.0012965+0.0004287i,-0.001245+0.00088736i,-0.0013506+0.00079994i,-0.00083735+0.00021221i,-0.00022092-0.00029628i,-0.00012728-0.0011277i,0.00026523-0.0011836i,0.00046555-0.00038659i,0.00014858+4.5392e-05i,0.00010093+2.9979e-05i,-0.00010172+0.00030328i,5.6473e-05+0.00018933i
-0.00066011+0.00054711i,-0.0010124+0.00057957i,-0.00091099+0.00029169i,-0.0010222-0.00099821i,-0.0011516-0.0023893i,-0.00095302-0.0020598i,1.7256e-05-0.00034622i,0.0005646-0.00018087i,0.00046037-0.00092304i,0.00015667-0.00055601i,0.00024149-0.00021564i,0.00056725+0.00037635i,-0.0003194+0.0008043i,-0.00085742+0.0001393i,-0.00018082-0.0002662i,0.00024359+0.00011822i,3.8306e-05+0.00028999i,8.2632e-05+0.00035728i,7.6761e-05+0.00036428i,-0.00079665-0.00063503i,-0.00074603-0.00039457i,0.00016375+0.001283i,-0.00011024+0.0016441i
0.0014369-0.0011337i,0.0011132-0.0021488i,0.00079278-0.00442i,0.00030621-0.0046583i,-0.00037973-0.002372i,-0.0013813-9.7779e-05i,-0.00055383+9.408e-05i,0.00092064-1.6532e-05i,0.0010671-1.6821e-06i,0.00025027-0.00031429i,-0.0011614-6.3324e-05i,-0.0017387+0.00033781i,-0.0013327+3.7758e-05i,-0.00093157-0.00056158i,-0.00021123-0.00050829i,0.0004834-0.00039065i,0.00065282-0.00059705i,0.00033629+0.00014972i,3.2954e-05+0.00012325i,0.00023047+5.3172e-06i,0.00047543+0.00013538i,0.00048218-0.00049291i,0.00016091-0.00029816i
0.00043087+4.3479e-05i,0.0014628-0.00027764i,0.0023856+0.00044654i,0.0010045-7.7452e-05i,-0.00032388-0.0014755i,-0.00040203-0.00045493i,-7.0973e-05+0.00014655i,0.001655-0.00012032i,0.0014159-0.00030022i,0.00012104-0.00032687i,-0.0002712-0.00083346i,-0.0004707-0.0012068i,-0.0007167-0.00062335i,-0.0006146+9.8706e-05i,0.00036796+0.00022864i,0.0011775+0.0003262i,0.00086006+0.00035214i,2.4956e-05-0.00066201i,0.00024413-0.0010458i,0.00051201-0.0006341i,0.00049143-0.00017793i,7.1761e-05+0.00089317i,-0.00047433+0.00082564i
-0.0013206-0.0015556i,-0.0015442-0.0014946i,-0.0039399-0.0005866i,-0.0042764+0.00058126i,-0.0032534+0.00081749i,-0.0016384+0.00044316i,0.00036096-1.6666e-05i,0.00081688-0.00096994i,0.00062643-0.0013008i,-0.00018076-0.00033997i,-0.00058817+0.0005065i,-0.00010742+0.0013943i,-0.00021154+0.001224i,-0.00056181+0.00044053i,-0.00069934-4.4263e-05i,-0.00071411-0.00033732i,-9.9375e-05+0.0003739i,0.00081627+0.00076515i,0.00067034+0.00021535i,1.1694e-05-4.6534e-05i,0.0004025-0.00012158i,-1.8944e-05+7.5359e-05i,-0.00066082-0.00027013i
-0.00076492-0.0021083i,-0.0010966-0.0013246i,-0.001177-0.0012781i,-0.0010669-0.0024177i,-0.00087265-0.0018068i,-0.0011294+0.00049138i,-4.893e-05+0.0017287i,0.00060106+0.00043687i,-0.00040455-0.00056193i,-0.0011202-0.00063688i,-0.00034456+2.4799e-05i,0.00045776+0.0006001i,0.00019297+0.00013244i,-0.00012934-0.00023943i,-0.00045965+8.0318e-06i,-0.00071187+0.00063916i,-5.9611e-05-0.00013238i,0.00036819-0.0014511i,-0.00031564-0.0017955i,-0.0013762-0.00095345i,-0.00096407-0.00030073i,-0.00012579-0.00066842i,0.00018137-0.00088377i
-0.00050827+0.00020446i,-0.00084267+7.4658e-05i,-0.0019861+0.0003705i,-0.0020489+0.00062291i,-0.0011594-0.00011439i,-0.00073703+0.00023265i,-0.00015728+0.00057496i,0.0010077-0.00041146i,0.00070427-0.00096142i,-0.00029352-0.00045483i,0.00036622+0.0013297i,0.00042221+0.0021722i,-0.00044401+0.00098027i,-0.00032693-0.00013777i,-0.00021223-0.00058932i,-0.00063251-0.00045523i,9.7791e-05-0.0008362i,0.00078106-0.0016651i,0.00038469-0.0010805i,3.991e-05-0.00033013i,0.00051611+0.00045177i,0.00059599+0.0011355i,0.00036638+0.00051584i
-0.0039531+0.00046968i,-0.0033517+0.0002488i,-0.003984+0.0019138i,-0.0030438+0.0015084i,-0.0017848+0.00011876i,-0.0013636-0.00061924i,-0.00019301-6.5703e-05i,0.00047121-0.00031291i,0.00059627-0.0011405i,0.00072102-0.0003476i,0.00050239+0.00041452i,0.0004412+0.00089208i,2.0996e-05+0.00039143i,-0.00085531-0.00021844i,-0.0015126-0.00026822i,-0.00052285-0.00028814i,0.00015858-0.00030313i,0.0001621+5.4438e-05i,0.00020251+0.00057825i,-0.00027169+0.0002221i,-0.00022224-0.00027781i,0.00031536-0.00028777i,0.00040625+0.0005218i
-0.0010777+0.0012589i,-8.4449e-05-9.8074e-05i,0.00020998+0.00059584i,-0.00039232+0.0011872i,-0.00060447+0.00037563i,-0.00064035+0.00038368i,0.0001824+0.0010044i,0.00058456-0.00040049i,0.00049525-0.0018305i,0.00068679-0.00070605i,0.00017156+0.00025526i,-0.00040258+2.8989e-06i,-0.00079076-0.00023406i,-0.00098445-0.00051475i,-0.00091299-0.00036886i,-0.0004225+9.9047e-05i,0.000371+0.00033936i,0.0003744+0.00059751i,-7.3206e-06+0.00058201i,-0.00012664+0.00030641i,-0.00078444-0.00037536i,-0.00076123-0.00077821i,0.00021021-4.0613e-05i
-0.0017669-0.00020736i,-0.0019391+0.0017144i,-0.0027019+0.0016357i,-0.0017987+0.0012416i,-0.0010848+0.0010794i,-0.00096256+0.00043487i,-4.6248e-05-0.00029805i,0.00084875-0.0010517i,0.00076675-0.0012125i,0.00061107-0.00017942i,4.847e-05+0.00065471i,-0.0011365+0.00057086i,-0.00089312+0.00012201i,-0.00016487-0.00063763i,-8.3665e-05-0.00084031i,-0.00015156-0.00034046i,-0.00010612-0.00013348i,0.00095091-0.00040298i,0.0011545+0.00020493i,-0.00029321+0.00053938i,-0.00068234+0.00032921i,-0.0005884+0.00052807i,-0.00039964+0.00017655i
-0.00081167+0.00042311i,-0.0020849+0.00027499i,-0.0017063-0.0010992i,0.00010637-0.00058935i,4.6931e-05+0.00060983i,-0.0011998+0.0011173i,-0.0010554+0.00099534i,-0.00014345+0.00019379i,-0.00040203-0.00058822i,-0.0007915+0.00029975i,-0.00018402+0.0012345i,5.4508e-06+9.9333e-05i,0.00034651-0.00040923i,0.00063224+0.00018652i,-0.00013479-7.0766e-05i,-0.00098373-0.0003981i,-0.00085552-0.00038474i,-0.0012727+0.0001199i,-0.00061832+0.00035467i,0.00078326+0.00047743i,0.00079184+0.00019401i,0.00058429+9.1961e-05i,0.00014087+0.00023758i
-0.0014484-5.0695e-05i,-0.00081951-0.00063267i,-0.0012485-0.0006314i,-0.0022214+0.00033448i,-0.0027514+0.00029668i,-0.0018741+0.00070498i,-0.0007821+0.0012225i,0.00040976-0.00011356i,0.00094552-0.0020785i,0.0001754-0.0016736i,-0.0007995-0.00041028i,-0.0011667-0.00029737i,-0.00059741-0.00023848i,-0.00011718-0.00011615i,-6.8773e-05+0.00017819i,-0.00015976-1.1238e-05i,-0.00047059-0.00071896i,-0.00067248-0.0010098i,-0.00086351-0.00070179i,-0.00032927-0.00054407i,-0.00024654-0.00028312i,-0.00045188-0.00043927i,6.5641e-05-0.00080533i
0.00048406+0.0016832i,0.00031841+0.0030975i,2.4864e-05+0.0029812i,0.00026922+0.0017046i,0.00030854+0.00033759i,-0.00014412+0.00024011i,0.00027418+0.0011513i,0.00067038+0.00035485i,0.00048343-0.001239i,-8.6668e-05-0.00063085i,-0.00063211+0.00015191i,-0.0011551-0.00024723i,-0.00082138-0.00042656i,-0.000546-0.00064818i,-0.00065455-0.00046618i,-0.00032523+4.5817e-05i,0.0002488+0.00079878i,0.00012387+0.00024089i,8.4733e-06-0.00069495i,0.00088799-0.00038118i,0.00042078+0.00029147i,0.00018635+0.00066935i,0.00058761+0.00051536i
0.00022479-0.0013531i,0.00048302-0.0018126i,0.00070763-0.0027185i,-0.00045573-0.0023068i,-0.0019047-0.0013584i,-0.0019374-0.00056324i,-0.0003603+0.00083574i,0.00079797+0.0004402i,0.00017033-0.00091045i,-0.00074647-0.00087992i,-0.00049518+0.00024368i,-0.0006117+0.00068164i,-0.00081444+0.00051912i,-0.00025712+0.00020669i,0.0003524-0.00033464i,0.00052184-0.0010725i,0.00017483-0.0011226i,-0.00026671-0.00089667i,-0.0012249-0.0005113i,-0.00075026+4.5977e-05i,0.00020515+0.00063422i,0.00054299+0.00050942i,0.00061028+0.00022267i
-0.0014393+0.0005222i,-0.00064588+0.0012973i,0.00025026+0.0011966i,-0.00018891+0.00022417i,-0.001435-0.0005353i,-0.0011313-0.00083626i,-0.00023366-0.00052492i,-0.00014958-0.00011926i,-0.00031834-0.00014341i,-0.00086634-0.000415i,-0.0011929-0.00053572i,-0.0010127+0.00041724i,-0.00075463+0.0003311i,-0.00067756-0.00044611i,-0.00053532-0.00021045i,-0.0001553+0.00043942i,-0.00044906+0.00036414i,-0.0008405-0.00059115i,-0.00030799-0.0011018i,0.00033963-0.00097749i,0.00014379-0.00064428i,-0.00066526-0.00067315i,-0.0013344-0.00030748i
0.00041023-0.00088158i,0.00026627-0.00084876i,-0.00070498+0.00010149i,-0.0014757-0.00016904i,-0.001423-0.00028651i,-0.00092725+0.00041645i,0.00048249+0.00028281i,0.0015301+0.00026406i,0.00044459-0.0003435i,-0.0012937-0.0003527i,-0.0012138+0.00066364i,-0.00084388+0.00069925i,-0.001321+0.0008448i,-0.0016427+0.0010707i,-0.0010077+0.00066631i,0.00016563+0.00012079i,0.00050483-0.0011349i,0.00010704-0.0010024i,-0.00059195-0.00042778i,-0.00024465-0.00018178i,0.00014193+1.568e-05i,-0.00059731-0.00020355i,-0.00079897-0.00021295i
-7.5334e-06+0.0019617i,0.00020496+0.0016068i,0.00063337+0.0016401i,0.00095481+0.00018408i,0.00017373-0.0010096i,-0.00030148+2.5991e-05i,-0.00047761+0.00030811i,-0.00010821-0.00074887i,0.00029349-0.0011639i,-0.00017757-0.00085739i,-0.00038746-0.00041798i,-0.0003054-3.085e-05i,-0.00051242-0.00025869i,-0.00078637+3.9695e-05i,-0.0011512+0.00043996i,-0.0004483-0.00029232i,0.001029-0.00075452i,0.00096823-0.0012135i,-0.0001583-0.0014557i,-0.00018502-0.00066512i,0.0009345+0.00058377i,0.00085283+0.00084177i,0.00075967+0.00072899i
0.0018485-0.00043271i,0.0015505-0.00046641i,0.0011154-0.0016365i,-2.2322e-05-0.0029266i,-0.0012628-0.0027055i,-0.00087886-0.00084242i,0.0011256+0.00025193i,0.0020892-0.00015255i,0.0010261-0.00042658i,-0.00039881-0.00026707i,-0.00061017-0.00029449i,-0.00079688+6.9288e-05i,-0.0010896+0.00083851i,-0.00065822+0.00058576i,-2.8477e-05-3.9602e-05i,3.5265e-05+3.8174e-05i,0.00033424-0.00047855i,0.00047888-0.00097999i,-0.00051565-0.00039207i,-0.00059756+0.00017734i,-2.5764e-05+0.00020947i,0.00024085+0.0003458i,0.00014358+0.00023984i
0.0013283+0.0013754i,0.0016971+0.0013769i,0.0018649+0.00079074i,0.00028709-0.00028339i,-0.00097111-0.0011625i,-0.0011471-8.247e-05i,-0.0008844+0.00088634i,-0.00044062-0.00033911i,-0.00019229-0.00087231i,-8.5658e-05-0.00059748i,5.7251e-05-0.00020369i,-0.00037738-7.0428e-05i,-0.00073566-0.00055925i,-0.00050437-0.00029279i,-0.0011218+0.00026899i,-0.0011456+0.00017409i,0.0001999-0.000387i,0.00099316-0.00088183i,0.00045926-0.0006565i,-9.553e-05+0.00011039i,-0.00044992+0.00030138i,0.00012413-0.00038681i,-2.9376e-05-0.00034644i
-2.6031e-05-0.0023054i,-0.00092595-0.003013i,-0.0017271-0.0031099i,-0.0020384-0.0019715i,-0.0030216-0.00063805i,-0.0028429+0.0014424i,-0.0008012+0.0022694i,0.00040252+0.0010512i,-0.0001043-0.00046403i,-0.0011502-0.00077562i,-0.0014453+1.2911e-05i,-0.00080778+0.00065045i,-0.00052047+0.00043105i,-0.00066498-5.7864e-06i,-0.00021944-0.00034367i,-0.000174-0.00071354i,-0.0007454-0.00053248i,-0.0012151-0.00071628i,-0.0011655-0.0011075i,-0.00084279-0.00082787i,-0.00055597-0.00041534i,-0.0003783-0.00013361i,0.00019018-0.00022138i
0.0016749-5.5119e-05i,0.0016073+0.0005551i,0.0013034-0.00063316i,-0.0004481-0.0028904i,-0.0021226-0.0032986i,-0.0020079-0.0012096i,-0.00035527+0.00071397i,0.00066517-0.00032661i,0.00072825-0.0016672i,0.0003431-0.0011483i,-0.00027274-0.00017405i,-0.00035827+0.00050975i,0.00032561+0.00048068i,0.00056528+0.00071127i,-0.00052548+0.00076517i,-0.00065138-4.7331e-05i,0.00057964-0.00037348i,0.00049274-0.00034139i,-0.0004813-0.0011422i,6.01e-05-0.0013988i,0.00048545-0.00071652i,0.0002728-0.00042066i,0.0005652-0.00056801i
-0.00040406+0.00074103i,-4.419e-05-9.195e-05i,-7.0038e-05-0.0019003i,-0.00042948-0.0025153i,-0.00078574-0.0016199i,-0.0010321+0.0003085i,-0.00079763+0.001153i,0.00028944+0.00035097i,0.00085338-0.00037275i,9.7192e-07-0.0011413i,-0.00054074-0.0010412i,-0.0010512+0.00020195i,-0.00065211+0.00032854i,-5.6823e-05-0.00011067i,-0.00029195-0.0008892i,9.0815e-05-0.0016019i,0.00081545-0.0012289i,0.00075037-0.0015144i,0.00044401-0.00097483i,6.8987e-05+0.00035497i,-0.00010042+0.00015378i,-0.00011257-0.0002688i,-0.0003327-6.0746e-05i
0.00038465+0.0012188i,0.0013165+0.0021678i,0.0021061+0.0029052i,0.001682+0.001999i,0.00025056+0.00040977i,-0.00090655-0.00071241i,-0.00081369-0.00089578i,1.5428e-05-0.00060134i,0.00017856-0.00075075i,-0.00071739-0.00025358i,-0.0009303+0.00032034i,-1.1533e-05+0.00019547i,-0.00037998+0.00015793i,-0.00091065-8.7193e-06i,-0.00078914-5.948e-05i,-0.00045164-4.1518e-05i,-0.00026252-0.00036807i,-0.00067963-0.00066599i,-0.001011-0.00064459i,-0.00049246-0.0012432i,0.00045101-0.0007684i,0.00038911-0.0001379i,-0.00050338-0.00014076i
0.00071123-0.00096082i,0.00047617-0.0013316i,6.6927e-05-0.0019959i,-0.0013842-0.0021954i,-0.0018743-0.0024658i,-0.0010987-0.0019727i,0.0001465-0.000958i,0.00092296-0.0011475i,0.00074148-0.0017763i,0.00031931-0.0010797i,0.00032027+0.00031415i,0.00035156+0.00067681i,-6.1514e-05+0.00020353i,-0.00081738-6.3331e-05i,-0.0018397+8.1394e-05i,-0.0018418+0.00091512i,-0.0016601+0.0006402i,-0.00069877-0.00027253i,0.00061012-0.00013409i,0.00081796+0.00043702i,0.00082028+0.0011137i,0.00029316+0.0011753i,0.00024752+0.00058689i
0.00052377-0.0014202i,-0.00016239-0.0016047i,0.00075071-0.002001i,0.0011052-0.0016847i,-0.00087132-0.0012915i,-0.0019484+0.00012073i,-0.00057248+0.00093719i,0.00063867+0.00023953i,0.00058636-0.00082364i,0.00070207-5.6872e-05i,0.00026607+0.00068521i,-9.0089e-05-9.4023e-06i,0.00018754+0.00041381i,-9.7033e-06+0.00059753i,-0.00015627+0.00026708i,-0.00012226-0.00027195i,-2.3504e-05-0.00077503i,0.00033871-0.0011786i,0.00080646-0.00070634i,0.00070541+0.00011973i,0.00011024-7.0803e-05i,4.985e-06+0.00021594i,6.985e-05+0.00071064i
-0.0014986-0.00143i,-0.001622-0.00026177i,-0.0020923+0.0012667i,-0.0022858+0.0010776i,-0.0014959-0.00018519i,-0.00070794+0.00034976i,0.00057931+0.0010749i,0.0016376-5.6585e-05i,0.0011238-0.0010979i,0.00047586-0.00077114i,0.00039733+0.00074328i,-0.00034632+0.0017983i,-0.0007871+0.00075942i,-0.00072406-0.0005321i,-0.00087785-0.0012395i,-0.00040559-0.00077069i,0.00044271-7.0078e-05i,0.00049287+0.00012838i,-1.9226e-06+0.00022836i,-0.00040975+0.00057914i,-0.00022643+0.00017018i,-0.00010856-0.00019553i,-0.00017517-0.00035314i
0.0015163+0.00011533i,0.00042131-0.00015031i,5.4162e-05-0.00044845i,0.00025727-0.00045381i,-0.00033498-0.00057945i,-0.0010857-0.00030476i,-0.00092368+0.00034423i,0.00030783-0.00027141i,0.000711-0.0016574i,-0.0001431-0.0012828i,-0.00038173+0.000182i,-0.00059329+0.00096574i,-0.0012376+0.00030039i,-0.0011975+2.06e-05i,-0.00084414+6.1827e-05i,-0.00055592-0.00028969i,-4.8295e-05+4.9523e-05i,0.0002427-0.00073125i,4.1758e-05-0.0010888i,-0.00055943-0.00048639i,-0.00038851+0.00047392i,-0.00047878+0.0010494i,-0.00027684+0.00077055i
0.0025271-0.00051681i,0.0023233-0.0011818i,0.0015677-0.0028171i,-0.00026498-0.0042007i,-0.0019629-0.0039228i,-0.0016919-0.0013025i,6.8162e-05+0.0013802i,0.0009688+0.0013538i,0.00043514-0.00050994i,-0.00028938-0.0014334i,-0.00089571-0.00080737i,-0.00081745-4.5166e-05i,-7.7498e-05+0.00052781i,8.0495e-05+0.0011365i,0.0001801+0.00084244i,-0.00046866+0.00030396i,-0.00089543-0.00028209i,-0.00037021-0.0012012i,-0.00047253-0.0010197i,-0.00075216-0.00046574i,-0.0004288+0.00010543i,-0.00023311+6.1108e-05i,9.3541e-05-0.00048351i
