-0.0062073+0.00042392i,-0.0046252-6.4503e-05i,-0.0061267+0.0010748i,-0.0049961+0.0019824i,-0.0028162+0.0027924i,-0.0018136+0.0025691i,0.00023785+0.0018288i,0.00047436+0.00098873i,0.00033779+4.2898e-05i,0.0011236-0.00033096i,0.0012893-0.00039069i,0.0010633+0.00025131i,0.00038684+0.00037067i,-0.00058676-0.00097063i,-0.00116-0.0013431i,-0.00057983-0.000228i,-1.2354e-05-0.00016499i,-0.00078867-0.00088509i,-0.001113-0.0012673i,-0.00011413-0.00056126i,6.7311e-05+0.00046645i,-0.00023123+0.00014453i,-4.3735e-05+0.00022433i
0.00025792-0.00026284i,0.00020033-0.00043738i,0.00011426-0.00049157i,-0.00065448-0.00092975i,-0.0010492-0.00077194i,-0.00047452+0.00091554i,0.00011428+0.0010468i,0.00020774-0.00031304i,0.00017219-0.00060214i,0.00062004+8.8734e-06i,0.00051378+0.00045338i,-0.00013421+0.00020071i,0.0001736+0.00021396i,-0.00012785+0.00076863i,-0.00034769+0.00063602i,3.8405e-05-0.00036561i,0.00043007-0.00050499i,0.0010834-0.00041423i,0.00044716-0.00055162i,-0.00025578-0.00035745i,-0.00036374-0.00070797i,0.00027806-0.0010314i,0.00096245-0.00013822i
-0.00019174-0.0013969i,-0.001242-0.0021809i,-0.00075111-0.002119i,-0.0010418-0.0013131i,-0.0030394-0.00056846i,-0.0036397-0.00022843i,-0.0014066-0.00036297i,0.00040122-0.00056197i,0.00044112-0.00085424i,-4.1793e-05-0.00077784i,-0.00013719-0.00022773i,-0.00017853+0.0005527i,-6.7283e-05+0.0012953i,-0.00023562+0.00095588i,-0.00013033+0.00013487i,8.6944e-05+1.1873e-05i,0.00019028-0.00061976i,0.00031239-0.00087066i,1.2696e-05-0.00047288i,0.00022972+0.00063502i,0.0003556+0.0012601i,-0.00013684+0.00060852i,9.1041e-05+0.0006595i
-0.0020048-0.00087629i,-0.00056602+0.00022684i,-0.00043142+0.0018925i,-0.0006815+0.0020486i,-0.00034682+0.0017498i,-0.00027374+0.0011595i,-0.00026604+0.00081908i,0.00063202-0.00016803i,0.00030978-0.00099395i,-0.00086145-0.00021198i,-0.00093104+0.0011443i,0.00044762+0.0011699i,0.00075603-0.0005347i,0.00021706-0.0013935i,-0.00015114-7.132e-05i,-9.1163e-05+1.2417e-06i,0.00018828-0.0011399i,0.00019449-0.0014233i,0.00071673-1.1984e-05i,0.00094472+0.00091582i,0.00010902+0.0006805i,-2.6734e-05+0.00026761i,0.00035668+7.2501e-06i
0.0010844+0.0013496i,-0.00094595+0.00087632i,-0.0013165-0.00088057i,-0.0011057-0.0018546i,-0.0016198-0.0010613i,-0.0015009+0.00044675i,-0.00036331+0.00091703i,0.00047847-0.00035923i,9.6529e-05-0.00061575i,-0.00086576+0.00035002i,-0.00022996+0.00098484i,0.00032029+0.0013605i,-6.6579e-05+0.0010088i,0.00020783+0.00042258i,-0.00013281-0.00014104i,-0.00030165+0.00014751i,-3.5855e-05+9.6253e-05i,-0.00024625-0.00062884i,0.00012698+4.3593e-05i,-0.00024345+0.00052635i,-0.00036062+0.00062397i,-0.00016133+0.0009052i,-0.00056453+0.00031956i
0.00087658-0.00076803i,0.0012297-0.0012512i,0.00016465-0.0017331i,-0.00085419-0.0016891i,-0.0013447-0.00098375i,-0.0011063+0.0002576i,-0.0001963+0.00075328i,2.6992e-05-0.00041652i,-0.00060596-0.0014861i,-0.0015409-0.00063036i,-0.0016813+0.00040776i,-0.00074985+0.00011539i,-4.0379e-05+0.00049297i,-0.00060259+0.00091714i,-0.0014648+0.0002284i,-0.0010156+0.00033997i,-0.0010192+0.0005503i,-0.00080469-0.00015027i,9.0642e-05-0.00017648i,0.00046529+0.0008061i,-0.00012183+0.00032293i,1.1367e-05-0.00054068i,0.00038702+0.00025905i
-0.00049192+0.0026523i,7.4388e-06+0.0035654i,0.0018409+0.0039295i,0.0032283+0.002528i,0.0024512+0.0010802i,0.00074769+0.00043379i,0.00035563-4.3375e-05i,0.00068244-0.00083297i,-0.00094833-0.0013842i,-0.0012413-0.00093725i,-0.00047229-0.00015361i,-0.0002993-0.00069477i,-0.0001387-0.0011629i,-0.00068022+3.208e-05i,-0.00054816+0.00033448i,-2.4437e-05-0.0009926i,0.00020712-0.0014959i,-0.00034846-0.0014027i,-0.00040635-0.00089083i,0.00049104+0.00016762i,0.00090729+0.00053846i,0.00051651-7.1178e-05i,-7.5588e-05-0.00073192i
0.00030854+0.0021482i,0.00077697+0.00069319i,0.0016035+0.00044027i,0.0012471+0.00029672i,-0.00019506-0.00022727i,-0.0017875-0.00011141i,-0.0010111+0.00020501i,-1.2236e-06+0.0002574i,-0.00089394+0.00022803i,-0.0010786+0.00035271i,-0.00067115+0.00074494i,-0.00030889+0.00062004i,-0.00014306+0.00090435i,-0.00048749+0.0013872i,-0.00040583+0.00087495i,-1.6679e-05+0.00018806i,0.00068248-0.00032775i,0.00066262-0.0002357i,0.00026912-8.1589e-05i,0.00098072-4.1007e-05i,0.0011356-0.00032912i,0.00015107-0.00047783i,-0.00037829+4.9199e-06i
-0.00068544-0.00020682i,-0.00021781-0.00094056i,-0.001272-0.00058413i,-0.003034-0.00094007i,-0.0031979-0.0012018i,-0.0019626-0.00040739i,-0.0012925+0.00036723i,-0.00088221-0.00070189i,-0.00032895-0.00037396i,-0.00016529+0.00053423i,-3.8263e-05+0.00020926i,-0.00037457+0.00022255i,-0.00060504-0.00015066i,-0.00057244-0.00058724i,-0.00074777-3.2656e-05i,-0.00043144+8.3006e-05i,0.00077996-0.00054662i,0.00057372-0.00075252i,-2.3441e-05-0.00074683i,-5.382e-05-0.00022356i,-0.00053699+2.6892e-05i,-0.0011693-0.00041439i,-0.0010912-4.5439e-05i
0.0014999-0.0025948i,0.00093004-0.0017324i,0.00064561-0.0021861i,-0.0003575-0.0022558i,-0.0013214-0.0017906i,-0.00096839-0.00024672i,0.0011712+0.0013017i,0.0023731+0.00069793i,0.00072825-0.00028419i,-0.00063478+3.8299e-05i,-0.00034422+0.00079654i,0.00012274+0.00080735i,-4.4296e-05+0.00073711i,0.00025128+0.0011928i,0.00055722+0.0010399i,0.00021591+0.00061927i,-0.00042365+0.00061357i,-0.00086078+0.00012088i,-0.00038809-0.00055974i,-0.00055058-3.3235e-05i,-0.0004604-9.4298e-05i,0.00045893-0.00013857i,0.00024641+0.00023829i
0.00051672+0.002099i,0.00047638+0.0034505i,0.0020211+0.0025808i,0.0029237+0.0010504i,0.0017821+0.0007921i,-0.00014711+0.00064033i,0.0001401+0.00012319i,0.00096581-0.0011897i,0.0004586-0.0011885i,0.00020703-0.00061964i,-1.0299e-07-0.00031351i,5.8627e-06-0.00027369i,4.1833e-05+0.00013343i,-0.00048463+0.00052871i,-0.00060877+0.00034996i,0.00023444+0.00013816i,-0.00027953+0.00016081i,-0.00083791-0.00046518i,-4.3382e-06-0.0015183i,2.6933e-05-0.00096833i,-0.00019785+0.00059926i,9.6063e-05+0.00092235i,0.00086891+0.00063994i
