-0.0018932+0.0010035i,-0.0018059+0.0014779i,-0.0032185+0.00027198i,-0.0025628-0.0010888i,-0.0012814-0.0009513i,-0.00058345+0.00016555i,-0.0005625+0.0001211i,-0.00020485-7.3402e-05i,0.00094547+0.0005002i,0.0016579+0.00069403i,0.00094941+0.00039539i,0.00038233+0.0010407i,0.00084582+0.001705i,0.0010887+0.0013998i,0.00048675+0.00086592i,-0.00018469+0.00049179i,-0.00024514+0.00044718i,0.00028293+0.00028323i,5.549e-05-0.00036137i,-0.00022773-0.0003511i,0.00016138-0.00034122i,0.00017007-0.00050824i,0.0005371-4.9759e-05i
0.000127+0.00098579i,0.00047527+0.0013699i,0.00064469+0.0017546i,0.00053007+0.00035413i,0.00053936-0.0013138i,-1.4172e-05-0.0019501i,-0.0016438-0.0016231i,-0.0016023-0.0011614i,0.00055374-0.00078994i,0.0011591-5.4125e-05i,0.00029293+0.0010757i,-0.00019258+0.001632i,0.00030889+0.00086232i,0.001445+0.00032101i,0.0011799-6.7882e-06i,0.00053493-0.00071068i,0.00049515-0.0010967i,-0.00042513-0.00063399i,-0.0012544-0.00040777i,-0.00089173-0.00022327i,-3.589e-05+0.00054473i,0.00073808+0.00099532i,0.00072861+0.00099239i
-0.00015309+8.6302e-05i,-0.00028687+0.00075378i,0.00029164+0.001463i,0.00046429+0.0011107i,0.00058087+0.00064756i,4.0196e-05+0.00080815i,-0.00048981+0.00017879i,-0.00089947-8.1103e-05i,-0.00084388-0.00026325i,0.00023885-0.00070114i,0.00094724+9.1826e-06i,0.0011169+0.001215i,0.0011158+0.0012286i,0.0007332+0.00046649i,0.00044988+0.00010135i,0.00031173+0.00010864i,-3.5115e-05+0.00016206i,-0.00049032-0.00033393i,-0.0002801-0.00049721i,0.00049135-3.4795e-05i,0.0005232+0.00053232i,7.963e-05+0.0010215i,7.9996e-05+0.0010467i
0.00010992+0.00041298i,9.9037e-05+0.0005379i,0.0004898+0.00088708i,4.3937e-05+0.00014264i,-0.00077447-0.0010561i,-0.0011478-0.0016353i,-0.0011001-0.0013244i,-0.00083637-7.2056e-05i,-0.00050001-9.229e-05i,-0.00024138-0.00057414i,0.00033691+0.00023179i,0.00074249+0.00084986i,0.00017031+0.00073942i,-0.00019904+0.00031774i,0.00021861+0.00027181i,0.00050786+0.00040211i,-0.00013546-4.238e-06i,-0.00072019-0.0004758i,-0.0002219-0.00028028i,0.00052535-3.565e-05i,0.00092711+0.00010873i,0.00069677+0.00041604i,-0.00012305+0.00047917i
-0.0033016-2.942e-05i,-0.0015789-0.00061213i,-0.0014021+0.00051467i,-0.0021505+0.00093672i,-0.00099776-0.00028824i,0.00092469-0.0010054i,0.00066951-0.001079i,-0.00013082-0.00022466i,0.00027165+0.00054812i,0.00066057+0.0004654i,0.00076292+0.0011628i,0.00087826+0.0021726i,0.0012072+0.0022477i,0.001172+0.0023268i,0.00051229+0.0019645i,0.00025581+0.0002423i,0.00033349-0.00062936i,0.00012037-0.0008941i,-0.00039573-0.00091794i,-0.00057165-6.2616e-05i,-7.3582e-05+0.00056665i,0.0003751+0.00066624i,0.00056144+0.00068824i
0.0028181+0.00021038i,0.0024371+0.00048005i,0.0011167-0.00087898i,0.00014562-0.0010545i,-0.00032149-0.00089968i,-0.00058768-0.0010848i,-0.0010653-0.00044931i,-0.0010765+4.1836e-05i,0.00010678+0.00060097i,0.00054062+0.00057943i,0.00038149-5.6298e-05i,0.0010647+0.00027932i,0.0023148+0.001119i,0.0015287+0.000866i,0.00038827-0.00034412i,0.00036436-0.00086545i,-0.00013271-0.00070997i,0.00020385-0.00026521i,0.00060778-0.00017201i,0.00015795-0.00061122i,-0.0001416-0.0014927i,-1.2173e-06-0.0018647i,0.00021548-0.001031i
-0.0026176-0.0016731i,-0.0035025-0.0010187i,-0.0044394-0.00031562i,-0.0038039+0.00057341i,-0.0031634+0.000691i,-0.0018445-0.00010914i,-0.0014815-0.0013354i,-0.0012015-0.0014705i,-0.0002468-0.00048562i,0.00024321+0.00012985i,-0.00023015+0.00020778i,-0.00039545+0.00044982i,0.00090935+0.0011031i,0.0013451+0.0012027i,0.00076445+0.00069857i,0.0009664+8.9365e-05i,0.00068856-0.00026937i,5.5495e-06-0.00061965i,0.00012804-0.00032043i,0.00021027+0.00037376i,0.00055624+0.0004582i,0.00015605+0.00024908i,-0.0004994+0.00010185i
0.00066346-0.0016428i,0.00043853-0.0015152i,0.00043755-0.0017206i,-6.1675e-05-0.001228i,-0.00038478-0.00063351i,-0.00084742-0.0010553i,-0.0015999-0.00088218i,-0.00056688-0.00038615i,0.00047175-0.00044023i,0.00010324-0.00027742i,-0.00028135+1.2817e-05i,-0.0003252+0.00064842i,6.1667e-05+0.00067633i,0.000415+0.0006288i,0.00078615+0.00013847i,0.00078278-0.00039637i,2.2531e-05-1.3392e-05i,-0.00063978+5.2729e-05i,-3.0283e-05+5.8478e-05i,0.00025521-0.00027443i,3.0466e-06-0.00015143i,-0.00024936-0.00069415i,-0.0003529-0.00082543i
-0.00066296-0.00089745i,-0.0011745+0.0004613i,-0.00058872+9.0197e-05i,5.4272e-05-0.00094735i,-0.00043052-0.00029284i,-0.0013209-0.00019752i,-0.00061783-0.0013635i,0.00037542-0.0014569i,0.00028118-0.00059364i,-0.0002451+7.8356e-06i,-0.0010307+0.00010734i,-0.0012063+0.00044194i,-0.00053295+0.00051811i,-0.00013604-1.3358e-05i,0.00010802-0.00025374i,0.00038927+0.00056667i,0.00072499+0.0010744i,0.0011658+0.00044074i,0.00090378-0.0004694i,0.00013279-0.00017143i,0.00011695+0.00032344i,0.00056557+2.23e-07i,-0.00022566-0.00031752i
0.00031897-0.00076414i,0.0012945-0.00043785i,0.0011644+8.7724e-05i,-0.00047046-0.0006124i,-0.0016614-0.0015938i,-0.0016355-0.0013658i,-0.0011609-0.0008125i,-0.00013012-0.00075212i,0.00092146-0.00049382i,0.001486+2.4662e-05i,0.00099182+0.00047797i,0.0008442+0.0011445i,0.00078302+0.00079058i,-0.0002839+0.00032927i,-0.00037692+0.00026422i,-0.00027973-5.616e-06i,-0.00024129-0.00045992i,-0.00011768-0.00055477i,-0.00052852+0.00041161i,-0.00050358+0.00053861i,1.3563e-05-2.3317e-05i,0.00033127+0.00013463i,0.00013813+0.00026053i
-0.0013086+0.00093253i,-0.0022644+0.0020701i,-0.0021188+0.0028285i,-0.00097535+0.0026315i,0.00021378+0.00095782i,0.00050929-0.0006651i,-0.00015152-0.0013412i,-2.848e-05-0.00040385i,0.00042357+0.00096346i,0.00035796+0.0010234i,-0.00011507+0.0011828i,-0.00032144+0.0014918i,5.1992e-05+0.0015393i,-5.6622e-05+0.001269i,-9.0624e-05+0.000224i,-9.81e-05-0.0002372i,-3.3931e-05-0.00035845i,0.00025089-0.00010562i,0.00032203-9.4219e-05i,3.0269e-05-0.00039672i,-0.00034654-0.0003333i,-0.00055884+0.00018785i,-0.00013059+0.00031119i
-0.0014361-0.00024191i,-0.00076366-0.00049462i,-0.00035716-0.0014987i,0.00014222-0.0019541i,0.00051729-0.0012656i,0.00093292-0.00072295i,0.00064745-0.00081455i,0.0005076-0.00060754i,0.0010517-0.00010073i,0.0011655+0.00026201i,0.00081777+0.00069343i,0.00053401+0.0012176i,0.00059219+0.0013732i,0.00046138+0.0012816i,0.00013658+0.0014919i,3.4209e-05+0.00010205i,-0.00023283-0.0013586i,0.00026976-0.0016252i,0.00090543-0.001303i,0.00062422-0.00058008i,0.00032377-0.00015426i,0.00070564+0.0004065i,0.00036091+0.000821i
-0.0010181+0.00081993i,-0.0018661+0.00022279i,-0.002212+0.00022365i,-0.0016486-0.00045597i,-0.0013461-0.00074597i,-0.001476-0.00080925i,-0.0018798-0.0013903i,-0.001462-0.0015935i,8.6586e-05-0.00084307i,0.0011054+0.00016202i,0.00052015+0.0012648i,8.6434e-05+0.0022362i,-0.00028411+0.0021327i,-0.00076345+0.00048292i,-0.00072082-0.00060944i,-0.00066018-3.1694e-05i,-0.00056476+0.00076754i,-0.000278-0.0002472i,3.4161e-05-0.0011133i,-0.00015136-0.00065788i,-0.00014719-0.00046153i,-0.00032845-0.00059459i,-0.0006297-0.00046159i
-0.0024848-0.00044089i,-0.0023627+0.00087028i,-0.0016694+0.0015035i,-0.00023995+0.0017912i,0.00098868+0.0015408i,0.0014467+0.00049444i,0.00035485-0.00071144i,-0.00029399-0.00028865i,-0.00014544+0.0011269i,-0.0003415+0.0010829i,-0.00018089+0.00096945i,-0.00017645+0.0015789i,-0.00019893+0.0019034i,0.00015017+0.0015225i,0.00050423+0.00027236i,0.00086786-0.00040014i,0.00094988-0.00045769i,0.0005234-0.00061671i,3.9728e-05-0.00077909i,-0.0001168-0.00019735i,0.00035057+0.00042202i,0.00081053+0.00018357i,0.0006124-0.00034787i
0.00035628-0.0011141i,0.00089234-0.0010944i,0.00019204-4.1408e-06i,-0.00020669+0.00016097i,-0.00012711-0.00079443i,-5.22e-05-0.0013238i,-6.8511e-05-0.0013019i,-0.00014561-0.0010117i,0.00046226-3.1398e-05i,0.00020161+0.00094716i,-0.00051082+0.0011725i,0.00015048+0.00081638i,0.00063095+0.0011236i,0.00048023+0.0010921i,3.1835e-05-0.00010032i,-9.9508e-05-0.00028194i,-0.00030006-0.00034464i,2.9099e-06-0.001075i,0.00040644-0.00094257i,3.1127e-05+8.8175e-05i,-9.6135e-05+0.00087959i,0.00013178+0.00048559i,-0.00020322+1.3313e-05i
0.0015591-0.0012316i,0.002759-0.00058624i,0.002765+6.0227e-05i,0.0015639+0.0003714i,-0.00056577-0.0002849i,-0.0013456-0.0009807i,-0.00031868-0.0010073i,-4.4397e-05-0.0011021i,-0.00065241-0.00041135i,-0.00069403+1.0011e-05i,-0.00060552+0.00010969i,-0.00062195-4.5963e-05i,-0.00038656-0.00059967i,0.00071415-0.00070142i,0.0011849-0.0001878i,0.00052463+0.00046088i,0.00069802-0.0001471i,0.00068865-0.00078842i,0.00047067-0.00068084i,0.00043892-0.00038857i,7.6818e-05+4.6574e-05i,-0.00042917+0.00015287i,-0.00032207-5.5874e-05i
-0.00084147-0.0010393i,-0.00071498-0.0007121i,-0.0015086-0.001587i,-0.0015479-0.0017216i,-0.0013445-0.0013912i,-0.00082595-0.00097168i,-0.00054827-8.0938e-05i,-0.00017996+0.00016107i,0.0013367-0.00023689i,0.0016117+0.00027061i,0.00057884+0.00088485i,0.00040127+0.00087669i,0.00065179+0.0013008i,0.00024849+0.0016722i,4.0122e-05+0.001378i,-0.00042097+0.00075841i,-0.00038987-7.6785e-05i,-0.00018941-0.00082567i,-0.00016149-0.00088053i,3.9402e-05+9.1494e-06i,-1.9534e-07+0.00054572i,0.00053941-0.00017359i,0.00029422-0.00017284i
0.00094549-9.1206e-05i,0.0016439+0.00055524i,0.0016211-0.00046241i,0.0011969-0.001062i,0.00043926-0.0007884i,-0.00017857-0.00099024i,-0.00048334-0.0010556i,-0.00028169-0.0001873i,0.00031883+5.0087e-05i,0.00059016-0.00019096i,0.00099075+0.0001747i,0.0015216+0.00088249i,0.001277+0.00085037i,0.00081975+0.00073566i,0.00038812+0.0011639i,0.00021435+0.001532i,0.00026211+0.00024632i,0.00032171-0.00099022i,0.0001685-0.00041272i,6.1783e-05-9.0935e-05i,0.00021581-0.00067621i,0.00050411-0.001409i,0.00079079-0.0010109i
0.000983-0.0014927i,-0.00022778-0.00095671i,-0.00052328-0.00135i,-0.00039201-0.00088739i,0.00013122-0.00051537i,0.00076551-0.0012435i,0.0011857-0.0018347i,0.0014923-0.0010099i,0.0014494+0.00048682i,0.00045298+0.00066966i,-0.00029092+0.001064i,-0.0005384+0.0016105i,9.6915e-06+0.0010629i,0.00071983-1.7847e-05i,0.00049207-0.00037045i,0.00027312-0.0004513i,-1.423e-05-0.00049003i,-0.00028169-0.0003478i,-4.9527e-05-0.00020634i,-0.00011074-0.00044596i,-0.00044695-0.0009802i,-0.00073436-0.00099602i,-0.00064026-0.00071942i
0.0013265+0.00013784i,0.0013272-3.9348e-05i,0.0013392+9.9765e-06i,0.00074116+4.9791e-05i,-0.00019713+7.7789e-05i,-0.00012466-0.00028249i,-0.00058164-0.00060955i,-0.00087666+8.2821e-05i,-0.00013792+0.00044091i,0.00044683-0.00024489i,0.00042656+0.00048051i,8.3684e-05+0.0013251i,-2.9147e-05+0.00093538i,0.00043516+0.00084893i,0.00057066+0.00035544i,0.00081106+4.8646e-05i,0.00097846+0.00053846i,0.00076915-8.2397e-05i,-9.8131e-05-0.00034705i,-0.00039376+0.00019672i,-9.7398e-05+0.00011459i,6.857e-05-0.00030474i,-0.00016098-0.00022777i
0.0001729-0.0020198i,-0.001613-0.0016237i,-0.0022962-0.0024952i,-0.0017476-0.0023536i,-0.001214-0.0011988i,-0.0010255-0.00077278i,-0.00086244-0.00093731i,-0.0003985-0.0011594i,0.00077825-0.00062606i,0.0012487+0.00022136i,0.0010205+4.6657e-05i,0.0010137+1.6905e-05i,0.0006828+0.00076052i,0.00038436+0.00084809i,0.00038201-0.00021162i,9.2028e-05-0.0005748i,-0.00043078-3.7423e-05i,0.0001347-0.00041794i,9.3399e-05-0.00094916i,-0.00054378-0.00022632i,-0.0011675+0.00022843i,-0.0010231-7.9677e-05i,-0.0002433+0.00017029i
-0.00036731-0.00059624i,-0.00095073-0.0004149i,-0.0020394+0.00020727i,-0.0013933+0.00025747i,-5.7828e-05-7.6938e-05i,-0.00010764-0.00067315i,-0.00050254-0.00067803i,-0.0005712-8.89e-06i,-0.00054068+0.00041392i,-0.00013191+0.0010047i,0.0002767+0.001195i,0.00022073+0.0011631i,0.00066494+0.001592i,0.00099016+0.0015654i,0.00037805+0.0012298i,3.9794e-05+0.00024986i,-0.00052675-0.00024941i,-0.00052613-5.2764e-05i,0.00078695+5.8336e-05i,0.0011362+0.00044354i,0.0010585+0.00063934i,0.00092271+0.00093663i,0.0004052+0.00095504i
-0.0013091-0.0022422i,-0.0013807-0.0029098i,-0.00094724-0.0031984i,-0.001185-0.0021352i,-0.0017495-0.0014695i,-0.0010511-0.001252i,-0.00014986-0.0014337i,-0.00028111-0.0010549i,-0.00040767+0.00036402i,-0.00036831+0.0012261i,-6.6864e-05+0.0013944i,-0.00029713+0.0014007i,-4.612e-05+0.00066088i,0.00052385+0.00055309i,-8.2077e-05+0.00097667i,-0.00043388+2.1438e-05i,-0.00023069-0.00099874i,-8.1106e-05-0.00088719i,0.00015611-0.00061446i,0.00054366-0.00048467i,0.00091102-0.00059238i,0.0009221-0.00050603i,0.00077304-8.0196e-05i
0.0032282-0.0013053i,0.0032435-0.0015137i,0.0038792-0.0015584i,0.0030267-0.00139i,0.0012898-0.00081531i,0.00016113-0.00034447i,0.00017005-0.00023333i,0.00059207-0.00026312i,0.00060381-0.00045403i,-0.00021472-0.00040906i,-0.0005188-0.00045548i,-0.00048428+0.00020367i,-0.0001155+0.00086971i,0.00054587+0.00032788i,0.0010622-0.000409i,0.00025486-0.001076i,-0.00025924-0.0012303i,0.00034442-0.00074521i,0.00014844-0.00081438i,0.00012201-0.00043794i,0.00039771+0.00077919i,0.00046787+0.0004645i,0.00072789+0.00049272i
-0.00085201-0.0012096i,-0.00088209-0.0015647i,-0.0014698-0.0013286i,-0.0013898-0.00047482i,-0.00061633-0.00012088i,-0.00018462-0.00053952i,-3.5208e-05-0.0014465i,-0.00078034-0.0016708i,-0.00062918-0.00029049i,-0.00035783+0.00063014i,-0.0009422+0.00029466i,-0.00051122+0.00029906i,0.00021065+0.001002i,0.00051392+0.0012076i,-0.00010516+0.00059609i,-0.0014052+0.00051969i,-0.0012191+0.00062097i,-0.00023927+0.00043033i,0.00013297+0.00061088i,0.00065391+0.00018591i,0.0012219-0.00054918i,0.0009065-0.00056623i,4.9262e-05-0.00055599i
0.00019668-0.00024712i,-0.00094754-1.9538e-05i,-0.0025236+0.00035608i,-0.0019858+0.00044555i,-0.00057106-2.6726e-05i,0.00018513-0.00086474i,0.00047244-0.0010805i,0.00019928-9.4233e-05i,7.1799e-05+0.00081528i,0.0006178+0.00078966i,0.00031796+0.0009299i,-0.00051882+0.0013603i,-0.00010675+0.0010974i,0.00033025+0.00059629i,0.00026755+0.0003051i,0.00036655-0.00021164i,-2.8533e-05-0.00024436i,5.1098e-05+0.00011142i,0.00092159-2.1722e-05i,0.0013702+0.00015008i,0.0011559-0.00047279i,0.00039389-0.00045127i,0.00033077+0.00047061i
0.0017667+0.0024636i,0.0017531+0.0019835i,0.0022424+0.0018725i,0.00071556+0.00089593i,-0.0004349-0.0011318i,-0.00026471-0.0022981i,-0.00044191-0.0021112i,-0.00061025-0.00072143i,-0.00089247+0.0002567i,-7.8119e-05-0.00025088i,0.00084998-8.594e-05i,0.0012803+0.00082986i,0.0022324+0.00089079i,0.0023933+0.00095274i,0.0013087+0.00049686i,7.3589e-05-0.00026874i,-0.00025784-0.00074583i,0.00052716-0.00083366i,0.0010631-0.00074819i,0.00091649-0.0001706i,0.00081981+0.00023334i,0.00050905-2.5082e-05i,0.00012778+0.00030013i
0.00010977-0.000322i,0.0012358-0.0010449i,0.0014008-0.00022856i,0.00064718+0.00085969i,0.0005932+0.00061805i,5.8235e-05-0.00064717i,-0.00099492-0.00055463i,-0.00093516+0.00048207i,0.00028874+0.0011569i,0.00058795+0.0013997i,0.00018678+0.00097196i,-2.6393e-05+0.0012491i,0.00018715+0.0020893i,0.00047723+0.00090754i,0.00031684-0.00077716i,0.0001186-0.0006608i,0.00010561-0.00025459i,0.00034869-0.00023507i,-0.00038496+3.3202e-06i,-0.00090944+0.00032209i,-0.00027708-6.3903e-05i,-0.00068349+6.1139e-05i,-0.0014825-7.8608e-05i
0.0018934+0.0002992i,0.0017182-0.00021631i,0.0022122-0.0009495i,0.0017738-0.00041364i,0.00062348-0.00065871i,0.00044455-0.0013933i,1.9953e-05-0.0016991i,-0.00035071-0.0013005i,0.00027675-0.00048325i,0.0011821+0.00018212i,0.00072663+0.00078795i,0.00013985+0.00051874i,0.00071436+0.00029063i,0.00085364+6.298e-05i,-0.0003607-0.00054834i,-0.0012179-0.00075345i,-0.00076401+0.00015676i,-0.00016054+0.0003966i,-1.2969e-05-0.00013811i,0.00052205-0.00037372i,0.00060568-0.00024308i,0.00022028+1.1467e-05i,0.00022898-0.00030991i
-0.00040216-0.00054172i,-0.0016452-0.00040016i,-0.0015417-0.00052603i,-0.00086677+2.8311e-05i,-0.00094371+0.00064271i,-0.00055655+0.00012443i,-5.0295e-05-0.00063163i,-0.00029415-0.00040255i,-0.00029887+0.00029937i,0.00025553+0.0015475i,-0.0001003+0.0012154i,-0.00055243+0.00085712i,-0.00072706+0.00086671i,-0.00065663-1.944e-05i,-0.0010499-0.00041125i,-0.00052227-0.00074239i,0.00085786-0.0012091i,0.0016225-0.0010625i,0.0013216-0.00052028i,0.0009032-7.5286e-05i,0.0007886+0.0001196i,0.00029948-0.00030261i,-0.00010787-0.00025606i
-0.00018017+0.0001936i,0.0010686+0.00039261i,0.002113+0.00085679i,0.0020755-5.9943e-05i,0.0014829-0.00092692i,-0.0001086-0.0012469i,-0.00094264-0.0010334i,-0.000349-0.00053628i,0.00045961+0.00023176i,0.00063396+0.0014854i,0.00050869+0.0015145i,-0.00010718+0.0011261i,-0.00066867+0.0011414i,0.00025338+0.00075255i,0.00076124+0.00023005i,0.0006468+4.5499e-05i,0.00042954-0.00015414i,-0.00024376-0.00052575i,-0.00045225-0.00053032i,0.00013965+0.00021784i,0.00033119+0.0013084i,0.00066631+0.0018919i,0.00062073+0.0012678i
-0.0013076-0.0015873i,-0.001625-0.0013364i,-0.0023661-0.00076779i,-0.0023952-0.00021582i,-0.0020112+0.0001373i,-0.0015672-0.00036121i,-0.00082321-0.0010975i,-9.5614e-05-0.00099958i,-0.00019252-0.00074752i,-0.00025204-5.3673e-05i,-0.00045308+0.0010941i,-0.00026517+0.0014951i,0.00075484+0.00061766i,0.0010332-0.00013111i,0.0010053-0.00057782i,0.00082327-0.00043999i,0.0004141-0.00020354i,0.00052166-0.001517i,0.00054359-0.0020246i,0.00026015-0.00025853i,-7.1817e-05+0.00076064i,-0.00038563+0.00063877i,-0.00023536+0.00017514i
0.0016717-0.0015572i,0.0019791-0.001594i,0.0033101-0.0026105i,0.0022306-0.002983i,0.00040682-0.0026154i,-0.00032494-0.0018206i,-0.0014873-0.00088412i,-0.0013245-0.00044303i,9.9831e-05+0.00011788i,0.00064329-0.00022553i,-0.00041256-0.00055902i,-0.0013486+7.0036e-05i,-0.0008415+0.00050535i,-0.0001607+0.00083295i,-0.00022453+0.00035486i,-0.00014631-0.00024499i,8.8555e-05-0.00024863i,-3.7841e-05+4.3676e-05i,-0.00038091-0.00012259i,-4.8471e-05-0.00068482i,0.00084269-0.000809i,0.00068923-0.00054782i,0.00011271-0.00045488i
