-4.012e-05+0.0018954i,0.001255+0.0018639i,0.00017293-0.00022654i,-0.00066514-0.0010898i,-0.0015966+0.00046097i,-0.0027912+0.00027645i,-0.0015745-0.00012202i,-3.3283e-05+0.00063103i,0.00039331+0.00040505i,0.00046143-0.00021144i,0.00055893-0.00031493i,0.00038114+0.00030913i,-4.4773e-05+0.00050049i,-0.00072651+0.0002724i,-0.0014128-1.3444e-05i,-0.00024508+0.00012139i,0.00037415+0.00073807i,-0.00063403+0.00046494i,-0.00073311-0.00076688i,0.00014501-0.0006368i,0.00065157+0.00020757i,0.00014147+0.00016922i,-0.00053537+2.3124e-05i
-0.00037358+0.00021817i,4.3147e-05-0.00040295i,-0.0010401-0.00091396i,-0.0011213-0.00045077i,-0.00079554+0.0004487i,-0.00079524+0.00044286i,-0.00028767+0.00025131i,0.00011109+0.00051085i,0.0005503+0.0011555i,0.001045+0.0010668i,0.0014873+0.00065796i,0.001627+6.6559e-05i,0.00025561-0.00032817i,-0.00033157-0.00025863i,-0.00028617+0.00062233i,-0.00049992+0.001163i,-0.00027057+0.00032574i,-0.00053736-0.00075856i,-6.8725e-05-0.00052024i,0.00073084-0.00034824i,0.0003673-0.00012381i,-0.00092994-0.00014419i,-0.0014452+2.0595e-06i
0.00089768+0.00013291i,0.0018599-0.00081633i,0.0019704-0.00072483i,0.00060187-0.00060487i,-0.00010601-0.00063572i,-0.00050414-0.00017819i,-0.00099506-0.00045523i,0.0001079+5.3257e-05i,0.00084801+0.00094852i,0.00034941+0.00090138i,0.00030067+0.00072514i,-2.3908e-05+0.00057312i,-0.0009257-0.00054167i,-0.0009505-0.00069208i,-0.00072233+0.00015605i,-0.00012131+0.00052499i,0.00088361+0.00053434i,0.0011508+0.00059654i,0.0010945+0.00054114i,0.00051477+0.00022516i,0.00011775+0.00024008i,-0.000279+0.00044399i,-0.00053952+0.00021915i
-0.00029723+0.00049762i,-0.00016822+0.0012408i,-0.00015909+0.0014829i,-0.00073627+0.00074198i,-0.001422+5.4842e-05i,-0.0010993-0.00033654i,-0.00044947-0.0010241i,0.00015685-0.00063985i,0.00031859-8.3457e-06i,9.3831e-05+0.0004665i,0.00027109+0.0012179i,0.00020446+0.0010537i,-0.00011101+0.00023651i,0.00018982-0.0002212i,0.00043658+0.00030056i,0.00016117+0.00066218i,0.00017747+0.00024094i,4.899e-05+0.00043549i,-0.00057426+0.00054016i,0.00025997+0.0001457i,0.0007773+0.00039132i,-0.00030636+0.00056684i,-0.00078777+0.00054597i
0.00014433+0.0024997i,0.00054899+0.0027165i,0.0013701+0.0014282i,0.0010904+0.00027668i,0.00039234-0.0010896i,-5.1378e-05-0.0017988i,-0.00043195-0.00096716i,-0.00014412-0.00050345i,0.00072493-0.00018868i,0.0011821+0.00088131i,0.00071913+0.0015199i,0.00058759+0.00075383i,-0.00030528-1.9983e-05i,-0.0012611-0.00037142i,-0.00013262-0.00038807i,0.0003992+0.0002068i,4.1407e-06+0.0011772i,-0.0001225+0.0015612i,-0.00012486+0.00090651i,0.00042733-2.0643e-05i,0.000389+0.00013589i,-0.00016795+0.00067461i,-3.8673e-05+0.00076994i
0.00066831+1.7506e-06i,0.0010331+0.00026654i,0.00068263+0.00050052i,0.00037401-0.0001986i,-0.00017198+4.4754e-05i,-0.0010219-0.00010901i,-0.00099258-0.00040936i,3.7489e-05+3.9904e-05i,8.2971e-05+0.00059417i,-0.00040116+0.0013296i,-0.00046531+0.0013166i,-0.00059194+0.0010752i,-0.001285+0.00091344i,-0.0010461+0.00019622i,-6.3966e-05-0.00043481i,0.00057497+0.00042527i,0.00020628+0.00098212i,-0.00046552+0.00016054i,-0.00032304-0.00039463i,-0.00021189+6.9976e-05i,0.0002896+0.00043632i,0.00043114-2.6153e-06i,-0.0001597-0.00029772i
-0.0006078-0.0006503i,-4.0169e-05+0.00029238i,8.9567e-05+0.00073184i,0.00051255+0.0011313i,-0.0001747+0.0010051i,-0.0010853-0.00074927i,-0.00081501-0.001702i,-0.00017614-0.00091778i,0.00027567+0.000252i,0.00012395+0.00096458i,5.2847e-05+0.00044239i,-0.00024143-0.00014216i,5.0644e-05+0.0001861i,0.0003495+0.0002433i,0.00011648+0.00071666i,-0.00035547+0.0012174i,-0.00057738+0.00082775i,-8.7637e-05+0.00055855i,4.6023e-05+0.00035882i,-0.00019025-0.00041016i,-9.0485e-05-0.00091148i,-0.00020753-0.00101i,-0.00024355-0.0011353i
0.00015674+0.0017388i,0.00065609+0.0017107i,0.0013243+0.001176i,0.00091138-9.3353e-05i,5.9888e-05-0.001093i,-0.00088358-0.0015788i,-0.001104-0.0013324i,-0.00053838+2.6978e-05i,0.00015594+0.00056664i,0.00026049+2.7026e-05i,0.00036525-0.00026973i,0.0006635+0.00013228i,0.00025637+0.00042611i,-0.0002061-7.611e-05i,-4.5325e-05+0.00027001i,-0.00012228+0.00040285i,0.00066359-0.00072264i,0.0011971-0.0010058i,0.00093155-0.00062723i,0.0013195-0.00048572i,0.00081158-0.00017841i,-0.00062488+6.889e-06i,-0.00089061+0.00023771i
0.00047117+0.0018167i,0.0012436+0.0022235i,0.0013143+0.0027242i,0.0014041+0.0018225i,-0.00021322+0.00043013i,-0.0013454-0.0011844i,-0.00084977-0.001457i,2.4859e-05+0.00011502i,0.00062665-2.982e-05i,0.00035538-0.00025283i,0.00011369+0.001042i,-0.00012187+0.001181i,-0.00053468+0.0009127i,-0.00075587+0.00092108i,-0.00082452+0.00070325i,-0.00059641+0.00084657i,-0.00059652+0.00085866i,-0.0001195+0.00065065i,0.0004848+0.00037213i,0.00066022-0.000183i,0.00077881-0.00072139i,-2.3648e-05-0.0008096i,-0.00068135-0.00011989i
0.00010388+0.0017313i,-0.00019241+0.0015078i,-0.00030769+0.00015178i,-0.00038311-0.0014268i,-0.0010954-0.0020162i,-0.0023776-0.0012105i,-0.0023391-0.00096073i,-0.00091685-0.00062645i,0.00049002+0.0003102i,0.00085096+0.00016369i,0.00056167+0.0001888i,-0.00017744+0.00073417i,-0.0005451+0.0011578i,-0.00030193+0.0013784i,8.808e-05+0.00063491i,-5.0227e-05+0.00016832i,-0.00066578+0.00057438i,-0.00042413+0.0011032i,-0.00020164+0.0014012i,-0.0007696+0.00054168i,-0.00070346+0.00016573i,-2.4116e-05-5.3356e-05i,1.0566e-05-0.0004685i
0.00088545+0.0018297i,0.0022152+0.001292i,0.0034358-7.2506e-05i,0.0017981-0.0011772i,0.00013488-0.0021825i,-0.0005621-0.0027624i,-0.00098395-0.0017038i,-6.8847e-05+0.00090714i,0.0010001+0.001963i,0.0012866+0.001398i,0.00040919+0.00082797i,-0.0013006-6.7793e-06i,-0.0016486-3.9541e-05i,-0.0010155+2.2678e-05i,-0.00077809+0.00077391i,-0.00044006+0.0011746i,-0.00029393+0.00034822i,4.1271e-05-0.0003307i,0.00052794-0.00042571i,0.00047486-0.00056768i,0.0009461-0.00096111i,0.0010727-0.00051997i,0.00093896+0.00030634i
0.00033558+0.0010848i,0.00044145+0.001728i,-0.00013308+0.0011672i,-0.00054857+0.00072319i,-0.0015492+0.00074006i,-0.0022299-0.00015302i,-0.00098896-0.0010918i,5.6153e-05-0.00054862i,6.1267e-05+0.00010684i,0.00011884+0.00014536i,0.0005501-0.00051444i,-0.00020291-0.00047122i,-0.00029449+0.00038157i,0.00033644-0.00018842i,9.367e-05-0.00021753i,-8.6287e-06+0.00074519i,3.2381e-05+0.0012222i,-0.00018797+0.0011753i,-9.09e-05+0.00033244i,0.0002718-0.00024869i,0.00023767-0.0008684i,0.00016219-0.00098581i,-0.00075472-0.00072951i
-0.00043005+0.00057843i,8.2555e-05+0.00085435i,-4.9036e-05+0.00059854i,2.5668e-05-0.00020859i,-0.00029608-0.00054862i,-0.0015453-0.00056282i,-0.001509-0.0010651i,0.00018379-0.0014142i,0.001104-0.00079487i,0.00052935-0.00013422i,-0.00061229+0.00037445i,-0.00082616+0.0006499i,-0.00027749+0.00044281i,-0.00043833+0.00012724i,-0.0011151+0.0011348i,-0.0005217+0.0018073i,0.0001609+0.0010812i,2.6179e-05+0.00076229i,0.00031477+0.00085232i,0.00061724-6.5074e-05i,-6.1182e-05-0.00054818i,-0.00086839-5.5975e-05i,-0.00032951+0.00065374i
0.0010554+0.0018281i,0.0010476+0.0017552i,-0.00011302+0.0010051i,-0.0011798-3.8716e-05i,-0.0013405-0.00049682i,-0.00085929-0.00051524i,-0.00041739-0.00015523i,0.000304-0.00010716i,0.0012762+3.712e-05i,0.0014354+0.00011005i,0.00068592+0.0002067i,-0.00043431+0.0003011i,-0.00045003+0.00036193i,0.00039321+0.00056365i,0.00080798+0.00028633i,-0.00015091-7.6662e-05i,-0.00081103+5.6839e-05i,-0.0003199-0.00021938i,0.00016523-0.0006664i,0.00023816-0.00018027i,-5.342e-05+0.00029139i,-6.0117e-05+0.00042384i,-0.00059884+0.00037072i
-0.00071699+0.0016547i,0.00025874+0.0017504i,0.0014456+0.0016684i,0.00094553+0.0002877i,-0.0016953-0.0010159i,-0.0036616-0.0017737i,-0.0022574-0.0012448i,-0.000379-5.31e-06i,0.00047904+0.00056294i,0.00064838+0.00068998i,0.0009044+0.00044185i,0.00048203+0.0014541i,-0.0010735+0.0017281i,-0.001751+0.00059391i,-0.0018151+0.00054747i,-0.0013304+0.00044779i,-0.00047688+0.00030165i,-0.00019997+0.00081917i,8.7885e-05+0.00035634i,0.00018731-0.00018714i,0.00031407+0.00016459i,0.0001659-5.2556e-05i,-0.00055391-0.00063185i
0.0004113+0.0010552i,0.00048847+0.0019836i,0.0010898+0.002144i,0.0014352+0.001234i,0.00049217+0.00029759i,-0.00073097-0.00037736i,-0.0010494-0.0010503i,-0.00027442-0.00073636i,0.00055988+0.00066889i,0.00032069+0.00095721i,-0.00025533+0.00073181i,-0.00043078+0.00064234i,-0.00030942+0.00070606i,-0.0002333+0.00091594i,-0.00033898+0.00057826i,-0.00068962+0.00087135i,-0.00054293+0.0012088i,0.00028604+0.00069003i,9.5062e-05+0.00030232i,-1.3384e-05+0.00016805i,0.0003335+0.00010943i,7.8446e-05-0.00025665i,-0.00036802-0.00031305i
-0.00056264+0.0016941i,-0.0011334+0.0015268i,-0.0011819+0.0013405i,-0.0011167+0.0013869i,-0.001253+0.00023706i,-0.0014171-0.00081313i,-0.0012753-0.00032101i,-0.00063305+6.5387e-05i,0.0001961+0.00014032i,0.00028686+0.00070108i,-0.00037824+0.00074034i,-0.00063365+0.00067894i,-0.0011936+0.0010522i,-0.0012565+0.00066271i,-0.00095227+0.00060463i,-0.0010939+0.00068761i,-0.0012501+0.00051864i,-0.0011535+0.00071029i,-0.0008446+0.00059409i,-0.00067801+8.8614e-05i,-0.00065781+0.00023032i,-0.0011598-0.00032301i,-0.00061141-0.00099293i
0.00027824-0.0012549i,0.00099022-0.00014398i,6.0606e-05+0.00014895i,-0.0019697-0.0002011i,-0.0032392+0.00018999i,-0.0030739+0.00038218i,-0.0020983-1.8127e-05i,-0.00061485-0.00020345i,0.00049174+0.00091417i,0.00013405+0.00106i,-3.0973e-05+0.00036569i,-3.7724e-05+0.00045211i,0.0001645+0.0009629i,0.0005785+0.0015725i,0.0003169+0.001123i,-0.00051169+0.00079438i,-0.00050861+0.00052138i,0.00016644-5.49e-05i,0.00028392+5.9328e-05i,-0.00069616+9.6019e-05i,-0.0010797-0.00024924i,-0.0001952-0.00015595i,-0.00011164+1.3144e-05i
0.00092208+0.001423i,0.0022286+0.00050509i,0.0030969-0.00062841i,0.0011763-0.0015606i,-0.00093461-0.0023682i,-0.0016436-0.0021817i,-0.0012019-0.0011187i,-0.00017472+0.00025378i,0.00051891+0.00073639i,0.00075888+0.00055926i,0.00042435+0.00062882i,1.845e-05+0.00030235i,-0.00012034+3.7977e-05i,-0.00024232+0.00045638i,9.0754e-05+0.00031562i,0.0006015+0.00052254i,0.00034834+0.00097757i,0.00055638+5.1326e-05i,0.00097743+6.4595e-06i,0.00089801+0.00026535i,0.00018521-0.00037479i,0.00017789-0.00079321i,0.00032124-0.00076325i
0.0011284+0.00094488i,0.0019385+0.00065323i,0.0016865-0.00059087i,0.0006384-0.0019538i,0.00023438-0.0018802i,-0.00041899-0.00080788i,-0.0013772-0.00015082i,-0.00070962+0.00013942i,0.00085477+0.00036317i,0.0011608-0.00022386i,0.00049954-0.00030866i,0.00028978-2.1586e-06i,0.00058941+0.00017184i,0.0006864+0.00038429i,0.0005571+0.00081615i,-0.00014999+0.00069072i,-0.00044595+3.6228e-05i,-0.00092265+0.00038834i,-0.0010628+0.00087416i,-0.00025493+4.4323e-05i,-0.00011373-0.00086871i,-0.00041222-0.00063601i,-0.00010935+3.0202e-05i
-0.00060219+0.00031104i,-0.00070619+0.0012295i,-0.0001856+0.0009623i,1.2278e-05+0.00042099i,-0.00032061+9.182e-05i,-4.2001e-05-0.00031853i,-0.00035197-0.00019266i,-7.3815e-05+2.7303e-05i,0.00070835+1.3343e-05i,0.00053271+0.00039804i,8.7766e-05+0.00089582i,-0.00018595+0.0008057i,-0.00058599+0.00017767i,-0.00089289+7.8152e-05i,-0.0011355+0.0006593i,-0.0012097+0.00070221i,-0.00045729+0.00025542i,-0.00045035-0.00013379i,-0.00030271-0.0002137i,7.6578e-05-0.00016132i,-0.00057801-0.00022361i,-0.00095101-5.8291e-05i,-1.348e-05+0.00046108i
-0.00052851-0.00012086i,0.00017202+0.00025371i,0.00022216+0.0013308i,-0.00039791+0.0015003i,-0.00059241+0.00096815i,-0.00043919+0.00050366i,-0.00061577-0.0003555i,0.00035374-7.0361e-05i,0.00053023+0.00065545i,-0.00061892+0.00052277i,-0.00082934-5.0495e-05i,-0.00059094-0.00026119i,-0.00039582-8.5096e-05i,3.0641e-05+0.00051878i,-0.00024816+0.00047779i,-0.00046707+0.00020868i,-0.00021247+0.00033722i,-0.00045826+0.00017589i,-0.00027686-0.00030865i,0.00033798+0.00025776i,0.00072952+0.0009254i,0.0010442+0.00068437i,0.00086515+8.4126e-05i
-0.00061956+0.0010028i,-0.00076991+0.0013597i,-0.0014569+0.0010045i,-0.0021786+0.0011813i,-0.0023717+0.00076362i,-0.0017148-0.00034766i,-0.00079254+0.00019508i,-0.00016478+0.00052433i,-3.2306e-05+0.00017552i,-0.00045379+0.00028307i,-0.00031977+0.0007456i,-0.00013776+0.00070539i,1.675e-05+0.00085005i,6.6078e-05+0.0009317i,-0.00054378+0.00032027i,-0.00023882+0.00040167i,0.00076962+0.00077446i,0.00067797+0.00016705i,0.0006274+0.00025917i,0.00039818+0.00044758i,-0.00029771+0.00070917i,-0.00035133+0.0010231i,-0.00063841+0.00061146i
0.0008242-0.00038412i,0.0014101-0.0004864i,0.0019724-0.00024286i,0.00031874+0.00025949i,-0.0023035-5.5764e-05i,-0.0022242+0.00036682i,-0.0010678-0.00015644i,-0.00047933-0.00047649i,0.00037867+5.1504e-05i,0.00035225+0.00028473i,-0.00049235+0.00085106i,-0.00095597+0.0011566i,-0.00076094+0.00064713i,-0.00011506+0.00056233i,-4.2738e-05+0.00047622i,0.00018215+0.0011049i,0.00029025+0.001739i,3.4971e-05+0.0014406i,0.00027258+0.0011913i,6.8844e-05+0.00013793i,3.9267e-05-0.00067835i,0.00028367+0.00015074i,0.00014054+0.00032964i
-0.00083495+0.00050213i,0.00010371+0.0013345i,0.00037248+0.0020723i,0.000812+0.0012576i,0.00032603-0.00080091i,-0.00056806-0.0022664i,-0.00058165-0.0016111i,-0.00015783-0.00017293i,-0.00039668+0.00057494i,-0.00059604+0.00015496i,0.00015496+0.00014397i,-8.2634e-06+0.00085344i,-0.00062623+0.0015655i,-0.00073119+0.0013377i,-0.00091662+5.1938e-05i,-0.0002733+0.0001495i,0.00036277+0.00049941i,0.00042144+4.6377e-05i,0.00024291+0.00062705i,0.00062778+0.0011807i,0.00075151+0.0007295i,0.00020454+0.00043433i,0.00030707+0.00078078i
-0.0005901+0.0019533i,0.00091456+0.0019107i,0.0014243+0.0016057i,0.00099948+0.0014931i,-8.904e-05+0.00064313i,-0.00062632-0.00059874i,-0.00052532-0.0009163i,-0.00025103+0.00017691i,0.00018723+0.00075341i,0.00019248+0.00080806i,-0.0003015+0.0012589i,-0.00055382+0.0012066i,-0.00063402+0.00061114i,-0.0008796+0.00065145i,-0.00090607+0.001037i,-0.00060957+0.0011334i,-0.00038513+0.001012i,-3.356e-05+0.00075905i,0.00015377+0.00040352i,0.00013651+7.6949e-05i,0.00058772-0.00050017i,0.0010182-0.00089932i,0.0006519-0.00021617i
0.00079284+0.0015291i,0.0011048+0.002012i,0.0006622+0.0012514i,0.00019831+0.0013897i,-0.00076944+0.00084357i,-0.0014439-0.0007143i,-0.0005935-0.0012913i,0.00010968-0.00015639i,0.00038863+0.00039787i,0.0009914+0.00050788i,0.00087513+0.00061904i,-7.7054e-05-0.000202i,-0.00033658+0.00041571i,-0.00034389+0.00098381i,-0.00062667+0.00076915i,-0.00085883+0.0011135i,-0.00045787+0.00019754i,-0.0001451-0.00046275i,-0.00058644+2.3254e-05i,-0.00073773+0.00042809i,0.00026755+8.0092e-05i,0.00032056-0.00046033i,-5.5675e-05-0.00083703i
-0.00010991-0.00022057i,-0.0013397-0.00022638i,-0.0011742-0.00061719i,-0.0013282-0.0010912i,-0.0021583-0.00056155i,-0.0017422-0.00019181i,-0.0012755-0.00028707i,-0.00052035+0.00084374i,0.00019083+0.00086927i,-0.00015346+0.00051128i,3.7459e-06+0.001167i,3.2999e-05+0.001336i,-0.00028892+0.0005703i,0.00022091-0.00019754i,0.00021369+3.3797e-05i,-0.00010075+0.00023451i,7.4923e-05+0.00015288i,-9.1943e-06+0.00010828i,-0.00013693+1.1619e-05i,-0.00065182+0.00028556i,-0.00054899+7.178e-05i,0.00019834-0.00035958i,0.00016574-0.00020794i
0.0010587-0.0018027i,0.0017161-0.0012279i,0.0012694-0.0011159i,-7.8291e-05-0.00082682i,-0.00074465-0.00046664i,-0.0002869-0.00076169i,0.00043871-0.00081081i,0.00072624+0.00017629i,0.00046287+2.1664e-05i,-0.0001789+0.00037296i,-0.0014258+0.00090091i,-0.001469+0.00021991i,-0.00047642+0.00038984i,-0.00010734-6.7077e-05i,-7.3213e-08-0.00036096i,0.00011627-1.4823e-05i,0.00018229+0.00030626i,0.00056453+0.00055218i,0.0004821+0.00016831i,6.689e-05+7.9261e-05i,-0.00054728-4.7978e-05i,-0.00015379-4.7359e-05i,0.00041644+0.00057204i
0.0016318+0.00086197i,0.0031903+0.0026796i,0.0025785+0.002595i,0.00087443+0.00019992i,-0.00015562-0.0007769i,-0.00085161-0.001519i,-0.00036656-0.001708i,0.00060919-6.985e-06i,0.0010324+0.0008286i,0.00076553+0.00033909i,0.00050625+0.00029951i,-2.547e-05+0.00083929i,0.00056997+0.00097615i,0.001108+0.0011336i,0.0001984+0.001085i,-5.5428e-05+0.0010156i,0.00015801+0.00073786i,0.00024055+5.6167e-05i,0.00065776+0.00049833i,0.00051389-0.00014016i,0.00024869-0.00098276i,0.00029243-0.00075428i,5.1058e-05-0.00014745i
-0.00077596+0.0019423i,-0.00050086+0.0026139i,0.00026209+0.0019937i,0.0011678+0.00016765i,0.0011872-0.001426i,-8.3775e-05-0.0022692i,-0.00027419-0.0018295i,0.00078873-0.00073921i,0.00076623+0.00028564i,0.00052565+0.00077966i,0.00026783+0.00095021i,7.5997e-05+0.00021479i,0.00018877-0.00050063i,8.3307e-05-0.00014329i,2.1303e-05+0.00066857i,-0.00042764+0.0012854i,-0.00076388+0.0011449i,7.5287e-05-0.00024429i,0.00031037-0.00087466i,0.00027239+3.9382e-05i,0.00030613+0.00050875i,-0.00010133-6.8744e-06i,-0.00015867-0.00037246i
0.0006038-3.2687e-05i,0.0011198+0.00035159i,0.00091783+0.00036461i,0.00060966+0.00060852i,-0.00092304+0.0014182i,-0.0022057+0.00089196i,-0.0017096+0.0002455i,-0.00052237+0.00026401i,0.00034396+4.3696e-05i,0.00049704-0.00017263i,0.00018155-7.9499e-05i,5.9397e-05+0.00020811i,-7.6542e-05+0.00099304i,-0.0011034+0.00053183i,-0.00084616-0.00051872i,0.00011766+0.00016076i,0.00017641+0.00059471i,-0.00025038-0.00019657i,-9.3656e-05-0.00043356i,0.00028001+0.00037982i,0.00054579+0.00039719i,0.00041398-0.00096928i,7.878e-05-0.0014447i
