0.00099436-6.7164e-05i,0.0017712-0.00058573i,0.00076711-0.0017574i,-7.2256e-06-0.0025102i,-0.00084561-0.0015461i,-0.0020358-0.00023246i,-0.0020789+0.0009859i,-0.00067967+0.0013825i,0.00072563+0.00076851i,0.0014091+0.00070186i,0.00085377+0.00086024i,-0.0001647+0.00011944i,-0.00034077-0.0005866i,-0.00052633-0.0010727i,-0.00064018-0.0013851i,0.00013602-0.00045594i,0.00053219+6.1261e-05i,0.00031561-8.7351e-05i,2.476e-05+0.00076868i,0.00032596+0.00089813i,0.001157+0.00046052i,0.00077463-0.00018587i,0.00014033-0.0010649i
-0.0013754+0.00039432i,-0.0011285+0.0015361i,-0.000438+0.0024454i,-7.5197e-05+0.0025501i,0.0001296+0.00078765i,0.00046134-3.2873e-05i,-8.7895e-05+0.00031129i,-0.00047468-0.00034541i,0.00025253-0.00057668i,0.00099713-0.00011887i,0.00071687+4.9324e-05i,-9.7279e-05-4.1374e-05i,0.00016305-0.00047386i,0.0011393-0.00097706i,0.00058324-0.00026822i,-0.00022016+0.00025645i,2.2086e-05-0.00061068i,0.00036947-0.00086802i,0.00019825-0.00049704i,-0.00057851-0.0010299i,-0.0013372-0.00087244i,-0.0011841-1.1109e-05i,-0.00054188+0.00054075i
6.4443e-05-0.0014984i,-0.0015099-0.0011127i,-0.0017161-0.0013567i,-0.0018372-0.001348i,-0.0024746-0.00088402i,-0.0022006-8.3961e-06i,-0.0008994+0.00086403i,0.00071142+0.0016291i,0.00067659+0.00052195i,-0.00034048-0.0006029i,-0.00030361-0.0001121i,-0.00050847-7.9769e-05i,-0.00044756-0.00018694i,0.00059188+0.00029161i,-0.00020978+0.00065251i,-0.0016443+0.0003012i,-0.0013876+0.00010102i,-0.001-8.5332e-05i,-0.00056804+0.00035693i,-0.00048106+0.00041347i,3.9188e-05-0.00072742i,0.00057482-0.0010425i,6.53e-05-0.00040319i
-0.00059704+0.00079598i,8.9171e-05+0.00051001i,-0.0001765+0.0011671i,0.00046186+0.00089513i,0.0015524+0.00030262i,0.00079637+0.00079025i,-0.00052461+0.00085659i,-0.00022874+0.00064597i,0.00039843+0.00034392i,0.00078155-0.00036326i,0.00087664-6.683e-05i,0.00026091-0.00036001i,-0.00028844-0.00098985i,0.00022673-0.00026582i,4.8267e-05+0.00047717i,-0.00084985+0.00057243i,-0.00092203+0.00026594i,4.9769e-05-4.4491e-05i,0.00063585-0.00047441i,-0.00025246-0.00085667i,-0.00079536-0.0010129i,-0.00047978-0.00044285i,-0.00075866+2.3982e-05i
0.00038844+0.00034741i,-0.00084555+0.00060374i,-0.00068778+0.0009628i,0.00032251+0.00073886i,0.0008297+0.00055144i,0.00068964+0.00021315i,-0.00022897-0.00050253i,-0.00056027-0.0001552i,0.00045202+0.00046848i,0.0015898+0.00021816i,0.0011917-0.00053571i,0.00044958-0.00078806i,0.00048617-0.00058035i,-3.9107e-05+5.2833e-05i,-0.00014644+0.00047928i,-0.00028052+0.00067223i,-0.00021902+0.000789i,-0.00026785+0.00020179i,-0.00017218-0.00037307i,-0.00041614-0.0001641i,-0.00083831-0.00022373i,-0.00046137-0.00032398i,0.00015423+0.00078142i
-0.00011132+0.00042423i,-0.00018709+0.00046664i,-0.0001419+0.0013067i,-0.00033663+0.0024421i,-0.0012338+0.0019192i,-0.0015341+0.0014434i,-0.00085588+0.0010194i,-6.7659e-05+0.00086208i,0.00017704+0.0007057i,0.00016048-0.00029936i,0.00040935-0.00059334i,0.0005322-9.5835e-05i,0.00017977-0.00046352i,0.00018638-0.00071936i,2.1382e-05-0.0012078i,-6.7642e-05-0.0012158i,-0.00010242-0.00017899i,-4.7404e-05+6.6425e-05i,0.00044158+0.00028564i,2.6807e-05+1.6685e-05i,-0.00070743-0.00028297i,0.00026514-0.00017367i,0.0010018-0.00048328i
-4.8679e-06+0.0010142i,1.3925e-05+0.00063593i,0.0013024+0.00041251i,0.0019339+4.1096e-05i,0.0014857-0.0007961i,0.00043898-0.0017467i,0.000128-0.000554i,-0.00032745+7.0057e-05i,-0.0004517-3.4245e-05i,-0.00020761+9.2425e-05i,-4.5983e-05-0.00034672i,7.7099e-05-0.00042002i,0.00014382+5.6764e-05i,-0.00035538+0.0004076i,-0.0010163+0.00080102i,-0.00043964-8.8573e-05i,0.00046384-0.00041938i,0.00072784+0.00017365i,0.00038118+0.00025981i,0.0002731+0.00020152i,0.00017923+0.00023344i,-0.00026767+0.00040952i,-0.00021945+0.0010028i
-0.0013147-0.00021611i,-0.0012608-2.5104e-06i,-0.00036691+0.00070647i,0.00060466+0.00074728i,0.00091154+0.00022505i,0.00036964+0.00015992i,-2.4064e-05-0.00017671i,-0.00033074-0.00054796i,-0.0010115+6.8593e-05i,-0.00057297+0.00088089i,0.00029333+0.0007297i,0.00023894+0.00054096i,0.00051638+4.2903e-07i,0.00098695-0.0013917i,0.0010016-0.0012047i,0.00078506-0.0004781i,-5.4998e-05-0.00023602i,-0.00093185+0.00017338i,-0.0010826+0.00024239i,-0.00024088+0.00043916i,-4.8179e-05-3.4573e-05i,-0.00045297-0.00053765i,-0.00058298-0.00012881i
7.5478e-05+0.00055992i,0.00063259+0.00053726i,0.00057394+0.000755i,0.0003777+0.00045343i,0.00064059+3.33e-05i,0.00016463+0.00044082i,-0.00040273+0.00033394i,-0.00019156-0.00033825i,-1.9992e-05+6.2213e-05i,-0.00013269+0.00032073i,0.00025955-0.00010728i,0.00077142-0.00049314i,0.00083354-0.00032798i,0.00048356-0.00036418i,-0.00030642-0.0005422i,-0.00032602-0.00039082i,-0.00018741+0.00023345i,-0.00067308+0.00057069i,-0.0010681+0.0006474i,-0.00078397+0.00020199i,4.5634e-05-0.00082099i,0.00024167-0.00098843i,-6.769e-05+0.00014536i
-0.00011152-0.00094148i,-0.00084198-0.00075485i,-0.00094722-0.00085922i,7.1359e-05-0.0013452i,0.0010466-0.0013886i,-0.00012268-0.0010128i,-0.0014824-0.00054054i,-0.0011326-0.00032135i,-0.00010411-0.00019026i,0.00042737+0.000148i,0.0002756+0.00012104i,-0.00038193-0.00017839i,-6.3872e-05-0.00015511i,-4.3829e-05+0.00052877i,9.925e-05+0.00021408i,0.00045769-0.00076015i,0.00038041-0.00055199i,7.6747e-05+0.00068567i,-0.00072487+0.001023i,-0.000744+0.00033515i,3.9169e-06-0.00049329i,0.00058597+2.2747e-05i,0.00080762+0.0013771i
-0.000448-0.00051102i,-0.0012435+0.0002413i,-0.0011026+0.0013008i,-0.0011631+0.0013676i,-0.0012166+0.0005613i,-0.00026303+0.00034857i,-0.00029446+0.00098706i,-0.00028697+0.00036708i,0.00020352-0.00026168i,-0.0002503-2.0674e-06i,-0.00049189+1.3202e-05i,-0.00044888-1.9286e-06i,-0.00010165-0.00072538i,-0.00027533-0.0015255i,-0.0011773-0.00093117i,-0.00059356-0.00032274i,0.00037585+0.00019789i,0.00023106+0.00072666i,1.3687e-05+0.00092635i,-0.00041266+0.00042954i,-0.00018852-5.0338e-05i,0.00066602+0.00026116i,0.0012873+0.00062144i
0.00020085+0.00060756i,0.0013007+0.00055874i,0.0024056+0.0010088i,0.0016719-0.00046818i,-5.6738e-05-0.0011527i,-0.0010279+0.00041377i,-0.00027448+0.001125i,0.00032084+0.00095912i,0.00033419+0.00045667i,0.0006026-0.00061184i,0.00076303-0.00069908i,0.00058433+0.00022328i,0.0003758+0.0001886i,0.00048682-0.00032771i,0.00045624-0.00053576i,0.00069968-0.000428i,0.00057921-0.00029628i,-0.0003251+0.00075345i,-0.00090617+0.0010825i,-0.00048536-7.177e-05i,-1.6823e-05-0.00098713i,-0.0001176-0.0011153i,0.00025112-0.00059888i
-0.00097185+0.00019075i,-0.0020658-0.00032043i,-0.0028618-0.00055232i,-0.0012204-0.00086145i,0.0010954-0.00091588i,0.0013917-0.00069565i,0.00063301-0.00094472i,-0.00065459-0.00072806i,-0.0009322-4.2161e-05i,-0.00022408+0.00074021i,0.00033225+0.00048603i,-5.3658e-05-0.00014355i,-0.00027784+0.00010288i,-0.00044928+0.00014783i,-0.00024284-0.00099966i,0.00036404-0.00089379i,0.00045626-0.00035559i,0.00078504-0.00060765i,0.00059237-0.00012048i,0.0004652+0.00016191i,0.00073099-0.00054389i,0.00048115-0.00016756i,-0.00021257+0.00046451i
-0.0013596-0.000522i,-0.00088628+0.00081813i,-0.0011385+0.0022561i,-0.00037685+0.0023577i,9.6912e-05+0.0014992i,-0.00032478+0.0011064i,-0.0014237+0.000376i,-0.0015475+0.0002022i,-0.00098191+0.00074119i,-0.0011269+0.00069891i,-0.00061498-0.00019428i,0.00034398-0.00059968i,0.00044072-1.4036e-07i,-0.00025275-0.00055521i,-0.00097261-0.0010273i,-0.0014261-0.00017705i,-0.0011408+4.4831e-05i,-0.00034072+0.00021216i,7.4187e-05+0.00037009i,-0.00034896+0.00011703i,-0.00077698-0.00025454i,-0.00043704-0.00023019i,0.00043332-0.00011492i
-7.8852e-05-0.00047798i,-0.00010315+0.00018992i,-4.3018e-05+0.0016398i,0.00026431+0.0016471i,0.00035274+0.00067743i,0.00028312+0.00021389i,0.00019292-1.1971e-05i,-5.5779e-05+0.0001106i,0.00030081+0.00038099i,0.00027278+0.00045184i,-0.00018666+0.0001719i,-0.00016661-0.00024231i,-6.1967e-05-0.00038606i,-0.00019864+2.0314e-05i,-0.00013922+0.0003642i,0.00024057+0.00068289i,0.00075761+0.00041015i,0.00089602+0.0006708i,0.00053709+0.00078488i,0.00032033+0.00017594i,0.00010772+0.00025163i,-0.00042513+0.00050292i,0.00021369-9.6171e-05i
4.3461e-05+0.00085823i,-0.00045277+0.00090967i,3.9596e-05+0.00053219i,-0.00040319+0.00026043i,-0.00098731-9.8702e-05i,-0.00013257-7.6974e-05i,9.9922e-05+0.00047389i,0.00036078+0.00090704i,-0.00018469+0.0012927i,-0.00099395+0.0011426i,-0.000331+0.00041782i,0.00037761+0.00038076i,-0.00021411+0.00034821i,-0.00048033-0.00059779i,0.00027532-0.00079749i,0.00044498-0.00050483i,-9.5546e-05-0.00098034i,-0.00074675-0.0008095i,-0.0009368+2.5271e-05i,0.00013368+2.4238e-06i,0.00028568+0.00033661i,-0.00082023+0.0011829i,-0.00076779+0.0012361i
-0.00112-0.0012615i,-0.00050241-0.00080031i,-0.0002639-0.0013815i,-1.144e-05-0.0019187i,-0.00028702-0.00078645i,-0.00081023+9.419e-06i,-0.00071483+0.00026107i,-0.00043312+0.00044706i,-0.00061892+0.00027299i,-0.0011074+0.00015282i,-0.00080518+0.00037129i,-0.0004117+0.00029721i,-0.00061631+0.00018716i,-0.00020277+0.00044179i,0.00024344+0.00048191i,0.00032801+0.00024374i,0.00017625+0.00070288i,-0.00012436+0.0008589i,-0.00019573+0.00038898i,-0.00047186+0.00042865i,-0.00026226+0.0005265i,0.00063549+0.00073141i,0.00038893+0.0004459i
0.00056166+0.00015299i,0.0012441+0.00035998i,0.00085609+0.00097847i,0.00096123+0.0011358i,0.0017095-3.6511e-05i,0.00090919-0.00041624i,-0.00040479+1.6155e-05i,-0.00090947+8.0478e-05i,-0.00053058-0.0004352i,-0.00062982-0.00021868i,-0.0007487+0.000285i,-0.00067431+0.00068031i,-0.00034427+0.00086322i,2.5517e-05+0.00035568i,-0.00057098+3.5577e-05i,-0.00077448-0.00015811i,-0.00052227-0.00030409i,-9.9859e-05-0.00018238i,0.00033772-0.00057871i,9.2327e-05-0.00055019i,-0.00015959-0.0001949i,-0.00018252+0.00022595i,-0.00060796+1.8072e-05i
0.00066392-0.00055934i,0.00049253+0.00024531i,0.00040762-5.7418e-05i,-0.00036159-0.00037023i,-0.00020038-0.00035144i,0.00027879-3.8974e-05i,-0.00031654+0.0005199i,-0.00051903+0.00068874i,4.3156e-05+0.00029285i,0.00067283+0.00040069i,0.00019559+0.00063003i,-0.00043648+0.00087083i,0.00044806+0.00036735i,0.00083864+6.3903e-05i,0.00053626+6.8551e-05i,-5.8239e-05-0.0004307i,1.5617e-05-8.9575e-05i,0.00020093+0.00083832i,-0.000669+0.0013577i,-0.00085701+0.0010942i,-0.00028525+0.0002908i,0.00026149-0.00011119i,0.00042243+0.0003281i
-0.00039557-0.00030983i,-0.00060456-0.00041275i,-5.2892e-05+0.00068037i,0.00076534+0.00058859i,0.0013572+0.0004846i,0.00019154-0.00023168i,-0.0010178-0.00051756i,-0.0013059+0.0002934i,-0.00091534+0.0010036i,9.9903e-05+0.00097983i,0.00021307+0.00063333i,-0.00049323+0.00045635i,-0.00075179+0.00032762i,-0.00063959+0.00010668i,-0.0006688+2.7051e-06i,-0.00071693+8.8581e-05i,-0.00014788-1.8464e-05i,0.00061032+6.9886e-05i,0.00043125+0.00065347i,-0.0005768+0.00043454i,-9.8813e-05+0.00016227i,6.4397e-05+0.00027854i,-0.00020833-0.0002336i
-0.00035452-0.00058321i,6.9822e-06-0.00094085i,0.00010767-0.00031164i,-0.00041108+0.00059421i,-0.00051524+0.0011399i,0.00034874+0.0010169i,0.00068821+0.0002011i,-6.6617e-05-0.00036966i,-0.0013248-8.886e-05i,-0.00091007+0.00041214i,0.00038879+1.8803e-05i,0.0001869+0.00015251i,0.00022456-0.00010836i,0.00035658-0.00047413i,-0.0002253-0.00050291i,0.00015738+8.2475e-06i,-0.00023452+0.00087673i,-0.00057284+0.00083761i,-2.3054e-05+0.00051906i,-0.00025545+1.8594e-05i,-0.00062784-0.00043127i,-0.00024044-0.00021962i,-2.9206e-05+0.00073356i
0.00039533-0.00021756i,-0.00092455-0.00071198i,-0.0013327-0.0015027i,-0.0010936-0.0013718i,-0.0013897-0.00073973i,-0.0015572+0.00022955i,-0.00057758+0.00072383i,0.00029123+0.00027655i,0.00012986+4.7403e-05i,0.00035974-0.00024273i,0.00062328+0.00010644i,0.00052139+0.00046198i,0.00054564+0.00064809i,0.00052969+0.00086672i,0.00033321+0.00031817i,4.6567e-05-0.00026665i,7.9388e-05-0.0004587i,0.00027512-0.00059793i,0.00039753-0.0005588i,0.00015343-0.00046752i,-1.9155e-05-0.00066307i,0.00013612-0.0011703i,8.463e-05-0.0012222i
0.0015014-0.00047079i,0.00064446-0.00034017i,-0.00059959-0.00075885i,-0.00059318-0.0014524i,-0.00041777-0.0013791i,-0.00042476-0.00032872i,-0.00071645+0.00025165i,-0.00044683+0.00037601i,6.1533e-05+0.00015835i,0.00059488+0.00064547i,0.00040632+0.00084623i,-0.00023697+0.00017873i,-0.00032419+0.00020044i,0.00019841+0.00044736i,0.00011284-0.0002437i,-0.00042186-0.00062149i,-0.0003972+0.00024598i,-0.0005903+0.0005527i,-0.00095238-2.6641e-05i,-0.00055625-0.00047076i,0.0003014-0.00072673i,0.00046188-0.00086578i,0.00028023-0.00039612i
-0.0017995+0.00099086i,-0.0016925+0.0013498i,-0.0013293+0.0026337i,-0.00028941+0.0031623i,0.00014881+0.0034363i,0.00018354+0.0020922i,0.00032178+4.8208e-05i,-0.00028687-0.00053376i,0.00020163-0.00020423i,0.00088452+0.00035913i,0.00076705+0.00013709i,0.00061683-0.00071656i,0.00035703-0.0012128i,-0.00015767-0.0009492i,-0.00021632+9.9044e-06i,-0.00011301+0.0005977i,4.3331e-05+0.00060522i,8.3739e-05+0.0013663i,-0.00022759+0.00097676i,-0.00038564+0.00023093i,-0.00039538+0.00043177i,0.00010883+3.1231e-05i,0.00027025+0.00024179i
-0.00074224+0.00071638i,-0.00022215+0.00094592i,-0.00048959+0.0022152i,-0.00058664+0.0025196i,-0.0001366+0.0018993i,0.00065019+0.0012172i,0.0012011+0.00071258i,0.0007674-9.6368e-05i,-0.00063469-0.00010458i,-0.001431-0.00026795i,-0.00087636-0.00056422i,-9.4946e-05-0.00050798i,-0.00023732-0.00098637i,3.4743e-05-0.00070253i,0.0001091-0.00029946i,-0.0012748-0.0001552i,-0.0015965-0.00045849i,-0.00061352-0.00035254i,-0.00039474+0.00049439i,-0.00015331+0.00046988i,-0.00027284+2.4824e-05i,-0.00039356-0.0001311i,0.00037679-0.00032191i
0.0022912-0.00057751i,0.00038102-0.00042602i,-5.5429e-05-0.0015519i,-0.00038999-0.0018205i,-0.002034-0.0016792i,-0.0018199-0.0015585i,-0.00064707-0.00051234i,0.00042946-0.00070397i,0.0013548-0.0010571i,0.00075306-3.4221e-05i,-0.0003034+0.00061502i,-3.9743e-05+0.00052479i,0.00016758-3.2997e-05i,0.00054171-0.000318i,0.00065004+0.00010902i,0.00049051-0.00020469i,0.00024651-0.00052213i,-0.00037834-0.00059731i,-0.00069485-0.00017035i,-0.00069844+0.00038279i,-0.00028342+0.00092929i,0.00049649+0.001053i,0.00044098+0.00048804i
0.00023337+0.0025343i,0.00070865+0.001454i,0.00084644+0.0015033i,0.0013096+0.00065643i,0.0010743-9.6052e-05i,0.00040948-0.0010094i,-0.0005391-0.0012352i,-0.00034582-0.00041563i,0.001022+0.00011939i,0.0016051+0.00052056i,0.00093203+0.00086611i,-0.00059461+0.00032281i,-0.0015251-0.00064823i,-0.00081522-0.00059186i,0.00019022+0.00049881i,-0.00046201+0.00080318i,-0.0011418+0.00046249i,-0.00099413+0.00060766i,-0.00087103+0.00061639i,-0.00028219+0.00034276i,0.00035248-7.2459e-05i,0.00032273-0.00012137i,8.7267e-05+0.00038167i
0.00046655+0.0013842i,-0.0010393+0.00010243i,-0.00043679+0.00023286i,0.00099535+0.00085777i,0.0015752-0.00015575i,0.00090644-0.00046978i,0.00033457+2.8874e-06i,-0.00030751-0.00022287i,-0.00036398-0.00011108i,0.00084436-0.00014312i,0.0015051-0.00057605i,0.00098321-0.0008279i,7.1365e-05-0.00051894i,-0.00024829-0.0002912i,-0.00035571-0.00018869i,-0.00061922-0.00031646i,-0.001085-0.00028288i,-0.00086008+0.00065476i,-0.00041052+0.0008126i,-0.00094058+0.00026235i,-0.00089597-0.00022202i,-5.1532e-06-0.00081687i,0.00071736-0.00064799i
-0.0010779-0.00043567i,0.0011806-0.00075506i,0.0018512+1.2455e-05i,0.00040852-7.6786e-05i,-0.00058615-0.00018003i,1.5772e-06-0.00054068i,-0.00012345-0.00028056i,-0.00053718+2.8134e-05i,0.00025945+0.00058505i,-0.00012642+0.0017364i,-0.00017656+0.0015388i,0.00059618+0.00087163i,0.00091287-0.00035002i,0.00042707-0.00053808i,0.00020452-3.1897e-06i,0.00032733-0.00024797i,0.00021788-0.00069296i,0.00011493-0.000538i,0.00019304-0.0004797i,-6.085e-05-0.00070238i,-0.00063457-0.00064833i,-0.00040913-0.00019696i,-6.4882e-05-0.00019833i
-0.0018584+0.00016143i,-0.0018384+0.00040797i,-0.0021851+0.0014864i,-0.0016927+0.0023754i,-0.00064768+0.0021674i,-0.00024827+0.00082129i,-0.00023+0.00038648i,-0.00064278+0.00054195i,-0.0007036+0.00011616i,-0.00030227+0.00013885i,0.00068692+0.00036891i,0.0014118+0.00041674i,0.0010211-0.00014256i,0.00024355-0.0011353i,-0.00068572-0.00029918i,-0.0010176+0.00074824i,-0.0012941+0.00042234i,-0.00066564+1.8921e-05i,0.00026594+0.00022208i,0.00027223+5.8252e-05i,0.00035015-0.00025391i,0.00075741-0.00030233i,0.00096795-0.00052195i
-0.0003912-0.00013508i,-0.00091709-0.00056899i,-0.0017301-0.00051266i,-0.0015359+0.00053617i,-0.00083144+0.0012654i,-0.00012406+0.0017154i,-0.00033966+0.0015279i,-0.001221+0.00031727i,-0.00070791-0.00010669i,5.2659e-05-1.1125e-05i,0.00088128-0.00015234i,0.0017962+6.7857e-06i,0.0016528+0.00031365i,0.00072221+0.00084204i,0.00034168+0.00051699i,0.00086902-0.00031138i,0.00094252-0.00043155i,-0.00039173-0.00014431i,-0.00095473-0.00013639i,-0.00075735-1.146e-05i,-0.00073127+0.00055746i,-0.00045421+0.00090049i,0.00039522+0.00045252i
-0.00076477-0.00098713i,-0.00063123+0.00013583i,-0.0010863+4.9051e-05i,-0.0014363-0.00055305i,-0.001655+9.5141e-05i,-0.001293+0.00042032i,-0.00019334-0.00037645i,0.0003697-0.0013429i,-0.00058446-0.0011819i,-0.0010209-0.00042217i,-0.00054337+4.1068e-05i,-0.00058973+0.0002058i,-0.00091973+3.6984e-05i,-0.00056067-0.00073454i,-0.00030081-0.00059381i,-0.00059464+0.00039534i,-0.00087965+0.00071715i,-0.00059328+0.00056319i,-0.00017547-0.00021722i,-0.00051042-0.00034836i,-0.0010144-0.00041929i,-0.00074826-0.00079361i,-0.00039901-0.0010125i
