-0.00026694-0.0011661i,-0.00035608-0.0025235i,-0.00093177-0.002521i,-0.0014559-0.00092434i,-0.0013389+0.00071032i,-0.0019846+0.0023056i,-0.0020887+0.0024255i,-0.00075366+0.0017006i,0.0008085+0.0010658i,0.0012788+0.00036555i,0.00012631-0.00039529i,-0.00013389-0.0011924i,0.00079977-0.0010919i,0.00088703-0.00042145i,0.00075883-0.00022183i,0.00083114+0.00012273i,0.00038257+0.00045432i,0.0008959+0.00044485i,0.0012423+0.00014023i,0.00038711-0.00040868i,0.00011228-0.00072932i,-0.000647-0.00077926i,-0.00065503-0.00061015i
-0.0011636-0.00047137i,-0.0017036-5.4697e-05i,-0.00033236+0.00030222i,0.00056365+0.00080312i,0.00023356+0.00063518i,0.00029848-0.00013427i,0.00051172-0.00015012i,0.00010813-8.1709e-05i,0.00016797-0.00053136i,0.00078682-0.00062557i,0.00078215-0.00088634i,-0.00036294-0.0005911i,-0.00098158+0.00042831i,-0.00059856+0.00084581i,-0.00047405+0.00061781i,-0.00011372-3.33e-05i,0.00080498+9.6151e-05i,0.00094202+0.00038046i,0.00070204+0.00015364i,0.00085866-0.00051485i,0.0012164-0.001472i,0.0010665-0.0012112i,-2.1279e-05+0.00010108i
-0.0011074-0.00061451i,-0.00052201-0.0016755i,-0.00077962-7.5059e-05i,-0.00013033+0.0015686i,0.0014484+0.0022212i,0.00090402+0.002151i,-0.00028063+0.001336i,-0.00047081+0.00049662i,-0.0002021-0.0002874i,0.0003272+6.8521e-06i,0.00038219+0.00041806i,0.00084667+0.00026028i,0.00054431+0.00022715i,-0.00013132+1.29e-05i,0.00064548-0.00025585i,0.0013256-0.0001362i,0.00081517-0.00020736i,6.051e-05-0.00052126i,0.00059261-0.00044413i,0.00068044-0.00012384i,0.00053024+2.1057e-05i,0.00078457-0.00047046i,0.00082438-0.00097993i
0.00082077+0.0010317i,-2.5443e-05+0.0012622i,-0.0011279+0.00049485i,-0.00034252+0.00053739i,0.00085425+0.0013956i,0.0015361+0.001377i,0.0020605+0.00081289i,0.001594+0.00040473i,0.00024047-0.000518i,-0.00086501-0.00012289i,-0.0010681+0.00013068i,-0.00075691-0.00042184i,-0.00068416-0.00027762i,-0.00063361+0.00037636i,-0.00072378+0.00094392i,-0.00039372+0.00046972i,0.00025257-0.000549i,0.00058586-0.00031067i,0.0002208+0.0004663i,-0.00021867-0.00010721i,-4.8908e-05-0.00014483i,-0.00020432+0.00087562i,-0.00019485+0.00065466i
0.0011762+0.00061732i,0.00079843-0.00031444i,0.0008961-0.00089641i,0.00089994-0.00069553i,0.000864+0.00063103i,0.0012131+0.0015303i,0.00084918+0.0011732i,-8.8802e-05+0.0012224i,-0.00035731+0.00044704i,0.00030948+0.00016197i,0.0012059+0.00045264i,0.00067523-0.00024316i,-0.00022387-0.00057517i,-0.00014145+9.6947e-06i,0.00073827+0.00087751i,0.00072619+0.00087253i,0.00029241+0.00068773i,0.00025308+0.00025164i,-3.4034e-05-0.00022509i,-0.00048567-0.00055043i,-0.00019583-0.00066989i,0.00010332-0.00019903i,0.00013487+0.00028067i
-0.001721-0.0028614i,-0.003163-0.0018872i,-0.0032429-0.00021006i,-0.0013119+0.0020092i,0.00034779+0.0032877i,0.00088608+0.0027912i,0.00073029+0.001037i,-6.504e-05-0.00017968i,-0.00061038-0.00019003i,-0.00076395+0.00022828i,-0.0013358+0.0003123i,-0.0014006-0.0002546i,-0.00083478-0.00062586i,-0.00012048-8.106e-05i,0.00024026-0.00068234i,0.00041138-0.00072193i,4.4493e-05+0.00037635i,-0.00066295+0.00091804i,-0.00051734+0.0011837i,0.00026948+8.4826e-05i,0.00072621-0.00068885i,0.00055872-0.00034756i,0.00015588-0.00016402i
0.0018567+0.0025354i,0.0012234+0.0021793i,0.00076372+0.00075145i,0.0013466+0.00088292i,0.0010717+0.0016548i,0.001253+0.00083706i,0.0010535+0.00041887i,0.00053907-0.00012036i,0.00019523-0.001001i,-0.0007293-0.0011623i,-0.0011605-0.0011217i,-0.00093764-0.00041075i,-0.00039726+0.00017283i,0.000209+0.00027545i,0.00025718+0.0005561i,-0.00054691+0.00030496i,-0.00092805-0.00048715i,-0.00050505-0.00064319i,-0.00044797-0.00013178i,-0.00026397-0.00020845i,-4.5197e-05-0.0003992i,-0.00028087-0.0001751i,-0.00054253-6.1655e-05i
-0.00031608-0.0018172i,-0.0023413-0.0018653i,-0.0018981-0.001593i,-0.00072563-0.00063389i,0.00025003+0.0011119i,0.00091757+0.0020731i,0.00074859+0.0012519i,0.00074319+6.2701e-05i,0.00054668-0.00032666i,0.00040515+4.7352e-05i,0.00092021+0.00063335i,0.00081566+0.00071152i,0.0003628+0.00052133i,-0.00033847+0.00044075i,-0.00059195-0.00035392i,-0.00039769-0.00066571i,-0.00069699-0.00084699i,-8.2591e-05-0.0011939i,0.00037141-0.00068566i,-0.00057037+0.00030228i,-0.00083732+0.00045637i,-0.00010243+6.7783e-05i,0.00037277+0.00027519i
0.0029622+0.00027528i,0.0024558-0.00027346i,0.001588-0.00060639i,0.00075088-7.3153e-05i,0.00063389+0.00032382i,0.00068879+0.00084234i,-0.00019403+0.0015654i,-0.00056438+0.00032771i,-0.00022558-0.00096284i,0.00027606-0.00035427i,0.00032532+0.0006339i,-0.00020933+0.00091048i,-0.0001705+0.00011652i,0.00018744+0.000538i,3.2365e-05+0.0013511i,0.00014645+0.00081396i,0.00023-2.1103e-05i,0.00026054-0.00049689i,6.8509e-05-0.00078028i,-9.9159e-05-0.00019875i,0.00028899+0.0001353i,0.00047002-0.00013361i,0.00053347-0.00017495i
0.00068838+0.00086706i,0.00085592+0.0017314i,0.0012912+0.0016341i,0.001581+0.00073503i,0.0017316+0.00045685i,0.0009078+0.00025026i,0.00025897+5.7914e-05i,0.00064874-2.6687e-05i,0.0012686-0.00032806i,0.00085704-0.00050284i,-0.00021422-0.00049342i,-0.00047978-0.0002933i,-0.00024954-0.00018466i,-0.00073078+0.00015979i,-0.0012222+0.00049482i,-0.00087879+0.00016064i,0.0001726-0.00021743i,0.00026415+3.1319e-06i,-0.0004198+1.6278e-05i,-0.00021989-3.413e-05i,-0.00050702+3.1267e-06i,-0.0011073+0.00014755i,-0.00078341+0.0012788i
-0.0010141+0.0009944i,-0.0010532+0.00064359i,8.6521e-05+0.00060777i,0.0011304+0.0011035i,0.001505+0.00076231i,0.0010132+0.00093161i,0.00056789+0.00081775i,0.00060804+0.00041234i,0.00046276+1.7272e-06i,-4.2024e-05+6.2996e-05i,-0.00046774-0.00023665i,-0.00039017-0.001455i,0.00025752-0.0015304i,0.00049342-0.00078507i,0.00042906-0.00025554i,0.00014057+0.0002349i,-0.00020106+0.00013574i,-0.00039969-0.00047086i,-0.00020961-0.00052748i,-0.00020155-0.00017245i,-0.00014357-0.00025612i,1.7397e-05+0.00012295i,8.8763e-06+0.00038328i
-0.00032709-0.0016971i,0.00032051-0.0018682i,-0.00047256-0.00048274i,-0.00088403+0.0019391i,-0.00015768+0.0031128i,0.00029902+0.0021732i,0.00075061+0.00071817i,0.00085256-0.00026981i,-0.00017903-0.00027825i,-0.00074137+0.00046679i,-0.00018899+7.3829e-05i,3.3235e-05-0.0012306i,0.00040912-0.0001135i,0.00072832+0.0015159i,0.00061813+0.0008635i,-0.00034597+0.0002732i,-0.00052985+0.00051646i,-4.3567e-05+0.000364i,0.00021061-7.6708e-05i,0.00074656-0.00027471i,0.00072729-0.00011361i,0.0004965-9.402e-05i,0.00022084-0.00049843i
0.0010691+0.00022273i,0.00086403-4.3492e-05i,0.0009256-5.2226e-05i,0.0010854+0.00062507i,0.0015665+0.0013608i,0.0012091+0.0012691i,0.00073548+0.00019954i,0.0002096-0.00041741i,-0.0002255+0.00012958i,-0.00053687-0.00041549i,-0.00012932-0.00087435i,-3.2561e-05-0.0009244i,-0.00035487-0.0004881i,-0.00019639+0.0007026i,-0.00028769+0.0005819i,-0.00044364+0.00015298i,0.00012792+0.00064494i,0.00016038+0.00046314i,-0.00024347-9.6872e-05i,-0.00048353+9.1783e-05i,-0.0011149+0.00021489i,-0.0014298+0.00047806i,-0.0010813+0.00030183i
5.1415e-06+0.0022453i,0.00049908+0.0018533i,0.0020654+0.00060586i,0.0024464-0.00027009i,0.0015581-0.00021892i,0.00057218+0.00033021i,-0.00026821+0.00039981i,-0.00068599-0.00026091i,-0.00041333-0.00081032i,0.00034437-0.0013542i,-0.0005527-0.0011479i,-0.001057-0.00091555i,-0.00068301-0.00061448i,-0.00016707-0.00019753i,0.0010128+0.00039367i,0.0017058+0.00069827i,0.0015042+0.00010683i,0.00085402-0.00010229i,0.000273+0.00031632i,5.2219e-05+8.6097e-05i,-0.00024673-0.00055153i,-6.9837e-05-0.00058992i,5.7984e-05-4.7931e-05i
-0.000633-0.001214i,-0.00093103-0.00084617i,-0.0012167-0.00090277i,-0.00056007+0.00076146i,-0.00030807+0.0021409i,-0.0006686+0.0011664i,-0.00010467+0.00012103i,8.4033e-05+0.0001868i,-0.00054836+0.0011296i,-0.001168+0.0010718i,-0.00080185+0.00013173i,0.00013012-0.00073276i,0.00052801-0.00095591i,0.0001907-0.0002534i,-0.00039452+0.00028107i,-0.00039504+5.3968e-05i,-0.00084122+0.00020692i,-0.0014656+0.00046817i,-0.0014769+0.00020298i,-0.00040604+8.4647e-05i,0.00048769+0.00022614i,0.00029548+0.00013584i,0.00024561-9.6867e-05i
-0.00020068+0.00018213i,-0.00014411+6.6542e-05i,-0.00036613+0.0011215i,2.2267e-05+0.0021102i,0.0010727+0.0024457i,0.0010687+0.0018248i,0.00042523+0.00041244i,-0.00046327+0.00052419i,-0.00019616+0.0012376i,0.00050881+0.0011405i,0.00074826+0.00054103i,0.00055326+0.00019089i,2.9478e-05+7.0973e-05i,-0.00019161-9.1411e-05i,-0.00059294-0.00015719i,-0.00073211-0.00012706i,-0.00063211+0.00015165i,0.00054173+0.00063982i,0.0012149+0.0011838i,0.0010328+0.00094834i,0.0007167+3.0786e-05i,-0.0001663-0.00020546i,-0.00015962-0.00095649i
-0.00024756-0.00046407i,0.00089875-0.00032908i,0.0017627+6.4383e-05i,0.0018193-1.0732e-06i,0.0019906+0.0014629i,0.001239+0.0023586i,0.00016011+0.0010303i,0.00046918-0.00018835i,7.4582e-05-0.00051022i,-0.00048252-0.00022556i,-0.00017933-9.0652e-05i,0.00035376-7.0257e-05i,0.00036593+0.00077829i,0.00010762+0.0015777i,-0.00019522+0.001275i,-0.0004149+0.00081493i,-0.00028503+0.00027974i,5.2687e-06-0.00037016i,-2.8074e-05+8.9243e-05i,-0.00014687+0.00059736i,-0.00040035+0.00076545i,-0.00048718+0.00032336i,-0.00015474-0.00039013i
-8.3939e-05-0.0014933i,-0.0014529-0.00090722i,-0.0024773-0.0015161i,-0.0019929+2.7524e-05i,-0.0014927+0.0023061i,-0.00070367+0.0025746i,-0.0005346+0.0015516i,-3.4312e-05+0.00042886i,0.0001542-5.3535e-05i,-0.00030612+0.00066689i,-0.0008045+0.00099587i,-0.00056771+0.0004174i,-0.00050182-0.00012193i,-0.00031307-0.00037123i,0.0002251-0.0001362i,3.8451e-05+6.8594e-05i,-0.0001017-0.00030786i,-1.7394e-05-0.00054897i,0.00021261+2.5777e-05i,9.4817e-05+0.00011002i,-0.00027064-0.00021234i,-0.00032842-0.00022488i,-6.7683e-05-0.00041364i
-0.00057113+0.00011597i,-0.00042655+0.0010589i,6.3669e-05+0.0014945i,-0.00028685+0.0021481i,-0.00077118+0.0031703i,-0.00011527+0.0028003i,0.00037912+0.0017399i,8.7531e-05+0.00069577i,-0.00042026-0.00020516i,-0.00025745-0.0010824i,0.00064543-0.0013121i,0.00050648-0.00024836i,-0.00083897+2.1037e-05i,-0.00080777-0.00025431i,-0.00046446+0.00037139i,-0.00077693+0.00039493i,-0.00044756+0.00037384i,0.00014938+0.00064109i,0.00035498+0.00064939i,0.00023534+0.00029766i,-0.00030462+9.5037e-05i,-0.00065772-0.00051872i,-0.00046826-0.0012405i
0.00292-0.0014762i,0.0017056-0.0017368i,0.00048396-0.0017152i,-0.0004302-0.00014762i,-0.00089289+0.002063i,-0.00065099+0.0021885i,-2.8548e-05+0.0010552i,-6.7621e-05+0.000457i,-0.00069335-0.00019917i,-0.00074806+0.00040743i,-0.00050293+0.00029861i,3.7692e-05-0.00097102i,0.00044349-0.00084586i,0.00011452-6.6457e-05i,-0.00024266-0.00024261i,-4.7545e-05-0.00015527i,0.00054337-0.00032424i,0.00025134-0.0004437i,-0.00013709+0.00044265i,0.00027012+0.00079632i,0.00046095+4.2746e-05i,0.00039175-0.00029816i,0.00036811+0.00015667i
0.00025265-0.0028424i,0.00087924-0.0010181i,-0.00014589-0.00047895i,-0.00091751+0.00022665i,-0.00043981+0.0018754i,0.00036369+0.0024459i,0.00057451+0.0010107i,0.00012379+4.7153e-05i,-0.00047914+0.00036844i,-0.0011718+9.5374e-05i,-0.00072087+0.00020667i,-8.6518e-05+0.00081371i,-0.00011135+0.00060748i,0.00040894+0.00040587i,0.00012342+0.00040286i,-0.00021395-0.0002369i,0.00023007-0.00048275i,0.00019252-0.00045683i,-0.00020735-0.00062767i,-0.00050961+0.00023879i,-7.8325e-05+0.0010081i,0.00045467+0.00013952i,-0.00017306-0.00064959i
0.00085563-0.0014988i,-1.5556e-05-0.00039042i,-0.0011266+0.00056347i,-0.0017065+0.001205i,-0.0011217+0.0021096i,-0.00058266+0.0022603i,0.00027842+0.0010706i,0.00082951-0.00010635i,-5.7184e-05+0.00074676i,-0.0013212+0.0014117i,-0.001116+0.00086906i,-0.0011303+0.00037341i,-0.0010149-3.4495e-05i,-0.00014103+0.00024357i,0.00036715+0.00045376i,0.00035634+0.00059841i,0.00031179+0.00012675i,0.00071596-0.0010079i,0.00080603-0.0012881i,5.0519e-05-0.00051892i,-9.9933e-05-0.00039747i,-0.00026828-0.00076231i,8.8025e-05-0.00056044i
-0.0012976-0.0015348i,-0.0013355-0.0012521i,-0.00076083+0.00038849i,0.00091253+0.00071055i,0.0020343+0.00092468i,0.0010327+0.001253i,-0.00020437+0.00054986i,0.00082153-0.00063329i,0.00093806-0.00069554i,-0.00017271-0.00067475i,-0.00049604-0.00040207i,-0.00025213+0.00056706i,-5.512e-05+0.00086697i,6.9629e-05+0.00024629i,0.00029554+0.00035728i,0.00034459+0.00076234i,0.00012052+0.00018895i,-0.00022358-0.00038637i,-0.00044243-0.00010974i,-0.00082748+7.5264e-05i,-0.0011271-0.00011288i,-0.0010778+0.00049691i,-0.00070548+0.00068222i
-0.0013249+0.00014149i,-0.0018241+0.0007608i,-0.002123+0.0024731i,-0.0017677+0.0036836i,-0.00054531+0.0033019i,0.00029007+0.0022562i,1.6002e-05-4.1645e-05i,-1.3762e-06-0.00077484i,-0.00038075-0.00035323i,-0.0005945+0.00068752i,-0.0010205+0.0010507i,-0.0012482+0.00035169i,-0.00062579+0.0007302i,-0.00014854+0.0010146i,0.00033586+0.0005092i,0.00096015+0.00040214i,0.00086879-6.2226e-05i,2.955e-05-0.00010111i,-0.0004918-3.3019e-05i,-0.00028303-0.00038888i,0.00046696-0.00064523i,-2.1844e-05-0.00063746i,-0.00089046+0.00028543i
0.00082155+0.0013655i,0.00055652+0.0014575i,0.0015997+0.00058758i,0.001988+0.00014657i,0.0010951+0.00044709i,0.0004503+0.00069332i,0.00057713+0.0005743i,0.00070899+0.00026169i,0.00023199+0.00069363i,-0.00046625+0.00072412i,-0.00080285-3.8834e-05i,-0.00052146-0.00057525i,0.00038863-0.00085573i,0.00026951-0.001059i,-0.00060499-0.00050532i,-0.00069748+0.00010566i,-0.00041292+0.00046691i,0.00017169+0.00059637i,0.00056849+0.00038459i,0.00023806+0.00055742i,-0.00028475+0.00070701i,-0.00025451+0.00050406i,-4.9028e-05+0.00024812i
0.0016116-0.000669i,0.00088453-0.00096697i,-0.00078703-0.0015486i,-0.0015386-0.0006734i,-0.00085568+0.00088127i,-0.00014285+0.0015823i,0.00058736+0.00045496i,0.00064086-0.0011885i,0.00053949-0.0012644i,0.00013034-0.0010768i,-0.00044846-0.00057807i,-0.00080198-0.00019514i,-0.0010097-0.00040081i,-0.0003893+0.00035951i,0.00010502+0.00058284i,0.00017597-0.00015911i,0.00033634-0.00061161i,0.00063023+0.00014628i,9.051e-05+0.00020928i,-0.00045591-0.00034474i,7.3256e-05+0.00016314i,-0.00019312+0.00031665i,-0.00091502-0.00070093i
0.00048546+0.00065685i,0.00071147+1.962e-05i,0.0011502-0.00076801i,0.00087656-0.00049052i,0.00040071-0.00023009i,-0.00033898+0.00048205i,-0.0011545+0.00065279i,-0.00040003-0.00018156i,0.00090224-0.00041218i,0.00061356+0.00026149i,-5.04e-05+0.00046109i,-0.00079869+0.00022661i,-0.0011253+0.00017001i,-0.00056037-0.00013524i,-0.00056563+0.00014535i,-0.00060921+0.00046994i,0.00050658-0.00038491i,0.0014226-0.00036763i,0.0011723+0.00078534i,0.00044252+0.00092636i,0.00057007+0.00037585i,0.00038567+3.1073e-05i,-0.00039011-0.00022263i
-0.0021665+0.001642i,-0.0012358+0.0018051i,-0.00090755+0.0033501i,1.4251e-06+0.0039086i,0.0010487+0.0036262i,0.0010524+0.0024249i,0.00090622+0.0012481i,0.00057574+0.0006744i,2.1057e-05+0.00023367i,0.00015922+0.00049857i,0.00080634+0.00071313i,0.0016172+0.00044965i,0.0015889+0.00014182i,0.00078773+2.1624e-05i,0.00020557-0.00024766i,0.00012061-0.00039271i,0.00040752-0.000754i,0.00060395-0.00019861i,0.00041682+0.0010781i,-0.00045978+0.0013656i,-0.00089462+0.00075889i,-0.00085858+0.0006568i,-1.7581e-05+0.00071835i
0.003599+0.00020703i,0.0032916+0.00018223i,0.0032459-0.00022515i,0.0022521-0.00065201i,0.00064269+0.00025933i,-0.00092992+0.0011546i,-0.0007815+0.0013992i,9.5145e-05+0.00097311i,-0.00048788+0.0006221i,-0.00090972-0.00016576i,-0.00062179-0.00080948i,-0.00019922-0.000258i,0.00034453+0.00040138i,0.00029459+0.0011606i,-0.00017222+0.00086717i,0.0005018-0.00019953i,0.00056101-0.00030181i,-0.00050443+0.00013555i,-0.00086797+0.00046048i,0.0002713+0.0004741i,0.00058318+0.00042641i,-1.9801e-05+0.000299i,-0.00013404+0.00091335i
-0.00089547+0.0004392i,-0.0018703+0.00010559i,-0.0014198-9.6406e-05i,-5.5503e-06-4.7766e-06i,0.0008081+0.00063634i,0.00022987+0.0015414i,-0.00034532+0.0012139i,0.00033815+0.00083856i,0.00083938+0.00018426i,0.0010564-0.00064025i,0.00052755-0.0010607i,-0.00025431-0.00050996i,-2.9785e-05+0.00042666i,-0.00021697+0.0004652i,-0.00044245+0.0003016i,-0.00017289-2.9664e-05i,-0.00018379-8.8504e-05i,0.00023318-0.00038108i,0.0010558-0.00027981i,0.00059952-0.00010459i,-0.00031104+0.00063603i,-0.00061392+0.00090078i,7.7799e-05-0.00018359i
0.00077005+0.0017794i,0.0011062+0.0013702i,0.001206+0.0005595i,0.0010485+0.0009453i,6.0684e-05+0.0023449i,-0.00090508+0.0023544i,-0.00024585+0.0012813i,0.00065347+0.00024362i,0.0002633-0.00068875i,0.00043595-0.00093306i,0.00061875-0.00078248i,0.00028588-0.00060877i,6.3941e-05-2.8115e-06i,-0.00031805+0.00033958i,-0.00092166+0.00030049i,-0.0012457+0.00018365i,-0.00069809-2.2799e-05i,7.9093e-05-0.00065654i,0.0006496-0.00085797i,0.00054231-0.00048956i,-0.00049838+0.00033935i,-0.00052455+0.00070115i,0.00017155+0.00028416i
0.00066555+0.00026665i,0.0006382+0.00032897i,0.0013424-0.00036881i,0.0010688-0.00078683i,0.0010023-0.00017844i,0.00087898+0.00078598i,-0.00029175+0.00048776i,-0.00044112-0.00042369i,-0.00043647-0.00071371i,-0.00069308-0.00060703i,-0.0005598-0.00043379i,0.00024531-0.0005281i,0.0017646+1.339e-06i,0.0018051+0.00025173i,0.0010087-0.00037939i,0.0010257-0.00043449i,0.00080486-5.4948e-05i,0.00047875+2.628e-05i,0.00010569+0.00033191i,-5.054e-05+0.0005145i,0.00012633-0.00063567i,0.00021813-0.0010377i,0.0007536-2.1635e-05i
0.00041104+0.00076811i,-0.00022053+0.0016299i,-0.00019353+0.0014522i,5.0172e-05+0.00049741i,0.00028994+0.00018351i,0.00056587+0.0008862i,0.0005976+0.0012798i,0.00048762+0.00058963i,0.00067162-0.00051444i,0.00049975-0.00059973i,0.00012863+0.00044391i,-0.00022809+0.0012542i,-0.00065462+0.0010886i,-0.00089087+0.0010299i,-0.00094309+0.0010112i,-0.00038835+0.00028313i,0.00032213-0.00063577i,0.00089212-0.00084768i,9.5676e-05-0.00037239i,-0.00072903-4.8342e-05i,-0.0005602-0.00061952i,-0.00059487-0.00053465i,-0.00060325+0.00022419i
