-0.00029297+0.00088866i,0.00050414+0.0001569i,-6.8664e-06-0.00039778i,-0.0010531-0.00013072i,-0.0010307-0.00041722i,-0.00060405-0.00093858i,0.00015434-0.00035011i,0.00064607+0.00091759i,0.00051045+0.0014441i,0.00046122+0.00038357i,0.00018123-0.00088979i,-0.00018793-0.00099986i,-0.00060991-0.00037011i,-9.0909e-05+0.00053854i,0.00042845+0.0011815i,0.00075585+0.0011312i,0.0006762+0.00085929i,-0.00010211+0.0011233i,-0.00037458+0.0010372i,0.0002681+0.00053687i,0.00071435+0.00048212i,8.9011e-05+0.00084124i,2.3615e-05+0.00086418i
-0.00069732+0.0010159i,2.8698e-05+0.00097084i,0.00073498+0.0024537i,0.0010918+0.0026466i,0.0018891+0.0011661i,0.0022657+0.00031637i,0.0011743-4.8977e-05i,0.00019838+0.00012207i,0.00031814+0.00061394i,0.00022196-3.4967e-05i,0.00012418-0.00089312i,6.8678e-05-0.0016294i,-0.00045158-0.0018487i,-0.00159-0.00091525i,-0.00096985-0.00042537i,0.00046175-0.00041383i,0.00049585-0.0002703i,0.00036818+4.0368e-05i,-0.00017201-0.00016783i,-8.2125e-05-0.00020957i,-0.00014166-4.7913e-05i,-0.00028188-0.00019552i,8.8675e-06-0.00019752i
-0.00034788+0.00046325i,-0.00036793+0.00054689i,-0.00026309+0.00020051i,0.00035709+0.00080377i,0.00020506+0.0011771i,-0.00050606+0.0004546i,-0.001342+0.00032565i,-0.0011034+0.0007191i,-0.00048134+0.00048647i,1.3983e-05+0.00054649i,0.00044276+8.8487e-05i,0.00098929-3.0652e-05i,0.0012505-0.0001332i,0.00030842-0.00074873i,-9.5373e-05-0.00064124i,0.00032946-0.00094664i,0.00015197-0.0012377i,0.00069834-0.0009413i,0.00066847-0.00036881i,-0.00027528-0.00043855i,0.0004366-0.00099634i,0.00097302-0.00057783i,0.00048653+0.00035951i
-0.00079827-0.00052366i,-0.0014448-0.001877i,-0.0020046-0.00066664i,-0.0007272+0.0013383i,0.00011579+0.001596i,0.00065704+0.00062009i,0.001685-5.6669e-05i,0.0017293+0.00070897i,0.00083465+0.0011371i,0.00072125+0.0012972i,0.00038202+0.00085245i,0.00027298+0.00013818i,-0.00017592-0.00021479i,-0.0012179-0.00063063i,-0.00076238-0.00064545i,-9.0308e-05-0.00078895i,-0.00049276-0.00067756i,-0.00064996-0.00061521i,-0.00013852-0.00066857i,-0.00040634+9.0907e-05i,-0.00045008+0.00054545i,-0.00015932-9.7413e-05i,1.209e-05-0.00075153i
0.00082198+0.00067682i,0.00089296+0.00096468i,8.6271e-05+0.00037389i,-0.00044705+0.00041577i,-0.00066613+0.00014104i,-0.00071063-1.5375e-05i,0.00035564-8.9932e-06i,0.00077766-0.00020553i,0.00082291+0.00028223i,0.00054214+0.00041501i,4.4388e-07-0.00010175i,-0.00041499-0.0006516i,-5.3296e-05-0.0006202i,8.5758e-05+0.00012408i,0.00024673+0.00034215i,0.0011896+0.00014865i,0.0010741+0.00070057i,0.00023511+0.0014505i,0.0003791+0.0011119i,0.0012917+0.00021205i,0.0015052-0.00040226i,0.00050514-0.00020809i,-0.000699-0.00011786i
-0.00093197-2.7164e-05i,-0.0018773-0.00068121i,-0.0023013+0.00024515i,-0.0023256+0.00050066i,-0.0022383+0.00072058i,-0.0017546+0.0017221i,-0.00082676+0.0017799i,0.00011533+0.0011685i,0.00061868+0.00080944i,0.00075134+0.0010212i,-2.2527e-05+0.00078779i,-7.8415e-05-0.00014886i,0.00044742-0.00055716i,9.4322e-05-2.1368e-05i,0.00038417+0.00045087i,0.00046406+0.00021478i,-0.00014885+0.00011359i,-0.00063558+0.00027801i,0.00058516+0.0009269i,0.0013162+0.0012587i,0.0013987+0.00050865i,0.0013225+0.00025808i,0.00039746-1.0026e-05i
-0.0011615+4.4221e-05i,-0.00014449-0.00037883i,0.00053182-0.00075182i,0.00050054-0.00087374i,0.00081757-0.00024896i,0.0013187+0.00073575i,0.0007204+0.001168i,-0.00017073+0.00057382i,0.00048923+0.00010924i,0.0014088-0.00013177i,0.0012258+0.00029741i,0.000919+0.00043172i,0.00044754-0.00039898i,-6.1065e-05-0.0005607i,0.00041218-0.00028401i,0.0001761-0.0005568i,-0.00087112-0.00027865i,-0.0010282+4.5005e-05i,-0.0001632+0.00067923i,0.00034432+0.00039303i,7.5479e-05-3.264e-05i,0.00012409-9.6678e-05i,-0.00039035+0.00022926i
-0.0013644-0.00091089i,-0.0012577-0.00029726i,-0.0011058+0.00020146i,-0.0009849+0.0005761i,-0.00048886+0.00061829i,0.00024363+0.00073803i,0.00036801+0.00039725i,-5.2166e-05-0.00032921i,0.00018828-0.00060393i,4.4843e-05-1.9218e-06i,0.00021862+0.00094024i,0.00048597+0.0011672i,0.00014469+0.00030808i,0.0003523+0.00011948i,0.00041767+0.00057867i,0.00064003+0.00013929i,0.00054076-0.00068063i,4.584e-05-0.00071109i,-0.00049261+0.00030788i,-0.0010613+0.00024984i,-0.00088902-0.00069535i,-0.00035157-0.0011834i,-1.2182e-05-0.00069769i
-0.00080624-7.0486e-06i,-0.00079561-0.00099515i,-0.00038288-0.00067252i,-0.00036958+0.00065625i,0.00025585+0.00088687i,0.00059102+0.0011411i,0.0011077+0.00072367i,0.0011532+0.00020284i,0.00095022+0.0004005i,0.00089945-3.5941e-05i,0.00079461-0.00068535i,0.00053034-0.00081524i,0.0006731-0.00054792i,0.00096104+0.00038418i,0.0005264+0.00064694i,1.0085e-05+0.00038756i,-0.0001102+0.00037401i,-0.00037675+0.00029052i,-0.00011024+0.00048924i,0.00034245+0.00016989i,-0.00011333+7.3571e-05i,5.3864e-06+0.00025132i,0.00038295+0.00021643i
-0.00031902-0.00078479i,-3.2005e-05-0.00085893i,-0.0017082-0.0016076i,-0.0019945-0.0014544i,-0.00099457+4.127e-05i,0.00015452+0.00068598i,0.0011693+0.00017463i,0.00077078+0.00030822i,7.0808e-05+0.0010552i,0.00073602+0.00086138i,0.0013735+0.00057849i,0.0012361+0.00095875i,0.00081841+0.00061153i,0.00054072+0.00012431i,0.00029068-0.00010085i,-0.00016607-0.00072201i,-0.0004208-0.00066696i,-0.00016899+8.8014e-06i,-0.00026338+0.00084282i,-0.00035862+0.00096692i,-0.00013103-9.366e-05i,0.0002121-6.6355e-05i,0.00029803+0.00034519i
