-0.0091061-0.00030831i,-0.0087399+0.00040487i,-0.007846+0.003519i,-0.0043326+0.0044713i,0.00036293+0.0031251i,0.0017434+0.00071105i,0.00081766+2.8005e-05i,0.0011315+0.0011434i,0.0014983+0.0014054i,0.0021742+0.0008711i,0.0023379+0.00061881i,0.0018548-7.3044e-05i,0.001048-0.00075322i,0.00065773-0.00080644i,0.00025132-0.00071752i,-0.00046493-0.00060591i,-0.0001436+0.00016586i,0.00044826+0.00084038i,-4.9839e-05+0.0014523i,-0.0004995+0.0010728i,-0.00044758-0.00019481i,-0.00041261-0.00028903i,0.00020304+0.0007396i
0.0014382+0.0013999i,0.0012846+0.00077584i,0.0013379-0.00064097i,0.00080235-0.00083595i,-0.00013178-0.0010222i,-0.0011453-0.00033352i,-0.00099574+0.00012194i,-0.00020602-0.0001278i,0.0005333+7.4948e-05i,0.00053035+0.00018611i,0.00033084-0.0005586i,0.00023437-0.00086299i,8.5967e-05+0.00031336i,-0.00058567+0.00092464i,-0.00052097-0.00019222i,-8.1384e-05-0.0012425i,-0.00041801-0.00070209i,-8.1464e-05-9.9217e-05i,0.00057227-0.00029273i,0.0005649-0.00054099i,9.0596e-05-0.0006296i,0.00020376-0.0005343i,0.00063546-0.0006803i
0.0022619+0.00030021i,0.0022228-0.00067264i,0.0014806-0.002329i,0.00048584-0.0027001i,-0.00080265-0.0025622i,-0.0015883-0.0013629i,-0.0010437+0.0006566i,-0.00049435+0.0012836i,-1.9324e-05+0.00064968i,-6.4175e-06+1.2011e-05i,-0.00054048+0.00019354i,-0.00043168+0.00049854i,-0.00045401+0.00068946i,-0.0010638+0.00066085i,-0.00051157+9.8904e-05i,-7.2265e-05-0.00032763i,-0.00066038-0.00067884i,-0.00025717-0.0002087i,0.00050858+0.00052137i,0.00091094+0.00037182i,0.00043386+9.9837e-05i,0.00011147-0.00025327i,0.00016128+7.7943e-05i
0.00041933+0.0017214i,4.2322e-05+0.0024762i,0.00044004+0.0032105i,-0.00017645+0.001547i,-3.1172e-06-7.4843e-05i,-0.00019262-0.00060602i,-0.0010611+0.00017305i,-0.00072653+0.00072201i,0.00040757+0.000131i,0.0002173+3.7386e-05i,-0.00039627+9.3279e-05i,0.00012059-0.00024703i,-9.8795e-05-0.00040128i,-0.00073516-7.2408e-05i,-0.00062429+0.00032346i,-0.00018071+0.00047798i,-1.9385e-05+0.00060875i,-0.00048385+0.00041717i,-0.0011282-4.7839e-05i,-0.0010372-1.2152e-05i,0.00015395+0.00039382i,0.0014206+0.00013444i,0.0014382-0.00045972i
0.00056239+0.00035207i,0.0017852+0.0004086i,0.0021026+0.00054673i,0.00038969-0.0012813i,-0.00066463-0.0027986i,-0.00026703-0.00096821i,-0.00030711+0.00065468i,-7.33e-07+0.00064046i,-0.00019133-0.00013878i,-0.00073921-0.00046124i,-0.00025278-2.3914e-05i,4.7906e-05+0.00012633i,-7.0059e-05-0.00010124i,-0.00061628-6.338e-05i,-0.00095135+0.00036634i,-0.00031928-0.00019178i,-5.1819e-05-0.00010528i,-0.00053096+0.00032015i,-0.00028505+0.00041454i,5.9272e-05+0.00049946i,-0.00041443+0.00027319i,-0.00037023-0.00027583i,1.4273e-05-0.00079128i
0.0015647-0.0013018i,0.0017552-0.001954i,0.0021053-0.001861i,0.0005832-0.0016212i,-0.00056801-0.0011957i,-0.00013906-0.0007466i,0.000133-0.00036064i,-0.00028115-0.00042906i,0.00013779-0.00018154i,0.00077741+0.00017504i,0.00060654-0.00055925i,0.00031492-0.00059643i,0.00026155-0.0001402i,8.593e-05-8.461e-05i,-0.00080752-7.7967e-05i,-0.00099986+0.0002264i,-0.00082314+0.00040533i,-0.00089379+0.00053239i,-0.00043944+0.00091088i,-8.0693e-05+0.0013646i,3.9067e-05+0.00066278i,0.00020329+0.00018165i,-0.00017491+0.00030576i
-0.0004201-0.00053433i,-0.00090138-0.00075073i,-0.0011865-0.00023119i,-0.0010035-0.00065915i,-0.0010736-0.0012586i,-0.001289-0.0007572i,-0.0010341+0.00023418i,-0.00019712+0.00011734i,-7.2515e-05-0.00026297i,-0.00076934+3.6677e-05i,-0.00042564+0.0001799i,-0.00034967+0.00032722i,-0.00049286+0.00047494i,-0.00047083+0.00033673i,-0.00035839+0.000477i,-0.00020813+4.4428e-05i,-0.00016957-0.0001958i,-8.5088e-05+0.00032715i,-0.00044343-0.00040643i,-0.00049001+0.00014904i,-0.00032209+0.00090424i,9.5062e-05+0.00082482i,0.00041605+0.00054389i
-0.00027939+0.0015852i,-0.00081321+0.0020792i,-0.00083798+0.0016483i,-0.00092821+0.00070639i,-0.00089965-0.00083815i,-0.00062575-0.0018944i,-0.00027712-0.0012194i,0.00051905-6.2807e-05i,0.00073968+0.00052561i,0.00072235+0.00075526i,0.000226+0.0001911i,-0.00019044-0.00031513i,-3.7442e-05-6.6003e-05i,-0.00017092-0.00066518i,-0.00030992-0.0007955i,-0.00029241-9.3633e-05i,2.8423e-05-0.00086348i,3.5127e-05-0.0010133i,-0.00017285+5.9912e-05i,9.2719e-05+0.00012669i,0.00016375-0.00029261i,-0.00023035+4.8017e-05i,-6.9779e-05+0.0011237i
0.0028111-0.00085706i,0.0031472-0.001448i,0.0029274-0.0016305i,0.0013525-0.0010737i,-0.00056378-0.0010443i,-0.00075666-0.0012921i,0.00027108-0.00088013i,0.00051654-0.00032386i,0.00031782+0.00026936i,0.00025704-3.1321e-05i,0.00013475-0.00044852i,1.4602e-06+2.1607e-06i,-0.00060333+0.0012719i,-0.00095314+0.0004481i,-0.00037683-0.0012559i,-0.00014732-0.0010931i,2.7004e-05-0.00042516i,8.0591e-05+0.00016139i,-0.00014194+0.00065773i,-0.00036885+0.00076437i,-0.00010126+0.00080645i,0.00018428+0.00064105i,0.00020001+0.00033212i
8.7169e-05+0.0012661i,0.00088094+0.00079118i,0.00082879-9.5864e-06i,-0.00073692-0.0015213i,-0.0017246-0.0016512i,-0.0022374-0.00062337i,-0.0015215+0.00043126i,-0.0010095+0.00070284i,-0.00031648+0.00062836i,0.00091308+0.00089787i,0.00075677+0.00095692i,-0.0002589+0.00033559i,-0.00096406-0.00041674i,-0.00054576-0.00043188i,3.0319e-05+2.761e-06i,-0.00031725-0.00010691i,-0.00023932+0.00018307i,0.00043738+0.00071826i,0.00095834+0.00080872i,0.00098486+0.0009886i,0.00069385+0.00046456i,9.8196e-05+8.7132e-05i,-0.00052065+1.7093e-05i
-0.00011222-0.001508i,0.00059228-0.001173i,-0.00010327-0.00063882i,-0.00012857-9.7289e-05i,6.7769e-06-0.00057858i,-0.00040372-0.00096627i,-0.00075299-0.00055933i,-0.00070449-0.00037821i,-0.0005265-0.00091799i,-0.00083968-0.00070322i,-0.0013092+3.5497e-05i,-0.00084835+0.00060119i,-0.00067305+0.0005837i,-0.0011207-6.9581e-05i,-0.0011503-0.00011121i,-0.00076441-0.00034133i,-0.00055509-0.00078914i,-0.00026392-0.00082796i,0.00051122-0.00049442i,0.00017738+0.00022435i,1.3555e-05+0.00054731i,9.4803e-05-0.0002288i,0.00011336-0.00071472i
0.00093801+0.00053673i,-0.00023761+0.0005507i,-0.00012439+4.4689e-05i,-0.00076107-0.0014616i,-0.0012859-0.0021878i,-0.0012245-0.00074486i,-0.0013171+0.00033198i,-0.0012036-0.00014387i,-0.00148+0.00015121i,-0.0010194-1.7022e-05i,-4.0935e-05-0.00011497i,-9.0701e-05+0.00011866i,-0.0005128-3.5034e-06i,-0.00044569+0.00025553i,-2.2642e-05+0.00051386i,-4.7502e-05+8.097e-05i,-0.0005686+0.00045523i,-0.00099427+0.0007741i,-0.00084402+0.00056104i,-0.00014542+0.00033538i,0.00059186+0.00040242i,0.00052292+0.00023709i,0.00071766-3.0049e-05i
-0.0020314-0.00016469i,-0.001069-0.0007142i,7.9219e-05-0.00037042i,0.0012042+0.00020834i,0.00030536+0.00050199i,-0.0011762-0.00041351i,-0.0016183-0.00070078i,-0.00073283+0.00018858i,1.9241e-06+0.00091675i,0.00096394+0.0010876i,0.00098683+0.00069022i,0.00049425+0.00020311i,3.8426e-05-0.00027519i,-0.00027237-1.0792e-05i,-0.00020899+0.0004811i,-0.00016327+0.00031663i,0.00034277+3.0595e-06i,0.00026708+0.00033759i,-0.00055332+0.00010976i,-0.00017367-0.00028037i,0.00085123+0.00026596i,0.00082065+0.00053633i,0.00063381+0.00042877i
-0.0010178-0.00070024i,-0.00087232-0.00013353i,-0.00090831+0.00022764i,-0.00098145-0.00046203i,-0.00052153-0.0002407i,-0.00056356+0.00076426i,-0.0010692+0.00081818i,-0.00035924+0.00068521i,0.00064856+0.00080029i,0.00070544+0.00053566i,0.00012811+0.00011305i,-0.00079164-0.00025426i,-0.00098864-0.00030277i,-0.00092773+0.00022155i,-0.00034954+0.00025141i,-2.5828e-05-0.00035695i,-0.00065919-0.00089265i,-0.00035695-0.00051993i,0.000103+0.00030721i,-0.00026547+0.00083585i,7.2243e-05+0.00042288i,0.0003485-0.00035247i,-0.00019664-0.00080765i
0.0020506-0.0008861i,0.001851-0.0010858i,0.0022118-0.0019135i,0.0014762-0.0020627i,5.0185e-05-0.0018691i,-0.00033889-0.00087003i,-0.00046578+0.00051468i,-0.00047356+0.00092738i,-0.0001647+0.00055213i,-3.9695e-05-0.00013728i,-2.3102e-05-0.00050928i,0.00028956-0.00061787i,0.001146-0.00055982i,0.0010383+0.00022811i,0.00031134+0.00059748i,-0.00021601+0.00034152i,-0.00025032+0.00039463i,0.00036285+0.00013113i,0.00056659-0.00025275i,0.00025592-0.00052059i,0.00041304-0.00020081i,0.00079694+0.00018178i,0.00049011-0.00084799i
-0.0027048-0.00018227i,-0.001591+0.00012415i,-0.0013352+0.001035i,-0.0018305+0.00035344i,-0.0011012-0.00050839i,-0.00084853-0.00062502i,-0.00088475-0.00019831i,-0.00012111+0.00065794i,-0.00027343+0.00028129i,-0.00027688-0.00057077i,0.0004929-0.00043345i,0.0013545+0.00022269i,0.00084251+0.00044594i,-0.00066107+0.00030722i,-0.0010111-0.0003608i,-0.00028732-0.00078429i,-7.0979e-05-0.00015364i,-0.00045988-0.00023106i,0.00011391-0.00037642i,0.00068794+0.00024163i,0.00051042-3.4415e-05i,3.9217e-05-0.00016448i,-0.00041377+0.000275i
-0.001258-0.0025371i,-0.0011839-0.0023513i,-0.0017225-0.0015107i,-0.0015693-0.00095531i,-0.0010008-0.00093888i,-0.0008436-0.00029171i,-0.000299+0.0002871i,0.00018566+6.9535e-05i,-0.00011428+8.2739e-05i,-0.00024684+5.0039e-05i,0.0001524-0.00035004i,0.00049873-0.00041536i,0.00053655-6.0765e-05i,-0.00024765+0.00083948i,-0.00044527+0.00086167i,-0.00039455+7.9877e-05i,-0.0006475-0.00020744i,-1.7336e-05+0.00017707i,0.00012018+0.00039363i,0.0004017-0.00011989i,0.00089659+7.8632e-05i,0.0005403+0.00031094i,0.00049245-0.00042817i
0.0017083+0.0017671i,0.0018386+0.0017191i,0.0015808+0.0010235i,0.0011922-3.0857e-05i,0.00031883-0.00038557i,-0.00049109-0.00079296i,0.00010767-0.00086884i,0.00033738-0.00023445i,0.00016006-0.00032983i,0.00032125-0.0003989i,0.00040543-0.00014954i,0.00036118-0.0004587i,0.00070388-0.00046743i,0.00053286-0.00047387i,-0.00019064-0.0005354i,-0.00053498-0.00079006i,-0.00066093-0.00095814i,-0.00052486-0.00052158i,-8.297e-05-0.00025311i,0.00025257+0.00030822i,0.00058003+0.00011857i,0.00029539-0.00064364i,0.00035419-0.00037227i
-0.00059324+0.0001993i,0.00052262-0.00018225i,0.0013656-0.0010073i,0.0016583-0.0011288i,0.00086527-0.0015182i,-8.0975e-05-0.0012855i,-7.6941e-05-0.00033713i,0.00041043-0.0001592i,0.00077054+0.00032422i,0.00054591+0.00027656i,-0.00033739+7.5638e-05i,-0.00083668+0.00047639i,-0.00051781+0.00053174i,0.00030264+0.0002789i,0.000368+0.00053374i,-0.00020952+0.00089408i,-0.00038176+0.00047263i,-0.00027831+0.00013904i,-0.00013631-0.00031027i,-0.00025079-0.00056625i,-0.00023869-0.00032938i,-0.00035766+0.00033484i,0.00014561+0.00098188i
-0.00013445-0.00051846i,0.00026997+0.00022728i,2.5778e-05+0.00034079i,-0.00046997-0.00034718i,-0.00064318-0.0010108i,-0.00028825-0.00032201i,-3.8428e-05+0.0010143i,-0.00049496+0.00089309i,-0.00099077+0.00030705i,-0.00013218-0.00028852i,0.00056826-0.00067687i,0.00074813-0.00019244i,0.00012528+0.00041233i,-0.00096853+0.0004392i,-0.001137-0.00024833i,-0.0009655-0.0007392i,-0.00032979-0.00040844i,0.00032872-0.00083194i,-0.0002982-0.0013468i,-5.8269e-05+3.1574e-05i,0.00032036+0.0011984i,-3.0882e-05+0.00091596i,0.00034087+3.0725e-05i
-0.00040692-0.00035485i,0.00037681-0.00023505i,0.00049731-0.00052859i,-2.5822e-05-0.00074296i,0.00022827-0.00088965i,0.00033089-0.00080916i,8.4033e-05+9.9764e-05i,-0.00015382+0.00025799i,0.00012215-0.00012818i,0.00025675-0.00039851i,-8.5609e-05-0.00030009i,-0.00082572+0.00031551i,-0.00049334+0.00029826i,-0.00015423+3.1871e-05i,-2.7427e-05-0.00065391i,0.00016888-0.00082448i,5.2058e-05-0.00026471i,-7.4748e-05+9.7596e-06i,0.00017405-0.00020416i,0.00019399-0.00041088i,-0.00021855+0.00026448i,-0.00017753+0.00028736i,6.0431e-05-4.272e-05i
0.00036201+0.0032207i,0.0002202+0.0021401i,0.00086374+0.0011713i,0.00097908-0.00066719i,7.7002e-05-0.0023173i,-0.00086062-0.0017912i,-0.00013861-0.00091079i,0.0004493-0.00043733i,-0.00044392-0.00039747i,-0.00062641-0.00058277i,6.591e-05-0.00033541i,-0.00037807+1.3097e-05i,-0.0011226-0.00025675i,-0.0012592-0.00037053i,-0.0012163+0.00022871i,-0.001132+0.00069394i,-0.0009591+0.00074636i,-0.00022256+0.0006186i,0.00021277+0.00043413i,0.00021119+2.4799e-05i,-0.00043582+0.0002129i,-0.00083912+4.0444e-05i,-0.00050153-0.00025368i
-0.00039177+0.0019664i,0.00047868+0.0010597i,0.0013584+0.0014724i,0.0014333+0.00035713i,0.0010049-0.0019585i,0.00075489-0.0021827i,0.00071065-0.00038567i,0.00099217+0.00061785i,0.001788-0.00025892i,0.0021517-0.0011342i,0.0018041-0.0010766i,0.00082078-0.00022916i,-8.8437e-05+0.00063263i,-0.00075103+0.00041594i,-0.00092321-0.0004565i,-0.00059777-0.0007406i,-0.00025689-0.00014357i,-0.00058765+3.2091e-05i,-9.7375e-05+7.3077e-05i,0.00015956+0.00041999i,-0.00021061+0.00082399i,-0.00014083+0.00079839i,0.00018113+0.00036919i
0.00046666+0.00047649i,0.00082518+0.00032291i,0.00042519-3.6358e-05i,7.2687e-05-0.00033935i,-0.00062734-0.00077187i,-0.0015754-2.094e-05i,-0.0010173+0.00039178i,0.00017115-0.00051895i,0.00064289-0.0010778i,0.00071053-0.00079712i,0.00044535-9.4134e-06i,-8.9959e-05+0.00055863i,-0.00063939+0.00057821i,-0.0005769+0.00072356i,-0.00036738+0.00059344i,-0.00054558-0.00077337i,0.00021537-0.00070377i,0.0012199+0.00063788i,0.0012744+0.00098811i,4.7381e-05+0.00077326i,-0.00017138+0.000605i,-5.0195e-05+0.00052273i,-0.00028598-0.00025292i
0.00038049+0.00069856i,0.0010321-0.00013669i,0.0014134-0.00076759i,0.001511-0.0011047i,0.00067809-0.0012202i,-8.1746e-06-0.0009203i,-2.4268e-05+0.00023705i,-0.00070313+0.00093209i,-0.00047495+0.00061985i,0.0005311+0.0003621i,0.0011604+0.00016516i,0.00081873-0.00053791i,-5.9047e-05-0.00079336i,-0.00059424-0.00066593i,-0.00087987-0.00086578i,-0.0010929-0.00090994i,-0.0013279-0.00060529i,-0.00092767-0.00011613i,0.00027421+0.00045954i,0.00099896+0.0001605i,0.00063573-0.00019793i,0.0002238+0.00023077i,0.00042145+0.00046135i
-0.00053058+0.002598i,-0.00035089+0.0024133i,-0.00016056+0.0019511i,-8.7316e-05+0.001462i,-0.00047561+0.00014122i,-0.00041452-0.00037625i,0.0002817+9.7553e-05i,3.5326e-05+0.00012027i,7.7151e-05-0.00022358i,0.00015787-0.00033264i,-4.2818e-05-0.000147i,0.00011409+0.00026604i,-5.1341e-05+0.00026418i,-4.1282e-05-0.00030632i,0.00012023-0.00032859i,-0.00017275+0.00040442i,-9.1325e-05+0.00053954i,0.00028912+0.00027412i,0.00018904+0.00023066i,-0.00071651-0.00020406i,-0.00063511-0.00086347i,0.00020485-0.00088267i,0.00021535-0.00029323i
0.00041835+0.00049313i,-0.00016812+0.00024325i,-0.0002411+0.00022129i,5.0243e-05+0.0005142i,-0.00016723+0.00011518i,-0.00060187-0.00024167i,-0.00047553-0.0007626i,0.00022705-0.0004291i,0.00085677+0.00026959i,0.0011254-0.00034289i,0.0006238-0.00092117i,0.00039055-0.00029509i,0.00056404+0.00011917i,0.00040416+0.00012408i,0.0003359+0.00060062i,-0.0002753+0.00035237i,-0.00096585-0.0004402i,-0.00088497-0.00079119i,1.4387e-05-0.00047575i,0.00059227+0.00039238i,0.00024414+0.00094776i,-0.00018601+0.00012984i,-2.2613e-05+5.9191e-05i
-0.001967-0.0012942i,-0.0017553-0.0015971i,-0.0017533-0.00086773i,-0.0012912+0.0001099i,-0.0011833-0.00040338i,-0.00053328-0.00045184i,-7.3503e-05-0.00070835i,2.6016e-05-0.00046422i,-0.00029328-0.00021084i,-0.0010958-0.0006838i,-0.0011038-0.0001208i,-0.00040804+0.00085992i,-0.00052157+0.00055987i,-0.0003711-0.00023875i,-9.8804e-05-0.00015551i,-0.00013951+0.00050941i,-0.00037635+0.00042957i,-0.00044839+2.5529e-05i,-0.00030842+0.00023969i,-0.00017518+5.3028e-05i,0.00028683-0.00058941i,-7.8388e-05-0.00078187i,-2.1893e-05+4.9964e-05i
0.000103+6.94e-05i,0.0010427+0.00016739i,0.0023725+0.00031107i,0.0021052-0.00091032i,0.00049707-0.0017986i,-0.00018291-0.0010883i,0.00048591-0.00022903i,0.0013173+0.0007176i,0.00067571+0.00088213i,0.00044886+0.00026614i,0.0013945+2.4751e-05i,0.0011046+0.00033036i,9.926e-05+0.00023426i,-0.00032019-0.00042938i,-0.00061667-0.00051094i,-0.00028781-0.00066103i,0.00052784-0.0007403i,0.00074436-0.00056247i,0.00028257-0.00023154i,-0.00039075-0.00043454i,0.00025715-0.00071683i,-0.00026626-0.00027288i,-0.00096893+0.0001118i
0.0035897+0.0010154i,0.003604+0.001568i,0.0026942-0.0002673i,0.0011762-0.0019771i,-0.00073035-0.0024068i,-0.0015794-0.0012647i,-0.00089119+0.00020744i,-0.00018495+0.00015661i,0.00028095-0.00014724i,0.00036508+0.00029868i,-4.0473e-05+0.00018346i,-7.3494e-05-0.0002923i,0.00046666+0.00014806i,0.00036254+0.0005905i,-0.00014207+0.00051009i,0.0002306-0.00013103i,-9.1797e-05-0.00031903i,-0.0005741-0.00022117i,-0.0004748-0.00054727i,-0.00012244-0.00078406i,0.00032535-0.00038136i,0.00081734+0.00034891i,0.00017386+0.00047955i
-0.00096245+0.00041306i,-0.0014206+0.00027155i,-0.00084743+0.00059881i,-4.2039e-05-0.00064008i,-0.0002039-0.0017323i,-0.00090195-0.0013271i,-0.00048583-0.0002864i,0.00013817+0.00064612i,5.3292e-05+0.00062801i,0.00060623-0.00054292i,0.0013262-0.0012442i,0.0012998-0.00058089i,0.00019506-0.00047496i,-0.00080851-0.001116i,-0.00090704-0.00092199i,-0.0010796-0.00012431i,-0.00079777+0.00017944i,-9.1623e-05+0.00057885i,-0.00065324+0.00062058i,-0.00055143+0.00031297i,0.00037537+0.00050393i,0.00020063+0.00038181i,-0.00058688+0.00018105i
