-0.0010584+0.0016819i,-0.0012096+0.0021611i,-0.0011852+0.0010207i,-0.00039361+0.00050336i,0.00045821+0.00064628i,0.00081086+0.0008408i,0.00037427+0.00026612i,-0.00010688+0.00051658i,-0.00054465+0.00089723i,-0.00061166+6.4209e-05i,-0.00048407-0.00010983i,-0.00080672+8.8276e-05i,-0.00076223-0.00017593i,6.2438e-05-0.00051452i,0.00082597+7.4504e-06i,0.00048254+0.00046852i,-0.00015217-0.00033313i,-0.00012762-0.00076063i,-0.00054122+2.9983e-05i,-0.00073368+0.00023742i,-0.00073252-0.00018853i,-0.00021339-0.00025923i,0.00015562+0.00026417i
0.00017032+0.0015343i,0.00026175+0.00017424i,0.00020922-0.00060572i,-0.00035021-0.00013261i,-0.00067127-0.00010331i,-0.00011916+0.00012419i,0.00060473-0.00028401i,0.00082728-0.0006821i,0.00011337-0.00073428i,-0.00013045-0.00077701i,6.6648e-05-0.00055284i,0.00020244-0.00040404i,-0.00014444+7.2245e-05i,-0.00040401+0.00064882i,-0.00022853+0.00066173i,7.1167e-06+0.00017407i,0.00028116-0.00019541i,0.00040477-0.00024487i,-2.7847e-05+0.00043998i,-0.00065278+0.00055689i,-0.0003922+0.00027683i,-0.00025191-0.0001617i,-0.00076022-0.00077469i
0.00044644+0.00015139i,-0.00042102-0.00013586i,-3.9423e-06+0.00072187i,0.00095249+0.0003217i,0.00078823+0.00029902i,-0.00037618+0.00031931i,-0.0010914+0.00028902i,9.7415e-05+0.00024534i,0.00095074-4.2418e-05i,0.00052781+0.00011884i,0.00046622+0.00011744i,-2.1591e-05+0.00025707i,-0.00081863+0.00055789i,-0.00041892+0.00018997i,0.00045815-0.00077948i,0.00016127-0.0004918i,-0.00047253-0.00034165i,-0.00078656-0.00039078i,-0.00080878-0.00031262i,-4.6155e-05-0.00016368i,0.00027427+0.00037859i,-0.0004188+0.00027934i,-0.0005822-0.00023086i
0.0011313+0.00089454i,0.00086008+0.00051829i,-0.0001635+0.00042584i,-0.00086968+0.0012599i,-0.00045282+0.0016069i,-0.0007778+0.00038573i,-0.00073835+0.00011094i,0.00041284+0.00032883i,0.00096805+0.00065478i,0.0008275+7.9175e-05i,0.0003316-0.00071021i,-0.00037764-0.00036954i,-0.00059388-0.00066824i,-0.00039702-0.00080366i,-0.00087591-0.00039707i,-0.0010876-0.00018042i,9.8332e-06+4.3276e-06i,0.00056361-0.00012428i,0.00065283+0.00063378i,0.0005234+0.001218i,0.00018642+0.0010018i,0.00021436+0.00025207i,-0.00017766-3.932e-05i
0.00092146-0.0015748i,0.00026063-0.0014297i,-0.00048075-0.00049597i,-0.00047585+0.00021705i,-0.00054775+0.00013525i,-0.00018046+0.00033563i,0.00064866+0.00073564i,0.0014109+0.00089529i,0.0013107+0.00036512i,0.00064515-0.00067283i,0.00045107-0.0014342i,0.00030145-0.0014621i,7.3218e-06-0.00030127i,-0.00028854+0.00059092i,-0.00090404+0.0004526i,-0.0011361+0.00028884i,-0.00044125-6.4508e-05i,-0.00078429-0.00020415i,-0.0014224+6.7067e-05i,-0.0011068-0.00082488i,3.8242e-05-0.0010721i,9.7962e-05-0.00069416i,-0.0011015-0.00081084i
0.00076135+0.00028558i,0.0011687+0.00059283i,0.00055478+0.0013633i,8.0724e-05+0.001223i,0.00059442+0.00041369i,0.00091652+1.2635e-05i,0.00061945+0.0002852i,-9.6549e-06+0.00030768i,0.0003656+0.00033477i,0.0012552+8.0807e-05i,0.0015352-0.0010592i,0.0011375-0.00089191i,0.00016391-0.00016204i,0.00028272+0.00014652i,0.00070912+0.00017682i,-0.00025004+5.0452e-05i,-0.00050116-0.0003251i,0.00021099-0.00036243i,0.00051645+0.0004685i,0.00031443+0.00093647i,-0.00015083+0.00058601i,-1.3949e-05+0.00062687i,0.00019616+0.00080068i
-0.00049736+0.00081375i,-0.0009506+0.00017907i,-0.00096709-0.00035588i,-0.00068756-0.00029307i,-0.00057325-0.00022978i,-0.00016622+1.2026e-05i,-6.5932e-05-0.0007147i,0.00053102-0.00064311i,0.00065408+0.00036523i,-0.00035235-4.5293e-05i,-0.00076318-0.001336i,-0.00083731-0.0016843i,-0.00052732-0.0012226i,0.00034063-0.001258i,0.0010599-0.00075916i,0.0008143+0.00054725i,0.00010883+0.00040617i,-0.00029084+0.00055877i,-0.0004906+0.0014005i,0.00028147+0.0016818i,0.00042558+0.0012715i,-0.00019097+0.00051248i,-0.00037999+3.8614e-05i
0.0018125-0.00041012i,0.0018939-0.00040457i,0.0010945-0.0006938i,-0.0002399-0.0013828i,-0.00066151-0.00058504i,-0.00034852+0.00061232i,-3.6925e-05+0.001168i,0.00044508+0.00084987i,0.00028018-0.00011651i,-0.00012364-0.0011056i,-0.00018709-0.0011711i,0.00031849-0.00048834i,0.00042301+0.00014759i,-0.00029982+0.00049131i,-0.00056229-1.7048e-05i,-0.00041804-0.00090904i,-0.00045846-0.00087334i,-0.00029306-0.00090061i,0.00022597-0.00058644i,0.0012257-0.00011281i,0.0011024+0.000252i,0.00038533+0.00047381i,0.00084704+0.00039758i
0.00018596-0.001002i,-0.00025143-0.0012345i,-0.0013605-0.0012677i,-0.001369-0.00039776i,-0.001434+0.0010083i,-0.00078469+0.00134i,-0.00029476+0.00041326i,-0.00044785-0.00031854i,-0.0005501-0.00076745i,-0.00086245-0.00056372i,-0.00063481-0.00019183i,-0.00012894+4.3746e-05i,0.00046174+0.00035132i,0.00094943+0.00073582i,0.0011751+0.00066976i,0.0010143-0.00011744i,0.00020521-0.00022815i,0.00015409+0.00034113i,0.00067577+0.00020772i,0.00037138+7.3434e-05i,0.00033036+0.0001223i,0.00088139+0.00049656i,1.3021e-05+0.00057746i
0.00019141-4.2664e-05i,1.5022e-05-0.00097755i,-0.00069535-0.0014763i,-0.0010692+0.00013876i,-0.0008005+0.0012746i,0.00054315+0.00069565i,0.0011369+0.00013174i,0.00066883-0.00016967i,0.00029616-0.00042935i,-3.7549e-05-0.00019358i,4.8753e-05+5.9488e-05i,3.534e-05+0.00024232i,0.00059836+0.0005892i,0.00047575-3.5068e-06i,0.00018819-0.00060041i,0.00037698-0.00056101i,0.00061418-0.00074403i,0.00043754-0.00074344i,0.00025759-0.00062043i,0.00062898-0.00079929i,0.00051396-0.0005323i,0.00054046-0.00010088i,0.0011283+0.00039046i
