-0.0055114+0.0025349i,-0.0037172+0.0046046i,-0.003083+0.0058024i,-0.0025785+0.0043158i,-0.00096052+0.0031384i,0.0010009+0.0017878i,0.0013466+0.0017961i,6.5216e-07+0.0025197i,-9.0182e-05+0.0025052i,0.00036662+0.0017388i,0.00024314+0.00022398i,0.00016578-0.00038763i,1.9201e-05-0.00075185i,-0.00040848-0.00089638i,-0.0006757-0.00071779i,-0.00088157-0.0010343i,-9.5236e-05-0.00086151i,0.00060102+0.00031855i,-3.573e-05+0.00047875i,-0.00064648+0.00013573i,-0.00025042+0.00042027i,-9.8853e-05+5.7591e-05i,-1.6449e-05-0.00013582i
0.0017627+0.0010365i,0.001839+0.00051598i,0.001855-0.00079929i,0.00049256-0.00099448i,-0.001944-0.0003109i,-0.0019941+0.00059573i,-0.0010349+0.0005275i,-0.00082636+0.00078985i,-1.0429e-05+0.00065028i,0.00036615-0.00034076i,0.00035134-0.00079016i,0.00058313-0.00036062i,0.00071149+0.00053482i,0.00051767+0.00015884i,0.0002973+2.4828e-05i,0.00085875-0.0004256i,0.00082352-0.0013783i,-0.00028615-0.00071328i,-0.00073208-0.0002393i,-0.00019164-0.00028896i,-0.00028913+0.00024702i,-0.00017384+2.1104e-05i,0.00024087-0.00071786i
-0.00022032-0.00084069i,-0.00049524-0.0009572i,-0.00053793-0.0018358i,-0.0014985-0.0017318i,-0.0019218-0.00094827i,-0.0013154+0.00045367i,-0.00070526+0.0010302i,-0.0010135+0.00056133i,-0.0008606+0.00046238i,-0.00058056-0.00025876i,-6.7675e-05-0.00063201i,-0.00014893+1.1983e-06i,-0.00056602+0.00022563i,0.00019925-0.00043601i,0.00012433-0.00066901i,-0.00069938+0.000274i,-0.00075192+0.0004584i,-0.00080795-0.00019269i,-0.00099218-6.5116e-05i,-0.00030961+0.00045945i,0.00047979+0.00083906i,-0.00033186+0.001049i,-0.00096427+0.0010248i
-0.00023563+0.00023305i,3.8508e-05+0.00021865i,-0.00021212-0.0012077i,-0.0010866-0.001717i,-0.0011131-0.00084361i,-0.00044943+0.00016851i,-0.00065873+0.00032459i,-0.00052449+0.00078949i,-0.00036823+0.0011223i,-0.00072057+0.00074021i,-0.00083971+0.00038436i,-0.00099518-9.9655e-05i,-0.00075794-0.00023332i,-0.0011004-0.00024443i,-0.00080832+0.00015801i,0.00069344+0.00070936i,0.0011094-0.00032806i,0.00043724-0.0014559i,0.00043847-0.00064635i,0.00073219-0.00021926i,0.00069434-0.0001108i,0.00077939+0.00014045i,0.00087866-0.00044107i
0.00011796-0.00057834i,0.00034385-0.00068943i,0.00023925-0.00080317i,0.00010791-0.00044045i,-0.00018921-0.00027563i,-0.0010749-0.0002894i,-0.0012619-0.00028601i,-0.00099179-0.00018521i,-0.00032716+0.00021836i,0.0001811+0.00013288i,0.00028702+0.00016507i,-1.9303e-05-5.584e-05i,0.00017115+0.0002486i,0.00032765+0.00066548i,0.00027492-9.4283e-05i,0.00033465-0.0003161i,-7.0785e-05+6.6309e-05i,-0.00044747+3.1667e-05i,-0.00030095+0.00014175i,3.5698e-05+0.00065798i,-0.00045292+0.00061966i,-0.00033133+0.00025847i,-4.8796e-05+0.00034327i
-0.00053335+0.00046121i,7.8519e-05+0.00015612i,0.00048913-0.00071849i,0.00031455-0.0012727i,-0.00032726-0.00087615i,-0.0001087-0.00068174i,0.00012981+0.00013311i,9.3964e-06+0.00091083i,1.9595e-05+0.00045054i,0.00015058-6.4836e-05i,0.00055218-0.00075902i,0.00056783-0.0012111i,-0.00025726-0.0005768i,-0.0011574-0.0004869i,-0.0011185-0.00048025i,0.00018222-0.00026366i,0.00077526-0.00036599i,1.317e-05-0.00010461i,0.00026398+9.2556e-05i,0.00038228-0.00066218i,-1.4868e-05-0.0011501i,0.00037089+0.00011616i,0.00044766+0.001052i
0.00088855-0.00041222i,0.0011279-0.00090717i,0.0016055-0.00074352i,0.0010604-0.0004612i,1.5951e-05-0.00017806i,-0.00068589-0.00042141i,-0.0003871-0.00017621i,-0.00038472+0.00065863i,0.00021032+0.00072732i,0.00097715-0.00036595i,0.0011745-0.0017191i,0.001364-0.0010195i,0.00153+0.00037892i,0.00075559-1.9307e-05i,-0.00032177-0.00022569i,-0.0003673-6.8889e-05i,0.00043609-0.00042066i,0.001159-0.00032855i,0.0010502+6.5681e-05i,0.00027031-0.00029172i,-0.00063788+4.0053e-06i,-0.00099778+8.7574e-05i,-0.00082633-0.00040266i
0.00099-0.00036895i,0.0024038+0.00057677i,0.0021898+0.00028601i,0.0015013+0.00011745i,0.00040912+0.00017422i,0.00049524-1.625e-05i,0.001104-0.00014265i,0.0004332+2.0546e-05i,-1.7472e-06+0.00070589i,-1.554e-05+0.00023984i,-0.00012567-0.00035619i,-0.00053274+0.00020229i,-0.00065393+0.00071789i,-0.00070027-0.00010563i,-0.00080936-0.00041373i,-0.00029373+0.00023647i,0.0003687-0.00039572i,0.00026842-0.0006886i,0.00032745-0.00011102i,0.00013056+0.0011148i,-0.00011023+0.0014612i,-0.0001859+0.00020946i,0.00019656-7.1899e-05i
-0.0022419-0.00044087i,-0.0021187-0.00057483i,-0.0018387-0.0012988i,-0.0015204-0.00099558i,-0.0014602+0.0004165i,-0.0015788+0.001026i,-0.00069195+0.00040682i,-0.00043495+0.00027582i,-0.0010831+0.00014052i,-0.00072173+8.7007e-05i,-1.8662e-05+8.9891e-05i,0.00015583-0.00022605i,-0.000189-0.00030414i,-9.8564e-05-0.00036983i,0.00039073-0.00037983i,0.00088539+0.0002815i,0.000702+0.00034324i,-0.00029465+0.0002337i,-0.00090187+0.00043287i,-0.00038405+0.00039259i,0.00025776+2.7507e-05i,0.00028459-0.00080498i,0.00032802-0.00097524i
-0.00095126-0.00010263i,-0.0012836+0.00022017i,-0.00065178+0.0010013i,-0.00051568+0.0010212i,-0.0014116+0.00078784i,-0.00079076+0.0011039i,0.00051029+0.00057165i,0.0012945+2.2891e-05i,0.0011598+3.5425e-05i,0.00036314+0.00016496i,0.00026665+0.00017337i,-7.1462e-06-0.00044604i,-0.00098779-0.00050112i,-0.0012584-0.00041984i,-0.0011663-0.00021135i,-0.00064063+0.00049493i,-0.00011135+0.00051413i,9.6577e-05+0.00061156i,2.7623e-05+0.00051166i,-0.00011575-4.4549e-05i,0.00017066+0.00039996i,0.00044892+0.00099091i,0.00058125+0.0010595i
0.00054403+0.0018429i,0.0012767+0.001806i,0.002081+0.0014317i,0.0016782+0.00077477i,0.00040101-5.9629e-05i,-0.00033997+9.4881e-05i,-0.00067956+0.00042973i,-0.00062338+0.00025992i,-0.00021949+0.00011075i,-0.00028574-0.00044125i,-0.00048253-0.00079625i,0.00032044-0.00087461i,0.00074293+0.00021222i,-0.00042445+0.0013207i,-0.0010793+0.0005389i,-0.00022323-0.00041619i,0.00046683-0.0010187i,0.00019711-0.00091115i,0.00028645-5.967e-05i,0.00078716+0.00025207i,7.0658e-05+0.00072351i,-0.0003687+0.0014718i,-0.0002215+0.0013979i
0.0012609+0.00022003i,0.0022372+5.0372e-05i,0.002759-0.00038898i,0.00085198-0.00068149i,-0.0001286-0.00073602i,-0.00066789-0.00070502i,-0.0012472-0.00070854i,-0.00016564-0.00093524i,0.00047969-0.00028534i,0.00045796+0.00028275i,0.00010039-2.449e-05i,-0.00058317-0.0007604i,-0.00034097-0.00074263i,-0.00052785-0.000387i,-0.00051875-7.8247e-05i,-0.00016698+0.00033468i,-0.00058528+0.00042771i,-0.00065817+7.2747e-05i,-0.00071873+0.00033721i,-0.00048529+0.00090165i,0.00016371+0.0011957i,-0.00026638+0.00072395i,-0.0010663+0.00043177i
0.00079341-0.0024464i,0.00010504-0.0029175i,-0.0014734-0.0025271i,-0.0022414-0.0011302i,-0.0020199-0.00012359i,-0.00036725+0.00082243i,0.0002031+0.0012118i,-0.00043771+0.0013054i,-0.00051278+0.0011148i,-0.00059923+0.00083323i,-0.00061981+0.0013987i,-0.00041399+0.0012006i,9.2097e-05+0.0003176i,0.0002173+0.00029615i,0.00017337+0.00044207i,0.00029808-2.0744e-05i,0.00047705-0.0002289i,0.00044215+0.00025274i,-1.7745e-05+0.00055942i,6.7964e-05+0.00036004i,1.1706e-05+0.00010961i,0.00017718+0.00032906i,0.00027126+0.0008625i
-9.2119e-05-0.001269i,-0.00077737-0.00083101i,-0.0015782-0.00053193i,-0.0015339-0.00060508i,-0.001026+0.00070482i,-0.0005407+0.0022208i,9.5634e-05+0.0020372i,0.0004502+0.001226i,0.00037811+0.0010191i,0.00040525+0.00067862i,0.00037497+0.00067177i,-8.9122e-06+0.00066711i,0.00011114+0.00024687i,0.00041906+0.00050798i,0.0005371+0.00027571i,0.00050923-0.00047591i,2.5864e-06-0.00066821i,-9.5791e-05-0.00033582i,7.3715e-05+5.9389e-05i,0.0002297+0.00021383i,0.00055127-0.00025667i,0.0003611-0.00082855i,0.00043908-0.00062014i
0.00075636+0.0022492i,0.00079855+0.0022229i,0.00099096+0.0011651i,0.00078857+0.00047267i,-0.00026141+0.00050079i,-0.00015+0.00010073i,-0.00061908-0.00017268i,-0.0015118-0.00035905i,-0.00080614-0.00023054i,7.7124e-06-0.00023692i,0.00016119-0.00010003i,0.00052418+0.00040344i,0.00098641+0.00065066i,0.00068146+0.00046307i,-0.00080598-0.00015829i,-0.00055244-0.00021936i,0.00088014-0.0002546i,0.00045932-0.00028714i,0.00032102-0.00030645i,0.00032819-5.2804e-05i,-0.00026618-0.00039097i,-6.0244e-06-0.00084063i,0.00076588-3.7717e-05i
0.0010001-6.52e-05i,0.0010329-0.00061331i,0.0016508-0.0014291i,0.0010208-0.0019843i,-9.3564e-05-0.0022607i,-0.00083979-0.00083918i,-0.0014153+0.00093519i,-0.0013439+0.00085832i,0.00018147+0.00039528i,0.00093441-0.00022137i,0.00042885-0.0010994i,-0.00024996-0.0010409i,-0.00053425-0.00077668i,-0.00043457-0.00025916i,-0.00015774+0.00011714i,-0.00059091-0.0004105i,-0.0010912-0.00038843i,-0.0005208-0.00053469i,0.00040403-0.00033043i,5.6902e-05+0.00040921i,-0.0003489+0.0007778i,-0.00071218+0.0011022i,-0.00126+0.00081627i
0.0016814+0.001062i,0.0020558+0.0010066i,0.0010907+0.00041702i,3.9555e-05-0.00071124i,-7.8356e-05-0.00026478i,-0.00024308-0.00032356i,-0.00056771-0.00038723i,-0.00034831+0.00063255i,0.00034625+0.00033551i,0.00019154-0.00052402i,-0.00077594-0.00086221i,-0.00070219-0.00087616i,-0.00027586-0.00070954i,-0.00067617+0.00015872i,-0.00084172+0.00017713i,-0.00019855+3.9751e-05i,-1.5332e-05+0.0004424i,-0.00056815+6.8725e-05i,-0.00078477-0.00033939i,-0.00028816-0.0012311i,0.00046566-0.0011802i,0.00066675-0.00016269i,9.7152e-05+0.00013908i
-0.0010975-0.00036278i,0.00027283+0.0017681i,-0.00012022+0.0019485i,-0.0019033+0.00076106i,-0.0023967+0.00090844i,-0.0012664+0.0017329i,6.6663e-05+0.0013269i,-5.0314e-05+0.00070751i,5.9596e-05+0.00040989i,0.00046653+0.00019369i,-4.7329e-05+0.00056547i,-0.00026101+0.0007356i,0.00021345+0.00014359i,0.00011782-0.00050382i,-0.00024687-0.00029624i,-0.00018246+0.00021788i,0.00023051+0.00010958i,0.00073027+0.00030129i,0.0011917+0.00065389i,0.00060815+0.00031488i,-0.0002442-0.00048463i,0.00010936-0.0010075i,0.000696-0.0010387i
-0.00087544+0.00024597i,-0.00070382+0.00083557i,2.6973e-05+0.00080421i,0.00080082+0.00043755i,0.0012485+0.00027856i,0.0013782+0.00025526i,0.00031618-0.00019773i,-3.4595e-05-0.00068403i,1.9895e-05-0.00050796i,-4.6777e-05-0.00025784i,0.00059259-9.587e-05i,0.0013318+0.00010871i,0.00094954-0.00012684i,-0.00053358-0.00012025i,-0.0010541+6.3128e-05i,-0.00056829+0.00014989i,-0.00060319+0.00062399i,-0.0004528+0.00071736i,-0.0005503+0.00027641i,-0.00073632+0.00011856i,-0.00026117-0.00010287i,0.00047222-0.00021495i,0.00074409+0.00017228i
0.0014871-4.5027e-05i,0.0028664-0.00054872i,0.0039426-0.00086854i,0.0017081-0.0011004i,-0.0007158-0.0017049i,-0.0015941-0.0011824i,-0.0013345-0.00032247i,-0.00056258+0.00049791i,-0.00028315+0.00084531i,-2.9959e-05-0.00044274i,0.00022204-0.0016954i,0.00035411-0.0010628i,0.00027569-0.00098652i,0.00034839-0.0011471i,-1.1089e-05-0.00040342i,-0.00039809+4.6139e-05i,-0.00028815-0.0001375i,0.00034087-0.0008163i,-2.2164e-05-0.00093986i,-0.0011095+0.00012934i,-0.0013113+0.00097026i,-0.0011263+0.00037408i,-0.00058122-7.7776e-05i
0.0015714+0.0011185i,0.0020871+0.0014408i,0.0014079+0.0006454i,-0.00033456+1.8215e-05i,-0.00076052-0.00038441i,0.00012678-0.00016499i,0.00031653+0.00024939i,-0.00017149-0.00021157i,-0.0001945+0.00026066i,0.00011002+0.00014065i,-0.00028064-0.00026487i,-0.00019104+0.00030664i,0.00050212+0.00076823i,0.00038616+0.00046348i,3.2737e-05+0.00017209i,0.00028003+6.5547e-05i,0.00064415+0.00019844i,0.00026417+0.00028138i,-9.3051e-06+0.00045672i,-0.00057591+0.00056218i,-0.000847+0.00026502i,-0.00027338+0.00023858i,0.00013322+0.00014433i
-0.00064516-0.00088732i,4.1087e-05-0.00049384i,-0.00024719-0.0007553i,-0.00096527-0.00085012i,-0.0012162-0.00024947i,-0.0014991-3.4454e-05i,-0.00035713+0.00022664i,0.00012509+0.00023526i,-0.00026469+0.00013368i,-0.00022898+0.00069641i,3.0692e-05+0.00093551i,-8.7734e-05+0.00010895i,-0.00090676+5.0529e-06i,-0.0016086+0.00021391i,-0.00094249+0.0002162i,-0.00041171+0.00040196i,-0.00069403+0.00088773i,-0.00050599+0.00066307i,-0.00039805+0.00010004i,-0.00027793+6.4481e-05i,-0.00012352+8.2613e-05i,-0.00079226-0.00010488i,-0.00091106+0.00012797i
0.0010823-0.0015811i,0.00023298-0.0025732i,-0.00013356-0.0027147i,-0.0012612-0.001946i,-0.0019328-0.00075424i,-0.0014853+0.00027565i,-0.00081999+0.00093668i,-0.0004732+0.00078011i,-0.00096506-9.8464e-05i,-0.00044399-0.00025267i,0.00031689-3.3394e-05i,0.00027013-4.9161e-05i,0.0004276-2.865e-05i,0.00029315+0.00014427i,-0.00012572+0.000887i,0.00011453+0.0016856i,0.00010103+0.0011827i,0.00016136-0.00043501i,3.8631e-05-0.00059154i,-0.00065022+0.00028737i,-0.00048905+0.00077633i,-0.00038686+0.00064146i,0.00054269-7.249e-05i
0.0012749-0.00034225i,0.0020129-0.00038923i,0.0018129-0.0011938i,-0.00041153-0.0018454i,-0.0011012-0.001405i,-0.00013067-0.00056843i,-9.0205e-05+0.00039762i,-0.00011494+0.000518i,-0.00037889+9.2418e-06i,-8.0323e-05-0.00037181i,0.00017072-0.00066775i,-0.00027382-1.4104e-05i,-0.00020516+0.00023572i,0.00064547-0.00042707i,0.0009983-0.00077714i,0.00084512-0.0014597i,0.00072037-0.0011596i,0.00020927+0.00033905i,-0.0005627+0.00064979i,-0.00069104+2.2096e-05i,-0.00014302+0.00011555i,7.2386e-05+0.00054229i,-0.0002297+0.00021844i
0.001757+0.00020263i,0.0025404+0.00014743i,0.002024-0.00099528i,0.0010492-0.0017033i,0.00051347-0.0016312i,5.4202e-05-0.00071731i,-0.00019464-0.00044523i,0.00028204-0.00011542i,-1.8924e-06-6.4282e-05i,0.00010691-0.0003403i,0.00076933-0.0006496i,0.00040533-0.0011679i,0.00012049-0.0011739i,0.00011856-0.00057006i,-1.7572e-05-0.00049694i,0.00067214-0.00066581i,0.001174-9.0817e-05i,-1.3922e-06-3.0947e-05i,-0.0010061-0.00077491i,-0.00040133-0.00034137i,0.00031985+0.00041295i,0.00031318+0.00096367i,0.00055992+0.0014577i
0.00050324-0.00062842i,0.0012453-0.00061056i,0.00040361-0.00076321i,-0.0010384-0.0013311i,-0.0013255-0.0015634i,-0.0012894-0.0010854i,-0.00011062-0.00046132i,0.00049608+9.9393e-05i,-0.00011963+0.00033048i,-0.00063548+5.414e-05i,-4.5965e-05+0.00024554i,1.2698e-05+0.0013786i,-0.00062747+0.00078504i,-0.00077451-0.00086759i,-0.0010278-0.0011363i,-0.00043672-0.0010655i,0.00027688-0.00094123i,-0.00012295-0.00024257i,-0.00026652+0.00032858i,0.00025068+0.00056098i,0.00015376+0.00039902i,-0.00038176+9.2272e-05i,-0.00064286+0.00029844i
0.00075231+0.0013719i,0.0017716+0.0017854i,0.0013253+0.0017716i,0.00081536+0.00085051i,0.00041307-0.0001628i,0.00014934-0.00044516i,0.00028708-0.00068379i,0.00016888-0.00052982i,0.00019001+3.2659e-05i,0.00088722+0.00020295i,0.0010522-4.6873e-05i,0.00054538-0.00040611i,0.00041292-1.8086e-05i,-0.00034701+0.00025922i,-0.00093232-3.415e-05i,0.00014952+6.8775e-05i,0.00082697+0.00015967i,0.00080675-0.00015642i,0.00056021-0.00047441i,0.00045835-0.00074724i,0.00034037-0.00069448i,8.9186e-05-9.7461e-05i,-0.00040698+0.00039019i
-0.00065772+0.00033874i,5.1198e-05-0.00065617i,0.00057286-0.00057303i,0.00052468+0.00048144i,0.00043966+0.00064019i,0.00064278+0.0001906i,2.5684e-05+0.00013258i,-0.00084144+0.00024531i,-0.00096053+0.00042458i,-0.00025796+0.00033876i,0.00066553+0.00044146i,0.0012955+0.00095561i,0.00080607+0.00070809i,0.00055903-0.00028972i,0.00029812-0.00061009i,-0.00028799-0.00026615i,4.0186e-06-0.00022607i,0.00033033-0.00034231i,-0.00032497-0.00026238i,-0.00044245+1.7749e-05i,-0.00032039+0.00022119i,-0.00038218-0.00016377i,-0.00035432-0.00053502i
-0.00022333+0.0005595i,-0.00034153+0.0013085i,-0.00066632+0.0013442i,-0.00038653+0.00023745i,0.00012045-0.00031723i,-0.00021251+0.00042005i,-0.00016506+0.00046206i,-0.00036202+0.0011335i,-0.00029105+0.0017828i,0.000695+0.00092458i,0.0011807+0.0005246i,0.0010549+0.0004953i,0.00037175-0.00087978i,-0.00040356-0.0016276i,-0.00046586-0.0007934i,-0.00086556-0.00024751i,-0.0013751-0.00068131i,-0.00065672-0.00029809i,7.9126e-05+0.00023377i,0.00058296+3.3933e-06i,0.00052355+0.00017904i,-0.00012446+0.00056178i,-0.000353+0.00051423i
0.0010934+0.00084894i,0.0011232+0.0020049i,0.00034115+0.0030262i,-0.00050453+0.0016771i,-0.00077407+5.262e-06i,-0.0001827+6.939e-05i,0.0003163+0.00030853i,0.00016506+0.00019394i,0.00051526+0.00090174i,0.00067567+0.00058288i,0.00067556-0.00076926i,0.00060362-0.00064794i,0.00015185+0.0001024i,0.00047142+0.00065816i,0.00096736+0.0002602i,0.001064-0.00034782i,0.00060113+6.5718e-05i,-9.7557e-05+0.00022414i,-0.00032358-0.00042912i,0.00010823-0.00072507i,0.00084165+4.4591e-05i,0.001331+0.00089047i,0.001281+0.00055399i
4.0829e-05-0.00048242i,3.763e-05-0.00010287i,0.00037849-0.00061848i,-1.157e-05-0.0012432i,-0.00095649-0.0011438i,-0.00047277-0.00012336i,-0.00037028+0.00060136i,-0.00066466+0.0010635i,-0.0004165+0.00046773i,0.00051203+0.00017177i,0.0010168+0.00025813i,0.00064404-0.00021046i,0.00020581-3.3474e-05i,-9.0422e-05+0.00040342i,-9.8785e-05+0.00045227i,-0.00061676-0.00024651i,-0.00025294-0.00065921i,0.00021754-5.1734e-05i,-0.00035873+0.00074398i,-0.00015435+0.00062718i,0.00049263-8.7871e-05i,0.00054905-5.5798e-05i,3.8126e-05-0.00027744i
2.3658e-05+0.0011896i,0.00048709+0.0018565i,-0.00021787+0.00069734i,-0.00022887-0.0012109i,0.00068744-0.0017336i,0.00044526-0.0012556i,-0.00011657-0.00076455i,-0.00048712-0.00030893i,-0.00023629+0.00016108i,0.00041038+0.00027736i,0.00099141+0.00017713i,0.00028147-4.2352e-05i,-0.00026346-7.8976e-05i,-0.00022798+0.00054541i,-0.00071516+0.0012459i,-0.0011717+0.00083431i,-0.0010683-5.6622e-05i,-0.00037864-0.00042008i,-0.00016001+0.00013335i,-0.00053938+0.00062945i,-0.00043558+0.00055973i,-0.0001202+9.4605e-06i,0.00014106-0.00058407i
