-0.0031157+6.6827e-05i,-0.0015924+0.00041647i,-0.0011089+0.00083487i,-0.00021131+0.0013816i,0.00026112+0.0023418i,0.00015639+0.0023987i,0.00013434+0.0018371i,3.0305e-05+0.0014614i,-5.1115e-05+0.00050424i,0.00055687-0.00034813i,0.00068518-0.00039019i,0.00071853-0.00056485i,-0.00017247-0.00069014i,-0.00099423-0.0005334i,0.00011933-0.00075686i,0.0002087-0.00034601i,-0.00028334+0.00045497i,-0.00047704+0.0012478i,-0.00079992+0.0011932i,-0.00019051+0.00020482i,0.0003433+0.00022345i,3.5052e-05+0.00067693i,-0.00019079+0.00041189i
0.0014165-0.00074848i,0.00095488-0.00028347i,0.0011423+5.4379e-05i,0.0012839-0.00040299i,0.00089675-0.00089122i,-6.2253e-05-0.00064793i,-0.00045067-5.0352e-05i,-0.00044251+5.865e-05i,-0.00048642-0.00082476i,-4.3933e-05-0.0010111i,0.00032031-0.00048907i,0.00050038-0.000341i,0.0002897-0.00022097i,0.0002593+6.4703e-06i,0.00020488-3.9927e-05i,-0.00033536-5.5149e-05i,-0.0007112+0.00023362i,-0.00037553+0.0011465i,0.00022449+0.00080367i,0.00047365-0.00033496i,-1.5402e-05-0.0001539i,-0.00018324+0.00055731i,0.00029107+0.00014565i
-0.00014596+0.00049934i,0.00052973+0.0011726i,0.00010722+0.0016349i,-0.00010835+0.00096291i,0.0010822+0.00075538i,0.0014429+0.00045814i,0.00066711+0.00011825i,-0.0002219+0.00058806i,-7.4127e-05+0.0010379i,0.00035803+0.0012826i,-5.3451e-05+0.00044976i,-0.0001083-0.00051254i,0.00076318-0.00069006i,0.00067237-0.00042765i,0.00073458-0.00049396i,0.00066662-0.00044289i,-0.00073281-4.2814e-05i,-0.0011167+0.0005268i,-0.00083606+0.00078278i,-0.00024631-7.7759e-05i,0.00053412-0.00073027i,1.8167e-05-0.00034497i,-0.00095509+0.00023981i
-0.00073339-0.00036123i,-0.0016201-0.00019383i,-0.001325+0.0012063i,0.0001556+0.0016078i,0.0012903+0.0010043i,0.0007214+0.001048i,0.00041588+6.9185e-06i,0.00043507-0.00056704i,1.9716e-05+0.00014349i,-0.0001619+0.00071572i,-0.00042294+0.00086417i,7.5014e-06+0.00091822i,0.00038156+0.00086385i,0.00050175-0.00064588i,0.00054428-0.0017789i,0.00048927-0.0010916i,-6.0124e-05+0.00011948i,-0.0012544+0.00053453i,-0.0011609+0.00034791i,-0.00082367-9.0247e-05i,-0.00040312-0.00027603i,0.00028987+4.8538e-05i,0.00034073-0.00035225i
0.0021406-0.0016584i,0.0011591-0.0012044i,-0.00049624-0.0017056i,-0.00062597-0.0010235i,-7.7184e-05+0.00014767i,0.00019769+0.00075459i,0.000233+0.00064854i,-4.9808e-05+0.00033169i,-0.00011232+6.6207e-05i,0.00022063+3.1917e-05i,-4.6594e-05-0.00014533i,-0.00032026-0.00065677i,-0.00043681-0.00050874i,-0.00053655-0.00028031i,-0.00037441-0.00032634i,0.00018546-0.00017948i,5.4715e-05+0.00032002i,-0.0014589-0.0003444i,-0.0019508-0.00052408i,-0.00093038+0.00013944i,-0.00029462+0.00046043i,-0.00035089+0.00027676i,7.456e-05+0.00017869i
-0.00016147+0.00027493i,-0.00038224+0.00087637i,-0.00067564+0.00048982i,-0.00034905-0.00020811i,0.00062398-0.00060011i,0.0010452-7.018e-05i,-1.5561e-06+0.00056443i,-0.00047788+0.00053251i,-0.00058579+0.00024283i,-0.00049956-0.0005799i,0.00019218-0.00059053i,0.00039466-0.00028828i,6.127e-05-0.00035576i,-8.2189e-05-0.00020299i,0.00037544-0.00028766i,0.00044663-0.00048722i,-0.00031747-0.00018268i,-0.00033211-8.2635e-05i,-7.1451e-05-0.00039913i,-0.00047481-0.00056564i,-0.00050783-1.9057e-05i,-0.00011737+0.00021865i,8.2415e-05+0.0001431i
-0.0011532+5.6927e-05i,-0.00094565+0.00065879i,-0.00099664+0.0016787i,0.00090643+0.0017615i,0.0022364+0.0013046i,0.001806+0.00061881i,0.00067153-0.00028516i,-0.00030027-0.00035521i,-0.00052334-0.00034836i,-0.00045741-0.00054447i,0.0003401-0.0002276i,0.00068228-7.5199e-05i,0.00017855-0.00074637i,1.7206e-05-0.00023821i,0.0003664+0.00029547i,-0.00016342-0.00024674i,-0.00070592-0.00054616i,-0.00069583-0.00027533i,-0.00047884+0.00013959i,0.00016529+0.0003833i,0.00029168+0.00033517i,-0.00046257+1.9623e-05i,-0.00092476-8.2157e-06i
-0.0032053+0.0016279i,-0.0029346+0.0018126i,-0.0020966+0.0020931i,-0.00066362+0.0019853i,0.00042381+0.0023109i,0.00082629+0.0014789i,0.00029869-0.00016743i,-0.00022141-0.00049877i,-0.00054983-0.00021552i,-0.00011088-0.00082289i,0.00011345-0.00059192i,-0.00047978+0.00049227i,-5.8812e-05+0.00059092i,0.00038691+0.00022442i,-0.00036668+0.00025816i,-0.00096217+0.00041321i,-0.00033054+0.00048711i,4.4112e-05-1.0087e-06i,0.0001364+6.1932e-05i,0.00050853+0.00068324i,0.00038826+0.00082755i,-6.138e-05+0.00077039i,0.00024676+0.0010223i
-0.00038941-0.0016839i,-0.00069993-0.00072929i,-0.00083015+0.00044359i,-0.00024545+0.00075638i,0.0006494+0.00038226i,0.00102-0.00019752i,0.0008225-0.00016853i,0.00029277+0.00016047i,-0.00031647+1.9879e-05i,0.00023224+0.00019811i,0.00061899+0.00047453i,0.00081176-0.00024282i,0.00088628-0.00041936i,0.00085821-0.00093935i,0.00086812-0.001254i,0.0005929+0.00013973i,-7.427e-05+0.00050782i,-0.00052226+0.00022184i,-0.00067545+0.0002263i,-0.00098084+9.3161e-05i,-0.00024629+0.00023299i,8.5694e-05+0.0002009i,0.00022766+5.2401e-05i
0.0014101-0.00078702i,0.0015421-0.0001504i,0.0011383+0.00038636i,0.0011511+0.00024535i,0.001671-0.00047423i,0.0018154-0.00015763i,0.00069962+0.00011446i,0.00058297+8.6501e-05i,0.0010057+0.00021555i,0.0011193+0.00011651i,0.00042511-1.926e-05i,0.00011038-6.6447e-05i,0.00051842+0.0004492i,0.00037789+0.00037312i,-0.00028109-7.6289e-05i,-8.694e-05-0.00027024i,0.00038301-0.00055711i,0.00037734-0.00016213i,0.00047374+0.00021841i,-0.00017568+2.1957e-05i,-0.00081647+0.00029299i,-0.00035594+0.00059113i,0.00034513+3.8116e-05i
-0.0018194+0.0020069i,-0.00080542+0.0025273i,0.00027973+0.003118i,0.0011662+0.0027817i,0.0016241+0.001786i,0.00044184+0.0013352i,-0.00037264+0.0010863i,-0.00025937+0.00042033i,0.00014439+0.00019221i,-0.00017086+0.00050311i,-0.00044556+0.00059755i,-0.00053286+0.0004237i,-0.00029063-0.00020567i,-0.00071042-0.00038261i,-0.00094688-0.00018748i,-0.00057959-0.0005871i,-0.00037885-0.00022879i,8.4878e-05+0.00046227i,-0.000185+0.00037331i,-0.00087231-0.00026161i,-0.00056777-0.00017448i,1.7279e-05+0.00064855i,0.00054351+0.00012877i
-4.377e-05-0.0015391i,-0.00022801-0.0015938i,-0.00095534+0.00020144i,-0.00086068+0.001028i,-0.00030991+0.00082788i,-0.00073347+0.0015035i,-0.0003299+0.0014743i,0.00019831+0.00097421i,0.0002817+0.00057816i,0.00052772-0.00043124i,0.00034573-0.00089397i,0.00035333-0.00044296i,6.9811e-06+0.00016505i,-2.2679e-06+0.00036225i,0.0005131+6.9603e-05i,0.00081111-0.00047i,0.00047747-0.00064947i,-0.00032824-0.00016203i,-0.00057697-4.1668e-05i,-0.00022847-0.00018453i,0.00031371+7.0972e-05i,4.0302e-05+0.00013862i,-0.0006934+0.00026447i
0.0012853+0.0015236i,0.0012606+0.0007524i,0.00068691+0.00013405i,0.00089881+0.00040365i,0.0013319+0.0005023i,0.0016791-7.7449e-06i,0.00086487-0.00025452i,0.00018698-0.00020929i,0.00028032-0.00032272i,-2.6709e-06-0.00010265i,2.6623e-05+0.00032557i,-0.00056936+8.3175e-05i,-0.00066688-0.00050112i,6.2279e-05-0.0005111i,0.00010458+4.4745e-05i,-0.00015505+0.00030645i,0.00016472+0.00027313i,0.00050314+0.00018237i,-0.00018299-0.00023098i,-0.00079169-0.00031138i,-0.00039948-9.2093e-05i,-0.00012936-0.00046057i,-0.00069688-0.00041011i
0.00025395+0.00014287i,-0.00053859+0.0001055i,-0.00075552-9.328e-06i,-0.00072235+0.00027693i,-0.00060301+0.00072921i,-0.00017671+0.00079559i,0.00037579-0.00011073i,0.00029064-0.0005488i,0.00042027-0.00015398i,0.00037834+0.00017765i,0.00056973+7.031e-06i,0.00046968+7.52e-06i,-0.00019014+0.00060252i,-0.0012566+0.0005636i,-0.0012155-0.00010101i,-0.00034807+0.00020755i,2.4704e-05+0.00045563i,0.00034066-0.0002742i,0.0010032-0.00026598i,0.0012882+0.00014167i,0.00076816-0.00012206i,0.0004287-0.00055599i,-4.2741e-05-0.00061388i
-0.0029465-0.0009397i,-0.0028033+0.00060903i,-0.0020448+0.0025748i,-0.0011166+0.00244i,-0.00014612+0.0017002i,0.00041903+0.0016119i,-5.3613e-05+0.0011336i,2.015e-05+0.0010936i,0.00016746+0.0016624i,-0.00022327+0.0012311i,-0.00030962+0.00019088i,-0.00034528-0.00011512i,-0.00052367-0.00018448i,-0.00019175-0.0001133i,0.00032159-3.0886e-05i,0.00050055-0.0003962i,0.00052295-0.00019753i,-0.00023893+0.00052323i,-0.0007584+0.00037614i,-0.00038366+2.7701e-05i,-0.00050373+0.00063672i,-0.0010181+0.00083753i,-0.00038628+0.00032042i
0.0018959+0.0011197i,0.00090753+0.0017373i,0.0008144+0.0019293i,0.0016591+0.00069197i,0.0020633-7.0004e-05i,0.0013773-0.00012381i,0.00030588+0.00024674i,0.00010401+0.00046707i,0.00030576-2.6665e-05i,5.4709e-05-0.00051969i,-0.00010341-0.0011129i,8.1513e-05-0.0009567i,-0.00068605+0.0003213i,-0.0012976+0.0011775i,-0.00031422+0.00072856i,0.0011319+0.00022339i,0.00080236+0.00050477i,-0.00016528+0.00063177i,0.00025894+0.00013108i,0.00093277-0.00027275i,0.00061132+0.00023805i,0.00044097+0.001174i,0.00062956+0.00094104i
-0.0007431+0.0003345i,-0.001292+0.0011827i,-0.00029108+0.0007164i,0.00080311+0.00060185i,0.0010277+0.00059479i,0.00060472-5.928e-05i,-0.00023865-0.00064933i,6.6931e-05-0.00071022i,0.00079362-0.00034731i,0.00087567-0.00060517i,0.00015222-0.001188i,-0.00039619-0.00052432i,-5.8599e-05+0.00076334i,2.7766e-05+0.0011778i,-0.00095903+0.00079687i,-0.00058316+0.0008722i,4.4745e-05+0.0012349i,-0.00077644+0.00089814i,-0.00069367+8.3317e-05i,-0.00045149-0.00058924i,-0.00020704-0.00025184i,0.00035717-1.5453e-05i,0.00060187+4.4177e-05i
-0.00012075+0.00086689i,-0.00022564+0.0011027i,-0.00022077+0.0017342i,0.00017837+0.0020413i,0.00047735+0.0019172i,0.00035566+0.0013617i,0.00033247+0.00025637i,8.8437e-06-0.00033357i,-0.00084436-0.00028289i,-0.00070536-0.00038484i,-0.00012359-0.0004282i,-0.00056991-0.00016343i,-0.0005688+0.00047992i,0.00042557+0.00072597i,0.0012539+0.00019212i,0.00034817-0.00047965i,-0.00052338-3.0439e-05i,0.0002293+0.00074214i,0.00073261+0.00095393i,-0.00011872+0.0005179i,-0.00082761-0.00063353i,-0.00079716-0.00058817i,-0.00052862+0.00046232i
-0.0019605+0.0025875i,-0.0011229+0.0019855i,0.0010718+0.0024162i,0.0027187+0.0023109i,0.0029234+0.00175i,0.0014701+0.00083229i,0.00010027-0.00043054i,-0.00038518-0.00046105i,-0.00028696+0.0001034i,0.00094171+6.8988e-05i,0.0015257-7.9868e-05i,0.00089696+0.00011308i,0.00014231+0.00026374i,0.00039857+7.4135e-05i,0.00068555-0.00020739i,0.00051692-0.00024243i,0.00060484-0.0001405i,0.0006145+0.0004109i,0.00086916+0.00093375i,0.00044875+0.00057024i,0.00017846+0.00046066i,0.00039607+0.00011808i,0.00082697+0.00030151i
-0.00268+0.00081118i,-0.0016204+0.0021916i,0.00011335+0.0026031i,0.0014525+0.0012109i,0.0010368+0.00082282i,-0.00023134+0.00043258i,-0.00062458+0.00010468i,-0.00060542+0.00054541i,-0.00063056+0.00076486i,0.000161+0.0003568i,0.00051707-0.00038948i,0.00068388-0.00042226i,0.0015251-0.00025841i,0.0011605-0.00012104i,0.00037774-0.00026358i,-9.0288e-05-0.00085768i,-0.00067124-0.00078344i,-0.00017576+0.00040605i,0.00032448+0.0013622i,-0.00022271+0.0015308i,-0.00062593+0.00091686i,-0.00041027-0.00037958i,0.00015786-0.00027892i
-0.0014461-0.00034165i,-0.0015454-0.00028604i,-0.0016192+3.5687e-05i,-0.00047604+0.00054505i,0.00088477+0.0012262i,0.0010596+0.00034202i,5.4022e-05-0.00052189i,-0.00049232-0.00040927i,-0.00013341-0.00049792i,5.7629e-05-0.00055986i,5.6861e-05-0.0006255i,-0.00028831-0.00022887i,-0.00056084-0.00045335i,-0.00010533-0.00058058i,0.00032393+0.00022371i,0.00024891+0.00058221i,-6.7124e-05-7.9867e-05i,-0.00031005-0.00059338i,-0.00025379-0.00075899i,-0.00044085-0.00038274i,-0.00058965-0.00014929i,-0.00022224-7.7444e-05i,5.1412e-05+0.00033484i
-0.0024824+0.0016979i,-0.0021283+0.001537i,-0.00094607+0.0017816i,0.00070751+0.0020509i,0.0014843+0.0018008i,0.0013302+0.0010758i,0.00054355-0.00033253i,-0.00037136-0.0006858i,-0.0006079+0.00018732i,-0.00078072+0.00073607i,-0.00048914+0.0010266i,0.00065883+0.00049333i,0.0010234-0.00043916i,0.00044528-0.00012426i,0.00048219+0.00016739i,0.00090024-0.00016039i,0.00061973-0.00011917i,0.00040168-2.9316e-05i,0.00027618+0.00013091i,0.00032953-0.00018308i,0.00050025-0.00060399i,0.00015015-0.00013637i,-0.00066258+0.00037046i
0.00073733+0.00090411i,-0.00054279+0.0010267i,-0.00018933+0.00020535i,0.0014401+0.00036692i,0.0019904+0.00095261i,0.0012465+0.001029i,0.00017191+0.00072106i,-0.00084652+0.00058613i,-0.00083722+0.0001892i,0.00026932-0.00014974i,-0.00020741-0.00039877i,-0.0011461-0.00017094i,-0.0011545+2.2019e-05i,-0.0012022-0.00023476i,-0.0015896-0.00033728i,-0.0011916-0.00020241i,0.00013798+0.00042649i,0.00034839+0.00073761i,-0.00026008+0.00074307i,9.7656e-05+0.00061782i,0.00030935+0.00038328i,0.0002393+0.00016375i,0.00018884+0.00037417i
-0.00098832+0.00071035i,-0.00060199+0.00078418i,0.00081261+0.0015006i,0.0013045+0.0012491i,0.0009753+0.0011093i,0.000888+0.0007871i,0.00055523-0.00010571i,3.0791e-05+0.00016035i,0.00018278+4.0062e-05i,0.00042696-0.0010925i,0.00041656-0.00051587i,0.00015292+0.0010625i,-0.00024673+0.0012002i,0.00017886+0.00068627i,0.0004623-7.2382e-05i,0.00049198-0.00010187i,0.00012637-1.7844e-05i,-0.00073282+0.00041841i,-0.001495+0.00090528i,-0.00093511+0.0010703i,0.00022476+0.0011617i,0.00037534+0.00060972i,0.00040405+0.00022504i
-0.0015547-0.0017722i,-0.0015549-0.001494i,-0.0024068-0.00046764i,-0.0015955+0.0008766i,-0.00048396+0.0010449i,8.0555e-05+0.00040335i,0.00030655-0.00015277i,-0.00010716-0.00036867i,-0.00043737-0.00035293i,-0.00055303-0.00023769i,0.0002989+6.7722e-05i,0.00028322+0.00087163i,-0.00050524+0.00072174i,-0.00045888+0.00014606i,-0.00066195-0.00010877i,-0.00088609-0.00010111i,-0.00080157-0.00044642i,-0.00058124-0.0010305i,6.9505e-05-0.00059787i,0.00017773+4.7227e-06i,-0.00015828+0.00052684i,0.00018888+0.0010229i,0.00041331+0.00075833i
0.00058225+0.0020487i,0.0015582+0.0028285i,0.0019936+0.003271i,0.0021965+0.0021664i,0.0017997+0.00074988i,0.00098461-0.00069254i,0.0006076-0.0012084i,0.00013537-0.00059944i,0.00076306-0.00055699i,0.0012836-0.0013383i,0.0010115-0.0016343i,0.00057484-0.0012588i,-0.00051673-0.001339i,-0.00038841-0.0014465i,0.00039511-0.00091592i,-0.00013722-0.0006649i,-0.000713-0.00075205i,-0.00020968-0.00033296i,0.00012879+3.2267e-05i,0.00017019+6.349e-05i,0.00060515+0.00035551i,0.00037952+0.0003028i,0.00045579-0.00040958i
0.00015134+0.0012843i,3.4663e-05+0.00075752i,0.00029925-0.00018286i,0.00062917+3.6453e-07i,0.0011194+3.7186e-05i,0.0011338+1.8347e-06i,0.00077425+0.00041545i,0.0002816+0.0004264i,-0.00014319+0.00013458i,-0.00017457-0.00094587i,0.00017339-0.001348i,0.00066936-0.00036344i,0.00062057+0.00018903i,0.00050017-0.00045746i,-4.5207e-05-0.00083249i,-0.00054667-0.00037426i,-0.00037637+7.0839e-05i,-0.00025035+0.00055671i,-0.00055559+0.000361i,-0.00044102-0.00016267i,-0.00073223-0.00033712i,-0.00049689-0.00016462i,9.4002e-05+0.00021418i
-0.0010531-6.0334e-05i,-0.0012249+0.00046606i,-0.00019133+0.0014808i,0.00061758+0.0020864i,0.0004809+0.00087248i,0.00044941+0.00033679i,0.00020991+0.00085522i,-0.00043486-0.00033124i,-0.00046542-0.00060406i,-0.00043528-0.00020499i,-0.00055048-0.00082213i,0.00013664-0.00090376i,0.00042271+0.00019984i,-0.00025604+0.0003994i,-0.00031481+0.00012585i,-0.00074029+0.00028424i,-0.00054007-4.1886e-05i,2.7505e-05-0.00065198i,-0.00025614-0.0007208i,-0.00059872-4.8635e-05i,-0.00032751+0.00030066i,-1.6896e-05+0.00050407i,-0.00030383+0.00059265i
0.00034808-0.00038829i,-0.00016513-0.00061046i,-5.8056e-05-0.00046333i,0.00025878-0.00025498i,-0.00037747-4.0043e-05i,-0.00051876+0.00077405i,0.00018959+0.00061027i,-6.5254e-05+0.00020718i,-0.00030529+0.00034448i,0.00058275-0.00032997i,0.00028571+6.1635e-05i,-0.0003815+0.00023958i,-0.00028149-0.00068433i,-0.00021099-0.00034707i,-2.7905e-06-0.00026747i,-0.0004507-0.00092557i,-0.00075576-0.00038448i,-0.00069274+0.0003576i,-0.00088063+0.00048205i,-0.00049112-2.5937e-06i,-0.0002992-9.5574e-05i,0.00010471+1.6059e-05i,0.00087718-0.00080268i
0.0018365-0.00050243i,0.00026327-0.00080225i,0.00020884-0.0016552i,0.0013446-0.0021774i,0.00092501-0.00082299i,-0.0002632+0.00043724i,7.3261e-05+0.00039107i,0.00041444+0.0002547i,0.00046125+0.00029392i,0.00038287+5.6597e-05i,-0.00026123+6.5472e-05i,-0.00098223-1.5951e-05i,-0.0011737+0.00023172i,-0.00060569+0.00025497i,0.00039221-2.5022e-05i,0.00073955-0.00039942i,0.00076326-0.00045615i,0.00081297-0.00031515i,0.0004892-2.0345e-05i,0.00056065+0.00091102i,0.00034845+0.00079353i,0.00011717+0.00033314i,0.00016604+0.0001462i
0.00074059+0.0029422i,0.00074513+0.0024021i,0.0010019+0.0025584i,0.001845+0.0024205i,0.0018348+0.0012273i,0.00097909+0.00048355i,-0.00018817+0.0003189i,-0.0007229+0.00078924i,-4.2856e-05+0.00089628i,0.00028185+0.00045068i,-0.00023873-0.00030349i,-8.334e-05-0.00015682i,-6.1715e-05+0.00058485i,0.00029155+9.1953e-05i,0.00049502-0.00058577i,6.9036e-05-0.00070081i,0.0001585+0.00065488i,0.00014793+0.001649i,-0.00054982+0.00048721i,-0.0003502-0.00041266i,0.00077178-3.0882e-05i,0.0016414+0.00023086i,0.0013764+0.00034182i
-0.0012856+0.00067739i,-0.00062027+0.00081356i,0.00080955+0.0017329i,0.0019131+0.0017477i,0.0024626+0.0011048i,0.0016906+0.0001157i,0.00086027+2.8377e-05i,-1.4289e-05+0.0012351i,-0.0001546+0.0014542i,0.00084025-1.7422e-05i,0.0012873-0.00086093i,0.0010486-0.00026255i,0.00078761-1.2663e-05i,0.00016723+0.00075663i,-0.00029155+0.00072779i,-1.5359e-05-0.00073625i,5.8668e-06-0.00075452i,0.00024675-0.00060097i,5.3887e-05-0.00020679i,-0.00082359+0.00041154i,-0.00048212-0.00017926i,-0.00012608-0.00067067i,-0.00039574-0.0001208i
