-0.00329+0.000577i,-0.0018785-0.00088627i,-0.0026784-0.00082127i,-0.0024636+0.0012567i,-0.0019427+0.0023017i,-0.0013956+0.0020181i,-0.00032491+0.0026378i,0.00076545+0.0020904i,0.0014586+0.00097555i,0.00099255+0.00047818i,0.00031798-0.00052707i,0.00015504-0.0011414i,0.00029033-0.00098751i,7.5025e-05-0.0003206i,-6.8483e-06+0.00040021i,0.00037566+0.00039277i,0.0013053-0.0001567i,0.00057938-0.00059711i,-8.4652e-05-0.00023506i,0.00066905+0.00017535i,0.00033932-5.3815e-05i,-0.0005136-0.0002809i,-0.00036985-0.00048824i
-0.0014185-0.00064989i,-0.0014159+0.00030039i,-0.0013367-4.8671e-05i,-0.0016719-0.00044256i,-0.00093032+0.00025116i,0.00023876+0.0011383i,0.00041218+0.0012425i,0.00019625+0.00055534i,-0.00064769-4.0019e-05i,-0.0011667-0.00035803i,-0.0010449-0.00031171i,-0.00092845-0.00025963i,-0.00026554-0.00054568i,-5.482e-05-0.00057858i,-0.00085955-0.00025788i,-0.0006922-0.00024484i,-0.0001491-0.001164i,0.0007547-0.0011625i,0.0015185+0.00091679i,0.00092667+0.0012845i,0.00021861+0.00050167i,-2.0755e-05+0.00065197i,-0.00028834+0.0010525i
-0.00048474-0.00039349i,-0.001075-0.00022897i,-0.0019269-0.00026292i,-0.0018602-0.00016256i,-0.00027041-0.00024115i,0.00096787-0.00036417i,0.00064437-0.00058901i,0.00066514-0.00042273i,0.00046994+0.00014923i,-2.408e-05+0.00033972i,-0.00052292+0.00036005i,-0.00021772+0.00032997i,0.00014948-0.00015119i,-0.00019106-0.00090748i,0.00064729-0.0007534i,0.00085748-0.00084915i,0.00018441-0.0011922i,0.00028472-0.00046597i,0.0002052+0.00035052i,-5.9338e-05+0.00071438i,-0.00018035+0.00053246i,-0.00075678-6.0483e-05i,-0.00021815+4.4926e-05i
0.00045674-0.00030094i,0.00058255-0.00015202i,0.00075808-0.0006623i,0.00078348-0.00094945i,0.00040658+0.00058361i,1.4955e-05+0.0015848i,-0.00025583+0.00099012i,-9.6604e-05+0.00098878i,0.00054554+0.0011678i,0.00012769+0.00051781i,-0.00011532+0.00013623i,0.00036965+0.00010876i,0.00033618-0.00031978i,0.00034721-0.0006415i,0.00067407-0.00067905i,0.00046858-0.00068179i,0.00083828-0.0002052i,0.00046778+0.0005509i,-0.0008483+0.00071687i,-0.00048289+0.00035033i,1.6164e-05+0.0012675i,-0.00058185+0.0013077i,-0.00029126-8.6044e-05i
0.0013698-0.0021691i,0.0014665-0.0018056i,0.0010654-0.0020986i,-0.00026037-0.001941i,-0.0011814-0.0012924i,-0.00093354-0.00079624i,-0.0002823-0.00013714i,0.00014999+0.00030793i,0.00068574+0.00029633i,0.0003419+0.00072259i,-0.00046903+0.00074713i,-0.00049721+0.00019748i,-0.00049417-0.00067497i,-0.00030982-0.0012264i,-0.00028312-0.0012152i,8.511e-05-0.00099982i,0.00036447-0.00028947i,0.00021201-6.8476e-05i,0.00033056+1.3356e-05i,0.00047268+9.0228e-05i,0.00099457+0.00022024i,0.0010774+0.00031102i,0.00038907+0.00088948i
0.00028541-0.0018955i,0.00073696-0.0021025i,0.00024396-0.0013795i,-0.00048139-0.00027163i,-0.0015002+2.4041e-05i,-0.0011171+0.0011798i,0.00081655+0.00085267i,0.0012985-1.2382e-05i,0.00030217-0.00021485i,-0.00019659+0.00016981i,-0.00023422+0.00049256i,-0.00012599+0.00010531i,-0.00071799-5.8095e-05i,-0.0014346-0.00028927i,-0.00045456-0.00077067i,0.00077013-0.00034374i,0.0009189+0.00014275i,0.00085049+0.0002265i,0.00072993+0.00054656i,0.00064067+0.00012016i,0.00037966-0.00053621i,-0.00052319-0.00089361i,-0.0005022-0.0005484i
0.0018467-0.0012564i,0.00061292-0.0019502i,-4.8608e-05-0.002274i,0.00015882-0.0020811i,-0.00016087-0.00033091i,-0.00085538+0.00018358i,-0.00081216-0.00019936i,-0.00044454-7.812e-05i,-0.00021263-3.2801e-05i,-7.5672e-05-0.00029711i,-0.00012481-0.00013663i,-0.00020316+0.00021803i,-0.00033791-0.00039931i,-9.6088e-05-0.0006793i,0.00023446-0.00060457i,0.00026908-0.00075823i,-0.0001185-0.00073246i,3.3166e-05-0.00064765i,0.0007368-0.00032012i,0.00056401+0.0003473i,-3.9866e-05+0.00036826i,-0.00072384-0.00097403i,-0.00063725-0.0014435i
-0.00028288+0.00036442i,-0.00012398+0.0004607i,-1.5092e-05+0.00037023i,-0.00045637+0.00017367i,-0.00060054+0.0013431i,0.00067772+0.0015318i,0.0016411+0.00045117i,0.0010266+0.00051476i,0.0003985+0.0007089i,0.00096617+7.6029e-05i,0.00094601+5.0682e-06i,0.00065194-9.2136e-05i,0.00082663-0.00027721i,0.00048596+0.00028409i,0.00070806+0.00069053i,0.00079467+0.00039513i,0.00061755-9.4273e-05i,0.00079389+0.00033036i,0.00088233+0.00037889i,0.00075033+0.00013172i,9.5769e-05+0.00045191i,-0.00051657+0.00036018i,-0.00056443+0.00018739i
-0.00055499-0.0020096i,6.5813e-05-0.00082635i,7.5694e-05-0.00079908i,-0.00034811-0.00071141i,-0.00049186+0.00029469i,-0.00065314+0.00064736i,-0.00034193+0.00024237i,0.00033907+7.5e-05i,0.00057295-0.00019i,0.00012318+0.00018184i,-0.00017115+0.00074726i,-6.2646e-05+0.00073724i,-8.5704e-05+0.00023329i,4.1676e-05-0.00014123i,-0.00052088+7.6341e-05i,-0.00061374+0.00034541i,-0.00049553+0.00018267i,-0.00013224+0.00029094i,-0.00017952+0.0001059i,-0.00049019+0.00016574i,-0.00027784+0.00016431i,0.00013274-0.00035272i,0.0004264-0.00039111i
5.5672e-05+0.00081651i,-0.00018684+0.00079027i,-0.00046279+0.00072435i,9.8104e-05+0.00033386i,0.00035171-0.00020162i,0.0002431-0.00021104i,-1.0428e-05-7.6625e-05i,-0.00055978+0.0001303i,-0.00026626+0.00053716i,0.00046199-6.2067e-05i,0.00053862-0.00075543i,0.00015693-0.00084586i,0.00031918-0.00082266i,0.00026864-0.00054662i,-4.8351e-05-0.00042624i,-0.00031949-0.00071347i,-0.00022618-0.00069967i,-3.7114e-05-0.00060633i,-0.0005708+0.00017672i,-0.00081204+0.0011638i,-6.1004e-05+0.00095276i,0.00034282+0.00015175i,0.00029593-5.921e-05i
-0.00083398-0.0012389i,-0.00082054-0.00081353i,-0.0015827-0.00062897i,-0.001415-8.4314e-05i,-0.0012295+0.00068563i,-0.00073333+0.0010284i,-4.1201e-05+0.00096276i,0.00076001+0.00024852i,0.00059184-0.0007458i,-0.00054728-0.0010216i,-0.00098141-0.0012599i,-0.00040947-0.00091318i,0.00011443-0.00031666i,-0.00018448+6.846e-06i,-0.00023833+0.00043562i,0.00023787+0.0002064i,0.00045554-0.00026472i,0.00018744-0.00021293i,5.4015e-05-0.00035679i,0.00022463+0.00012316i,-0.00018323+0.00013701i,0.00017123-0.00021691i,0.0005691-0.00058329i
0.00027695+0.00036924i,-0.00015966-0.00011745i,0.00068585-0.00083188i,0.00020802-0.0010035i,-0.00040845-5.1953e-05i,-5.5244e-05+0.00035134i,0.00048708+0.00036004i,0.0010185-7.909e-05i,0.00092193-0.00068438i,0.00064928-0.00065069i,0.0008947+0.00010381i,0.00054979+0.00015512i,0.00026249+0.00025785i,0.00014776+0.00020172i,0.00033422-6.7569e-05i,0.0010306-0.00045648i,0.0014295-0.00062135i,0.0011055+6.5408e-05i,-0.00026099+0.0003366i,-0.00037245+0.00032742i,0.00038473-0.00022447i,0.00023111-0.00037411i,-0.00059496-0.00013992i
-0.0012364-0.00074923i,-0.0020944-0.0001051i,-0.0022123-8.5229e-05i,-0.00062935+1.3594e-05i,0.00044316+0.0009057i,0.0015157+0.0014831i,0.0017771+0.0010055i,0.00022781+0.00035056i,-0.00089551+0.00037411i,-0.0010078+0.00062852i,-0.00095854+0.0010972i,-0.00022007+0.0009569i,0.00097885-0.00028238i,0.00054872-6.0528e-05i,0.00012877+0.00068678i,0.00088594+0.00022751i,0.00068844+8.0867e-05i,0.00054934+0.00085495i,0.00054857+0.0012079i,0.00016617+0.00092067i,0.00018129+0.00062983i,0.00064322+0.00031106i,0.00069022+0.00046189i
-0.00021376+0.0015358i,-0.00067139+0.0018062i,-0.00059856+0.001455i,-0.00061718+0.00029938i,0.0001917+3.5723e-05i,0.00048822+0.0011577i,0.0004448+0.00076634i,0.0014307-0.00016698i,0.0012897-0.00076026i,0.00022922-0.00087181i,-0.00024869-0.00049682i,0.00044019-0.00024464i,0.00085693-0.00052562i,0.00034862-0.00028832i,0.00059337+0.00037677i,0.00030592+0.0008088i,0.0005398+0.0004957i,0.001273+3.103e-06i,0.00056197+5.4492e-05i,-6.8415e-05+0.00063455i,9.0616e-05+0.00081829i,0.00053852+0.00022129i,0.00040174-0.00048965i
-0.0013244+0.00067931i,-0.0012972+0.00078373i,-0.0015708+0.0014275i,-0.00079661+0.0018585i,0.00086731+0.0022091i,0.0015115+0.0018672i,0.0017225+0.0011901i,0.0012103+0.00081714i,0.0010401+0.00027348i,0.00060094-0.00031898i,0.00019792-0.00091708i,0.0005335-0.00058613i,0.000945-0.00087283i,0.00074837-0.00066698i,-0.00012141-0.00016186i,-0.00038751-0.00074438i,0.00037392-0.0010818i,0.00058196-0.00081924i,-0.00022505-0.00021505i,-0.00011686+3.5185e-05i,0.00021829+0.00012299i,8.7677e-07+0.00058301i,0.00027121+0.00026347i
-0.00084862-0.0012054i,-0.0003361-0.00085907i,0.00031959-0.00038338i,0.00021694-0.00064027i,-0.00058945-0.00088174i,-0.00014755+0.00070585i,-8.3725e-05+0.001546i,-0.00048584+0.00099204i,-0.00031825+0.00055259i,-0.00077757+0.00083852i,-0.0012972+0.00087736i,-0.00058203+0.00022875i,-0.00031522-0.00065554i,-0.00078164-0.00027358i,-0.0003502+0.00053296i,4.2852e-05+7.963e-05i,0.00031207+3.8025e-05i,0.00078318+0.00018875i,0.0009525+0.00024801i,0.00083332+0.00036309i,0.00027438+0.00021243i,-0.00015366-0.00023743i,-0.00039861-0.00073747i
-0.0028569-5.6956e-05i,-0.0026593+0.00044836i,-0.0017437+0.00054881i,-0.00031401+0.00014062i,-0.00028438+0.00034198i,-0.00045568+0.00054412i,4.5801e-05+8.5575e-05i,0.00028392+0.0001949i,0.00057832+0.00012946i,0.00024751-0.00024564i,0.00035393-0.0004871i,0.00064776-0.00012562i,0.00065472+0.00027785i,0.00014139+8.6738e-05i,-0.00029857-0.00024274i,-4.5741e-05-0.00043785i,-0.00065961-0.00066713i,-0.0010887-0.00019838i,-0.00025759+0.00042336i,-0.00024235+0.00094518i,-0.00035191+0.00065017i,0.00034764-0.00046825i,0.00073933-0.0006199i
-0.0010371-0.00092098i,-0.00023753-0.0020107i,-0.00024551-0.0017595i,-0.0011531-2.9762e-05i,-0.0024408+0.00057027i,-0.0023323+0.0001631i,-0.0015042+2.4077e-05i,-0.0011523+0.00016923i,-0.00050836-0.0002498i,0.00011012-0.00066093i,-0.00030681-0.00096893i,0.0001972-0.00047543i,0.00021227+0.00012524i,-0.00057498+9.1642e-05i,-0.00036567-0.00013369i,-0.0001405-0.00023094i,0.0002456-1.1844e-05i,-9.4554e-05-5.8619e-05i,-0.00074595+0.00019332i,-0.0007776+0.00031225i,-0.00084939+3.7307e-05i,-0.00063542-0.00021555i,-0.00022019-0.0002084i
0.00085419-0.0013745i,0.001194-0.00062009i,0.0014365-0.00095111i,0.00073605-0.00014491i,-0.00040511+0.00063804i,-0.0004195+0.00087076i,0.00035571+0.00081843i,0.0011845+0.00067707i,0.0012565+0.00046519i,0.00068096-0.0001734i,3.3243e-05-0.00048904i,-0.00050845+8.4807e-05i,-0.00051819-1.1957e-05i,-0.00044401-0.00040243i,-0.00016812-0.00033i,0.00011504-0.00045891i,0.00030069-0.00040887i,-0.0002758-0.000314i,-0.00043784-0.00022062i,-0.00067184-5.4744e-05i,-0.00098865-7.2627e-05i,-0.00038718+0.00021099i,-8.922e-05+0.00022517i
0.0014981-0.0020581i,0.00026132-0.0014619i,0.00092882-0.001825i,0.0011822-0.0018556i,-0.00022807-0.00036389i,-0.001228+0.00077885i,-0.00011923+0.00093727i,0.00091428+0.00073223i,0.00092937+5.6738e-05i,0.00089605-0.00073592i,0.00079724-0.00099599i,0.00075674-0.0006719i,0.00065194-0.00063998i,0.00075098-0.0010819i,0.00075974-0.00059673i,0.00051846-0.0002897i,0.00055314-0.00074317i,0.00061898+7.1294e-05i,0.00054481+0.00029311i,0.00025716+6.1679e-05i,-0.00036506+0.00013643i,-0.00075488+0.00015971i,-0.00085662+4.6188e-05i
0.0010535-0.0016383i,0.0014206-0.0022166i,0.0014617-0.0021069i,0.00012415-0.00063331i,-0.00038496+0.0010072i,0.0001429+0.0021132i,0.00060109+0.0016988i,0.00045958+0.00072182i,-0.00029273-2.1258e-05i,-0.00054462-0.00045991i,-0.00056433-0.00032561i,-0.00084362+8.3711e-05i,-0.00027037-0.00014774i,0.00021923-0.00079731i,-0.00012462-0.00037737i,-9.9065e-05+0.00035734i,-0.00010536+0.00046337i,-0.00023105+0.00021509i,-0.00038735-0.00018766i,-0.00012751+6.3412e-05i,-0.00011843+0.0006612i,-8.6145e-05+8.1247e-05i,-0.000202-0.00055849i
5.621e-05+0.0029586i,-0.00033228+0.0017866i,0.00050948+0.0029144i,0.0013009+0.0030277i,0.0003832+0.0016892i,-0.00016265+0.00046791i,4.1341e-05-0.00027305i,0.00057708-0.00030243i,0.00073089-0.00011574i,0.00046686-9.652e-05i,0.00052997-0.00025356i,0.00039349-0.00016677i,0.00078103-0.00026365i,0.0011298-0.00029824i,0.0010296-3.1768e-06i,0.00088412-9.8813e-05i,0.00048551-3.0141e-05i,0.00044754+0.00016113i,0.00026279+0.00014727i,-4.5687e-05-0.00018901i,0.00011614-9.5713e-05i,-2.2893e-05-0.00054101i,-4.0011e-05-0.00087322i
-0.0017503+0.0014431i,-0.0015048+0.0015271i,-0.0016975+0.0011575i,-0.00062625+0.0016332i,3.8114e-05+0.0025841i,0.00058715+0.0016428i,0.0011789+0.000841i,0.00096795+0.00095566i,0.00022343+8.2228e-05i,-1.5913e-05-0.00035856i,0.00038784+0.00042443i,0.00092947+0.00039123i,0.00078215-0.00027323i,0.00048563-0.00040591i,0.00038645+0.00025842i,-7.7318e-05+0.00067993i,0.00020357+0.00016232i,0.00072741-0.00056018i,-1.3526e-05-0.00085493i,-0.00063613-0.00061727i,-0.00058625+0.00013587i,-0.00027497+5.298e-05i,8.1532e-05-6.9435e-05i
0.00033404+0.00070245i,0.00045382+0.00067206i,-0.00015005+3.5382e-05i,-0.00093824-0.00057377i,-0.00024594-0.00091516i,0.000689-0.00022994i,0.00065751+3.8236e-05i,0.00055917-0.00064981i,0.00028167-0.0001973i,0.00054037+0.00067248i,0.00039294+0.00060098i,0.00048987+0.00015984i,0.00049118+0.00020762i,-3.5515e-05+0.00020183i,0.0002649-0.00013296i,2.3072e-05+0.00010754i,0.00033676+0.00057365i,0.0006868+0.00047025i,4.3097e-05+0.00066782i,0.00017299+0.00064405i,0.00056725+0.00040745i,-2.9541e-05-0.00013029i,-0.00086011-0.00052187i
-0.0011259+0.00057777i,-0.00074966+0.00083345i,-0.0011342+0.00050593i,-0.0017346+0.00063765i,-0.00203+0.00096417i,-0.001521+0.0011198i,-0.00085075+0.00078553i,-0.00042225-0.00044335i,0.00046343-0.0010818i,0.00084492-0.00092639i,0.00082595-0.00085181i,0.00030953-0.00049548i,-0.00030569-9.9184e-05i,-0.0001944-0.00026986i,-0.00033519-0.00043425i,-0.00039105-0.00045464i,-0.00045969-0.00071212i,-0.00020112-0.00012262i,-0.00044178+0.00071169i,-0.00093187+0.00045312i,-0.00028542+6.0235e-05i,0.00042259-4.1344e-05i,0.00057525-3.8197e-05i
0.00066022+0.0010916i,0.00094991+0.0011439i,0.0007271+0.00074324i,0.00083961+2.2254e-05i,0.00073371+2.1485e-05i,0.00025729+4.4025e-05i,2.3076e-05-0.00049048i,0.0001915-0.00054427i,0.00061656-0.00032767i,0.00081834-0.00032718i,0.00080686-0.00016379i,0.0010898+0.00017064i,0.00045722-1.3432e-05i,-0.00011399-0.0010049i,0.00040538-0.00083643i,0.00054576+9.1211e-06i,0.00012055-0.00013298i,-0.00018399+0.00012638i,7.9501e-05+5.2167e-05i,0.0008264+1.9312e-05i,0.0012962+0.00039876i,0.0016832+0.00037885i,0.0010392+0.00025517i
-0.0023941+0.0022952i,-0.0022877+0.0027746i,-0.0015543+0.0017498i,0.00032858+0.0013887i,0.0011019+0.0019742i,0.0009349+0.0012343i,0.00074013+0.0003135i,0.00039465-0.00042879i,0.00047223-0.0003826i,0.00026587-0.00028105i,-0.00034093-0.00025561i,-0.00023647-0.00087014i,0.00016977-0.0012872i,0.000526-0.00032659i,0.0011975+0.00036008i,0.00061038+0.00059725i,0.00022972+0.00021498i,0.00032519-0.00021999i,-0.00027336+0.00018921i,-0.00019587+1.3719e-05i,7.4121e-05+5.5251e-05i,0.00068638+7.0072e-05i,0.00042059+1.3724e-05i
-0.00066584+0.0011018i,-0.0016225-8.4713e-05i,-0.0024763-0.00048991i,-0.0022379+5.5104e-05i,-0.0013603+0.00077201i,7.1279e-05+0.0010849i,0.00044766+0.0011375i,6.7475e-05+0.00011075i,0.00076182-0.00027353i,0.00090593+0.00053051i,-0.00044819+0.00025469i,-0.00096284-0.0010644i,-0.00042458-0.0014506i,-0.00026971-0.00082074i,0.00027873-0.00056297i,0.0004701-0.0012102i,-2.6696e-05-0.0015759i,0.00014223-0.0012556i,0.00039593-0.00067641i,6.4519e-05-0.00027905i,0.00015357-0.00042716i,0.00055842-1.7855e-06i,5.6672e-06+0.00013204i
-0.00035412+0.0018151i,1.597e-05+0.0021347i,-0.00027183+0.0020454i,-0.00050433+0.0021693i,0.00034408+0.0021663i,0.001266+0.0014087i,0.00096338+0.00091986i,-0.00021331+0.00058762i,-3.2595e-05+0.00011356i,0.0004105-0.00040103i,0.00045016-0.00064653i,0.00048965-8.3907e-05i,0.00050353+0.00022553i,0.00094219+0.00027775i,0.0011267+0.00059296i,0.00084747+2.0378e-06i,4.0245e-05-0.00072284i,3.8365e-05-0.0006351i,0.00030116+0.00014403i,0.00036411+4.8308e-05i,0.00042719-0.00015484i,0.00050461-0.00029363i,0.00069008+0.00012433i
0.0012638+0.00025753i,6.2455e-05+0.00049754i,-0.00053575+0.00022946i,-0.00044418+0.0007202i,-0.0011441+0.00061218i,-0.00027019+7.5055e-05i,0.00072617-8.4116e-05i,0.001094-0.00035409i,0.0014077-0.0007882i,0.0009434-0.00088111i,0.00038944-0.00030828i,-0.00027045-0.0002706i,-0.00042574-0.00081185i,6.7192e-06-0.00079529i,0.00051098-0.00020528i,0.00081819-8.8432e-05i,-0.00016855-1.0458e-05i,-0.00092189-0.00015842i,-0.00036299-5.0206e-05i,-6.9133e-05+0.00078618i,-0.00036225+0.00094376i,-0.00020435+0.00021413i,0.00016888-0.00019658i
-0.00034041-0.00042124i,-0.0016714-0.00045907i,0.00045221-0.00069517i,0.0016105-0.00046508i,0.00057369+7.8921e-05i,-7.1132e-05+0.00072103i,0.00037568+0.00043504i,0.00038906-6.9124e-05i,0.0006554-0.00029253i,0.0010359-0.00051059i,0.000552-0.00070095i,0.0002802-0.00088888i,0.00020648-0.0015603i,0.0004518-0.0011865i,0.00070345-8.5357e-05i,7.2954e-05-5.4435e-05i,-0.00030805-0.00010473i,-0.00012708-0.0003368i,-5.5329e-05-0.00050223i,-1.2504e-05-7.9382e-06i,5.6663e-05+0.00042156i,-0.00021279-0.00013935i,-0.0003028-0.0010392i
-0.0002471-0.00035252i,0.00046671+0.00029018i,0.00019876+0.00042997i,-0.001504-0.00035966i,-0.0020944+0.00034499i,-0.0011781+0.00067854i,0.00039681-0.00067979i,0.0014329-0.0007096i,0.00094695-2.3876e-05i,0.00086562+0.00062875i,0.00061989+0.00090796i,0.00043416-0.00051362i,0.00057464-0.0012735i,0.00031093-0.00074494i,-0.00049051-0.00049284i,-0.0011255-0.00040786i,-0.0010381-0.0004762i,-0.00095784-0.00015182i,-0.00028901+0.00045123i,0.00015503+0.0009771i,-0.00021501+0.00080479i,0.00011456+0.00045995i,0.0008358+0.00035919i
