0.001395+0.0013277i,0.00064279-0.00014284i,0.0002309-0.0013813i,0.000256-0.0015226i,-0.0014768-0.0012038i,-0.0026868-0.00062563i,-0.0014781+0.00020263i,-0.00013478+0.00049673i,0.00060849+4.9026e-05i,0.0014462-0.00042275i,0.0014714-0.00077172i,0.00087197-0.00067975i,0.00046238+0.00012632i,-4.2685e-05-0.00010609i,-0.00013832-0.00014869i,-9.0715e-05+0.00026418i,-0.0006041+0.00021532i,-0.00060461+4.2525e-05i,-0.00033377-4.2565e-05i,-0.00067375-0.0002279i,-0.00063506+2.2207e-05i,-0.00037596+0.00055093i,-0.0001572+0.00037499i
0.001123-0.00017392i,0.0015189-0.0013266i,0.001362-0.00091614i,0.00084205-7.8313e-05i,0.00013092-0.00019451i,-0.00046956-0.00082824i,-0.0015476-0.00051546i,-0.0020179+0.00034636i,-0.00064553+0.00067228i,0.00036854+0.00096875i,0.00041194+0.00075704i,0.0008168+0.00072815i,0.00081092+0.00062308i,0.00049982+0.00020973i,-4.5443e-05-6.6407e-05i,-0.0006069-0.00025518i,-0.00024916-0.00014379i,-0.00052778+0.00016431i,-0.0006186-0.00045288i,-0.00018948-0.0010661i,0.00015479-0.00056645i,0.00027881-0.00075391i,0.00055768-0.0007503i
-0.00014839-0.0027965i,0.00010957-0.0022711i,-0.00092974-0.00058013i,-0.0021821+0.00040557i,-0.0015646+0.00015763i,-0.00031697-0.00062916i,-6.291e-05-0.0011873i,0.00010158-0.00093651i,-1.3538e-05-0.00025031i,-8.802e-05+0.00060643i,0.0002541+0.00081991i,0.00023431+0.0011842i,0.00092801+0.0013384i,0.0016298+0.00049692i,0.0011741+0.00024355i,0.00059525+0.00013113i,-0.00044608-0.00032933i,-0.0010201+5.8898e-05i,-0.00011749+0.00010583i,0.00079425-0.00053094i,0.00087224-0.00017612i,0.000122-2.0172e-05i,-0.0004528-0.00029997i
-0.00080271-0.00025704i,-0.0014607-0.0006235i,-0.0011515-0.0003896i,-0.0011453+0.00024423i,-0.0008316+6.687e-05i,-0.00056712-0.000312i,-0.00056848+0.00010117i,-0.00055232-0.0005331i,-0.00075135-0.0010156i,-0.00091681-0.00039115i,-0.00064222+0.00038839i,-0.00049912+0.00039953i,-0.00027801+0.00012434i,0.00045275+0.0002943i,-8.3618e-05+0.0004083i,-0.00011551-0.00074057i,0.00034074-0.0010079i,-0.00024384-8.1706e-05i,-7.7695e-05+5.4155e-05i,0.00049082-6.9621e-06i,-0.00015772-0.00032819i,-0.00065589-0.00033876i,-0.00041998+0.00046814i
-0.0009716-0.0002103i,-0.0014219-0.00031395i,-0.0014855+0.00040193i,-0.0011317+0.00098815i,-0.00092139+0.00033654i,-0.00025951-0.00069799i,-0.0002916-0.00068947i,-0.00031437+0.00010854i,0.00019334+0.0010437i,0.00033077+0.0016408i,0.00056729+0.0016414i,0.0003908+0.0010875i,0.00077807+7.7359e-05i,0.00087818-8.9425e-05i,0.00011292-0.00067021i,-0.00043587-0.00074231i,-0.00054845-0.00051704i,-0.0001631-0.00094614i,-6.9962e-06-0.00091285i,-0.0001657-0.0009148i,3.6495e-05-0.00093922i,-0.0001413-0.0010107i,-0.00059724-0.0004287i
-0.00060136-0.00070909i,-8.1049e-05-0.00035829i,-0.00054015+0.00031988i,-9.1064e-05+0.00084197i,-0.00047802+0.00028951i,-0.00095099-0.00022427i,-0.00083077-0.00023125i,-0.001178-0.0012022i,-0.0015115-0.00090513i,-0.00072731+0.00014739i,0.00059084+0.00011103i,0.0010497-0.00057125i,0.00051397-0.00058748i,9.9833e-05-9.4476e-06i,0.00035067-7.1518e-05i,0.00019371+0.00060973i,-0.00064754+0.0013729i,-0.00031146+0.001014i,-0.00035547+0.0006349i,-0.0010219+0.00019128i,-0.00052026+8.1047e-05i,-0.00075061+0.00014284i,-0.00079172-0.00029157i
-0.00042764-0.0004381i,-0.00093104+3.6233e-05i,-0.0015133+8.2838e-05i,-0.00058245-0.00035603i,-5.9605e-05-0.00067737i,-0.0005589-0.0018117i,-0.00079334-0.0017594i,-8.1201e-05-0.00060033i,-0.00071296-9.8767e-05i,-0.00092528+0.00044593i,-0.00055061+0.0006716i,-9.3092e-05+8.2161e-05i,0.00042603-0.00044654i,0.0010301-0.00067907i,0.00090836-0.00071919i,-0.00021545-0.0010316i,-0.00079151-0.00093507i,-0.0011006-0.00067057i,-0.00066812-0.00064549i,4.3649e-05-0.00046732i,0.00032111-0.00017962i,-0.00023528+6.8706e-05i,-0.00072014-5.3691e-05i
-0.0006643+0.001183i,-0.00057548+0.0015536i,-0.00091497+0.00079091i,-0.0010417-0.00026111i,-0.00071038-0.0010554i,-0.00093758-0.0014919i,-0.0010668-0.0010882i,-0.0009516-0.00048401i,-0.00099663+0.00026124i,-0.00073837+0.00032005i,-0.00064026-0.00017897i,0.00018243-0.00061196i,0.00040779-0.00069919i,-0.00016899+0.00011203i,0.00013848+0.00084707i,0.00027773+0.00094937i,0.00034458+0.00065436i,0.00022506-0.00015973i,-0.00028425-0.00036828i,-0.00062508+8.6091e-05i,-0.00025868+0.00057834i,0.00030224+0.00092064i,0.00095039+0.000747i
0.0017957-0.00093609i,0.0016338-0.0010977i,0.00039122+0.00015373i,0.00022502+0.00087726i,-0.00031968+0.0001513i,-0.00088325-0.0011206i,-0.00088798-0.0015732i,-0.00053608-0.00058654i,0.00017857+0.00064057i,0.00027106+0.0012963i,-0.00046377+0.00025204i,-0.0011749-0.00091639i,-0.0013649-0.00153i,-0.0010252-0.001101i,-0.00023616+0.00024059i,0.00031734+0.00054514i,-0.00027626+0.00023925i,-0.00024602+0.00013079i,2.2118e-06+0.00026153i,-0.00035123+0.00015914i,-0.00014858-7.2983e-05i,-1.2401e-05+0.00029159i,-0.00072724+0.00021748i
-0.00062703+0.0010089i,-0.00048765+0.00049761i,-1.2712e-05-5.2739e-06i,-0.0006159-7.3494e-05i,-0.0018434-0.0007781i,-0.0014646-0.00087467i,-0.00056323+0.0001053i,2.6364e-05+0.00059771i,-0.00045932+0.0008988i,-0.00089558+0.0011559i,-0.00025749+0.00071166i,-0.00069811+0.00065241i,-0.0012224+0.00047427i,-0.00099802-0.00060298i,-0.00037127-0.00053207i,0.00065428-0.00028769i,0.0011076-0.00035336i,0.00063965-5.7027e-05i,-8.5989e-05+0.00021271i,-0.00046746-0.00018245i,-0.0003767-1.8568e-05i,-0.00081285+0.00095302i,-0.00061935+0.0011595i
0.001133+0.00026661i,0.0012614-0.00083098i,0.00030545-0.0016404i,-2.7838e-05-0.0013668i,6.2337e-06-0.0014271i,-0.00083986-0.0011997i,-0.0014347-2.7222e-05i,-0.001473+0.00064486i,-0.00090684-5.5376e-05i,-0.00020931-0.00058176i,-0.00017021-0.00050332i,-0.00074911-0.00094241i,-0.00081568-0.0012323i,-0.00107-0.0002022i,-0.00080925+0.00064155i,-0.0002191+6.7729e-05i,-0.00044472-2.2307e-05i,-0.00072511+0.00047402i,-0.0007396+0.00051417i,0.00018958+0.00051527i,0.00010334+9.4036e-05i,-0.00085776+0.0001292i,-0.00046529-9.9217e-05i
-0.00059357-0.00032709i,-0.00031986-0.0001695i,-0.00074731-0.0006961i,-0.00077564-0.0017031i,-0.0010448-0.0016004i,-0.00076745-0.0012041i,-0.00059593-0.0015042i,-0.0004967-0.0015348i,-0.00042022-0.00098682i,-0.00069991-0.00025348i,-0.00047032+0.00013535i,9.8564e-05+0.00023559i,-0.0001319+0.00026589i,-0.0008312-0.00048723i,-0.0005767-0.00086384i,5.25e-05-0.00037595i,0.00031284-0.00042134i,0.00044603-0.00040543i,-6.7202e-05-0.00053781i,-0.00046707-0.0014697i,-0.00020975-0.0011853i,1.766e-05+0.00034757i,-0.00045216+0.0010943i
0.00062742-0.0012057i,0.0007188-0.0021235i,0.0009706-0.0018839i,0.00078243-0.00070369i,0.00010866-0.0008735i,-0.00078118-0.00182i,-0.0014039-0.0014853i,-0.00078187-0.00048557i,0.0007889-0.00022182i,0.0018262-7.0568e-05i,0.0014905+0.00023951i,0.00083854+0.00033475i,0.00047511+0.00073486i,0.00021984+0.00060659i,-4.699e-05+0.00010025i,-0.00047838-0.00060516i,-0.00028385-0.00083973i,0.00019713-0.0001418i,-0.00019197+0.00045267i,-0.00048283+0.00086498i,-0.00044818+0.00057837i,0.00028253+1.8925e-05i,3.7752e-05-0.00041029i
0.0022316+0.0008025i,0.0018828+0.0012415i,0.0007553+0.00099377i,1.2529e-05+0.00048916i,0.00028798-5.3679e-05i,0.00079593-0.001155i,0.00039329-0.0014085i,-0.00024068-0.0010181i,2.3537e-07-3.1879e-05i,0.00063049+0.00069706i,7.1847e-05+0.00075487i,-0.00021918+0.00054512i,3.0692e-05-4.9719e-05i,-0.00029779-4.5857e-05i,-0.00014129+0.00042345i,0.00060942+0.00019749i,0.00024081+0.00026691i,-0.00065273+0.00035717i,-0.00086101-0.00019791i,-0.00059701-0.00023869i,-0.00038958-9.9909e-05i,-0.00012955-0.00061937i,0.00051605-0.00049129i
-0.00015852-0.00017553i,-0.00090257-0.0002373i,-0.00073056-0.00034445i,-0.00048781-0.00093397i,-0.0011439-0.00078227i,-0.0015818-7.4626e-05i,-0.00085077+0.00022854i,-0.0003671-2.2055e-05i,-0.00041703+0.00016567i,-0.00095518+0.00057134i,-0.00019863+0.00062063i,0.00059115+0.00077765i,8.6557e-05+0.00058736i,-0.00016939+0.0003043i,-0.00021468+0.00051192i,-0.00018153+0.00013105i,0.0001207-0.00036424i,-0.00012948+0.00010174i,-0.00069817+0.00033647i,-0.00027609+0.00055533i,0.00027548+3.9339e-05i,0.00092759-0.00052683i,0.00084545-0.00014323i
-0.00015375-0.00086032i,-0.0013743-0.0020311i,-0.0017177-0.0012217i,-0.0016256-0.00086351i,-0.0013147-0.00071858i,-0.0016638-0.00069956i,-0.0018999-0.0008942i,-0.0012061-0.00021884i,-0.00047863-0.00051554i,0.00018736-0.0014715i,0.00054904-0.0011418i,0.00036368-0.00080681i,-0.00018099-0.00064585i,-0.00023661+0.00020203i,-0.00020445+0.00041682i,-0.00060739-0.0002673i,-2.7764e-05-0.00042382i,0.00053452-0.00031205i,-8.3261e-05-0.00082842i,3.7052e-05-0.00071272i,0.0004502+0.00031037i,-0.00041269-3.904e-05i,-0.00063078-0.0013985i
-0.00059234+0.0009478i,-0.00051692+0.00086303i,-0.00030764+0.00097412i,-8.4888e-05+0.00038864i,0.00029485-0.00049624i,0.00067804-0.0015084i,0.0002534-0.0012478i,-0.00024892-0.0004583i,-0.00021621-0.00022307i,0.00020848+4.7744e-05i,0.0004131-0.00025933i,0.00011914-0.00087142i,0.00036289-0.00095428i,0.00037917-0.0010787i,0.00033865-0.0011874i,0.00033451-0.0012271i,0.00015786-0.0013884i,0.00057822-0.0018192i,0.00065041-0.0020619i,0.00034408-0.0015225i,4.3061e-05-0.0012487i,-0.00011957-0.00083889i,-7.9512e-05-0.0010861i
0.00054543-0.00032584i,0.0017399+2.254e-05i,0.0012977+0.00030423i,0.00023397+0.00061407i,-0.00022937-0.00021058i,-0.00030885-0.00080854i,-0.0010438+4.5284e-05i,-0.0014538+0.00022475i,-0.00094092+8.3849e-06i,-0.00027151+0.00057336i,5.5074e-05+0.0011433i,-0.00043896+0.00088653i,-0.00011286+0.00034805i,0.00052225-3.8473e-05i,-0.00013793-0.00035127i,-0.00052733-0.00032037i,-0.00019359-0.0006054i,0.00018403-0.00026406i,9.9832e-05-0.00019671i,-0.00018977-0.0006099i,0.00033395-0.00044621i,0.00075203-0.00012588i,0.00043257+0.00018571i
-0.0017219+8.5953e-05i,-0.0018755-0.00048392i,-0.0018318+0.00018239i,-0.0010173+0.00059483i,-0.00022114+0.00027498i,-8.6725e-05-0.0010274i,-0.0014004-0.0025764i,-0.0021879-0.0018963i,-0.00048751-0.00059919i,0.0010966+4.217e-05i,0.0015349+0.00065508i,0.0015588+0.00035903i,0.0011093-6.8036e-05i,0.00062324+4.5018e-05i,0.00056545+0.00033192i,0.0005517+0.00014343i,0.00079017+9.3029e-05i,0.00050422+0.00047865i,0.00046402+0.00063596i,5.1501e-05+0.00013301i,-9.3276e-05+8.3704e-05i,0.00015727+0.00026129i,3.5261e-05-0.00010681i
-0.00021335-0.0020418i,-0.0018632-0.0012069i,-0.0030283-0.0010444i,-0.0018066-0.00070212i,-0.00069765-8.2419e-06i,-0.00052765-0.00031595i,1.4656e-05-0.0012997i,0.00060495-0.0012547i,0.00047562-0.00087322i,0.00024104-0.00056196i,4.7332e-05-0.00027012i,0.00029451-0.00023347i,-4.4371e-05+0.00016573i,-0.00032354+0.00060942i,0.00010191+0.00031133i,0.00036522-0.00040332i,0.00050112-0.001046i,0.00029449-0.0010401i,-5.3354e-05-0.0011359i,0.00020132-0.0011921i,0.00012541-0.00041459i,-0.00045036+7.4665e-05i,-0.0005045-0.00021228i
0.00011442+6.8705e-05i,-6.593e-05-0.00067746i,-0.00057554-0.00034894i,-0.0013752+0.00045866i,-0.0011952-0.00026824i,-0.00092473-0.00079605i,-0.0013097-6.5102e-05i,-0.00053185+0.00020561i,0.00041994-0.00028837i,0.00056686-0.0005125i,0.00056209+1.7707e-05i,0.00041849+0.00020013i,0.00066875+0.00040849i,0.0010452+0.00062876i,0.00067511-0.00037876i,-0.00020158-0.00074941i,-0.00028471-0.00021052i,-0.00015908-0.00027201i,-0.0006673-0.00066792i,-0.00040494-0.00030957i,0.00044483+0.00053527i,5.325e-05+0.00021631i,-0.00039265+0.00050862i
0.00053735-0.0010773i,7.2296e-05-0.0022998i,0.00041944-0.0019271i,0.00090236-0.0016769i,0.0010793-0.0017089i,0.00037747-0.0013123i,-0.00023138-0.0007651i,-0.00042012-0.00039345i,-0.00051298-2.1706e-05i,-0.00042987+0.00015084i,2.8018e-05-7.1424e-05i,0.00010288+0.00028052i,-0.00026867+0.00066057i,-0.0005545+0.00034209i,-0.00028587+0.00090499i,-3.1184e-07+0.0015426i,-3.6639e-05+0.0014717i,0.00053585+0.00072103i,0.00042793-4.6501e-05i,-2.6593e-05-0.00015867i,-4.1085e-05+0.00019909i,1.6817e-05+0.00039738i,-2.0982e-05+0.00014633i
3.6537e-06-2.9903e-05i,0.00042834+6.3514e-05i,0.00077192+0.00027122i,0.00027084+0.00082523i,-0.00097932+0.00086966i,-0.0018928+0.0012971i,-0.0018244+0.00163i,-0.0015552+0.001057i,-0.0013144-0.00015434i,-0.00030739-0.00097424i,0.0010545-0.00030034i,0.0010893+0.00028141i,0.00035213+0.0001744i,-0.00030273+0.00022425i,-0.00064654-0.00016046i,-0.00082196-0.0011351i,-0.00066783-0.001148i,-0.00041058-0.00045105i,-0.00020118-0.00050994i,0.00014287+0.00030565i,0.00053646+0.00062373i,0.00034479+0.00017546i,0.00021087-0.00034252i
-0.00017888-0.0021342i,-0.0020149-0.0023771i,-0.0026981-0.0007492i,-0.0019329+0.00023273i,-0.00072229-0.00043985i,-0.00057369-0.00070365i,-0.0010382-0.00034764i,-0.00065211-0.00024741i,-0.00057639-0.00041343i,-0.00075502-0.00058122i,0.0003405-0.00052077i,0.0010862+0.00022423i,0.00066486+0.00051065i,0.0002785+0.00038539i,-3.6548e-05-5.6587e-05i,0.00034795-0.00074164i,0.00036172-0.0006315i,-0.00033013-0.00021992i,-0.00034367+6.2298e-05i,-0.00022732-0.00054435i,2.8653e-05-0.0012966i,-9.3394e-05-0.00036117i,-0.00023698+0.00076277i
-0.00016114-2.0141e-05i,-5.4147e-05+0.00037683i,0.00036736+0.0013088i,0.00040494+0.0017332i,-0.00010098+0.00080651i,-0.0013443-0.00053296i,-0.0010354-0.000646i,-0.00052481+7.7604e-05i,-0.00087564+0.0004644i,-0.0010333+0.00012687i,-0.00089812-0.00010425i,-0.00038259+0.00013559i,-0.00025144+0.00032322i,0.00012572+0.00012938i,-0.00041106+0.00020919i,-0.00031605+0.00045844i,0.00053934+0.00030953i,3.0315e-05+0.00055955i,-0.00057297+0.0004941i,-7.6415e-05+0.00019228i,-0.0002671+0.00013103i,-0.0010332-0.00030321i,-0.00015807-0.0001699i
-0.00087663-0.00039517i,-0.0017722+0.00012267i,-0.0019863-0.00013036i,-0.0019778-0.00032471i,-0.0019254-0.00029707i,-0.0014253-0.00074554i,-0.00099881-0.00096004i,-0.00079827-0.0004486i,-0.00018158+0.00010725i,0.0001313+0.0002879i,0.00044447+0.00012485i,0.00078907-0.00011891i,0.00029798-0.00012614i,-0.00031651+0.00019859i,-0.00017557+0.00019379i,6.3239e-06-9.942e-05i,0.00018896-0.00019943i,-0.00024957+0.00064982i,-0.00036027+0.00060898i,0.00015585-0.00050493i,4.7455e-05-0.00093154i,0.00033346-0.00084985i,-1.5994e-05-0.00087264i
-0.00065033-0.0020035i,-0.0015345-0.0025384i,-0.001913-0.0015795i,-0.00073481-0.00079567i,-0.00056528-0.00073512i,-0.00072004-0.00049253i,-0.00050472-0.00013056i,-0.00014391+0.00055275i,-0.00012168+0.00095428i,-0.00058894+0.00027158i,-0.00057311+0.00033558i,-0.00020605+0.00070685i,0.00020706+0.0013355i,0.00081201+0.0014569i,0.00097571-8.5389e-05i,0.00071254-0.00051267i,0.00074301-0.00057374i,0.00067188-0.00057255i,0.00077598+9.516e-06i,0.00065201+0.00028028i,-0.00011951+0.00035333i,-0.00055737+0.000559i,-0.00038085+0.00018918i
-0.0019169-0.0018943i,-0.0022449-0.0014118i,-0.0030646-0.00020288i,-0.0021113+0.0010389i,-0.00036447+0.0010507i,0.00070787-0.00044571i,0.00051804-0.0015627i,-0.00047201-0.00090431i,-0.00093528+2.9886e-05i,-0.00086607+0.00085825i,-0.00036102+0.00071347i,2.3972e-06+0.00013506i,0.0001858+1.1678e-05i,0.0005457-7.5803e-05i,0.0012016+0.00053658i,0.00081366+0.00091247i,0.0001419+0.00018819i,0.00024282+4.5609e-05i,0.00049294-0.00016265i,0.00047932-0.0002432i,-8.4084e-05+0.00046223i,-0.00058524+0.00069581i,-0.00010356+0.00054948i
-0.0017076-0.0012236i,-0.00028989-0.0018158i,6.9672e-05-0.0018721i,-0.00039083-0.0013934i,-0.00024343-0.00060219i,0.00032962-0.00090862i,0.00034975-0.00083941i,-0.00033919-0.0007531i,-0.00041235-0.0015768i,-9.1913e-05-0.0011231i,-1.9054e-05-0.0001403i,-0.0004608-1.5931e-05i,-0.00041113+0.00022865i,0.00040183-0.00027737i,0.00087368-0.00044765i,0.00075092+2.739e-05i,0.00030503+0.00011729i,-2.0497e-05+1.3705e-05i,0.00039956-1.2954e-05i,0.0008701-1.6275e-05i,0.00022334-0.00073653i,-5.424e-05-0.0004769i,0.00022967+7.9588e-05i
0.0018639+0.0015984i,0.0022919+0.0017553i,0.0022799+0.002491i,0.0012897+0.0015555i,4.1967e-05-5.0454e-05i,-0.0011914-0.0011579i,-0.0013463-0.0012868i,-0.00044323-0.00079823i,0.00011754+4.1961e-05i,0.00050669+0.00087805i,0.00044539+0.00044559i,-0.00046665+0.00031432i,-0.0012513-0.00025934i,-0.001224-0.001428i,-0.00057728-0.0010048i,-0.00011312+0.00038765i,-0.00064761+0.0010352i,-0.00056683+0.00056899i,-0.0003965+0.00040588i,-0.0010654+0.00054461i,-0.0011563+0.00027615i,-0.00013187+0.00038136i,0.00023688+0.00079352i
0.00018939-0.00015984i,-0.00011747-0.00053472i,-0.00042724-0.0013331i,-0.00030223-0.001505i,-0.00055768-0.00095775i,-0.0012287-0.0010223i,-0.0010158-0.001158i,-0.00062592+2.4439e-05i,-0.00046456+0.00075788i,-0.00074847+0.00071973i,-0.00027883+0.00048524i,0.00063133-0.00015632i,0.0007083-1.1804e-05i,0.0003998+1.4328e-06i,0.0003418-0.00011246i,0.00062048-0.00024076i,0.00039475+7.8562e-05i,-0.00013238+0.0004212i,-0.00026434-1.1561e-05i,-0.00021976-0.00032072i,-0.00013638-0.00048036i,8.0911e-05-0.00023472i,-0.00012573-0.00048243i
-0.00146-0.0016977i,-0.0018918-0.0023456i,-0.0021122-0.0020736i,-0.0016016-0.0013631i,-0.00072896-0.00047444i,-0.00071943-0.00047613i,-0.00097382-0.00033317i,-0.00077956+0.00019953i,0.00031992+0.00025957i,0.00073028+0.00032475i,0.00068184+0.00041204i,0.00071195-6.8766e-05i,0.00040124-0.00014732i,-0.00024977+0.00010753i,-0.00020891-0.00018316i,0.00018932-0.00019999i,-0.00021956+0.00046066i,-0.00039336+0.00070606i,-0.00010532+0.00080469i,-1.4424e-05+0.00096995i,-0.00014166+0.0010252i,-0.00026546+0.0004613i,7.0529e-05+3.2156e-05i
