-0.0032277-0.00032658i,-0.0023361-0.00086845i,-0.0019955-0.0013679i,-0.001684-0.00095451i,-0.00086599+7.1193e-05i,5.9785e-05+0.0013332i,0.00034444+0.0016297i,0.00015228+0.0013672i,0.00038245+0.00089171i,0.00058058+0.00011496i,0.00036152+0.00014595i,4.3163e-05+0.00049102i,-0.00054159+0.00051188i,-0.00055575+0.00024974i,0.00011192+0.00013449i,-0.00037287+4.9506e-05i,-0.00082455-0.00028063i,0.00029721-0.00013285i,0.0010588+0.00030159i,0.00067697+0.00043483i,0.00016176+8.9226e-05i,-8.8468e-05+4.2273e-05i,-7.0755e-05+0.00017533i
-0.0033617-0.00037122i,-0.0041915-0.0010384i,-0.0025657-0.00055944i,-0.00072774+0.00058632i,-0.0004462+0.00087224i,-0.00049107+0.00055889i,-2.3669e-05+0.00079359i,-3.4346e-05+0.00059974i,-0.00060791+0.00025322i,-0.0003665+0.00083737i,0.00052886+0.00070641i,0.00064861+0.00024678i,-0.00030803+0.00024307i,-0.00087303-0.00029407i,1.9515e-05-0.0011884i,0.00095145-0.0011253i,0.00049938-0.00060591i,-0.00044485-0.00021533i,-0.00021742+0.0004924i,0.00074641+0.00092961i,0.00045495+0.00059071i,0.00020621+0.00030172i,0.0002992+0.00045425i
0.0026925+0.00017011i,0.0030481+0.0015862i,0.0026317+0.0014081i,0.0018123-6.8121e-06i,0.00081362-6.1785e-05i,-0.00014994+0.00041313i,-0.00038319+0.00067646i,0.00013689+0.00064173i,0.00014763+0.0004522i,-0.00031568+0.00038576i,-0.00082676+0.00024901i,-0.00095722-0.00058982i,-0.00035414+8.2001e-06i,0.0003802-3.87e-05i,0.00057732-0.0013079i,0.00010469-0.0011414i,1.2322e-05-0.00080319i,-0.00010733-0.0011256i,0.00036323-0.00081692i,0.00064299-8.5406e-05i,-1.3726e-05+0.00019153i,9.8341e-05-4.9606e-05i,0.00042306-0.00042451i
-0.00026952-0.001172i,-0.0016848-0.0015678i,-0.0022359-0.00088546i,-0.0019623-0.00033994i,-0.0013941-0.0011281i,-0.00062175-0.00012646i,0.00016049+0.0006843i,-1.9406e-05-0.00019061i,0.00014651-0.0002983i,0.00023799-6.4035e-05i,-0.00058741-0.00089353i,-0.00097129-0.00079461i,-0.00034211-0.00039266i,-0.00011542-0.00093074i,-0.00051102-0.0011005i,-0.00065855-0.0009156i,-0.00036922-0.00083769i,-0.00038117+5.5436e-05i,-0.00055515+0.00059413i,-0.00011908+0.00033655i,-0.00055253-0.00033117i,-0.0004861-0.00022016i,1.3989e-06+0.00033263i
0.00091986-0.0034342i,0.0022156-0.003099i,0.0018403-0.0017483i,0.0010498+0.00023423i,0.00062196+0.0015678i,0.0007652+0.0016216i,0.00043759+0.0011797i,-0.000257+0.0002589i,-0.00055171+1.2232e-05i,-0.00068919+0.00024562i,-0.00041255+0.00042749i,-0.00038051+0.00050131i,-0.00072728+0.00060821i,-0.00070759+0.00077913i,-0.00039746+2.1976e-05i,-0.00044111-0.00038923i,-0.00073975+0.00033216i,-0.0012936+0.0005782i,-0.0018808+0.0006348i,-0.00087714+0.00057188i,-6.7733e-05+0.00010266i,-0.00014097-0.00052965i,-3.6885e-05+6.2229e-05i
0.0011326+0.0013042i,0.00097157+0.0026058i,0.00074879+0.0019533i,0.00041759+0.0009586i,-0.00050349+0.00085456i,-0.00020101+0.00091241i,-0.00017365+0.00049083i,-0.00034952-5.8991e-05i,-0.00046072+0.0003959i,-0.00116+0.00054206i,-0.00059268+0.00064503i,0.00045884+3.7881e-05i,0.00063192-0.00053152i,0.00034873-0.00019625i,0.00033485-0.00018161i,0.00016035-0.00036794i,0.00019803-0.00065892i,0.00016712-0.00052276i,-0.00035093-0.00050662i,-0.00064237-0.00030341i,-0.00017987+3.5231e-05i,0.0005715+0.00051848i,0.00022506+0.00037917i
-0.00030304-0.002437i,0.00071302-0.0015728i,0.00051343+1.7007e-05i,-0.00034685+0.00086257i,-0.00057652+0.0022937i,-0.00024924+0.0027193i,-0.00019776+0.0014495i,-0.0011347+0.00054161i,-0.001236+0.00053731i,-0.0008282+0.00065055i,-0.001072+0.00018791i,-0.0005155-0.00028801i,0.00065457-0.00055523i,0.0011387-0.00093371i,0.00059922-0.00079022i,-0.00026417-0.00010156i,-0.00044871+0.00069945i,-0.00049843+0.00045885i,-0.00066493-0.00055375i,-0.00057724-0.00059724i,-8.1677e-05+4.8842e-05i,8.1241e-05+7.4283e-05i,5.6849e-06-0.00064833i
-1.0782e-05-0.00066867i,-0.0013272+0.0010174i,-0.00075774+0.0024205i,0.00086976+0.0015172i,0.0009818+0.0011071i,0.00088519+0.00057785i,0.00057067+5.5393e-06i,0.00028964-0.00020215i,0.0002666-0.00011095i,-0.00033697-0.0005763i,-0.00063884-0.00057913i,-0.00036562-0.00026328i,0.00018071-0.00031504i,0.00030123+0.00042307i,-0.00035743-0.00018142i,-0.00033898-0.0010206i,0.00013077-0.0010412i,0.00046316-0.00040317i,0.0010821+0.00041738i,0.0006988+0.0007809i,-0.00040791+0.00050737i,-0.00058827-0.00036338i,0.00055375-0.00048066i
-0.0016213-0.00028635i,-0.0029657-0.0010142i,-0.0024596-2.6982e-05i,-0.00057616+2.4218e-05i,0.00048205+0.00013712i,0.00032957+0.00062941i,-0.00014571+3.2893e-05i,-2.5306e-05-0.00013016i,0.0003136+0.00017953i,0.00043696+3.3847e-05i,0.00025912-0.00028723i,-0.00024323+1.1083e-07i,-0.00030698+0.00010349i,-1.5204e-05-0.00058636i,0.00046656-0.00034414i,0.00081193+0.00021969i,0.00017616-7.2869e-06i,-0.00057435+0.0002915i,-0.00051682+0.00045743i,-0.00024371-4.1603e-05i,-0.00052+0.00013849i,-0.00013174+0.00039783i,0.00018435+0.00017775i
-0.0025501-0.0028506i,-0.0027959-0.0015115i,-0.001412+0.00053473i,0.00026894+0.0025091i,0.00075549+0.0022721i,0.00061292+0.0011386i,0.0009529+0.00045056i,0.00061104+0.00015595i,-0.00050099+0.00019206i,-0.00075869+0.0004668i,-0.00029437+0.00048584i,-0.0001495+0.00040923i,0.00033399+0.00024283i,0.00025859-0.00027241i,-8.5462e-05-1.059e-05i,-0.0002562+0.00047955i,-0.00042377+0.00045107i,-0.00041406-0.00018117i,-0.00029628-0.0010926i,4.8513e-06-0.000943i,0.00012065-0.00021476i,-0.00031096-0.00037027i,-0.0001744-0.00082969i
-0.00057528-0.00036132i,-0.0014474-0.0003149i,-0.0012857+0.0004421i,8.0871e-05+0.00088338i,0.0010693+0.00091381i,0.0012134+0.00056372i,0.00069771+0.00015715i,-0.00071849+9.5035e-05i,-0.0015956-0.00021396i,-0.0012268+0.00016298i,-0.00046264+0.00032123i,-0.00010417-0.00029235i,-0.00027818-0.00061457i,3.5277e-06-0.00082563i,0.00057089-0.00063284i,-0.00022335-0.00014423i,-0.0012646-0.00014668i,-0.0012769-0.00027483i,-0.00070647-0.00023354i,-7.2039e-05+0.00010637i,0.00029914-0.00047772i,0.00074467-0.0010522i,0.00088245-0.00027598i
0.0010133+0.0017403i,0.0025671+0.00362i,0.0036371+0.0028311i,0.0024905+0.00080432i,0.0010027+0.00048339i,0.00040175+0.0010146i,-0.00015896+0.00021581i,-0.00068763-9.8045e-05i,-0.00048571+0.00037284i,0.00038919+0.0005245i,-6.2217e-05+0.0004402i,-0.0011453+0.00084381i,-0.0011121+0.00089532i,-0.00060406+0.0008701i,-0.00010454+0.00038387i,0.00065447-0.00077364i,0.0002591-0.00083727i,-0.00021727-0.00051177i,-0.0004677-0.00062247i,-0.00013871-0.00032457i,0.00023298+0.0002156i,-0.00011272+0.00074516i,-0.00046185+0.00017517i
-0.0044317-0.00072851i,-0.006518+0.00028595i,-0.0048031+0.00061086i,-0.0018204+0.0012231i,-0.00070127+0.0019573i,-0.00024878+0.0012013i,0.00069566+0.00052296i,0.00040315+0.0010013i,-0.00041957+0.0010062i,-0.00061518-0.00016248i,-0.00024846-0.00107i,0.00014703-0.0015913i,-0.00021127-0.0010996i,-0.0002922-0.00052215i,0.00034115-0.00032126i,0.00086825-9.4736e-05i,0.0010853+0.00036294i,0.0010157+0.00055993i,0.00049967-0.00010314i,0.00019493+0.00010606i,0.00028629+0.00098941i,6.4401e-05+0.00025488i,4.5797e-05-0.00088711i
0.0013196-0.0022038i,0.001581-0.0018373i,0.0018907-0.0017656i,0.0016289-0.0020037i,0.0013941-0.00084138i,-5.8796e-05+0.0014897i,-0.00062167+0.0021591i,0.00045369+0.0012309i,4.3399e-05+0.00042297i,-0.0005674-0.00049435i,-0.00093596-0.00071176i,-0.00059362-0.00024473i,-3.0152e-05+0.00114i,2.753e-05+0.0014599i,8.1446e-05+0.0004652i,-0.00041803-0.00016068i,-0.00093394-0.0004101i,-0.000247-0.00017716i,0.00013203+7.2894e-05i,-0.00010676+0.00038971i,0.00015517+0.00072159i,0.0005175+0.00043041i,-8.3477e-06+0.00028259i
-0.0028602+0.00054589i,-0.0033409+0.001606i,-0.0023651+0.0016543i,-0.00063218+0.0016284i,9.2651e-06+0.0018284i,0.00018634+0.0013441i,0.00025024+0.0010955i,0.00047201+0.0011837i,0.00027184+0.00035775i,-0.00075297-0.00045236i,-0.0010099-0.00059937i,-0.0002582-0.00077737i,0.00034139-0.0016988i,0.00026674-0.0013238i,-0.00028164-0.00089285i,-0.0001596-0.00084987i,-0.00028514-0.00028018i,-0.0003812-0.00010799i,-0.00028166+0.00016166i,-0.0003692+0.00050532i,-0.00057561+0.00039002i,-0.00084278-7.363e-05i,-0.00027044-9.3349e-05i
-0.0012719-0.002547i,-9.782e-06-0.002456i,0.00042497-0.001807i,0.00027865-0.00092522i,8.1322e-05-7.732e-05i,0.00010779+0.00063745i,1.6789e-06+0.00010399i,-0.0014163-0.00023016i,-0.0022246+0.00040641i,-0.0018995+0.00063533i,-0.0015545+0.00035028i,-0.0005854+0.00032027i,0.00041875+0.0001903i,9.6077e-05+0.00024447i,-0.00078467+0.00025097i,-0.00035387-0.00018932i,0.00057375-0.00039111i,0.00049436+0.00033634i,-0.00012017+0.0010545i,1.0499e-05+0.00071898i,0.00035427+8.8007e-05i,0.00043021-0.00058995i,0.0011504-0.00059855i
0.00019242+0.00045607i,1.3874e-05+0.0017817i,-0.00088257+0.0027874i,-0.00063295+0.002359i,0.00066649+0.0017182i,0.0012085+0.0012077i,0.0008568+0.00079027i,0.00031422+0.00067422i,-0.00051437+0.00078388i,-0.00044585+0.00047743i,0.00065975+0.00035321i,0.0009493+6.4171e-05i,5.4347e-05-0.00044569i,-0.00037399-1.1756e-05i,-0.00022866+0.0003227i,-0.00048533+7.7339e-05i,-0.00046749-0.00037955i,-0.00014685-0.00085028i,0.00033965-0.00010626i,0.0004137+0.00035597i,0.00045881+0.00012034i,0.00032009+0.00076635i,-5.1038e-05+0.00065397i
-0.0025137-0.0015626i,-0.0019086-0.0029394i,-0.00011884-0.002387i,0.0010184-0.00082712i,0.00017505-0.00034662i,-0.0006194+0.00056625i,-0.00022471+0.00038233i,-0.00048649-0.00037512i,-0.00037282+2.9141e-05i,0.00036787+0.00036485i,0.00054924-1.5636e-06i,0.00019283-0.00035924i,-6.058e-05-0.00040054i,1.7364e-05-0.00046225i,9.8271e-05-0.00086984i,-0.00019699-0.00080694i,-0.0010512-0.00049342i,-0.001132-0.00054743i,-0.00034251-0.00041101i,-0.00028757+0.00065384i,-0.00068487+0.0011177i,-0.00083804+0.00063137i,-0.00071079-6.4495e-06i
-0.00070573-0.00058678i,-0.0017237+0.00099773i,-0.0016049+0.0032656i,0.00043663+0.0030152i,0.0014064+0.0019542i,0.00098138+0.0015194i,0.00094409+0.00061585i,0.00058841+0.00016112i,-0.00017196+0.00011947i,-0.00039213-0.00026923i,0.00011995-0.00067475i,0.0011304-0.00070212i,0.00095544-0.00064796i,-0.00026712-0.0007635i,-0.0011137-0.00099192i,-0.001081-0.0006569i,-0.00086319+0.00024666i,-0.0006815+0.0004438i,-0.00050614+0.00048209i,-0.00013513+0.00060911i,-0.00028385+0.00073046i,-0.00031763+0.00064037i,-0.00055957+0.00060606i
-0.00226-0.0025363i,-0.0034283-0.0030239i,-0.0035756-0.0022455i,-0.0023163+0.00051829i,-0.0011938+0.0018617i,-0.00029721+0.001787i,0.00026553+0.00063927i,0.00030145-0.00050752i,-0.00048876-0.00068944i,-0.00095694-0.0005585i,-0.00042002-0.00035789i,-0.00022119-0.00030526i,-0.00055283-0.00026529i,-0.00031932+0.00035375i,-0.00011333+0.00070146i,-0.00045503+0.00039494i,-0.0010543-0.00025059i,-0.00096567-0.0003964i,-0.00051805+0.00018199i,-0.00065687+0.00091339i,-0.00017714+0.0007211i,0.00028877-0.00039904i,0.00030092-0.0011416i
0.001655+0.0013217i,0.0023286+0.0012581i,0.0037909+0.00058977i,0.0027679-0.00012116i,0.00070794-0.0010095i,0.00035263-0.00028571i,0.0011807+0.00036932i,0.0010615+4.7658e-05i,-0.00036893-0.00030944i,-0.0012629-7.5427e-05i,-0.0017933+0.00048873i,-0.0017571+0.00088535i,-0.0011731+0.0010436i,-0.00068828+0.0014008i,-0.00049124+0.00051681i,0.00029313-0.00087285i,0.0010444-0.0012164i,0.00028067-0.00094635i,5.6614e-05+8.1165e-06i,0.00057568-9.8539e-05i,0.00038318-0.00072786i,0.00013748+0.00015922i,-0.00019344+0.00049633i
-0.0027158-1.9786e-05i,-0.0039897+0.0013835i,-0.0039501+0.0017846i,-0.0026672+0.0013312i,-0.0018865+0.00020908i,-0.0011015-0.00041504i,-0.00050685-0.00064886i,-0.00014622-0.0003151i,-0.00029167+0.00047715i,-0.00043676+0.0013233i,0.00010105+0.0017758i,-0.00033619+0.00097802i,-0.00065999-0.00060469i,0.00023219-0.0012391i,6.1761e-05-0.00072431i,-0.001081-0.00010514i,-0.0016282+0.00043472i,-0.0012374+0.00073306i,-0.00024321+0.00029223i,9.5998e-05+0.00029209i,-0.00054433+0.0005274i,-0.00036095-0.00019034i,0.0001245-0.00018885i
0.00097675-0.00072893i,0.00052727-0.0013151i,0.0021483-0.00055193i,0.0032001+0.00029529i,0.0021802-0.00014027i,-0.00018859-0.00026001i,-0.0016452+0.00098545i,-0.0014354+0.00098057i,-0.00099896+0.00025991i,-0.00060337+0.00011096i,-0.00018152-0.00067078i,-5.4202e-05-0.00097176i,0.00043072+5.2429e-05i,0.00057549+0.00032314i,-1.3536e-06+6.6934e-05i,-0.00061772+0.00026766i,-0.0015752+0.00086195i,-0.0015823+0.00064578i,-0.0002575+0.00047385i,-0.00020184+0.00033602i,-0.00067799-0.00071525i,-0.00024058-0.00087285i,0.0010032-0.00048669i
2.2412e-06+0.00335i,-0.00014729+0.0025087i,0.0011285+0.0011724i,0.0015148+0.00074448i,0.0012252+0.00098025i,0.00078799+0.00069275i,0.00068871-0.00053182i,0.00096012-0.00078545i,0.00083946-0.0002599i,0.00021056-0.00062166i,0.00047259-0.0010262i,0.00040936-0.0010124i,5.9716e-05-0.00017616i,0.00022072+0.00057303i,-0.00018096-7.8861e-05i,-0.0001189-0.00044385i,-0.0002495+4.3062e-05i,0.00016221+0.00078614i,0.0010243+0.0011003i,0.0010055+0.00097949i,0.00080636-4.6297e-05i,0.0001497-0.00039296i,-0.00015536-0.00015789i
-0.0015073-0.0025256i,-0.00098545-0.0028053i,-0.00060019-0.0018171i,-0.00038806-0.00028561i,-0.00030708+0.0015532i,6.757e-05+0.0017558i,0.0004537+7.4854e-05i,6.3515e-05-0.00025067i,-0.00074767-0.00011328i,-0.00044863-2.3945e-05i,-0.00034234-0.00016724i,-0.00019973-0.00026393i,0.00062401+0.00058264i,0.00051618+0.00067338i,0.0011138-6.589e-05i,0.0017962-0.00014564i,0.00038491+0.0003585i,-0.00062371+0.00017269i,-6.7316e-05+6.5224e-05i,4.1307e-05-7.8681e-05i,-0.0003417-0.000469i,-0.00052858-0.00083952i,-0.00047231-0.00040744i
0.001988-0.00086476i,0.0010975+0.00075155i,-0.0002191+0.0011911i,-0.00089671+0.00064969i,-0.00094733+0.00089243i,-0.00079208+0.00056249i,0.00038892+9.5688e-05i,8.5165e-05+0.00014404i,-0.0014003+0.00050593i,-0.001513+0.0008124i,-0.00040922+0.00035068i,0.00046494-0.00029409i,0.00019076+0.00041073i,1.3627e-05+0.0010321i,0.00025878+0.00035651i,0.00038371-0.00034374i,0.00047745-0.00037761i,0.00036302+0.00068082i,0.00062981+0.00079227i,0.0012742+0.00063098i,0.00068707+0.0002387i,6.1848e-05-0.00072427i,-6.187e-05-0.00056417i
1.1464e-05+0.0022292i,0.00030393+0.0017251i,0.00081954+0.00034517i,0.0013239-0.00032151i,0.0010628-0.00020137i,0.00051667+0.00018745i,0.00016639-0.0001038i,-0.00060963-0.00067549i,-0.00056167-0.00045889i,0.00041968+0.00069483i,0.00040264+0.00076293i,0.00047238+1.8066e-05i,0.00035742-0.00034372i,-2.8192e-05+0.00014809i,-0.00067314+0.00045767i,-0.0012208-0.00064402i,-0.00021306-0.0011528i,-2.9741e-05-0.0008445i,-0.00022307-0.00071863i,-0.00069919-0.00077871i,-0.0013056-0.00092793i,-0.00068621-0.00052239i,-0.00027296-0.00071239i
0.00099574-0.00011089i,0.00063856-0.00053986i,0.00063962-0.0008734i,0.00061459-0.0001068i,-0.00042496+0.00065936i,-0.00053731+0.00039307i,3.9733e-05-2.0247e-05i,-0.00038764+0.0002401i,-0.0011438+0.00074344i,-0.00068213+0.00063126i,-0.0002798+0.00018324i,-1.0361e-05+0.00013869i,0.00032968-0.00015907i,0.00085154-0.00020912i,0.00020611+1.7435e-05i,-0.00096288-0.00051094i,-0.0010263-0.00039831i,-0.00094262+0.00040625i,-0.0010461+0.00094569i,-0.00075191+0.00018227i,-0.0004522-0.00039213i,-0.00035296+0.00012943i,-0.00061299+4.3493e-07i
-0.0024351-0.0017254i,-0.0014816-0.0010464i,0.00077125-0.00022443i,0.0018619+0.00042559i,0.0017231+0.0014631i,0.00071581+0.0018098i,0.0006136+0.00084995i,0.00037837-0.00021874i,-0.00088275+0.00020216i,-0.0012154+0.00044343i,-0.0008041-0.00050879i,-0.00045657-0.001338i,-0.00037577-0.00080267i,-3.4124e-05-0.00061855i,-1.1269e-05-0.00042744i,-0.00068703+0.00040928i,-0.00030495+0.00074542i,-9.222e-05+0.00068737i,-9.9369e-05+0.00052411i,0.00024104+0.00012837i,-0.00051389-0.00020361i,-0.00032285-0.00016637i,-0.0001072+0.00047019i
3.722e-05-0.0022606i,-0.00053906-0.00067247i,-0.0012019+0.0016306i,-0.0013381+0.0020637i,-4.2624e-05+0.0016041i,0.0010722+0.0013575i,0.00021044+0.00076788i,-0.00054872-6.4577e-05i,-0.00054681-4.8829e-05i,-0.00056506+0.00047553i,9.5659e-05+0.00048439i,0.00023108+0.00023899i,0.00016884-9.7264e-05i,0.00064736-0.00075398i,0.00039175-0.0010299i,0.00015175-0.00013334i,0.00052255+0.00040376i,0.00042492-0.0002697i,0.00037248-0.00080248i,8.7399e-05-0.00035946i,-0.00044409+6.0526e-05i,-0.0005668-0.0003507i,-0.00050844-0.00067405i
-0.00045157+0.00074543i,-0.001112+0.0011317i,-0.0014151+0.0012571i,-0.00041096+0.0016543i,-7.8093e-05+0.001904i,0.00062787+0.0016019i,0.00081514+0.00080538i,9.3616e-05-0.0002689i,-6.7674e-05+0.00026706i,-0.00018912+0.00090175i,-7.7311e-05+0.00013902i,0.00050855-0.00049119i,0.0003219-4.0592e-05i,-0.00024547-0.00021626i,-0.00048675-0.0005641i,-2.7476e-05-0.00026335i,0.00014148+5.6709e-05i,8.3758e-05-4.7433e-05i,-0.00052858-0.00023271i,-0.0010011-0.00050313i,-0.00019487-0.00045182i,0.00057926+4.0524e-05i,0.00057664-1.0261e-06i
-0.006145-0.00055034i,-0.0055438-3.7507e-05i,-0.0030451+0.00044986i,-0.00094018+0.00042877i,-0.0009229+0.000678i,-0.00065168+0.00047571i,-0.00027314-5.3698e-05i,-0.00067703-0.00021335i,-0.00082759+0.0003299i,-0.00049707+0.00099454i,-0.00013269+0.00021948i,-0.00069315-0.00083424i,-0.00093249-0.00063679i,-0.00046888-0.00047898i,-0.00035717-0.00054248i,-0.00036403-0.00042914i,-0.00075963-0.00053961i,-0.00077512-0.00090778i,0.00018754-0.00088158i,0.00065136-0.00058692i,0.00060642-0.00031194i,0.00036537-0.00015699i,0.00013225-0.00026943i
0.0013524-0.0039857i,0.0013337-0.0048046i,0.00063946-0.0032234i,-9.3042e-05-0.00063965i,-7.4255e-05+0.00014519i,0.00014929-0.0010179i,0.00023389-0.0015093i,0.00018905-0.00037862i,2.1435e-05+0.00062027i,4.117e-05+5.3535e-05i,0.00014945-0.0012723i,-0.00034411-0.001476i,-0.00089317-0.00050162i,-0.00085162+0.00030687i,-0.00088387+0.00023797i,-0.00089871+6.7404e-05i,-0.00069964+0.00022229i,-0.00055297+0.00098846i,-0.00057741+0.00092942i,-0.00031568+0.00052895i,-0.00022774+0.00021797i,-0.00029234+0.00014043i,2.9441e-05+3.444e-05i
0.00012907-0.00079612i,0.00051976+7.6024e-05i,0.00062014+0.0014071i,0.0008693+0.0018333i,0.00094574+0.0015954i,0.00068725+0.0015183i,0.0010817+0.0008441i,0.00084613+0.00039906i,-0.00042459+0.00010083i,-0.00042718-0.00082079i,0.00011639-0.00075209i,0.00010295+5.6868e-05i,4.2215e-05+0.00095627i,0.00039974+0.0012339i,0.00034333+0.00010942i,-0.0003945+0.0002202i,-0.00069553+0.00070423i,-0.00013858+0.00093961i,0.00016589+0.00029953i,4.3414e-05-0.0005734i,0.0001387-0.00014129i,-0.00012556+0.00033639i,-0.00090333+1.7255e-06i
0.00054365-0.00019051i,0.00034219+0.0007803i,0.00016712+0.00065441i,-0.00077303-0.00055878i,-0.00087266-5.3035e-05i,-0.00043627+0.00060526i,-0.00063572+0.00010391i,-0.00069783-0.00044453i,-0.00077168-0.00049389i,-0.00086704-0.00039554i,-0.00068785-0.00057148i,-0.00024721-0.00050902i,0.00042564-6.344e-05i,0.00012462+0.00021997i,-0.00061506+0.00010432i,0.00017714+5.5952e-05i,0.00048668-0.00025091i,-6.4704e-05-0.0004983i,-0.00034514-0.00065171i,-0.00015101-0.00025405i,0.00028685+0.00027473i,0.00061211-9.8471e-05i,0.00023218+0.00012548i
0.00057614+0.0021247i,-2.2719e-05+0.0030679i,0.00037345+0.0032277i,-8.5836e-05+0.0030595i,-0.00089732+0.0012374i,-0.00030651+0.0002401i,-0.0003762-0.00014899i,-0.00048176-0.00097962i,-0.00073152-0.0011898i,-0.00042925-0.0013548i,0.00012272-0.0010874i,-0.00012116-0.00049393i,-0.00026163-0.00036096i,-0.00032038-1.3654e-05i,-0.00013015+0.00012514i,0.00015385-0.00081036i,-0.00036273-0.0012492i,-0.001131-0.00027929i,-0.00039986+0.00030356i,0.0007056-0.00012206i,0.00077205+0.00027495i,0.0003121+0.00043883i,-4.4339e-05+0.0004252i
-0.0038497-0.00025063i,-0.0054575-0.00093533i,-0.0050904-0.00084814i,-0.0022241-0.00067536i,0.00035097-0.00055759i,0.0005366+0.00014711i,7.6606e-05+0.0002558i,0.00017815+0.00041261i,-0.0003556+0.0012512i,-0.00083334+0.0011315i,-0.00033436+0.0008042i,-2.0058e-05+0.0011171i,-0.00016982+0.00086893i,-0.00040339-0.00038269i,-0.0004263-0.0011713i,-0.00051627-0.0012451i,-0.00069782-0.0010124i,-0.00020236-0.0004345i,0.00014724+0.0010557i,-0.0001507+0.001771i,-0.00048337+0.00052714i,-0.00010007-0.00010347i,0.00036759+0.00021579i
0.0022088-0.0016908i,0.0026217-0.00065698i,0.0023679-0.00098893i,0.0007646-0.0013061i,-0.00062701-0.00082374i,-0.00061219+0.00016908i,0.00033493+0.0003223i,0.00040402-0.00021567i,0.00039026-9.2927e-05i,0.00087757-0.00049425i,0.00074863-0.00087695i,-0.00031946-0.00068708i,-0.0014248+0.00028056i,-0.0014202+0.00056657i,-0.0012029-5.4609e-05i,-0.001163+5.4426e-05i,-0.0005267+0.0003661i,1.1964e-05+6.6768e-05i,-0.00028392-0.00014285i,-0.00013314+0.0002956i,0.00050738+0.0010042i,0.00012222+0.0007505i,-0.00047019+0.00026902i
-0.0012706+0.0011044i,-0.00095336-4.6712e-05i,0.00045249+0.0017609i,0.002312+0.0026613i,0.0031291+0.0020621i,0.001923+0.0013744i,0.00037286+0.00065877i,0.00071884+0.0002557i,0.001039+8.0406e-05i,0.001008-0.00082682i,0.0010052-0.0013654i,0.00056493-0.0015759i,0.0002286-0.00055172i,7.4935e-05+0.00020219i,-2.53e-05-0.00019687i,0.00026677-0.0003397i,0.00072229-0.00037977i,0.00042361+2.7693e-05i,-7.1981e-05+0.00077316i,0.00030864+0.00068584i,0.0008921+0.00030095i,0.00038082+0.00019255i,-0.00029975+7.8644e-05i
0.0013883-0.00014237i,0.0020518-0.0011238i,0.0015873-0.002515i,0.00035826-0.0021761i,-0.00052841-0.00011878i,-0.00025656+0.00086352i,-0.00011744-0.00019423i,-0.00067523-0.00076185i,-0.0010772-0.0013143i,-0.0009275-0.0010267i,-0.0012685-4.2329e-05i,-0.001249+0.00019686i,-0.00045361+0.0004631i,-0.0005906+0.00047548i,-0.00087718-0.00016589i,-0.0006717-0.00080941i,-0.00064521-0.00033911i,-0.00026985-0.00029377i,0.00047231-0.0008894i,0.00024648-0.0006737i,-5.3067e-06-0.00033194i,-0.00018156-0.00070788i,-0.00046969-0.00092783i
-0.0052922+0.0010044i,-0.0055107+0.003319i,-0.0035257+0.0047978i,-0.0014199+0.0033476i,-0.00063494+0.0011778i,-0.0012486+0.00096605i,-0.0018123+0.00060057i,-0.0018757-5.172e-05i,-0.0015899+7.7312e-06i,-0.00040559+0.00033136i,-0.00043491-6.7902e-05i,-0.001032-0.00048971i,-0.0010705+5.415e-05i,-0.00037896-0.00049814i,0.00035213-0.00078997i,0.00013797-0.00064744i,-0.0002035-0.00087264i,0.00031381-0.00062835i,0.00099678+0.00013034i,0.00057585+0.00073486i,0.00027085+0.00066474i,0.0002866-0.00017755i,0.00065345-0.00071398i
0.00072607-0.0058301i,-0.00057308-0.0054223i,-0.0012279-0.0051913i,-0.0011156-0.003465i,-0.0015196-0.00045763i,-0.0012321+0.0013267i,-0.00022287+0.0013757i,-0.00020387+0.0011248i,-0.00081249+0.0014785i,-0.00073422+0.0015216i,-0.00050403+0.0013189i,-0.00059364+0.00072698i,-2.8209e-05+0.00018607i,0.0010787+0.00060559i,0.00075447+0.00051262i,-0.00039187-0.00026951i,-0.0010224-0.00051979i,-0.00097542-0.00030149i,-0.00086048-0.00050603i,-0.00030969-0.00043093i,0.00054125-0.000496i,0.00023057-0.00057092i,-0.00014673-0.00043591i
0.00030014+0.00084017i,-0.0011384+0.00045726i,-0.00156+0.0010964i,-0.00067712+0.0010402i,0.00030761+0.00052416i,0.00053531-0.00053809i,-0.00014997-0.0010563i,-0.0010055-0.00051717i,-0.00053641+0.0003489i,0.00067865+0.00091694i,0.0011779+0.00091004i,0.0010259+0.00044932i,0.00030873-0.00053646i,-8.0134e-05-0.00073031i,0.00040828-2.3621e-05i,-7.2599e-05+0.00091992i,-0.00055723+0.0014167i,-0.00083193+0.00087203i,-0.00055388+0.00037052i,-0.00037035+2.0095e-05i,-0.00064887-0.00071184i,-0.00053652-0.0007536i,-0.00029401-0.00015932i
