-0.0032277-0.00032658i,-0.0023361-0.00086845i,-0.0019955-0.0013679i,-0.001684-0.00095451i,-0.00086599+7.1193e-05i,5.9785e-05+0.0013332i,0.00034444+0.0016297i,0.00015228+0.0013672i,0.00038245+0.00089171i,0.00058058+0.00011496i,0.00036152+0.00014595i,4.3163e-05+0.00049102i,-0.00054159+0.00051188i,-0.00055575+0.00024974i,0.00011192+0.00013449i,-0.00037287+4.9506e-05i,-0.00082455-0.00028063i,0.00029721-0.00013285i,0.0010588+0.00030159i,0.00067697+0.00043483i,0.00016176+8.9226e-05i,-8.8468e-05+4.2273e-05i,-7.0755e-05+0.00017533i
-0.00019607+0.00030423i,0.00079229+0.0010514i,0.0011341+0.0012979i,0.00043864+0.0012842i,-0.00033201+0.0019441i,-0.00010243+0.0015582i,0.0004924+0.00022742i,0.0006331-0.00062965i,0.00012877-0.00097252i,-0.00036391-0.00053445i,-0.00039592-0.00039913i,-0.00031217-0.00064554i,-0.00092987-0.00055989i,-0.0010892-0.0007849i,-0.00073464-0.0010314i,-0.00041018-0.00010279i,-3.6808e-05+0.00057504i,-0.00019653+0.00018023i,-0.00057389+0.00010825i,-0.00040439+0.00016988i,8.6136e-05+0.00029876i,-3.3173e-05+0.00047743i,-8.0306e-05+0.00056768i
-1.0087e-06-0.0023587i,-0.0002343-0.002586i,0.00031986-0.0018229i,0.0012903-0.00044464i,0.00093498+0.00042971i,0.00080051+0.00055696i,0.0011385+0.00032235i,0.0013319+0.00037786i,0.0011156+3.2548e-05i,0.00073478-0.00010832i,6.173e-05-0.00030162i,-0.00024784-0.0003048i,-0.00022897+0.00022725i,2.2093e-05+0.000633i,-0.00024734+0.00084031i,-0.00025335+0.00079501i,0.0001179+0.00023402i,0.00049237-0.00028029i,0.00075363-0.0005424i,0.00037665-0.00078307i,-0.00078019-0.00061377i,-0.00098834-0.00077335i,-9.5274e-05-0.0011031i
0.0010211-0.0013821i,0.0014142-0.0012639i,0.00029525-0.0011758i,-0.00029075-0.0011365i,0.00018901+4.0945e-05i,0.00011258+0.00080608i,0.00019185+0.00022531i,2.7745e-05-0.00026458i,-0.00020779-9.2863e-05i,-0.0007133+0.00025501i,-0.00049663+0.00037615i,0.00015386+0.00049723i,-0.00019655+0.00086666i,-0.00041492-7.6794e-05i,-0.00079586-0.0012333i,-0.0011682-0.00082333i,-0.00096066-0.00053402i,-0.00047014-0.00037636i,-0.00040471-0.00039898i,-0.00016106-0.00021525i,0.0003269+3.0648e-05i,0.00012705+0.00029182i,6.2716e-05+0.00029061i
-0.0015651+0.0022888i,-0.0016217+0.0028436i,-0.0013016+0.0020564i,-0.00049705+0.00036422i,0.0004427+0.0011281i,0.00025657+0.0016771i,-0.00081877+0.00074083i,-0.00073376+0.00063831i,0.00015895+0.00017528i,0.00035975+0.00047119i,-0.00051403+0.00056912i,-0.00070576+0.00034826i,-0.00038111+0.00094649i,-0.00056234+0.0008042i,1.9234e-05+0.00074039i,0.00048846+0.0012725i,1.6106e-05+0.00064027i,-0.00011722+0.00023257i,0.00043204+0.00044257i,-3.4203e-05+0.00022508i,0.00047975-0.00056035i,0.00070003-0.00056782i,-0.00010684+0.000201i
0.0011515+0.00038626i,0.0011786+0.00020225i,0.0028178-0.00010791i,0.0039673-0.0009179i,0.0021418-0.00092022i,0.00070737-0.00063256i,0.00063079-0.00072008i,-0.00023203-0.00032992i,-0.00088959+1.9549e-05i,-0.00083709-0.0001964i,-0.0013074-0.00059755i,-0.0011421-0.00035189i,-0.00063553+3.2857e-06i,0.00010949-0.0002347i,1.7173e-05-0.00020843i,-0.00051016+0.00041083i,-0.00040237+0.00041015i,-0.00026312+0.00035755i,-0.00014479+0.0003261i,0.00023885+0.00021172i,0.00054835+0.00033539i,0.00037199+0.0001259i,0.00033831-0.00040401i
0.0002506-0.0018428i,-0.00012121-5.1845e-05i,-0.0010825+0.00037892i,-0.00081234+0.00088904i,-2.757e-05+0.0024349i,0.00049607+0.0020425i,0.00054597+0.00022197i,0.00012289-0.00075059i,0.0001594-0.00026014i,-0.00017903+0.0005827i,3.9389e-05+0.00077082i,0.00055755+0.00042464i,0.00055371+0.00012397i,0.0003983+3.1006e-05i,-0.00027151-4.5999e-05i,-0.0005325-0.00031093i,-0.00056117-0.00035823i,-3.8455e-06-0.00022784i,0.00057687+0.00036017i,-2.0862e-05+0.00069589i,-0.00076014+7.5672e-06i,-0.0006609-0.00035269i,-0.00039654-0.00032041i
-0.0010225+0.0019878i,-0.0010014+0.0012019i,-0.00012377+0.000554i,0.00048596+0.0015963i,0.00095982+0.0015148i,0.00079729+0.00089912i,8.1487e-05+0.0007226i,0.00020849+0.00029752i,0.00036931+0.00051237i,0.00049836+0.00044662i,0.00033315-0.00019309i,7.0121e-05-0.00075372i,0.00012533-0.00031136i,0.00018535-0.00022711i,3.9274e-05-9.0626e-05i,-0.00039587-0.00021917i,0.00025502-0.00088929i,0.00072108-0.00018675i,0.00011546+8.6463e-05i,-0.00012527-0.00058447i,-0.00050347-0.00063045i,-0.00040512+0.00073465i,-0.00045783+0.0011684i
-0.0015175+0.0017701i,-0.0012371+0.0019592i,-0.00029683+0.0024659i,0.00056737+0.0018038i,0.0011146+0.0013086i,0.00068976+0.00087967i,-7.5811e-05+0.0003455i,-0.00016437+8.6891e-05i,-0.00042495+0.00020479i,-0.00075705+0.0011809i,-0.00068882+0.0013257i,-0.00034417+0.00020344i,0.00014059-0.00024695i,8.3952e-05-0.00043816i,0.00046483-0.00071156i,0.00062923+1.1896e-05i,-0.00011751+0.00035035i,-0.00013341-0.00019435i,-0.00047047-0.00063416i,-0.00034235-0.00053595i,0.00060647-5.7086e-05i,0.00020718+0.00033586i,-0.0012113+0.00058227i
-0.00063507-0.00014506i,0.00054575-5.0175e-05i,0.0012187+1.6765e-06i,0.00061037-0.00076294i,-0.00067358-0.00063316i,-0.0010637-6.0507e-05i,-0.00074202+6.1098e-05i,-0.00068962-0.00013171i,-0.00010673+1.2459e-05i,5.6329e-05-0.0004609i,-0.00033717-0.00047334i,6.5781e-06+0.00022533i,0.00062394+0.00055116i,0.00075658+0.00085745i,0.00055073+0.00067257i,0.00026472+0.00015615i,-0.00016976-1.8503e-05i,-0.0006914+0.00037013i,-0.00059278+5.9515e-05i,0.00038008-0.0010085i,0.0012539-0.0011422i,0.00109-0.00068764i,0.00044923+0.00011951i
-0.0014167+0.0017685i,-5.0761e-05+0.0017173i,0.000544+0.0023003i,0.0010563+0.0021042i,0.0019116+0.0016357i,0.0011052+0.0013264i,0.000116+8.1298e-05i,-0.00053482-0.00045454i,2.6891e-05+0.00013428i,0.0011686+0.0009386i,0.00015114+0.0011199i,-0.00082356+0.00060957i,-0.0004498+0.0008903i,0.00024288+0.00095723i,0.00037068-1.9684e-05i,0.00027662-0.00054446i,-0.00011408-0.00032138i,-0.00025016+5.939e-05i,-0.0001077+0.00030965i,0.00015182+0.0011885i,0.00072462+0.00088202i,0.00053082+0.00044989i,-0.00014394+0.0012331i
