0.00030446-0.00021947i,0.0013247-0.0015801i,0.00073935-0.0031623i,-0.00089516-0.0022314i,-0.0020555-0.00015682i,-0.0018829+0.0014739i,-0.00077909+0.0024077i,0.00083646+0.0022288i,0.0018594+0.0013768i,0.0017567+0.00049688i,0.00085547+0.0004619i,-0.00061779+0.00066252i,-0.00096745+0.00042566i,-0.00020765-0.00024242i,-0.00050115-0.0012372i,-0.0013859-0.00085151i,-0.0012124+0.00082388i,-0.00049359+0.00050457i,0.00013771-0.00032544i,0.0004091-0.00019568i,0.00013897-0.00013809i,-0.00067597+0.00019807i,-0.00077181+0.00036966i
-0.00047274+0.0011795i,0.0001025+0.0012474i,-0.00077281+0.001514i,-0.00068824+0.0020626i,0.00020489+0.0023971i,0.0006285+0.0014324i,0.0015037+0.00016728i,0.0012637+3.7741e-05i,0.00030177+0.0003024i,0.00046864+0.0010078i,0.00067375+0.0015591i,7.4402e-05+0.0012213i,8.3577e-05+0.00080766i,0.00047079+0.00046688i,0.00081009+3.668e-05i,0.0012607+0.0004819i,0.0011616+0.00086038i,0.00051851+0.00045954i,0.00026394-0.00056526i,-0.00013588-0.0010597i,-0.00050588-0.00043765i,-0.00014023+0.00035117i,0.00043905+0.000232i
-0.0013228+0.000186i,-0.0011553-0.0004608i,-0.0020734-0.00052267i,-0.0026231-0.00087719i,-0.0015407-0.00017105i,0.00017098+0.0013332i,0.0010217+0.0011484i,0.001067+8.811e-05i,0.00058082-0.00058215i,0.00059045+0.00012124i,0.00021755+0.00050881i,-0.00043499-1.9055e-05i,-0.00035352-8.1794e-06i,-7.5483e-05-0.00025585i,0.00050393+0.00017122i,0.00013165+0.00028553i,-0.00019285-0.00043658i,-1.8022e-07-0.00029389i,0.00026421-0.00066866i,0.00047244-0.00089303i,0.00017044+2.2792e-06i,0.00015792+0.00075505i,0.00010985+0.00089046i
-0.0013407+0.00078223i,-0.0015431+0.0019239i,-0.00028892+0.0022134i,0.00071321+0.0018382i,-6.4655e-05+0.0011808i,-0.00061011+0.00099684i,7.6328e-05+0.0006427i,0.00022089-0.00073168i,0.00037783-0.0014017i,-0.00012914-0.00077252i,-0.00052021-0.00038089i,0.00018653+0.00043914i,0.00034994+0.0014419i,0.00064069+0.0010028i,0.00063041+5.8671e-06i,0.00018222-0.00024253i,0.00030297+0.00023523i,0.00037955+0.00055265i,-0.00030933+0.00040568i,-0.00087057+0.00067455i,-0.00022924+0.00074514i,-3.364e-05+4.2733e-05i,-1.0162e-05-0.0005602i
-0.0010368-0.00286i,-0.00061021-0.0022551i,-0.001131-0.0030489i,-0.0026273-0.0024778i,-0.0020352-0.00039861i,-1.8566e-06+0.00082734i,0.00053362+0.00028416i,-0.00035106-0.00050831i,-0.0003289-0.0006056i,-0.00073977-0.00058336i,-0.0016562-0.00056092i,-0.0015364-0.00016286i,-0.00089856+9.3571e-05i,0.00015924-0.00038698i,0.00059176-0.0010259i,8.236e-05-0.00078505i,-0.00078648+1.7766e-05i,-0.0012827+0.00038168i,-0.0011565+0.00085036i,-0.0002723+0.00047819i,0.00058808-0.00012198i,-0.0001815-0.00023163i,-0.00058444-0.00019897i
-4.4239e-05-0.00049431i,-0.00037158-0.0010805i,6.9174e-05-0.001095i,-0.00019637-0.00069579i,0.00043804-0.00036085i,0.0011103-0.00025428i,0.00095641-0.0002111i,0.0010702+0.00031913i,0.001509+0.00030795i,0.00085664-0.00049833i,-0.00013115+0.00016495i,-0.00027733+0.0010787i,-0.00046596+0.00054712i,-0.00045787-0.00025339i,-0.00088184+3.5228e-05i,-0.0007379-0.00084862i,-0.00010355-0.0006876i,-0.00010314+0.00021956i,7.7154e-05+4.7771e-05i,-0.00019283+0.00046038i,-0.00054897+0.00084972i,0.00011597+0.00045175i,0.00035331-8.6942e-05i
0.0001688+0.0022304i,-9.8452e-05+0.0029434i,-8.0339e-05+0.0018118i,0.0010102-9.3057e-05i,0.0011436+0.00029026i,0.00025911+0.00086408i,-0.00042759+0.0012165i,-0.00085166+0.0013158i,-0.00046272+0.00097606i,0.00013179+0.0011104i,0.00038032+0.0013678i,0.0001965+0.0011648i,-0.00044265+0.00028978i,-0.0009464-0.00020709i,-0.00060332-0.00044116i,3.4004e-05-0.00056011i,-0.00023231-3.7637e-05i,-0.00088564+0.00051338i,-0.00087334+0.00063829i,-8.2344e-05+0.00045907i,0.00040172-0.00039731i,0.00069-0.00057057i,7.3842e-05-9.5387e-05i
-0.0010363+0.00056853i,-0.0019024-6.0989e-05i,-0.0017551-0.00038736i,-0.0013746+0.00046121i,-0.00037003+0.0011272i,0.0017456+0.0013281i,0.0021106+0.0011758i,0.001163+0.00091035i,0.00077597+0.0011788i,0.00050545+0.0015303i,-0.00024768+0.0015537i,-0.00082799+0.00057052i,-0.00028257+0.00032544i,-0.00040918+0.00090662i,-0.00062227+0.00045173i,-0.00030134+0.00051723i,-4.192e-05+0.00032689i,-0.00030418-0.00021526i,-0.0003029+0.00040641i,-5.7735e-05+0.00056795i,-0.00043652+0.00010215i,-0.0008586+0.00012617i,-0.00072757+0.00038893i
-0.0017486-0.00012607i,-0.00099982-0.00021167i,-0.0029562-0.00011424i,-0.0031766+0.00024124i,-0.0023466+0.0011952i,-0.0014598+0.0010948i,0.00020873+0.0006482i,0.00021146+0.00035346i,-0.00055721+0.00012245i,-0.00092368+0.00029574i,-0.001121+0.00032481i,-0.0013641+0.00027726i,-0.0010715+0.0011533i,5.7866e-05+0.0015717i,0.00018094+0.00037407i,-7.9958e-05-0.00038236i,-0.00031449-0.0004992i,-0.00061147-0.00021369i,-0.00049034-0.00055153i,-0.00036221-0.0016172i,-0.00012363-0.0011038i,1.9717e-05-0.00030721i,-0.00012335-0.00052567i
-0.0016861+0.0015439i,-0.0028862+0.0019634i,-0.0032356+0.0022307i,-0.0014287+0.0016097i,0.00027049+0.00089372i,0.00092747+0.0002349i,0.00092306-0.00027294i,0.00066377-0.00012506i,0.00037129-8.5425e-05i,0.00058958-0.00019753i,0.00047917+0.00044069i,-0.00018483+0.0015501i,-8.9236e-05+0.001804i,0.00036486+0.00085049i,0.00038897+0.0002387i,0.00025721+0.00053967i,-4.0355e-05+0.00046214i,-0.00074099+0.00013419i,-0.0010244-0.00025144i,-0.00061258-0.00048056i,-0.00022295-0.0003776i,0.00041965+0.00013777i,0.00019448+0.00011496i
0.0017806-0.00019814i,0.0016783-0.00014791i,0.0019-0.0014406i,0.00095576-0.0016881i,-0.00035856-0.00058618i,0.00020948+0.00053575i,0.0011351+0.00059375i,0.00075085+7.8114e-05i,-6.1604e-05+0.00023814i,-0.00057821+0.00021152i,-0.00046285+0.00012883i,-0.00052422+0.00051456i,-0.00084106+0.00049859i,-0.00078619+0.0004006i,-0.00033623-0.00060106i,-0.00016223-0.0016158i,0.00017391-0.0014621i,0.00074801+1.7961e-05i,0.00016185+0.00086131i,-0.00015066+0.00054517i,-0.0004292+0.00019894i,-0.00089051-0.00025595i,-0.0009299-0.00060132i
-0.00033672+0.0017986i,-0.00099944+0.0029736i,-0.001031+0.0027622i,-9.8909e-05+0.0030093i,0.00072982+0.0034211i,0.0011758+0.0020863i,0.0018845+0.0011855i,0.0019741+0.00038071i,0.0013797-0.00040309i,7.8488e-05+0.00033707i,-0.00070737+0.00092068i,-0.0010147+0.00113i,-0.0011318+0.0015596i,-0.00029143+0.0012063i,7.2001e-05+0.00022966i,-0.00050929-0.00019496i,0.00024232-2.8202e-05i,0.00071087+0.00012891i,-0.00046261+1.3657e-05i,-0.00091462-0.0009043i,-0.00065584-0.00086628i,-0.00038799-6.8487e-05i,0.0001811+6.243e-05i
0.0004782-0.00263i,-2.0731e-05-0.0016791i,-0.00031385-0.0015581i,-0.00023516-0.0007751i,-0.00050008-0.00016191i,-0.00085097+0.00063675i,-0.00027823+0.0017078i,0.00061584+0.0014047i,0.00071149+0.00030493i,0.00021647+0.00013065i,-0.0009907+1.0494e-05i,-0.0011939-0.00031182i,-0.00038251+0.00018865i,-0.00046439+0.00066692i,-0.00029446-2.7535e-05i,0.00079148-0.00051582i,0.00094838+0.00041634i,0.0004511+0.0006471i,-7.1626e-05-2.3234e-05i,-0.00078596+0.00016369i,-0.00029702+0.00019586i,-2.229e-05+0.00016384i,-0.00042814+0.0003195i
-0.00079337-0.00035149i,0.0003717-8.2827e-05i,0.0003279-9.2108e-05i,-0.00052887+0.00094412i,-0.00051802+0.0013313i,9.422e-05+0.00087265i,0.0012157+0.00099414i,0.0012209+0.00039726i,-0.00043547+0.00012069i,-0.0010143+0.00055505i,-0.00049475+0.00050804i,-0.00070865+0.00032936i,-0.00067213+0.00054965i,0.00024583+1.659e-05i,0.00081077-0.00077069i,0.00070418-0.00048971i,0.00037055-6.31e-06i,-0.00042724-9.8078e-05i,-0.00010589-0.00016957i,0.00016166+0.00049563i,-0.00031388+0.00072447i,0.00023635+1.3627e-05i,0.00033207-0.00019403i
-0.00032613-0.00019511i,-0.00095732-0.00049762i,-0.001371-4.6216e-05i,-0.0011678+0.00012163i,-0.0009557+0.00044008i,7.5308e-05+0.00080856i,0.00064417+0.00075655i,0.0002095+9.5275e-05i,-0.00019623-0.00015279i,-0.00073645+0.0013226i,-0.00088517+0.0016678i,-0.00044678+0.00049396i,0.0005747+9.3032e-05i,0.0011653+0.00011244i,0.00084195+9.3631e-05i,0.00024172-0.0001851i,0.00038529-0.00039455i,0.00057203-0.00076174i,-0.00014796-0.00028683i,-0.00063709+0.00024284i,-0.00051015+0.00034573i,-0.00072808+0.00026529i,-0.00093113+0.0002145i
-0.0010831-0.0010404i,-0.00072166-0.0014861i,-0.0010486-0.0016275i,-0.001929-0.0016008i,-0.0018493-0.00040163i,-0.0008255+0.00042108i,0.00062245-0.00012971i,0.00088864-0.00033046i,-7.1347e-06+0.00024816i,-0.0003396+0.00049851i,-0.00035139+0.00045368i,-0.0004095+1.4229e-05i,-0.00019004-9.4863e-05i,0.00033738-0.00012799i,0.00041659-0.00056457i,0.00042883-0.00050763i,0.00015649+3.8402e-05i,-0.00044855+9.945e-05i,-0.00058142+0.00013282i,-0.00041263+0.00028936i,-6.3341e-05+0.00017385i,-0.00014607-0.00064059i,-0.00011414-0.0012571i
0.0014846-8.4626e-05i,0.002157-1.9267e-05i,0.0019106-0.00038913i,0.00063604-0.00037169i,-0.00040237+0.00026619i,-0.00023886+0.0013267i,0.00088483+0.0015869i,0.0014745+0.00066251i,0.0011981-0.00016911i,0.00083803-0.00062615i,-8.5008e-05-0.00018038i,-0.0010739+0.00043522i,-0.0011016+0.00028859i,-0.00024982-0.00044695i,0.00043785-0.00065345i,0.00039801-0.00051637i,-8.9294e-05+0.00023732i,-0.00014297+0.00042966i,0.00032655-0.00018556i,0.00023571-0.0004914i,-3.1581e-05-0.00062548i,0.00029206-0.00084901i,0.00059856-0.00046441i
-0.0010482+0.0019516i,-0.001436+0.0022359i,-0.0014833+0.0030194i,-0.00084496+0.0022902i,0.00017697+0.0016838i,-4.2688e-05+0.0013596i,-0.00026774+0.00038652i,-8.0026e-05+0.00015213i,0.00011486+0.00011146i,0.00059965-4.7905e-05i,0.00047586+0.00018765i,-0.00016017+0.00010372i,-0.00072229+0.00058174i,-0.00016651+0.00047653i,-7.3992e-05-0.00013273i,5.2931e-05+0.00024169i,0.00057338-0.00010601i,-1.3825e-05-0.0003066i,-0.00061284+0.00020436i,-0.00019355+0.00039538i,-0.00028066+0.00037556i,-0.00036326+0.00021295i,0.00010135-0.00040611i
-0.0026272+0.0013425i,-0.0017452+0.0015142i,-0.0014776+0.0016956i,-0.0013047+0.0013499i,-0.00076323+0.0013794i,6.9111e-05+0.0018338i,0.0010587+0.0015227i,0.00060025+0.0006836i,0.0002245+0.00047494i,0.00029507+0.00040627i,0.00021056+0.00038773i,0.00019745+0.00031889i,0.00031975+0.001127i,0.0003265+0.001229i,4.4986e-05+8.3293e-05i,-0.0006105-0.00022399i,-0.00059578-0.00021771i,-0.00072239+0.0001008i,-0.0012696+0.00029905i,-0.001022+0.00053758i,-7.2204e-05+0.00074643i,-3.4938e-05-9.1862e-05i,0.00017921-0.00065001i
-0.0014261-0.0024245i,-0.00087417-0.002557i,-0.0013658-0.0030334i,-0.001038-0.0018934i,-0.00086113+0.00074308i,-0.00063901+0.0010747i,0.00013105-0.00029291i,7.4178e-05-0.00070652i,-0.00064538-0.00023606i,-0.0011482+0.00075774i,-0.0014399+0.00081734i,-0.0013642+0.00097109i,-0.0012115+0.0008649i,-0.0006688+0.0004448i,-0.00057652-5.7109e-05i,3.6308e-05-0.0002638i,0.00089214-0.00022829i,0.00029551-0.00020115i,-0.00060241+0.00013596i,-0.00064258+0.00028418i,-0.00049018+1.1286e-05i,-0.00017162-0.00052666i,-5.7157e-05-0.00026482i
-0.00043389+0.00018449i,-0.00083607+0.00045672i,-0.0014337+0.0015804i,-0.0021137+0.0018562i,-0.0018983+0.0017088i,-0.00052686+0.0015892i,0.0012436+0.00033824i,0.0016955-0.00010597i,0.00051025+0.00027212i,-0.00012575+0.0006799i,-0.0012708+0.00062865i,-0.0021337+0.00022315i,-0.0014992+0.00028088i,-8.2001e-06+0.00031114i,0.00025478+0.00026178i,0.000366-0.00030401i,0.00042532-0.00086264i,-0.00012647-0.00027929i,2.9063e-05-0.00014169i,-2.3248e-05-0.00061939i,-0.0006514-0.00040561i,-0.00097851+0.0001339i,-0.00047082+0.00024254i
0.0021453+0.00043184i,0.0022883-0.0006368i,0.0016516-0.001093i,0.00083117-0.00030108i,0.0011354-0.00026138i,0.00083967+0.00010286i,0.00055339+0.00040814i,0.00048571-0.00024885i,0.00045346-0.0005854i,5.198e-05-0.00098934i,-0.00030417-0.0015765i,-0.00048216-0.0011761i,-0.00065834+5.092e-06i,-0.00017613-0.00040404i,0.00033769-0.00097418i,3.7449e-05-0.0004491i,-0.00032169+0.00041008i,-0.00083744+0.00058117i,-0.0011126-0.00018265i,-0.00069971-0.00016251i,-0.0003319+0.00049655i,0.00014909+0.0006165i,0.00039041-0.00015867i
-9.2083e-05+0.0011917i,0.00023806+0.00024624i,1.5003e-05+0.00032837i,6.8715e-05+0.00097881i,-0.0001672+0.0014684i,0.00020783+0.0019929i,0.00072517+0.0015554i,0.00077323+0.00033025i,0.00070861-0.00036203i,0.00074046+2.9522e-05i,0.00020265+0.00037809i,-0.00045036-0.00020011i,0.0001578-0.00023548i,0.00026612-0.00069142i,-0.00024475-0.0012912i,-0.00014134-0.0015679i,-0.00042666-0.0011958i,-0.00020504-0.00062292i,-0.00018555-0.00069505i,-0.00065894-0.00057961i,-0.00038941-0.00012132i,-5.1809e-05+0.00059209i,-0.00049182+0.00072825i
0.0013018+0.0014189i,0.0020392+0.00043089i,0.0025658+0.00045623i,0.00083532+1.7909e-05i,-0.00027891-0.00012845i,0.00014952+0.00024644i,0.00096168+0.00014775i,0.001653-0.00088502i,0.0010609-0.0011603i,0.00052084-0.00043375i,0.00025538-0.00011014i,-0.00055903+0.00019773i,-0.0010496+0.00020866i,-0.00031909-0.00061533i,-4.4232e-05-0.00091822i,-0.00042505-0.0010382i,-7.8707e-05-8.7262e-05i,0.00027599+0.00079361i,0.00039702+0.00051677i,0.00012131+0.00030112i,-0.00018302+9.1375e-05i,0.00014266+0.00021874i,0.0002354+0.00045597i
-0.00075599+0.0014786i,-0.00040093+0.0019984i,0.00037407+0.0037115i,0.00071378+0.0030344i,0.0012375+0.0011232i,0.0016663+0.00057716i,0.0012033+0.00055447i,0.00017308+0.00058328i,-0.00011054+0.00057909i,2.9398e-05+0.00042212i,-0.00017293+0.0001077i,-0.00035371+3.4781e-05i,-0.00077438+0.00055405i,-0.00080838+0.00027083i,0.0002518-0.00030006i,0.00048904+0.00013028i,4.5744e-05+0.00065345i,-0.00023212+0.00061337i,-0.00020665+7.5426e-05i,0.00014746+0.00017206i,0.000131+0.00083299i,-0.0002705+2.1425e-05i,4.7235e-05-0.00067495i
-0.00040566+0.0010034i,0.00010006+0.00021703i,0.00033929+0.00021535i,2.4269e-05-4.0652e-05i,0.00046461-0.00057669i,0.0011717+0.00011111i,0.0013692+0.00077824i,0.00044969+0.0015178i,-0.00065315+0.0012416i,-0.00023623+0.00054604i,-2.1656e-05+0.00024211i,-8.1969e-05+0.00051977i,-0.0004666+0.0010857i,-0.00020055+0.00041873i,0.00024352-0.00041232i,0.00039199-0.00070215i,0.00038888-0.00045195i,0.00037472-0.0011981i,0.00095448-0.001073i,0.00045996-0.00025934i,-0.00028115+6.7408e-05i,-0.00072895+0.00033347i,-0.00093803-0.00017165i
0.0012464+0.0015806i,0.00040327+0.0015927i,0.00061357+6.2378e-05i,0.00058419+0.00027743i,-0.00062774+0.001017i,0.00021737+0.00030517i,0.00094141-0.00044116i,0.00027845-0.00071546i,-0.00038943-0.00048179i,-0.00076891+0.00022544i,-0.00051995+0.0002823i,0.00026351-0.00021262i,0.00039904-0.00019157i,0.00014806+0.00024948i,-0.00050304-0.00027776i,-0.00092557-0.0007431i,-0.00029806-0.00037169i,7.2931e-05-0.00028172i,-0.00029571-0.00024209i,-0.00059228-5.738e-05i,-0.00057564-0.00029234i,-0.00038835-0.00089534i,0.00019956-0.00034309i
-0.0010181+0.0015816i,-0.0014959+0.0011546i,-0.00057738+0.0030558i,-0.00046918+0.0032072i,1.5275e-05+0.0021952i,0.00075137+0.0013794i,0.00073868+0.0013392i,0.0010788+0.000952i,0.00087416+1.9913e-05i,0.00056611-0.00019305i,0.00015807+0.00051879i,-0.00046211+0.0010994i,7.8074e-06+0.0009724i,0.00078181+0.00069388i,0.0010423+0.00038815i,0.0010775+0.00057396i,0.00074382+0.00010182i,1.0939e-05-0.00048342i,-0.0004443-0.00036382i,-0.00089052+0.00012192i,-0.001219+0.00016581i,-0.00027591-0.0005245i,3.7056e-05-0.0003471i
-0.00035305+0.0004129i,-1.4595e-05-0.00026974i,-0.00062439-0.00064558i,-0.00038224-0.00039294i,0.00025342+0.00011028i,0.000615+0.00061803i,0.00082937+0.00070014i,0.00025271+0.00025538i,-9.2611e-05+0.0004045i,-0.00058166+1.7628e-06i,-0.0011171-0.00083498i,-0.00087533-0.00051188i,-0.00014255-5.8233e-05i,0.00079128+0.00056481i,0.00045321+0.0010186i,-2.3217e-05+0.0005591i,6.0688e-05+0.0003966i,0.00011886+0.00013219i,-0.00056504-0.0007074i,-0.00076601-0.00012574i,-0.00066542+0.0008967i,-0.00044046-1.6249e-05i,-0.00067188-0.00058314i
-0.0002119+0.00028553i,-0.00059907+0.0014828i,-0.00066775+0.001631i,-0.0012958+0.00069052i,-0.0021012+0.00053471i,-0.00070296+0.00093515i,0.00062868+0.00031604i,0.00052898-0.00013107i,-0.00019765+0.00032734i,-0.00019557+0.00037204i,7.2033e-05+0.00068855i,-0.00067186+0.00098925i,-0.00088528+0.00080921i,-0.00052361+0.00050017i,-0.00029589+5.818e-05i,-0.00025813-0.00011i,-0.00046546-0.00061732i,-0.00010545-0.0010927i,7.1049e-05-0.00099644i,-0.00057807-0.00069647i,-0.00086434-0.00052626i,-0.00065931-0.00021556i,-0.00078074+0.00020281i
0.00050563-0.00020734i,8.516e-06+0.00069418i,0.00065257+0.00094593i,0.00018501+0.00021072i,-0.00024556-0.00012762i,0.00057576+0.00086556i,0.0015445+0.0011402i,0.0012719+0.00061802i,0.0002088+0.00053786i,-0.00077683-0.00026738i,-0.0010516-8.5268e-06i,-0.00079584+0.00036269i,-0.00013488-1.4828e-05i,-0.00034642-0.00020181i,-0.00083083-0.00099671i,-0.00029087-0.0014934i,-0.00016337-0.0011123i,-0.00034678-0.00031176i,-0.00051414-0.00011875i,-0.00092728+0.00025629i,-0.00073929+0.00038123i,-0.00023002-0.00011052i,0.00032797-0.00056717i
0.0024465+0.0011142i,0.0026825+0.0013618i,0.002608+0.00058684i,0.0022684-0.00076071i,0.0013071-0.0010427i,0.00091347-0.0001674i,0.0016756+0.0009113i,0.002115+0.00097472i,0.0016294+0.00048319i,0.00090574-0.00016177i,0.00025324-0.00045337i,-1.7223e-05-6.6107e-05i,0.00023685-0.00060851i,0.00021532-0.0011697i,-0.00027931-0.0020053i,-0.00022827-0.0022477i,0.00033451-0.0012784i,-0.0001685-0.00061065i,-0.00092558-0.00030036i,-0.0010468+0.00024479i,-0.00064847+0.00044471i,-0.00061656+0.00033641i,-0.00036185-1.2949e-05i
