-0.0020471+0.00069915i,0.00060734-0.0012171i,0.00043728+0.00078586i,0.0016222+0.002463i,0.0015983+0.0025536i,0.00097436+0.0014002i,0.00022384-0.00042344i,-5.0677e-05-0.0013411i,0.00017267-0.00054246i,0.00055002+0.00065191i,0.00071919+0.00041169i,6.1022e-05-0.0010815i,-0.0004008-0.0015645i,0.0005668-0.00031071i,0.0012038+0.00057151i,0.00045482+0.00012751i,-1.1835e-05-0.00087068i,7.3548e-05-0.00094075i,6.1407e-05-0.00047399i,0.0002427-0.00075045i,0.0001534-0.0012784i,0.00010464-0.00081626i,-0.00018773+0.00044195i
0.001544+0.001514i,0.0014079+0.00053072i,0.0026872-0.00018454i,0.0027935-0.0020857i,0.0014008-0.0038388i,0.00052948-0.0046742i,-6.3601e-05-0.0036378i,-0.00037521-0.0021732i,0.0005778-0.0015562i,0.0009139-0.00083399i,0.00039336+0.00011396i,-0.00081951+0.0011261i,-0.0015211+0.0014667i,-0.00047293+0.001006i,0.000344+0.00058725i,0.0001692+0.00098003i,-0.00017371-0.00023083i,-0.00063893-0.0011243i,-0.00066973-0.0005208i,-0.00039125-0.00037885i,0.00031858-0.00041047i,0.0010636-0.00035i,0.0010126-0.00067i
0.00029684+0.00030009i,0.00070746+0.0026775i,0.00062018+0.0039098i,-0.00037984+0.0022446i,-0.00019839-0.00057086i,0.00020323-0.0015388i,-0.00036148-0.0008648i,-0.0006459-0.00015891i,-0.00077951-0.00042009i,-0.00066621-0.00088361i,-0.00058884-0.00034475i,-0.00056131+0.00050095i,-0.00016502+0.0010439i,-0.00019082+0.0013985i,-0.00040945+0.00062427i,0.00037875-0.00044793i,0.00097412-0.00034667i,0.00074051+0.0003403i,7.9944e-06+0.00028712i,6.0809e-05+0.00011233i,7.8751e-05+0.00015378i,-0.00040897-6.1966e-05i,0.0001367-0.00047624i
-0.00019095+0.00092123i,0.00154+0.00074148i,0.0033726+0.00087503i,0.003888-0.00010448i,0.0030399-0.0017177i,0.0016773-0.0028665i,0.00078934-0.0032475i,0.0001753-0.0034019i,0.00016637-0.0027352i,0.00049679-0.0013355i,0.00090239+1.2921e-05i,0.00061662+0.00088003i,0.00023414+0.0009233i,3.5081e-05+0.00066595i,-0.00029184+0.0005475i,-0.00012299+0.00049824i,0.00037464+5.581e-05i,0.00058211-0.00046139i,0.00021978-0.0010606i,0.00041718-0.00093042i,0.00047258-0.00040848i,0.00067776-0.000172i,0.00095885-0.00054946i
-6.815e-06+0.00054932i,0.00014324+0.00051526i,0.00029582+0.0014075i,0.00052179+0.0010886i,0.00020142-0.0007125i,-0.0001184-0.0019916i,-5.9805e-06-0.0025779i,0.00075459-0.0019787i,0.00082049-0.0014705i,-0.00030154-0.0018053i,-0.00052774-0.00068465i,-0.00048343+0.00098158i,-0.0012039+0.001181i,-0.00073624+0.00017162i,0.00030266-0.0004538i,0.00086991-0.00030733i,0.00075882-0.00056898i,-5.8482e-05-0.00073912i,-0.0011726-1.4974e-05i,-0.0008676+1.105e-05i,-0.00020568-0.00063702i,-0.00019211-0.00029342i,-0.00017878+0.00056212i
1.2469e-05+0.0011176i,0.0020976+0.0026076i,0.0027156+0.0031447i,0.0030946+0.0020468i,0.0026949+0.0012662i,0.0013705+0.00019929i,0.0014258-0.0010083i,0.0016412-0.0020687i,0.0013246-0.0021442i,0.0010596-0.0010472i,0.00059381-0.00018117i,0.00021844+0.00050495i,-0.00021328+0.0012931i,-0.00040214+0.0013907i,-6.8171e-05+0.0010349i,0.00028198+0.00097891i,0.00016939+0.00079119i,0.00011703-0.00029624i,0.00010788-0.0016309i,-6.1182e-06-0.0016659i,-0.00013246-0.00087228i,-1.6931e-05+0.0003364i,0.00057755+0.00054114i
0.0012605-0.00065377i,0.00022648+0.00097157i,-0.0007434+0.00029881i,5.9655e-05-0.0013868i,0.00024926-0.0021509i,0.00018305-0.0023724i,0.00082083-0.0025106i,0.00087073-0.0024769i,0.001088-0.0019034i,0.00044217-0.001594i,-0.00032645-0.00092021i,-0.00054731-0.00018874i,-0.001027+0.00024153i,-0.0013599+0.00065651i,-0.00035581+0.00070279i,0.00079229+0.00045158i,0.00077947-4.3105e-05i,4.7392e-05-0.00051097i,-0.0005318-0.00051681i,-0.0004293-0.00050647i,-0.0001328-9.7859e-05i,8.1562e-05+0.00045436i,0.00054639+0.00017661i
-0.00085292-0.00047538i,-0.00037247-0.00022522i,0.00088003+0.00084395i,0.0011631+0.0015291i,9.4387e-06-9.684e-05i,-0.00039758-0.0014562i,-0.0004023-0.0019209i,-0.000501-0.0018611i,-0.00018646-0.0011231i,4.3489e-05-0.001188i,-0.0006611-0.0006863i,-0.0005036+7.9365e-05i,6.7045e-05+7.7937e-05i,-0.00023913+0.00036855i,-0.00011615+0.0004339i,0.00063017-0.00036975i,0.00083014-0.00031366i,0.00049409-2.6776e-05i,5.7595e-05-0.00061945i,9.4038e-05-0.00084484i,0.00051395-0.00026171i,0.00050387+0.00023774i,0.00083136+0.00031672i
0.00086657-0.00033482i,0.001394+0.00050278i,0.0034287+0.00079478i,0.0038065+0.00035225i,0.0029033-0.0015134i,0.0014827-0.0025905i,0.00071892-0.0031082i,0.0017472-0.0027784i,0.0016942-0.0013957i,0.00032503-0.0011969i,2.9587e-05-0.0012484i,0.00019065+0.00022916i,0.0002921+0.0010487i,-4.6027e-05+0.0011414i,0.00060469+0.0004861i,0.0015987-0.00026084i,0.0011779-0.00071579i,0.00084403-0.00069998i,0.0004384+0.00020573i,0.00013847+9.7483e-05i,0.00029036-5.2862e-06i,-0.00053588-0.00067592i,-0.00082024-0.00062117i
-5.4112e-05-0.0018875i,0.0015948-0.00039955i,0.0019705+0.0021972i,0.0024001+0.0020816i,0.001271+8.449e-05i,0.00014863-0.00077518i,0.00051863-0.0012434i,0.00090607-0.0016288i,0.00034147-0.001458i,-0.00084748-0.00045502i,-0.001431+0.00076695i,-0.00085035+0.00083869i,-0.00035941+0.00039176i,-0.00066439+0.00059179i,-0.00041754+0.00060403i,-0.00043263-0.00030301i,-0.00073446-0.0004041i,-0.00029692-0.00022846i,0.00069719-0.00034323i,0.0013861-0.00028677i,0.00085796-0.00040753i,-7.8232e-05-0.00025412i,0.00019623-0.00040919i
0.00034632-0.00013841i,0.00090116+1.394e-05i,0.0015427+0.00071499i,0.0019957+0.0010695i,0.0019876+0.0001149i,0.0019484-0.0014318i,0.0012594-0.0023599i,0.00010167-0.0025753i,-0.00032287-0.0014419i,-0.00063308-0.00018027i,-0.0010985+0.00056826i,-0.00096076+0.00077215i,-0.00030457+0.00090807i,5.5694e-05+0.00078114i,0.00023322+0.00020359i,0.00098109-0.00015068i,0.0011632-9.8321e-05i,0.00055142-0.00013562i,-0.00052366-0.00041402i,-0.0010137-0.00019906i,-0.00070294+0.00033496i,-0.00046906-0.00022201i,5.5389e-05-0.0010028i
0.00035352+3.8527e-05i,0.0021843+0.00059376i,0.0030513+0.0015583i,0.0031889+0.0015103i,0.0026019-0.00052052i,0.0019978-0.0019028i,0.0014539-0.0021957i,0.00086207-0.0020265i,0.00089632-0.0018542i,0.00012313-0.0017215i,-0.0012039-0.00047285i,-0.00096997+0.00077792i,-0.00025429+0.0012069i,-0.0004364+0.0013008i,-0.00045715+0.0011867i,0.00038772+0.0010173i,0.00020704+0.00051137i,3.1771e-05-0.00059464i,0.00047987-0.0010681i,0.00025328-0.0012064i,0.00061641-0.00065838i,0.00060422+7.6126e-05i,0.00056599+0.00024888i
0.0013048-7.0754e-05i,0.0024032+0.0011733i,0.0020478+0.0014277i,0.0011308+0.0016089i,8.9274e-05+0.00060409i,6.1686e-05-0.001197i,0.0011266-0.0019615i,0.001747-0.0017608i,0.0011899-0.0015968i,0.00048632-0.001286i,5.4549e-05-0.00046574i,-0.00014911-0.00030802i,0.00012558+0.00012158i,0.00062832+0.00096896i,0.0014379+0.00036632i,0.0016658-0.00090458i,0.0012631-0.00083094i,0.00095022+6.6998e-05i,0.00095604+0.00042387i,0.00047775+0.00073028i,-8.0788e-05+0.0011414i,0.00020787+0.00015972i,0.0011023-0.00056704i
-0.00049484+0.00028045i,-4.5683e-05+0.0016289i,0.00019206+0.0032102i,0.00057977+0.0021544i,0.0020477-0.00042967i,0.0023921-0.0016802i,0.001653-0.0021426i,0.0005416-0.0013669i,-0.00062064-0.0005136i,-0.0013017+0.00012202i,-0.00097458+0.0004938i,-0.00010219-0.00013967i,2.2095e-06-0.00022111i,-0.00066071+0.0004174i,-0.00056653+0.00031717i,0.00033164+0.00023354i,0.00070683-0.00047967i,-0.00029641-0.0010851i,-0.0011304-0.00058992i,-0.00089062+7.5404e-05i,0.00021097+0.00038657i,0.00099206+0.00050147i,0.0006224+0.00036954i
-0.00018344+0.001084i,-0.00079834+0.0019661i,-4.0386e-05+0.0016846i,0.0010469+0.0003243i,0.00097899-0.0011409i,0.00093677-0.0017405i,0.0011479-0.0010665i,0.00022287-0.00079066i,-2.182e-05-0.0007605i,0.00043531-0.0010653i,0.00020542-0.0009671i,-0.00027017+3.5021e-05i,-0.00085603+0.00055951i,-0.00061097+0.00049857i,0.00019426+0.0012029i,0.00058472+0.0016683i,0.00087348+0.00076911i,0.0016681-0.00035096i,0.0014738-0.00077611i,0.00039141-0.00023569i,-0.00043983-0.00034282i,-0.00016582-0.00074415i,0.00051964-0.00026934i
0.00063066-0.0006794i,-0.00062734+0.00073156i,-0.00069618+0.0010838i,-0.00010109+0.001338i,-0.00037997+0.00075934i,-0.00074869+4.2497e-05i,-0.00059998-0.00058881i,-0.00027358-0.00082606i,0.00032461-0.0011749i,-0.0002647-0.0012538i,-0.0010454-0.00047932i,-0.00041196+0.00033824i,0.00013397+0.00081311i,0.00037115+0.0013611i,0.00078894+0.0016489i,0.00095481+0.0011036i,0.0012876+0.00036062i,0.00096976-0.00095951i,0.0007851-0.0017881i,0.0010959-0.0012349i,0.00060421-0.0009491i,0.00028136-0.00089451i,0.00036054-0.00065178i
0.00069805+0.00094226i,0.0012902+0.0011907i,0.001607+0.0015402i,0.0015319+0.00080383i,0.0022388-0.00087396i,0.0028767-0.0018097i,0.0018452-0.0022102i,0.0009043-0.0024048i,0.00036594-0.0020139i,-0.00053914-0.0012598i,-0.00075307-0.00037953i,-0.00044552+0.00053675i,-0.00040668+0.00058602i,-0.00043756+0.00086796i,-0.00017874+0.0010433i,2.7514e-05+0.00041431i,-0.00064124-0.00010312i,-0.00014954-0.00094853i,0.001161-0.00055037i,0.00054903+0.00047102i,-0.00010046+0.00013856i,0.0011966+0.0001298i,0.0014041+5.0066e-05i
0.00064877+0.00046033i,0.00069753+0.00095427i,-0.00017945+0.00087815i,-0.00048136+0.00055084i,-0.00070992-7.8364e-05i,-0.00060526-0.00084454i,-5.7512e-05-0.0012835i,0.00084818-0.0016252i,0.0012012-0.0017419i,0.00055027-0.00081364i,-0.00024386+0.00021115i,-0.0007005+0.00016736i,-0.00037578-9.9331e-05i,-0.00023471+0.00036138i,0.00021597+0.00065602i,0.0010303-8.1437e-05i,0.00085212-0.00084299i,-8.7726e-05-0.0011665i,0.0006248-0.00054936i,0.0013534+5.008e-05i,0.00074761-0.00020337i,0.00066933-0.0010678i,0.00079044-0.0010653i
-0.00033775-0.0013226i,0.0020937-0.00070916i,0.0025318+0.0001831i,0.0023239+0.0011891i,0.002534+0.00063391i,0.0028903-0.001133i,0.0017771-0.0024104i,0.00042701-0.0022228i,4.9365e-05-0.0010767i,0.00033129-0.00033101i,2.3325e-05-0.00037531i,-0.00011078-0.00023256i,0.00073749-7.4612e-05i,0.0010365+0.00073001i,0.00040591+0.00080038i,5.5696e-06+0.00032682i,3.1855e-05+0.00021302i,-1.3955e-05-0.00021196i,-0.00025228-0.00043286i,0.00031821-0.00035551i,0.00054396-8.6832e-05i,-9.7658e-05-0.00061172i,-1.3196e-05-0.00097934i
0.00041427+0.0016306i,0.0019828+0.0019223i,0.0033012+0.0016758i,0.0030042+0.00088219i,0.0022754-0.0013766i,0.0012958-0.0035363i,0.00077168-0.0031784i,-5.1321e-05-0.0021856i,-9.3696e-05-0.0010601i,-6.736e-05-0.00033616i,-9.5773e-05-0.00019088i,-0.00054584+0.00046413i,-0.0011828+0.001429i,-0.00073141+0.0019108i,0.00040932+0.0011548i,0.00069703+0.00040317i,0.00025674+0.0002128i,0.00074546-4.1681e-05i,0.0011588+0.00033358i,0.00069529+0.00053691i,0.0006906-0.00020604i,0.001272-0.00093625i,0.0010574-0.0012751i
-0.00045208+0.00069708i,6.6115e-05+0.0012618i,0.00081586+0.0014186i,0.001112+0.0011001i,0.00057821+0.00015545i,0.0011981-0.0017935i,0.0013083-0.0025778i,0.00033205-0.0015839i,0.00044122-0.0011833i,0.0001039-0.00070474i,-0.0010091-0.00046173i,-0.0015319-0.00015321i,-0.00089861+0.00035828i,-0.00012542+0.00035907i,0.00010748+0.00036171i,0.00038745+0.00054992i,0.00094466+0.00018738i,0.00045323-0.0001136i,-6.6029e-05+0.0006317i,-0.00060158+0.00062116i,-0.00076829-9.772e-06i,-3.5504e-05+0.00027735i,0.00089627+0.00064156i
-0.00032589+0.00089718i,0.00040193+0.0012358i,0.0016298+0.0022107i,0.0022649+0.0014529i,0.0026981+9.6429e-05i,0.0024429-0.0011437i,0.0013807-0.002333i,0.0011673-0.0023054i,0.00091816-0.0012754i,9.7421e-05-0.00081488i,-0.00025595-7.5378e-05i,0.00022906+0.0011374i,0.00023941+0.001455i,-1.8964e-05+0.0011351i,0.0008607+0.00039168i,0.0016161-0.00070577i,0.001238-0.0003317i,0.00077348+0.00070261i,0.00061903+0.0010721i,0.00048761+0.00097545i,5.9705e-05+0.00065269i,0.00019938-0.00037112i,0.00095103-0.00099599i
-0.00028966-0.00068752i,-0.00079168+0.0008028i,-0.00043911+0.0017318i,8.2502e-05+0.00075921i,0.00018816-0.00065528i,0.00052541-0.0020053i,0.00034397-0.0032278i,0.0003955-0.0033355i,0.00086957-0.0020261i,0.00070142-0.00085409i,-0.00049623+0.00039926i,-0.00097978+0.0012854i,-0.00037688+0.00093209i,-0.00042168+0.00069453i,-0.00067655+6.4868e-05i,-0.00062179-0.00056776i,-0.00083301-0.00055534i,-3.5072e-05-0.0010514i,0.00055966-0.0011227i,0.00010893-0.00085171i,-0.00016503-0.00017588i,0.00027537-0.00081948i,0.00031015-0.00081837i
-0.00034847-0.0005884i,5.1109e-05+0.00028148i,0.0013602+0.0016428i,0.0018403+0.0018942i,0.0010463+0.00031024i,0.00060047-0.0015021i,0.00026935-0.0020318i,0.00016151-0.0020097i,0.00089203-0.0018056i,0.00021868-0.0010434i,-0.0010085-0.00027758i,-0.00076681+0.00033052i,-0.00039975+0.00071227i,-0.00012823+0.00033776i,0.00060269+0.00038344i,0.00058203+0.00076586i,0.00026648+0.00058511i,0.00045592+0.00051848i,-0.00013434+0.00039174i,-0.00040818+0.00034059i,2.5679e-05+0.00040586i,0.00033979-0.00015406i,0.00029212-0.00067959i
0.00021827-0.00050595i,0.0014138-0.00072853i,0.0024586+0.00044042i,0.0030697+0.00020325i,0.0028603-0.0010348i,0.0028936-0.0022377i,0.0026112-0.0027178i,0.00080985-0.0023181i,-0.00061738-0.0017632i,-0.00070944-0.00093875i,-0.00048902-0.00021689i,0.00061653+9.1927e-05i,0.00043069+0.00024114i,-0.00043717+0.00013721i,-0.0006789+0.00058327i,-0.00040474+0.00046675i,-0.00037961+5.3452e-05i,-0.00055181-3.1651e-05i,-0.00030606+0.00015993i,0.00037425+0.00041117i,0.00075814+0.00020576i,0.00025139-0.00021322i,-0.00012051-0.00053043i
0.0010971+0.00047961i,0.0019023+0.0019736i,0.0020678+0.0032206i,0.00207+0.0023478i,0.001814-1.4307e-05i,0.0015499-0.002562i,0.0011313-0.0028107i,0.00075037-0.0019007i,0.00057457-0.00078013i,0.00062237-0.00035998i,0.0010315-0.00054223i,0.00066635+0.00061721i,-0.00032394+0.0010868i,-0.00029844+0.00033718i,3.0659e-05+3.6416e-06i,0.00058856-0.00056104i,0.00095592-0.0011081i,4.6931e-05-0.0010299i,-0.00038286-0.0004231i,5.9305e-05-0.00013195i,-1.3993e-05+0.00022454i,-0.00064556+0.00093729i,-0.00025733+4.9618e-05i
0.000721+0.0017836i,0.0014005+0.0022141i,0.0027616+0.0019051i,0.0036405+0.0010836i,0.0026335-0.00061168i,0.0013644-0.0036557i,0.0010024-0.004029i,0.00063775-0.002196i,0.00054903-0.0012802i,0.00055557-0.0004982i,-0.000286-0.00017944i,-0.00068512-0.00037161i,-0.00021379-0.00039657i,0.00022211+0.00070191i,0.00056748+0.0010498i,0.00051221+0.00033911i,0.00026094+0.00031556i,0.00017165-3.3329e-05i,0.00048578-0.00085571i,0.00065525-0.00014945i,0.00067297+0.00082829i,0.00055017+0.00040089i,0.00039957-5.2539e-05i
0.00037197+0.0013784i,0.00046824+0.0018214i,0.0011103+0.0020872i,0.0015002+0.0013723i,0.0014267-0.00097885i,0.00079707-0.0030256i,0.00040441-0.0028944i,0.00063498-0.0013683i,0.0012804-0.00035333i,0.0012677-0.00034772i,0.00043722-0.00033054i,5.9774e-05-0.00010449i,-0.00010151+0.00081483i,0.00036314+0.0013617i,0.00093874+0.0011383i,0.0010923+0.00066105i,0.0008329-7.7528e-05i,0.0010353-0.00025261i,0.000639-8.3043e-05i,-5.0772e-05+0.00020587i,0.00066451+0.00069339i,0.00072894+0.00041904i,9.7083e-05-0.0007532i
0.0016675+0.00068556i,0.0013456+0.0013007i,0.0015178+0.0020099i,0.0020836+0.0014841i,0.0019252-0.00042725i,0.0020125-0.0023422i,0.0014557-0.002103i,0.00051197-0.0017468i,0.00033019-0.001681i,-0.00027196-0.00076216i,-0.00089565-0.00045084i,-0.0011523-0.00034429i,-0.0012031-0.00026062i,-0.00088254+9.8091e-05i,-0.00057548+1.9671e-06i,-0.00031651-0.00050114i,-3.5283e-05-0.00023203i,0.00070587+2.5387e-06i,0.0010459+0.00025519i,0.00047926-0.00018972i,0.00069718+1.5833e-06i,0.00094764+5.0478e-06i,0.00065915-0.00058132i
-0.000772-3.533e-05i,0.00047569+0.0011474i,0.0018462+0.0018534i,0.0022137+0.0010571i,0.0016138-0.00079685i,0.0015472-0.0029727i,0.0015344-0.0032214i,0.00084889-0.0019041i,-0.00013591-0.0015896i,-0.00041394-0.0011721i,-0.00017992-0.00054751i,0.00028397-0.00037462i,-1.1367e-05-0.00019618i,-0.00049252+0.00050192i,0.00016234+0.00092888i,0.0008739+0.00049172i,0.00055048-0.00040175i,0.0002264-0.00037099i,0.0001028+0.000361i,0.00056078-1.2505e-05i,0.00087837-0.0004383i,0.00045819-7.0527e-05i,-0.00025305+0.00068675i
-0.0010272+5.2879e-05i,-0.0008185+0.0016142i,0.00029541+0.0025576i,0.0010464+0.002267i,0.00074825+0.00054523i,0.00037236-0.0010817i,0.00037082-0.0022774i,0.0001445-0.0025583i,-0.0001211-0.0017214i,-0.00036721-0.00070093i,-0.00021715-0.00035915i,-0.00014609+0.00043902i,-0.00033792+0.00089893i,9.0629e-05+0.00030207i,0.00033074+0.00033937i,-0.00032458+0.0009713i,9.8319e-06+0.00055418i,0.00069096-0.00033309i,0.00045047-0.0006729i,8.7001e-05-0.00053459i,0.00065986-0.00077314i,0.0012741-0.0010026i,0.001455-0.0007206i
-0.00038636+0.0022318i,-0.00014122+0.0030555i,0.00092063+0.0029818i,0.0014935+0.001523i,0.0014837+4.7737e-05i,0.0010928-0.0019042i,0.00050644-0.0028539i,1.5791e-05-0.0021097i,-0.00019582-0.001605i,-0.00018143-0.001724i,0.00017461-0.0016035i,0.00023311-0.00056576i,-0.00078604+0.00072314i,-0.0012084+0.00089086i,-0.00045191+0.00047152i,0.00050989+0.00012457i,0.00080244-8.6935e-05i,0.0011364-0.00019006i,0.00068616+0.00015416i,-0.00026239+0.00019403i,-0.0004766-0.00016603i,0.00022122-2.3223e-06i,0.0001085-0.00039649i
0.00036029+0.00054479i,0.00054904+0.00069802i,0.00093208+0.0013931i,0.00074134+0.00089746i,0.00022848-0.0014193i,0.00049077-0.0035127i,0.00028687-0.0041372i,-0.00026592-0.0037533i,0.00032771-0.0021577i,0.00049651-0.00060987i,0.00039991-0.00021275i,0.00020415-0.00042844i,-0.00039421+3.6833e-05i,3.8602e-05+0.0009046i,0.0010187+0.00080143i,0.00065622-0.00029304i,-9.4908e-05-0.00045458i,-0.00036758+0.00017178i,2.323e-05-0.00016367i,0.00059614-0.0004186i,0.00045706-0.00014277i,0.00035954-0.00010441i,0.00040445-0.00032187i
