-0.0017519+0.0004477i,-0.00078593-0.0011679i,-0.00070403-0.0023558i,-0.0014395-0.0023874i,-0.0019101-0.00086896i,-0.0012639+0.00082445i,-0.00090486+0.0014315i,-0.00078261+0.0013852i,5.6289e-05+0.00097009i,0.0014187+0.0007702i,0.0019185+4.0544e-05i,0.001304-0.0012194i,0.00070571-0.0017751i,7.2816e-05-0.0010162i,-0.00049341+8.3787e-05i,-0.00069071+0.00064495i,-0.00025547+0.00081879i,-0.0001047+0.00038608i,0.00041554+4.1075e-05i,0.00093981+0.00013522i,0.00083877+0.00020888i,0.00065689-0.00042745i,0.00093043-0.00049311i
-0.00073524-0.00037834i,-0.0012213-0.00090378i,-0.0018927-0.001142i,-0.0013333-0.00013151i,-0.00073262+0.001133i,-0.0012295+0.0018512i,-0.0016134+0.0011547i,-0.0012156+0.0010705i,-0.00078644+0.0014094i,9.4318e-05+0.0004301i,0.0012881-6.3565e-05i,0.0013664-0.00030054i,0.00034387-0.0011596i,-3.3265e-06-0.00079051i,-0.00038956+0.00019948i,-0.0011485+0.00048787i,-0.0011246-0.00028674i,-0.00040172-0.00055004i,-7.0124e-05+0.0005278i,0.00017565+0.00016461i,0.00027087-0.00010533i,-0.0005131-0.00024674i,-0.00017794-0.00056718i
-0.00013544+0.00066526i,-0.00069644+0.001672i,-6.8315e-05+0.0015401i,4.8383e-05+4.5738e-05i,-0.00079543-0.0016449i,-0.00096198-0.0013913i,-0.00039759+0.00022002i,-0.00022344+0.00089769i,3.1123e-05+0.0010079i,0.00042513+0.00079716i,0.0011502-8.2982e-05i,0.0015779-0.00047652i,0.00076057-0.00022163i,0.00018766-0.00011402i,-0.00027894-0.00022763i,-0.00058914-2.3915e-05i,-0.00069925+8.7644e-05i,-0.00051345-0.00023717i,-0.00053819+7.87e-05i,-0.00051056-0.00019571i,-0.00024361-6.2965e-05i,8.0372e-05+0.00053896i,0.00043945+0.00055938i
0.0023369+0.00058794i,0.0022208+0.00092664i,0.001611+0.00055875i,0.0009612-0.00037022i,-6.4011e-05-0.0012655i,-0.0014772-0.0012192i,-0.0026425-0.00028413i,-0.0020974+0.00043004i,-0.0011117+0.00023627i,-0.00034629-0.00031846i,-7.1297e-05-0.00060009i,0.00035521-0.00055751i,0.00084523-0.00039125i,0.00019793-0.00060718i,0.00023226-0.0006887i,0.00064744+0.00024714i,0.00083133+0.00071381i,0.0010433+0.00035163i,0.000878-7.2526e-05i,0.00095936-0.00044642i,0.00046599-0.00040651i,-0.00015688-8.4078e-05i,-0.00024902+0.00079265i
0.0010182-0.0017624i,0.0010888-0.0014473i,0.0013794-0.0019753i,0.0011017-0.0020768i,-0.0001373-0.0010183i,-0.00062513+0.00028253i,-0.00025021+0.00084594i,-0.00027416+0.00060163i,-0.00018537-0.00013668i,-0.0002142-0.0008588i,-0.00023949-0.0014424i,0.00011226-0.00097574i,0.00069674-0.0005433i,0.00060181-0.0004122i,-0.00091249+0.00027428i,-0.0015935+0.00032266i,-0.0012485+0.00045782i,-0.00047519+0.00063113i,0.00064934+0.00073995i,0.00090284+2.8792e-05i,5.4452e-05-0.0010091i,0.00028681-0.00027588i,0.00070669+0.00079788i
0.00059997-0.0013042i,-0.00010311+7.0687e-07i,-0.0011018+0.00067079i,-0.0006662+0.00078148i,-0.00083547-0.00015415i,-0.0018418-0.0014048i,-0.002563-0.00054963i,-0.0021377+0.00076023i,-0.00056443+0.0011284i,0.00078499+0.0013531i,0.0011185+0.0012277i,0.0011986+0.00083353i,0.00087592+0.00064641i,-0.00051274+0.00063817i,-0.0011059+0.00069625i,-0.00047729+6.9554e-05i,-0.0004006-0.00026858i,-0.0005921+0.00051717i,-0.0001533+0.00083917i,0.00022852+0.00027268i,-4.6257e-05+0.00044703i,-0.00043544+0.0012929i,-0.00051144+0.0016031i
0.0017803+0.0012479i,0.0007244+0.00011108i,0.00037106-0.00073875i,-0.00053352-0.00045373i,-0.0012344-0.00053646i,-0.0013622+4.3625e-05i,-0.0012188+0.0012764i,-0.0002672+0.0015453i,0.00035832+0.0012751i,0.0014253+0.00073645i,0.0012886+0.00022491i,0.00012509-0.00032367i,-0.00023413-0.00041837i,-0.0004664+3.9857e-06i,-0.00076791-0.00024946i,-0.00052515-0.00014456i,-0.00047549+0.00028703i,-0.00022817+0.00077191i,0.0004409+0.00063909i,0.00071019+0.00041015i,0.00072519+0.00039081i,-9.2763e-05+0.00017362i,-0.00057416+0.0001014i
-2.0703e-05-0.0012714i,-4.7995e-05-0.0012301i,0.00018581-0.0014101i,0.00023036-0.00096528i,0.00050152-0.00070602i,-0.00050671-0.00056887i,-0.0011835-3.3444e-05i,-0.00050593+0.00069953i,-0.00074193+0.00068322i,-0.00038596+6.0477e-05i,0.00036035-9.138e-05i,-0.00018991+0.00015256i,-0.00097271+0.00016428i,-0.00068578-0.00020744i,-0.00040679-0.00066305i,-0.00062748-0.00035614i,-0.00069571+0.00033568i,0.00038325+0.0006387i,0.00041486+0.00051953i,0.00045845+8.7585e-05i,0.00050033+0.00024141i,-0.00032942-3.3432e-05i,-0.00047401-0.00023503i
-2.9613e-05+0.0013197i,3.9813e-05+0.0016102i,-4.1371e-05+0.0014539i,-0.00038365+0.00013189i,1.916e-05-0.0012874i,-9.0931e-05-0.00066836i,-0.0006644+0.00022864i,-0.00068556+0.00080012i,-0.00062945+0.0011291i,0.00014161+0.00041782i,0.0011276-0.00056956i,0.001395-0.00054801i,0.0016961-0.00029127i,0.0011738-0.00048204i,0.00042595-0.00039221i,0.00012775+0.00014752i,-0.00049081+0.00023971i,-0.00041412-0.00085427i,0.00034773-0.00098789i,0.0009683+5.6433e-05i,0.00064332+0.00060247i,-0.00019872+0.00056123i,-1.6099e-05+0.001012i
0.00094419-0.00019092i,0.0012361-0.00088441i,0.00089583-0.00061481i,-9.5679e-05-0.00018344i,-5.8115e-05-0.00046839i,-0.00087268-0.00030521i,-0.0016746+0.00070208i,-0.00086116+0.0013468i,-0.0002529+0.0010115i,-6.4728e-05+0.00060844i,0.00071414+0.00026272i,0.00033206-0.00014705i,-0.00027568-8.8631e-05i,-0.00060489-0.00040853i,-0.0013789-0.00059796i,-0.001349+4.7172e-05i,-0.00094653+0.00044138i,-0.0003673+0.00036916i,-5.8885e-05+0.00047729i,0.00014477+4.2514e-05i,0.00030933-0.00054889i,-0.00048797-0.00015665i,-0.00079689+9.3741e-05i
-0.0015511+0.00014592i,-0.00090878+0.00025759i,-0.00039585+0.00016082i,-0.00012105+4.6936e-05i,0.00029316+9.3584e-05i,-0.00017897+0.00031019i,-0.0014836+0.00026825i,-0.0011058+0.00049023i,-0.00059872+0.0002343i,-0.00014792-0.00043554i,0.00090998+0.00014664i,0.0013266+0.00043432i,0.0014876-2.5485e-05i,0.00064969-0.00019063i,-0.00017792+0.0002298i,-0.00049346+0.00058202i,-0.00034832+0.00034592i,-0.00068792+0.00034757i,-0.00055615+0.00050575i,0.00048153+0.00026906i,0.00049622-0.00012461i,0.00020826-8.179e-05i,-9.9894e-05+7.8426e-05i
0.0014618-0.00097754i,0.00017993-0.00012506i,-0.0012269-0.00035701i,-0.00048745-0.0007039i,-0.00063388-0.00089026i,-0.0022284-0.00065318i,-0.0022124+0.00012933i,-0.00084376+0.00061003i,-0.0007225+0.00094907i,-0.00084899+0.00070697i,-0.00013083-0.00046179i,0.0006397-0.00074701i,0.00022329-5.947e-05i,-0.00026915+2.0819e-05i,-0.00035792-0.00016622i,-0.0003118+6.3041e-05i,-8.2734e-05+0.00067535i,0.00034254+0.00072623i,0.00064009+0.0011972i,0.00022415+0.0010888i,-0.0004398-0.00024431i,-5.3927e-05-0.00051318i,0.00077288+0.0003566i
-0.00041671+0.0014029i,-0.00055655+0.0021122i,-0.00066756+0.0021622i,0.00022572+0.002072i,0.00046181+0.0010265i,-0.00034283-0.0001692i,-0.0012656-9.5724e-05i,-0.00076344+3.092e-05i,0.00038529-0.00039319i,0.00075618-0.00059502i,0.0008971-1.8876e-05i,0.00060351+0.0010307i,0.00071136+0.0010487i,0.00086654-0.00069412i,9.0161e-05-0.0016247i,1.3934e-05-1.0838e-05i,-0.00037901+0.00094577i,-0.0010939+0.00056336i,-0.00090767+0.00023439i,9.2616e-05-0.00030917i,0.0007877-0.00046916i,0.00076552+0.00017663i,0.0007198+0.00026532i
-0.0014773-0.0020654i,-0.0013792-0.0017979i,-0.0015108-0.0015329i,-0.0011707-0.00084645i,-0.00037921-0.00058988i,-0.00097161-0.00037866i,-0.0018188+0.00032216i,-0.0019419+0.00014178i,-0.0010285-0.0004415i,0.00039248+4.0992e-05i,0.00082157+0.00060855i,9.7214e-05+0.00030818i,-0.00018561-0.00026273i,0.0002903-0.00075343i,-7.0106e-05-0.00073754i,-0.00025035-0.00026176i,-3.9377e-05+0.00060432i,-0.00020265+0.00086124i,0.000103+0.00048377i,0.00062498+0.00020491i,0.00030298-0.00024356i,-0.00037143+0.00010976i,-0.00078886+0.00091547i
-0.00015951+0.00038121i,1.2076e-05-5.5223e-05i,-0.00022146-0.0016869i,-0.00088364-0.0019787i,-0.0012471-0.0017898i,-0.0012708-0.0015421i,-0.00059729-0.00083722i,-5.5608e-05+3.8483e-05i,0.00025737+0.00020226i,0.00040905-0.00061751i,0.00044998-0.00091042i,0.00075425-0.00046493i,0.00058083-0.00043663i,6.7375e-05-0.00059927i,0.00033131-9.5299e-05i,0.00044033+0.00034627i,-7.1641e-05+0.00055989i,-0.00068033+0.00050328i,-0.00068373-0.00050965i,0.00010853-0.00088772i,3.527e-05+4.3335e-05i,0.00022864+0.00052292i,0.00040058+0.00013283i
8.9122e-05-0.0008657i,0.00060555+0.00049231i,9.6534e-05+0.0011317i,0.0003544+0.00025248i,0.00018551+0.00011608i,-0.0010046+0.00073036i,-0.0016559+0.0014172i,-0.0013077+0.0019328i,-0.00072398+0.0014969i,-0.00020537+0.0010393i,0.0011239+0.00097464i,0.001693+0.00024075i,0.00074794-0.00045723i,0.00076193-1.4896e-06i,0.0016063+0.00037503i,0.0012325+0.00063704i,-0.00020003+0.00093085i,-0.00021522-1.1338e-05i,0.00027362-0.0010621i,0.00074492-0.00037436i,0.00095016+0.00079561i,0.00027582+0.00070155i,-0.00019385+0.00034146i
-0.00018959-0.00093934i,-0.00045638-0.0012523i,-0.0011646-0.0015883i,-0.00098849-0.0012803i,-0.00041032-0.0005814i,-0.00011937+6.7648e-05i,-0.00043549+5.1141e-05i,-0.00060377+0.00026215i,0.00039083-0.000162i,0.0013651-0.00077846i,0.0014027-0.00059206i,0.0013736+4.0923e-05i,0.0012407+0.00011402i,8.0488e-05-0.0004718i,-0.00067921+4.4586e-05i,-0.00021064+0.00054134i,0.00017224+6.3481e-05i,-0.00020122-5.2564e-05i,-6.8115e-05+0.00095877i,0.00013295+0.0006012i,-0.00032483+9.6621e-05i,-7.6001e-05+0.0005322i,8.6355e-05+0.00082118i
0.0018254-0.00051195i,0.0024022-0.0014552i,0.0016908-0.0014006i,-4.4683e-05-0.0010673i,-0.0012597-0.0013437i,-0.0016167-0.0008694i,-0.0018935+0.00048816i,-0.0012397+0.0011671i,0.00040428+0.0010315i,0.0004083-0.0001781i,0.00044077-0.0010783i,0.00070651-0.00061307i,-0.00021732+0.0005692i,-0.00035143+0.00076276i,-0.0001431+0.00029636i,-0.00032265+3.7963e-05i,-0.00064853-5.7649e-05i,-0.0010058-0.00035243i,-0.0010372-0.00039642i,-2.8457e-05-0.00051537i,0.00073889-0.00029428i,0.00023677+0.00026724i,0.00027616+0.00035305i
0.0011077+0.00041286i,0.0015029-5.7666e-07i,0.0018876-0.00027464i,0.0018591-0.00049882i,0.00047736-0.0014389i,-0.00062797-0.0013146i,-0.00095612-4.1805e-05i,-0.00047554+0.00021107i,0.00033739+0.00031468i,-0.00010736+0.00043621i,0.00085125+0.00041687i,0.001401+0.00093357i,0.00035934+0.00036485i,-0.00033317-0.00047582i,-0.00066767-0.00047613i,-0.00023238-0.00045588i,-0.00016233-0.0003721i,-1.8671e-05+0.00011104i,0.00068571+0.00020785i,0.00095526+0.00034933i,0.00023846+0.00088184i,9.3596e-05+0.00041539i,0.0003234+0.00015771i
-0.0017749+0.00036924i,-0.0026435+2.6978e-05i,-0.0028588-0.00063016i,-0.0017886-0.0003105i,-0.0012532-0.00028176i,-0.001359-0.0003296i,-0.00067273-0.00033589i,-3.3473e-05-0.00035357i,-0.00036827-0.00028456i,-0.00021999-0.00050846i,0.00033675+7.8784e-06i,0.00058864-0.00027687i,0.00037552-0.0016935i,1.0571e-05-0.0016661i,-0.0002118-2.6654e-05i,-0.00065948+0.0012148i,-0.00052592+0.001185i,-0.00039511+0.00049434i,7.3851e-05+0.00039513i,0.00031988+0.0010445i,-0.00026934+0.00084369i,-0.00048366+0.00062621i,-1.7822e-05+0.00024948i
-0.0016155-0.00056904i,-0.0014816-0.00028462i,-0.00097295+0.00026365i,-0.00066314+9.6742e-05i,-0.00032563+0.00083288i,-0.0011406+0.0015808i,-0.0018615+0.0010993i,-0.0013659+0.00099782i,-0.0011952+0.00084633i,-0.0010742+0.00023501i,0.00033499-0.00010372i,0.0014475-8.161e-05i,0.0010066+0.00019781i,0.0006196+0.00042891i,0.00032256+0.0013568i,-0.00039786+0.00055778i,-0.000891-0.00080787i,-0.00078663-0.00029953i,-0.0004666+7.2926e-05i,0.00029553+7.4497e-05i,0.0012612-0.00028717i,0.00085477-0.00089445i,0.00023733-0.00035796i
0.00094262+0.0001296i,0.0012305+0.00070348i,0.00093403-6.0949e-05i,0.00040053+0.0001635i,-0.00025259+6.9201e-05i,-0.00066916-0.00061852i,-0.00088295-0.00084868i,-0.0011971-0.0004957i,-0.00063847-0.0002203i,8.6177e-05-1.5879e-05i,0.00046131-0.0001766i,0.00063922-0.00015502i,0.00066611-0.00059655i,0.00077723-0.00061904i,0.00016116+0.00024325i,-0.00043005+0.00070373i,-0.0003744+0.00094654i,-0.00022349+0.00065432i,0.00032187-0.00023261i,0.0001752-0.0006436i,-0.000208-0.0004911i,0.00011935+0.00027042i,0.0003507+0.00057766i
0.0011414-7.8904e-05i,0.001608+0.00016436i,0.00061798+4.0045e-05i,-0.00018248-0.00064675i,-0.00033726-0.0015138i,-0.00052804-0.0014376i,-0.0010142+0.00032087i,-0.0012838+0.0010779i,-0.00015008-5.307e-05i,0.00046506-0.00054983i,0.00036742-2.0188e-05i,0.00047555-8.2367e-05i,-0.00041775-0.00071702i,-0.0010994-0.00065688i,-0.00052831-0.00011418i,-0.00025345+3.8064e-06i,-0.00062192+0.00076311i,-0.00080822+0.0017348i,-0.00049663+0.00075051i,0.00052671-0.00059738i,0.001079-0.00016077i,0.00066532-0.00019418i,-0.00011483-0.0004808i
-7.6274e-05+0.00037016i,-0.00066686+0.0005727i,0.00011808+0.00090531i,0.00046572+0.00061567i,-0.00012856-0.00027715i,-0.00078689-0.00048885i,-0.00089335-0.00021778i,-0.00051395+0.00069806i,0.0002291+0.0007047i,0.0002407+0.00010054i,-1.5182e-05-0.0002304i,8.3389e-05-9.7657e-05i,-0.00027873-0.00025524i,0.00014951-0.00094917i,-3.9487e-05-0.00090622i,-0.00020589+2.3067e-05i,-2.7569e-05+0.00097386i,-0.00075775+0.0013188i,-0.00092057+0.00081535i,-0.0003874+0.00018252i,-0.00028085-0.00010873i,-0.00047707-0.0003988i,-0.00029023-0.00074996i
3.7301e-05-0.0012088i,0.00013976-0.0014939i,-0.00029541-0.001911i,-0.0004115-0.001888i,-0.00012263-0.0014282i,-0.00059091-0.00012824i,-0.0010046+0.00046493i,-0.00071545+0.00049474i,0.00015878+0.00051868i,0.00051701+0.00018467i,0.00045974+0.00018483i,0.00051918+0.00017976i,9.6013e-05-9.4489e-05i,-0.00077179-0.00036291i,-0.0014893-0.00016538i,-0.0016369-5.1785e-06i,-0.00040858+0.00013495i,0.00012819+0.00011141i,-0.00054591-0.00011841i,-0.00052656+0.00053986i,-0.00049465+0.001072i,-0.00063234+0.00081037i,-0.00045382+0.00016636i
0.00039542-0.0010727i,0.0011433-0.0011398i,0.0011646-0.0015248i,0.00011221-0.0011278i,-0.0010006-0.00074498i,-0.0010983-2.7548e-05i,-0.00026591-2.2984e-06i,0.00028442-0.00027585i,-0.00027393-5.0635e-05i,-0.00062977-4.2876e-05i,-0.00050207+0.00020331i,0.00050901+9.7549e-05i,0.00077906-0.00050355i,-0.00013409-0.00037083i,-0.0011833+0.00028799i,-0.0015632+0.00038639i,-0.0013157+0.0006296i,-0.00080329+0.00085863i,-0.0005103+0.00024241i,-0.00047775-9.4842e-05i,-0.00016541-0.00088444i,0.00089974-0.00051141i,0.00086393+0.00080352i
-0.0018225+0.002232i,-0.0017484+0.0020069i,-0.0012187+0.0022245i,7.9026e-05+0.0012683i,0.0016453-0.0005049i,0.0012713-0.0016727i,-0.00070174-0.00085074i,-0.0017044+0.00063758i,-0.0013961+0.00099084i,-0.00041769+0.00038348i,0.00034793+0.00011683i,0.00039213+0.0010383i,1.9465e-05+0.00072244i,0.00014028-0.00023022i,8.8793e-06+0.00043611i,-0.00030059+0.0001652i,7.9169e-05-0.00014549i,0.00095934+0.00020136i,0.0010904+0.00014769i,0.00062649+0.00012968i,0.000707+3.9765e-05i,0.00051881-4.1811e-05i,0.00079862-0.00061755i
-0.001417-0.0016488i,-0.0017392-0.0018945i,-0.0022602-0.0019233i,-0.0019431-8.1729e-05i,-0.001656+0.00045601i,-0.0016623+0.00032769i,-0.0017095+0.0010398i,-0.0011064+0.0016186i,-0.00030491+0.0011536i,-0.00045863-0.000392i,-6.4827e-05-0.00081475i,-2.9795e-05+6.7621e-05i,-0.00058917+3.3057e-05i,0.00023155-0.00036082i,0.00062019+0.00036073i,-0.00037903+0.0012046i,-0.00080768+0.0011374i,-0.00078733+0.00083043i,-0.00056046+0.00034967i,-0.00057868-5.4926e-05i,-0.00077349+0.00026097i,-0.00075011-1.6806e-05i,-0.00038213-1.9705e-05i
-0.00069274-0.00084673i,-0.0011559-0.001511i,-0.0022385-0.0018824i,-0.0018638-0.0018967i,-0.0010012-0.0014131i,-0.00019906-0.00073268i,0.0001247-0.00039094i,5.9828e-05+0.00054789i,0.00029546+0.00056371i,0.00075607+0.00032586i,0.00091367+0.0003584i,0.001051-0.00015107i,0.0012888+1.6833e-05i,0.0012753+0.00053086i,0.00086567+0.00050496i,0.00066433+0.00035887i,0.00099626+0.00026246i,0.00052048+0.00049304i,-0.00038713+0.00029784i,-0.00013692-0.00040668i,0.0005984-0.00058308i,0.00065071-5.5492e-05i,0.00042007+0.0003749i
0.0027053+0.0020661i,0.0039406+0.0020386i,0.0044219+0.0015618i,0.002923+0.00072879i,0.00058397+4.8728e-05i,-0.0013122-0.0010079i,-0.001187-0.0003174i,-0.00065638+0.0011275i,0.00017331+0.0006292i,0.001249-0.00024252i,0.001152+0.00034599i,0.00082266+0.00065605i,0.0010078+0.00015909i,0.0008084-0.00050186i,-0.00020161-0.00036406i,-0.000599+0.00010288i,-0.00024411-1.1171e-05i,0.00052858+0.00050123i,0.00096881+0.001406i,0.0011893+0.0010213i,0.0010599+0.00055058i,2.9791e-05+0.00031264i,-0.00019196+0.0001544i
0.00087432-0.0011748i,0.00044106-0.00036426i,9.2359e-05-0.00067186i,-0.00052103-0.00093726i,-0.0013123-0.0007765i,-0.0014623-0.00023438i,-0.0003246+0.00025485i,0.0004875+0.00070469i,0.00055469+0.00035321i,0.00021379-0.00018521i,-0.00044345-0.00089218i,-0.0003433-0.0012121i,2.5904e-05-0.00082018i,0.00030816-0.00063483i,4.0708e-05-0.0001843i,-0.0010302-9.3143e-05i,-0.0012039-0.00066271i,-0.00048819-4.1851e-05i,0.00010223-2.8171e-05i,0.00082029-0.0003913i,0.0010778-0.00011135i,0.00062788-0.00010795i,0.00043331-0.00029032i
-0.00036403-0.00094272i,-0.0010589-0.0020725i,-0.0017299-0.0013389i,-0.001478-0.00030443i,-0.0010088-0.00056392i,-0.0010818-0.00063559i,-0.0010314-0.00018495i,-0.0010752+3.0178e-05i,-0.00072554+0.00035695i,-0.00029831+1.7677e-05i,-4.7379e-05-0.00017874i,0.00027645-0.00024112i,-4.6314e-05-0.00077136i,2.4696e-05-0.00048073i,0.0006763+0.00024243i,0.0002696+0.00058817i,-0.00016625+0.00027816i,-0.00033166-0.00024262i,-0.00024662-0.00033752i,0.00024869+6.4147e-05i,0.0010735+9.3497e-05i,0.00088229-0.00013388i,-0.00049359-0.00037881i
