9.3698e-05+0.0021422i,0.0012525+9.5046e-05i,-0.00020647-0.0025141i,-0.0022635-0.0024612i,-0.0035986-0.00022364i,-0.0042727+0.0016098i,-0.0025501+0.0019897i,-0.0002164+0.0018789i,0.0010844+0.00097063i,0.00095567-0.00013296i,1.1449e-05-0.00054507i,-6.6128e-05-0.00082665i,-0.00038316-0.00085325i,-0.00094474-0.00044791i,-0.0012056-4.335e-05i,-0.0013417-0.00056175i,-0.001513-0.0004112i,-0.0014491+0.00016925i,-0.0013109+4.8376e-05i,-0.00078443-0.00019009i,8.114e-05+4.2526e-05i,1.742e-06+0.00037709i,-0.00025358+4.1993e-05i
0.0014032-9.9122e-05i,0.00013638-0.00034904i,-0.00032394-0.00034725i,-0.00076833+0.0001736i,-0.0015183-0.00020071i,-0.0020928+0.00016652i,-0.0014609+0.00078473i,3.2504e-06+0.00085905i,0.00058868+0.00050324i,0.00047038-0.00037768i,-0.00029371-0.00043403i,-0.00071619-0.00030899i,-0.00015185-0.00032546i,-5.8246e-05+0.00043849i,-0.00059766+0.00071773i,-0.00015227+0.00018859i,0.00063776+0.00013673i,0.00044024+0.00022127i,0.00023306+0.00012453i,0.00035658+0.00027228i,0.00027527-0.00049262i,0.00032132-0.001261i,-0.00011182-0.00051495i
1.76e-06+0.00054423i,6.3354e-05-0.00010414i,-4.9973e-05-0.00131i,3.3462e-05-0.0018566i,-0.00061369-0.0014226i,-0.0014975-0.001258i,-0.0010131-0.0010755i,-0.0003722-0.00087581i,0.00012155-0.0010122i,0.00034606-0.00047374i,-0.00037594+0.00021981i,-0.0004934+0.00032473i,-0.00067604+1.057e-06i,-0.0013743-0.00041728i,-0.00087114-0.00068836i,0.00024951-0.00061652i,0.00060105+4.5076e-05i,0.00058029+0.00019704i,0.0007897-2.8842e-05i,0.00047569+1.975e-05i,0.00020504+0.00014652i,0.00045179-9.7857e-05i,0.00037719-2.1994e-05i
0.0026674-0.0010137i,0.0031665-0.0015266i,0.0026439-0.0010228i,0.00079094-0.0016561i,-0.0011018-0.00084705i,-0.0021532+0.00024388i,-0.0019121+0.00077991i,-0.00068931+0.00068728i,0.00010314+0.00011694i,-0.00022579+0.00017069i,-0.00028753+0.00033863i,-0.00010159+0.00089273i,-0.00028424+0.0013002i,-0.00072058+0.00053332i,-0.0014722+0.00033194i,-0.0013093+0.00021505i,-0.00076914-0.00030541i,-2.412e-07-0.00030932i,0.00094778+0.0003516i,0.00042865+0.0010871i,0.00019014+0.00071721i,-4.2244e-05-0.00055307i,-0.00053404-0.00043337i
0.00013927+0.0004911i,-0.0012157+0.0010708i,-0.00098805+0.00032288i,-0.00040909-0.00020634i,-0.00094313-0.00029952i,-0.0023808-0.00012368i,-0.0029856+0.00064695i,-0.0012208+0.00074725i,0.00056051+1.5586e-05i,0.00048136+0.00021559i,6.87e-05+0.00055329i,-7.2977e-05+0.00019046i,0.00039318-0.00068525i,0.0010269-0.00096065i,0.00036529-0.00044236i,-0.00022086-0.00053591i,-0.00047017-0.000196i,-0.00026352+0.000462i,-3.9712e-05+0.00015831i,-0.00015614-0.00018899i,0.00020423+0.00021294i,0.00010683+0.00028289i,-0.000613+0.00045333i
0.0010109+0.0017735i,0.0010734+0.0021359i,0.0012395+0.001704i,0.00076416+9.6507e-05i,-0.00043732-0.0017615i,-0.0024055-0.0011548i,-0.002401+0.00012299i,-0.0012144+0.00073627i,-0.00034186+0.00038528i,-0.00018335-0.00018749i,0.00030903+0.00039467i,0.00067337+0.00040826i,0.00027845-0.00026673i,-8.4895e-05+1.7355e-05i,-0.00024092+0.00040086i,-0.00032815+9.0602e-05i,0.00014046-0.00019642i,0.00024853-0.00013316i,-9.6774e-06-0.0001516i,4.5603e-05+3.4344e-05i,-0.00031591+0.00020851i,-0.00035964+0.00022179i,-0.0001931-0.00036903i
0.00019202-0.00085772i,-0.00047258-0.00085193i,-0.0008766-6.8835e-05i,-0.0010412+0.00065932i,-0.001173+0.00062473i,-0.0010865+0.00062541i,-0.0011423+0.0007282i,-0.00087343+0.00012705i,4.0458e-06-6.4195e-05i,0.00025527-0.00078248i,0.00013913-0.0013152i,0.00014422-0.00026214i,0.00020578+0.00032136i,-0.00054389+7.0306e-05i,-0.0011707-0.00067838i,-0.00056147-0.00081093i,-8.1196e-06-0.00036762i,0.00047698-0.00042349i,0.00098731-0.00048239i,0.00085708+0.00062592i,0.00066634+0.00084374i,0.0006667+0.00031623i,0.00065875+0.00088716i
0.0013187-0.00023949i,0.00067348-0.00080767i,0.0011689-0.0019482i,0.00064064-0.0020291i,-0.0014834-0.001738i,-0.00252+0.00019424i,-0.0021367+0.0020312i,-0.0013956+0.0016307i,-0.00062825+0.00034245i,-0.00031612+0.00019772i,-0.00043581+0.00073642i,-0.00087893+0.00072656i,-0.0011844+0.00026292i,-0.00091952-0.00022381i,-0.00084414-0.00011197i,-0.00070742-1.3682e-05i,-0.00057512-0.00041322i,-0.00024229+0.00040588i,-0.00019583+0.0011539i,-0.0008461+0.00051013i,-0.00066223-0.00013365i,0.00041135-0.00020827i,0.00047088+0.00059272i
0.0011175-0.00090425i,0.00038084-0.0013465i,0.00037834-0.0014341i,-0.00063376-0.00082617i,-0.0017649-0.00043895i,-0.0026579-0.00021793i,-0.0026073+0.00019664i,-0.0011192+0.00078326i,0.00014803+0.00047885i,0.00016718-0.00078461i,-0.00028122-0.00066085i,-0.00030605+0.00022102i,0.0001804+4.2454e-05i,0.00072997-0.00036279i,0.00040471+0.00019658i,-0.00062235+0.00057809i,-0.00057552+0.00045897i,-0.00046157+0.0001663i,2.1127e-05+4.4111e-05i,0.00028572+0.00022039i,0.00037485+0.00068857i,-5.5333e-05+0.00069692i,-0.00087586+8.8863e-05i
8.1329e-05-0.00067638i,-0.00035126-0.00071781i,-0.00054382-0.00039574i,-0.00046752+0.00052002i,-0.00090443+0.00044321i,-0.001913-0.00037323i,-0.001704-0.0001605i,-0.0010997-6.3581e-05i,-0.00014469-0.0010946i,0.00054299-0.0012286i,-1.2522e-05-0.00057415i,-0.00049288-0.00027169i,-0.00024335-0.00020804i,0.00060615+0.00041012i,0.00049377-6.8676e-06i,3.2937e-05-0.00065085i,-1.3704e-05-0.00025737i,-4.8048e-05-0.00015584i,0.00020223+2.6563e-05i,0.00017628-0.00022642i,-5.2357e-05-0.00087336i,-3.1792e-05-0.001143i,-2.6389e-05-0.00021309i
0.0014289-0.0010453i,0.0006931-0.0013426i,-0.0010084-0.00088902i,-0.0019816-0.00057928i,-0.0023753-0.0010146i,-0.0024671-0.00086739i,-0.0017483-5.6645e-05i,-0.00076252+0.00071194i,0.00019985+0.00017559i,0.00062739-0.00034215i,0.0008308+8.5467e-05i,0.00020144-4.7441e-05i,-0.0012301-0.00030582i,-0.0011984-0.00075162i,-0.00084277-0.00068048i,-0.00030996+7.7769e-05i,0.00021373+0.00034396i,0.0003614+0.0004328i,0.00042206+0.00050064i,-0.00025351+0.00039023i,0.0001372+7.8398e-05i,0.0012772+0.0001404i,0.00079382+0.000161i
0.00029671-0.0013111i,-0.00020552-0.0010551i,-0.0022269-0.00089168i,-0.0022067-0.0011347i,-0.0020258-0.00061462i,-0.002154-2.304e-05i,-0.0021627+0.00058899i,-0.0016297+0.0008106i,-0.0013162+0.00021012i,-0.00147-7.7764e-05i,-0.0012548+0.00027182i,-0.00041623+0.00021154i,-9.0752e-05-0.00042502i,-0.00021214-0.00055936i,0.00027576-0.00049658i,-0.00025753-0.00029677i,-0.00018643+4.2985e-05i,0.000572+0.00044406i,0.00052916+0.00059242i,0.00056069+0.00071893i,0.00043459+0.0010007i,0.0001537+0.0008797i,-0.0001497-3.859e-05i
0.00060182-0.0015229i,0.0005402-0.0010022i,0.00047489-0.0016695i,9.0086e-05-0.0017321i,-0.0012982-0.00076833i,-0.0021618+0.00018783i,-0.0010987+0.00027589i,-9.8826e-05+8.562e-05i,-0.00011968-0.0004759i,-0.00043479-0.00029098i,-0.00053529+0.00055675i,-0.00058999+5.6143e-07i,-0.00094929-0.00021704i,-0.0013188+0.00079712i,-0.00076552+0.0015719i,-4.2727e-05+0.00097633i,4.7794e-05+0.0001229i,0.00027562+6.8506e-05i,0.00025642+0.00073782i,-0.00075516+0.0015611i,-0.00097782+0.00047667i,-5.718e-05-0.00051269i,0.00043948+4.6272e-05i
0.00011621-0.00095645i,0.00014187-0.00097219i,-0.00011806-0.00040805i,-0.00070203-0.00072496i,-0.0012634-0.00099505i,-0.0020728-0.00054679i,-0.0019758+9.9431e-05i,-0.0011488+0.00030473i,-0.00094419+0.00025001i,-0.00054605-0.00069388i,-0.00028181-0.00063994i,5.7885e-05-0.00022364i,0.00093221-0.00025123i,0.0010914-0.00051416i,0.00043485-0.0011414i,-0.00019199-0.00056081i,2.1742e-05-0.00035941i,0.00082477-0.0005541i,0.00049532-0.00029571i,0.00010713-0.00036754i,0.00011508-0.00043661i,-7.7898e-05-0.00032528i,0.00038483-0.00015007i
0.0021169+0.0022502i,0.002304+0.0013242i,0.002712+0.00036781i,0.0017622-0.00053087i,0.0002659-0.0013657i,-0.0014579-0.00069866i,-0.002656+0.00035865i,-0.0018642+0.00074221i,-0.00019384+0.00032359i,0.00088116-0.00088923i,0.00094745-0.0012618i,0.0007306-0.00069015i,0.00053482-0.00030259i,-0.00035017-0.00075463i,-0.00029121-0.0014456i,0.00035379-0.00043346i,0.00072701+0.00019474i,0.00081707-0.0003811i,0.00039751-0.00013055i,9.8615e-05+0.00043651i,-0.0001271+0.00049624i,0.000138-0.00011081i,0.00056858+7.4447e-05i
-0.0020779+0.00057448i,-0.0012358+0.00095726i,-0.00055304+0.0012554i,-0.00042704+0.00030128i,-0.0009693-0.0015081i,-0.0014904-0.001418i,-0.0016114+0.00065706i,-0.001264+0.00089377i,-0.00067179-0.00059805i,-9.4392e-05-0.00077729i,-0.00013424+0.00057513i,-0.00068281+0.0010486i,-0.00031806+0.00065725i,-0.00012942+0.00029502i,-0.00031158-0.00080929i,0.00034305-0.0016938i,0.00054666-0.00081662i,0.0002276+0.00024126i,0.00020149-5.2883e-05i,0.00062369+0.0001826i,0.00033921+5.2061e-05i,-0.0002382-0.00087687i,-0.00021607-0.00089841i
0.00022377-0.0013221i,3.6945e-05-0.00071922i,0.00026624-0.00014172i,0.00032604+0.0003183i,-0.00039002+0.0011295i,-0.0016659+0.0010061i,-0.0019797+0.0010114i,-0.00082333+0.00093066i,-0.00017852+0.00046105i,3.1796e-05+0.00025321i,-0.0003231+0.00016083i,-0.00052279+0.0003011i,9.8225e-05+0.0007405i,-1.132e-05+0.00097015i,0.00039694+0.00035906i,0.00018544-0.00012007i,4.7976e-05-0.00040881i,0.00011458-0.00044469i,-0.00023067-0.0003427i,-0.00036457-0.00017193i,-0.00049112-0.00036231i,0.00035033+0.0003084i,0.00026858+0.0011488i
-0.00080729+0.0010099i,-0.000803-0.00028293i,-0.00032828-0.0012722i,-0.00031454-0.00074266i,-0.0010019-0.00016096i,-0.0017626+2.4405e-06i,-0.0015301+0.00063039i,-0.0011653+0.00071369i,-0.00036676-0.00029812i,0.00061789-0.00059702i,0.00076285-0.00048569i,0.00092648-0.00046003i,0.00067511-0.00049509i,-0.00030529-1.3294e-05i,-0.00062557-0.00015216i,0.0002247-0.00082068i,0.00057885+0.0002181i,-8.7264e-05+0.00082847i,-0.00046945+0.00029308i,-0.00069453+0.00091098i,-0.00096455+0.001295i,-0.00052395+0.00090727i,-0.00015223+0.0009542i
-0.00066785-0.00011906i,-0.001954-0.00075261i,-0.0025537-0.0011978i,-0.0021418-0.0011154i,-0.0016198-0.00033877i,-0.00078602-7.9237e-05i,-0.00088075+0.00054094i,-0.00076448+0.0014445i,-0.00027103+0.00060601i,-0.00024028-0.00036412i,0.0002993-0.00077079i,0.00070103-0.00063119i,0.0003604-0.0001476i,-0.00030849+4.8164e-05i,-0.00063866+0.00041866i,-0.00065569+0.00096652i,-0.00045264+0.00028919i,0.00035845-0.00015101i,0.00045392+0.0001429i,0.0001817-0.00015872i,5.2572e-05-0.0001311i,-0.00033896+0.00032575i,0.00015524-0.00057219i
-0.00064483-0.00076908i,-0.00055639-0.00099343i,-0.00058647-0.00083081i,-0.00052862-0.00052772i,-0.0013439-0.00089138i,-0.0015282-0.0015422i,-0.0011554-0.00089977i,-0.00053388-0.00019732i,0.00015212+0.00030226i,0.0005654+7.889e-05i,0.00017585-0.00025903i,-0.00018668+0.00018336i,6.2e-05-0.00021734i,0.00052238-0.0011976i,0.0013721-0.00081845i,0.0011978+0.0002547i,9.9363e-05+0.00031631i,-0.00040017-3.3235e-05i,0.00016634-0.0004589i,0.00024906-0.00084025i,4.977e-06-0.00032329i,-0.00037386+0.00048069i,-0.00026624+0.00045031i
0.001729+0.0012453i,0.0029165+0.00021833i,0.0030393-0.00066647i,0.001693-0.0018223i,0.00036232-0.0018182i,-0.0011238-0.00071311i,-0.0015077+0.00011055i,-0.0009724+0.0006418i,-0.00039659+0.00088993i,0.00023105+9.3167e-05i,-0.00022743-0.0003248i,-0.00032408-0.00016111i,-0.00071523-0.00030686i,-0.0011455-0.0010541i,-0.00064879-0.0015701i,0.00076733-0.00076159i,0.0013088+0.00036137i,0.00053701-0.00018636i,0.0002896-0.00042512i,-0.00014647-0.00010201i,-0.00088342-3.7236e-05i,-0.00064226-8.2996e-05i,-0.00041413+0.00019049i
-0.00045668+0.0036825i,-0.000478+0.0028467i,-9.2945e-05+0.0019076i,-2.4149e-05+0.0002454i,-0.0008347-0.00059196i,-0.0017228-0.00096741i,-0.0017923-9.3399e-06i,-0.0010527+0.0017341i,-0.00032464+0.0015732i,-0.00011175+0.0011918i,-0.00040574+0.0004251i,-6.3291e-05-0.00045211i,-0.00045491-0.00059254i,-0.001688-0.0012386i,-0.0018287-0.0019171i,-0.0016597-0.0011828i,-0.00075132-0.00014134i,-0.0005524+0.00042014i,-0.00056742+0.00034299i,-2.5954e-05+0.00064064i,0.00037042+0.00087978i,0.0004734+0.00025535i,-0.00021631+8.3756e-05i
-0.0010463-0.0017102i,-0.0026617-0.0017142i,-0.0034422-0.00061357i,-0.003192-0.00044383i,-0.002293-8.129e-05i,-0.0018016+0.00056272i,-0.0011459+0.0011614i,-0.00032718+0.0012084i,0.0002954-4.733e-05i,0.00090674-0.001279i,0.00055614-0.00091623i,-8.3253e-05-0.00057349i,0.00031148-0.00072409i,-6.6257e-05-0.00042956i,-0.00076549-0.00035585i,-6.4433e-06-0.0004534i,0.00040556-0.00071128i,0.00029133-0.00094274i,-0.00011315-0.00047307i,-0.00074783-9.0582e-06i,-0.00023732-0.00024409i,-4.5859e-05-0.00016027i,-8.0062e-06+1.4471e-05i
0.0011902-0.0012208i,0.0012975-0.0016629i,0.00096412-0.0016429i,-0.00034173-0.0005511i,-0.002077-3.6699e-05i,-0.0016481+0.00019538i,-0.00075325+0.00049673i,-0.00020549+0.00020038i,0.00047123-0.00017841i,0.00045974+4.8864e-05i,0.00056033+0.00032605i,0.00080027-0.00010147i,0.00042219-0.00080133i,-0.00043919-0.00070387i,-0.00098311-0.00045296i,-0.00051503+0.00013537i,-5.5578e-05+0.00037785i,-0.00042695-0.00021903i,-0.0008973+6.7909e-05i,-0.00023347-0.00013023i,0.00029212-0.00025812i,0.00033839-0.00027019i,0.00040513-0.00069679i
0.00012667+0.0011516i,-0.00065184+0.00047251i,-0.00091166-0.00026818i,-0.00052369-0.00023812i,-0.0013079-0.00016304i,-0.0025048-0.00010658i,-0.0024605+0.00025022i,-0.0013556-0.00011406i,0.00029681-0.00074806i,0.0010368-0.00052064i,0.0010435+0.00034322i,0.0011191+0.00035073i,0.00051651-0.00036148i,9.8878e-05-0.00065421i,0.0003473-0.0012021i,0.00059063-0.0013134i,1.0181e-05-0.0007548i,-0.00077213-0.00027285i,-0.0002842-0.00041912i,0.00029223-0.00028736i,-1.9273e-05+0.00010619i,0.00032798+0.00034974i,0.00047072+2.3447e-05i
-0.00060876-0.00097355i,0.00016984-0.0015614i,0.00054503-0.00091469i,-0.0004323-0.0010056i,-0.0020153-0.0018959i,-0.0023569-0.0012132i,-0.0020609-0.00037595i,-0.0014723-0.00029788i,-0.00079933-0.00044278i,-0.00037388-8.5855e-05i,-0.00027966+6.0243e-05i,-0.00046004-0.00010939i,-6.1382e-05-0.0003387i,0.0006191-0.00091642i,0.00055868-0.0013117i,0.00060814-0.0011747i,0.00062647-0.00083227i,0.00053707-0.00062515i,-5.8502e-05+3.7454e-06i,-0.00045592+0.00026822i,-0.00032276-0.0001238i,-0.00013486-0.00030491i,-0.00065253-0.00014639i
-0.00069318+0.0013297i,-0.00015007+0.00086622i,0.0014047+0.00091051i,0.001179+0.0010451i,0.00035439+0.00015229i,-0.00036648-0.0003288i,-0.0015439+0.00021752i,-0.00098406+0.0010765i,0.00047746+0.0011048i,0.00072327+0.00054752i,-0.00042432-0.00010077i,-0.00076811-0.00034661i,-0.00045698-0.00042031i,-0.00049403-0.00045973i,-0.00043757-0.00038681i,-0.00050696-0.00092667i,-0.00070446-0.00063159i,-0.00086066-0.00012449i,-0.00076541-0.00014088i,-0.00075972+8.6599e-05i,-0.00074571-0.00040823i,-0.00049542-0.00066561i,-0.00013771-0.00030773i
-5.3603e-05+0.0003759i,-0.00020322-0.00073917i,-0.00028489-0.0015596i,-0.00046545-0.00092635i,-0.0011415-7.7584e-05i,-0.0011954+0.00026169i,-0.0004956+0.00081016i,-0.00066958+0.00070195i,-0.00028218-0.00039279i,0.00026938-0.00075634i,0.00046968-0.00031226i,0.00080297+6.1749e-05i,-0.00013455-9.2058e-06i,-0.0005101-0.00028489i,0.00061527-0.00098016i,0.00042697-0.0015468i,-0.00061506-0.00081558i,-0.0010681+0.00037164i,-0.00061736+0.00089864i,9.1855e-06+0.00068749i,-0.00012581-4.7641e-05i,-0.00056747-0.00093344i,-0.00046461-0.00049761i
-3.3917e-05+0.0013264i,-0.00017527+0.00189i,0.000132+0.0020197i,-0.00019643+0.00097228i,-0.00020894-0.00071501i,-0.0013544-0.0013348i,-0.0021028-0.00022086i,-0.001019+0.001328i,0.0005597+0.00073602i,0.00025915-0.00058812i,-0.00051341-0.0012161i,-0.0003589-0.00073196i,-0.00018292-0.00013774i,-0.00062532-7.2728e-05i,-0.00046264+0.00016658i,2.0263e-05+5.8407e-06i,0.00083136+0.00011954i,0.00086613+0.000671i,-0.00025647+0.001028i,-0.00055115+0.00074456i,-0.00038331+0.00040536i,-0.00013733-0.00011917i,0.00031478-0.00032276i
0.0013001-0.00079228i,0.0011759-0.0018569i,0.00045337-0.0024467i,-0.00076501-0.0023355i,-0.0018276-0.0017406i,-0.0025768+8.7375e-05i,-0.0022916+0.00086515i,-0.0011733+0.00012996i,-0.00012095-0.00091365i,0.00013535-0.0010908i,0.00013044-0.00030333i,0.00015604+0.00065221i,-0.00025836+0.00091212i,-0.00015568+0.00023422i,-0.00035508-0.00015531i,-0.00033314+8.089e-05i,-0.00047226+0.00065843i,-0.0013725+0.00099205i,-0.00088203+0.00030041i,7.6817e-05-0.00035669i,0.0003108-0.00046386i,0.00043875-4.8543e-07i,0.00018301+0.00072939i
0.00029844+0.0012757i,9.2526e-05+0.0013652i,-0.00025948-0.000346i,-0.00062298-0.0013591i,-0.0011437-0.0011096i,-0.0023966-0.00069196i,-0.0020452+0.00015774i,-0.00026625+0.00035687i,4.0255e-05+1.0221e-05i,-0.00056349+7.1335e-05i,-0.0002761-0.00061642i,9.8467e-05-0.00088546i,0.00017941-0.00074069i,0.00023403-0.00028531i,7.2629e-05+0.00030772i,4.3445e-05+5.4254e-05i,0.0006741-0.00013422i,0.00035952+1.4047e-05i,-0.00041275-0.00045942i,-0.00011663-0.00071307i,0.0004712-0.00047818i,0.00066282-0.00023606i,0.00042835+0.00034838i
0.0013452+0.00081357i,-0.00028544-0.00033656i,-0.0013972-0.0010964i,-0.0017928-0.00097266i,-0.0026402-0.00087315i,-0.0033458-0.00041277i,-0.002433+0.00028634i,-0.00097376+0.00051781i,-0.00034733+0.00011019i,-0.00019762-0.00017295i,-0.00038884-0.00027643i,0.0001873-0.00086853i,0.00013626-0.00056457i,-0.0005393+8.6701e-05i,-0.00020436-0.00038454i,0.00075543-0.00061754i,0.00069252+0.00014504i,-7.6268e-05+0.00037927i,-0.00047202+0.00028197i,-0.00046388+0.00094432i,-0.00018762+0.0011823i,-0.00013423+0.00039168i,6.3606e-06+0.00020259i
