-0.0026666+0.0028471i,-0.0034883+0.0031998i,-0.0024021+0.0031593i,-0.00060072+0.0024083i,-1.8418e-05+0.001576i,-2.7978e-05+0.0010706i,-0.0005217+0.0015176i,-0.000652+0.0012271i,0.000362+0.00028149i,0.0012923-0.00058205i,0.001048-0.0010602i,0.0005803-0.00099134i,0.00045205-0.0010877i,0.00034043-0.0010742i,0.00023596-0.00048643i,0.0003464-0.00033044i,0.00048327-0.00048167i,0.00062321-0.00012156i,0.00049008-0.00026228i,0.00037823+2.2366e-05i,0.00034837+0.00039677i,0.00031914-2.2299e-05i,0.00034762-0.00028063i
0.0004742-0.0014621i,0.00081842-0.00058978i,0.00078933-0.00056516i,0.00070661-0.00026138i,0.00033103+0.00019682i,0.00010581+0.00078047i,-0.00014707+0.0015814i,2.4382e-05+0.00089893i,1.0013e-05+0.00011526i,-6.9239e-05+9.7299e-05i,6.7892e-05+1.7293e-05i,-0.00022406+0.00035208i,-0.0001794+0.00055389i,5.1413e-05+0.00052643i,4.9549e-05+0.00061888i,-0.0002776+0.0010406i,-0.00062366+0.00086101i,-0.00085427-3.8401e-05i,-0.00038432+0.00027852i,-0.00032687+7.7897e-05i,0.00028468-0.00085943i,0.0012274-0.00099269i,0.00095858-0.00065471i
0.00020772-0.00024796i,-0.00013378-0.00057326i,-0.00079649+3.3394e-05i,-0.00090345+8.4593e-05i,-0.00073835-9.2358e-05i,-0.00045527+0.00013671i,-0.00033544+0.00027901i,-0.00029219+0.00020147i,0.00040244+0.00048471i,0.00021115+0.00092959i,-0.00011667+0.00060363i,0.00027041-0.00013916i,0.00063476+0.00019809i,0.00043207-0.00023477i,0.00041652-0.001033i,0.00069564-0.00067546i,0.00052711-0.00010055i,-0.00017986+0.00025484i,-0.00049451+0.00076599i,-0.00047712+0.00024443i,-0.00027961-0.00041436i,-0.00027333-0.00027034i,-0.00026952+0.00018264i
-0.00011312-0.00014593i,0.0006789-0.00098722i,0.00098524-0.00019719i,-5.2064e-05+0.0014509i,-0.00070227+0.0017294i,0.00031974+0.0013037i,0.00073173+0.00099263i,0.00033516+0.00076579i,0.00025869+0.00048212i,-0.00017907+0.00038212i,-0.000327+0.0002893i,-0.00070168-0.00039744i,-0.0011109-0.00046796i,-0.00068674+4.8219e-05i,-0.00079447+0.0003456i,-0.001569+0.00059956i,-0.0009472+0.0004622i,0.00017393+6.4871e-05i,0.00026726-0.0002565i,0.00013311-9.3239e-05i,0.00017556+0.00013543i,-3.8037e-05-0.00027741i,2.4074e-05-0.00018376i
0.00091985+0.00035668i,0.00057078+0.00057815i,-0.00063586+0.0014659i,-0.00059011+0.00054275i,-0.0003477-0.0010633i,-0.00040234-0.0012196i,0.00016991+0.00038632i,0.00088509+0.0010307i,0.00091423-1.2201e-05i,0.00053226-0.00067041i,6.1884e-05-0.00053688i,-0.00046506-0.00013711i,-0.00048983+4.7939e-05i,0.00012504-0.00011881i,0.00066829-7.7978e-07i,0.00069069-0.00042203i,0.00041165-0.0010856i,0.00013318-0.0013299i,0.00011422-0.0011945i,-0.0003005-0.0007601i,-0.0010457-0.00027783i,-0.00048408-0.00024851i,0.00015515+7.5882e-05i
6.7634e-05+0.0014204i,-0.00055785+0.00091203i,-0.00067119-0.00034005i,-0.00056199-7.9297e-05i,-2.1197e-05+0.00031951i,0.00023945+2.7246e-05i,-0.00037771+0.00053269i,-0.00038506+0.00096772i,-0.0003678+0.00074895i,0.00020181+0.00068746i,0.00032973+0.00086585i,-0.00027234+0.00080459i,-0.0001127+0.00048728i,0.00029705+0.00011209i,0.00038381+0.00030958i,-0.0004974+0.00040329i,-0.00050139+0.0005459i,-0.0004854+0.00062262i,-0.00029779+0.00034709i,0.0010539+0.00019404i,0.00063477+0.00067275i,-0.0005383+0.00074953i,-9.6639e-05-0.00024996i
0.0011391+0.0018939i,0.0016236+0.0020241i,0.0027605+0.0012126i,0.0026185+0.00024911i,0.0010379-0.00082541i,-0.00042873-0.00051278i,-0.00082337+0.00045891i,-0.00046229+0.00098753i,6.9391e-05+0.00095326i,0.00020735+0.00056876i,0.00034779+0.00016794i,0.00019257+1.7408e-05i,-0.0002818-0.00026196i,-0.00066988-0.00064484i,-0.0014122-0.00042588i,-0.0015414-0.00031771i,-0.00075506-0.00050449i,-0.00065939+0.00019541i,-0.00055135+0.0011646i,-0.00049602+0.0012924i,-0.00063026+0.00083135i,-0.0004591+0.00027392i,-0.00026075+0.00035703i
-0.00098052-0.00098997i,-0.0018353-0.00048144i,-0.0015166+0.0003303i,-0.00082142+0.001182i,-0.0009246+0.00094759i,-0.00047159+0.00042484i,-0.00043697+0.00051356i,-0.00039286-3.4232e-05i,-0.00094483-0.0003306i,-0.0014583+0.00017944i,-0.00063539+0.00020967i,0.00011463+3.0476e-05i,0.00032486-0.00025118i,0.00039474-0.00074808i,0.00021484-0.00060488i,0.00041722-0.00047811i,0.0003133+0.00029387i,5.0569e-06+0.00091587i,-0.00025139+0.00031451i,-0.00038759-0.00014672i,0.00014739+0.00016772i,0.00019615+0.0004127i,-0.00034136+0.00013732i
0.00064495+0.00027335i,0.0016073+0.001123i,0.0015811+0.0012246i,0.00073632+0.00048047i,0.00051045-0.00029446i,-0.00027378-0.00022196i,-0.00093483-0.00042748i,-0.00034076+0.00016743i,-2.9415e-05+0.0013437i,1.7235e-05+0.0013905i,8.5787e-05+0.00029599i,0.00023665-0.00072682i,0.00041571-0.00034155i,0.0006943-0.00013481i,0.00071388-0.00040167i,0.00011206-6.7679e-05i,-0.00044407+0.00056887i,-0.00015659+9.1458e-05i,0.0001646-0.00030666i,-0.00012275+0.00029723i,-5.4675e-05+0.00079158i,-2.559e-05+0.00052791i,-6.7064e-05+0.00053687i
-0.0012894-0.00012336i,-0.0010899+0.00049255i,-0.00064914+0.0013724i,-0.00074071+0.0015167i,-0.00045957+0.00090749i,-0.00013694+0.0005406i,-0.00019227+0.00019726i,0.00055574-0.00018508i,0.00037826-0.00051475i,0.00012888-0.0007154i,0.00012174-0.00041184i,0.00054241-0.00026305i,0.0012288+0.00022006i,0.0014832+0.00047133i,0.0010812+0.00014334i,0.0005874-0.00027318i,0.00029677-0.00018944i,0.00015821-7.5097e-05i,0.00066168-7.7681e-05i,0.00031914-6.5435e-05i,-0.00054011-4.9362e-05i,-0.00030815-0.00028979i,-0.00065894-0.00010892i
0.00022422+0.00096561i,0.0003003+0.00031219i,0.0010119-0.00048155i,0.0015848-0.001208i,0.001064-0.0011314i,-0.00025404-0.00079546i,-0.00095784-0.00077532i,-0.00076534-0.00034211i,0.00049524+0.00011266i,0.00074933-0.00017201i,6.0095e-05-0.0003316i,-0.0012461-7.9715e-05i,-0.001767+0.00050444i,-0.0012543+0.00046757i,-0.00012858-0.00068215i,0.00039809-0.00095787i,0.00026184-0.00031106i,0.00055262-0.00024691i,0.00070301-0.00025993i,-9.0789e-05+0.00047766i,-0.00073807+0.00087419i,0.00027828+0.00073252i,0.0011082+0.00010298i
0.0011705-0.0003467i,0.0022503-8.2214e-05i,0.0019213-0.00034318i,0.0014979-0.00071591i,0.0011105-0.00024211i,0.00026058+0.00010149i,-2.623e-05+0.00012956i,0.00047509+8.385e-05i,0.00010726-0.00053141i,-0.00049173-0.00077406i,-0.00042444-0.00026076i,-0.00053714+0.00026296i,-0.0010811+0.00015624i,-0.0010137+0.00033709i,-0.00041172+0.00078217i,5.1848e-05+0.00071647i,0.00011925+0.00042989i,-0.00054388+0.00018832i,-0.00032281-0.00092981i,0.00022316-0.00164i,0.00047984-0.00080266i,0.00048743-0.00016381i,0.00021095+0.00011602i
5.4804e-05-0.0014228i,0.00014612-0.00051423i,5.1787e-05+0.00021407i,0.00050324-0.00020405i,0.0010575-0.00030455i,0.00092489+0.00014294i,0.00058026+0.00040512i,-0.000122+9.9e-05i,-0.00020384-0.00071352i,0.00016755-0.00083822i,0.00037421-0.00045708i,0.00041152-0.00029413i,3.8658e-05-0.0004157i,-0.00049973-0.00050596i,-0.00019908-0.00050542i,0.00035222-0.00043539i,0.00019294-0.00019323i,-9.4195e-05-0.00048147i,-0.00012396-0.00094342i,0.00034733-0.00046269i,0.00048285+0.00030669i,-6.5194e-05+3.6635e-05i,-0.00046836-0.00021237i
0.0021264+0.00074165i,0.0034529+0.00079394i,0.003265+0.00074458i,0.0013612+5.8089e-05i,-2.8714e-06-0.00044542i,-0.00047861+0.0004085i,-0.00074798+0.0013919i,-0.00061552+0.001043i,0.00048761-0.00019873i,0.0013204+0.00044096i,0.00088251+0.0012383i,0.00098119+0.00072546i,0.0008216+0.00031456i,-9.2721e-05+1.057e-05i,-0.00051432-0.00021442i,-0.00010965+0.00011983i,-0.00028729+0.00044113i,-0.00026211+0.00053748i,5.7576e-05+0.00038104i,-0.00043333-4.7548e-05i,-0.00066355-0.000367i,3.275e-05-0.00049739i,0.00066633+0.00019022i
0.00035994+0.0011316i,-8.5467e-05+0.0020212i,-0.0001755+0.00099884i,0.00017914-0.00028034i,0.00034567-0.00026757i,0.0001179+3.2197e-05i,-0.00046106+0.00056005i,-0.00069316+0.0006132i,-4.1893e-05+5.1797e-05i,0.00020696-0.0007337i,-4.6312e-06-0.00073333i,0.0004278+0.00026007i,0.0004221+0.00043154i,1.6449e-05-0.000982i,8.4547e-05-0.00081664i,-0.00025221+0.00021745i,-0.00042454+0.00040002i,-0.00035466+0.00067912i,-4.8796e-05+0.00028112i,0.00023566+0.0002449i,-0.00020462+0.0010522i,-0.00030938+0.0011034i,-0.00014676+0.0007381i
-0.00096518+0.0012348i,-0.0015705+0.0012719i,-0.00031864+0.00084987i,0.0012517+0.00032518i,0.0013825-0.0003421i,4.0597e-05-0.00071364i,-0.0014116-0.00027223i,-0.0012847-5.5024e-05i,-0.00040937-0.00054456i,-1.8019e-05-0.00062473i,-0.0002925-0.00057045i,-0.00054977-0.00097603i,-9.9072e-05-0.00031466i,-5.0324e-06-0.00050982i,0.0002954-0.00078157i,0.00070732-0.00063487i,0.00097631-0.00057367i,0.00059051-6.3247e-05i,-0.00026305+0.00047882i,-0.00069215+0.00033015i,-0.00048058+9.1645e-05i,0.00020356+0.00025222i,0.0005518-0.00013963i
0.0016162+0.001146i,0.0015374+0.00076847i,0.00068862+0.00087527i,0.0004247+0.00019387i,0.0005073-0.00086182i,5.4199e-05-0.00073293i,-0.00065194-5.0673e-05i,-0.00037041+0.00050893i,2.093e-05+0.0009279i,0.00018773+0.00074742i,0.00038175+0.00044614i,-0.00011254-0.00043523i,-0.00019687-0.00023162i,0.00036301+0.00041468i,0.00024523-0.00030776i,8.3514e-05-0.00070121i,-0.00021605-1.7972e-05i,-3.4481e-05+0.00024138i,0.00074371-8.0225e-05i,0.00026894-0.00021053i,-0.00056156+0.00051723i,-0.00034114+0.0007666i,-0.00053623-7.6788e-06i
0.0020405+0.00032187i,0.0027971+0.00021892i,0.0039369-0.00031387i,0.0028375-0.00024912i,0.0006878-8.0886e-05i,-0.00020203-0.00026654i,0.00013617+0.00010125i,0.00069421+0.00011536i,0.00030656+7.1305e-05i,-0.00044857+0.00028947i,-0.00037807+0.00067557i,-1.936e-05+0.0007336i,-0.00036395+0.00046375i,-0.00083747-5.5261e-05i,-0.00064295-0.0001496i,-0.00011071-2.5125e-05i,0.00051253+4.9166e-05i,0.00064179+0.00045053i,0.00027913+0.00029282i,0.00037109-0.0001231i,0.00074023+1.1698e-05i,0.00052103+0.00047125i,0.00064155+0.00098474i
-0.0015977+0.00021395i,-0.0013908+0.001171i,-0.00096377+0.0020754i,-0.00017156+0.0013511i,-0.00025956+0.00065034i,-0.000998+0.0011319i,-0.0012414+0.00083437i,-0.00054466+9.2618e-05i,-0.0003135+6.0982e-05i,-0.00069585+0.00037477i,-0.0012443+0.00028505i,-0.00095491-0.00041772i,-0.00032275-0.0011206i,-0.00053204-0.0011094i,-0.0001029-0.00056112i,0.0011013+0.0004145i,0.001571+0.00086448i,0.0006217+0.00094772i,-0.00044511+0.00059809i,-0.00042685-7.2674e-05i,-0.0003255-0.00038902i,-0.00063405+0.00016851i,-0.00071866+0.0001313i
0.0011555+0.0009862i,0.0011277-0.00015046i,0.0011425-0.00082614i,0.00199-0.0008274i,0.0017933-0.00094707i,0.00049582+0.00022594i,0.00039026+0.0020869i,0.00069498+0.0016769i,0.00017564+0.00079854i,-0.00013192+0.0001408i,5.7382e-05-0.00023356i,1.6749e-05-0.00015378i,-0.00022753-0.00012614i,-2.4053e-07+0.00023039i,-7.836e-05+0.00014933i,-0.00029266-0.00015648i,-4.7594e-05-7.2501e-05i,-0.00025809+0.00039255i,1.1423e-05+0.00055282i,0.00064469+0.00025087i,0.00064067+0.0001985i,0.00019898+5.0365e-05i,0.00045483+1.882e-05i
-0.0010421+0.00067213i,-0.00044561-0.00037317i,-0.00077845-0.00036681i,-0.00018549-0.00052938i,0.0012687-0.0012893i,0.0011392-0.00094611i,4.0909e-05+5.9549e-05i,-0.00068092+0.00063172i,-0.00015299+0.00070803i,0.00054843+0.00067115i,0.00084104+0.0004113i,0.00052338+0.00021431i,-0.00018795-0.00016072i,-0.00023359-0.0009522i,3.0405e-05-0.001047i,0.00027603-0.00053386i,-0.00022982+0.00026611i,-0.00057742-3.6524e-05i,-0.00059159-0.00085416i,4.4785e-06-0.00047691i,0.00044277+0.00063233i,-0.00021851+0.00063155i,3.6531e-05-0.000161i
0.00032919+0.0020771i,0.0007671+0.0015957i,0.0012337+0.0018584i,0.0013004+0.0011426i,0.0011865+0.00010888i,3.6276e-05-6.552e-05i,-0.0010725-1.1586e-05i,-0.00044332-0.00016506i,0.00024295+3.5956e-05i,0.00024852+0.00040811i,-0.00015066+0.00027486i,-0.00019966-0.00020457i,-0.00031515-0.00040805i,-0.00053064-0.00064815i,-0.00015594-0.00082383i,-0.00017095-0.00066812i,-0.00040772-0.00021936i,-0.0005681+0.00037325i,-0.00018886-0.00029535i,0.00088267-0.0007853i,0.00076318+0.00018463i,-8.5203e-05+0.001i,-0.00012241+0.00029665i
0.00080834-0.00046803i,0.00084091-0.00088039i,-0.00027521-0.0004709i,-0.00093978+0.00034514i,-0.0008743+0.00032503i,-0.00052238+0.00016084i,-0.00042403+0.00019533i,0.00011619+0.00034775i,0.00073377-0.00020912i,0.00053285-0.00067909i,0.00020288-0.00059302i,0.00047129-0.00091891i,0.0012368-0.001436i,0.0011647-0.0012624i,0.00023723-0.0011062i,0.00023335-0.00051305i,8.9389e-05+0.00054403i,-0.00050717+0.00087959i,-0.00055501+0.00050917i,0.00010818+0.00017348i,0.00034307-0.00020034i,2.1857e-05+0.0001906i,0.0001202+0.0002425i
0.0011709+0.00096473i,0.00030987+0.00071525i,0.00056663+0.0004502i,0.00063577-0.00012919i,0.00018202-0.0010097i,-0.00062348-0.001277i,-0.00011007-6.0206e-05i,0.00081817+0.00042758i,0.00061959-0.00071278i,0.0001443-0.00066181i,0.00024055+0.0001926i,0.00024877-0.00041808i,-0.00041873-0.00059743i,-0.00053986-0.00040384i,-7.8315e-05-0.00069939i,-0.00038224-0.00043665i,-0.00062171-0.00011279i,-0.00082411-0.00036508i,-0.00020183+5.5257e-05i,0.00063694+0.00091573i,0.00056115+0.00084768i,0.00057387+0.00046846i,0.0008768-0.00040001i
-0.00034552+0.00041774i,-0.0006685+0.00057348i,-0.0010928+0.00070289i,-0.0003844+0.00089491i,-3.5332e-05-3.1551e-06i,-5.1429e-05-0.0011514i,-0.00011411-0.0008142i,-0.00061786-0.00036367i,-0.00051678-3.0116e-05i,-0.00048314+0.00047638i,-0.00047111+0.00033547i,-0.00013223+0.00014672i,0.0001723+0.00029164i,-0.00033088-4.8669e-05i,-0.00039636-0.00057262i,-8.0276e-05-1.9213e-05i,-1.7955e-05+0.00050259i,-0.0004201+0.00045431i,-0.00085278-1.9258e-05i,-0.00059798-0.00027377i,-0.00019692+5.7379e-05i,-0.00019401+0.00029894i,0.00074889+0.00034576i
0.0036704+0.00051108i,0.0052818+0.00034413i,0.0054531-0.00096749i,0.0028915-0.001997i,0.00073069-0.0011606i,-1.86e-05+0.00084887i,-0.00041813+0.0015651i,-0.00023951+0.00072521i,0.00031708-0.00032997i,0.00047838-0.0008924i,0.00041348-0.00023841i,-0.00021785+0.00045739i,-0.0011641-0.00013603i,-0.00068185-0.0006192i,0.00022754-0.00071434i,-0.00022219-0.00072523i,-3.0582e-06-0.0006958i,0.00076443-0.00051891i,0.00030023+0.00019011i,0.00026321+0.00098475i,0.00083419+0.00069855i,0.0011316+5.5349e-05i,0.00085253+3.6676e-05i
-0.001086+0.00082296i,-0.001513+0.002062i,-0.00081822+0.0016208i,0.00019233+0.0010548i,0.00083394+0.00020173i,5.3508e-05-0.0012703i,-0.00029519-0.0013417i,0.00070265-1.0493e-05i,0.00025044+0.00080918i,0.00011189+0.0007808i,-7.76e-05+0.00061289i,-0.00092648+0.00044403i,-0.00038908+0.00038347i,0.0004738-2.908e-05i,0.0010179-0.00010846i,0.00089415-2.7711e-05i,2.6456e-05-0.00019728i,0.0001314+9.5168e-06i,0.0004985+0.00042425i,-2.1204e-05+0.00033698i,2.7049e-05-9.4827e-05i,0.00077106+6.3211e-05i,0.00059884+0.00025478i
-0.00064148-0.00065623i,-0.0010173-0.00076813i,-0.0011855-0.00033135i,-0.0011905+0.00091261i,-0.0016443+0.00094027i,-0.0012522+0.00058958i,-0.00084547+0.00092018i,-0.00073578+0.00076277i,-0.00030684+0.00083735i,-0.00031943+0.00090472i,-0.00056171+0.00015903i,-0.00089652-0.00025467i,-0.00071961+0.00017604i,-0.00046362+0.00079081i,-2.2749e-05+0.00035783i,0.00037748-4.9255e-05i,4.9249e-05+6.5305e-06i,-6.2696e-05-0.00015637i,0.00083554+0.00056693i,0.00059211+0.00086083i,-0.00060789+0.00059242i,-0.00063035+0.00028078i,-0.00040122+0.00010017i
-0.001113-0.00056377i,-0.00071131-0.00018067i,-0.00047848+0.0008683i,0.00060248+0.0014034i,0.00086078+0.0014785i,0.00026369+0.00059754i,0.00022111-0.00057636i,0.00043745-0.00028874i,-0.00020068+0.00052363i,-0.00032197+0.0007776i,0.00060747+0.00054834i,0.00038197+0.0005365i,2.1164e-05+4.3123e-05i,0.0010061+0.00054472i,0.00088764+0.0014528i,0.00019868+0.00039766i,0.00045521-0.00030108i,-3.8437e-05-0.00029477i,-0.00088023-0.00016668i,-0.0003462-4.5849e-05i,0.00046938-0.00019067i,0.00043745-9.9104e-05i,-0.0003654+0.00012488i
-0.00032553+0.0010909i,0.00010753+0.00098932i,0.00024153+9.0258e-05i,9.349e-05-0.00089116i,-0.00049804-0.00068134i,-0.00051214+0.00050494i,-0.00059907+0.0012912i,-0.00033238+0.00059863i,0.00026535-0.0010768i,-1.0424e-05-0.00068706i,-0.00073751+0.00032117i,-0.0012427+0.00029898i,-0.0013576-0.00040143i,-0.00075078-0.00033935i,-0.00021516+0.00070009i,-0.00026874+0.0012024i,4.7967e-05+0.0015027i,6.8234e-05+0.00091709i,-0.00010185-0.0005443i,0.00010713-0.001059i,-0.0004022-0.00045335i,-0.00080915+0.00016488i,-0.00055099+0.00045537i
4.1855e-06+0.0013867i,0.0023647+0.0022601i,0.0021347+0.0020559i,0.00090341+0.0012905i,0.0013841+0.00031357i,0.001817-0.00043879i,0.00076226-0.00040982i,0.00036658-0.00077786i,0.00029319-0.00058683i,0.00010097+0.00032845i,0.00016692+0.00068404i,0.00017585-4.1689e-05i,-0.0001346-0.00014622i,-0.00069441+0.00033088i,-0.00035697+0.00047232i,-6.8086e-05-1.1945e-05i,-0.00058251-0.00019129i,-8.3478e-05+0.00039478i,0.00028262+0.00082071i,-0.00026907+0.00033134i,-0.00043562+2.7309e-05i,-6.293e-05+5.3111e-05i,-3.1467e-05+0.00051429i
-0.00045789-0.0015941i,0.00045595-0.00085751i,0.00074228-0.00061325i,0.00027852-7.6605e-05i,-0.00029783+0.00066611i,0.00037347+0.00068496i,0.0010174+0.00093325i,0.0014524+0.00099979i,0.0011985+0.00016328i,0.00057113-0.0010461i,0.00088595-0.0013762i,0.00037769-0.00031633i,-9.254e-05+0.00082398i,1.1814e-06+0.00046112i,0.00066809-0.00034042i,0.0009228-0.00012561i,7.8378e-05+0.00056318i,0.00025889+0.00051634i,0.00042243-5.4313e-05i,-4.1319e-05-0.00077526i,-0.00022809-0.00044682i,-0.00011727+0.00072309i,-0.00033358+0.0010883i
