0.00025246-0.0011029i,-0.00035545-0.00088991i,-0.00099451-0.00066345i,3.3476e-05-0.00067168i,0.00027152-0.00089233i,-0.00071712+0.00018852i,-0.00090337+0.0016656i,0.00028474+0.0022213i,0.0018305+0.0022716i,0.0018622+0.0011471i,0.0010667-0.00029447i,2.7207e-05-0.00048343i,-0.00020402-0.00028929i,0.00020659-0.00037285i,0.00018864+7.9917e-05i,0.00046308+0.0002347i,0.00014902-9.1766e-05i,-6.5742e-05-8.5463e-05i,0.00035478+2.1103e-05i,0.00099333+0.00013738i,0.00056768-2.0345e-06i,0.0003481-0.00046073i,6.4892e-06-0.00068562i
0.0028778+0.0012332i,0.0024423+0.0020463i,0.0020994+0.0014782i,0.0007292+0.00041486i,-0.00052192+8.6865e-05i,-0.0010149-0.00035131i,-0.00083776-0.00064604i,9.0242e-05-0.00015711i,0.00097039+0.00042389i,0.0012608+0.00058666i,0.00091128-0.00035331i,0.00024944-0.00051891i,-0.00017873-0.00032257i,-0.00057769-0.0002827i,-0.00031583-0.00015029i,0.00064814-0.00041755i,0.00088166-0.00042718i,0.00031822-0.00020278i,-0.00063764-0.00047767i,-0.00040181-0.0007278i,-0.00040475-0.00064496i,-0.00092316-0.0006708i,-0.00057997-0.00037841i
0.000225-0.0032319i,0.00045476-0.0024643i,0.00071986-0.0015199i,0.00021636-0.00031809i,-0.00050787+0.0011605i,-0.0013232+0.0013375i,-0.00085741+0.00040341i,0.00025722-6.7385e-05i,0.0003+0.00011064i,-9.2867e-05-0.0002134i,0.00016435-5.4273e-05i,-0.00017642+0.00076973i,-7.6092e-05+0.0010469i,0.00028555+0.00073442i,-9.0826e-05+0.00011977i,-0.0005282-0.00015893i,-3.4584e-05-0.00049861i,0.00071965-0.00093484i,0.00072778-0.00032378i,-4.6855e-05+9.5248e-05i,-0.00068391+0.00039257i,-0.00043822+0.0010478i,7.4351e-05+0.00042206i
-0.00088077-0.00070523i,0.00010112-0.0012448i,0.00048309-0.00068631i,0.0011397-0.00032213i,0.0020147-0.00023792i,0.00094753+0.000388i,-0.00054993+0.00059072i,-0.00077866+0.00084576i,0.00059819+0.00078271i,0.0014564+0.00036514i,0.00084054+0.00034748i,0.00013002+0.00013984i,-8.8873e-05+3.916e-05i,-1.3836e-05-0.00051293i,4.9652e-05-0.0012509i,-1.5158e-05-0.0010976i,0.00019159-0.0010626i,0.00042742-0.00063226i,1.6103e-05-0.00033165i,-0.00047195-0.00070334i,-0.00054753-0.00091397i,-0.00010789-0.00093238i,-0.00051681-0.00063927i
-0.002497+0.00069094i,-0.0033091+0.001668i,-0.0014341+0.0017157i,0.00064795+0.00099993i,0.0012056+0.0009293i,0.00085243+0.0019892i,0.00020377+0.0020502i,-0.00039559+0.0012601i,-0.00042774-0.00019849i,-2.9822e-05-0.0012335i,0.00027496-0.00037856i,0.00029108+0.00046227i,0.00010572+0.00011264i,0.00028614-0.00058717i,0.00029333-0.00043744i,0.00028943-0.00020503i,-0.00012271+0.0002521i,-0.0004823+0.00052722i,0.00063106+2.9666e-05i,0.0010455+0.00015729i,0.00052022+0.0008039i,0.00032182+0.00094486i,-0.00033222+0.00029876i
0.00064056+0.0012836i,-7.5603e-05+0.001054i,0.0010923+0.00061043i,0.001945-0.00059239i,0.0020904-0.0014403i,0.00089325-0.0010867i,-0.00097395+0.00034251i,-0.00091077+0.0013598i,0.00016149-2.75e-05i,9.7395e-05-0.0011786i,-0.00057803-0.00082136i,-0.0013011-0.00019475i,-0.0014797+0.00067812i,-0.0012236+0.0010015i,-0.00050854+9.7953e-05i,-0.00025469-0.00030708i,-0.00059333-5.6029e-06i,-0.00044508-0.000232i,-0.00012225-0.00040951i,0.00037211-0.00037777i,0.00055476-0.00019199i,0.00026391-4.5813e-05i,-0.00035646+0.00024486i
0.00090971-0.00016652i,0.0012073-0.00026344i,0.00070533-1.4554e-05i,0.0011929+0.00084907i,0.0012607+0.00090972i,0.00029221-9.2163e-05i,0.0001679+9.6997e-05i,0.00068226+0.0011251i,0.0009587+0.0012107i,0.00025107+0.00040901i,-0.00039775-0.0005072i,-0.00039442-0.00091857i,-0.00096853+4.6841e-06i,-0.00080683+0.00087325i,0.00064476-0.00016631i,0.001262-0.00085541i,0.00081159-0.00034931i,0.00097804-0.00018439i,0.00070072+0.00020397i,-3.416e-05+0.00071364i,0.00030246+0.00081577i,0.00023222+0.00029115i,0.00054125-0.00021974i
0.0001815+0.0016346i,5.9704e-05+0.00010969i,0.00048516-0.00013244i,0.0011226+0.0003616i,0.0009156-0.00023892i,-8.956e-05-0.0015215i,-0.00056924-0.0011878i,-0.00055177+0.00022011i,-0.00063717+0.00047279i,-5.7537e-05+0.00028734i,0.00038424+0.00051023i,8.6155e-05-3.237e-06i,-0.00022567-0.00055084i,-0.00027405-0.00053486i,-0.00023576-0.00032776i,-0.00039001-9.9718e-05i,-0.00057375+7.5014e-05i,-0.00055829-0.00057668i,-0.00089473-0.00067792i,-0.0012709-0.00051i,-0.00077006-0.00051011i,-0.00038688-0.00062223i,-0.00021777-0.00071115i
-0.0026837+7.7029e-07i,-0.0019355+0.0001449i,-0.00046129+0.001795i,0.0019497+0.0014571i,0.0026599+0.0008198i,0.0017304+0.000813i,0.00055582+1.6148e-05i,0.00028129-0.00038666i,0.00053652+3.4252e-05i,0.00087227+0.00055577i,0.00079004+0.00059668i,0.00037863+0.00030065i,0.00021963+0.00010288i,-7.3348e-05+0.00012784i,0.00016047+0.00059717i,-0.00031548+0.001083i,-0.00045175+0.0010685i,0.00035472+0.00050026i,0.00054875+0.00062208i,-0.0001105+0.00028195i,-0.00079102-0.00068785i,-0.00060624-0.001014i,-0.00047159-0.00082383i
-0.00033271+0.00050731i,-8.2628e-05-0.00017489i,0.0012181-5.2844e-05i,0.0018167-0.00012526i,0.001405+0.00025225i,0.00065685+0.00070577i,-0.00032385+0.00040989i,0.00017325+0.00043591i,0.00033432+0.00035654i,0.00026433+0.00014712i,-5.439e-05+0.00019467i,-0.00050623+0.00030293i,-0.00030873+2.3486e-06i,0.00037879-0.00050768i,0.00014232-0.0004287i,-0.00057105-1.5432e-06i,-0.00062339-0.00028413i,-0.00026829-0.00031953i,-0.00046231+0.00031067i,-0.00078539+0.00021276i,-0.00039422+2.7992e-05i,0.00021019+3.5689e-05i,-7.4294e-05-0.00017858i
0.0012548-0.00036196i,0.00049352-3.9699e-05i,0.00087768-0.0011946i,0.00086824-0.0015423i,0.00028806-0.00033668i,-0.00066829+0.00038577i,-0.0011464+0.00080737i,-0.00057653+0.0011123i,1.467e-05+0.00076399i,-9.2153e-06-0.00013638i,-0.00040516-0.0003311i,-0.0008647-0.00084521i,-0.00036498-0.00090232i,-0.00018252+0.00012882i,-0.00021779+0.000417i,-0.00029303+0.00015261i,5.2171e-05-0.00031764i,0.00048709-0.00067774i,0.00024908-0.00052547i,-0.00026845-0.00049014i,-0.00078921+0.00048636i,-0.0010825+0.00095679i,-0.00058552+0.00016786i
0.0029517-0.00087529i,0.0019277-0.00081614i,0.00029509-0.0014553i,-0.00022858-0.0011508i,0.00072857+0.00026027i,0.0012302+0.00091029i,0.00034158+0.00085237i,0.00047662+0.00046088i,0.0011013-0.00033805i,0.0011175-0.00079414i,0.00059-5.0622e-05i,-0.00040269+0.00063982i,-0.00044025+0.00033137i,-0.00014173+0.00058931i,-0.00043383+6.645e-05i,-0.00049363-0.0011678i,-0.00047138-0.00048113i,-0.00030882+0.00036038i,-1.0432e-05+0.00012181i,-4.4871e-05+7.3126e-05i,-0.00055399-3.4532e-05i,-0.00043321-0.00016819i,-0.00039228+7.6187e-05i
0.00057006-0.00061022i,0.00038778-0.0011901i,0.00018921-0.00090211i,0.00074624-0.00067475i,0.001308-0.00086517i,0.00022171-0.00077556i,-0.00036497+0.00064352i,-0.0004915+0.0012904i,-0.00072654+0.0002666i,-0.00075156-0.00087054i,-0.00098282-0.0010691i,-0.00092478-0.00083789i,4.063e-05-0.0006595i,0.00060165-0.00066375i,0.00066402-0.00061742i,0.00014397-0.00035768i,-0.0011221-0.00034011i,-0.00072766+1.3386e-05i,9.5149e-05+0.0007182i,0.00038547+0.00036581i,5.2075e-06-0.00016935i,-0.00068628+8.4555e-05i,-0.00068111+0.0005218i
0.0012301+0.00087808i,0.00069599+5.0356e-05i,0.0020862-0.0006248i,0.0033334-0.0019033i,0.0020062-0.0029329i,0.00019302-0.0020109i,-0.00017361+3.555e-05i,0.00023924+0.00094814i,0.0012405+0.00091651i,0.0011131+0.00023314i,-0.00032928-0.00067343i,-0.0010897-0.00094605i,-0.00065551-0.00048284i,-0.00040234-0.00029636i,-0.00050541-0.00070127i,7.4329e-06-0.00061528i,-7.0763e-05+0.00021867i,-0.00055072+0.00060225i,-0.00024592-0.00011853i,0.00012017-0.00069563i,0.0002544-0.00068242i,0.00031473-0.00026987i,-6.5286e-06-0.00013416i
0.0019594+0.001906i,0.0018747+0.0020382i,0.00096555+0.0018631i,0.0012-0.00023417i,0.0011159-0.0019388i,0.0006298-0.0020078i,0.00052673-0.00049431i,0.00069655+0.00024109i,5.0541e-05+7.3607e-05i,-0.00089834-0.00022457i,-0.0013099-0.00032855i,-0.0011192-0.0011546i,-0.0010379-0.00098976i,-0.00067019-0.00024637i,-0.00012451-0.00065045i,0.00018033-0.0011853i,2.5601e-05-0.00089335i,-0.0006818-0.00029593i,-0.0009511-0.00044124i,-0.00051156-0.0003769i,0.00027736+0.00046405i,0.00015145+0.00066988i,-0.00031491+0.00019152i
0.00089244-0.0011636i,0.00026244-0.00094662i,0.0011532-0.001685i,0.001552-0.00095194i,0.00013242-0.00035339i,-0.0016008-0.00070909i,-0.0011493-0.00097456i,-1.056e-05-0.00093551i,8.7074e-05-6.4739e-05i,-0.0003421+0.00034553i,-0.0011296-0.00024941i,-0.0014959-0.00027158i,-0.0011833-1.6978e-05i,-0.00091039-0.00039614i,-0.0010318-0.00035852i,-0.00083381-0.00035401i,-0.00049649-0.00017045i,-0.00080783+0.00028038i,-0.00096873+0.00013788i,-0.00033839-5.106e-05i,-5.0673e-05+0.00089616i,-0.00020446+0.0013995i,-0.00042123+0.00063721i
-0.00017096+0.00017345i,-0.00044281+0.00044124i,-0.00045478+0.00016056i,8.5484e-05+0.00021756i,0.0007285+7.7496e-05i,0.00035482-0.00099738i,-0.0004119-0.0011415i,0.00017759+6.2211e-05i,0.00029839+0.00062005i,0.00082743+0.00025567i,0.001288+0.00030963i,0.0010416+0.00064604i,0.0013791+0.00088121i,0.0009039+0.0012428i,0.00015263+0.0012506i,-0.00044713+0.00055337i,-0.00086774+2.8431e-05i,-0.00094736-9.082e-05i,-0.0011143-8.2123e-05i,-0.00079714-0.00030594i,0.00010924-0.00050678i,0.00020118-0.00012891i,-1.9467e-05+0.00033966i
0.00054135-0.0021i,0.00041993-0.0012831i,0.0010211+0.00038988i,0.0013992+0.00078569i,0.00077019+0.0009048i,2.6847e-05+0.0012504i,-0.00038738+0.00048776i,-0.00061667-0.00019783i,-0.00022138+0.00048799i,0.0006056+0.00064452i,0.00053102+2.5866e-05i,0.00020583+0.00016114i,-1.4462e-05+0.00045127i,0.0001095-0.00031419i,6.21e-05-0.00032674i,-0.00045082+0.00034523i,-0.00067905-0.00053693i,-0.00051325-0.0011074i,-7.8108e-05-0.0010509i,0.00036006-0.0010596i,0.00074841+4.856e-05i,0.0010618+0.0010015i,0.00071317+0.0007039i
-0.0018326-0.00070811i,-0.0012861+0.00010678i,-0.0014031+0.00096622i,-0.00027602+0.0012245i,0.00075667+0.0010919i,0.00068847+0.0013531i,-0.00036013+0.0011169i,-0.00041991+0.00062828i,5.5561e-05-0.00012676i,-6.8873e-05-0.00035536i,-4.3175e-05+0.00016918i,-0.00013824+0.00046216i,0.00013805+0.00081339i,0.0010066+0.0008023i,0.00054879+0.00021382i,-0.00058048-8.6014e-05i,-0.00011291+0.00016165i,0.00060519+0.00040448i,0.000192+0.00061579i,0.00023528+0.00091491i,0.00026264+0.0010556i,-7.2352e-06+0.0014212i,-2.8066e-05+0.0010812i
-0.00046973+0.00034998i,3.5362e-05-0.00044542i,0.00085488-0.00017423i,0.0020621+0.00093131i,0.0027464+0.0013997i,0.0019208+0.00067638i,0.00048036+0.00053416i,-0.001161+0.00044568i,-0.0015545-0.00039157i,-0.00048856-0.00086981i,-0.00050462-0.001172i,-0.00024195-0.00091346i,0.0010775-0.000545i,0.00079626-0.00065266i,-0.00040876-0.00056501i,-0.00070865-0.00019674i,-4.1493e-05+0.00017504i,0.00037711+0.00043197i,-2.2423e-05+0.00019378i,0.00017077+3.7919e-05i,0.00064413+0.00059841i,0.00067054+0.00043973i,0.00058945-0.000203i
0.00015372+0.001804i,0.00067049+0.0022775i,0.0011966+0.0015034i,0.0010923+0.00050438i,0.00093443-0.00060938i,0.00066379-0.00061026i,9.2647e-05+0.00039384i,2.7906e-05+0.00092424i,7.3443e-05+0.00026757i,-0.000669-0.00020311i,-0.00043405+9.2437e-05i,0.00023338+0.00019532i,0.00065122-0.00042148i,0.00090213-0.00094543i,0.0004329-0.00083176i,-0.00064863-0.00089444i,-0.00057894-0.00056036i,-0.00012557-0.00050191i,0.00019654-0.00039865i,-6.5431e-05+0.0005805i,-8.1276e-05+0.00058746i,0.00053484+0.00021404i,0.0010875-3.5043e-05i
0.0013553-5.7784e-05i,0.0014818-0.0015333i,0.0010493-0.0021712i,0.0012801-0.0022406i,0.0018408-0.0024523i,0.0012905-0.0020059i,0.00028167-0.00081736i,-0.00032-0.00023128i,-0.00054151+0.00027723i,-0.00043843+0.00057138i,-0.00020036+0.00082228i,0.00025669+0.00081918i,-0.00024596+0.00024894i,-0.00089986-0.00057582i,-0.0010501-0.00071912i,-0.001208-0.00073909i,-0.00060841-0.00095694i,0.0004954-0.00093588i,0.0009544+0.00018682i,0.00057988+0.00029817i,0.00046483-0.00012803i,-9.7233e-05+0.00019222i,-0.00071823+0.00017605i
0.0017914-0.0024446i,0.0013949-0.0026357i,0.00068525-0.0018413i,-0.00048433-0.0016695i,-0.0013909-0.0025762i,-0.0013041-0.0029431i,-0.00011925-0.0017592i,0.00034707-0.00093985i,0.00014221-0.0011521i,0.00019104-0.0010192i,1.9865e-05-0.00034481i,-0.00028645-0.00059413i,-0.00053888-0.00029629i,-0.0009576+0.00014887i,-0.00033608-0.00017596i,0.00057797+0.0002195i,0.00015148+0.00045625i,-9.6178e-05+6.4379e-05i,0.00041694+0.00036248i,0.00023586+0.00041865i,-0.00035247+0.00022128i,1.228e-05+0.00027124i,0.00074762+0.00037132i
-0.0023994+0.002091i,-0.0019079+0.001528i,0.0008223+0.0025147i,0.0017432+0.0026851i,0.0010085+0.0012366i,0.00051363+0.00043083i,-0.00069045+0.00017245i,-0.00073336-0.00031817i,1.0989e-05+0.00017203i,0.00078013+0.00073149i,0.0012901+0.0007709i,0.00078705+0.00066106i,0.00034545-0.00029852i,0.00052396-0.00041544i,0.00064503-0.00015979i,-0.00018048-0.00031442i,-0.0010904-0.00014072i,-0.00039192+0.00035413i,-7.8888e-05+0.00070916i,-0.00028126+6.4115e-05i,-4.8897e-05-0.00066352i,-0.00016807-0.00044878i,9.7906e-05-0.00014381i
-0.0022468-0.00051925i,-0.0024973+0.0007979i,-0.0020094+0.0023734i,-0.0013227+0.0025337i,-0.00054695+0.0021603i,-0.00050518+0.001049i,-0.00098632+0.00032013i,-0.0015342-0.00013626i,-0.0016232-0.0012198i,-0.00077804-0.00053873i,0.00014723+0.00094834i,0.00035062+0.00076826i,-0.0003554+0.00061446i,-0.00010601+0.00028841i,0.0007636+0.00027049i,0.00081929+0.00058731i,0.00061615+0.00017295i,0.00043074-0.00021415i,-0.00010917+0.00024357i,-0.00071225+0.00028269i,-0.00014767+0.00015562i,6.0669e-06+0.00028764i,-0.00049618+0.00037034i
-0.00088176-0.002555i,0.00077039-0.0014116i,0.00014008+2.3462e-06i,-0.0020418+0.0019588i,-0.0011052+0.0035289i,0.00016557+0.002727i,6.2847e-05+0.0011447i,3.0887e-05+0.00099812i,-9.7303e-05+0.00057533i,0.0002848-0.00043963i,0.00061709-0.00047887i,0.00059151-9.1225e-05i,0.00056269+0.00061328i,0.00043444+0.00084809i,-0.00081136+0.00033222i,-0.0011403-0.00038169i,-0.00051397-0.00047821i,-0.00037239+0.00035581i,-0.00041086+0.00080129i,9.4738e-05+0.00062927i,0.0006231+0.00064499i,0.00065731+0.00019318i,0.00053686-0.00056526i
-3.1215e-05+0.00078575i,-0.00050204-8.5981e-05i,-0.00027255+3.3119e-05i,0.0018511+0.0012181i,0.0028264+0.00068655i,0.0014011+0.00033694i,0.00014587+0.00081082i,-0.00013132+0.0010178i,0.00016395+0.00094573i,0.00059453+0.00029885i,0.00049152-0.00012485i,1.5121e-05+0.00024567i,-1.3277e-05+0.00031323i,-0.00024259+0.00054546i,-0.00023875+0.00061288i,0.00013198+0.00069302i,-3.4189e-05+0.00020915i,0.00035288-0.0010701i,0.00036861-0.00094106i,-0.00054647-0.00015328i,-0.00097743-1.6102e-05i,-0.00054821-0.00017534i,-0.00028222-0.00012443i
-0.00037655+0.0018526i,0.00058286+0.001212i,0.0019132+0.0011086i,0.0035025+0.001123i,0.0044547+0.00033785i,0.0035873-0.00062885i,0.0015394-0.00034052i,0.00059457+0.00031445i,0.00035874+5.4803e-05i,0.00012946+3.9721e-05i,-0.00018038-4.0709e-07i,-0.00013931+3.7833e-05i,7.9347e-05+3.4732e-05i,0.00011998-0.00014049i,-2.7892e-05-0.00064358i,4.2458e-05-0.00073023i,-7.0592e-05-0.00011388i,-2.1469e-05+0.00025149i,-6.9075e-05-6.1925e-05i,-0.00063494-0.00032515i,-0.00021612+4.427e-05i,0.00053181+0.0002278i,0.00052783-7.0358e-05i
-0.00085194+0.00048877i,-0.00089742-0.0010777i,-0.00050281-0.0011685i,0.00083053-0.00094796i,0.0014215-0.00034193i,0.00084368+0.00048114i,-7.8491e-05+0.0006869i,-0.00068434+0.0003872i,-0.00077807+6.3143e-05i,-0.00089574-0.00054336i,-0.00058172-0.00043024i,-0.00028204+0.00043296i,0.00026254-0.00025671i,0.00011691-0.0012679i,-0.0002005-0.0009223i,0.00034144+5.8309e-05i,0.00032383-6.8347e-05i,0.00057788+2.296e-05i,0.00038663+0.00027833i,-0.00028716+0.00031557i,-0.00019067-8.6131e-05i,-0.00044592-0.00055825i,-0.0005128-0.00052361i
0.00096788-0.0011456i,0.0011662-0.001009i,0.00068819-0.0011355i,0.0001175-0.0015837i,0.00026653-0.0015403i,-7.5331e-05-0.0011439i,-0.00056994-0.00054729i,-0.00011788+0.00025935i,0.00057282+0.0011123i,-8.2877e-05+0.0013297i,-0.00050387+0.0012936i,0.00014629+0.0014333i,0.00068914+0.00051806i,0.00060906-0.00067612i,0.00033146-0.00066729i,-4.7818e-05-0.00032146i,-0.00036595-0.00062445i,-0.0003233+0.00012885i,-0.00017642+0.00098893i,0.00019152+0.00051737i,0.00026209+0.0004526i,-0.00018497+0.00030869i,-0.00057882+0.00071694i
-0.0016471-0.004039i,-0.0018148-0.0038861i,-0.0027755-0.0026663i,-0.0027261-0.00069934i,-0.0022052+0.00021767i,-0.0017408+0.00042923i,-0.00069874-0.00017588i,0.00016356-0.0007611i,0.00015578-7.672e-05i,0.00018329+0.00073686i,0.00063794+0.0017211i,0.00077171+0.0014067i,-7.7195e-05+0.00042641i,-0.00096874+0.00012814i,-0.0011174-0.00029277i,-0.0012357-0.00045448i,-0.0011459-0.0010562i,-0.00059884-0.001644i,-0.00025711-0.0011651i,1.9946e-05-0.00032286i,-0.00035084-8.4305e-05i,-0.00068269-0.0002845i,-0.00035745+0.00012699i
0.00041345+0.0017614i,0.00036586+0.00085698i,-0.00032109-0.00014196i,-0.0012344-0.0001956i,-0.0014881+3.5316e-05i,-0.0021217+0.00018509i,-0.0017322+0.0002945i,-0.00037334+0.0001967i,0.00039197-0.00010484i,0.00023083-7.643e-05i,0.00065269-0.00038594i,0.00080944-0.00064187i,-3.4464e-06-9.8826e-05i,0.00010048-0.00026455i,1.02e-05-0.00075064i,-0.00021699+0.00045822i,0.00028183+0.00097595i,0.00037891-5.6027e-05i,-0.00037992-0.00059893i,-0.00096901-0.00036181i,-0.00083254-0.00090897i,-0.00033235-0.00064852i,0.00016212+8.0459e-05i
