-0.0028823+0.0003653i,-0.0017036-0.00074621i,-0.0021258-0.0004003i,-0.0010897-0.0003416i,0.00078962+0.00041247i,0.00083783+0.00086068i,0.00080214+0.0013967i,0.001689+0.0015496i,0.0026177+0.00060616i,0.0022365-9.9184e-05i,0.0010561-2.1157e-05i,0.0011857-1.4346e-06i,0.00075676-0.00016709i,0.0002675-0.000179i,0.00024627+5.6873e-05i,-4.4228e-05+0.00055695i,-0.00028345+0.00026345i,0.00017068+8.6539e-05i,0.00047982+0.00011468i,0.00033854+0.00013192i,0.00061256+0.00025208i,0.00073072+0.00018035i,0.00074383-0.00012239i
0.0010911-0.0021325i,0.00042976-0.0016568i,-0.00050725-0.0025544i,-0.00097727-0.0019364i,-0.0016475-0.00029504i,-0.0014089+0.0006018i,0.00018117+6.295e-05i,0.0012424-0.00043827i,0.00071656-0.00047877i,0.0003972-0.00035719i,0.00055191+0.00066167i,0.00048468+0.0013454i,0.00051986+0.00078272i,0.00063244+0.00020068i,0.00034875-0.00011978i,0.00046505-7.6382e-05i,7.0836e-05-0.00013448i,-0.00036258-0.0004226i,0.00069331-0.00035006i,0.0011203-3.3581e-05i,0.00087922-3.0051e-05i,0.00071578-0.00024221i,0.00034184-0.00011561i
-0.00064472-0.00028568i,-0.0014993-0.00053005i,-0.0016377-0.00042712i,-0.00044495-0.00066295i,0.0010204-0.00025157i,0.00097913+0.00051366i,8.2127e-05+0.0006051i,0.00029203+7.2033e-05i,0.00072313+9.9486e-05i,0.0013247+0.00026267i,0.0014417+5.1446e-05i,0.0011757-0.00019985i,0.0013289-0.00071348i,0.00058314-0.00074161i,-0.00081134+8.4387e-05i,-0.00082202+0.00065339i,-0.00016866+0.00033279i,8.9347e-06+0.00082123i,0.00041283+0.0016002i,0.0011191+0.0010312i,0.00042589+0.00033514i,-0.00037614+0.00020021i,2.9099e-05-4.1053e-05i
0.00017229-0.00012395i,0.00058326+0.00061441i,0.0017776-0.00052243i,0.0010449-0.0012796i,-0.00034155-0.00092658i,-0.00065774-0.00038455i,-0.00014713-0.00026832i,0.0006865-0.00064231i,0.0012146-0.00035659i,0.00076299-3.9629e-05i,-0.0001541+0.00025604i,-0.00095085+0.00092863i,-0.00093292+0.0011703i,7.6841e-05+0.00090728i,0.00075349+0.00051246i,0.00070661+0.0003893i,0.0010255+0.00065995i,9.4132e-05+0.00033518i,-0.0010216-4.6945e-05i,-0.0010273-0.00029198i,-0.00080994-6.8581e-05i,-0.00039642+0.00036185i,-0.00090114+0.00023018i
-0.001302+0.00033749i,-0.0019657+0.00086987i,-0.001187+0.00059984i,-0.0011551-0.00027527i,-0.0010827-0.0015027i,-0.00029374-0.00091651i,0.00029404+0.00019485i,0.00067844+0.00079277i,0.001087+0.0013722i,0.00096881+0.00095843i,0.00052742+8.3318e-05i,-0.00043958-0.000339i,-0.00092147+0.00012951i,-0.00066944+0.00063111i,-0.00052839+0.00057573i,0.00029577+0.00063885i,0.0010199+0.00066136i,0.0010319+0.00056565i,0.00058079-7.7809e-05i,0.00012836-0.00038021i,0.00062784+9.2868e-07i,0.00024577+0.00045653i,-0.00069461+0.00024017i
0.00033361+0.00031564i,0.00030331+0.00029264i,0.00035895-0.00088031i,0.0002554-0.0017335i,-0.00055871-0.00090937i,-0.00056596-0.00054198i,-6.1426e-05-0.00024453i,0.0005133+0.00026654i,0.0010655+0.00034657i,0.0006939-0.00051269i,-0.00015489-0.00061319i,-0.00056577+0.00025735i,-3.9348e-05+0.00087185i,0.00022959+0.001175i,-0.00053329+0.00071915i,-0.00033168-4.5497e-05i,0.00015959+0.00032807i,-5.1644e-05+0.00078419i,2.3699e-05+0.00036753i,0.00028766+0.00016457i,0.00036962+0.00022811i,-7.0302e-05-0.00050202i,-0.00041908-0.00071512i
0.00044693-0.0018921i,0.00063502-0.0014094i,0.0015506-0.0010781i,0.0014171-0.00083808i,0.00010848-0.00052068i,-0.0005-0.00053734i,7.9931e-05-0.00024546i,0.00029946+3.4972e-05i,0.0015845+5.1549e-05i,0.001768-0.0002346i,0.00070835-0.00041685i,0.00024405+0.00020403i,0.00024346+0.00058747i,-0.00030887+0.00080148i,-0.00042049+0.00046913i,7.2194e-05-0.00016438i,0.00041652-1.4279e-05i,0.00023832+0.0008473i,-0.00058052+0.001138i,-0.00059251+0.00028119i,-1.6032e-05+0.0002978i,0.00097824+0.0006047i,0.00081416-0.00034177i
-0.00028952-0.00023926i,0.00020658-0.00070764i,-0.00026918-0.0012301i,-0.00065832-0.0021186i,-0.00066263-0.0017611i,-0.00071617-0.00068177i,-0.00027091-0.0002014i,0.00031619+0.00018731i,0.0003965+0.00015007i,8.0624e-05+0.00042206i,-0.00038592+0.00090782i,-0.00040884+0.00051961i,-0.00046599+0.0001119i,-0.00060261+0.00052339i,-8.0237e-05+0.00064836i,0.00011985+0.00045071i,0.0001193+0.00020068i,0.00023231+0.00040565i,0.00078318+3.1156e-06i,0.00097575+0.00040662i,0.00074403+0.00082161i,0.00018891+0.00067597i,-0.00014603+0.00029643i
0.0007593-0.0003828i,0.0010724-2.1844e-05i,0.0014131-0.00019262i,0.00065628-0.00095883i,-0.00053205-0.00092838i,-0.00066726-0.00051112i,-0.00051127-0.00037442i,0.00013286+0.0004976i,0.00061046+0.00022708i,0.00071425-0.0004661i,0.00011369-0.00012523i,-0.00054857+0.00039293i,8.5816e-05+0.00093786i,-2.9703e-05+0.00079665i,-0.00022892+0.00045694i,0.00080891+0.00096918i,0.0012838+0.0016334i,0.00052918+0.0013229i,-5.8711e-05+0.00017438i,5.5508e-05-0.00037247i,-6.4935e-05-0.0004834i,-0.00013734-0.00086901i,-0.00037482-0.0012308i
0.00086477-0.0015318i,0.0014056-0.0018261i,0.0010182-0.001295i,-0.00021732-0.00071609i,-0.00077162+9.1988e-05i,-0.00046012+0.0010525i,-6.1257e-05+0.0013458i,0.00035009+0.0010804i,0.00047051+0.00042919i,0.0005854+0.00014747i,-9.7734e-05+0.00015791i,-0.00096334+0.00037638i,-0.00063334+0.0003996i,0.00012532+0.00049364i,0.00028431+0.0011509i,-9.1406e-05+0.00079194i,0.00035497+0.00032574i,0.00027991+0.00082163i,-0.00049636+0.00076394i,-0.00061896+0.00020379i,-0.00038982+1.6366e-05i,-6.9079e-05-0.00023151i,-0.00012959-0.00048155i
-0.00010695-0.00029473i,-0.0010667-0.00091782i,-0.0015275-0.00098669i,-0.0020438-0.0014531i,-0.0017263-0.0015667i,-0.00086671-0.00080807i,0.00027261+5.5405e-05i,0.0012075+0.00094946i,0.0013071+0.00071014i,0.00074565+0.00030696i,0.0005825+0.00040301i,-9.8037e-05+0.00041916i,-0.0001633+0.00050505i,0.00078784+0.00071824i,0.00071085+0.00047258i,0.00011689+0.00024674i,-0.00020792+0.00034218i,-0.00037492+0.00016033i,-0.00022285+3.7221e-05i,-3.7243e-06-0.00018195i,-8.6771e-05+9.7495e-05i,0.00010373+1.9529e-05i,-0.00019359-9.5779e-05i
-0.00051022-0.0014813i,-0.0018342-9.328e-05i,-0.0017416-2.0245e-05i,-0.0011991-0.00024775i,-0.00086904+3.8397e-05i,0.00047403-0.00018998i,0.0013853+0.00058697i,0.0016567+0.0015768i,0.0018504+0.0012189i,0.0013582+0.00037134i,0.00049664+0.00023599i,4.5211e-05+0.00092976i,0.0005817+0.0010361i,0.00074644+0.00073705i,0.00020952+0.00054599i,0.00014978+0.0004699i,9.4036e-05+0.00080352i,0.00061876+0.0011227i,0.0005403+0.0013577i,0.00019831+0.00053931i,0.00057866-0.00092284i,0.00066538-0.0010854i,0.00073018-0.00057595i
0.00117+0.0018956i,0.00053236+0.00035113i,0.0013053-0.0001841i,0.00026722-0.00069019i,-0.00091534-0.0012838i,-0.00068807-0.0010584i,0.00041961+2.1353e-05i,0.00099425+0.000277i,0.00099455+0.00027116i,0.0012606+0.00029404i,0.0011468+0.00013015i,-0.00033433+0.0008482i,-0.0011662+0.0011492i,-0.0007747+0.00085238i,-0.00013001+0.00086144i,-0.00010342+0.00060773i,-0.00056385+0.00052436i,-0.00080351+0.00058027i,5.552e-05+0.00023015i,0.00078135-0.00025407i,0.00088328-0.00038038i,0.00063613-3.7161e-05i,0.00037186-0.00039216i
-0.0003714+2.2752e-05i,-0.00073056-0.00025015i,-0.00041799-0.00082163i,0.00029223-0.00092677i,1.0075e-05-0.0011515i,0.00015952-0.00095441i,0.00062667-0.00010274i,0.00064287-2.3345e-06i,0.00094732-6.4531e-05i,0.00082881-0.00037055i,0.00036601-8.6915e-05i,3.1229e-05+0.00039422i,-0.00020107+0.00041632i,0.0004045+0.00033216i,0.00078713+0.00073862i,0.00031894+0.0010543i,5.2928e-05+0.00012119i,0.00040082-0.00063018i,0.00030319-0.00046176i,-0.00016506+0.00019553i,-0.00020618+0.00016861i,-0.00016842-0.00047666i,0.00021-0.00090947i
-0.001796+0.0020486i,-0.0013732+0.0025757i,-0.0015109+0.0026004i,-0.00082388+0.0013387i,-6.2523e-05-0.00030995i,0.00095472-0.00074595i,0.0012637+0.00036899i,0.00054311+0.0011233i,-0.00031823+0.00037605i,-0.00086942-0.00021065i,-0.0011229+0.00027885i,-0.0013056+0.00056727i,-0.0011341+0.00047953i,-0.00037916+0.00043697i,-0.00041141+0.00081982i,-0.0001945+0.00024308i,0.00075335-0.00044971i,0.00055228+0.00035462i,0.00011577+0.00076417i,0.00059104+0.00083792i,0.00088166+0.0010429i,0.00068933+0.00063695i,3.2355e-05-1.4785e-05i
-0.001493-0.00017694i,-0.0012853+0.00031038i,-0.0013932-0.00017322i,-0.0018311-0.00034602i,-0.001676+0.00041609i,-0.0011851+0.00092003i,-0.00037161+0.00087211i,0.00025026+0.0014428i,0.00020045+0.0010579i,0.0010684+0.00018793i,0.0014726+0.0002916i,0.0012351+0.00098914i,0.00040159+0.00096812i,-0.0007569+0.00056932i,-0.00041934+0.00057594i,0.00052291+0.00047713i,-8.1095e-05+0.00082705i,-0.00088134+0.00066387i,-0.0007198-3.5485e-05i,-0.00039739-0.00083964i,-0.00024572-0.0012103i,0.00010085-0.00079455i,3.3967e-05-0.00014046i
0.00012503+0.00022007i,1.9166e-05+0.0010354i,-0.00033765+0.00075532i,-0.0001256-0.00014409i,0.00082326+8.7926e-05i,0.0017173+0.00081369i,0.0014123+0.0010551i,0.00094475+0.0014266i,0.00058727+0.0010644i,0.00056538+0.0010427i,0.00092844+0.00090644i,0.0010403+0.00064298i,0.00080755+0.0004579i,0.0012887-5.1228e-05i,0.0011982-1.7948e-05i,0.00041596+0.00042444i,0.00025049+0.00050359i,-0.00049002+0.00017412i,-0.0002856-2.1524e-05i,0.00080856+1.2303e-05i,-7.0586e-06-0.0002846i,-0.00011443-0.00059873i,0.00047322-0.00052039i
0.00080857-0.00035271i,0.00072396-0.00092597i,0.00069234-0.0005985i,-0.00019728-0.0015065i,-0.0012422-0.0015232i,-0.001263-0.00023156i,-0.00070695+0.00012765i,0.00026662+0.00012027i,0.00079121+0.00032028i,0.0012653+0.0001906i,0.00077357+0.00055476i,-0.00016574+0.0012242i,-0.00011811+0.001092i,0.00035008+0.0010683i,0.00071721+0.0007872i,0.00045117-0.00054737i,0.00027101-0.00075754i,0.00037013-0.00070165i,0.00044925-0.00041097i,0.00021721+0.00023809i,0.00029493+0.00093881i,0.00070866+0.0006286i,0.000353-0.00026368i
-0.0013895-0.0010019i,-0.0013034-0.00084514i,-0.001025-0.00069714i,-0.00046241-9.4113e-05i,0.00033447+0.00090268i,0.00095265+0.0012873i,0.00086162+0.00078539i,0.00085248-0.00012323i,0.0010376-0.00015497i,0.00025811+0.00034993i,0.00011369+0.00015611i,0.00062791-3.0416e-05i,0.00091301+0.00016463i,0.00062221+0.00079369i,-3.4322e-05+0.0006299i,-0.0007785+0.00034058i,-0.00082883+0.00039504i,0.00020388-9.7384e-05i,0.00040487+1.682e-05i,-0.0002147+0.00014287i,-0.00034653+6.8844e-05i,0.00049824+0.00056513i,0.00077764+0.00079926i
-0.0025069-0.00061675i,-0.0023635-0.00030854i,-0.0030321+0.0004115i,-0.0017228+0.00064275i,-0.00045449+0.00070026i,0.00030618+0.00089578i,0.00097528+0.001404i,0.00021349+0.0014103i,0.00015883+0.0011761i,0.00035012+0.0010466i,-0.00013452+0.00074932i,-0.00047034+0.00043154i,-0.00021158+0.00032514i,-0.00013892-9.6805e-05i,-0.00013651-0.00051411i,-0.00031382-0.00045726i,-0.00048382-0.00020884i,-5.8333e-05+0.00036369i,0.00019968+0.00080655i,0.0005141+2.0299e-06i,0.00055898-0.00071439i,0.00024341-0.00085533i,0.0004523-0.0015351i
-0.0027104-0.00032288i,-0.0016129+0.00062045i,-0.0014805+0.00191i,-0.0022611+0.00076256i,-0.0016944+5.0263e-05i,-0.0002306+0.00078893i,0.00020541+0.00050854i,0.00013493-5.2488e-05i,-0.00019426+0.00067187i,-0.0012828+0.0014099i,-0.0012604+0.0013676i,-0.00045304+0.0014532i,-1.988e-05+0.0012688i,0.00011216+6.4075e-05i,0.0001966-0.00013492i,0.00063725+0.00058286i,0.00068467-0.00018629i,0.00054294-0.00070968i,9.2245e-05+0.00036731i,-0.00040961+0.0007025i,-0.00021924-0.0003219i,-9.518e-05-0.0010987i,-0.00039065-0.000384i
-0.0010779+5.7164e-05i,-0.00065111-0.00061511i,-0.0015638-0.00083101i,-0.0022662-0.00083196i,-0.0012964-0.00067816i,4.8784e-05-0.00011166i,0.00035303+0.00045313i,0.00098722+0.00054214i,0.0013471+0.00066318i,0.00095817+0.00082079i,0.00060922+0.00063286i,0.0005347+0.00053097i,0.00018855+0.00069355i,-0.00021494+0.00022044i,-0.00024926-0.00076248i,-6.8737e-05-0.00011538i,0.00029105+0.00061683i,0.00022031+7.6367e-05i,0.00038748-0.00030601i,0.00083724+0.00030129i,0.00044574+0.00055189i,0.00053014+6.0728e-06i,0.00019936+0.00040579i
-0.0044565+0.0010057i,-0.0034902+0.0012566i,-0.0012428+0.0016351i,-0.00034809+0.0013034i,-0.00044617-0.00034014i,-0.00015028-0.0014191i,-0.00034494-0.00061841i,-0.00026524-0.00019149i,0.00022835+0.00023584i,0.00069428+0.00039351i,0.00089545-0.00055497i,0.00065021-0.00085166i,0.0001798-0.00011193i,-0.00080282+0.00050138i,-0.00062511+0.00050769i,-0.00021992+0.00036992i,-0.00037196+0.00056162i,-6.5444e-05+0.00067422i,-0.00023674+0.00093722i,0.00026474+0.0013418i,0.00054082+0.00037526i,0.00021955-0.0002284i,0.00035034+0.00046668i
-0.00014918+0.00033167i,-0.00012777+0.00039301i,0.00051659-0.00046342i,0.00016125-0.0013069i,-0.00039844-0.0013644i,-0.00071403+0.00021708i,-0.0004667+0.00096967i,0.00061719+0.00093624i,0.0010638+0.00070069i,0.000503+0.00014843i,-0.00031418-0.00044464i,-0.0010204-0.0004665i,-0.00089483-0.00032447i,-0.00019566-0.00046441i,9.4762e-05-6.5533e-05i,-0.00047547+0.0002403i,-0.00072067+0.00020487i,-0.0005379+0.00037818i,-0.00039894+0.00061461i,7.0938e-05+0.00049518i,8.9112e-05+0.00022172i,-0.00010691-5.2535e-05i,-0.00077641-0.00044644i
0.00022799+0.0028117i,0.0009724+0.0016518i,0.0020467+0.0020367i,0.0026791+0.001963i,0.001882+0.0012686i,0.0010816+0.00084079i,0.0012688+0.00088567i,0.0013833+0.00090771i,0.0013241+0.00089503i,0.0010983+0.00050006i,0.00033098-1.101e-05i,-0.00019258-0.00056991i,-0.0006211-0.00011088i,-0.0014266+0.0010052i,-0.00079955+0.00085247i,-0.0001774+0.00065572i,-0.0004217+0.00075309i,0.00011739+0.00077346i,0.00061236+0.0005891i,0.00081413-0.00012445i,0.0010201-0.00048224i,0.00053655-0.0005828i,-0.00023802-0.00050154i
-0.00098539-0.00041526i,-0.0007895-0.00070731i,-0.001058+0.00021737i,-0.0014679+0.00041123i,-0.00074827-3.4683e-05i,-0.0002962+0.00041762i,-1.7342e-06+0.00038i,0.00061565+0.00032189i,0.00046289+0.00021945i,-0.00019234+0.00035555i,-0.00056901+0.00058064i,-0.00073825+0.00037764i,-0.00020707+0.00022588i,-0.00012202-1.1164e-05i,-0.00012533+5.184e-05i,0.00039181-0.00019207i,0.00066206+9.4604e-06i,0.00030707+0.00055026i,0.00016991+0.0002154i,0.00028476-0.00045452i,4.6951e-05-0.00058721i,0.00021565-0.00020048i,0.00090913+8.4795e-05i
0.0010012+0.0006194i,0.00066801+0.00080103i,-1.7182e-06+0.00035593i,8.6468e-05-4.3773e-05i,-0.00059144-0.0010246i,-0.00077902-0.0007049i,-0.0001366+0.00035802i,-0.00025813+0.0008082i,-0.00019767+0.00059591i,0.000844+0.0011671i,0.00078537+0.002097i,-0.00056126+0.0017554i,-0.00027919+0.00051756i,0.00068848+0.00029724i,0.00063225+0.00060111i,0.0002026+0.0014405i,0.00018058+0.0016996i,0.0010544+0.00064396i,0.0007061+0.00013044i,0.00014017-4.7898e-05i,-5.891e-05+0.00029946i,-1.9563e-05+0.00033753i,0.00058396-0.00022015i
-0.00041008-0.00080201i,0.00022989-0.0012946i,0.0010258-0.0011765i,0.00079806-0.00048982i,-0.00042553+0.00039277i,-0.00042883+0.00097701i,0.00032552+0.0016029i,0.00050249+0.0014353i,0.00073548+0.00057088i,0.0016069+0.00039122i,0.0014485+0.00043322i,7.3219e-05-0.00020847i,-0.00021535+0.00011925i,-0.00025396+0.00076374i,-7.8138e-05+0.0006951i,0.00031607+0.0011476i,0.00035628+0.0018217i,-0.0003679+0.0016716i,-0.0010819+0.00052384i,-0.0010677-0.00054853i,-0.00015078+0.00029303i,0.0010428+0.00038915i,0.00089475-0.00024265i
-0.00085994+0.00098184i,-0.00077292+0.00073384i,-0.0013826+0.0015744i,-0.00088109+0.0021132i,0.00015488+0.0010033i,0.00078045+0.00011786i,0.00049251+0.00052965i,0.00027585+0.0013535i,0.00025267+0.0015968i,0.00024837+0.00077865i,0.00035061-0.00025455i,0.00042875-0.00021293i,-0.00042019+2.9354e-05i,-0.0010485-0.00019984i,-0.00030103-0.00010769i,0.00046045+1.8151e-05i,0.00039428+7.9329e-05i,-0.00010944+0.00035695i,-0.00051152-0.00048442i,-0.00034129-0.00032351i,-0.00091298-0.00030381i,-0.0008627-0.00013717i,-0.00029782+0.00044273i
0.0020317-0.00025819i,0.0011751-0.00038044i,0.0014091-0.0014541i,0.0014391-0.002848i,7.647e-05-0.0023561i,-0.00071362-0.0010049i,0.00044457-9.1183e-05i,0.0014191-9.905e-06i,0.0012669-0.00019289i,0.00069709-0.00033036i,0.00024336-0.00030202i,-0.00052974+0.00061987i,-0.00071504+0.0015092i,-0.0005817+0.00080056i,-0.00012993+4.1768e-05i,0.00052352+0.00044204i,0.00052704+0.001053i,0.00093417+0.0011405i,0.00061627+0.00072889i,-0.00015553+0.0007224i,-0.00028701+0.00041297i,-0.00020737-8.167e-05i,-0.00014902+0.00046535i
0.0011474+0.00073899i,0.001032+0.0012493i,0.0024967+0.0001641i,0.0020546-0.0016351i,0.00023371-0.0020811i,-0.00098965-0.0010992i,-0.00084959-4.8619e-05i,0.00043252+0.00014392i,0.0010786+0.00088519i,0.0005634+0.00054389i,-0.00015037-0.00057723i,-0.00071162-0.00039203i,-0.00083782+9.4464e-05i,-0.00024757+0.00058293i,0.00048583+0.00050974i,0.00069829+0.00061108i,-6.9442e-05+0.00084498i,-0.00017108+7.1726e-05i,0.00014317-0.00010129i,-0.00030962+0.00043408i,-0.00077451+0.00033733i,-0.00027268-8.5109e-05i,0.00056579-0.00028979i
1.8168e-05+0.001504i,0.0003439+0.00066974i,0.0011217+0.00030605i,0.00086627-0.00078569i,0.00077707-0.0018665i,0.00098646-0.0012861i,0.0012386-0.00029039i,0.0017063+0.00060359i,0.0014935+0.00095234i,0.00077227+8.5179e-05i,-1.047e-05-0.00015989i,-0.00062554+0.00073241i,-0.00063206+0.0011606i,-0.0011903+0.0011938i,-0.001314+0.00062126i,-0.00019567+0.0004363i,7.0154e-05+0.00067001i,-0.0004668+0.00050824i,-0.00038071-0.00019926i,0.00034076-0.00011093i,0.00089443-0.00042168i,0.0010194-0.00097958i,0.00028606-0.00035279i
0.0019745+0.0010748i,0.001613+7.9003e-05i,0.00099881+5.0787e-05i,8.3314e-06+0.00064426i,-0.001029+0.00097806i,-0.00088118+0.00060882i,-0.00068982+0.00046338i,-0.00012087+0.00084955i,0.00096759+0.00095591i,0.0014194+0.00057762i,0.00046236+0.00014855i,-0.00091821+0.00030101i,-0.0016638+0.0011856i,-0.00088235+0.0017832i,0.00030369+0.0017407i,-0.0002087+0.0011962i,-0.00039804+0.001018i,0.00040129+0.00097586i,0.00072454+0.00011245i,0.00010634-0.00049964i,0.00017436-0.0005505i,0.0003953-5.9668e-05i,0.00023648-7.5946e-05i
