-2.0701e-05-0.00058956i,0.00069586-0.0024604i,-0.00030897-0.0035351i,-0.0021885-0.0026395i,-0.0033878-0.0011806i,-0.0032576+0.00032778i,-0.0026193+0.0012968i,-0.0014844+0.0015208i,-0.00096304+0.0010295i,-3.3922e-05-0.0001786i,0.00069803-0.0010945i,0.00036543-0.00056809i,-0.00049388-0.00047205i,-0.0011391-0.00054535i,-0.00093602+0.00055462i,-0.0004929+0.0012885i,0.00049062+0.00045046i,0.00057293-0.00037388i,6.7418e-05-0.00027948i,7.3202e-05+7.0065e-05i,-5.8881e-05+8.9651e-05i,-0.00026393+0.00010095i,-0.00033521+0.00085606i
-0.0018521-5.2381e-05i,-0.00099794+0.00060333i,-0.0011585+0.0011907i,-0.0017024+0.0013543i,-0.0019636+0.00040503i,-0.00051789-0.00043095i,0.00050915-0.0012572i,0.0005494-0.0019593i,3.0798e-05-0.0009375i,-0.00031169+0.00052041i,0.00058254+0.0009132i,0.0012065+0.00047559i,0.00028132+3.0187e-05i,-0.0003082+0.00025921i,0.00034637+0.00026986i,0.00083967+0.00018386i,0.00042899+0.00036947i,0.00036826+0.0006399i,0.00046271+0.00053963i,0.0002763+0.00035849i,-0.00011383+0.00048229i,-0.0006988+0.00030805i,-0.00041331+0.00010307i
-0.00027434+0.0013908i,-0.00060101+0.00061395i,-0.00067863-0.0014521i,-0.0009398-0.0026034i,-0.002235-0.0025957i,-0.0017658-0.0013924i,-0.00054924-0.0012104i,4.5648e-05-0.0015037i,4.9491e-05-0.00064579i,-0.000717+0.00041964i,-0.0012204+4.1625e-05i,-0.0012081-0.00038617i,-0.0015985+0.00035745i,-0.0017818+0.00046738i,-0.00068498-0.00060538i,-0.00063104-0.001192i,-0.00080614-0.00054766i,-0.00012696-0.00013932i,-0.0002314-0.00034549i,-0.00097339-0.00046513i,-0.0014077-0.00041251i,-0.00084133+9.774e-05i,-0.00058498+0.00036934i
0.00014609-0.00010539i,0.00034023-0.00057115i,-4.3083e-05+5.9142e-05i,-0.0013624-2.8218e-05i,-0.0027911-0.00091563i,-0.0023432-0.00052201i,-0.00062725-0.00060258i,3.9361e-05-0.0012777i,-0.001075-0.00089099i,-0.0014546-0.00012516i,-0.00074803+0.00051147i,-0.00049428+0.00066366i,-0.00043582-0.0004766i,-0.00033522-0.00047991i,-0.00051702-0.00010338i,-0.00065715-7.0762e-05i,-0.00023565-1.2267e-05i,0.00013909-0.00083588i,-6.9115e-05-0.00082763i,-0.00051899-0.00023911i,-0.00065452+1.308e-05i,-0.00072239+6.0408e-05i,-0.0003389-0.00045663i
0.0015191+0.0020543i,0.0018092+0.00047366i,0.0020749-0.0013954i,0.00052112-0.0027006i,-0.00092175-0.0030326i,-0.0015916-0.0024314i,-0.0010378-0.0018811i,-0.00041399-0.001526i,-0.00056516-0.00082264i,-0.00052503+0.00027514i,-0.00010934+0.00046594i,-0.00060712-0.00023888i,-0.0010601-0.0013665i,-0.00046068-0.0016796i,-0.00017402-0.00085731i,0.00020451-0.0005416i,0.0001077-0.00053804i,9.6352e-05-0.00076011i,0.00073639-0.00092257i,0.00028638-0.0003582i,-0.00013838+0.00036268i,-0.00026801+0.00046941i,-9.6186e-05+1.6251e-05i
-0.00064746-0.0010223i,-0.0015887-0.0010233i,-0.0021354-0.0018299i,-0.003145-0.0024515i,-0.003244-0.0023872i,-0.0027102-0.001552i,-0.001826-0.00066755i,-0.0010038-0.00098969i,-0.00091351-0.00066224i,-0.0010498-0.00040356i,-0.00090784-0.00049668i,-0.0007833-6.4065e-05i,-0.00070508-0.00043518i,-7.4746e-05-0.00039523i,-0.00064843-0.00016517i,-0.00064769-0.00019224i,4.7463e-05+7.2369e-05i,0.00037314-3.2408e-05i,0.00083828-0.00045259i,0.00039178-8.8252e-05i,-0.00011408+0.00024715i,-0.00023307+9.8409e-05i,-0.0011234-4.94e-06i
-0.0003352+0.0018772i,0.00055261+0.0014074i,0.00069226+0.0007338i,-0.00041588-5.9248e-05i,-0.00067492-0.00060621i,-0.00078799-0.0011127i,-0.00027932-0.0013798i,0.00015897-0.0010041i,-0.00012753-0.00045851i,0.00045379-0.0002102i,0.0010098-0.00011093i,0.0010991-0.00036005i,0.00038465-0.00042933i,-2.8026e-05-0.00045584i,-1.4755e-05-0.00065614i,-0.0005293-0.00074503i,-0.00049349-0.00033988i,0.0001262+1.2864e-05i,0.0004166+0.00035754i,0.00045986+0.00057315i,0.00012446+0.00029804i,0.00066569+0.000239i,0.00059692-0.0004393i
-0.0014195-0.00016246i,-0.0010519-0.00047223i,-0.0013129-0.00042439i,-0.001916-0.00044938i,-0.0020488-0.0010672i,-0.0012038-0.00088054i,0.0001868-0.0003949i,0.00054136-0.00020075i,0.00036079+5.09e-05i,-0.00025886+0.00045752i,-0.0011588+0.00054112i,-0.0006564+0.0001987i,0.00010257+0.00022225i,-0.00036531+0.00053445i,-0.0008297-0.00015096i,-7.3506e-05-0.00031869i,-0.00016131+0.0012558i,-0.00076303+0.0012526i,-0.00049889-0.00016957i,0.00016377-0.00099697i,0.00070944-0.00057344i,0.00059526+0.0001653i,-0.00051003+3.6073e-05i
-0.00035269+0.0021923i,-0.00063872+0.0017264i,-0.00078451+0.00048701i,-0.0011964-0.00081877i,-0.001376-0.0015315i,-0.00089007-0.0012406i,-0.0004708-0.0013431i,-0.0011637-0.0013867i,-0.0015221-0.0011328i,-0.0010593-0.00011403i,-0.00074031+0.000633i,-0.00078367-3.534e-05i,-0.00056075-0.00010371i,-0.00036939-0.00033431i,0.00013165-0.00048947i,0.00060926-0.00020261i,0.0005447-0.00033354i,0.00047595-1.4256e-05i,0.00044543+0.00040182i,0.00075761+0.00036433i,0.00027657-6.7292e-05i,-0.00052843-0.00051754i,-0.00046074-0.00040736i
0.0012627+0.00012388i,0.0015582-0.001568i,0.0014129-0.0022178i,-0.00078619-0.0023916i,-0.0026039-0.0032925i,-0.0020846-0.0029143i,-0.00033699-0.0016145i,-4.0142e-05-0.0010682i,-0.00046823-0.00088261i,-0.00072603-1.7406e-05i,-0.00091364-0.00019519i,-0.00050682-0.00044835i,-0.00061561-0.00017021i,-0.0011728+0.00036501i,-0.0011801+0.000278i,-0.0010405-0.00054036i,-0.00083851-0.00016569i,-0.00011975+0.00021237i,-0.00010685-0.00024835i,-0.00018658-0.00021865i,3.7234e-05-1.1443e-05i,0.00016321+0.00023171i,0.00028556+0.00032285i
-0.001304-0.002035i,-0.0022504-0.0029885i,-0.0031239-0.0026133i,-0.0039288-0.001109i,-0.0034778-0.00059765i,-0.0014376-0.00067161i,6.4377e-05-0.00070375i,0.00056279-0.00088294i,0.00048795-0.001005i,-0.00050199-0.0005123i,-0.00083889+8.9255e-05i,1.0743e-05+7.6438e-05i,0.00027372-0.00025426i,-0.00016949+0.00025048i,-0.00078468+0.00048585i,-0.00018062+0.00051371i,0.00084451+0.00048571i,0.00070519-0.00035742i,0.00030324-6.2256e-05i,0.00045218+0.00093813i,0.00058939+0.00048783i,1.8755e-05-0.00015396i,-0.00050577-0.0002919i
-0.0015348+0.00054355i,-0.0022391-0.0002778i,-0.0020148-0.0012668i,-0.0020782-0.0019405i,-0.0016783-0.0017441i,-0.0010513-0.00083949i,-0.0012026-0.00038838i,-0.00088908-0.0010331i,-0.00078377-0.0014497i,-0.00061821-0.0012811i,-0.00011587-0.00083406i,-0.00035375-0.00053428i,-0.00032758-0.00026244i,0.00027895-0.00022807i,0.00052377-0.000371i,0.00060206+7.4464e-05i,0.00063385+0.00066754i,0.00050217+0.00088976i,0.00037889+8.6967e-05i,1.0944e-05-0.0005328i,-0.00030545-0.00055526i,-0.00076105-0.00071284i,-0.00056188-0.0004033i
-4.6119e-05-0.0006034i,0.00032421-0.0011047i,-0.00054766-0.0011306i,-0.0019419-0.00088i,-0.0017377-0.00090848i,-0.00031753-0.0010924i,0.00050714-0.0012505i,-0.00035566-0.0011982i,-0.0013986-0.00091835i,-0.0018562-0.00053587i,-0.0013087-0.00076306i,-0.00032787-0.00043085i,1.1154e-05-0.00010499i,-0.00024712-1.7737e-05i,-0.00024179+0.00046079i,-0.00054988+0.00050343i,-0.00035+0.00023452i,0.00030263-0.00049123i,-0.00012809-0.00044416i,-0.00050711-0.0001262i,-0.00068926-0.00034756i,-0.00091938-9.4477e-06i,-0.00081947-0.00023427i
0.0019835+0.00021292i,0.0016242-0.00045234i,-2.1319e-05-0.0010096i,-0.00069223-0.0017102i,-0.0011176-0.0021908i,-0.001612-0.0013308i,-0.0014861-0.00071214i,-0.00078016-0.001049i,2.5223e-05-0.00079209i,-7.4482e-06-0.00030205i,-8.4271e-05+5.1353e-05i,6.3341e-05+0.00034336i,-0.00014032+0.0004243i,-0.00083564+0.00026673i,-0.00058852+0.00034101i,-0.0002853+0.00064204i,-0.00032691+0.00033317i,-0.00013395-0.00052359i,0.00053512-0.00065462i,0.000692-0.0010357i,0.00018887-0.0010085i,8.6261e-05-0.0002706i,5.3061e-06-0.00011275i
-0.00051863-0.0003415i,0.0004045-0.00031132i,0.00040653-0.00044386i,-0.00069964-0.0018034i,-0.0019515-0.0025827i,-0.0016825-0.001605i,-0.00077253-0.00050313i,-0.00048278-0.00076069i,-7.9503e-05-0.00095837i,0.00015626+6.5518e-05i,9.4814e-05+0.00051708i,4.4217e-05+0.00048522i,0.00046014+7.1526e-05i,0.00049478-0.00039144i,-7.5805e-05-0.00052232i,-0.0002384-0.00012431i,-0.00017907+0.00045608i,0.00022229+0.00043083i,0.00080208+0.00064302i,0.00015952+0.00051297i,-0.00050584+0.00053114i,0.0003731+0.00082305i,0.00076029+0.00042812i
-0.00016976+0.00052616i,-0.00094867-5.9592e-05i,-0.0006543-0.001113i,-0.0017094-0.0012804i,-0.0022985-0.00072227i,-0.00082649-0.00026587i,-0.00072733+0.00014114i,-0.00082803-0.0005441i,-0.00051707-0.00031466i,-0.00051661+0.00079949i,-0.00041746+0.00059182i,-0.00050977+1.4405e-05i,-0.00056833-0.00031636i,-0.00096027-0.00042214i,-0.0011387-0.00014055i,-0.00036948-0.0002169i,0.00030412-0.00041114i,-4.1243e-05-0.00025964i,-0.00028056+9.5542e-05i,-3.9355e-05+1.8559e-05i,9.5134e-05-0.0010129i,-0.00012116-0.00099151i,-0.00031153+0.00047379i
-0.0012593+0.00023777i,-4.8546e-06+0.00036047i,-0.00032068+0.00012663i,-0.0018928-0.00024214i,-0.0021491-0.0010099i,-0.0011917-0.0012566i,-0.00097101-0.0014359i,-0.00098053-0.0017805i,-0.00026942-0.0012098i,0.00017172-0.00026431i,-0.00016818+0.00012034i,-5.3306e-05-3.3481e-05i,-0.00036655-0.00030913i,-0.00095463-0.00082355i,-0.0012076-9.0325e-05i,-0.0011702+8.4698e-05i,-0.00035028-0.00027869i,0.00015316+0.00017937i,0.00013052+0.00035007i,-0.00013968+0.00038094i,-0.00041129+0.00068394i,-0.00053276+0.00043894i,-0.00018679+0.00015239i
-0.0016327-0.00069214i,-0.00057652-0.00051774i,-0.0010802-0.0005407i,-0.0021754-0.00030232i,-0.0026173-9.4317e-05i,-0.0023601-0.00033103i,-0.0016222-0.0010461i,-0.00050603-0.0012364i,5.9141e-05-0.00040464i,0.00056863+0.00028605i,0.0010036+0.00014931i,0.00024941-7.9355e-05i,-0.00036775+0.00014601i,-0.00078194+0.00087431i,-0.0010482+0.00076598i,-0.0014532+0.00064391i,-0.0015699+0.00096344i,-0.00092543+0.00042152i,-0.0010371-0.00023067i,-0.00047679-0.00083037i,0.00017314-0.00054718i,-9.0313e-05+0.0004965i,5.445e-05+0.00045119i
0.0014868+0.00068005i,0.0010367-0.00077546i,0.00055822-0.0012378i,0.00020519-0.002192i,-0.00071221-0.0028505i,-0.0015014-0.0018525i,-0.00090738-0.00076507i,0.00019757-0.00067614i,0.00076718-0.00039703i,0.00068787-0.00022062i,-0.00013529+0.00017346i,-0.00079085-0.00037397i,-0.0013832-0.0015833i,-0.0011642-0.0016383i,-0.00071407-0.00061447i,2.1738e-05+0.00012056i,0.00021347-0.00040026i,-0.000136-0.0013141i,0.00044637-0.0007692i,2.2779e-05+0.00033914i,-0.00068774+0.00011122i,-0.00034855-1.6269e-05i,-0.00019325+0.00036326i
-0.0034162+7.1983e-05i,-0.0031179+0.00079605i,-0.0022446+0.0016388i,-0.0022691+0.0014301i,-0.0023383+0.00016142i,-0.00075644-0.00073997i,0.0006456-0.0013952i,0.00025091-0.0020238i,-0.00034326-0.0021392i,-0.00044367-0.0012873i,-0.00046741-0.00053545i,-0.00020792+0.00040753i,-0.00057941+0.00037929i,-0.00076811+0.00063839i,-0.00056679+0.0013255i,-0.00067484+0.00048349i,-0.00041878-0.0006506i,-0.00012093-0.00044861i,-0.00011702+0.00013476i,-7.6586e-05+0.00051734i,-0.00075273+0.00099431i,-0.0011646+0.00043237i,-0.00050563-0.00037318i
0.00022393-0.0016178i,0.00034248-0.0020304i,-2.5199e-06-0.00194i,-0.0012132-0.0011139i,-0.0029794-0.0015266i,-0.0031731-0.0017511i,-0.00085695-0.0011488i,-0.00027635-0.0012512i,-0.0013912-0.00016345i,-0.0013167+0.00096798i,-0.00017984+0.0001308i,0.00021596+8.6418e-05i,0.0003112+0.00094792i,0.00062686+0.00088868i,4.4051e-05+0.00050222i,-0.00049006+0.00040174i,-0.00052918+0.00042674i,-0.00072654-9.0955e-06i,-0.00047252-0.00050889i,-0.0011971-0.00013429i,-0.0012424+0.00044269i,-0.00021024+0.00026161i,-0.00010981+0.00048477i
-0.0019164+0.0015093i,-0.0011688+0.0024217i,-0.0016469+0.0013241i,-0.0019975+2.1524e-05i,-0.0018835+7.3822e-05i,-0.0014496+0.00016456i,-0.00035715-0.00021565i,-0.00013261-0.0013037i,-0.00015788-0.00060644i,-0.00032679+0.00086167i,-0.00049864+0.00052829i,-0.00028666+0.00038106i,-7.5046e-05-0.00019556i,0.00067386-0.00088356i,0.00054855-0.00065949i,-0.00023251-0.00015869i,-1.7655e-05+0.00031891i,-0.00013479-8.9865e-05i,4.2215e-05-0.00035056i,0.00046221-4.5832e-05i,-0.00020013+0.00057565i,-0.00066071+0.00098653i,-0.00041756+0.00028861i
-0.0017838-0.0015031i,-0.0029502-0.00074203i,-0.0023005-0.00063414i,-0.0021271-0.0013844i,-0.0021547-0.0011976i,-0.0012652+0.00030818i,6.6308e-05-0.00012025i,0.00072056-0.0013008i,0.0002592-0.00094377i,-0.0002105-0.0002262i,-0.00051737-8.9745e-05i,-0.00058423-0.0001348i,-0.00019397-7.9046e-05i,-3.2695e-05+3.6526e-05i,1.6271e-05+5.3465e-05i,0.00016501+2.9565e-05i,0.00019167-0.00014552i,-0.00014767-0.00034804i,3.6397e-05-0.00024466i,0.00068118+0.00013734i,0.00065371+0.00062475i,0.00013117+0.00108i,3.659e-05+0.00096986i
0.0027549+0.0004464i,0.0033782-0.00068888i,0.0025837-0.0008697i,0.0011809-0.0016523i,-0.00017622-0.0022182i,-0.00092779-0.0024339i,-0.00027982-0.0023229i,9.0368e-05-0.0018813i,-5.0597e-05-0.00065477i,-0.00025928+0.00033635i,-0.00020973-1.5662e-05i,-0.000452-0.00028682i,-0.00095601+2.2264e-05i,-0.00020753-0.00016584i,-3.0933e-05-0.00034784i,-0.00059019-0.00091996i,-3.3989e-05-0.00098915i,0.00026573-0.00060468i,0.00012849-4.5744e-05i,-2.3358e-05+0.0003638i,-0.00030041+0.00015957i,-0.00057324+0.00048609i,-0.00070502+0.00035375i
-0.0019674+0.0021361i,-0.00096798+0.00066559i,-8.3196e-05-0.00052357i,-0.0012132-0.001195i,-0.0018264-0.0020409i,-0.0012547-0.0017862i,-0.00054955-0.0015693i,1.0156e-05-0.0012957i,0.00013184-0.00023017i,-0.00024524+0.00017417i,-0.00078199+0.00014015i,-0.00082329+0.00035045i,-0.0016623+0.00024892i,-0.0019562+0.00010433i,-0.0012324+0.00044946i,-0.00046395+0.00031778i,-0.00023075-0.0005397i,8.2374e-05-0.00066746i,0.00029253-0.00019099i,-0.00029165-0.00013526i,-0.00027774+0.00024506i,-0.00017153+0.00046467i,-5.8581e-06-0.00064223i
0.0010339+0.00017249i,0.0027036+0.00022366i,0.0022673+0.0010902i,0.00070263+0.00052116i,-5.6061e-05-0.00092457i,-0.00035772-0.0017717i,-0.00026608-0.0025633i,-0.0004286-0.0028716i,-0.0009091-0.0017949i,-0.00012547-0.00041722i,0.00022984+0.00058149i,-0.00045245+0.00068622i,-0.00080446+0.00019386i,-0.00075603+0.00035009i,2.44e-05+0.00074484i,-0.00015379+8.8023e-05i,-0.0010433-0.0003478i,-0.0013056+0.0001329i,-0.0012285+0.00031672i,-0.00046281-0.00022084i,0.00042469-0.00047639i,0.0010555+2.6565e-05i,0.00093537+0.00018928i
-0.00059682+0.0011029i,-0.001284+0.0010432i,-0.0028429+0.00038435i,-0.0033142+0.0001475i,-0.0029888+0.00095971i,-0.0016818+0.00068861i,-3.3477e-05-0.00062278i,0.0001484-0.00093263i,-0.00057643-0.0007799i,-8.3813e-05-0.0001571i,0.0003428+0.00013278i,0.00026057+1.8925e-05i,9.2353e-05+0.00017436i,0.00033011+2.755e-05i,0.00074194+0.00013958i,0.00077101+0.00047174i,0.00067201+0.00028615i,0.00054482+3.9723e-05i,0.00049624-0.00056018i,7.0369e-05-0.000826i,-8.6827e-05-0.0004726i,-0.00011242-8.551e-05i,-0.00042808+0.00043374i
-0.0024179-0.00028643i,-0.0021114+0.0005438i,-0.00012869+0.0007651i,0.00031013-0.00020016i,-0.00072667-0.0017571i,-0.0014664-0.0016428i,-0.001846-0.00070904i,-0.0014912-0.00071694i,-0.00082957-0.0010021i,-0.00027588-0.0004259i,0.00031987-0.00025117i,0.00042677-0.00065832i,3.3361e-05-0.00045618i,-0.00096875-0.0002346i,-0.0010968+8.6054e-05i,-0.00056106+0.00041394i,-0.00026398+0.00056872i,-0.0002679+0.00052208i,-0.00065501+0.00031136i,-0.0012662+0.00049497i,-0.0010123+0.00095665i,-0.00048034+0.00083833i,-0.00068845+1.2692e-05i
