0.0014898+0.00026358i,0.0022459-0.00024533i,0.0016239-0.0013668i,9.2577e-05-0.0023042i,-0.0015315-0.0017383i,-0.0019383+0.00025802i,-0.00070039+0.0017023i,0.00055509+0.0017456i,0.0011909+0.00062066i,0.00075064-0.00072181i,0.00047235-0.00079051i,0.00027934-0.00056085i,-3.5011e-05-0.0010194i,-0.00012768-0.00053023i,0.00054488+0.00042296i,0.00086925+0.00049315i,0.00041488-6.1593e-05i,-5.7511e-05-0.00059107i,-0.0009307-0.0012366i,-0.00060649-0.0016824i,-0.00022989-0.001068i,7.9918e-05+0.00023731i,0.0011489+0.0010178i
-0.00038034+0.0013558i,-0.00089675+0.0015667i,-0.0012884+0.0016816i,-0.0012882+0.0012782i,-0.00090928+0.00088126i,-0.00094611+0.00092245i,-0.00087497+0.00077691i,0.00015236+0.00071738i,0.00062561+0.00024117i,0.00094567-0.00047137i,0.001232-0.00014382i,0.00058463-0.00030469i,-0.00043778-0.00088329i,-0.00030903-0.00013001i,0.00017921+0.00075688i,-6.7548e-05+0.00079696i,6.1536e-05+0.0011471i,7.6069e-05+0.00072147i,5.0589e-05-6.3941e-05i,0.00010498-5.2629e-05i,0.00019974-3.9758e-05i,-0.00034851+0.00028495i,-0.0009618+0.000689i
-0.00011554-0.00054232i,-0.0006712-0.00013417i,-0.0010618-0.0010859i,-0.00050712-0.001241i,-0.00016748-0.00052265i,-0.00019323-0.00044574i,-4.201e-05-0.00053642i,0.00025086-7.0816e-05i,6.5457e-05+0.00013075i,-8.5795e-05-0.00033864i,-0.001063-0.00088162i,-0.0012788-0.001093i,-0.00053707-0.00058167i,0.00026986+0.00024529i,8.3956e-05+0.00072426i,-0.00021985+0.00047205i,0.00070275-0.0002228i,0.00057781-0.00055414i,-0.0003367-0.00097219i,-0.00056409-0.00079533i,-0.00028268+0.00013542i,0.00015502+0.00033858i,2.8296e-05-2.3145e-05i
-0.0023256+0.00135i,-0.0018583+0.0011333i,-0.00022158+0.0012237i,0.00033812+0.00072529i,-0.00047808+0.00014229i,-0.00092913+6.4538e-05i,-0.00053529+0.00074569i,-0.00016249+0.00076628i,0.00014891-0.00022288i,-6.0365e-05-0.00070164i,-0.00013348-0.00053939i,0.0001318-0.00066432i,-0.00026499-0.00070904i,-9.601e-05-0.00070495i,0.0005979-0.00016237i,0.00049413-3.4939e-05i,-0.00043875-0.00028983i,-0.0014145+0.00034894i,-0.001753+0.00072925i,-0.00069869+0.00020992i,-0.00013512-0.00019773i,0.00030252+0.00013408i,0.00053605-0.00013445i
-0.0010383+0.00024238i,-0.0014438+0.000237i,-0.0016664+0.00045415i,-9.1741e-05+0.00051003i,0.00045265+0.00031823i,-0.00027997-4.4858e-05i,-0.00033669-0.00041219i,0.00029201-0.00018443i,0.00030852-0.00017803i,-0.00033053-0.00073147i,-0.00051612-0.00067058i,-0.00012308+0.00018807i,0.00016764+0.00089509i,-0.00026352+0.0010689i,-0.00022928+0.001i,0.00035126+0.00083215i,0.00047551+0.00012528i,-0.00047598-0.00058367i,-0.00063003-0.00054847i,0.00039318-0.00064675i,0.00046652-0.00064847i,-1.652e-05-0.00023379i,0.00022515-0.00039895i
-0.0011131-0.00025449i,-0.00052732-1.0587e-05i,-5.5391e-05+0.00025558i,-0.00072179-4.9111e-05i,-0.0012442-0.00031796i,-0.00065754+0.00043938i,-0.00012991+0.0010418i,-0.00017653+0.00082913i,0.00012111+0.00031083i,0.00029663+0.00025775i,0.00034389+0.0003015i,0.00044534-0.00028374i,0.00024976-0.00051072i,-0.00055798-0.00037741i,-0.00095966+0.00030764i,-0.00058062+0.00040819i,-0.00031873-0.00031468i,-0.00038922-0.00035526i,-0.00059313+0.00065134i,-0.0002498+0.00098159i,-0.00026488+0.00045403i,-0.0005751+0.00039902i,4.7157e-05+0.00019253i
0.00030416-0.0015897i,0.00014706-0.00050554i,-0.00075115-7.9537e-05i,-0.00026181-0.00016741i,-0.00014933+0.00016989i,-0.00054079+0.00052704i,-0.00040433+0.00059661i,-0.00032132+0.00081134i,-0.00036331+0.00063785i,-4.2805e-05+0.000321i,0.00055229+0.00020932i,0.00082623-0.00047553i,0.00041375-0.00034386i,7.8654e-05-0.00014545i,0.00011576-0.00021421i,4.9125e-05+5.9502e-05i,-0.00032445+0.00024409i,1.0754e-05+0.00061606i,0.00062905+0.00015457i,0.00066938-0.00055543i,0.00051503-0.00044903i,0.00041936-0.00019462i,-0.00016554+0.00053018i
0.00022173-0.00048074i,0.00049688-0.0016187i,4.8804e-05-0.0019495i,-0.00081344-0.0011885i,-0.0012454-0.0011425i,-0.0018913-0.00031082i,-0.0012672+0.00044625i,4.9305e-05+9.8006e-05i,0.0002965-3.6613e-05i,-4.5767e-05-0.00025204i,-0.00032048-0.00080801i,-0.00047519-0.0012309i,-0.00032568-0.00076471i,-0.00069991+2.0335e-05i,-0.00052277-6.9652e-05i,-0.00044035+0.0006234i,-0.00060621+0.00097737i,0.00012027+5.6723e-05i,0.00028787-0.00017674i,-9.2041e-05-0.00012611i,-0.00046277-0.00013425i,-0.00076826-0.00023689i,-9.7992e-05+2.3354e-05i
0.0025473+0.00082619i,0.0031299+0.00095064i,0.0032504-0.00014624i,0.002118-0.0014274i,2.5099e-05-0.0011231i,-0.00082066-0.00017489i,-0.00022456+0.00066097i,0.00064014+0.00072038i,0.00087937+1.6535e-07i,0.00055271-0.00087832i,0.00043595-0.0011075i,0.00078568-0.0012066i,0.00023153-0.00075593i,-0.00044239-0.00015504i,0.00084738-0.00015166i,0.0012132+0.00034419i,4.5474e-05+0.00047718i,-0.00038685+0.00013796i,-0.00078709-0.00044913i,-0.00013608-0.00052483i,0.00063463-0.00022434i,0.00052268-0.00019914i,0.00030869+0.00014563i
0.00036118-0.00022632i,-8.1958e-05-8.2745e-05i,-0.00047079+0.00086521i,-0.00027412+0.0015053i,0.00030076+0.00036654i,-8.3048e-05-0.00031248i,-0.00055745+0.00017671i,-0.00022037+0.00036397i,5.1605e-05-0.00051282i,-2.4311e-05-0.00095486i,-0.00019753-0.00098781i,0.00044156-0.00094272i,0.00088796-0.00095206i,0.00043263-0.00061454i,0.00026047+0.00021003i,-0.0001267+0.00079635i,-0.0004372+0.00043612i,-0.0001257-0.00030805i,-0.00021501-0.00035882i,-0.00015397-0.00060535i,0.00011565-0.00078137i,0.0010887-0.00042139i,0.0012896+1.9961e-05i
0.00021149+0.00050547i,0.00098593-0.00047931i,0.0011744-0.0019248i,0.00024521-0.0020325i,-0.00089254-0.0013415i,-0.0010882-0.0010829i,-2.3823e-05-0.00070006i,0.00061859-0.00054185i,0.00068178-0.0011205i,7.1674e-05-0.0013291i,-0.00080146-0.0011397i,-0.00041706-0.00091345i,-0.00016794-0.00085017i,-6.4748e-05-0.00098243i,-0.00019268-0.00087344i,7.9951e-06+0.00019162i,0.00068084+0.0012875i,1.9331e-05+0.0010953i,-0.00023876-0.00023445i,0.0005818+0.00013204i,-0.00025045+0.00065362i,-0.0012159+2.7778e-05i,-0.00089978-0.00031569i
9.3634e-05+0.0016335i,0.0006382+0.0015816i,0.0017595+0.00096262i,0.0019365-0.00040847i,0.0004037-0.0011294i,-0.00056453-0.00066633i,-0.00014704+0.00018662i,0.00076948+0.00077122i,0.00075013-5.6205e-06i,9.7266e-05-0.00012061i,0.00026314+2.9182e-05i,0.00092905-0.00091339i,0.0002972-0.0014171i,-0.00066975-0.0012275i,-1.4957e-06-0.00084946i,0.00084206-0.00078807i,0.00086082-0.00062102i,0.00042937-0.0004331i,-0.00050707-0.00073439i,-0.00063462-0.00072526i,9.7017e-06-0.00051177i,-0.00030299-0.00057754i,-0.00037213-0.00055385i
-0.00086234-0.0034353i,-0.00058892-0.0031081i,-0.001867-0.0027498i,-0.0028978-0.0011346i,-0.0024594-0.00015293i,-0.0017909+0.00020979i,-7.188e-05+0.00058721i,0.0010431+0.00058243i,0.0009182-0.00089099i,0.00017176-0.0016105i,-0.00080991-0.00051675i,-0.00047571-0.00053815i,1.9671e-05-0.00066647i,-0.00073306+0.00014078i,-0.00047122-2.2992e-05i,0.00047107+0.00010402i,0.00044126+0.0006639i,-0.00065088+0.00023996i,-0.00088538-0.0010373i,-0.00051508-0.0012804i,-0.0010156-0.0010639i,-0.00075946-0.00088754i,-0.00031343-0.00065285i
-0.0014758-0.0013738i,-0.00075481-0.00088083i,-0.00094423-0.0007613i,-0.00062178-0.00084683i,-0.00041916-0.0009374i,-0.00062279-0.0002813i,-0.0005216+0.00048197i,0.00038765+0.00067226i,0.00091056+2.7898e-05i,0.0001527-0.00013737i,-0.00013488-0.00012749i,0.00076692-9.2298e-05i,0.00039641-0.00018411i,0.00016803+0.00043242i,0.00051044+0.00053352i,-2.6023e-05+8.2771e-05i,-0.00034393-0.00010655i,-0.00046653-0.0001775i,-0.0001173-0.00041355i,-9.3254e-05-0.00017279i,-0.00017989+7.5275e-05i,0.00036811-0.00019264i,0.00070279+0.00036132i
-0.00011927+0.00029503i,-0.00052674+0.00069643i,-0.0013543+0.00072096i,-0.0016824+0.0007217i,-0.00090411+0.00032704i,-0.00065355-0.00015984i,-0.00016585-9.3325e-05i,0.00073308-8.3064e-05i,0.0008843-0.0004065i,0.00012598-0.00067086i,-0.00018527-0.00036015i,-2.6802e-05-0.00022941i,-0.0002135-0.00084332i,0.00011024-3.666e-05i,0.00059502+0.00098661i,0.0011667+0.0007315i,0.0011067-1.9118e-05i,0.00077059-0.00056747i,0.0004615-0.00036943i,2.622e-05+0.00033598i,-0.00032314+0.00044925i,0.00050603-0.00029172i,0.00063925-0.0006414i
0.00019258-0.00041004i,0.00023235-0.00026556i,4.4002e-05-0.0014941i,-0.00036085-0.001718i,-0.00056226-0.00076853i,-0.0011794-7.9178e-05i,-0.00075236+0.00032947i,-0.00010002-0.0002473i,-0.00026079-0.00084464i,-0.00021073-0.00014165i,-0.00040295+7.0817e-06i,-0.00026033-4.5587e-05i,-0.00015493+0.00021941i,-0.00037864-0.00051635i,-0.00017811-0.00017775i,0.00017342+0.00088088i,-2.0077e-05+0.00030338i,-1.335e-05-0.00026186i,0.00010291-0.00047431i,-0.00020166-0.00069996i,-0.00088395+3.7189e-05i,-0.00073158+0.00037857i,0.00025718-0.00035993i
-0.0029061-0.00010102i,-0.0038035+0.00019801i,-0.0042579+0.00075909i,-0.003103+0.0014417i,-0.0016402+0.00099945i,-0.00098473+0.00041458i,-0.00039623+0.0013195i,-0.00031597+0.0011567i,-0.00017332+0.00058372i,-8.8101e-05+0.0008684i,-0.00025409+0.00057405i,-0.00019642-2.3689e-05i,-0.0003911+0.00022197i,-0.00022687+0.00082682i,0.00042752+0.00026326i,-4.7635e-05+0.00020434i,-0.00084047+0.00038597i,-0.0015518+0.00013503i,-0.0019827+6.7413e-05i,-0.0014529+0.00036974i,-0.0008472+0.00057803i,-0.00033653+0.00048467i,-1.5493e-05-2.115e-05i
7.0166e-05+0.0014231i,-0.00099083+0.0018231i,-0.00047023+0.0010989i,-0.00035214+0.00042783i,-0.00054225-0.00020099i,-0.00066386-0.00051592i,-0.00099258-0.00030834i,-0.0006132+0.00016087i,-0.00052166-5.7163e-05i,-2.8708e-05-0.00071179i,0.0013004+0.00012104i,0.0017311+0.00026798i,0.00075569-0.00014402i,3.4349e-05-0.00033857i,6.8176e-05-0.00024671i,0.00056273-8.2136e-05i,0.00076899-0.00046412i,0.00029138-0.00023521i,-3.1077e-05+0.00070873i,0.00034171+0.0012764i,0.00031817+0.0009723i,-0.00013253+0.00045743i,-0.00014308+8.1991e-05i
0.0019081+0.00088992i,0.0021797+0.00121i,0.0020764+0.00060935i,0.00095405-0.0010367i,-0.00023443-0.0016947i,-0.0017733-0.00095518i,-0.0018487+0.0003947i,-0.00016122+0.00096429i,0.0010606+0.0007435i,0.0010168+0.00027692i,0.00037722+5.1521e-06i,0.00028282+0.00028221i,0.00011773+0.00039054i,-0.00023268-0.00025366i,-0.00019077-0.00045034i,0.00045015+8.4602e-05i,0.00066058-7.4409e-05i,0.00029545-0.00066216i,-0.000315-0.00092541i,-0.00015326-0.00073535i,0.00085864-0.00062495i,0.0012118-0.00024649i,0.00069734-6.1771e-05i
0.0010776-0.0011023i,0.0010806-0.00034793i,0.00077344-0.00046483i,0.00058588-7.7193e-05i,-0.0004358+0.00054172i,-0.00092092+0.00012193i,-5.7707e-05+9.0054e-05i,0.00060469+0.00040826i,0.00061571-0.00018659i,0.0010085-0.00077815i,0.00093842-0.00033006i,-0.0003142-0.00015895i,-0.00062255-0.00059016i,-0.00046479-0.00051672i,-0.00062996-0.00017688i,-0.00050959+1.9354e-05i,0.00025017-0.00020519i,0.0011302-0.00082622i,0.00068832-0.00068325i,-7.9911e-05-0.00024464i,-0.00026269+8.005e-05i,-0.00044752+0.00043188i,-0.00032328+0.00016484i
0.0026987+0.00031688i,0.0033019+0.0012463i,0.0033706+0.00044999i,0.00176-0.0010773i,3.1448e-05-0.0012501i,-7.6008e-05-0.00075682i,0.00077179+0.00056569i,0.00092295+0.0010719i,0.00025171-0.00078478i,-2.5785e-05-0.0015037i,0.00050654-0.00078316i,0.00056484-0.00050472i,0.00027487-0.00084562i,-0.00018766-2.3181e-05i,0.00036627+0.00089112i,0.00087154+0.00052758i,0.00031007-0.0001421i,-0.00017053-0.00055412i,-0.00046824+3.1061e-05i,-0.00047604+0.00030351i,9.9237e-05+0.00019596i,0.00016616+0.00046701i,8.7065e-06+0.00025983i
-0.00064425-0.00076592i,-0.0009577-0.00033341i,-0.0011734-6.6872e-05i,-0.0014995-0.00029827i,-0.0014652-0.00049018i,-0.0005442-0.00012389i,-6.02e-05+0.00032411i,0.00018943+0.0004614i,-0.00011818+0.00022293i,-0.00093456-0.00027544i,-0.0008755-0.00065878i,-7.8248e-05-0.00043974i,-0.00012184-0.00028446i,-0.00048592-0.00012136i,-0.00048132+0.00030167i,-0.00036877+0.0004765i,-0.0004627-5.1164e-05i,-0.00067374-0.00085871i,-0.00022477-0.0007823i,-0.0005044-0.00049169i,-0.00029232-0.00068363i,-0.00012777-0.0003106i,-0.00081611-0.00024192i
0.00026976+0.00037889i,0.0003242-8.6335e-05i,0.00042755+0.00016839i,-0.00018726-0.0010675i,-0.00084071-0.0014801i,-0.0012202+7.9632e-05i,-0.00077715+0.00086798i,0.00037864+0.00045714i,0.00025173-0.00031076i,-3.1164e-05-0.00086645i,0.00056981+8.1387e-05i,3.2684e-05+0.00047639i,-0.0005392-0.00046788i,-0.00029032-0.00064515i,0.00015528+3.8747e-05i,0.00044744+0.00019697i,0.00022913+9.7628e-05i,-0.00013282+0.00013482i,-3.4176e-05+0.00019184i,-0.00041428+7.6664e-05i,-0.00049622-0.00038223i,0.0003458+0.0002193i,-6.3416e-05+0.0010684i
-0.00047681+0.0010404i,-0.0006131+0.0013122i,-0.00087891+0.0011755i,-0.0004422+0.0014959i,-0.00030849+0.0017095i,-0.00016176+0.0020992i,0.00010135+0.0021567i,0.0003352+0.001453i,0.00061201+0.00057034i,-0.00015525-0.00013862i,-0.0007294-0.00080472i,0.00015337-0.00088913i,0.00062523+0.00017321i,0.00029523+0.0010965i,-0.00028543+0.0015078i,-0.00055466+0.00063185i,-0.00029404-0.00038764i,-0.00036061-0.00083762i,-0.00087993-0.00094374i,-0.0014138-0.00071828i,-0.00092472-0.00067104i,-0.00037261-0.00053584i,-0.00073444-0.00028738i
0.00096119-0.0023199i,-5.8915e-05-0.0022276i,-0.00056272-0.0018761i,-0.001335-0.0011959i,-0.0018729-0.00040751i,-0.00076353+0.0004779i,0.00062839+0.0012737i,0.0012995+0.00084362i,0.0010513-0.0003675i,-0.0001161-0.00092442i,-0.00073543-0.00071148i,-5.1494e-05-0.0010903i,5.5473e-05-0.0013888i,-0.00097236-0.00044534i,-0.00080918-0.00053266i,-0.0003157-0.00061879i,-3.9687e-05-0.00018122i,0.00051407-0.00047654i,0.00067525-0.00065926i,0.00087484-0.00030802i,0.00047553+0.00047392i,-0.00069542+0.0011145i,-0.00098385+0.00040452i
0.001153-0.0012748i,0.0013191-0.0011031i,0.0016397-0.0015043i,0.0015433-0.0012808i,-0.0002005-0.0012787i,-0.0017504-0.0017591i,-0.00091616-0.00070994i,0.00047727+0.00031194i,0.00017142+1.382e-05i,-0.00051452-0.00011247i,-0.00027164-1.6881e-05i,-0.00013986+8.1107e-05i,-0.00040504+0.00014196i,-0.00032343+0.00036807i,0.00020806+0.00038157i,0.0002634+9.191e-05i,0.00033801-0.00011302i,0.00073394-6.642e-05i,-2.2477e-05-0.00032673i,-0.00020803-0.00020881i,-0.00021421+2.5266e-06i,-0.00058834-0.00027524i,-0.00023938-0.00046685i
0.0019437-0.0007663i,0.00018605-0.00037104i,-0.0005451-0.0009033i,-3.5357e-05-0.00073886i,-0.0006884-0.00053552i,-0.0014669-0.00062532i,-0.0012296-0.00010158i,-0.00030726+0.00037992i,0.00053931+6.632e-05i,0.00035847-0.00026929i,-0.00029668-0.00016585i,0.00013293-0.0004719i,0.00026438-0.0010267i,-0.00055532-0.00080555i,-0.00032041-0.00034555i,0.00024854+0.00034117i,0.00061743+0.00011668i,0.00059628-0.00032946i,0.00011712-3.2638e-05i,0.00012303+0.00075336i,0.00019514+0.0014207i,0.00041339+0.00127i,0.00052702+0.00043901i
-0.0012571+0.0013172i,-0.00091936+0.0012595i,-0.00052168+0.0011417i,-0.00040893+0.00023056i,0.00031477+0.00046363i,0.00065184+0.0010483i,-0.0002095+0.0010538i,0.00047686+0.00031421i,0.0010326-0.00055239i,0.00024734-0.00062336i,0.00013656-0.00057579i,0.00016779-0.00082018i,4.1809e-06-0.0007919i,4.1187e-05-0.00013561i,0.00041942+0.00035147i,0.00080628+0.00038226i,0.0013351-0.00015673i,0.001257-0.00024498i,7.9981e-05-0.00032139i,-0.0010357-6.0577e-05i,-0.0010436+9.0104e-05i,-0.0002633+6.9689e-05i,-3.5473e-05-0.00012035i
-0.00071114+0.0026607i,-0.0012509+0.0021084i,-0.0011783+0.0018461i,-0.00090703+0.0015899i,-0.00085426-6.5865e-05i,-0.00031431-0.00039552i,0.00011933+0.0010001i,8.0928e-05+0.0010746i,0.0001119-0.00026759i,0.00029448-0.000378i,0.00085198+5.2265e-05i,0.00083714+0.00011364i,0.00045231+0.00036287i,0.00068445+0.00043267i,0.00079039+9.1652e-05i,0.00059838-9.011e-05i,0.00035888+8.3076e-05i,0.00052812-5.0126e-05i,0.00078669+0.00018843i,0.00087713+0.00061091i,0.00043867+0.00046645i,0.00033827+0.00012616i,0.00054788-0.00016508i
0.00059956+0.0016232i,0.00026934+0.0017475i,0.0002472+0.00072018i,8.5953e-05+0.00051385i,-0.00014713+0.00062639i,-0.00020126+0.00043715i,6.279e-06+0.00033169i,-2.2697e-05-8.481e-05i,0.00018302-0.00045163i,0.00046104-0.00061577i,0.00061335+0.00016214i,0.00086654+0.00025549i,0.0002709-0.00043942i,-7.3606e-05-0.00060821i,0.00075573+0.00018023i,0.00073606+0.00059837i,0.00016306+8.1999e-05i,-2.975e-05-0.00055944i,-0.00037312-0.00082088i,-0.00024692-0.00088302i,0.00040035-0.00055038i,0.0001468+0.00013971i,-0.00023419-0.00029996i
-0.0020452+0.00070234i,-0.0019559-0.00055411i,6.0052e-05+0.00030339i,0.00060144+0.0007832i,-0.00055878+1.0517e-05i,-0.0011195-0.0002013i,-0.0011408+0.00075257i,9.0802e-05+0.0011987i,0.0011759-0.00029385i,0.00077179-0.0012408i,7.5189e-05-0.00074693i,0.00010757-0.00076423i,8.5993e-05-0.00069109i,-5.0896e-05-0.00011816i,1.9424e-05+0.00075743i,0.00019311+0.00099892i,-7.4935e-05+0.00028757i,-0.00043873-5.5512e-05i,-0.00072636+0.00032098i,-0.00039638+0.00083749i,-8.947e-05+0.00082693i,-4.1941e-05+0.00041536i,-0.00023954+0.00036534i
0.00036222-0.0010226i,0.00031435-0.00088062i,0.00061532-0.0011271i,0.0004105-0.0015234i,-0.00024947-0.0012881i,-0.00085751+7.3592e-05i,-0.0001104+0.0011501i,0.0006942+0.00050053i,0.00047962-0.00028881i,-0.00013766-0.00055085i,0.00017369+1.8822e-05i,0.00031913+0.00013609i,-0.00033464-0.0010889i,-0.00081624-0.00074257i,-0.00071591-7.9924e-05i,-0.00015868+3.5036e-05i,-0.00032889-6.6594e-05i,-0.00076452-0.00063403i,-0.00078981-7.4111e-05i,-0.00052885+0.0009559i,0.00042377+0.0009656i,0.0012787+0.0005877i,0.00015073-0.00022501i
