-0.00078483+0.0015642i,0.00044284+0.00025302i,-0.00020841-0.00063516i,-0.00073087-0.00021346i,-0.0013988+9.8404e-05i,-0.0022363+0.00010318i,-0.0021932+0.0012472i,-0.0016267+0.0018187i,-0.00013833+0.00099854i,0.0013182+0.00017426i,0.0012738+5.2016e-06i,1.2313e-05-0.00045371i,-7.0464e-05-0.0011322i,5.0874e-05-0.0012522i,-0.00060307-0.0003775i,-0.00065522+0.00044488i,0.00015625+0.00029754i,0.00059313+8.5808e-05i,0.00013107-0.00023067i,0.00022378+5.6819e-05i,0.00037721+0.00077238i,-2.1153e-06+0.0005662i,-0.00044663+0.00053768i
-0.0025632+0.0010161i,-0.0029447+0.00061888i,-0.0032253+0.0015376i,-0.001656+0.0016226i,0.00024181+0.000575i,0.0007274+0.00088646i,0.00010367+0.0012725i,-8.5463e-05+0.0012052i,-9.5837e-05+0.00081334i,0.00015594+0.00026346i,1.0862e-05-0.00014727i,-0.00067194-0.00083529i,-0.00031158-0.001819i,0.00029415-0.0014774i,0.00021471+5.4436e-05i,7.5132e-05+0.00065553i,-0.00010917+0.00017258i,-0.00067738-0.00056321i,-0.00075862-0.00060466i,-0.0001857-0.00035231i,-0.00049883+0.00019459i,-0.0011816+0.00059732i,-0.00094718+0.00056263i
0.0023364-0.001104i,0.0024929-0.0017469i,0.0024984-0.0030338i,0.0014919-0.0028164i,0.00045862-0.0016582i,0.00069076-0.00086657i,0.00047728+0.00045685i,0.00021991+0.0018324i,0.0005613+0.0010902i,0.00011872-0.00111i,-0.00045463-0.0013414i,0.00028398-0.0003209i,0.00050426+0.00037174i,1.1008e-06+0.00070147i,-0.00019804+0.00094379i,-0.00016505+0.00073508i,0.00027883+0.0011627i,0.00018513+0.0013137i,-0.00023647+0.00091992i,-0.00080757+0.0010048i,-0.0011461+0.00059513i,-0.00011087-0.00061542i,0.00037318-0.00049692i
-0.0012863+4.3849e-05i,-0.00030129-0.00012793i,0.0003574-8.2072e-06i,0.00079528+0.00070218i,0.0010863+0.001117i,0.00065286+0.0011719i,0.00050888+0.001298i,0.00027185+0.0012183i,-7.5638e-06+0.00093932i,7.4121e-05-0.00014377i,-2.7885e-05-0.0011776i,0.0001702-0.0013323i,0.00035057-0.0010381i,0.00034577-0.00022668i,-7.4409e-05+0.00044396i,-0.00067451+0.00082191i,-0.00028667+0.0011066i,0.00011567+0.001035i,-0.00014292+0.00042524i,-0.00036907-0.00034373i,0.00010459+0.00025671i,-0.00019327+0.00057172i,-0.00060611+0.00027799i
0.0020991-0.00031993i,0.0029385-0.0007349i,0.0028793-0.0012155i,0.0019895-0.0022183i,0.0010897-0.0021562i,-0.00016268-0.0011525i,-0.00067906-0.00047641i,-0.00028089+9.1627e-05i,-0.00041242+0.00042426i,-0.00015737+5.7109e-05i,-7.4189e-05+3.5205e-05i,-0.00094738+0.00026433i,-0.0011076+5.2305e-05i,-0.00048613+0.00026208i,-6.1801e-05+0.0010625i,-0.00019228+0.0015278i,4.0904e-05+0.0011136i,-0.00069994+0.00062158i,-0.00068918+0.00074219i,5.7635e-05+0.0003965i,-0.00018997+5.1726e-05i,-0.00043655-0.00021014i,-0.00014376-0.00059601i
-0.0013984+0.00067534i,-0.00079706+0.00053159i,-0.00033719+0.0016865i,0.00015001+0.0021319i,0.00024207+0.00074793i,-0.0002684+0.00014849i,-0.00042761+0.00050054i,0.00053588+0.0014768i,0.00093069+0.0011619i,-0.00020446-8.548e-05i,-0.00063173-0.00029596i,-0.00057184+0.00023605i,-0.00062809+0.00018024i,-0.00072456+0.00021009i,-0.00062536-0.00013127i,-0.00021477-0.00040239i,-0.00019633-0.00063178i,-0.0004441+0.0001638i,-0.00036647+0.00030444i,-0.00048962+2.1844e-05i,-0.00080006+0.00011043i,5.9089e-05-0.0003594i,0.00065176-0.00048134i
0.0029882+0.00056675i,0.002347+0.00099703i,0.0014247-0.00083989i,0.0012477-0.0020372i,-0.00026582-0.0021942i,-0.0013294-0.0015344i,-0.00033642-0.00048467i,0.00033014+0.00063494i,0.00068051+0.0010478i,0.0011402+0.00050075i,0.0013643+2.3451e-05i,0.00091056+0.00021186i,-0.00025804+0.00056967i,-0.0013649+0.00093374i,-0.00041585+0.0011023i,-0.00026087+0.00074301i,-0.00098182-9.7338e-05i,-0.00044911-8.7692e-05i,-0.00021121+0.00027172i,-0.0002497-0.00027659i,-8.7678e-05-0.00036293i,-5.4673e-05-9.1522e-05i,-3.7635e-05-0.00018848i
-0.00075712+0.0016032i,-0.00090062+0.00075658i,-2.9639e-05+0.00049821i,0.0010849+0.00030006i,0.00059074-0.00061638i,-0.00036782-0.00036935i,-0.00031094+0.00098221i,-0.00012154+0.0018587i,0.00013268+0.0015155i,0.00038014+0.00045893i,0.00027354-0.0009855i,0.00010046-0.0012735i,4.2138e-05-0.00040055i,0.00026129+5.9225e-05i,0.0005324+0.000368i,-0.00036199+0.0005501i,-0.00075453+0.00092173i,-0.00034098+0.00046141i,0.00042913+0.00038002i,0.00093893+0.0010217i,0.00048456+0.00090932i,0.00044445+0.00045666i,-0.00037431+0.00012401i
0.00029509+0.00015026i,-0.00096695+0.00085328i,-0.00062805+0.001131i,0.00073705+0.00063695i,0.0010514-0.00090199i,0.00044672-0.0017376i,3.8521e-05-0.0011256i,0.00059854+0.0004364i,0.0013204+0.0005313i,0.001025-0.00048001i,0.00066021-0.00071163i,0.00077284-0.00071852i,0.0002092-0.00061702i,-9.819e-05-0.00067537i,2.4275e-05-0.00027059i,-0.00014255-0.00027171i,6.6177e-05-0.00050014i,-5.1025e-05-0.00024637i,-0.00057709+0.00015025i,-0.0010032+0.00024387i,-0.00068075-0.00019761i,-0.0003719-0.00032119i,7.5337e-05+0.00022442i
-0.0023613-0.0014373i,-0.0030127-0.00024543i,-0.0037654+0.0017784i,-0.0022178+0.002736i,-0.00023966+0.0027396i,0.00010676+0.0023861i,-0.00015744+0.0020346i,-0.00047606+0.0018062i,-0.00062556+0.0015625i,-0.00050526+0.00040513i,-0.00013092-0.0006414i,-0.00049205-0.0011257i,-0.00060539-0.001344i,-0.00025886-0.001033i,-0.00069577-0.0010064i,-0.00066771-0.00087081i,1.0989e-05-0.00034537i,0.00056686+0.00019055i,0.00049625+5.4463e-05i,-4.8483e-05-0.00046827i,-0.00045077-0.0010313i,5.7958e-05-0.0011793i,5.8012e-05-0.00043278i
-0.00042309-5.8061e-05i,-0.00054403-0.00099786i,-0.00076001-0.0024989i,-0.00039008-0.0021225i,0.00016953-0.00052425i,-0.00030184-0.00044105i,-0.00056275-0.00056566i,0.00034579-0.00024716i,0.00075035+0.00032121i,0.00034964+0.00061872i,0.00038643+0.00014656i,0.0010632-0.00016078i,0.0010482-0.0002975i,-0.00016654-0.00038055i,-0.00079698+2.0291e-05i,-0.00087801+0.00014414i,-0.0010373-4.681e-05i,-0.00096007+5.6757e-05i,-0.00078671+0.00046314i,-0.00060022+6.992e-05i,-0.00014732-0.00051051i,-0.00011538-5.4288e-05i,-0.00045849+0.00023906i
-0.00067813-0.0020396i,0.001215-0.00029276i,0.00078869+0.00077896i,2.6659e-05-9.5598e-05i,-0.00042796-0.00010082i,-0.00096147+0.00057453i,-0.00054474+0.00091773i,0.00050927+0.0011326i,0.00053101+0.0015173i,4.2492e-05+0.00079329i,-8.2118e-05+0.00033012i,0.00029915+0.00013272i,-0.00027256-0.00019913i,-0.00040598-5.8349e-05i,-0.00035047+0.0003202i,-0.00066359+0.00039583i,-0.00030192+0.00084736i,0.00014079+0.001535i,0.00041352+0.00075935i,0.00063434+0.0001173i,0.00071839-0.0002393i,0.0004983-0.00089438i,0.00048631-0.000588i
-0.0014997+0.0030134i,-0.0015146+0.0024447i,0.0004219+0.0017765i,0.0019023+0.001194i,0.0013279+0.00047825i,0.0010764-4.8015e-05i,0.00014183+0.00075267i,-0.00018092+0.0014114i,0.00081587+0.00096604i,0.00071208+0.00022104i,-0.00027147-0.00012526i,-2.9575e-05+0.00019526i,0.00034977+0.00064604i,-0.00030315+0.00063175i,-0.00042107+0.00090225i,-0.00034821+0.0011602i,0.00053567+0.00098996i,0.0012487+0.00095544i,0.00061779+0.00055648i,-1.0293e-05-0.00037367i,-4.7606e-05-0.00045435i,-0.0001982-0.00030176i,-0.00062581-0.00030204i
-0.00080708-0.00017887i,0.00013429-0.0011419i,-0.00067247-0.00086573i,-0.00044276-8.033e-05i,0.00050976-0.00046391i,0.0002005-0.00083285i,7.1038e-05+0.0004702i,9.0708e-05+0.0014134i,-0.0002353+0.00056658i,-5.2075e-05-0.00037885i,0.00010475-0.0001255i,0.00033173+1.7978e-05i,7.7723e-05+0.00019455i,-0.00055184+0.00028209i,-0.00046665+0.00043849i,-5.4784e-05+0.00076448i,-2.2539e-05+0.00078841i,-0.0003044+0.00013536i,-0.00027873-5.042e-05i,8.4668e-05+0.00037297i,-1.0763e-05+0.00036208i,0.00033722+0.00022377i,0.00038256+0.00019462i
0.0021817-0.0011694i,0.0016564-0.0021608i,4.8374e-05-0.0032565i,-0.00095039-0.0022117i,-0.001135-0.00044913i,-0.0010853+0.00045657i,-0.00010382+0.00028187i,0.00074711+0.00048606i,0.00064754+0.00065952i,-7.2431e-06-7.4518e-05i,-0.00029254-0.00044734i,2.9455e-06-0.00038473i,0.0005411+1.0598e-05i,0.0012761+0.00073411i,0.00086959+0.0012896i,-0.00025886+0.0011545i,-0.00042207+0.00017891i,-0.00040685-0.00080677i,-0.00039191-0.00042974i,8.7689e-05-0.0001534i,3.7487e-05-0.00035138i,-0.00073369+0.00016352i,-0.00045531+0.00075485i
0.00011342+0.0011013i,-0.00030214-0.0001752i,-0.00018406-0.00040542i,-0.00056231-0.0008708i,-0.00085178-0.00097908i,-0.0013008-0.00063919i,-0.00074515-1.4066e-05i,-0.00025925+0.00048554i,-0.00012884+0.00056389i,-0.00026684+0.00048541i,-0.00045483+0.0003457i,-0.0001502+0.0004288i,-7.7674e-05-9.7007e-06i,-0.00049398-0.00075579i,-0.00095652-0.00056017i,-0.00084741+0.00066357i,-0.0012337+0.0016795i,-0.00096545+0.0018211i,0.00030422+0.0011794i,6.0983e-05+0.001431i,-0.00031126+0.0013072i,0.00021757+0.00059816i,0.00031563-0.00019036i
-0.00081427-0.0024115i,-0.00089368-0.0020637i,-0.00022855-0.0012156i,0.00093022-0.00019415i,0.0020535-0.00022375i,0.0020321-5.3146e-06i,0.0012317+0.00016806i,0.00074209+9.5242e-05i,0.00022923+0.00078035i,0.00045302+0.00051641i,0.00083471-0.00064894i,0.0006656-0.00083453i,0.00017777-0.00069193i,-0.00041186-0.00043393i,-0.00077855+0.0003239i,-0.0010337+0.00088872i,-0.0011889+0.00085177i,-0.001036+0.00012668i,-0.0012271+3.5138e-05i,-0.0012748+0.0004039i,-0.00088757+0.00030814i,-0.00044183-0.0001266i,0.00062757-0.00051244i
0.00038756+0.0015341i,0.0019231+0.0011034i,0.0015161-0.00011459i,0.00057569-0.0012795i,0.00069287-0.00099082i,0.00011353-0.00087i,-0.00076438-0.00055767i,-0.0011669+0.00025101i,-0.00039336+0.00048931i,0.00039432+0.00010242i,-0.00010713-0.00040866i,1.3655e-05-0.00067235i,0.00011844-0.00044647i,-0.00027816+0.00066806i,-0.00082779+0.0015393i,-0.00079156+0.00078932i,-0.0002259+0.0001766i,-0.00013656+0.00035605i,-7.9545e-06+0.00023746i,0.00038329+0.00032507i,0.00027961+0.00072545i,-0.00023571+0.00089096i,-7.8473e-05+0.00067915i
-0.0011632-0.0015224i,-0.001035-0.00097365i,-0.002121-0.0009852i,-0.0014002+0.00063976i,6.7063e-05+0.0023862i,0.00084318+0.0018768i,0.00090341+0.0013687i,0.00016317+0.0011573i,-8.9141e-05+0.00079539i,0.00010337+0.00041252i,-5.9045e-05+1.3851e-05i,-0.00043833-0.00026379i,-0.000327-0.00074178i,-0.00043123-0.0003829i,-0.0014203+0.0001649i,-0.0012462+0.00020269i,-0.00021847+0.00036921i,-0.00021196+0.00018535i,-0.00059374+6.1048e-05i,0.00022626+0.00046607i,0.00048617-0.00018084i,-0.00063933-0.00043663i,-0.00083567+0.00035615i
0.0011077+0.0012736i,0.0012225+0.0011858i,0.0011697+0.00027435i,0.00087275-0.0010619i,0.00058818-0.0012903i,4.2803e-05-0.0008836i,-0.001142-0.00052102i,-0.00064143+0.00021759i,0.00038483+0.00083811i,0.00049275+0.00040397i,0.00059814-0.00054099i,0.00014156-0.00074406i,-0.00034384-0.00037845i,-0.00098432-0.00015139i,-0.0015591-0.00010776i,-0.00084792-0.00041702i,-0.00028412+0.00026762i,-0.00059842+0.0013809i,-0.00084154+0.00099718i,-0.00034292+0.00032581i,-0.00029282+0.00048607i,-0.00062561+0.00034768i,-0.000106-0.00095634i
0.0013847-0.0003197i,0.00081125+3.4811e-05i,9.1891e-05-0.0011977i,-0.00088784-0.0008372i,-0.0016358+0.00047039i,-0.0017913+0.0009643i,-0.0012619+0.00084227i,-0.00057682+0.00075396i,-0.00073501+0.0010528i,-0.00089968+0.00071913i,-6.6437e-05-2.0727e-05i,0.00016044+0.00073797i,-0.00031674+0.00078405i,-0.0011154+0.00011402i,-0.00055757+0.00030542i,0.0007425+0.00039927i,0.0011681+0.00034518i,0.00048925+0.001021i,-0.00060472+0.0010058i,-0.00072193+0.00033956i,5.0881e-05+8.4913e-05i,2.7591e-05+0.00022321i,-0.00051639+0.00063516i
-0.00078244+0.00067787i,-0.00041735+0.0013191i,-0.00025863+0.0013939i,0.00061909-5.332e-05i,0.00061497-0.00096284i,-0.00011261-0.00053059i,-9.7548e-05+4.6975e-05i,-8.3966e-05+0.00014061i,-0.00029833-0.00039474i,0.00081466-0.0010421i,0.0010091-0.00093409i,-5.0104e-05+0.00032592i,-0.00014584+0.00038314i,0.00020169+0.00024525i,-5.255e-05+0.00057754i,-0.00031114+0.00044107i,7.3688e-05+0.00063284i,0.00024812+0.0010675i,-0.00015408+0.00086652i,-0.00065144+0.00029993i,-0.00057274-0.00066817i,-0.00024578-0.00057243i,-0.00035471+0.00054803i
-0.00068465-0.0019099i,-0.00027078-0.0020331i,-0.0011395-0.0024402i,-0.0012588-0.0014116i,0.00044328-0.00012097i,0.00025337+0.00042608i,-0.00031794+0.0008557i,0.00025373+0.00066313i,2.0911e-05-0.00018773i,0.00010623-0.00048484i,0.00058503-0.00053731i,-0.00015531-0.00053453i,-0.00039732-0.00024684i,-0.00039074+0.00032867i,-0.00047324+0.00070739i,-0.00011717+0.00095068i,-0.00039043+0.00087467i,-0.00077633+0.00096391i,0.00014899+0.0009177i,0.00048561+0.00036749i,0.00010587+4.3435e-05i,-0.00039494-0.00028913i,-0.00062473-0.0011657i
-0.0015195+0.00015649i,-0.00033688+0.00055426i,-4.6154e-05+0.00052868i,0.00021145+0.00096782i,0.00030699+0.0016819i,0.00011706+0.00057999i,0.00029574+7.2191e-07i,0.00038522+6.0775e-05i,0.00044585+0.00034239i,0.00086995+0.00066136i,0.00046111+0.00017388i,-0.00039962-0.00019568i,-0.00098151-0.00075851i,-0.00057381-0.000705i,2.6741e-05+4.3676e-05i,0.00034904+0.00025668i,-6.6627e-05-9.3392e-05i,-0.00060488-0.0003491i,-0.0002884-0.00036302i,-0.00063795-0.00047198i,-0.00071158-0.00014272i,-0.00054043+8.4337e-05i,-0.00092766-0.00065703i
-0.0017384-0.0011345i,-0.0013863-0.00090387i,-0.0018542-0.00081073i,-0.0019253+0.00052028i,-0.0018588+0.00064757i,-0.0014805-0.00032048i,-0.00058321+2.1511e-05i,-0.00036444+0.00067995i,-0.00013433+0.00018542i,-0.00018457-0.00037858i,-0.00054001-0.00040732i,-0.00073161-0.001127i,0.00017304-0.0014826i,0.00067252-0.00082153i,7.0039e-05-9.0909e-05i,3.204e-05+0.00026374i,0.00017106+0.00056934i,0.00041291+0.00015538i,-3.6625e-05+0.00020827i,-0.00046429+0.0005719i,-0.00042889-0.00025931i,-0.00077481-7.6009e-05i,6.2906e-05+0.00025798i
-0.00060175+0.0013813i,0.00048668+0.0012738i,0.0012779+0.0019681i,0.0020161+0.0014385i,0.0026735+8.5041e-05i,0.0017832+0.00033797i,0.00037793+0.0011795i,0.00020748+0.0010279i,0.00072022+0.00056349i,0.00045113+0.0001709i,0.00033263-0.0003877i,0.00028917-0.00033332i,-0.00066546-0.00046058i,-0.00072402-0.00081053i,-0.00016251-0.0003177i,8.7809e-05+1.254e-05i,6.3917e-05+0.00028892i,0.00027505+0.0013072i,0.00060888+0.0012214i,-1.9894e-06+0.00047108i,-0.00096873+0.00056855i,-0.0017175+0.0014937i,-0.0011232+0.0012947i
0.0026222+0.0012579i,0.0016479+0.0010886i,0.0015645+0.00066632i,0.0016904+0.00014332i,0.00089558-0.00064628i,-0.00085225-0.0011738i,-0.00086601-0.0012265i,0.00070286-0.00050398i,0.0010471-4.498e-05i,0.00028276-0.0002913i,-0.00026901-0.00049519i,-0.00090249-2.6583e-05i,-0.001412+0.00088587i,-0.0010089+0.0012916i,-0.00030566+0.0012939i,-0.0001969+0.0006774i,-0.00026874+2.2704e-05i,7.7742e-05+0.00076301i,0.00016138+0.0011899i,9.3457e-05+0.0005231i,0.00028744+0.00046553i,0.00054228-1.2683e-05i,0.0003948-0.00022563i
0.00058636+0.00080653i,0.0014791+0.0016113i,0.002434+0.0016102i,0.0024116+0.00045899i,0.0016645-0.00036787i,0.00067179-0.0010177i,0.00014962+0.00019102i,0.00018189+0.0022973i,0.00031065+0.001874i,2.4797e-05+0.00011669i,-0.00053116-0.00065507i,-0.00035956-0.00087852i,-0.00098635-0.00020397i,-0.0017383+1.6181e-05i,-0.00057193+0.00042014i,0.00059521+0.00092239i,0.0006336+0.00051596i,0.00038312+0.00037945i,-0.00028174+0.00038192i,-0.00075723-0.00016226i,-0.00064748-0.00066212i,2.1769e-06-0.00090052i,-0.00027341-0.00079722i
0.00060334-0.0010207i,0.0003088-0.00090937i,-0.0015228-0.00046711i,-0.0018511-0.00052324i,-0.00065815+0.00033411i,0.00050804+0.0010251i,0.00069806+0.0013079i,0.00055833+0.00035376i,0.00071582-0.00096691i,0.00046347-0.0010484i,4.6552e-05-0.00068335i,-0.00019425-0.00033051i,-9.6617e-05-0.00028539i,0.00029793-7.0622e-05i,0.00026113+0.00047015i,8.2252e-05+0.00025143i,0.00024-8.4041e-05i,6.4936e-05-0.00014335i,2.7471e-05+0.0001429i,-5.9336e-05+0.00077139i,-0.00028081+0.0010703i,-0.00051891+0.00049004i,-0.00037101-8.7087e-05i
-0.0019086-0.00058436i,-0.0012394-0.00060387i,-0.00062243+0.00039766i,7.513e-05+0.00070324i,-0.00020766+0.00067574i,-0.00039991+0.00039481i,-0.00046044+0.00071241i,-0.00060802+0.0011976i,-0.00033122+0.0010421i,0.00048605+0.00068101i,0.00014977+5.5294e-05i,-0.00024931-0.00011817i,0.00012024+0.00021215i,-0.00075385-0.00039116i,-0.0011856+9.0677e-05i,-0.00072113+0.00028856i,-0.00077517-0.00039531i,-0.00094845+0.00029877i,-0.00063657+0.00077389i,-0.0001687-0.0003531i,-0.00043386-0.00061165i,-0.00020402-0.00032117i,5.9557e-05-6.6754e-05i
-0.00012012+0.0026575i,0.0010895+0.0023574i,0.0028945+0.0021965i,0.0038557+0.00073475i,0.0034199-0.00060945i,0.0023908-0.00095315i,0.0010184-0.00082457i,0.00043132-0.00024211i,0.00047168-0.0001117i,0.0004679-0.00037412i,0.00032777-0.00077462i,-9.1443e-06-0.0013457i,-0.00042268-0.0013487i,-0.00092824-0.00092214i,-0.0011021-0.00013331i,-0.00088186+0.00091126i,-0.00091468+0.0011205i,-0.0010494+0.0011827i,-0.00026254+0.00094957i,0.00021982+0.00022239i,-0.00042773-0.00054856i,-0.00093654-0.00082171i,-0.00079824-3.6181e-05i
7.1453e-05-0.0010504i,-0.00044259-0.00021899i,-0.00057183-0.00084953i,-0.00088607-0.0010611i,-0.0012006-0.00077031i,-0.0012024+0.00022423i,-0.00049346+0.0010053i,0.00027367+0.0012042i,0.00026912+0.00069713i,-0.00015133-0.00026176i,-0.00029297-0.00010285i,-0.00030592+0.00070517i,0.00010501+0.0010253i,-0.00011594+0.0010608i,-0.00045239+0.00094468i,-0.00020111+0.00018646i,-0.00032536+0.00011986i,-0.00038036+0.00064095i,-0.00020146-3.7363e-05i,-0.00020127-0.0010191i,8.6334e-06-0.00093799i,0.00054529-0.0003922i,0.00035537-0.00047866i
