-8.5096e-05+0.00059551i,-0.00053859-4.423e-05i,-0.00022563-0.00092673i,2.1055e-05-0.0011481i,-0.00069364+6.3443e-05i,-0.0012077+0.00039159i,-0.00074733+0.00023043i,0.00057336+0.00057683i,0.0016717+0.00086024i,0.0013637+0.00022332i,0.0011083-0.00046889i,0.0012968-0.00028565i,2.1569e-05-0.00030991i,-0.0010516-0.00040553i,-0.00075041-2.3058e-05i,-0.00014525+0.00053647i,-0.00021499+0.0008632i,0.00025512+0.00070476i,0.0011869+0.00011139i,0.00084364-0.00016928i,-0.0001744-0.0004598i,-0.00026108-0.00072456i,0.00044078-0.00027382i
4.1224e-05+0.00019838i,-5.7956e-05+0.0014065i,0.00012288+0.0016583i,0.0003298+0.0012644i,0.00023315+0.00037047i,-3.0906e-05-0.000182i,-0.00054067+0.00017424i,-0.00074997+0.00089953i,-0.00013787+0.00093589i,-3.4584e-05+1.4059e-05i,-0.00028054-0.00026182i,-0.0002215-0.00057223i,-0.00026614-0.00061451i,-5.6583e-06-0.00035386i,-0.00048143-0.0003959i,-0.00070603-0.00061686i,-0.00056911-0.00083395i,-0.00048236-0.00054616i,0.00021267-0.00015922i,0.00057706+0.000138i,0.00047821-0.00013738i,0.00066868-0.00029788i,0.00067528+0.00012766i
0.00027998+0.001219i,0.0012866+0.0014948i,0.001705+0.0014319i,0.0014426+0.0009336i,0.0011633+0.00078552i,0.00010781-0.00033548i,9.4089e-05-0.0010042i,0.00062283-0.00031482i,0.00028696+0.00021403i,-0.00038859-6.8913e-05i,-0.00043838-0.00061775i,0.00041619+0.0002737i,0.00062002+0.00039843i,0.00060099-0.00017074i,9.4207e-05-0.00049516i,-5.6042e-05-0.00073354i,1.004e-05-0.00024656i,-0.00022091+0.00068432i,0.00039816+0.00093347i,0.00044649+0.00019018i,-0.00037416-0.0009084i,-0.00096205-0.00048159i,-0.00057005+0.00025583i
0.001543+0.0010194i,0.0018119+0.0014017i,0.0025633+0.0011033i,0.0023088-0.00028871i,0.0010543-0.001505i,-0.00048779-0.001439i,-0.001225-0.0001117i,-0.0010491+0.00074295i,-0.00078387+0.00045409i,-0.00034895-0.00033399i,-0.00010014+6.9309e-05i,8.109e-05+0.00053419i,0.00056085-0.00037534i,0.0011728-0.0012231i,0.0010806-0.0013206i,0.00068105-0.0012384i,0.00052418+0.00016375i,0.00024123+0.00076667i,-0.00018832+0.00017313i,-0.00012946+6.3984e-05i,0.00058952+0.00011744i,0.0012454+0.00073976i,0.00053376+0.00097923i
-0.0006854-0.00040337i,-0.00039357-0.0014294i,0.00046039-0.001389i,0.00058843-0.00044037i,0.00090798-0.00043661i,0.0012613-0.00031908i,0.00024576+5.4512e-05i,-0.00017972-0.00021374i,0.00012436-0.00049853i,-0.00021182-0.00050334i,-0.00049001-0.00027747i,-0.00053219-2.1143e-05i,-0.00042189+3.8401e-05i,-0.0004106-1.0501e-05i,-0.00032126+0.00065499i,0.00041938+0.00058559i,0.00105-0.00090417i,0.00046877-0.00088218i,-0.00080426+0.00019479i,-0.0010032+0.00045447i,-0.0012172+0.00026273i,-0.0010222-9.436e-05i,-0.00020217+0.00014487i
0.00025571+0.00024147i,0.00086844+0.0004884i,0.00088508+0.0010117i,0.00083036+4.583e-05i,0.00058167-0.00050817i,0.00022617-2.6277e-05i,0.00035886-8.7306e-05i,1.341e-05-0.00020434i,-0.00049219-0.00044645i,-0.00052567-0.00084638i,-5.4172e-06-8.7871e-06i,5.5666e-06+0.00054306i,-0.00024228+0.00017832i,-0.00021991+0.00045009i,0.00029941+0.00077685i,0.00094074+0.00033151i,0.00068476-0.00050167i,0.0007536-0.00078889i,0.00077981-0.00040901i,0.0001871-4.1272e-05i,-0.00010729-0.00049199i,0.00019374-0.00076527i,0.00028801-0.00047885i
-0.0003262-7.17e-05i,-0.00070295+0.00017073i,-0.0011423+0.0010653i,-0.0010489+0.0008162i,-0.00015373+2.8079e-05i,0.0001845-0.0001494i,0.00013296-0.00019231i,-0.00013099-5.3611e-05i,-3.0732e-06-0.00026173i,0.00072125-0.00062548i,0.00035604-0.00058893i,-0.000761-0.00047209i,-0.00069309-0.00065174i,0.00075211-0.00074669i,0.0012294-2.5681e-05i,0.00013282+0.00067179i,-0.00016295+0.00031062i,0.00043486-9.6342e-05i,0.00041631-0.00066517i,0.0002456-0.00040642i,0.00016238-0.0001256i,-0.00012124-0.00032194i,1.3098e-05-0.00050849i
0.00054401+0.00065939i,7.4709e-05+0.00096881i,0.00016375+0.0011144i,0.0009251+0.0002965i,0.00054924-0.00037192i,-3.8162e-05-0.00043931i,0.0001977-0.00050336i,0.00057724+0.00016184i,0.00054756+0.001041i,0.00097887+0.00092563i,0.0014311+0.00063667i,0.00077885+0.00033763i,0.00015194+0.00049264i,0.00025364+0.00085913i,0.00035014+0.001045i,0.00020496+0.0013777i,-7.7558e-05+0.0011705i,-0.00010301+0.00034137i,-0.00049273-0.00084212i,-0.0010037-0.00085935i,-0.00057868+0.00023401i,-0.0001158+0.00034135i,-0.00022905-0.00031848i
0.0010357+0.00022964i,4.922e-05+0.00094361i,0.00019745+0.0013476i,0.00080678-0.00029237i,0.0007555-0.0013035i,0.0003942-0.00077936i,0.00045196-0.00034556i,0.0012047-0.00010685i,0.0013732+9.5093e-05i,0.00062819+0.00046661i,1.4726e-05+0.00044808i,-0.00054541+0.00039407i,-0.00026676+0.0004231i,0.00026763-2.6982e-05i,0.00092499-0.0001948i,0.00069747+0.00012361i,-0.00034181-2.7521e-05i,-0.00050281-0.00020658i,7.0754e-05-5.2494e-05i,4.8088e-05-3.2106e-05i,0.0001437-0.00019825i,-1.4424e-05-0.00042067i,5.2054e-05-0.00068409i
0.00032814+0.0004056i,0.00091112+0.0010297i,0.0011473+0.00095973i,0.0005414+0.00084811i,8.0051e-05+0.0005852i,-0.00066732+0.00049094i,-0.0002401+0.00073342i,0.00031635+0.0012515i,-0.00023052+0.00074539i,-0.0001757+5.7664e-05i,0.00039612-6.1386e-05i,-8.5051e-05+0.00024243i,-0.00031958+0.00062073i,1.2229e-05+0.00071961i,0.00012588+0.00050373i,-0.00018371-2.804e-05i,-0.00072711-0.00043541i,-0.0010217-0.00048413i,-0.0010281+0.00015514i,-0.00097273+0.00045829i,-0.00074479-0.00037822i,-0.00069682-0.00035547i,-9.5822e-05+0.00026203i
0.00037704-0.00049408i,0.00073477-0.0013854i,0.00126-0.0018379i,0.00090904-0.00065157i,5.8863e-05+9.1388e-05i,-0.00055425-3.3777e-05i,-0.00053204+0.00043929i,-0.00013653+0.0014044i,0.00019302+0.00087164i,0.00018506+5.6154e-06i,2.5559e-05+4.8625e-05i,-0.00010134+0.00033917i,-0.0003637+0.00021937i,-0.00010687-0.00013642i,0.00028995-0.00010878i,0.00017437-0.00012441i,-0.00078299-0.00074122i,-0.0006117-0.00051114i,0.00021367+0.00041548i,-0.00031323+3.9306e-05i,-0.00052825-0.00045262i,0.00010016-0.00017142i,0.00027559+0.00081134i
0.00089166-0.00025464i,0.00079987+0.0007982i,-6.6425e-05+0.00014139i,-0.00020409-0.00095842i,-0.00018671-0.00088643i,0.00018266-0.0004036i,0.00087376+6.0241e-05i,0.00053018-0.00018406i,0.00011037-0.00057198i,-0.00021412-0.00037937i,-0.00082101-0.00087052i,-0.0002526-0.00093166i,0.00015616+0.00028181i,6.8422e-05+0.00047207i,0.00040185+1.3936e-05i,0.00036038-0.0006865i,0.00021388-0.00083616i,0.00018404-0.00024364i,0.00056093+0.00018198i,0.00071142+0.00039532i,0.00092579-4.1673e-05i,0.00030298-0.00074699i,-0.00028126-0.0008309i
-0.00028181+0.0010966i,-0.00014616+0.0011255i,0.00028056+0.00098901i,0.0001785+0.00030745i,0.0014511-0.00076472i,0.0026202-0.0012649i,0.0016196-0.0008495i,0.00094331+0.00022638i,0.00083394-1.4983e-05i,0.00079638-0.00039273i,9.7237e-06-8.0384e-05i,-0.00027051-1.8669e-05i,-5.7344e-05-0.00027175i,0.00038451-0.00043514i,0.00033606-0.00054512i,2.3498e-05-0.000588i,0.00024022-3.6081e-05i,-0.00024823+0.00035233i,-0.00059685+0.00059809i,-0.0010922+0.00054947i,-0.0010446+6.8757e-05i,-0.0007889+0.00020385i,-0.00078713+0.0006737i
4.22e-05+0.001559i,0.0015736+0.00053198i,0.0015597+0.0006348i,0.00094815+0.0013037i,0.00066154+0.00094575i,0.0001817-0.00035682i,-0.00013725-0.00048386i,7.0523e-05+0.00036337i,-7.8944e-05+0.00044849i,-0.00043667+0.00035167i,-0.00030061+7.5519e-05i,-0.0002717-0.00066496i,-0.00042428-0.00059456i,-3.7194e-05-3.2447e-05i,0.00050439+6.2466e-06i,0.0003405+1.4726e-05i,-4.2804e-05+0.0010528i,0.00014653+0.00095004i,0.00031105+0.00049531i,0.00036269+0.00060314i,0.00021192+0.00071404i,0.00065314+0.0013555i,0.00055719+0.0012461i
-0.0014188+0.0013419i,-0.0025432+0.0022024i,-0.0013678+0.0027542i,0.0001704+0.0018578i,0.00053976+0.00063797i,-0.00017488-0.0003655i,-0.00058421-0.00082601i,-0.00036836+0.00022226i,0.00057158+0.00037087i,0.001436+0.00022615i,0.001088+0.000344i,0.00077478-8.2468e-05i,0.00056162-0.0010959i,0.00061271-0.001036i,0.00036464+0.00021465i,0.00019737+0.00047745i,0.00027541+0.00062766i,-0.00031983+0.00075575i,-0.0001281+0.0006833i,0.0002351+0.00063526i,4.4149e-05+0.00026186i,-0.00016673-0.00019155i,-0.00059474+3.627e-05i
0.001718+0.00014261i,0.0016752-0.00050016i,0.0024046-0.00075858i,0.0015-0.0016787i,0.00020505-0.0029237i,-0.00013104-0.0020667i,-0.00010096-2.8678e-05i,6.5108e-05+0.00091668i,0.00060754+0.0010315i,0.0009962+0.00046426i,0.00069199-0.00070542i,0.00032116-0.00085767i,0.00029747-0.00060293i,0.00049429+0.00017735i,0.00035318+2.2656e-05i,0.0003817-0.00047642i,4.1918e-06-0.00031835i,-0.00093572+0.00015335i,-0.00045978+0.00058117i,-0.00031171+0.0004157i,-0.00012274+6.6142e-05i,0.00048177-0.00022342i,0.00047109+4.5665e-05i
0.0022959+0.0016417i,0.0024462+0.0015027i,0.0020593+0.00014632i,0.0019653-0.00066501i,0.00158-0.00034478i,0.00072781+0.00026866i,0.00017668+0.0007364i,0.0001632+0.00066428i,0.00062992+0.00022162i,0.0010601-0.00039982i,0.00060723-0.00050031i,-0.00025649+8.2913e-05i,-0.00030522+0.00088689i,1.065e-05+0.00040875i,2.8284e-05-0.00029272i,-0.0001468+9.6043e-05i,-5.9176e-05-2.2898e-06i,0.0001789-9.1314e-05i,-7.7963e-05+0.00055336i,6.7401e-05+0.00033886i,3.0748e-05-0.00040619i,-0.00073114-0.00071311i,-0.00057877-0.00083604i
-0.00033622-0.0020246i,-0.00077761-0.0020884i,-0.00045384-0.0015659i,-0.00024174-0.00082912i,-1.7715e-05-0.00073313i,-0.00026171-0.00018104i,-0.00026413+0.00073204i,0.00022655+0.00044738i,0.00069562-0.00013603i,0.00074558+0.00040837i,0.00064738+3.8042e-05i,0.00047759+3.9668e-05i,-0.0004476+0.00013409i,-0.00051346-0.00021085i,-0.00028487-0.00062839i,0.00014937-0.00084128i,0.00030407+0.00035355i,0.00023519+0.0013492i,0.00067461+0.00050779i,0.0010217-0.00010548i,0.00063752-0.00032987i,-1.1508e-05-7.1962e-05i,0.00010289+0.00039538i
-0.0012121+0.0015854i,0.00026882+0.0016433i,0.00079133+0.0018085i,0.00014333+0.0011376i,0.00042486+0.00010039i,0.0010027+0.00048608i,0.00026469+0.00034289i,-7.0566e-05-0.00053726i,8.0826e-05-0.00013714i,0.00061486-1.9954e-05i,0.00058353-0.00051078i,-0.00010014-0.00062729i,-0.00018333-0.00037109i,-0.00038151-0.00011191i,-0.00047928+5.7282e-05i,3.2487e-05+0.00028634i,0.00028513+0.00085235i,0.00074732+0.00098337i,0.00056374+0.0005694i,-0.00073696+0.00041627i,-0.0009644+0.00020713i,-0.00092892+0.00019165i,-0.00090733+4.1903e-06i
-0.00053173+0.0024094i,0.0006884+0.0024849i,0.00059173+0.002673i,0.00053432+0.0021754i,0.00053835+0.000767i,0.00019208-2.4276e-05i,5.7029e-05+0.00033959i,-0.00021071+0.00053905i,-0.00066486+0.00035815i,-6.3754e-05+2.0399e-05i,-0.0002183-0.00012533i,-0.00048179+0.00059802i,-0.00040606+0.00071273i,-0.00034848+0.00031409i,0.00011315-0.00029491i,0.00064818-0.00048401i,0.00043987-0.00024511i,-0.00040922-0.00010541i,-3.9948e-05-2.7095e-05i,3.9302e-05-0.00018413i,-0.00076079-2.1443e-05i,-0.00084925-0.00020416i,-0.00034789-0.00031267i
-0.00092405-0.00050128i,-0.00031643-0.00031379i,-0.0011356-6.157e-05i,-0.001228+3.3997e-05i,-0.00065741+0.0002607i,-0.00023861+4.6702e-05i,9.9166e-06-0.00052774i,0.00050131-0.0011459i,0.00074612-0.0014668i,0.00013358-0.00089634i,-0.0005941-0.00020046i,-0.00051563-9.997e-05i,-5.0827e-05+0.00022858i,-0.00010953+6.2707e-06i,0.00011631-8.5636e-05i,0.00019609+0.00050236i,-9.3709e-05+0.00011556i,-0.00091354-0.00062236i,-0.0012827-0.00039846i,-0.00061049-0.00045775i,0.0002621-0.00079717i,0.00026383+5.8826e-05i,0.00034943+0.00062463i
0.0001489-0.0010607i,0.00011928-2.4979e-05i,0.00042649+0.0009262i,0.00017932+0.0014212i,-0.00015264+0.0012443i,-0.00012349+0.00057969i,0.00033197-0.00018591i,9.4009e-05-0.00090482i,-0.00032663-0.0011012i,-0.00028079-0.00075279i,-0.00025534+8.5484e-05i,7.4613e-05+0.00031936i,0.000427-0.00025981i,0.00057973-0.00018913i,0.0007391+9.6244e-05i,0.00065774-0.00032372i,1.3715e-05-0.00031252i,3.022e-05-0.00048264i,0.00035498-0.00063721i,0.00021609-0.0002972i,-0.00028265-0.00032266i,-0.00038739+1.6586e-05i,-0.00027397-5.6663e-05i
-0.0018432-0.00092621i,-0.0023169-0.00028794i,-0.0014244+0.0011873i,-4.1486e-05+0.0016397i,0.00072836+0.00091424i,0.00060981+0.0012107i,0.00032527+0.0010162i,-0.00012946+0.00068995i,-0.00063191+0.0010654i,0.00021031+0.0003637i,0.00076066+6.0882e-06i,0.00033698+0.00076595i,-0.0004601+0.0010659i,-0.00038719+0.00035314i,-7.771e-05-0.0008845i,-0.00058619-0.00042343i,-0.00071409+0.00031356i,-0.00035328+0.00014526i,0.00029085+0.00031366i,0.00055047+0.0003876i,0.00057752-0.0008122i,0.00090806-0.0017501i,0.0011826-0.00094639i
-0.0017374-0.0020272i,-0.0024632-0.0010814i,-0.0034652+9.4416e-05i,-0.0028539+0.0011913i,-0.0010243+0.0018411i,0.00035685+0.00067719i,0.0014122-0.00093086i,0.0014551-0.00099652i,0.00062977-0.00035607i,0.00012752-0.00048977i,-8.5356e-05-0.00073093i,0.00029538-0.00024508i,0.00072828+0.00051775i,0.00043697+0.00091925i,0.00041964+0.0011443i,0.00071865+0.00095075i,0.00094656+0.000297i,0.00090528+0.00014123i,1.3526e-05-0.00011446i,-0.00045782-0.00037716i,-0.00062475-0.00021714i,-0.00074443-0.0004281i,-0.00052039-0.00016367i
0.00026643+0.0023382i,0.00058951+0.0013776i,0.00078378+0.00047845i,0.00074316-0.00048241i,0.00052546-0.0010211i,7.773e-05-0.000778i,-0.00016613-8.5705e-05i,3.0277e-05+0.00063701i,0.0011605+0.0004209i,0.0017972+2.063e-06i,0.00045803-0.00029537i,-0.00041265-0.00060542i,-0.00010645-0.00067181i,1.9235e-05+6.0483e-05i,1.5033e-05+0.00071088i,9.9441e-05+0.00043756i,0.00039233-0.00027483i,0.00075544-0.00089577i,0.00020792-0.00042996i,-0.00035874+0.00028563i,0.00033551+0.00063413i,0.00079623+0.00074032i,6.5488e-05+0.00033315i
0.00091168-0.00076293i,-0.0001241-0.0008122i,-0.00015171-0.00028474i,-0.00064469+0.00024309i,-0.00058335+9.0268e-05i,-1.9749e-05-4.818e-05i,0.00021553-0.0003476i,0.00039428+5.0357e-05i,-0.00027448+0.00027323i,-0.00059746+0.00034429i,3.0986e-05+0.00054417i,-0.00044775+0.00067172i,-0.0014615+0.00094135i,-0.00044996+0.00086189i,0.00042005+0.00015302i,0.00017575-0.00010708i,7.5213e-05-0.00038788i,-3.0018e-05-0.00039691i,0.00035444-0.00019358i,0.00037116-0.00052236i,0.00023194-0.00033947i,0.0006173+0.00021665i,0.0003266+0.00083759i
0.00073653-0.00069261i,0.00045143-0.00042145i,0.00039413-0.0014184i,0.0002131-0.0018231i,-4.2089e-05-0.001086i,-0.00010223-0.00049389i,0.00029174+0.0002069i,0.00075391+0.00045201i,0.00074342+4.6905e-05i,0.00040461-0.00098386i,0.00045724-0.0011964i,0.00039886+5.3174e-06i,0.00014549+0.00088265i,-0.00031639+0.0010381i,-0.00013587+0.00077927i,0.00062193+0.00014627i,0.0006475+2.6606e-05i,-5.7726e-06+2.9624e-06i,0.00019616-0.00027264i,0.00097477+6.4673e-05i,0.00068525+0.0005405i,0.0003909-3.8166e-05i,0.00025142-0.0004254i
-0.0017334-0.0014217i,-0.0023604-0.00073432i,-0.0018245-0.00029837i,-0.00058792+0.00056994i,9.4464e-05+0.0012312i,0.00033371+0.0014631i,0.00090205+0.00059451i,0.0012155-0.00036027i,0.00076838+5.7786e-05i,-0.00013954+0.00039392i,-0.00011909-0.00012393i,0.00072742+6.2253e-05i,0.00032033+0.00092748i,-8.2955e-05+0.00072653i,-9.1959e-05+0.00059548i,-0.0006447+0.00071761i,-0.00090058+0.00032609i,-0.00065791+5.2695e-05i,-0.00039525+3.5104e-05i,-0.00061381-0.00010694i,-0.00069055-0.00047718i,-0.00021436+1.3081e-05i,-0.00014484+0.00031034i
0.00011556-0.00010561i,0.00043521+0.0013567i,0.00035336+0.00063693i,0.0005325-0.00029006i,0.00034661-0.0002904i,0.00018377+0.00066394i,-0.00051781+0.00080743i,-0.00019474-0.00036371i,0.00053722-0.00097076i,-1.5377e-06-0.00032753i,-0.00070437-0.00021418i,-0.0012673-0.00017814i,-0.00087189+0.00089171i,-0.00035925+0.0011887i,-0.00060169+0.0010268i,-0.00086017+0.00054003i,-0.0009605+0.00041446i,-0.00033645+0.00077397i,0.00014623+0.00038996i,0.00027036-0.00024917i,-0.00040469-0.00091832i,-0.00062779-0.00071734i,6.6316e-05+0.0002451i
0.0010559-0.00041957i,0.0014419-0.00078115i,0.0015732-0.00052329i,0.00041101-0.0002468i,-0.00050206-0.00080857i,-0.00096044-0.00058821i,4.7382e-05+0.00014074i,0.0013403+0.00040935i,0.00080949+0.00013635i,0.00019549-0.00033674i,0.00054881-0.00021382i,-3.2915e-05+0.00040324i,-0.00054312+0.00097812i,-0.00010104+0.00054271i,2.5196e-05+0.00029327i,0.00033+0.00067823i,0.00019989+0.00064808i,-6.2456e-05+0.00010533i,0.00053785-0.00051757i,0.00027628-0.00075769i,-0.00023631-0.00026239i,-0.00020721-0.00029273i,-0.00050623-0.00048037i
-9.048e-05+0.0019931i,0.00045654+0.0019209i,0.0012267+0.00074377i,0.0017571-5.1014e-05i,0.0019728-0.00050741i,0.00069755-0.00070575i,-0.0008851-0.00014689i,-0.00046904+0.00022383i,0.0005445+0.00043767i,0.00058291-7.2874e-06i,0.00028912-0.00027642i,-0.00020374+0.00039315i,-0.00062482+0.00023667i,-0.0010068-0.00028935i,-0.00066367+0.00032258i,0.00015651+0.0005811i,0.00040194-0.0001354i,0.00046553-0.00040334i,0.00032662-0.00024497i,0.00012554-0.00056197i,-0.00037104-0.00049435i,-0.001094-0.0003411i,-0.0013508+0.00031708i
-0.0018-0.0012201i,-0.002391-6.9722e-05i,-0.0029469+0.0012334i,-0.0018528+0.00077826i,-0.0010453+0.0008039i,-0.00092251+8.3168e-05i,0.00015368-0.0010211i,0.00028892-0.00078497i,0.00027264-0.00051895i,0.00057125-0.00022499i,0.00013752+0.00056958i,-0.00025172+0.0005128i,-0.00012013+0.00017935i,-0.001042-0.00022077i,-0.0013489-0.00091033i,-0.00022834-0.00062749i,-0.00022812-0.00076272i,8.7115e-05-0.0008099i,0.00023844-0.00015469i,0.00029677+6.3466e-05i,0.00045192+0.00016896i,0.00022652-0.00054188i,-2.7506e-05-0.00067578i
