-0.00092034+0.00075824i,0.000156-0.00063028i,0.00036104-0.0011773i,-0.00058963-0.001273i,-0.0017846-0.00018757i,-0.0022127+0.0010416i,-0.00056163+0.0011033i,0.0011744+0.001089i,0.0015389-4.7213e-06i,0.0010667-0.00094111i,0.00014543-0.00080061i,-0.00013155-0.00062933i,0.00054841-0.00025409i,0.00091125-0.00030018i,0.00043854-0.00047217i,0.00013602-0.00055241i,0.00041948-0.00041138i,0.00080968+0.00024294i,0.00064397+0.0003126i,7.4984e-05-0.00058805i,-0.00013906-0.00062047i,-0.00070197-1.1848e-05i,-0.00073148-7.7857e-05i
-0.0022206+0.0017469i,-0.002448+0.00060246i,-0.0021377+0.00061633i,-0.0014658+0.0015986i,-0.00050127+0.0014271i,0.00050067+0.00082064i,0.0013875-6.8042e-06i,0.0013969+2.1268e-05i,0.0016149+0.00067093i,0.0023168+0.0013978i,0.0032702+0.0016743i,0.0031859+0.0010794i,0.0023772+0.00026233i,0.0022707+0.00048463i,0.0022833+0.00085547i,0.0018686+0.00073202i,0.00021889-1.904e-05i,-0.00091-0.00063686i,4.1567e-05-0.00098566i,9.6324e-05-0.00083453i,-0.00061959-0.00038584i,-0.00011315+5.4608e-06i,0.00063987+7.9284e-05i
-0.0025664-3.2163e-05i,-0.0015746-0.00022924i,-0.0013255+0.0003545i,-0.00064098+0.0012423i,0.00043219+0.0017598i,0.0010077+0.0008539i,0.0013221+0.00024389i,0.001219+0.00046578i,0.0010428-1.3658e-05i,0.0010987-0.000573i,0.0012775-0.00092173i,0.0013994-0.0012845i,0.0008572-0.0011457i,0.00013242-0.0013831i,2.978e-05-0.0016849i,0.00026264-0.0011559i,0.00077689-0.00024038i,0.0011513-0.0001236i,0.00095275-0.00012094i,0.00019263+0.00051679i,2.2675e-05+0.0012954i,0.00067529+0.0011798i,0.001174+0.00083167i
0.0014538+0.00011804i,0.00049245+0.0010447i,0.00021932+0.001439i,0.00048099+0.00059454i,-6.741e-05+0.00033582i,0.00072716+0.00073131i,0.0018608+0.0004655i,0.0028571-1.4305e-05i,0.0029966-0.00058708i,0.001526-0.0013524i,0.00025229-0.002513i,-0.00060908-0.0029907i,-0.00076064-0.0020604i,-0.00069165-0.0013256i,-0.00014515-0.0013639i,-0.00036532-0.00091097i,-0.001336-0.00062793i,-0.0014376-0.0011113i,-0.00022721-0.0016814i,0.00020733-0.0011159i,-0.0005107-0.00013332i,-0.0006141+0.00027077i,-0.00027758+0.0005295i
-0.00021241+0.0016302i,-0.0014013+0.0013554i,-0.0026373+0.0020171i,-0.0018868+0.0024942i,-4.0587e-05+0.0014119i,0.00074923+0.00018328i,0.00079345-0.00045966i,0.00092887-0.00056785i,3.5594e-05-0.00032808i,-0.0012185-0.00084335i,-0.0013785-0.0018614i,-0.00099823-0.0014285i,-0.0013867-0.00049527i,-0.0011695-0.00037991i,-1.5344e-05-0.00015563i,-0.00022813+0.00060853i,-0.00033012+0.00096393i,0.00021179+0.00016976i,0.00070331-0.00089785i,0.0010229-0.00076974i,0.00026964+4.9426e-05i,-0.00096185+0.00041971i,-0.00092066-0.00040073i
-9.2187e-06-0.00036761i,-0.0010323+0.00010785i,-0.00089322-0.00089638i,-0.00098101-0.00084058i,-0.00095162+0.00079041i,-0.0009024+0.0024336i,-0.00011603+0.0014929i,0.00086355+0.0004605i,-0.00019834+0.00039162i,-0.0025971-0.00064501i,-0.0038129-0.0010412i,-0.0033949-0.0002155i,-0.0022133+0.00072444i,-0.0012506+0.0018292i,-0.00090994+0.0025209i,-8.9308e-05+0.0020141i,0.00037133+0.00066921i,-0.00038621+0.00081723i,-0.00074174+0.0012362i,-0.00055625+0.00027801i,0.00020626-0.0013109i,0.00058229-0.0022549i,-0.00017654-0.0013623i
2.3122e-05+0.00018114i,0.00058807+2.6263e-05i,0.0010136+0.00089453i,0.00071198+0.0016405i,5.1715e-05+0.00050715i,0.0011121+0.00020042i,0.0019513+0.0008159i,0.0013419+0.0011479i,-0.00016681+0.0009271i,-0.0011786+0.00048535i,-0.0012864+0.0013173i,-0.00095084+0.0024595i,-0.00029434+0.002517i,-0.0001757+0.001698i,-0.00037737+0.00053122i,-0.00033133+0.00010614i,-0.00016554+0.00032299i,0.00052633-0.00041718i,0.00032346-0.0009439i,0.00012836-0.0013207i,0.00026813-0.00088072i,0.00028854+6.7308e-06i,-0.00028031+0.00020962i
0.0011763+0.00067754i,0.0010075+2.2895e-05i,-0.00037123-0.0011698i,-0.0013839-0.0015051i,-0.001707-0.0012488i,-0.001227-0.00051463i,-0.00023414+0.00015588i,0.00033669+0.0001635i,0.00060094+0.00059209i,0.00055539+0.0015421i,0.0010447+0.0021025i,0.0013285+0.0022249i,0.0004988+0.0014237i,-0.00030949+0.00063484i,0.00079324+0.00053635i,0.0019156-0.0003495i,0.0010322-0.0015906i,-0.00037364-0.0010794i,-0.00055717+0.00015971i,-0.0005442-2.7154e-05i,-0.00075986-2.5725e-06i,-0.00082112+0.00045383i,-0.00085565+0.00036241i
-0.0018615-0.0032702i,-0.0011061-0.003349i,-0.0011225-0.002732i,-0.00095126-0.00086668i,-0.00094556+0.0016685i,-0.00065632+0.0028089i,0.00067839+0.0016464i,0.0012876+0.00050968i,0.00054841-0.00015819i,0.00053327+0.00016158i,0.0015719+0.0005474i,0.0020605+5.4309e-06i,0.0015461-0.00025484i,0.0011461-5.4788e-05i,0.00087281-0.00063708i,0.0009304-0.00025544i,0.00092499+0.00058323i,0.00020678+0.0002097i,-0.00037457+0.00029555i,-0.00026898+0.00068881i,-0.00028428-0.00027403i,-0.00076672-0.0011585i,-0.00086669-0.00047479i
-0.00043925+0.001329i,-0.0013814+0.0019291i,-0.00072094+0.0025654i,-0.00051593+0.0023321i,-0.00034332+0.0014139i,0.00057607+0.00047037i,0.00090984+2.926e-05i,0.00099482-0.00060862i,0.0016105-0.0012244i,0.0022434-0.0016213i,0.0026159-0.0019878i,0.002295-0.0017472i,0.0013229-0.0017822i,0.0013433-0.0021641i,0.00097547-0.0020166i,9.9667e-07-0.0016789i,-0.00037364-0.0013493i,1.0281e-05-0.00083056i,-0.00016808-0.00014488i,-0.0010196+0.00018545i,-0.0010855-0.00013397i,-0.00077894-0.00062288i,-0.00031371-0.00033749i
-0.00039298+0.0023894i,-3.8596e-05+0.0023423i,-0.00056059+0.0025675i,-0.0010987+0.0017692i,-0.00035843+0.0013832i,0.00034466+0.0011448i,0.00092172+0.00077433i,0.0011924+0.0007195i,0.0013418+0.00014784i,0.0014353-0.00098154i,0.0011218-0.0016677i,0.00056154-0.0021195i,-0.000201-0.0022575i,-1.3253e-05-0.0014952i,0.00066593-0.00064381i,-0.00026156-0.00010539i,-0.00037941+7.4577e-05i,0.0006536-0.00024663i,0.00068984-0.00073177i,0.00054385-0.0010031i,0.00010648-0.00015158i,-0.00029249+0.001043i,-0.0001624+0.00074731i
-0.0019838+0.001064i,-0.0018134+0.0013367i,-0.00029735+0.0010454i,0.00042618+0.0011934i,0.00056542+0.0010538i,0.0012994+0.001336i,0.0015855+0.0013031i,0.0019512+0.00025704i,0.0021166-0.00060028i,0.0011038-0.002099i,-0.0010935-0.0026061i,-0.0016855-0.0010095i,-0.00054215-0.00027959i,-0.00035674+0.00020665i,-0.0009755+0.00059181i,-0.00081062+0.00048398i,-0.00018861+0.00045731i,-0.00019998+0.00056788i,5.9068e-05+0.00038616i,0.00029601+0.00051013i,-0.00024626+0.00064982i,-0.00042765+0.00049051i,0.00011079+0.00074056i
0.00017221+0.001752i,0.0006068+0.0011168i,0.0012931+0.0013768i,0.00065424+0.0014186i,0.0012839+0.00061574i,0.0011441+0.00025326i,0.00027403-8.1206e-05i,0.00044743-0.00052215i,0.00010191-0.00094822i,-0.00091149-0.001852i,-0.0017835-0.00046998i,-0.0023312+0.0009398i,-0.0017822+0.00086778i,-0.00095866+0.0010785i,6.1231e-05+0.00040633i,0.00021627-0.0002045i,-0.00031255-0.00025088i,-0.00035287+0.00010735i,-0.00062561+0.00036185i,-0.0012662+0.00018497i,-0.00084666-8.0934e-05i,-0.00038586-0.00064633i,-0.00064983-0.00091865i
0.00057906-0.001418i,1.1213e-05-0.002263i,-0.00072669-0.0021782i,-0.00074748-0.00020186i,-0.001183+0.00062225i,-0.00068593-6.1071e-05i,0.00053714+0.00041122i,0.00089094+0.00016986i,-0.00024579-0.00056487i,-0.001217+0.000513i,-0.00099145+0.0021535i,-0.00063405+0.0022737i,-0.00060688+0.0014719i,-0.001113+0.000648i,-0.00083404+0.00073498i,0.00047903+0.0013191i,0.00083376+0.00043019i,8.0475e-05-0.00075864i,-0.00025137-0.00049846i,-0.00035218-0.0002431i,-0.00095197-0.0013269i,-0.0013427-0.0012403i,-0.00078999-3.0053e-05i
-0.0015249-0.0010605i,-0.0026381+0.00024653i,-0.0023896+0.00080444i,-0.00085134+0.0003149i,-0.00042425+0.00038591i,-0.00014342+0.0010636i,0.0011064+0.00087894i,0.0012549+0.00034934i,5.5486e-05+0.0007478i,-0.00094329+0.0016867i,-0.00011963+0.0022865i,0.0016144+0.0020949i,0.0023011+0.0014632i,0.0017913+0.0016895i,0.00091154+0.0016932i,0.00081658+0.0005933i,0.00059914-1.0361e-05i,-4.5736e-05-0.00080998i,0.00070294-0.0011619i,0.0011364-0.00079176i,0.0010008-0.00027489i,0.00095779+6.8188e-05i,0.0004202+0.00045401i
0.00080432-0.00057849i,0.00042234-0.00060827i,3.9369e-05-0.00078472i,-7.7801e-05-0.00063374i,-0.00026538-0.00037514i,0.00022436+0.00017134i,0.0013003+0.00024919i,0.0020147-0.00049317i,0.0017259-0.00010691i,0.0012257+0.00087124i,0.0019099+0.00061419i,0.001962-0.00012502i,0.0012819+0.00036764i,0.00085769+0.00058452i,0.00080307-0.00018115i,0.00034081-0.00040393i,0.00038778-0.0005196i,0.0010916-0.00039647i,0.0010351-2.3885e-05i,0.00068077+2.4932e-05i,0.00013172-0.00070704i,-0.00050393-0.00049571i,-0.0009386+0.0005947i
-0.0010405+0.00033572i,-0.00098577+0.0004177i,-0.0011438-5.2962e-05i,-0.0011174+0.00048228i,-0.00025174+0.0014068i,0.0010411+0.00070652i,0.001887-0.00016166i,0.0020954+0.00017708i,0.0021386+0.00091367i,0.0017509+0.00053565i,0.00075113-0.00057751i,-3.0604e-05-0.0017941i,-0.0001739-0.0023163i,-0.00042005-0.0015463i,-0.00035603-0.00047338i,-0.00064287-0.00030122i,-0.0005543-0.00024104i,-0.00014777+0.00048395i,-0.00022864+0.00015273i,0.00047106-0.00043149i,0.001204+1.9921e-05i,0.00026155+0.00020742i,-0.00060532+0.000561i
-0.00076923-0.0029275i,-0.0011411-0.0024662i,-0.0029479-0.0018808i,-0.0037716-0.001071i,-0.0023965+0.00016526i,-0.0015701+0.0011426i,-0.0009021+0.00093057i,0.0004452+0.0001015i,0.001002-0.00088041i,0.00012922-0.0016324i,-0.00076229-0.0024211i,-0.00091966-0.0023543i,-0.00046371-0.0018592i,0.00041058-0.0011193i,0.00031853-0.00057768i,-0.00090215-0.00021271i,-0.0011141+0.00010154i,-0.00062782-0.00012319i,0.00037069-0.00010155i,0.00035201-0.00025481i,-0.00029749-0.00071294i,-0.00060132-0.00079715i,-0.0008102-0.00091256i
4.4891e-05+0.0015976i,1.9636e-05+0.0014691i,-0.0004983+0.001219i,0.00011272+0.001033i,0.0010288+0.0014468i,0.0015046+0.0017971i,0.0011674+0.0011318i,0.00080573-0.00067369i,0.0012632-0.0015588i,0.00077991-0.00099938i,-0.00038842-0.00038491i,-0.001632-0.00039204i,-0.0016097-0.00010063i,-0.00069661+0.00021888i,-0.00031743+0.00075905i,-0.00051676+0.00099544i,-0.00030002-0.00010688i,0.00015416-0.0013462i,-0.00024285-0.002014i,5.2908e-06-0.0016716i,0.00017744-0.00094791i,-9.1557e-05-0.00012562i,-3.0551e-05+0.0008437i
-0.0013059+0.001609i,-0.00077821+0.001988i,-0.0013357+0.0021598i,-0.001897+0.0012423i,-0.0010901+0.0012077i,0.00088386+0.0011699i,0.0013408-0.00011746i,0.0010517-0.0010276i,0.00049788-0.00099116i,-0.0012035-0.0012805i,-0.0023609-0.0010354i,-0.0014502+1.0679e-05i,-0.00068904+0.00016198i,-0.00026116+0.00024777i,0.00026557+0.0010262i,0.00058187+0.00060247i,0.00062271-0.00059565i,0.00055223-0.0010993i,0.00076871-0.0010793i,0.00014076-0.00093842i,-0.00087309-0.0010501i,-0.0010103-0.00083807i,-0.00049695+0.0002575i
0.00050923-0.00099894i,3.6369e-05-0.00067368i,-0.00057418-0.0012105i,-0.00068982-0.00084309i,-0.00033128+0.00046252i,-5.8146e-05+0.001428i,0.00050992+0.0018142i,0.000717+0.0011306i,-0.00012501+0.00021441i,-0.0010519+0.00019342i,-0.0015429+0.0010113i,-0.00096008+0.0013148i,4.4744e-05+0.0012459i,2.9554e-06+0.00080187i,-9.4778e-06+0.000634i,0.00046917+0.00056461i,0.00043493+0.00058425i,0.0003223-8.0911e-05i,3.2285e-05-0.00082959i,0.00034316-0.00028283i,0.00053937-8.8726e-05i,0.00046138-0.00090398i,-1.7303e-05-0.0006091i
0.001874-0.0016115i,0.0012356-0.0025804i,0.0013395-0.0035475i,0.00045073-0.0024123i,-0.00047461-0.00073001i,-0.00038731+0.00078705i,-0.00021886+0.0011451i,0.00031517+0.00058957i,0.00028169-0.00023737i,-0.00014991-0.00039044i,9.8732e-05+4.3585e-05i,0.0009651+2.5144e-05i,0.0012503-0.00061828i,0.00070879-0.00045981i,0.000213+0.00015706i,-0.00082615-0.00060108i,-0.0015092-0.0014665i,-0.0012491-0.00041828i,-0.0010406-0.00056053i,-0.00083717-0.0014072i,-0.00032155-0.00049053i,-0.00023645+0.00017343i,-0.00058942+0.00054559i
-0.00043732+0.00043554i,-0.00041673+0.0011746i,1.6272e-05+0.0018638i,0.00041186+0.0015839i,0.0001142+0.00081025i,1.1526e-05+0.00060184i,0.0009774+0.00069131i,0.0015081+0.00067494i,0.0011378+0.00090992i,0.00045276+0.0017116i,-3.0546e-05+0.0012056i,0.00042731-0.0001437i,0.0012013-0.00049011i,0.0013154-0.00052978i,0.00082065-0.00076788i,-1.2885e-05-0.00076317i,-0.00017353-0.00083173i,-0.00017788-0.0010696i,-0.00026254-7.7486e-05i,4.8752e-05+0.0005481i,3.0342e-05+0.00031744i,-0.00019706-0.00011363i,0.00022415-6.9002e-05i
-0.0016408+0.001858i,-0.0021096+0.0022394i,-0.0026627+0.002202i,-0.0029484+0.001358i,-0.0020323+0.001542i,-6.071e-05+0.0010692i,0.00090461+0.00033509i,0.00096032+0.00053273i,0.0011794+0.00050293i,0.0015375+2.1642e-05i,0.0015924-0.0011499i,0.00099268-0.0013662i,0.00093134-0.00029066i,0.0012815-0.00025243i,0.0012933-0.00073862i,0.00069113-0.00081277i,0.00013097-0.00083927i,6.9666e-05-0.00039333i,0.00051955+0.00041494i,0.00089203-3.4412e-05i,0.00089451-0.00029541i,0.0002126+0.00036827i,-7.7427e-05+0.00080433i
0.0028361+0.0014605i,0.0037881+6.2402e-05i,0.0042746-0.0011712i,0.0033301-0.0012515i,0.0015981-0.00058043i,0.0005026-0.00043903i,0.00092933-0.0001887i,0.0022261+0.00024854i,0.0029346-0.00014121i,0.0024528-0.00067993i,0.0014827-0.0012228i,0.00017394-0.001513i,-0.0006696-0.00059401i,-0.00050249-0.00053034i,-0.00014166-0.00087758i,0.00037683+0.00039963i,0.00076489+0.00075011i,0.00073163-0.0010464i,0.00016466-0.0010506i,-0.00072846-0.00041839i,-0.00064751-0.0005802i,-4.4782e-06-0.00048514i,0.00018713-0.0008685i
-0.0020627+1.8655e-06i,-0.0022467+0.00027601i,-0.0024602-0.00018513i,-0.0016816+0.001769i,-0.00111+0.0026382i,0.00034012+0.00084559i,0.0014053+0.00012884i,0.0011887+0.00029149i,0.0010408-0.00030713i,0.00055076-0.00050201i,-0.00069812-0.00044699i,-0.001247+0.00013393i,-0.0010013+0.00031989i,-0.00042793-0.00020666i,0.00013524-2.049e-05i,0.00072953-0.00012982i,0.0010507-0.00052122i,0.00046651-6.4697e-05i,2.3918e-06+3.8021e-06i,0.00013092-0.00043276i,0.00043448-0.00082571i,0.00027771-0.00075784i,-0.00036285-0.00084004i
-0.0026761+0.0013498i,-0.0032443+0.0013272i,-0.0042991+0.0018618i,-0.0034453+0.0025551i,-0.002506+0.002097i,-0.0016173+0.00094568i,0.00013855+0.00050013i,0.00042575+3.5808e-05i,0.00030024-0.0010887i,-9.2171e-05-0.0013194i,-0.00093729-0.00038707i,-0.00054618+0.0010074i,0.00063932+0.001643i,0.00097541+0.0011167i,0.0011169+0.00072221i,0.0014339+0.00095568i,0.0013392+0.00033303i,0.00079899+0.00028617i,9.6346e-05+0.00043762i,0.00033071-0.00032551i,1.4537e-05-0.00025773i,-0.00064647+0.00013266i,-0.00094529+0.00022738i
-0.002393-0.0020751i,-0.001769-0.00090254i,-0.0006224-0.00080262i,-0.00031594-0.00054637i,-0.0012072+0.00021592i,-0.00064319+0.0013545i,0.00036896+0.0018187i,0.0010754+0.00097437i,0.00039922+0.00013871i,-0.00063317+0.00041003i,-0.0010003+0.0012614i,-0.00039431+0.0012384i,0.00022366+0.00027699i,-0.00026228+0.00010148i,0.00062637-7.2714e-05i,0.0013579-0.00025081i,0.00039313-0.00012754i,-0.00036463-0.00051279i,-0.00028036-0.0010199i,5.2613e-05-0.00087111i,-0.00048623-0.00076247i,-0.0010932-0.00064767i,-0.0006669-2.0006e-05i
0.00063648-0.0009738i,-0.00011578-0.00031415i,-8.3192e-06-0.00038443i,0.00071436+0.00058246i,0.00042685+0.0016226i,0.00075284+0.0013805i,0.001145+0.00086644i,0.00073954+7.6442e-05i,0.00038421-0.00076189i,-0.00044146-0.0011586i,-2.2148e-05-0.00076459i,0.00086297-0.00087234i,-0.0001826-0.0013932i,-0.00069063-0.00083156i,-0.00065363-0.00091523i,-0.00086028-0.0018773i,-0.00079689-0.0010741i,-8.0776e-05-0.00029723i,0.00028647-0.00073622i,-0.00015714-0.00074376i,-0.00034676-0.0004945i,-0.00019901-0.00056789i,0.00036697+2.2179e-05i
-7.1379e-05+0.0011305i,6.5142e-05+0.0011548i,-0.001065+0.0014242i,-0.0019489-0.00017436i,-0.0016614-0.0013154i,-0.00018977-0.00062332i,0.0012345-0.00048365i,0.0014261-0.0002724i,0.0011877+0.00028371i,0.00015378+0.00050277i,-0.00043867-0.00050063i,0.00047568-0.001562i,0.0005568-0.0017816i,-0.00011478-0.0010205i,-0.00014747-0.00048247i,-3.3966e-05-0.00037591i,0.00058344-0.00021497i,0.00091777-0.00020616i,0.00016766-0.00038601i,0.00053209-0.00066787i,0.0010403-0.00036334i,0.00052106+3.3722e-05i,-4.1848e-05-0.00013069i
-0.0012846-0.00060308i,-0.00097667-0.00095186i,-0.0015964-0.00087343i,-0.0019326+0.00069476i,-0.0010396+0.0022591i,0.0007153+0.0029898i,0.0012718+0.0026166i,0.0005973+0.0022613i,0.00046241+0.0018602i,0.00013459+0.0010227i,-0.00037335-0.00039274i,-0.00070549-0.00019804i,-0.00041761+0.0015838i,0.00018607+0.001946i,0.0001691+0.0017804i,3.5895e-05+0.0015444i,0.00025832+0.0010837i,0.00066569+0.00045312i,0.00031006-0.00041434i,-2.0697e-05-0.00082958i,0.00014488-0.0006229i,-2.8145e-05-0.00042026i,-0.00012686-0.00027324i
-0.00042674+0.0010866i,-0.00011463+0.0016222i,0.00111+0.0032967i,0.0026568+0.0036676i,0.0019531+0.0018951i,0.000634+0.00059525i,0.0011641+0.0012012i,0.0018136+0.0014459i,0.001362+0.00066583i,0.00084415-3.6532e-05i,0.00017371-0.0006795i,-0.0010523+3.865e-05i,-0.0013553+0.00050705i,0.00045656-0.00071962i,0.001547-0.00071699i,0.0011197-6.5634e-05i,0.00062827+4.6693e-06i,0.00028781+0.00025806i,-7.57e-05+0.00021395i,0.00012008-4.1036e-06i,0.00037516-0.00034584i,-6.2889e-05-4.7965e-05i,-0.00033271+0.00042496i
0.00048832+0.001469i,-0.0007562+0.00037365i,-9.6092e-06-0.00069613i,-3.6035e-05-0.0010866i,-0.00061767-0.0012576i,-0.0012138-0.00062037i,-0.00081554+0.00027227i,0.0013468+0.0004143i,0.0029015-0.00035696i,0.0023628-0.00060843i,0.0010718-0.0003638i,0.00018595+0.00044401i,0.00047232+0.0013067i,0.0013477+0.00062884i,0.001388+0.0001531i,0.00073064+0.00085565i,0.00039662+0.00046135i,0.00049339-0.00040187i,0.00081908-0.00024045i,0.00054882-0.00047259i,-0.00096767-0.00085769i,-0.0013173-0.00042748i,-0.0006442+0.00024094i
-0.00099805-0.0013564i,-0.0010647-0.0020023i,-0.0012945-0.0015892i,-0.0009199-0.00073561i,-0.0017309+4.309e-05i,-0.0011073+0.0010553i,0.00084445+0.0017582i,0.00068604+0.0012728i,0.00041426+0.00029352i,0.00084096-0.00024406i,0.00052434-0.00013749i,-4.8209e-05+0.00051588i,-0.0001528+0.00059239i,-6.4214e-05-0.00073008i,0.0004421-0.0011905i,0.00067682-0.0012283i,0.0006352-0.0018382i,0.00013977-0.0016508i,-0.00056755+0.00015163i,-0.00049403+0.00052174i,-0.00011728-0.0006138i,-0.00032812-0.00049303i,-7.0837e-05+0.00030454i
0.00041367+0.0018056i,-0.00030017+0.0010605i,-0.00065899+0.001408i,-0.00084081+0.0017133i,5.2233e-05+0.001734i,0.0013927+0.0016445i,0.0018814+0.00070469i,0.0013445+0.00028088i,0.0011067-0.0004622i,0.00037948-0.00081951i,-0.00024115-0.00021724i,0.00024544-0.00035494i,0.0010647-0.0014111i,0.0011384-0.0020632i,0.00022554-0.0022521i,-4.8558e-05-0.0015531i,-0.00016575-0.00021901i,0.00016948+0.00037816i,0.00030849-1.1484e-05i,5.52e-05-0.00044427i,-6.7077e-07+5.4155e-05i,0.00021574+0.00065458i,0.00023557+0.00062078i
-0.0013485+0.0014326i,-0.0012118+0.0011197i,-0.0011602+0.001958i,-0.00073578+0.0022117i,9.604e-05+0.0013873i,0.00090766+0.00104i,0.00099884+0.00066781i,0.00084955-0.00032047i,0.000264-0.00098897i,-0.0007143-0.0011397i,-0.0004934-0.00057182i,0.0010145-0.0011654i,0.0014391-0.0019234i,0.00050227-0.00084835i,0.00078488+0.00079638i,0.0013028+0.00082251i,0.0010976+0.00028239i,0.0010691+0.00050624i,0.00077683+0.00033376i,0.00061895-0.00032401i,0.00051469-9.9415e-06i,0.00025388+0.00039007i,0.00043858+0.00036961i
0.00041737-0.0031547i,0.00081377-0.0035342i,-0.000166-0.0039229i,-0.0010526-0.0030793i,-0.0016911-0.0015679i,-0.00087073+0.00013i,0.00090789+0.00065853i,0.00085132-0.00069745i,0.00058749-0.0014934i,-0.00052574-0.0007969i,-0.0015694-0.00063766i,-0.0014974-0.0010371i,-0.0017427-0.0007199i,-0.0015898+0.00030805i,-0.0017835+0.0010105i,-0.0017929+0.0017282i,-0.0013915+0.0016927i,-0.00038033+0.00025612i,0.00066066-0.00063695i,0.00037022-0.00091608i,-0.0003974-0.00080235i,-0.00053118-0.00044297i,-0.00061559-0.00018241i
0.0002604+0.0012072i,0.00066283+0.0012034i,0.00084197+0.00030117i,0.00015524+0.00019874i,0.00072914+0.0010394i,0.00064884+0.001186i,-0.00065736+0.00064476i,-0.00039782-0.00040671i,0.0001917-0.00036239i,0.00018292+0.0002259i,-0.00026724-0.00048177i,-0.0008672-0.00092428i,-0.0011246-0.00014522i,-0.0005332+0.00031954i,0.00036774-0.00012078i,0.001298-0.0006435i,0.00064443-0.00058233i,-0.00023597-0.00041017i,-0.00054836-0.00059896i,9.3258e-05-0.0011427i,0.00053434-0.00089344i,7.7013e-05-0.00065108i,-1.1359e-07-0.0015754i
-0.00147-0.00025527i,-0.0020939+0.0004552i,-0.002492+0.00094769i,-0.0032231+0.0006925i,-0.0024984+0.0011188i,-0.00039428+0.0011531i,0.00024176+0.0011762i,0.00016625+0.0019452i,0.00016616+0.0023235i,-0.00037109+0.0014806i,-0.00015023+0.00084029i,-6.3733e-05+0.0010245i,-0.00011684+0.0012961i,0.0001311+0.0014547i,0.00040006+0.0010316i,0.0014127+0.00068806i,0.0013069-0.00011451i,0.00054761-0.0014602i,0.00079134-0.001943i,0.00069886-0.0027178i,-7.679e-05-0.0022181i,-0.00020959-0.0006649i,-0.00012081-0.0007867i
-0.00095571-0.0016797i,-0.00027834-0.0019608i,0.00043973-0.002418i,0.00019986-0.0010256i,-0.00013674+0.00090414i,0.00072048+0.0015497i,0.0019571+0.00094227i,0.0017556+0.000155i,0.0005626-0.00015512i,-0.00058897+0.00022501i,-0.001285+0.0012788i,-0.00052477+0.0021229i,0.0012856+0.0019307i,0.001159+0.0014533i,-0.00019191+0.0009102i,0.00052265+6.7734e-05i,0.0014365-0.00057267i,0.00057687-0.00072314i,-0.00016246-0.00083098i,-0.00076039-0.0011571i,-0.00097023-0.001256i,-0.00082984-0.00026698i,-0.00077778+0.00084227i
-0.0021895-0.00040315i,-0.0011212+0.00030739i,-0.0007113+0.00094968i,-0.0004375+0.00082725i,0.00016093+0.00022319i,0.00029659+0.00083432i,0.00022555+0.0014644i,0.00070947+7.813e-05i,0.0012892-0.00072014i,0.0014438-0.0010531i,0.0012136-0.0012319i,0.00087867-0.00088064i,0.0011813-0.0008183i,0.0010368-0.00068732i,0.0011806-0.0003975i,0.0012018-0.00059508i,0.00018166-0.00071734i,-7.5132e-05-7.017e-05i,-0.00037929-0.00045057i,-0.00061456-0.00052828i,-0.00010112-5.1638e-05i,-0.00012318+7.3934e-05i,-0.00065443+0.00075007i
0.00037345-0.0040394i,-0.00089735-0.0046349i,-0.0013121-0.0033279i,-0.0018383-0.00041596i,-0.0025669+0.001119i,-0.0016116+0.0018289i,1.6419e-05+0.0016945i,0.0013613+0.0001251i,0.0016637-0.0014287i,0.0014958-0.0022993i,0.0016013-0.0024366i,0.0015011-0.0025208i,0.00161-0.0023411i,0.0012058-0.0011562i,0.00052587+0.00049101i,-0.00014907+0.0012234i,-0.00063749+0.0010788i,-0.00034871+0.00097463i,-0.00024429+0.00060463i,-0.0003058+0.00010878i,-0.00051755-0.00016111i,-0.00060424-0.00051387i,-0.00044765+8.2766e-05i
-0.00048044-5.7073e-05i,-0.00051091+5.0515e-05i,-0.001636+4.8021e-05i,-0.0013596+0.00015226i,-0.00068298+0.00040088i,0.00036887+0.0008982i,0.0022911+0.00072178i,0.0032217+0.0001971i,0.00182-0.000167i,0.00055254-0.00085867i,1.384e-05-0.0014159i,-0.00051065-0.0017716i,-0.00077649-0.0021709i,-0.001009-0.0014496i,-0.00065182-0.00028688i,-0.00087636+0.00037252i,-0.0011553+7.5043e-05i,-0.00081936-0.00010143i,-0.00031551+0.00041401i,0.00017173+0.00076123i,-2.0401e-06+0.00012075i,-0.00047683+0.00016979i,-0.00030085-7.1677e-05i
-0.0010897+0.00025117i,-0.0014253-5.4377e-06i,-0.00077326+0.0001028i,-0.0014981+0.0015433i,-0.0012697+0.0025346i,0.00018854+0.0018462i,0.0008262+0.00089291i,0.0003732+5.3402e-05i,0.00018055-0.00084157i,-0.00010615-0.00093357i,-0.0015499-0.0013754i,-0.0022853-0.0022996i,-0.0013417-0.0017001i,-0.00015236-0.001201i,0.00037961-0.0010233i,0.0004266-0.00071345i,-4.8774e-05-0.0006614i,-0.0003388-0.00058163i,-0.00096028-0.00018712i,-0.0010463-0.0005073i,-0.00029579-0.00071768i,5.6462e-05-9.53e-05i,7.6456e-05+0.00037188i
