-0.00092034+0.00075824i,0.000156-0.00063028i,0.00036104-0.0011773i,-0.00058963-0.001273i,-0.0017846-0.00018757i,-0.0022127+0.0010416i,-0.00056163+0.0011033i,0.0011744+0.001089i,0.0015389-4.7213e-06i,0.0010667-0.00094111i,0.00014543-0.00080061i,-0.00013155-0.00062933i,0.00054841-0.00025409i,0.00091125-0.00030018i,0.00043854-0.00047217i,0.00013602-0.00055241i,0.00041948-0.00041138i,0.00080968+0.00024294i,0.00064397+0.0003126i,7.4984e-05-0.00058805i,-0.00013906-0.00062047i,-0.00070197-1.1848e-05i,-0.00073148-7.7857e-05i
8.1968e-05+0.001719i,-0.00066483+0.0019144i,-0.00023638+0.0014978i,0.00011683+0.001007i,-0.00025576+0.0006823i,-0.00044906+0.00042108i,-0.00053807-0.00030052i,0.00011296-0.00089807i,0.00057483-0.0011588i,0.00041708-0.00085317i,-6.083e-05+0.00021698i,-0.00027246+0.00083503i,0.00045999+0.000333i,0.00027478-0.00029984i,0.00011374-0.0001938i,0.00067371+0.00044941i,0.00012139+0.00024862i,-3.3663e-05-0.0002538i,0.00020993-0.00031543i,-0.00053282-0.00052669i,-0.0011336+0.00015551i,-0.0008127+0.0011372i,-0.00028356+0.0012269i
0.0013142-0.0013069i,0.0014595-0.0016819i,0.00096152-0.0021778i,0.0012998-0.00041235i,0.001501+0.0015468i,0.00091761+0.0017504i,0.00066989+0.00079912i,0.00028929-7.8731e-05i,0.00026884+4.1081e-05i,0.00068883+0.00030571i,0.00024144+0.00041627i,-0.0002434+0.00027633i,-0.00089657+6.014e-06i,-0.0011459-0.00073426i,-0.00047436-0.00091689i,-0.0004159-0.00011144i,-0.00050941+0.00033454i,3.9204e-05+0.00048696i,-4.7545e-05+0.00086633i,-0.00051793+0.00038579i,-0.0012624-0.00095017i,-0.0014808-0.0005153i,-0.00057545+0.00035755i
-0.00018011-0.00076676i,-0.00033273-0.00041749i,-0.00091111-0.00055348i,-0.001008-4.3336e-06i,-0.00030558-0.00026235i,0.0012886-0.00063969i,0.0020491-0.00044592i,0.0012395-0.00076907i,0.00065172-0.0011742i,0.00099756-0.00087808i,0.00098968+0.00019625i,0.001027+0.0011173i,0.00091542+0.00069057i,0.00044175-4.1773e-05i,-1.5681e-05+0.00038857i,-0.00045823+0.00081421i,-0.00026488+0.00056777i,4.0849e-06+0.00018446i,3.2043e-05-0.00014505i,-0.0006701-4.2241e-05i,-0.0007899+9.6367e-05i,-0.00016919+0.00011891i,0.00016645+0.00010581i
0.001011+0.00030758i,0.00075627+0.00011195i,0.0011024+0.00018301i,0.0010169+0.00016172i,0.00035791-0.00070243i,-0.00020154-0.0011394i,0.0003099-0.00051063i,0.00011262-7.3372e-05i,-0.00024956-0.00039462i,-0.00049737-3.3268e-07i,-0.000768+0.00083499i,-0.00067095+0.0011653i,-0.00097546+8.5034e-05i,-0.00095781-0.00063078i,-0.00046267-0.00029174i,-0.00038286-0.00017962i,-0.00014543-0.00075665i,-3.1567e-05-0.00066303i,-0.00035512-0.0010112i,-0.00015656-0.00052897i,-0.00077252+0.00056777i,-0.0017278+0.00053833i,-0.0013004+0.00061785i
-0.0012681-0.00063313i,-0.0012674+0.00019494i,-0.00094142-0.00012529i,-0.00079218-0.00056293i,-0.00054908+0.00027569i,-6.0053e-06+0.00022193i,0.00063309-0.0013035i,0.0003965-0.0010946i,0.00040056-0.00081834i,0.00031224-0.0011747i,-0.00045316-0.00072505i,-0.00090706-0.00020652i,-0.00078001-0.00019541i,-0.00083464-0.00024915i,-0.0010582-0.00021761i,-0.0003137-0.00017486i,0.00025314+0.00021404i,-6.9004e-05+0.0004123i,-0.00099627-0.00033027i,-0.00085034-0.00050934i,-5.2016e-05+0.00035898i,-0.00016915+0.00048228i,-0.00010506+0.0003032i
-8.2451e-05+0.00076667i,0.00070572+0.00079106i,0.00050381+0.0011981i,0.00060659+0.0015309i,0.00049147+0.0011577i,0.00068511+0.00019394i,0.0018684-0.0011745i,0.0015973-0.0012623i,0.00038676-0.00031375i,-0.00094609+0.00022153i,-0.0015776+0.00017742i,-0.0011203+0.00017069i,-0.00055651+0.00028714i,0.00016405-0.00059521i,0.0012154-0.00046929i,0.0018222+0.00035379i,0.0010854-0.00020874i,0.00021948-0.00052756i,-1.6939e-05-0.00020239i,9.6873e-05+0.00014296i,-0.00034994+0.00065552i,-0.0010382+0.00033745i,-0.0013265-0.00026301i
0.00058814-0.0022121i,0.0014201-0.0016071i,0.00080555-0.002174i,-0.0012277-0.0015256i,-0.0019959+0.00040191i,-0.00098544+0.0010963i,-0.00062243+0.0012079i,-0.00030781+0.0009756i,0.00011822+0.00049993i,-0.00057306+9.8459e-05i,-0.00073097-0.00037132i,-5.6341e-05+0.00014704i,-3.7293e-05+0.00073269i,-0.00049489+0.00012607i,-2.7933e-06-0.00034415i,0.00064216+2.4134e-05i,0.00037167+0.00016928i,-8.4774e-05-3.8093e-06i,-0.00068352+0.00041868i,-0.00037806+0.00019552i,0.00011053-0.00063839i,-0.00014469-0.00029314i,0.00016991+5.2778e-05i
-7.5041e-06-0.0020656i,-0.00072216-0.0011628i,-0.0012392-0.00057403i,-0.00065027-0.0010372i,-0.00031313-2.6686e-05i,-1.1606e-06+0.00074735i,0.00097502+6.1467e-05i,0.00087099-0.00099282i,-0.00023475-0.0019713i,-0.0010501-0.0016352i,-0.0012002-0.00058528i,-0.00089091-0.0005874i,-0.00080377-0.00092263i,-0.00044363-0.00055206i,7.6599e-05-6.3337e-05i,0.00053589+0.00019881i,0.00011427+0.00047869i,-0.00014865+2.1061e-05i,0.00067969-0.00017132i,0.00052748+0.00039361i,0.0001037+0.00017858i,0.00039834+0.00016684i,-0.0001314+0.00049253i
-0.0018594+0.0016799i,-0.00058226-6.882e-05i,-0.001134-0.0008612i,-1.2429e-05+6.637e-05i,0.0014216+0.00032961i,0.001897-0.0001697i,0.0023448-0.00015546i,0.0018441+6.5281e-06i,0.00060328-3.3557e-05i,-0.00043087+4.5243e-05i,-0.00051547+0.00030884i,-0.00027168+0.0004605i,-0.00024459+0.00051048i,-0.00023939-7.2676e-05i,0.00044716-0.00020592i,0.00092497+0.00025659i,0.00067994+7.6457e-05i,0.0001332-0.00014245i,-0.00011021-4.2973e-05i,-0.00032828+0.00012263i,-0.00067123-0.00037789i,-0.00027076-0.00082321i,3.3507e-05-0.00048904i
0.0033056-0.00058746i,0.0034522-0.00041892i,0.003397-0.0007244i,0.0018031-0.00043851i,0.00021571+0.00036509i,-0.00026488+0.0012651i,0.00081548+0.0010821i,0.0015747+0.00029214i,0.0011163-0.00019613i,0.00014648-0.0011616i,-0.00073552-0.0016899i,-0.00033844-0.00068387i,0.00053668-0.00014033i,0.0002627-0.00033564i,-0.00020029-0.00031225i,-0.00037943-0.00019381i,-2.9444e-05-0.00026089i,0.00038227-0.00014313i,-8.6945e-05-9.5998e-05i,-5.5549e-05-0.00012536i,-0.00030536-0.00043401i,-0.00021506-0.00063806i,-0.00019277-0.00015367i
