0.00090916+0.0014293i,0.0020363+0.00056913i,0.0010512-0.00073114i,8.698e-05-0.0011278i,-0.00053087-9.0676e-05i,-0.00046435+0.0011544i,0.00073081+0.0018205i,0.0015232+0.0018429i,0.0016513+0.0016681i,0.0014008+0.00043668i,0.0014557-0.00011925i,0.00080459+0.00016599i,-0.00015549+0.00033359i,0.00015773+7.7976e-05i,0.00019922-0.00013563i,-0.00036297+0.00059723i,-0.00067107+0.00028381i,-5.9718e-05-0.0005644i,0.0011094-0.00060369i,0.00083368-0.00075384i,-0.00044242-0.00081769i,-0.00086212+3.077e-05i,-0.00062967+0.00048328i
-0.0015724+0.00031335i,-0.0020146+0.00012035i,-0.0015577+0.00058241i,-0.00038084+0.00027657i,0.00025056-0.00059552i,0.00095833-0.00089234i,0.00095033-0.00058568i,0.00035111-1.9371e-05i,-6.4602e-05+0.0002557i,-0.00037976+0.00047684i,-0.00058892+0.0010412i,-1.344e-05+0.001194i,0.00030272+0.0013183i,-0.0001584+0.0012909i,-0.00050448+0.0011127i,0.00011347+0.00094829i,0.000737+0.00065016i,0.00077772-1.3637e-05i,0.00046293-0.00054599i,-5.105e-05-0.0005047i,-0.00083736-0.00083227i,-0.0010946-0.00033492i,0.00025031+0.00082898i
-0.00031779-0.00046149i,-0.0002479-0.00058521i,-0.00033071-0.00054556i,-0.00054629-0.00069789i,6.7827e-05+0.00012493i,0.00016152+0.0013567i,-4.2615e-05+0.0004962i,-0.0006044-0.00029373i,-0.00033612+0.00023767i,-0.00042066+0.00070494i,-0.00087285+0.0011061i,-0.00044411+0.0015568i,-0.00050132+0.0013889i,-0.000664+0.00012128i,-0.00033733-0.00054019i,0.00036131-0.00046686i,0.00072974+8.7355e-05i,0.00018912+0.0011433i,-0.0004684+0.0011371i,-0.00055573+0.00041375i,-0.00054564-0.00015742i,-7.1818e-05-0.0007964i,0.0009566-0.00089285i
8.1136e-05-0.00037302i,4.6089e-06+0.00014767i,-0.00024409+0.00047104i,-0.00015716+0.00096437i,-0.00014424+0.001113i,0.00042852+0.00092255i,3.3269e-05+0.0010362i,-0.00054156+0.00089761i,-0.00042995+0.00016798i,-0.00046869+6.2757e-05i,-7.2439e-06+0.00016061i,0.00050656-0.00039365i,0.00078643+0.00052075i,0.00038066+0.00068709i,0.00033969+2.129e-05i,0.0010256+0.00013165i,0.0013034+0.00043206i,0.0015793+0.00027729i,0.0011889+6.8531e-05i,0.00031089+0.00016581i,0.00016579-0.0003036i,0.0006963-0.00056238i,0.00083467-0.00036741i
-0.00019385-0.0019335i,-8.2693e-05-0.0018684i,-0.00076766-0.0033051i,-0.0013707-0.0029792i,-0.0014467-0.0010595i,-0.00047822+0.0001614i,0.00030673+0.00037662i,8.9643e-05-0.00042668i,-0.00010543-0.00051909i,-0.00039546-0.00036232i,-0.00054549+0.00017355i,0.00022027+0.00032294i,4.4068e-05-0.00041529i,-0.00066427-0.00072673i,-0.00044828+0.00026095i,7.3788e-05+0.0013417i,0.00014482+0.00087007i,0.00057926+0.00034758i,0.00037022-0.00011475i,-9.5206e-05-0.00032937i,0.00010058+0.00025058i,-0.00017475+0.00071564i,0.00019238+0.00068453i
-0.0016949+0.00012965i,-0.0020126+0.0003985i,-0.00098739+0.0011428i,-0.00030699+0.0016304i,-8.4757e-05+0.0016085i,0.00054155+0.00088957i,0.00029713+0.0002626i,-0.00082763-9.6338e-05i,-0.0005934-0.0004433i,-0.00010529-2.9183e-05i,0.00022998+0.00068746i,0.00032645+0.0011301i,-0.0001928+0.00078966i,-0.0006461+4.8081e-05i,-0.00085263+6.5557e-05i,-0.00063027+0.00017998i,-0.00070108-0.00014223i,-0.00096482-0.00064307i,-0.00038073-0.00057837i,5.9936e-05+0.00050028i,-0.00038455+0.0010724i,2.7041e-06+0.0012417i,0.00085037+0.00074226i
-0.0015936-0.00079332i,-0.0012196-0.00045161i,-0.0023713+0.00072141i,-0.0022772+0.0013825i,-0.0013518+0.0008119i,-0.00032391+0.00011872i,-4.3746e-05+0.00071678i,-0.00046606+0.00098573i,-0.0008237+0.00040106i,-0.00083334+0.00017562i,0.0004548+0.00037647i,0.0011047+0.00086407i,0.0011189+0.0013734i,0.00059213+0.00085436i,0.00018042+0.00098666i,-0.00018685+0.0011678i,-0.00070391+0.00069273i,-0.00083255-0.00091883i,-0.00067651-0.0014501i,-0.00033974-0.0002771i,-0.00050675+0.00074646i,-0.00077027+0.00066176i,-0.00076082+0.00035556i
5.5779e-05-0.0004474i,0.00086928-0.00035836i,0.0015641-0.00057992i,0.0016461-0.00084604i,0.0018624-0.0010412i,0.0015238-0.00074215i,0.00094994-0.00043167i,0.00014247+0.00024655i,-0.00024485-0.00027983i,-0.00010847-0.00034788i,-6.0428e-05+0.00047751i,-0.00020439+0.00054278i,-0.00034806+0.00045313i,-0.00064076+0.00021711i,-0.00051081-0.00037107i,-0.00043923-0.00030608i,-0.00050024+0.00041196i,0.00042993+0.0003531i,0.0013743-0.00076636i,0.00087717-0.00090023i,0.00021114+0.0002728i,8.3191e-05+0.00054344i,-0.0001552-0.00024973i
0.0019548-0.00097309i,0.0016215-0.0015818i,0.0015276-0.0014726i,0.001081-0.0012888i,0.00060402-0.00038706i,0.0011266-0.00028257i,0.0011821-0.00096066i,0.00046068-0.001513i,-6.3649e-05-0.0012004i,-0.00051866-0.00037164i,-0.00024003+0.00013975i,-0.00022437+0.00052823i,-0.00053256+0.00044948i,-0.00073585+6.3458e-05i,-0.0008065+0.00020219i,-0.00034544+0.00074696i,0.00049484+0.0010796i,0.00075364+0.0012782i,0.00055853+0.00083526i,-0.00016419+0.00093649i,-0.0012993+0.001374i,-0.00017277+0.00073914i,0.00092243+0.00053219i
-0.00079103+0.0018464i,-0.0010461+0.0024557i,9.3713e-05+0.0030892i,0.00083652+0.0032974i,0.0009653+0.0016171i,0.0011776+0.0012008i,0.00073163+0.0015165i,-9.8036e-05+0.0011445i,-0.00099313+0.00060801i,-0.00081081-0.00076635i,-7.5451e-05-0.0013241i,0.00071496+0.00018653i,0.00094836+0.000754i,0.00029549+0.0002735i,-0.00011832+0.0002032i,0.00014121+8.8747e-05i,0.00069364+0.00061057i,0.00031218+0.00095407i,-0.00036182+0.0007273i,-0.00021866+0.0006251i,0.00032568+0.00059619i,0.00054688+0.00067014i,0.00027957+0.00061644i
-0.0010833-0.0011685i,-0.0003978-0.00090643i,-0.0013339-0.00081256i,-0.0018672-0.0006129i,-0.0012475-1.7833e-05i,-0.00075286-0.00027598i,-3.943e-05-0.00042235i,0.00059959-0.00041891i,0.00055636-0.00063306i,0.00028287+4.9855e-05i,0.00041766+0.00091496i,0.00036207+0.00069166i,-0.00022161-5.3753e-05i,-0.0002442-7.8489e-05i,-0.00017056-0.00019537i,0.00045983-0.0001761i,0.0012604+0.00067793i,0.00095864+0.00054584i,0.00050378+0.00040152i,0.00012357+0.00038739i,0.00037219-0.00041492i,0.0009084-0.00039993i,0.00063891-4.3921e-05i
5.2965e-05+0.00080334i,-9.1598e-05+0.00083364i,0.00080198-0.00063015i,0.0014977-0.0010931i,0.0010957-0.00033868i,0.00088137+9.9788e-05i,0.0011671+0.00088589i,0.00044574+0.0009008i,-0.00054501+0.00046584i,-0.00033088+0.00083454i,0.00019058+0.00098161i,0.00022987-6.2189e-05i,0.00067708-0.00054393i,0.00076358+0.00058008i,-0.00067514+0.0013197i,-0.0015263+0.00069234i,-0.00084275+0.00032106i,7.8768e-05+1.2346e-05i,0.0010365-0.00040955i,0.00086791+0.00036793i,0.0003295+0.00086768i,0.00068369+1.8112e-05i,0.00099409-6.3607e-05i
0.00033307-0.00078583i,0.0004736-0.00086797i,0.00031877-0.0019422i,0.00080388-0.0023986i,0.0010218-0.0017209i,0.0011747-0.00054515i,0.001133-0.00061943i,0.00087007-0.001237i,9.6588e-05-0.00071223i,-0.00062484+1.6448e-05i,-0.00053459+0.00088929i,-0.0010587+0.00105i,-0.0012796+0.00024389i,-0.00065885-9.7767e-05i,-0.00044474+0.00015858i,9.6272e-05+0.00047799i,0.0010313+0.0012734i,0.00071676+0.0015734i,0.00028167+0.00076548i,0.00031895+6.8474e-05i,0.00022213-0.00030575i,-0.00013654-0.00021162i,-9.4093e-05+0.00030191i
-0.0021394+0.00058477i,-0.0017188+7.4173e-05i,-0.00040826+0.0004873i,0.00026962+0.0010198i,7.3058e-06+0.00023342i,-0.00033093-0.00057854i,-0.00046041-0.00055414i,2.4586e-05-0.00024834i,-0.0002291+0.00025624i,-0.00051846+0.00076668i,0.00048738+0.00055667i,0.00084593+2.2969e-05i,0.00040012-0.00023167i,-1.4656e-05-9.1114e-05i,-0.00018265+0.00014409i,-0.00017724+6.8774e-05i,-5.798e-05-0.00017505i,6.936e-05-0.00045848i,-7.5048e-05-7.6892e-05i,4.9628e-05+0.00025563i,-6.6778e-05+0.00022194i,-0.00040081+0.00035232i,-0.00026748+1.6476e-05i
0.0017833-0.0022181i,0.00036529-0.0029486i,0.00054998-0.0036939i,0.00031319-0.003017i,-0.00047636-0.001786i,-0.00011288-0.00064796i,0.00033037+0.00028972i,0.00023843+2.438e-05i,-5.762e-05-0.001037i,-0.00019983-0.00077993i,-2.1526e-05+0.00028421i,-0.00039766+0.00042396i,-0.0012966-0.00043359i,-0.0007441-0.00078926i,-9.6293e-05+0.00021582i,0.00027501+0.00093973i,0.00035069+0.0010799i,0.00030895+0.00088112i,0.00074259+0.00052996i,0.00037515+0.00024267i,-0.00059173+0.00037304i,0.00017946+0.00081025i,0.0008023+0.00087618i
-0.00045996+0.00063413i,-0.00089033+0.00011553i,-0.00070205-0.00028833i,-0.00043191+0.00025823i,9.1687e-05+0.0008485i,0.0013352+0.00046468i,0.0014661-0.00039373i,0.00056692-0.0012911i,-3.5193e-05-0.0010338i,-0.00075331+8.5272e-05i,-0.0009684+0.00075274i,-0.00037802+0.00055836i,-6.753e-05+0.00025134i,-0.00056308+0.00061634i,-0.0015489+0.00020815i,-0.0015609-0.00056364i,-0.00018636-6.908e-05i,1.1976e-05-0.00021165i,-0.00051488-0.00015809i,-3.6147e-05+0.00027257i,0.00055716+0.00075946i,0.00022958+0.00065136i,-0.00025414-0.00040523i
-0.00089708+0.00086631i,-0.00073441+0.0016019i,-0.00039538+0.0019819i,-0.00037475+0.00097241i,-0.00017915-5.1577e-05i,5.2191e-05-0.00045292i,0.00058923-0.00034189i,0.00023081+0.00016812i,3.392e-05+0.00034099i,0.00097313+0.00050847i,0.00091191+0.0015087i,0.00042461+0.0015258i,0.00047185+0.0003084i,0.00065234-0.00014904i,0.00079111+0.00029371i,0.00033695+0.0002791i,0.00024789-0.00047995i,0.0004252+1.1999e-05i,0.00038692+0.00011995i,0.00029414+8.5252e-05i,0.00065013+0.00053882i,0.00096449+0.00043804i,0.00090606+0.00038306i
