-0.0013421+0.0011969i,-0.00087079-0.00041159i,-0.002491-0.00039546i,-0.002357-0.00052348i,-0.0017189+0.00088323i,-0.002249+0.001739i,-0.0014142+0.0016148i,0.00022241+0.0018083i,0.0017027+0.0016291i,0.0020176+0.00058935i,0.00146-0.00060191i,0.001223-0.00030244i,0.00088377-0.00045187i,0.00092202-0.0013323i,0.00033186-0.0006362i,-0.00036946+0.00013154i,0.00028195-9.1952e-05i,0.0010081+0.00029326i,2.7726e-05+0.00076606i,-0.00069305+0.00039061i,-0.00042463-0.00039423i,2.5358e-05-0.00025858i,0.00048165+0.00030059i
-0.00059509+0.0013207i,-0.00061766+0.0011533i,-0.0011724+0.00092267i,-0.0016328+0.00086658i,-0.00096148+0.00096026i,-0.0007859+0.00046245i,-0.00098871+0.00013837i,-0.00081496+9.5786e-05i,-0.00030876-1.332e-05i,0.00027032-1.4681e-05i,2.3599e-05-0.00017813i,0.00016967-0.00010205i,0.0005458+0.00064851i,-0.00030989+0.0013954i,-0.0010037+0.0012581i,-0.00080987+0.00069028i,-0.00015938+0.00037612i,0.00026398+0.0002011i,0.0002122+0.00028891i,0.00074328-0.00032993i,0.0013778-0.00085666i,0.00096953+0.00034114i,0.00047227+0.00093565i
-0.0011056-0.00063494i,-0.0013467-0.00045362i,-0.00099726+0.00068834i,-0.00092189+0.00084059i,-0.0010987+0.00052597i,-0.00039643+0.00035445i,0.00011254+4.5678e-05i,0.00012932+0.00013078i,0.00067593+0.00038038i,0.00091776+7.9003e-05i,0.00057421-0.0006544i,0.00033574-0.00066906i,0.00032301-0.00058192i,0.00033424-0.00018576i,0.00042191+0.00018229i,-0.00045946+4.6581e-05i,-0.00076351-0.00040401i,-0.00065576-0.00054566i,-0.0006707-0.00011451i,-0.00040889-0.00013991i,-4.945e-05-0.00035661i,0.00048432-0.00066603i,-0.00050249-0.00095558i
-0.001149+0.0016303i,-0.00073567+0.0021475i,-0.0018535+0.0019034i,-0.00095589+0.0017785i,-4.2308e-05+0.0012466i,-0.00074791+0.00053348i,-0.00051732-3.268e-05i,0.00029882+4.0146e-05i,0.00061194+0.00033801i,0.00074944+2.477e-05i,0.00041787-0.00014112i,8.1751e-05-0.00015122i,-0.00018192-0.00046638i,-0.0003503-0.00052167i,1.8789e-05-0.00076884i,6.0656e-05-0.0008668i,4.29e-05-0.00027528i,0.00017531+4.8491e-05i,0.00067269+0.00034926i,0.00045932+0.00020868i,2.3682e-05-1.1083e-05i,-0.00066526+2.3942e-06i,-0.0011233+0.00049721i
-9.5992e-05-0.00017464i,-0.00093763-0.0012983i,-0.0029058-0.0021692i,-0.0027612-0.0022623i,-0.0010286-0.0013002i,0.00015246-0.00027692i,0.00047888+0.00055564i,0.00050379+0.0018289i,0.0012632+0.0014658i,0.001967+0.00041922i,0.0019215-0.00013524i,0.0017553-0.00082812i,0.00085441-0.0008484i,-0.00010911-0.00043027i,-0.00028254-0.00026297i,0.0004073-0.00037328i,0.00085047-0.00096808i,0.00026092-0.00059349i,-0.00015588+0.00037265i,-5.6914e-05+0.00055716i,8.0154e-06-0.00013425i,-0.00028567-0.00034451i,-0.00044145-0.00081126i
-0.00034671-0.00019697i,-0.00019132-0.00076816i,-0.0017606-0.00029434i,-0.0029183+0.00070467i,-0.0017993+0.0003523i,-0.00023718+0.00016249i,0.00018614+6.4464e-05i,0.00024739+4.0332e-05i,0.00060221+0.00025982i,0.0004471+0.0001632i,0.00066303-0.00023965i,0.0014398-0.00081342i,0.0015427-0.0012116i,0.00068161-0.0010746i,-0.00031451-0.00039428i,-0.00074375+0.00017602i,-0.00062973+8.1787e-05i,-0.00025553+3.8116e-06i,-0.00028766-0.00017004i,0.00011958-6.8754e-05i,0.00049277+0.00058692i,0.00062959+0.00035203i,0.00036261-0.00050057i
-0.0004341-0.00012646i,-0.0011148+0.00019074i,-0.00098021+0.0016067i,-0.0013487+0.002402i,-0.0011866+0.0016594i,-0.00083801+0.00055579i,-0.00068348-0.00018007i,0.00022974-0.00024894i,0.00094229+8.9936e-05i,0.00060846+5.1279e-05i,-0.00030875-7.7173e-05i,5.8411e-05-0.00039253i,0.00069587-0.00085522i,0.00014205-0.00086727i,-0.0003312-0.00015809i,-0.00084686-0.0005015i,-0.00093878-0.0010342i,-0.00055102-0.00025902i,-0.00043973+0.00058188i,-0.00013461-0.00012801i,-6.5267e-05-0.0006978i,-0.00039494-0.00020266i,-0.00049667+0.00031629i
-0.0010112+0.00050995i,-0.00037162+0.00092534i,-5.1051e-05+0.0012513i,0.00022392+0.001919i,0.00096173+0.0013411i,0.00076159-0.0002097i,-0.00010105-0.00072966i,-4.4862e-05+0.00040419i,-9.4724e-05+0.00013804i,9.3506e-05-0.00061923i,0.00041975-0.00016124i,0.00059222-0.00062667i,0.00027112-0.00096075i,4.2725e-05-0.00061814i,-0.00059819-0.00033356i,-0.0010581-0.00050477i,-0.0003541-0.00073949i,-0.0001275-0.00040229i,-0.00038849-0.00015593i,7.0191e-05-0.00016913i,0.00088311+0.00042558i,0.00037987-0.00011768i,-0.00029216-0.00097446i
-0.00084687-0.0004892i,-0.000476-0.0013655i,-0.00092856-0.001853i,-0.001409-0.00049449i,-0.0012759+0.0011074i,-0.00057065+0.00026312i,0.00083377-0.0013499i,0.0012947-0.00053247i,0.00077255+0.00039388i,0.00051316-0.00064812i,0.00073552-0.0014201i,0.00111-0.00075261i,0.00077789+0.00023821i,0.0003646+0.00047759i,-0.00025474-2.2512e-05i,-0.00086067-0.00037229i,-0.00081145-0.00016846i,-0.00078907+0.00043202i,-0.0006429+0.00096349i,1.4962e-05+0.00058136i,0.000223-0.00051962i,-0.00034833-0.00051258i,-0.00048134-0.00015968i
-0.00068108-0.00088433i,-0.00024758-0.00096615i,-0.00054604-0.00129i,-0.0015984-0.00077099i,-0.0016983-0.0004665i,-0.0012396-0.00034642i,-0.0012048+0.00013256i,-0.00077736+0.00096417i,0.00039736+0.0016151i,0.00085268+0.00092251i,0.00030005+0.00035492i,-0.00017521+0.00028611i,0.00061089-0.00010708i,0.0017387-0.00023409i,0.0012768-0.00032376i,-0.00010069+9.318e-05i,-0.00046406+0.00062152i,-0.00024914+0.00043351i,-0.00014156+0.00052238i,-4.1092e-05-3.5015e-06i,-0.00042516-0.00086934i,-0.00023216-0.0012138i,-8.9088e-05-0.00074751i
0.00094348+0.0019686i,0.00055485+0.0010107i,0.001924+0.0014015i,0.0021114+0.0014932i,0.00083872+0.00038308i,-0.00023564+0.00019894i,-0.00026812+0.00093826i,0.00018417+0.0012342i,0.00053589+0.0010758i,0.0010285-0.0002228i,0.0011528-0.00061147i,0.00065436-0.00016935i,0.00058982-0.00042055i,0.00046832-0.00046636i,9.5877e-05-0.0003249i,-5.6971e-05+0.00021994i,-4.2308e-05+0.00049378i,0.00016582+0.00014024i,0.00037587-0.00011735i,0.0005923+3.5649e-06i,0.00071042+0.00051438i,0.00068637+0.0011245i,0.00053134+0.0014862i
0.0013354+0.00092205i,0.00026364+0.00067502i,-0.00052894+0.00097104i,-8.4598e-05+0.00054777i,0.0003842+8.1444e-05i,0.00010627+0.00049094i,-0.00026227+0.0004154i,-0.00051672+0.00035052i,-0.00072567+0.00072637i,-0.00022437+0.00032415i,0.00015655-0.00045349i,0.00058775-0.00073926i,0.0012915+8.7484e-05i,0.0009518+0.00077241i,0.00034717-0.00011833i,-0.00022704-0.00047077i,-0.00045765-0.0006357i,0.0004041-0.00048701i,0.00017851+0.00010509i,-0.0007056-0.00022583i,-0.00049778-0.0007474i,-0.00013965-0.00049417i,8.8822e-05-0.00010159i
-0.0018662+0.0028974i,-0.0016254+0.0027553i,-0.0014379+0.0023964i,-0.00042567+0.00098492i,0.00072957-1.8648e-05i,0.00032473-0.00016111i,-0.00076187-0.00020737i,2.9145e-05-0.00019551i,0.0013992-4.2516e-05i,0.0010043-0.00052533i,0.00014937-0.0011972i,1.6115e-05-0.0011767i,5.2358e-05-0.001037i,-0.00047297-0.0003617i,-0.000841+0.00024778i,-0.00066623+0.00039001i,0.00013174+0.00028648i,0.00035066+7.1941e-05i,-1.9684e-05+8.8944e-06i,0.00031685-0.00033199i,1.8576e-06-0.00055239i,-0.00040752-2.8194e-05i,-0.00024177+0.00087606i
0.0023817-0.000369i,0.0019079-0.00037509i,0.001326-0.0015241i,0.00018849-0.0022943i,-0.00086994-0.0018318i,-0.0014096-0.0012059i,-0.0017864+8.3569e-05i,-0.0014669+0.0010176i,-0.00058254+0.00038679i,-0.0001393-0.00054073i,-0.00017641-0.00048535i,-0.00046362-0.00045525i,-8.4903e-05+3.7444e-05i,0.00036709+0.0011598i,0.00064453+0.0014261i,0.00045482+0.00069023i,0.00010643+0.0003532i,-0.00017243+0.00028279i,-0.00061693+0.000175i,-0.00037368-0.00045417i,0.00033542-0.00082775i,0.00065963-0.00022929i,0.0001846+0.00058919i
0.0001282+0.00035301i,0.00031099+0.0013053i,0.00016621+0.0017041i,-0.00050913+0.0011145i,-0.00081803+0.0012902i,-0.00071589+0.0011262i,-0.00081661+0.00024555i,-0.00054656-0.00022849i,0.00053968-1.7552e-05i,0.0012315+0.00037461i,0.0012501+0.00023838i,0.0007939+0.00023594i,-0.00010179+0.00010553i,-0.00058289-0.00073337i,-0.00053025-0.0010708i,-0.00051655-0.00045735i,-0.00056154+0.00010858i,-0.00027434+0.00066798i,-0.00031817+0.0012804i,-9.636e-05+0.0010567i,0.00026134+0.00078545i,0.00041308+0.00046393i,0.00080502+0.00011543i
-9.7117e-05+0.0020598i,-0.0002001+0.0027897i,3.1357e-05+0.001878i,0.00053464-0.00010929i,0.00077097-0.00062219i,0.00050779-0.00036493i,0.0002273-0.00094931i,0.0001739-0.0011537i,4.167e-05-0.00044028i,0.00064212+0.00029829i,0.00082219+0.00032395i,0.00044474+0.00057113i,0.00012593-0.00029437i,-0.00047259-0.0012676i,-0.0006824-0.0011094i,-0.00065583-0.0010611i,-0.0001449-0.00025055i,0.00024212+0.00056511i,-0.00013228+0.00023452i,-6.4309e-05-0.00014916i,-0.00038082+0.00026731i,-0.00041594+0.00060937i,0.00023451+0.00039762i
-0.00015174+0.0009961i,-0.0010892+0.00086507i,0.00014461+0.00064831i,0.00081607-0.00015677i,0.00079078-0.0010812i,0.00098648-0.0015277i,0.00029278-0.00081356i,0.00043913+0.00042223i,0.0007506+0.0012024i,0.00089038+0.0011182i,0.0005719+0.00036588i,4.9938e-06-0.00048021i,0.00032158-0.0010531i,0.00047398-0.00075826i,0.00041638-0.00037718i,0.0011896-0.00017558i,0.00050452-6.9624e-05i,-0.00085938+0.00011705i,-0.00073507+0.00024736i,-3.3768e-05+4.672e-05i,0.00018118+0.00010296i,-0.00071798+0.00017303i,-0.0014076+0.00054409i
-0.0010224-0.00095181i,-0.00087092-0.00047122i,-0.001281+0.00028322i,-0.001583+0.00078277i,-0.0012321+0.00081154i,-0.0007707+0.00011887i,-0.00024063-0.0009866i,0.00017031-0.0012983i,0.00060444-0.00072508i,0.00042286+5.5917e-05i,0.00020476+0.00036208i,0.00050699-0.00027147i,0.00074754-0.0007184i,-9.693e-05+3.6953e-05i,-0.00059265+0.00052775i,-0.00029094+0.00061403i,3.8737e-05+0.00088602i,7.2052e-05+0.00052363i,-6.9999e-05-8.2087e-05i,6.445e-05+9.0894e-05i,-0.0001166+0.00031187i,-0.00029029-0.00048375i,-0.00037161-0.00099877i
0.00066067+0.00027398i,0.00035253+0.00051087i,-0.00072713+0.0010349i,-0.0016265+0.00095256i,-0.00071633+0.00024891i,-0.00065989-0.00026531i,-0.00083046-0.00078092i,-0.00026619+0.00040255i,0.0004505+0.0011686i,0.00085362+0.00022783i,0.00064842+3.294e-05i,0.00034594-0.00010974i,4.2975e-05-6.7553e-05i,0.0010792+0.00042378i,0.0019603+0.00034876i,0.00093273-0.00057103i,-0.0002072-0.00056447i,-0.00022443-0.00031861i,-0.00042293-0.00053696i,-0.0005171-0.00031006i,-0.00016939+0.00067924i,0.0002348+0.00065297i,0.00030806-9.4101e-05i
-0.00013302+0.00021755i,-0.00067403+0.0002854i,-0.0004932+0.0012363i,-0.0011801+0.0011594i,-0.00091865+0.00040562i,-0.00016016+3.1721e-05i,-2.0168e-05+0.00015211i,0.00042354+0.00052851i,0.001714+0.00042332i,0.0021901-4.1683e-05i,0.0010727+4.4076e-05i,0.00041448+0.00020756i,0.00050464+0.00013198i,0.00095833-0.00051188i,0.00016625-0.00011052i,-0.00088704+0.00019946i,-0.001288-0.0004407i,-0.0012353-0.00053411i,-0.00042821+6.1168e-05i,0.00036877+0.00045802i,0.00061943+0.00066543i,0.00080428+0.00090844i,0.00046892+0.00073129i
-0.00085033-0.00033588i,-0.00076055-0.00057577i,-0.0010019-6.3595e-05i,-0.001381+0.00030795i,-0.00055117+0.00046166i,-0.00054166+0.00095822i,-0.0007226+0.0010196i,-0.00012507+0.00082526i,0.00092167+0.00077418i,0.0014951-0.00025168i,0.00042775-0.00099123i,-0.00018229-0.00057354i,4.4631e-05-0.00023666i,0.00013318-0.00058461i,6.594e-05-0.00082065i,-0.00031732-0.00083861i,-2.0892e-05-0.001116i,-0.00010944-0.00065521i,-0.00026277-0.00030797i,-0.0002899-0.0002842i,-0.00072774-0.00012176i,-0.00051183-0.00010494i,0.00019396-0.00023156i
0.00053348-0.00062213i,2.9088e-05-0.00050851i,-0.00015588-0.0010934i,-0.00043577-0.00052011i,-0.00069997+0.00041416i,-0.0011096+0.00030877i,-0.0014443+0.00065601i,-0.00035915+0.00076441i,0.00082118+0.00037168i,0.00090193+0.00036582i,0.00096043+0.00048122i,0.001048+0.00024042i,0.001186-0.00014426i,0.00039146-0.00070591i,-0.00050384-0.00081629i,-0.00065018-0.0006595i,-0.00051844-0.00034444i,-0.00010867+0.00024649i,0.0001015+0.00083016i,0.00019471+0.00069004i,0.00028704+0.00026598i,0.0003714+4.0799e-05i,0.00039274+7.1123e-05i
-0.001149-0.0014738i,-0.0018145-0.0022197i,-0.0031466-0.0024033i,-0.0032881-0.0020088i,-0.0022349-0.0010208i,-0.0013083-0.00029799i,-0.00084433-0.00018327i,-0.00047643+0.00027415i,-0.00042322+0.0010034i,-0.00017265+0.0011103i,0.00020706+0.000627i,0.00077319-0.00010928i,0.0017092-0.00055002i,0.0019581-0.0003139i,0.0010882-4.2985e-05i,1.1868e-05-0.00050777i,-0.00058648-0.00095497i,-0.00073967-0.00029319i,-1.3552e-05+0.00062879i,-0.00020281+0.00092526i,-0.00056546+0.00035246i,-0.00065425+0.00062951i,-0.00053484+0.00057893i
-6.1357e-05+0.0003603i,-2.1276e-05+0.00097831i,-9.8139e-05+0.0015928i,-0.00027562+0.0016261i,-0.0011405+0.0012216i,-0.0011365+0.00039755i,-0.00045173+0.000259i,0.00017952+0.0010701i,0.0008573+0.00099128i,0.00087492-0.00058221i,5.3544e-05-0.0013509i,-0.00036643-0.00084158i,0.0003715-0.00045063i,0.0011407+3.4874e-05i,0.00061874+0.00034805i,-0.00032294+0.00047711i,-0.00069152+0.00090328i,-0.00022639+0.00082141i,0.00061008+0.0009317i,6.8134e-05+0.001211i,-0.0003946+0.00099565i,-0.00032781+0.00037841i,-0.00043695-0.0003239i
