3.8746e-05-0.00010432i,-0.00020422+0.00048065i,-0.00023108+0.00039656i,-0.00050563-4.2096e-05i,-0.0011283+0.00083196i,-0.00069768+0.00078342i,7.1832e-05-0.00065633i,0.000213-0.0013847i,0.00024589-0.001451i,-8.8868e-05-0.00039378i,0.00019388+0.00067572i,0.0005748+0.00083383i,0.00058249+0.0002274i,4.0544e-05-0.00061632i,-0.00063799-0.00084961i,-0.00051817-0.00073833i,0.00018181-0.00060106i,0.00050299-0.00039197i,7.1398e-05+0.00051487i,0.00016257+0.00024213i,0.00093101+0.00012264i,0.00072643+0.00078559i,-0.00030082+0.00038762i
-0.00037512+0.00079026i,0.00046227+0.0010263i,0.0007982+0.0014167i,5.2026e-05+0.0019543i,-0.00054326+0.0020291i,0.00028384+0.0017896i,0.00088652+0.00094825i,0.001057-2.4214e-05i,0.0015856-0.00031596i,0.0014238+0.0001335i,0.00034895+0.00038798i,-9.1319e-05+0.00023989i,0.00014818+0.00022622i,-0.000141-1.2565e-05i,-0.00019996+3.5676e-05i,-0.00024008-0.00018913i,-0.00020622+0.00017751i,0.00011954+0.00075674i,-2.5602e-05+0.0004345i,3.9128e-05+0.00027846i,0.00057787-0.00013831i,0.00083881-6.2455e-05i,0.00056748+0.00016119i
0.00014014-0.00058615i,-2.3603e-05+0.0011869i,-0.00012812+0.0012693i,-0.0008321-0.00023562i,-0.0014939-0.00086252i,-0.00086828-0.00013963i,0.00024868+0.00059519i,0.0010334-0.000184i,0.0011056-0.0014137i,0.0005861-0.0010738i,-0.00022007-0.00075409i,-0.00030801-0.00024631i,-0.00022812+7.2969e-05i,-4.4708e-05-6.0211e-05i,-0.00034606+0.00016029i,-0.00086251+0.00048647i,-0.00047589+7.9786e-05i,0.00022937+7.7361e-05i,0.00043478+0.00050776i,-3.4009e-05+7.8404e-05i,0.00019204+0.00011417i,0.00047038+0.0002227i,0.00032907-0.00018596i
0.0021823+0.0020428i,0.0020306+0.0017764i,0.0016776-0.00021429i,0.0013358-0.00014425i,0.00022654+0.00043029i,-0.00034396+0.00073633i,-0.00046195+0.0006918i,-0.00012171+0.00033198i,0.0009513-0.00047285i,0.0011414-0.0014686i,0.00035583-0.0011904i,-0.00026187-4.4169e-07i,7.1318e-05+0.0005241i,7.9672e-05+0.00057258i,-9.6835e-05+0.00052318i,0.00039791+0.00061797i,5.7776e-05+0.00064021i,-0.00029698+0.00010778i,6.5949e-05+0.00026483i,4.4874e-05+0.0002782i,0.00025039+0.0001011i,0.00042422+4.1892e-05i,0.00018124-0.00043385i
-0.00043878-0.0011025i,0.00021808-0.001286i,0.00033922-0.00087941i,-0.00066825-0.00083771i,-0.00088983-0.00065797i,-0.00029661+0.00084567i,0.0002411+0.00087824i,0.00011924+0.00015043i,0.00034119+1.5705e-05i,0.00034883-0.00054472i,0.0002275-0.00043269i,-0.00033165+0.00024509i,-0.00034882+0.00044846i,0.00029303+0.00092378i,0.00017665+0.0013745i,-0.00025914+0.00080059i,0.00024655-0.00028271i,0.00070336-0.00047019i,0.00033615-0.00022555i,0.00017021-0.00058403i,-0.00044056+0.00017562i,-0.0013507+0.00053826i,-0.00060867-0.00014449i
-0.00096564-0.00094851i,0.00049688-0.00037575i,0.0015988-2.6202e-05i,0.0013246+0.00067977i,0.00014774+0.00070475i,-0.00025951-2.495e-05i,0.00050236-0.00041832i,0.00084467-0.0004693i,0.00096881-0.00040377i,0.00063596-0.00065766i,0.00027182-0.00065459i,0.0008987+0.00012615i,0.00069282+0.00037672i,-0.00038042+0.00014918i,-0.00039929-0.00023145i,-0.00037386+0.00014866i,-0.00028782+0.0010884i,-0.00014754+0.0004597i,-0.00070277-0.00045848i,-0.00048557-0.00010236i,8.7741e-05+0.00013966i,-0.00046077-0.00061236i,-0.00060552-0.00046i
0.0022335+0.00069074i,0.0028235-0.00071513i,0.0026169-0.0013746i,0.00029616-0.0010332i,-0.001336-0.00056751i,-0.00029207+0.00023767i,0.00093841+0.00044877i,0.0011633-5.6954e-05i,0.00068875-0.00049758i,0.00029326-0.00057595i,-0.00043588-0.00051928i,-0.00092521-0.00018688i,-0.00042231+0.00010037i,-0.00027764+4.1372e-05i,-0.00020875-0.0001152i,0.00021643-8.8324e-05i,0.00019669-0.0001344i,6.1032e-05+0.00019728i,0.00030778+0.00072165i,0.00045497+0.0006132i,0.00052943+0.00060849i,0.00019425+0.0010322i,-8.5943e-05+0.00042663i
-0.00062343+0.00049355i,-0.00057685+0.0015152i,-0.00059456+0.00082106i,-0.00071398+0.00077851i,-0.0012787+0.001189i,-8.8913e-05+0.001083i,0.00066168+0.00098891i,0.00066042-0.00032045i,0.00082747-0.001707i,0.00038413-0.0020793i,0.00047132-0.0016917i,0.0011452-0.00040159i,0.00092977-0.00021171i,7.5211e-05-0.00059143i,-0.0006649-0.00059987i,-0.0002292-0.00042239i,0.00056672+0.00040368i,0.00084954+0.00068596i,0.00077689+1.1067e-06i,5.8163e-05-0.00057632i,0.00011802-0.00038684i,0.00045911-0.00028198i,0.00038516+0.00010865i
-0.0018278-0.00060935i,-0.0019053+0.00037959i,-0.0019924+0.0018162i,-0.0013497+0.0020534i,-0.00083549+0.0015633i,0.00011145+0.0013875i,0.00036314+0.00098494i,-0.00027908+0.00010572i,-0.00012249-6.4959e-05i,0.00025086-8.4059e-05i,0.00021914-0.00017223i,2.8298e-05-6.3612e-05i,2.3705e-05-0.00055619i,8.0305e-05-8.0979e-05i,0.00040604+0.00059958i,0.0005076-7.7209e-05i,0.00027927-0.00092292i,0.00017298-0.00092051i,0.00043891-0.00025682i,0.00042971+0.00030409i,0.0002442-4.6116e-05i,0.00025544+0.0003737i,0.00081246+0.00040496i
0.0013384+0.00022841i,0.0020781-0.00031559i,0.0011557-0.0012801i,-0.000504-0.001166i,-0.0011755-0.00018955i,-0.00088272+0.00027846i,6.4106e-05+0.00014136i,0.00059037-6.9753e-05i,0.00086629-0.00042977i,0.0004274-0.00094097i,-0.00025947-0.0012662i,-0.0002036-0.0011122i,2.5753e-05+0.00028533i,-0.00039375+0.00098789i,-0.00014039+0.00055164i,0.0004593+0.00052807i,0.00060332+2.3019e-05i,0.00059922-0.00052531i,0.00010337-0.0004103i,-0.00022083-0.00052689i,-0.00072659-0.0004982i,-0.0010069-0.00060659i,-0.00048879-0.00090772i
