-0.0042055+0.0023048i,-0.0025102+0.0034813i,-0.0021728+0.004533i,-0.0020329+0.0039888i,-0.00040815+0.0036782i,0.00053152+0.0034512i,0.00048112+0.0028567i,0.00052692+0.0024331i,0.00021303+0.00189i,0.00078344+0.0012475i,0.001009+0.0001247i,6.2153e-05-0.00074157i,-0.00039965-0.0014985i,-0.00013659-0.0011723i,-0.00019235+4.7246e-05i,-0.00078935+0.00014436i,-0.00081118+0.00024918i,-0.00041725+0.00075116i,-0.00055631+2.1808e-05i,0.00026599-0.00041948i,0.00068434-0.00058534i,-2.4255e-05-0.00010739i,0.00012945+0.00012797i
-0.00021033+8.6453e-05i,0.00016048+0.0011149i,-0.00033963+0.00098125i,-0.0011553-0.00010185i,-0.0011797-0.00013716i,-0.00093404+0.00051872i,5.4295e-06+0.00063172i,0.0012744+0.00011296i,0.0010317-0.00041293i,0.00047292-0.0011472i,0.00046681-0.0011569i,0.00036368-0.00075915i,0.00016998-0.00043159i,0.00048496-9.6535e-06i,0.00054981+0.00032278i,-0.00045289+0.00072128i,-0.0010508+0.00050132i,-0.00098376+0.00016389i,-0.00064643+0.00016178i,-9.5141e-05-9.1614e-05i,0.00014205+9.7545e-05i,-0.00015162+0.00094518i,-6.1751e-05+0.001211i
-0.00035128-0.00026937i,-0.0011468+0.00035134i,-0.0014475+0.00057916i,-3.4893e-05+0.00064162i,0.00018777+0.0011687i,-0.00090847+0.0014336i,-0.00096453+0.000939i,-0.00017165+0.00046033i,-0.00046777-0.0002543i,-0.00051908-0.00071283i,-0.00022319-0.00028076i,0.00018086-9.2697e-05i,0.00023524-0.00026904i,-0.00011534-0.00028881i,-0.00042739-0.00067661i,7.8445e-05-0.00095355i,0.0002336-0.00070424i,-0.00012441-0.00066588i,-1.5653e-05-0.00067551i,0.00038157-0.00043358i,0.00074552-0.00061632i,0.00050029-0.0001472i,-0.00070406+0.0012521i
0.00080002+0.0013431i,0.0022095+0.0015969i,0.0018171+0.0012569i,0.00087493-0.00031446i,0.00088533-0.0016638i,0.0017219-0.0012842i,0.0020529-0.00016009i,0.0015867+0.00071156i,0.0014169+0.0010539i,0.0014925+0.00063462i,0.00092697+0.00014908i,0.00092381-0.00040448i,0.00059425-0.00051583i,0.00039342+0.00030264i,0.00022416+0.00062846i,0.00027107+0.00055573i,3.2165e-05-0.00018492i,-0.00046957-0.00043274i,0.00011715+0.00030349i,8.0518e-05+5.6908e-06i,0.0003548-0.00011031i,0.00049731+0.00092291i,-2.9447e-06+0.00053693i
0.00017972-0.00052901i,-0.00066415+0.00029802i,-0.0013106+0.0011514i,-0.0013871+0.00098235i,-0.00089082+0.00064746i,0.00054266+0.00024641i,0.0016622-5.8049e-06i,0.0016061+0.00042048i,0.0012803+0.00017173i,0.0010092-0.00070234i,-6.1988e-05-0.00095036i,-0.00042852-0.00078065i,-0.00048134-0.00047137i,-3.6832e-05-5.0133e-05i,0.00012347-6.3512e-05i,-0.00040762-0.0004804i,-0.00083692-0.00078946i,-0.00015649-0.0010206i,0.0003626-0.00060475i,-0.00042159-7.8802e-05i,-0.00095887-0.00026066i,-0.0005385-5.1402e-05i,-0.00023079+0.0003902i
-0.00063482-0.0009258i,-0.0013971+0.0007448i,-0.0013276+0.00087378i,-0.0012037+0.00033029i,-0.0011555+0.0002113i,-0.00048099+0.00056165i,2.5375e-05+0.00013635i,0.00033125-0.00056468i,0.00034995-0.00096832i,0.00038724-0.00099405i,-9.2267e-05-0.00072883i,-0.00034994-1.5335e-05i,5.1329e-05+0.00046568i,-0.00032157+1.7553e-06i,-0.00061368-0.00015452i,-0.0005319+8.0981e-05i,-0.00064505+0.0002038i,-0.00068364+0.00054498i,0.00038339+0.00087702i,0.00075054+0.00055277i,0.00051564+0.00021413i,0.00066925+0.00025869i,-4.7731e-05+0.00025087i
-0.0017802+3.1478e-05i,5.9136e-05+0.00022009i,0.0015226+0.00072141i,0.0013321+0.0009663i,0.00095005+0.0008455i,0.00054697+0.00025499i,0.00053819+0.00016013i,0.00048192+0.00070032i,0.00058531+0.001173i,0.00090561+0.00046489i,0.00037601-0.00036642i,-0.00015045-0.00017114i,-0.0010557+0.00010475i,-0.0013867-8.1147e-05i,-0.00094243-0.00010203i,-0.00080332-0.00034085i,-0.0006858-0.00048631i,0.00030828-0.00077196i,0.00013678-0.0017225i,-0.00068057-0.001478i,-0.00044595-0.00021471i,-0.00021904+0.00083977i,-0.00011188+0.00081832i
0.00025268+0.001113i,0.0015274+0.0021046i,0.00025647+0.0021465i,-0.00050742+0.0014103i,0.00021006+0.0013502i,5.2898e-05+0.0014972i,-0.00084263+0.0013263i,-0.00043712+0.00099761i,0.00079372+0.0002038i,0.00034143-0.00075386i,0.00046178-0.00050505i,0.00096976+0.00044987i,0.00068729+0.00053155i,-0.00049173-4.0041e-05i,-0.0010275-0.00063433i,-0.00060279-0.00083558i,-0.00046183-0.00043896i,-0.00035372+9.1852e-05i,-0.00053204+6.0224e-05i,-0.00053582-0.00062802i,-4.3062e-05-0.00073465i,0.00061972+0.00013906i,0.00086129+0.0010603i
-0.0011392-0.0022769i,-0.00027483-0.0017877i,-0.0011352-0.001058i,-0.0034408-0.00015714i,-0.003154+0.00088297i,-0.00046575+0.0012066i,0.001116+0.0014952i,0.0011497+0.0012172i,0.00072975+0.00027972i,0.00070498-0.00023489i,0.00061632-0.00059779i,0.00089083-0.00053074i,0.0011362-0.00042819i,0.00035544-0.0001981i,0.00048229+0.00013176i,0.00071738+0.00036476i,0.00091016+0.00056957i,0.0010656-0.00013104i,0.00022108-0.0006457i,-0.00013487-0.00010638i,0.00021934+0.00022208i,0.00073309-0.00012128i,4.5928e-05+0.00016692i
-0.00039797+0.0010691i,0.00020629+0.0025752i,0.0001018+0.0032354i,-0.00027147+0.0016694i,0.00037092+0.0010721i,0.00083765+0.0012142i,0.00046624+0.00053801i,0.0005579+0.0009369i,0.001075+0.00059055i,0.0014762-0.00025096i,0.0011664-0.00048293i,0.0009315-0.00077369i,0.00071793-0.00050942i,-0.00025675-0.00067122i,-0.00070633-0.0013995i,-0.00045061-0.0011552i,7.1941e-05-0.00083368i,0.00072087-7.5947e-06i,0.00029867+0.00054297i,-0.00050069-1.3237e-05i,-9.5189e-05-6.1169e-06i,0.00038772+6.8261e-05i,0.00025224-0.00056733i
0.00027481-0.00031352i,-0.0004575-0.00035777i,-0.0012202-0.00014618i,-0.0014832+0.0010401i,-0.0011298+0.002035i,-0.00075058+0.0016788i,0.00046942+0.0016495i,0.0012484+0.0016403i,0.0015373-8.5259e-06i,0.00086746-0.0015192i,6.8075e-05-0.00079355i,2.5354e-05-0.00045694i,8.3177e-05-0.00094216i,5.7309e-05-0.0001689i,-0.00043493+0.0002697i,-0.00044857-0.0006434i,0.00024241-0.00094582i,0.00040751-0.00043539i,-0.00014792-0.00018446i,-0.0001196+0.00027545i,5.2698e-05+0.00055809i,0.00016286+0.00071246i,0.00026712+0.00020459i
-0.00025083-0.00087187i,0.00060978-0.0010088i,0.00090333-0.00027457i,-4.6223e-05+0.00031301i,-0.00043594-0.00050316i,-0.0008471-0.00066464i,-0.0009487+0.00044039i,-0.00039297+0.001217i,0.00040244+0.00072825i,0.00057073-0.00073718i,-0.00019343-0.0012745i,-0.00021032-0.00077997i,5.4795e-05-0.00063792i,-0.00011485-0.00057802i,-0.00039228-0.00080318i,-0.00042477-0.00078178i,-0.00031033-0.00050723i,-0.00063157+0.0002135i,-0.00046731+0.001031i,-0.00038594+0.0010878i,-0.00052202+0.00089132i,-0.00047948+0.0003621i,-0.00034771+0.0001834i
-0.0014913-0.0016693i,-0.0010138+4.0409e-05i,-0.0015878+0.0016288i,-0.0018084+0.002211i,-0.00048854+0.0025552i,0.00099672+0.0025815i,0.0017114+0.00208i,0.0014729+0.0014925i,0.00021687+0.0003147i,-0.00060024-0.00039059i,-0.00057309-0.00049175i,-0.00031695-0.00087281i,-0.00025741-0.0012173i,-0.00015017-0.0013624i,0.0003383-0.00056516i,0.00045088+0.00017721i,6.3582e-05+0.00088098i,-0.00016925+0.0011027i,-0.00017698+0.0009176i,7.3463e-05+0.00087581i,7.1707e-07+0.00052334i,8.0849e-05+8.8813e-05i,0.00020594-0.00069931i
-0.0011065+0.0022299i,6.2798e-05+0.0016588i,0.00074884+0.0009886i,0.00071989+0.0021608i,0.00021005+0.0018615i,0.00065319+0.00028097i,0.0013758+0.00071601i,0.00070731+0.00067481i,0.00021826-0.00076842i,-9.7123e-05-0.0011665i,-0.00016625-0.00061265i,-0.00045574+1.8298e-05i,-0.00055142+0.0006676i,-0.00035659+0.0013235i,-7.3689e-05+0.00087004i,0.00063715-3.2519e-05i,0.00078932+0.00043584i,0.0005417+0.0007086i,0.00043751+0.00069025i,-0.00019387+0.00048027i,-0.00053596-0.00058374i,-4.7196e-05-0.00078038i,0.00030972+5.0908e-05i
0.00010063-2.4756e-05i,0.00025595+0.00012567i,0.00060591-1.1296e-05i,7.2805e-05-0.00019438i,-0.00068974-0.00018631i,-4.2665e-05+0.000629i,0.0014923+0.0015907i,0.0014651+0.001686i,0.0014868+0.00076797i,0.0010191+0.00015545i,-0.00011734-9.2281e-05i,-0.00032533-0.00012049i,-1.1638e-05-0.00045797i,0.00013155-0.00076298i,-0.00018197-0.00048898i,-0.00041265+0.00027736i,-0.00054145+0.00012169i,0.00054408-0.00057945i,0.00094691-0.00051038i,0.00017887-9.9578e-05i,-0.00038043-9.4487e-05i,-0.00038873+0.00011272i,0.00010314+0.00026932i
0.00020471+0.00033056i,0.00046766+3.334e-05i,0.0004062+0.00086921i,0.00054754+0.0012672i,0.0014262+0.00070789i,0.001872+0.00086704i,0.00035555+0.0016625i,-0.00043125+0.0010413i,0.00022821+0.00014259i,0.00028582-0.00020143i,0.00046919-0.00040639i,0.00061805-0.00023138i,0.00064271-0.00080608i,0.00022972-0.0006334i,-0.0012456-0.0004204i,-0.0015785+0.00033898i,-0.00063975+0.00030871i,0.0004948+0.00025187i,0.00040237+0.0014146i,0.00065495+0.00098011i,0.0017722+4.6147e-05i,0.0014611-4.6381e-05i,-0.00014892-7.8239e-05i
0.00042731+0.00080932i,0.0006836+0.00089258i,0.0010532+0.00079899i,0.00075396+0.00092566i,0.00062137+0.0004502i,-7.4503e-05+0.00027155i,-0.00025801+0.00050644i,0.00060147+9.4538e-05i,0.00090284-0.00015209i,0.00018588-0.00053042i,-0.00023814-0.00074903i,8.682e-05-0.00025131i,0.00077243-1.3171e-05i,0.00078704+3.9701e-05i,-0.00023679+0.00053271i,-0.00089012+0.00029694i,-0.0010835-5.1097e-05i,-0.00069327+0.00038658i,-0.00020915+0.00084752i,5.3316e-06+0.001129i,0.00043198+0.0010375i,0.00017933+0.00060739i,8.5577e-05+0.00031693i
-0.00032119+0.00096439i,0.00053835+0.0016456i,0.0012976+0.002888i,0.0010777+0.0031931i,0.00052354+0.0023223i,0.00039633+0.0011788i,4.2134e-05+0.00078481i,-0.00030514+0.00024676i,-0.00019277-0.00091586i,1.2609e-05-0.0011911i,0.00032089-0.0009686i,0.00044534-0.00092582i,0.00018525-0.00060662i,-0.00024712-0.00014385i,1.117e-05-0.00039583i,7.6617e-05-0.00050705i,-0.00019565-0.00027926i,-7.4353e-05+3.9219e-06i,-0.00031306+0.00038142i,-0.00021554+3.1731e-05i,0.00011704-0.00047053i,-8.9722e-05-0.00059081i,-0.00017461-0.00063274i
-0.0012009+0.00033711i,-0.0016169+0.00081933i,-0.001886+0.0012434i,-0.00097625+0.0016388i,7.7691e-05+0.0019439i,0.00011795+0.0020158i,-0.00024781+0.0022321i,-0.00038207+0.0028936i,0.00031527+0.0024731i,0.0012042+0.001389i,0.0011938+0.00052514i,0.0002082+0.00014622i,-0.00011589-0.00012484i,-0.00039696-0.00051828i,-0.00071515-0.00068542i,-0.00015943-0.0010414i,0.0003164-0.00046929i,0.00055142+0.00057521i,0.0006289+0.00040332i,0.00067575-0.00016113i,0.0006197-0.00010619i,0.00037607-8.1029e-05i,0.00037398+0.0001211i
0.0019618-0.0015894i,0.0017163-0.0007198i,0.0017691-0.00076452i,0.00043588-0.00048022i,-0.00097241+0.00017667i,0.00051551+0.00043549i,0.0015215+0.00050789i,0.0008762+0.00017711i,0.00082698-0.00073289i,0.0005426-0.0011691i,0.0002207-0.0011647i,-0.00026711-0.0009615i,-0.00028709+0.00030144i,0.00022823+0.0012955i,6.7246e-05+0.00097898i,-6.5133e-05+0.00037961i,0.000132-0.00047781i,0.00040919-0.00028627i,-0.00029959+0.00060368i,-0.00099718+0.00083243i,-0.00089469-0.00014623i,-0.00092561-0.00014721i,-0.00092133-0.00030344i
-0.0020335+0.0020415i,-0.0010537+0.0021423i,0.00077682+0.0024849i,0.0017359+0.0020412i,0.0017351+0.00098124i,0.0019341-0.00055592i,0.0018854-0.00049966i,0.0011704+0.00036063i,0.0008105+0.00038397i,0.00095824-8.889e-05i,0.00083687-0.00018571i,-0.00035989+3.7478e-05i,-0.00073395-2.8548e-05i,-0.00074934+0.00014322i,-0.0010549+3.1465e-05i,-0.0011349+0.00012632i,-0.00069635+0.00072936i,0.00051901+0.0010571i,0.001156+0.00035866i,0.00055029-0.0004538i,-0.0002833-0.00067768i,-0.00057119-0.00029141i,-0.00033817+0.00021362i
0.0011471-0.0011533i,0.0021767-0.0014231i,0.0014676-0.0015643i,0.00069295-0.0006011i,-5.6032e-05+0.0011395i,-0.00064365+0.0011262i,-0.0004127+0.00021901i,-0.0001817-0.00013543i,0.00019285+8.6687e-05i,0.00018724+0.00031323i,-0.00022395+0.00021138i,-2.2537e-06-5.1698e-05i,0.00036791-0.00016518i,0.00035896-0.00039779i,-0.00048859+0.00079695i,-0.0010156+0.0015387i,-0.00031881+8.3887e-05i,0.00011045-0.00080498i,-0.00038854-0.00038566i,-0.00050058-0.00046715i,-5.9266e-09-0.00073704i,0.00054592-0.00013076i,0.0010051-4.2231e-05i
0.00058856+0.0014502i,0.00054367+0.0022343i,0.00087876+0.0018288i,0.00073883+0.0004787i,-0.00028356+0.00015557i,-2.3148e-05+0.00027838i,0.00080142+0.0001402i,0.0007329-0.00010249i,0.00086894-0.00049028i,0.0014729-0.00047345i,0.0012967-0.00036132i,0.00076333-0.0011065i,6.4411e-05-0.0012502i,-3.0868e-05-0.00019077i,-9.9589e-05+0.00029649i,-0.00069619-0.00058662i,-0.0010426-0.00063907i,-0.00034462-0.00043132i,-0.00020743-0.00038263i,-0.0001977-0.00021643i,0.0004178+1.6063e-05i,0.00060883+0.0002889i,-0.0002804+0.00042536i
0.001551-0.00066322i,0.0011956-0.0011537i,0.0010887-0.0014711i,0.00087351-0.00099494i,-0.00053083-7.7906e-05i,-0.0010063+0.00017775i,0.00039321+0.00064445i,0.0011777+0.0005643i,0.0010915-0.00030539i,0.00034688-0.001273i,-0.00047393-0.0010343i,-0.00069445-0.00018402i,-0.00077848+0.00021813i,-0.00091326-0.00055189i,-0.00071489-0.0014461i,0.00021804-0.00086906i,0.00032199-0.00012717i,-0.00019435+0.00069628i,-0.0004912+0.00013717i,0.00033778-0.0013669i,0.0006721-0.00070412i,0.00024811+5.4148e-05i,-0.00063099-0.00048881i
-0.00026589-0.0014316i,-0.00038885-0.0013156i,-0.00070559-0.00062494i,-0.0016501+0.00077152i,-0.0018239+0.0016566i,-0.00015467+0.0013208i,0.00061921-0.00011052i,0.00057355+9.5209e-06i,0.00071213+0.00024734i,-0.00013348-0.00047001i,-0.00021505-0.00027548i,0.0006792-1.674e-05i,0.00049999-0.00023545i,0.00028406+0.00013837i,0.00087436+0.00072317i,0.00075626+0.00069515i,0.00025637+0.00062792i,-8.816e-05+0.00051745i,6.6146e-05-0.00010735i,9.4687e-05+0.00029645i,0.00026623+0.00090682i,0.00033174-6.8861e-06i,0.00064555-0.00076395i
0.0004965+0.00028331i,-0.00049791-0.00070932i,-0.0012433-0.0012759i,-0.00054813-0.00088797i,-0.00083863-0.00093761i,-0.00070623-0.00078101i,0.0007397+0.0008321i,0.00059402+0.0010066i,0.0003526+0.00052427i,0.00015325+0.00041705i,-0.00025296+0.00040442i,-0.00066689+0.00036977i,-0.00057267+0.00036241i,-0.00056185+7.0575e-06i,-0.00064131-0.00035708i,-0.00021698-0.0011455i,0.00020288-0.00093648i,0.00016489-2.7935e-05i,1.1442e-05+0.00046549i,0.00017094+0.00068534i,0.00066681+0.00052362i,0.0012114-0.00010841i,0.00065645-0.00067555i
-0.0003301-0.00046015i,-0.00082096-0.00074543i,-0.00012015-0.00090968i,-0.0002576-0.00033722i,-0.0012979-3.1572e-05i,-0.00090087+0.00018175i,0.00021292+0.00061206i,0.00085463+0.00024783i,0.00075933-0.00036105i,6.6026e-05-0.00057608i,-0.00044568-9.5576e-05i,-0.00069282+0.00025474i,-0.00038446+0.00033377i,-0.00066321-3.0936e-05i,-0.0011156-0.00072466i,-0.00097347-0.00042329i,-0.00058707-5.9665e-07i,5.6322e-05+0.00011755i,0.00011062-0.00042551i,0.00016926+7.3134e-05i,0.00033913+0.00097999i,1.1431e-05+0.0008458i,0.00042018+0.00024257i
0.0017144-0.00061883i,0.0011307-0.0018707i,0.00073295-0.0022956i,-0.00011079-0.002223i,-0.00082668-0.0012733i,-0.0012602+0.00037827i,-0.00014677+0.0017848i,0.0010289+0.0014925i,0.00077829+0.00030715i,0.00027569-0.0001126i,-0.00075073-0.00022787i,-0.001173-0.00017805i,-0.0007071+9.3178e-06i,-0.00037407+0.00018518i,-2.6206e-06+0.00013203i,9.7931e-05-0.00044534i,0.00032013-0.00062687i,0.0011624-0.00034359i,0.0010465-0.00078385i,0.00027374-0.00039572i,4.7908e-06+0.0001148i,-0.00028343+0.0001492i,-0.00086167+0.00013414i
-0.0024593-0.0002707i,-0.0021479+0.0012531i,-0.0009648+0.002536i,0.00011704+0.0018524i,-4.0376e-05+0.00095527i,-3.682e-05-0.00048443i,-1.2223e-05+3.2593e-05i,1.3247e-05+0.00070234i,0.00042658+3.8425e-05i,0.0007493+0.00028742i,2.0006e-05-0.0002039i,-0.00072187-0.0010029i,-0.00066489-0.0012957i,-0.00017436-0.0014959i,-0.00057347-0.0012492i,-0.00047345-0.0010755i,0.00086648-0.0011063i,0.00079707-0.00086719i,-0.00034658-7.2005e-05i,-0.00018522+0.00051325i,0.00033972-5.1751e-05i,-0.00025013-0.00084554i,-0.00047462-0.00032796i
-0.002015-0.0019576i,-0.0017513-0.00062812i,-0.0015972+0.00055807i,-0.00079415+0.0014624i,-0.00033584+0.0018191i,-0.00077047+0.001979i,-0.00062075+0.0014495i,0.00013476+0.0004939i,0.00022289+2.6133e-05i,0.00020844+0.00027568i,0.00053398+4.9489e-05i,0.00035997-0.00091592i,0.00032776-0.0010212i,3.0307e-05-0.00038046i,-0.00013857-0.00043799i,0.00038262-0.0010164i,0.00036761-0.0010622i,0.00021776-0.00095789i,-4.0685e-06-0.00019209i,0.00017425+0.00063454i,-5.3072e-06+0.0003467i,-0.00034503-0.00036242i,0.00024411-0.00015429i
-0.0024989+0.0011586i,-0.0010467+0.0022368i,-0.00066909+0.0021914i,-0.00042282+0.0032178i,0.00051926+0.0034964i,0.0019362+0.0019792i,0.0016232+0.0011358i,0.00054915+0.0012419i,0.00035497+0.0012276i,0.00035495+0.0011032i,-9.7029e-05+0.00023484i,-7.3001e-05-0.00031096i,0.00023303-0.00047004i,-0.00011732-0.00074083i,-0.0010482-0.00070597i,-0.00045745-0.00077703i,9.5043e-05-0.00053574i,-0.00062949-0.00018989i,-0.00084361+0.00019661i,-7.082e-05+0.00029687i,0.00049932+0.00056219i,0.00081866+0.00070715i,0.00086218+0.00022367i
-0.0020076-0.00049997i,-0.0020744+0.00036023i,-0.0018641+0.0011718i,-0.0012448+0.0014876i,-0.00064073+0.0021455i,0.00021075+0.0018663i,0.0005814+0.00090079i,0.00042+0.00090419i,0.0003941+0.0010207i,0.0004798+0.00054974i,0.00044703+2.2893e-06i,0.00049564+0.00036343i,-0.0005004+0.00084538i,-0.0012978+5.0853e-05i,-0.00096425-0.00053577i,-0.00099631-0.00061882i,-0.00097274-0.00057094i,-0.00072847-0.0005246i,-0.0006445-0.00057663i,-0.00016388-0.00052437i,2.814e-05-0.00049211i,0.00068478-0.00058233i,0.00076484-0.00025419i
