0.0011377+0.00096079i,0.00022367-0.00095044i,-0.0017983-0.0021209i,-0.0031448-0.0010684i,-0.004289+4.2553e-05i,-0.0041799+0.00094583i,-0.002342+0.002049i,-6.6409e-05+0.0018288i,0.00046147+0.00054722i,-0.0006187-0.0010062i,-0.0012463-0.0015234i,-0.0010937-0.0013587i,-0.00092458-0.0010463i,-0.00089849-0.00027744i,-0.00021365+0.00076129i,-5.428e-05+0.0009405i,-0.00048529+0.00017844i,-0.00078508-0.00028199i,-0.00091821-0.00054767i,-0.00012611-0.00089438i,0.00076826-0.00044443i,0.0010488+4.7477e-06i,0.0008182+0.00094089i
-0.00054356-0.00036762i,-0.0017786-0.00084058i,-0.0022593-0.00043479i,-0.0019156+0.00067442i,-0.0013253+0.00044486i,-0.0012628-0.00035631i,-0.0014294-0.00067513i,-0.0010677-0.00061706i,-0.00015179-0.00074607i,0.00023695-0.00027249i,-0.00028012+2.6961e-06i,-0.00029628+0.00028505i,-0.00010022+0.00043144i,-0.00011739+0.00061766i,-0.00021138+0.00042889i,-4.1309e-05-0.00025483i,0.00038139+0.0001985i,7.482e-05+0.00035227i,9.001e-05-0.00010324i,0.00044217-0.00036901i,0.00026029-0.0005636i,-0.00037125-0.00070537i,-0.00041585-0.00056047i
0.00090553-0.00023315i,0.00029698+0.0008285i,-0.0010614+0.0011232i,-0.0016882+0.00025194i,-0.0014995-0.00045081i,-0.0012983-0.0011027i,-0.0012087-0.0008612i,-0.0014847-0.00038943i,-0.0017883-0.00088162i,-0.0010885-0.00079935i,-0.00015988-0.00013037i,-0.00031236+0.00044751i,-0.00091044+0.00063505i,-0.0013513+0.00057001i,-0.00066638+0.00018362i,-0.00020844-0.00013923i,0.0001394-0.00062389i,0.00071524-0.00090227i,0.00065585-0.00099775i,-4.5425e-05-0.0010689i,-0.00085569-0.00055872i,-0.00069021-2.3175e-06i,-0.00012934+0.00015739i
-0.0012638-0.0005178i,-0.0019859-0.0010322i,-0.0016915-0.00091656i,-0.0015807-0.00064234i,-0.0024278-0.00080477i,-0.0027461-0.0010329i,-0.0025733-0.00024926i,-0.0020435+0.00054195i,-0.00089407+0.0007101i,-0.00042326+0.00069926i,-0.00062027+0.00039254i,-0.0007121-2.7543e-05i,-0.00039432-0.00011154i,-0.00024426+0.00029448i,-0.0002086+0.00019179i,0.00018584+0.00046128i,0.00041733+0.00060797i,-2.171e-05+0.00045369i,-0.00053311-0.00023131i,-0.00070557-0.00026576i,-0.00048642-0.00021249i,-0.00037439-0.00023455i,-0.00035695+0.0001519i
-0.0014962-0.0016579i,-0.0021686-0.0011585i,-0.0022186+0.00050796i,-0.0015622+0.001206i,-0.0011012+0.00061385i,-5.1137e-05-0.0011529i,-2.8004e-05-0.0025272i,-0.0010644-0.0019565i,-0.0011413-0.00058669i,-0.00031441+0.00020957i,-0.0003342+0.00030561i,-0.00061127-0.00040223i,-1.5339e-05-0.00094018i,0.0011763-0.0010698i,0.0011037-0.0010211i,0.00046141-0.0010629i,0.0003803-0.00033572i,0.00070483-0.00017357i,0.00027108-0.00047218i,-0.00048352-0.00064392i,2.9659e-05-0.00019613i,-0.00035914+0.00048251i,-0.00066274+0.00069633i
0.0021684-0.00081264i,0.0025847+4.7373e-05i,-0.00049229+0.00027119i,-0.0028132-0.00022996i,-0.0026326-0.00068321i,-0.0020817+0.00017057i,-0.0013646+0.00083251i,-0.00062171+0.00059537i,-0.00021193+0.00013319i,-0.00026713-0.00079745i,-0.00034675-0.00097685i,-0.00035975-0.0001766i,-0.00045998+0.00026102i,5.9035e-05-4.2094e-05i,0.0005965-2.0486e-05i,0.00015915+0.00021484i,0.00015342-0.00017072i,0.00042026-0.00057942i,-0.00010875-0.00065247i,-0.00024462-0.00058969i,0.00022895-0.00076138i,0.00051179-0.00067167i,0.00058911+0.00030694i
-0.002099-0.0013723i,-0.0032632-0.0003004i,-0.0030804+0.0012847i,-0.0021676+0.0017409i,-0.0007907+0.00091543i,-3.2706e-05-0.00068311i,-0.0012309-0.001923i,-0.0017026-0.0013821i,-0.0012469-0.00021086i,-0.00069924-0.00039858i,-0.00067998-0.0002632i,-0.00074683-0.00021628i,-0.00037464-0.00084993i,0.00023562-0.00076838i,0.00043369-4.6839e-05i,0.00014146+4.587e-05i,0.0003734-6.4915e-05i,0.00042815-8.0364e-05i,0.00015358-6.7236e-07i,-0.00029792-6.9969e-05i,-0.00027123-6.1711e-05i,0.00022738+0.0007129i,-4.6576e-05+0.00056013i
0.0014405-0.0011819i,0.00079844-0.00010852i,-0.00065364+0.00018112i,-0.00072587+0.00066579i,-0.00050812+0.00045169i,-0.00091959-0.00043037i,-0.00094506-0.00055266i,-0.000177-0.00033355i,4.5226e-05-0.00044462i,-0.00031447-0.00074833i,-0.00084701-0.00014703i,-0.00066452+4.3591e-06i,0.00019629-0.00070113i,0.00023733-0.00031349i,-0.00049101+6.1389e-05i,-0.00066229-0.00032352i,-0.00029489-0.00028326i,-0.00030059+0.0001269i,0.00041489-0.00021818i,0.00028215-0.0009452i,-0.00042213-0.001022i,-4.6244e-05-3.1065e-05i,-0.00037674+0.0013722i
0.00025-0.0017756i,-0.001136-0.00069018i,-0.0038473-0.00025323i,-0.0039163-0.00050924i,-0.0029577-0.00062614i,-0.0021972-0.00064148i,-0.0013076-0.00061028i,-0.00075242-0.00050112i,-0.00036435-0.00055054i,-0.00057805-0.00043175i,-0.00085149-0.00033472i,-0.00049376+0.00016351i,0.000622-0.00030994i,0.00079636-0.00074076i,0.00037677+0.00071692i,-0.0001521+0.0014708i,-0.00052396+0.00048039i,-0.00041235-0.00054321i,0.0002307-0.00056336i,0.00026435+0.00054562i,0.00042816+0.0010802i,0.00042018+0.00055601i,-0.00015887+0.00057553i
-0.00093747+0.00028434i,-0.0018842+0.00023012i,-0.0014774+0.00089972i,-0.00050959+0.0014491i,-0.00062207+0.00089461i,-0.0014879-0.00046727i,-0.0019847-0.0011929i,-0.0019276-0.00051691i,-0.0012249+0.00018802i,-0.00059772+0.00011104i,-0.00062695-0.00019351i,-0.0010499-0.00051564i,-0.00096714-3.7724e-05i,-0.00052652-0.00014996i,-0.00046116-0.00065937i,-0.00040727-0.00060026i,-0.00040854-0.00075495i,-0.00068639-9.7929e-05i,-0.00074079+0.0004409i,-0.00074483+0.00051137i,-0.00029924-0.00011449i,0.00032917-0.0011778i,0.00073167-0.0009745i
0.00091239-0.0022913i,0.00013194-0.0027062i,-0.00039756-0.00059664i,-0.0016259+0.00061093i,-0.002034+0.00011417i,-0.0019192-0.00056009i,-0.0012454-0.0015095i,-0.00056903-0.00062909i,3.5951e-05+0.00018409i,0.00057074+0.00011895i,-0.00013381-0.00018961i,-0.00013558-0.00017265i,0.0003675+0.00021523i,-7.285e-05+0.00047913i,-0.0006499+0.00068225i,-0.00039716+0.00029031i,-0.00036352-1.2956e-05i,-0.0003801+6.5996e-06i,-0.00043424-0.00011827i,-0.00011771+0.0001439i,0.00062169+0.00053736i,0.0012373-0.00028774i,0.00073766-0.00082057i
-0.00055585-0.0011203i,-0.0018805-0.00013028i,-0.0022397-9.1114e-05i,-0.0023408+0.00016466i,-0.0016003+0.00026711i,-0.00066892+0.00020202i,-0.0012324+0.00024527i,-0.0012548-0.00015233i,-0.00085677-0.00066015i,-0.00041412-0.00063309i,0.00036745-0.00011648i,0.00042396+0.0001541i,-0.00026884+2.9724e-05i,-0.00061217-0.00016407i,-0.0008164+0.00036783i,-0.0005037+0.00058446i,0.00025243-0.00029785i,-0.00029202-0.0010223i,-0.00077064-0.00089564i,-0.00043945-0.00037036i,-0.00084851-0.00064632i,-0.0004719-0.0006448i,0.0002684+0.00066755i
-0.0014917-0.0039307i,-0.0031918-0.0020666i,-0.0046127+0.00017696i,-0.0038976+0.0018382i,-0.002259+0.0015101i,-0.0016736+0.00078186i,-0.0011637+0.00027816i,0.00029793-0.00077738i,0.00059738-0.0014054i,-0.00043874-0.00048185i,-0.00055786+0.00044797i,0.0001413+0.00084741i,0.00051201+0.00097891i,0.00033107+0.00093282i,0.00043837+0.00097892i,0.00092036+0.00076118i,0.00058619+0.00041983i,-6.4314e-05+3.7109e-05i,6.3003e-05-0.00088964i,0.00036704-0.001221i,-0.00029683-0.001019i,-0.00071839-0.00058284i,-0.00084927-0.00020451i
-9.3492e-05-0.00026287i,-0.00048596+0.00023037i,-0.00071398+0.0005813i,-0.0011977+0.00044195i,-0.0014577-1.6509e-05i,-0.0014514-0.0008445i,-0.0021948-0.00051774i,-0.0022967+8.1302e-05i,-0.00099102-0.00021988i,0.00015422-0.00055281i,-4.5763e-05+0.00016004i,-0.0012835+0.00056789i,-0.00152+0.00031034i,-0.00037069-0.00025698i,0.00050749-0.0010459i,0.00061134-0.00075022i,-0.00014443-0.00067309i,0.00014412-0.0011917i,0.0004539-0.00080013i,0.00060796-0.00026437i,0.0006111-0.00023862i,0.0002454-0.00082277i,0.0004599-0.0005807i
-0.00051415-0.0012582i,-0.0012342-0.0018355i,-0.0019297-0.001415i,-0.0019365-0.00022449i,-0.0011546+0.00012766i,-0.00055727-0.00032616i,-0.00032941-0.00069194i,-0.00044235-0.00086971i,-0.00045655-0.00091608i,-0.00021211-0.00038758i,-0.0008014+0.00031365i,-0.0010325-0.00018942i,-0.00020996-0.00077464i,0.00049032-0.00065626i,0.0003009-0.00028621i,8.31e-05+5.9288e-05i,4.583e-05+9.4577e-05i,2.1837e-06+0.00014998i,-0.00022872+0.00040211i,-0.00073375+5.646e-05i,-0.00027268-0.00014042i,-0.00021838-0.0001036i,-0.00066489-0.00050597i
-0.00037386-0.0015079i,-0.0014087-0.00070315i,-0.0014233+0.00041334i,-0.00084429+0.00049974i,-0.0012748+0.00048829i,-0.0020468+0.00043772i,-0.0018001+0.00023303i,-0.00094734-0.00011611i,-0.00081507-5.2699e-05i,-0.0010603+4.5589e-05i,-0.00094229-0.00022836i,-0.00032904-0.0002464i,0.00071629-0.0002975i,0.00077099+0.00042898i,6.0696e-05+0.001101i,-3.1634e-05+0.0005904i,0.00023786-0.0001041i,0.00024502-0.00034847i,-0.00046823-0.00022333i,-0.0010212+1.2131e-05i,-0.00091496+3.8145e-05i,-0.00072505-0.00040433i,-0.00018621-0.00051013i
-0.0016134-0.00023853i,-0.0011863-0.00073654i,-0.00049607+0.00014905i,-0.0010345+0.00033998i,-0.0011565+5.0878e-05i,-0.0012714-0.0011007i,-0.001831-0.0015492i,-0.0011814-0.00078553i,-0.00011921-0.0004765i,-0.00054932-0.0003004i,-0.0013589-0.00032404i,-0.001551-0.00027411i,-0.0009922-0.00052043i,-0.00068196-0.00078416i,-0.00047645-0.0012124i,0.00053846-0.0016473i,0.001247-0.0016341i,0.0010475-0.00063077i,0.00068559+0.00063604i,0.00061014+0.0013028i,0.00040179+0.00085032i,2.1257e-05-0.00024569i,-0.00033493-0.00023105i
-0.0006024-0.0026911i,-0.0011297-0.001578i,-0.0020025+0.000841i,-0.0018268+0.0016026i,-0.00081675+0.0009608i,-0.00053272+0.00075682i,-0.0011577+0.00054715i,-0.0014357+8.1433e-05i,-0.0014401-0.0002834i,-0.0010619-0.00011942i,-0.0007637-0.00013534i,-0.00076967+0.00022258i,-0.00073563+0.00015629i,-1.3712e-05-0.00062109i,0.00038759-7.8005e-05i,-0.00025388+0.0002205i,-6.7405e-05-8.5216e-05i,0.00038961+0.00039934i,-0.00024001+0.00059882i,-0.00027456-0.00014211i,-2.4093e-05-0.00097927i,0.00023308-0.0011733i,0.0001636-6.5446e-05i
0.00091597-0.0016732i,-2.2486e-05-0.0010388i,-0.0023326-0.00027901i,-0.0036519+0.00090996i,-0.0033536+0.0013584i,-0.0016971+0.00047475i,-0.00068843-0.00049836i,-0.00049079-0.00053716i,-0.00037931-2.8056e-05i,-0.00014718-5.0312e-06i,-0.00034182+4.7074e-06i,-0.00081478-8.8175e-05i,-0.00089563-0.00012406i,-0.00065331-8.6394e-05i,-5.676e-05-0.0002373i,0.0001273-6.176e-05i,0.00011833-0.00025628i,0.0001758-0.00066172i,0.00010272-0.00093361i,-0.00028316-0.00050792i,-0.00057458-0.00053632i,-0.00034981-0.0010736i,-9.1271e-05-0.00030464i
-0.00062694-0.0036571i,-0.0015394-0.0028482i,-0.0024318-0.0023299i,-0.003744-0.00077356i,-0.0035057-0.00023842i,-0.0016305-0.00047801i,-0.0013437-0.0013456i,-0.001183-0.0018936i,-0.00043686-0.0011578i,-0.00072596-0.00036772i,-0.0010649-0.00050087i,-0.0010313-0.00032981i,-0.00041978+0.00014323i,8.0429e-05-0.00016461i,0.00042906+0.000544i,0.00056268+0.0008697i,0.00027981-0.00059885i,-9.6309e-05-0.00088157i,0.00019857+0.00032818i,0.0001952+0.00052677i,-0.00039363-0.00017696i,9.687e-05-0.00020901i,0.00036677+3.9262e-05i
0.00053624-0.00058087i,-0.00029102-0.0013823i,-0.00079063-0.00069935i,-0.0013282-0.0001195i,-0.0015228-0.00035576i,-0.0011729-0.00043369i,-0.00095618-0.00061144i,-0.00068351-0.00047153i,-0.00047223-1.0505e-05i,-0.00063396+0.00018199i,-0.00059029-0.00019363i,-0.00051787-0.00017519i,-0.00081726-0.00062676i,-0.00044752-0.00098644i,-5.7434e-05-0.00091634i,0.00036536-0.00099188i,0.00035803-0.0003177i,0.00035542-9.0131e-06i,0.00020098+0.00011977i,8.5739e-05+0.00012204i,0.00048897-2.9317e-05i,9.8251e-05-9.7832e-05i,-0.0002762+0.00015842i
0.00046951+0.00071681i,-0.00039751+0.00076313i,-0.0014332+0.0011991i,-0.0014289+0.00028359i,-0.00054012-0.0007534i,-0.0008301-0.0009456i,-0.0017308-0.0011373i,-0.0017913-0.00031698i,-0.00088896+0.00031087i,-0.00029833+0.00063435i,-0.00064845+0.00052985i,-0.0010337+1.554e-05i,-0.00076773-0.00023595i,-5.0142e-06-0.00063264i,0.00010239-0.000636i,0.00021722+0.00011448i,8.0041e-05+0.00021822i,-0.00048787+0.00065473i,-0.00050012+0.0011682i,-0.00045814+0.00061096i,-0.00043766+6.9415e-05i,0.00016224+0.000155i,0.00079403+0.00013216i
0.00019385-0.0020525i,-0.00038957-0.0016105i,-0.0015088-4.1491e-05i,-0.002481+0.00059101i,-0.0020645+0.00013317i,-0.0015013-0.00049724i,-0.001761-0.0013205i,-0.0013749-0.00098678i,-0.00064829-9.2021e-05i,-0.00073113-4.9728e-05i,-0.0010939+7.1057e-05i,-0.00038389-0.00010583i,0.00027046-0.00053337i,-0.00025791-0.00023803i,-0.00056868-0.00061997i,-0.00056505-0.0010868i,-5.7798e-05-0.001093i,-2.5906e-05-0.00035838i,-0.00016508+0.000142i,0.00020154-0.00031462i,0.00044027-0.00027349i,0.00015507+0.00030514i,0.00013918+0.00010713i
-0.00076693-0.00097949i,-0.0010201+7.8099e-05i,-0.0014391+0.00070902i,-0.002027+0.00095438i,-0.0018728+0.0011709i,-0.0013311+0.0007681i,-0.0013784+0.00053195i,-0.0013634+0.00040706i,-0.00038798-9.2456e-05i,0.00022873-0.00037126i,0.00044046-0.00031514i,0.00012998+8.7738e-05i,0.00038516+5.6409e-05i,0.00135+0.00010842i,0.0011858+0.0004653i,0.00061167+0.00012578i,0.00072522-0.0006985i,1.3395e-05-0.0011066i,-7.8623e-05-0.0011902i,0.00067535-0.00053587i,0.00078194+0.00034189i,0.0005644+0.0004511i,-0.00029579+7.1827e-05i
0.0018021+0.00026164i,0.0011667-0.00068422i,-0.00082318+0.00019586i,-0.0014669+0.0007008i,-0.00081355+1.326e-05i,-0.0011236-0.00080643i,-0.0012929-0.00074463i,-0.0011758+0.00058346i,-0.0006845+0.00090025i,2.9334e-05-5.934e-05i,-0.00024336-0.00024841i,-0.0011319-0.00050046i,-0.00042215-0.00044416i,5.6431e-05-0.00032744i,-4.3452e-05-0.00091779i,0.00012023-0.00069524i,-0.00065183-0.00035041i,-0.00077955-0.00037897i,5.3618e-05-0.00030727i,0.00011038-0.00013722i,-4.8983e-05-0.00029373i,0.00019596-0.00053177i,-0.00013023-0.00061821i
-0.001285-0.0014186i,-0.0011816-0.00023599i,-0.0016446+0.00012173i,-0.0012993-0.00039098i,-0.00084038-1.6536e-05i,-0.00058692+0.00029734i,-0.0007939-0.00027321i,-0.00081811-0.00087984i,-0.00095208-0.0010871i,-0.00084539-0.00038872i,4.6784e-05+0.00021462i,0.00086893+0.00069367i,0.00054667+0.0010219i,5.3068e-05+0.00018043i,0.00061804-0.00042974i,0.00080578+1.0289e-05i,0.00020984+8.8422e-05i,0.00047619+0.00018689i,0.00092882-9.497e-05i,0.00070441-0.00057086i,0.00017959-0.00055838i,-1.3177e-05+2.0065e-05i,-0.00053847+0.00033491i
