-0.0026999+0.00021814i,-0.001434-0.0013159i,-0.0022109-0.0014103i,-0.0036622-0.00055401i,-0.0035211+0.00028722i,-0.0019787+0.00088936i,-0.00067928+0.00091135i,0.00035505+0.00060828i,0.0011185+0.00035295i,0.0010217+0.00050887i,0.00063967+0.00025919i,0.00090352-0.00034497i,0.0010455+0.00027567i,3.7206e-05+0.00056142i,-0.0002735-0.00010663i,-0.00015097-4.097e-05i,3.9746e-05+5.5477e-05i,0.00024385+6.0065e-05i,0.00041576+0.00099773i,-0.00041453+0.0010078i,-0.0012612+1.7062e-05i,-0.00076596-0.00028184i,-0.00016606-0.00042448i
0.0013517-0.0015763i,0.00043014-0.0014982i,-0.0009066-0.0014414i,-0.00205-0.0014629i,-0.0029691-0.0013346i,-0.00214-0.0014603i,-0.0003176-0.00049465i,0.00048516+5.8872e-05i,0.001058-0.00037735i,0.0013077-0.00066867i,0.0011-0.00016292i,0.00048057+0.00018867i,0.00053803+0.00013298i,0.00053507+0.00032448i,-7.7574e-05+0.0004956i,-0.0002737+0.00013479i,-1.5609e-05-0.00042795i,-0.00027974-0.0001312i,-0.00011239+0.00059128i,-2.884e-05+0.0005587i,-0.00012706-0.00012879i,-0.00034174-0.00051854i,-0.00094276-0.00018248i
-0.00030884+0.00019535i,-0.00050326-0.00031152i,-0.00070888-0.0012913i,-0.0010504-0.0016161i,-0.0018364-0.0016468i,-0.0017736-0.0012918i,-0.00039946-5.8124e-05i,0.0007516-3.0114e-05i,0.00099577-0.00017378i,0.00038361-6.406e-05i,-0.00015982+4.1078e-05i,-0.00069761-0.00021019i,-0.00059383-0.00041013i,0.00049855-0.00022652i,0.00036029-0.00029428i,-0.00044626-2.8838e-05i,-0.00053648-0.00027598i,-0.00046533-0.00061429i,-0.00056703-0.00025171i,-1.588e-05-0.00018822i,0.00056364-4.5353e-05i,0.00075281-7.6642e-05i,0.00060874-0.00050666i
0.0010363-0.00096305i,0.00047998-0.0013798i,0.00016374-0.0020347i,-0.001314-0.0025075i,-0.00176-0.0019976i,-0.0010275-0.00033478i,-0.00040168+0.00049865i,0.0005049+0.00014211i,0.00096745-0.00068582i,0.00081144-0.0011117i,0.00079823-0.00068573i,0.00026529-0.00028147i,-0.00040514-8.7657e-05i,5.7593e-05+0.00051149i,0.0002043+0.00069643i,-0.0003674+0.00042519i,-0.00041267+7.9872e-05i,0.00026817-0.00046071i,0.00059699-0.0004526i,0.00033168+0.00037115i,-0.00067531+0.0007728i,-0.0010708-8.0591e-05i,-0.00034933-0.00079551i
0.00012963+0.0010611i,0.00018492+0.00054201i,0.00056097-0.00074234i,-0.00047089-0.0017232i,-0.0017592-0.0019109i,-0.0021583-0.0015733i,-0.0016485-0.00084749i,-0.00099706-0.00043451i,-3.4035e-05-0.00028349i,0.00027831-0.00020733i,0.00046805-0.00058658i,0.0011919+0.00011098i,0.0012616+0.00068421i,0.00080678+0.00035876i,0.00050765+0.00038669i,4.5033e-05+0.00057387i,-0.00071475-6.203e-05i,-0.00018179-0.00080986i,0.0010767-0.00086738i,0.0012211-0.00054552i,0.00066363-0.00028306i,0.00029416-0.00023287i,-0.00022394-1.167e-05i
0.00051935+0.00099028i,0.00071736+0.00082735i,0.00060727-1.3813e-05i,-0.00013542-0.0011913i,-0.00086979-0.0017206i,-0.0011442-0.0013108i,-0.00052793+1.0293e-05i,5.2648e-05+0.00016854i,0.00063069-0.00033263i,0.00085669+3.3518e-05i,0.0007662+0.00020773i,0.00105-0.00043127i,0.0013017-3.2171e-05i,0.00074566+0.00070851i,-0.00042166+0.001091i,-0.0011613+0.00041852i,-0.00088446+9.0063e-05i,-0.00030656+0.00014918i,-0.00017388-0.00057033i,-0.00012964-0.000825i,0.00077842-0.00060064i,0.00082605+0.00028308i,0.00013239+0.00026788i
-0.00035224-0.00023368i,-0.0010877-0.0010625i,-0.0023507-0.0012518i,-0.0032377-0.0012894i,-0.0024759-0.00062451i,-0.0014965+4.0132e-05i,-0.00063641+0.00014523i,-8.7421e-06+0.00029537i,0.00023756+0.00023739i,0.0002195+2.0222e-05i,0.00053638+0.00023891i,0.00059961+0.00096935i,-0.00034712+0.00067577i,-0.00087785+0.00052502i,-0.00088675+0.00035738i,-0.00051021+9.6835e-05i,-6.3527e-05-0.00051259i,-9.4431e-05-0.0010103i,-0.00037774-0.00027692i,-0.00070201-0.0002903i,-0.00077409-0.00032255i,-0.00014962+0.00015561i,0.00010452+0.00072798i
0.00010744-0.0015352i,-0.0014008-0.0010047i,-0.0021948-0.00096322i,-0.0021913-0.00072336i,-0.002234-0.00089091i,-0.0012892-0.00089073i,0.00047149-7.2926e-05i,0.0010796+0.00020978i,0.00033377-0.00076801i,1.8631e-06-0.001705i,0.00041444-0.0010824i,0.0003983+9.3769e-05i,-3.3121e-05+0.00073782i,-0.0010402+0.00059991i,-0.001005+0.00010139i,-0.00012851+0.00038238i,0.00035749+0.00059459i,0.0010507+3.501e-05i,0.0011146+8.4289e-05i,0.00017785+0.00012305i,-5.5097e-05-0.00010129i,-0.00025117-0.00038889i,-0.00027898-0.00089i
0.00060454+0.0013734i,0.00033613+0.00096695i,-0.00018693-0.00065356i,-0.00054199-0.0012492i,-0.0013287-0.0016548i,-0.0010469-0.0016545i,-5.1465e-05-0.00089792i,0.00031073-0.00061858i,0.00062357-0.00041649i,0.0012723-0.00051954i,0.0013905-0.00082547i,0.00070283-0.00089027i,0.00057043-0.00070476i,0.00035526-0.00015041i,5.4521e-07-3.8257e-05i,-8.0541e-06-0.00027055i,-3.7349e-05-0.00067773i,-0.00012218-0.00035977i,9.579e-05-2.4273e-05i,0.00088161-0.00027481i,0.0013395-0.00021287i,0.0012251-0.00027313i,0.0012224+9.0033e-05i
-0.0015713-8.9322e-05i,-0.0012499-0.00023183i,-8.289e-05+4.9144e-05i,-0.00058715-0.0004778i,-0.00097948-0.00076628i,-2.5488e-05-0.00018966i,0.00048374-0.00056093i,0.00090233-0.00076915i,0.00065374-0.00032786i,-3.7828e-05+0.0001222i,1.8647e-05+0.00048184i,0.00047399-1.6749e-05i,-0.00034049-0.00052526i,-0.00033648-0.00046605i,0.00089502-0.00063346i,0.00084996-0.00031389i,0.00063046-0.00046015i,0.00044579-0.00022168i,2.3119e-05+0.00069543i,-0.00030488+0.00037946i,-6.2764e-05-0.00013309i,-0.00021168+0.00010881i,-0.00059822-3.5515e-05i
0.0010586+0.0013104i,0.0010018+0.0012279i,-0.00029781+0.00016433i,-0.0015092-0.0010331i,-0.0024151-0.0014543i,-0.0015867-0.0012697i,1.1897e-05-0.00062871i,0.00043023-0.00057832i,0.00070416-0.00044623i,0.00029667-0.00024683i,0.00038001-0.00010796i,0.00019544-2.7843e-05i,-0.00063191-0.0001166i,-0.00041732-0.00019759i,0.00044038+0.00055662i,0.00094682+0.00070601i,0.0015792+1.2723e-05i,0.0017002-0.00056039i,0.00087878-0.00048989i,0.00073886+0.00037664i,0.001044+0.0010246i,0.00083007+0.0012779i,0.00063097+0.00080211i
-0.0013408-0.0011541i,-0.0016777-0.0011858i,-0.00087059-0.00085227i,-0.00060468-0.0011782i,-0.0015871-0.0015871i,-0.0014683-0.0014544i,-4.8113e-05-0.00075963i,9.9181e-05-0.0003995i,-0.00020284-0.00092097i,-0.00048126-0.0010643i,-0.00058867-0.00073097i,-3.424e-05-7.546e-05i,-0.00016157-4.6104e-05i,-0.00092934-6.4432e-06i,-0.00082623+0.00022659i,-0.00032818-4.1202e-05i,-0.00026553-0.00035684i,-0.001034+3.2235e-05i,-0.00087757+0.00060559i,0.00041131+0.00070772i,0.00016047+0.00080731i,-0.00033348+0.00046917i,0.00020742+0.00029927i
0.00033165-0.0015214i,-0.00098355-0.00039495i,-0.0024996+0.00039264i,-0.0028129-5.4047e-05i,-0.0023424-0.0005986i,-0.0018234-0.00056592i,-0.00068005-0.00040124i,0.0004465+4.6514e-05i,0.00058055+0.00011966i,-0.00020857+7.5477e-05i,-0.00031794+0.00076727i,-6.7726e-05+0.00048972i,-0.00026681-0.00011755i,-0.0004425+0.00023985i,-0.00039617+0.00027174i,-9.7974e-05-0.00029528i,5.7164e-05-0.00055049i,2.5957e-05-0.00057665i,0.00047491-0.000504i,0.00035278-0.00071525i,-1.7377e-05-0.00086443i,-6.9484e-05-0.00094921i,-0.0001248-0.00087964i
-0.00207-0.00044204i,-0.001451-0.00036696i,-0.0017805-0.00012318i,-0.0026104+0.00042356i,-0.0021471+0.00052414i,-0.00088326+0.00048462i,-0.00069066-9.3516e-05i,-0.00037226-0.0010139i,0.00015992-0.0012995i,5.0877e-06-0.00096138i,-6.1463e-05-0.00017525i,0.00051375-0.00022401i,0.00050277-0.00059591i,0.00026395-0.00022911i,0.00023083+0.00049271i,0.00045122+0.00037712i,0.00067482-3.2221e-05i,0.00015272-0.00029798i,-0.00042506-4.8195e-07i,-0.00036844-0.00023423i,-0.0001632-0.00034499i,1.5868e-05-0.00025363i,0.00012888-0.00030547i
-0.0013434-0.00013389i,-0.00073115+0.0011544i,-0.0013843+0.0016213i,-0.0024596-0.00014704i,-0.0025852-0.00095036i,-0.0014439-0.00070348i,1.3926e-05-0.000143i,0.0002453+0.00015273i,0.00027557-0.00040491i,0.00088304-0.00013033i,0.00068726-0.00048389i,-6.8333e-05-0.0018943i,-0.00053949-0.001104i,-0.00069205+0.00046613i,0.00014203-3.4523e-05i,0.00077396-0.00098278i,0.00049947-0.00089236i,0.00027512-0.0011031i,0.00024788-0.0011256i,0.00080875-0.00033328i,0.0010707+0.0004627i,0.00026299+0.00021682i,-0.00046009-0.00024919i
-0.00076782-0.00012069i,-0.0008958-0.00040883i,-0.0011894-0.00065263i,-0.0012852-8.9458e-05i,-0.0018648-0.00029601i,-0.0022713-0.00024695i,-0.00085962+0.00022585i,0.00039446+0.00048571i,0.00011801+0.00016769i,-0.00012892-0.00087743i,6.4614e-05-0.0011142i,-0.00032852-0.00042042i,-0.00051725+7.395e-06i,-0.00021625+0.00018628i,0.00018856+0.00070976i,0.00013918+0.0003548i,-0.00034385-0.00020236i,-0.00026359-0.00035902i,-0.00088023-0.0005624i,-0.0011364-0.0003659i,-0.00063115+5.6754e-05i,-0.00049061+2.7987e-05i,-6.0012e-05+3.4383e-05i
0.00065818+0.00040029i,-0.00020054+0.00029519i,-0.0001542-0.0006301i,-0.00043463-0.00088799i,-0.0015718-0.00042703i,-0.0012887-0.00030631i,-0.00036456-0.00037302i,0.00034094-0.00036655i,0.00020475-9.2678e-05i,-0.00027564-0.00010079i,-0.00076164+0.00029872i,-0.00065204+0.00052786i,-0.00026992-0.00051374i,-0.00027328-0.00090582i,-0.0012182-0.0008573i,-0.0013604-0.00061327i,-0.00024198+9.1564e-05i,0.00021341+2.9605e-05i,9.7329e-06-2.6396e-05i,-0.00088024+0.00041562i,-0.00072345+0.00013035i,-0.00049214-7.6311e-05i,-0.00032313+0.00010917i
-3.5262e-05-0.0013771i,-0.00041319-0.0011443i,-0.0016115-0.00098571i,-0.0024254-0.0010218i,-0.0025903-0.00079494i,-0.0021714-0.00047452i,-0.0016489-0.00044547i,-0.0007532-0.00051621i,0.00011618-0.00036795i,0.0005678+0.00062613i,0.00055724+0.00099182i,0.00017132+0.00035198i,0.00020854-0.00040669i,2.569e-05-0.00020428i,-0.000398+0.00082598i,-0.0010089+0.0011342i,-0.0010804+0.00017062i,-0.00036862-0.00028431i,-0.00015253+0.00047547i,0.00029697+0.00032542i,0.00037963-0.00079521i,0.00021476-0.00072198i,0.00017323+1.3371e-05i
-0.00036671+0.00047265i,-7.3472e-05-0.00098296i,-0.00032522-0.0020813i,-0.001681-0.0022399i,-0.0020129-0.0021327i,-0.0014874-0.0012764i,-0.00019964-0.00021347i,0.00070944+0.00021399i,0.00047886-0.00035913i,0.00060261-0.00086965i,0.00076208-0.0012607i,0.00024823-0.0018035i,-0.00032015-0.0014347i,-0.0001783+0.00029113i,0.00020188+0.00048209i,0.00057746-0.00023328i,0.00056062-2.1343e-05i,0.00063824+0.00049432i,0.00075506+0.00055693i,0.00013387+6.6262e-05i,0.0001583+0.00018312i,0.00023375+0.00021531i,-0.00053926-0.00067695i
-0.0016575+0.0012711i,-0.00044073+0.0018611i,0.00060616+0.0015232i,0.00045529+0.0013738i,0.00034326+0.0010968i,0.00057687+0.0006219i,0.0005149+0.00025699i,-4.2476e-05+0.00047914i,-0.00046892+0.00096445i,-0.00043214+0.00021716i,-0.00023807-0.00042682i,-0.00030463-0.00013785i,-0.00031668+0.00051618i,-0.00013881+0.00074635i,-0.00013767+0.0002105i,-5.1935e-05-0.00033292i,-0.00016358-0.00050738i,-0.00016597+9.0036e-05i,7.4831e-05+6.252e-05i,4.3696e-05+0.00013137i,-0.0010423+0.00016577i,-0.0013378+8.4028e-05i,-0.00072275+0.00027789i
0.00057897+0.0016518i,0.00011066+0.00056723i,-0.00090784-7.0993e-05i,-0.0013923-0.00039434i,-0.0017727-0.00025717i,-0.0022042+0.00017285i,-0.0017076+0.00028925i,-0.00038108+0.00016214i,0.00040956-0.00078764i,0.00039376-0.00027598i,0.00021394+0.00097349i,0.00018041+0.0011479i,0.00042512+0.00065226i,0.00025717-0.00046412i,-0.00018862-0.0013382i,0.00042545-0.00090533i,0.00075905-0.00020654i,0.00051322-0.00029242i,0.00060374-0.00028031i,0.00046135-5.6503e-05i,-0.00051929+0.0002035i,-0.00084647+0.00068278i,4.9797e-05+0.00053224i
-0.00016056-0.00079375i,-0.00067021-0.0016075i,-0.001887-0.0021728i,-0.0032494-0.0028548i,-0.0029537-0.0024152i,-0.0016168-0.00070492i,-0.00059195-4.8831e-05i,-0.00050719-0.00013516i,-0.00088931-0.00026451i,-0.00077212-0.00029099i,-0.00056457-0.00086485i,-0.00029039-0.00076479i,0.00042909-5.2461e-05i,0.00049355-0.00017686i,0.0005324-0.00037925i,0.00075488+5.0744e-05i,7.0315e-05+0.0002819i,-0.00034011-0.00010353i,-0.00018293-0.0004132i,-0.00041072-0.0004747i,-0.00074086-0.00058959i,-0.0002372-0.0009709i,-0.00068573-0.00095023i
-0.00060163-0.001681i,-0.00059323-0.0014484i,-0.001206-0.0012569i,-0.0028017-0.0019356i,-0.0029914-0.0019157i,-0.0010773-0.0010576i,0.00022315+0.00011492i,0.00051337-3.275e-05i,0.00046036-0.00068224i,0.00081057-0.00027139i,0.00074357-0.00054939i,-0.00016833-0.0012672i,-0.00012448-0.00096968i,0.00022474+0.00010092i,-3.702e-05+0.00094734i,-0.00070093+0.00026175i,-0.00024819-0.00022392i,0.00024191-1.711e-05i,0.00041481+1.9304e-05i,0.00040922+0.00012318i,-0.00016391-1.9744e-05i,-0.00020777-0.00078935i,-0.00032761-0.0010131i
-0.00061369-0.00036635i,-0.00027893-0.0012892i,-0.00084896-0.00093804i,-0.0011705-0.0010861i,-0.0014415-0.0016285i,-0.0014229-0.0012038i,-0.00075877-0.00062717i,0.00013887-0.00048617i,0.00089903-0.000341i,0.00070765-0.00054667i,0.0006409-0.0010298i,0.00013842-0.00091472i,-0.00022377-0.00024733i,-0.00017619+0.00015918i,-0.00044323-8.1276e-05i,-0.00084635+0.00011462i,-0.0010061+0.00051978i,-0.00063309+0.00050731i,-0.00041626-0.00010675i,-0.00010004-0.00063307i,-6.1507e-05-8.6575e-05i,-0.00015875-0.00028661i,-0.00027717-0.00095696i
-0.0012695-0.0020841i,-0.0021631-0.0014675i,-0.0023813-0.00060571i,-0.0028221-0.0012775i,-0.002496-0.0017685i,-0.0011206-0.00066414i,-0.00059451+2.4163e-05i,-0.00039144-0.00081707i,0.00025854-0.0010371i,0.00050184-0.00071605i,0.00036436-0.00047386i,0.00041899+0.00030343i,-3.7669e-05+0.000584i,-0.00031826+0.00023385i,-0.00020653-0.00011271i,-6.0669e-05-0.00031685i,-0.00013237-0.00074566i,-0.00011283-0.00054222i,-1.9477e-05-9.9236e-05i,-0.0002715-0.00026248i,0.00026581-0.00068868i,0.00060269-0.00076499i,-0.00032964-0.00063878i
0.0004179+0.00038151i,-0.00023258-0.001116i,-0.00099578-0.0012365i,-0.0016284-0.0019136i,-0.0022524-0.0020326i,-0.0021243-0.00099703i,-0.0012933-0.00014246i,-0.00053801+0.00011945i,0.00045039+5.0275e-05i,0.0010682+0.00018131i,0.00025201-5.0721e-05i,-3.4423e-06-0.0002298i,-6.4869e-05-3.1099e-05i,-0.00045047+0.00018017i,-6.0681e-05+0.00038649i,8.7236e-05+0.00056233i,-0.00015983+0.0010792i,4.4952e-05+0.00077356i,0.00043481+0.00039349i,-8.8316e-06+0.00027583i,-0.00078003+0.00028694i,-0.00053534+0.00087289i,0.0003539+0.00072048i
0.00080738-5.1079e-06i,0.00079814-0.00025975i,0.00024877-0.0020549i,-0.0005561-0.0030399i,-0.0015409-0.0022673i,-0.0017115-0.0011013i,-0.00053723-0.00027767i,0.00081046+0.00043222i,0.0009862-4.9829e-05i,0.00022661-0.0011658i,3.8987e-05-0.00064526i,-7.8542e-05+0.00044014i,-0.00022794+0.00069457i,1.6543e-05-0.00016806i,-0.00017809-0.00036462i,-6.2997e-05+0.00077278i,0.00085816+0.00081428i,0.00033146-1.4329e-05i,-0.00042983-0.0004526i,-0.00019179-0.00092919i,0.00073676-0.0012447i,0.00097893-0.00061992i,0.00048531+0.00046388i
0.0018334+0.00033182i,0.00087982-0.00080091i,0.00019185-0.0018986i,-0.0006499-0.0023587i,-0.0010057-0.0024616i,-0.00082456-0.0011212i,-0.0011302-0.00040771i,-0.00076618-0.00084133i,0.00016823-0.0013016i,0.00021045-0.00089034i,0.00013185-0.00073518i,0.00033676-0.00099234i,0.00036684-0.0007157i,0.00038378-0.00047646i,7.8902e-05-0.00033022i,0.00011241+0.0003494i,0.00016671+0.0008775i,-0.00010894+0.00041714i,0.00044049-0.001008i,0.00097501-0.0010757i,0.00057991-0.00065326i,0.00061594-2.788e-06i,0.0011292+0.00097018i
-0.0019502-0.0014721i,-0.0028863-0.0012556i,-0.0034292-0.0017071i,-0.0028844-0.0022224i,-0.0023202-0.0017527i,-0.0013476-0.00059185i,5.2834e-05-0.00022518i,0.00083653-0.00023001i,0.0011669-0.0003811i,0.00082962-0.00068745i,0.00017221-0.00074025i,0.00040596-0.00027354i,0.00092321+0.00042111i,0.0010091+4.8844e-05i,0.00089964-0.00099201i,0.00070474-9.8534e-05i,0.00020619+0.0009839i,-0.00024068+0.00049371i,-0.00041661-0.00037753i,0.00031952-0.00073829i,0.00074539-0.00028586i,0.00051866-5.3972e-05i,0.00045697-0.00082655i
0.00086061-0.00064933i,0.0001863-0.00089667i,-0.00084988-0.0023199i,-0.0014959-0.0026216i,-0.001759-0.0022342i,-0.0016837-0.001072i,-0.001168+0.00051652i,5.5663e-05+0.0004257i,0.001211-3.1834e-05i,0.0011978-0.00022129i,0.00094674+0.00025184i,0.00023687+0.00019957i,-2.9132e-05-0.00032045i,-0.00010456-0.00015302i,-0.00044302-7.1372e-05i,-0.00060113+3.936e-06i,-0.00019433+0.00013365i,-0.00023938-0.00027724i,-0.00081187-9.9155e-05i,-0.00050336-3.8349e-05i,6.667e-05-0.00077753i,0.00035736-0.00068835i,0.00098854-0.00051183i
-0.0010201+0.00016256i,-0.00043244-0.00022211i,-0.0011311+0.00059746i,-0.0022798+0.00026655i,-0.0014004-0.00065927i,9.2588e-05-0.00056377i,0.0002803-0.00017258i,-0.00012327-0.00093591i,-0.0012074-0.00098627i,-0.0010315-0.00010682i,-0.00055088+0.00031819i,0.00024299-0.00016874i,0.00050289-0.00061786i,0.00038249-0.00038112i,0.0011498-0.0008507i,0.0011727-0.0011498i,0.00094894-0.0012197i,0.00045037-0.00089514i,-0.00014067-0.00026273i,-0.00033432-3.3558e-05i,8.4123e-05-0.00014035i,0.00049496-0.00024423i,2.6718e-05-0.00026669i
0.00105-0.0023097i,0.00016401-0.0023889i,-0.00084032-0.0020137i,-0.0018193-0.0015909i,-0.0019645-0.0018484i,-0.0009905-0.001591i,0.00037738-0.00036481i,0.0010611-0.00026169i,0.00046878-0.0016944i,-0.0003002-0.001266i,-0.00040656+7.352e-05i,-0.0004008+0.00025124i,-0.00042909+6.7356e-05i,0.00011159+0.00018936i,0.00068721+0.00074813i,0.00031775+0.00063939i,-0.00021976-0.00024629i,-0.00022548-0.00047987i,0.0002738-0.00037712i,0.0010701+0.00028583i,0.00089612+0.00016855i,-0.00025206-0.00044392i,-0.0012268-0.00055518i
