-0.0013223+0.00094574i,6.5319e-05-0.00079894i,-0.0024425-0.001327i,-0.0022816+0.00069534i,-0.0011504+0.0032964i,-0.0016835+0.0035685i,-0.001068+0.0026746i,-1.9282e-05+0.0015448i,0.00063696+0.00088807i,0.0011272+0.00071738i,0.0016831-0.00085893i,0.001017-0.0015953i,-0.00050994-0.0011488i,-0.0010494-0.00099583i,-0.00060397-0.00043514i,-1.266e-05-0.00024954i,0.00042612+0.00018518i,0.00081072-0.00013541i,0.00087093+0.00015426i,0.00030265+0.00053497i,9.8241e-05-0.00024264i,-0.00018724-0.00070789i,-1.5106e-05-0.00023987i
0.0010894+0.00073782i,0.0013975+0.00028423i,0.0005646+0.00018267i,-0.00092423+0.00017484i,-0.0020744-0.00029634i,-0.0028736-0.00073177i,-0.0021975-0.0004024i,-0.0016235-0.00043048i,-0.00084846-0.00033055i,-0.00053367+0.00057126i,-0.00037588+0.00029804i,-4.9791e-05+0.00033166i,0.00036514+7.1858e-06i,0.0011121-0.00043901i,0.00079194+0.00020731i,-5.3144e-06+0.00068881i,-0.00055362+3.0227e-05i,-0.00083328-0.00065609i,-0.00083622-0.00067402i,-0.00050295-0.0004881i,-0.0003194-0.00016108i,-0.00037546+6.7075e-05i,-3.5802e-05+0.00028465i
0.00058236+0.00034382i,0.00056457+0.00080894i,0.00020779+0.00047227i,-0.00074319+0.00040324i,-0.00073714+0.00091551i,-0.00054011+0.0012896i,0.00041751+0.00038738i,0.0016735-0.0011223i,0.0014868-0.0012595i,0.00053729-0.00058258i,0.00035157-0.00026121i,0.0010556+4.4332e-05i,0.00066397+0.0001536i,-0.00016981-0.00036675i,1.7781e-05+3.1557e-05i,6.0553e-05+0.001167i,-0.00066482+0.0010654i,-0.0012262+0.00010821i,-0.00079379-9.5922e-06i,0.00013003+0.00030542i,0.00024292+0.00018216i,-0.00016574-0.00018884i,-0.00036217+0.00010691i
0.0010223-0.00021498i,0.00087494-0.00058925i,0.00035009+0.00050028i,-0.00051359+0.00077423i,-0.0007308+0.0011188i,-0.00049752+0.00090339i,-0.00071703+0.00070703i,-0.00068472+0.00050772i,-0.00027961-2.6991e-05i,0.00027227+4.6786e-05i,0.00018455+0.00044173i,0.00057787+0.00037413i,0.0010391-0.00067396i,0.00022582-0.0010632i,-0.00063318-0.00080464i,-0.00025522-0.00010004i,0.00093541-5.9123e-05i,0.00096825-5.9686e-05i,-2.8201e-05+0.0006089i,-0.00054982+0.0010442i,-0.0011535+0.00069704i,-0.0015076+9.1894e-05i,-0.00084851+0.00010358i
8.2833e-05-0.0026192i,-0.00052643-0.0022769i,-0.0016056-0.0026855i,-0.0026099-0.0018083i,-0.0027783+8.4674e-05i,-0.0023665+0.0011276i,-0.0015415+0.00078078i,0.00013702+0.00068858i,0.00023169+0.0012815i,-0.00076094+0.0008561i,-0.00026436+6.1279e-05i,0.00064442+4.357e-05i,0.00049573+0.00045033i,6.4705e-05-0.00032591i,0.00038223-0.00019291i,0.00077578+0.0011078i,0.00044399+0.0017032i,-0.00035191+0.00078629i,-0.00013939-0.00069247i,0.00026706-0.00052231i,0.00010282+0.00023321i,-8.8861e-06+0.0010731i,0.00039834+0.0012855i
0.0005546+0.0011109i,0.0015559+0.00024412i,0.0014967+0.00070798i,0.00094187+0.0014463i,0.0013061+0.0013352i,0.0014359+0.00024102i,0.0008297+0.00017717i,0.00017111+0.00031365i,-0.00012715+0.0001713i,0.000599+0.00023169i,0.0010349+0.00054117i,-0.0002274+0.00082981i,-0.00091217+0.00065857i,-0.00044215+0.00048179i,0.00048289+0.00035616i,0.00084998+0.00067274i,0.00069245+0.00095864i,0.00051862+0.00067582i,6.8578e-05+0.0006253i,-0.00072126+0.0007113i,-0.0010173+0.0011017i,-0.00043362+0.00074728i,0.0003081-0.00047332i
0.00058112+5.6274e-05i,-0.00014803-0.00075844i,-0.00056521-0.0013441i,-0.00088218-0.001151i,-0.00014594-7.9727e-06i,0.0003591+0.00060797i,-9.2355e-05+0.00022285i,-0.00032962+0.00044841i,0.00026512+0.00015856i,0.00074824-0.00028737i,0.00078138-9.8076e-05i,0.00069368-0.00016419i,0.0010533-0.00048978i,0.001268+0.00022649i,0.00061635+0.00061845i,-0.00060167+0.0002876i,-0.00086986+0.00073998i,-0.00037325+0.00069204i,-0.0003916+4.0532e-05i,-0.00012242+0.00032553i,-1.5913e-05+0.00057431i,-0.000274-0.00075933i,-0.00035977-0.0010392i
-0.00018492-0.0010729i,-0.00065958-0.00082079i,-0.00086501-0.0023939i,-0.0011615-0.0021559i,-0.0018496-0.00035985i,-0.0018468+0.0010345i,-0.0010904+0.0010337i,-0.00048466+0.00010124i,-0.00054072-0.00052509i,-0.00053208-0.00071433i,-0.00017321+0.00012529i,0.00025953+0.00011216i,-0.00011627-0.00074198i,-0.00032255-0.00067934i,0.00021905-0.00029613i,0.00013951+0.00027308i,-0.00034811+0.0012352i,-6.692e-05-0.00014716i,-0.00022941-0.0014936i,-0.0010391-0.00083624i,-0.00091396+0.0002686i,7.8135e-05-0.00033338i,0.00055835-0.00046926i
0.001599+0.00027812i,0.0017544-8.5132e-05i,0.0012799-0.00055386i,-0.00040929-0.00077071i,-0.0007995-0.00035226i,-0.00028596+0.00074727i,-0.00038551+0.0010192i,-0.0007327+0.00055309i,-0.00037717-9.4347e-05i,0.00016916-0.0002623i,0.00072025-2.029e-05i,0.00068415-0.00023704i,0.00069466-0.00017359i,0.00019882+0.00032839i,-0.000358+0.00068384i,-0.00017202+0.00066908i,0.00022446+0.00025047i,0.00062761+0.0002289i,0.00066121+0.00040974i,0.00032931+0.00065829i,0.00033415+0.00051941i,0.00015991+0.00032613i,-0.00012438+0.00041417i
0.00078221+0.0014283i,0.0011118+0.0011734i,0.0018124+0.00058482i,0.0013917-2.2096e-05i,0.00069143-0.00019957i,6.4602e-05-0.00018878i,-0.00066507-0.00012806i,-0.0008843+9.415e-05i,-0.00091366-3.3382e-05i,-0.00048906-0.00062733i,3.4138e-05+1.8066e-05i,-0.00021595+0.00040281i,-0.00030666+7.3525e-05i,6.0207e-05+0.00019866i,0.00087502+0.00036601i,0.0014141+2.0512e-05i,0.000759-0.00087374i,-0.000243-0.0010239i,-0.00076005-0.00095043i,-0.00072525-0.00066432i,0.00042884-1.071e-06i,0.00072671+0.00047678i,0.0002394+0.00067522i
0.0013331-0.0003284i,0.0016983-0.00055849i,0.001078-0.00027345i,-0.00013898+0.00044895i,-0.00038301+0.0010253i,0.00017664+0.0010344i,-0.00020204+0.00093822i,-0.00029261+0.00088915i,0.00031502+0.0012516i,0.00020059+0.00099457i,-0.0004575-0.00017985i,-0.00094992-0.00048137i,-0.00056069+2.7111e-05i,0.00046075+9.6286e-05i,0.00062518+0.00032054i,0.00046077+2.8004e-05i,0.00019517-0.00022061i,7.7785e-05-9.7349e-05i,0.00065469-6.9751e-05i,0.00060643-7.0531e-06i,-0.00013395-9.992e-06i,-0.00074569-0.000105i,-0.00046792+0.00015643i
0.0013046-0.00048958i,0.0011568-0.00035477i,0.00029173-0.00060478i,-0.00078388-0.0004251i,-0.0013564+0.00096638i,-0.0011689+0.002305i,-0.00039092+0.0015321i,0.00050533+0.00069132i,0.00070342+1.8225e-05i,0.00048806-2.2032e-05i,0.00062294+0.00037423i,0.00055378+7.5619e-05i,-0.00030982-0.00021103i,-0.00090979-0.00039964i,-0.0011554-0.000217i,-0.0014581+0.00038164i,-0.0010395+2.4563e-05i,-0.00033735-0.0011153i,6.3977e-05-0.0010332i,0.00018248-0.00024392i,0.00056556-0.00032618i,0.0010665-0.00030655i,0.00080289-8.7433e-05i
0.00084539+0.00028259i,0.0023538+5.2783e-05i,0.0024293-0.00046738i,0.0011723-0.0012975i,0.00045334-0.0010695i,-0.00073942-0.00054693i,-0.00075137-0.0002717i,0.00010142-1.0009e-05i,0.00029128-0.00034535i,0.00045309-0.00042923i,0.00057927+0.00013837i,0.0004912+0.00040483i,-0.00044366+0.00019768i,-0.00075966-3.67e-05i,-0.00018002-0.00045174i,0.00036937-0.00045313i,0.00016867-0.00044728i,-0.00013314-0.00045989i,9.127e-05-0.00035824i,0.00061375-0.00068141i,-0.00040244-0.001027i,-0.00068917-0.00048919i,-1.8652e-05+9.2509e-05i
0.00064362+0.00085926i,0.0010492-0.00012505i,0.00091299-0.00077445i,0.0010049+0.00012032i,0.00082908+0.00092182i,0.00047993+0.00038527i,0.00023932+4.3704e-05i,-0.00032444+0.00058189i,-0.0006103+0.00055829i,-0.00039511+0.00080446i,4.6641e-05+0.00014946i,0.00039023-0.00053614i,0.00014037-3.2313e-05i,7.5549e-06+3.8591e-05i,-0.00017809+0.00042317i,4.653e-05+0.00089455i,0.0012418+0.00078497i,0.0010341+0.00067558i,-4.01e-05+0.00083507i,-0.00011766+0.0010162i,0.00036578+0.00071589i,0.00030417-7.1321e-05i,6.284e-05+3.7724e-05i
0.0013689+0.00015298i,0.0018791-0.00048841i,0.0014576+0.00023426i,0.00060762+0.0010289i,-3.6176e-06+0.0012237i,-0.00021271+0.0013236i,-8.9219e-06+0.00038716i,0.00030877-0.00028602i,0.00036836-0.00014342i,0.0002643-0.00043145i,-5.8868e-05-0.00046833i,-0.00027057+0.0002355i,-0.0011029+0.00031144i,-0.0012761+0.00027291i,-0.000816+0.00044845i,-0.00060968+0.00072428i,-0.00052897+0.00022855i,-0.00023997-0.00039939i,8.6364e-05-0.00056181i,0.00028222-0.00019191i,0.00053237+0.0009694i,0.00055551+0.00085859i,8.1035e-05+4.7602e-05i
-0.0015045+0.00056594i,4.1635e-05+0.001909i,0.0006047+0.0020464i,0.00030016+0.0011288i,-0.00083688+0.0010038i,-0.0010855+0.00078832i,-0.00027679+4.8272e-05i,-0.00034997-0.00086016i,-0.00064795-0.0017526i,-0.00025096-0.0017278i,0.00012932-0.00035748i,0.0001174+0.00081095i,4.7765e-05+0.00034151i,-3.7638e-05-0.00042163i,-0.00035041-0.00013557i,-0.00063041-4.0316e-05i,-0.00022945-0.00065323i,0.00036517-0.0005866i,0.00071953-0.00035771i,0.0005267+6.2102e-05i,0.00024105+0.00039792i,-6.8617e-05+0.00020176i,-0.00016071-4.9439e-05i
0.0017827+0.0001362i,0.0024341-0.00095046i,0.0024859-0.00021316i,0.0018578+0.00019711i,0.0015009-0.00022873i,0.00099367+0.00023718i,-0.00021444+0.00046572i,-0.00041293-0.00019617i,0.00030991+0.00011901i,0.00055655+0.00052353i,-4.5629e-06-9.8232e-05i,-0.00066658-0.00054852i,-0.00050213+0.00023783i,-0.00011576+0.00097145i,-0.00011919+0.00096874i,0.00018485+0.00051279i,0.00015225+0.00063647i,-0.00027485+0.00043146i,-0.00054165+0.00019904i,-0.00080416+0.00036963i,2.9312e-05+0.00016098i,0.00054512-0.00023955i,0.00023171+0.00010418i
0.0014919-0.0010097i,0.0022069-0.00070586i,0.001016-0.0012085i,7.9541e-05-0.0016236i,-0.00014347-0.00037571i,5.5941e-05-0.00037108i,7.8097e-05-0.00088145i,-0.00012827-0.00082173i,-0.00019142-0.00077645i,6.5816e-05-0.00090468i,0.00021494-0.00014791i,-0.00014224+0.0005626i,-0.00041083+0.00050336i,-1.502e-05+0.00030282i,0.00050578+0.00035355i,0.00016396+0.00012613i,-0.00030507+0.00032895i,-1.9373e-05+0.00066142i,-0.0001142+0.0007801i,-0.00064711+0.00045369i,-0.00015828+0.00013159i,0.00020779+0.00043423i,1.4967e-05+0.00079207i
-0.00042007+0.0012328i,-2.7085e-05+0.00082269i,-0.00052078+0.0010351i,0.00038441+0.0015056i,0.00057104+0.0016809i,-0.00078658+0.00033348i,-0.00085922-0.00020335i,4.3227e-05-0.00017802i,0.00016866+7.1337e-05i,-9.2562e-05+2.8753e-05i,-0.00033499-5.8725e-05i,-0.0010879+0.00062257i,-0.0020295+0.00053196i,-0.0020094+0.00059364i,-0.00084245+0.0010596i,-0.00029281+0.0009523i,-0.00087452+0.00068745i,-0.0011546+6.8433e-05i,-0.00080572-0.00027923i,-0.00018524-0.00048708i,-0.00034977-0.00068528i,-0.00049522-0.00010777i,-2.4841e-05+0.00036726i
0.00013459+0.00030071i,0.0005089-0.00056057i,0.00056399-0.00097779i,-0.00013276+6.11e-05i,8.2258e-05+0.00071135i,0.00069235+0.00098209i,0.00076098+0.0006307i,0.00073859-8.6836e-05i,0.00079402-4.0423e-05i,0.00076815-0.00022735i,0.00088507-0.00028931i,0.0010876+0.00019083i,0.00063711+0.00041697i,0.00058983+9.4722e-05i,0.00031086+0.00045646i,5.631e-05+0.00059034i,0.00026782-2.8361e-05i,0.00013233-0.00046717i,-0.00024396-0.00052707i,1.7146e-05-0.00043544i,-7.3669e-05-0.00019621i,-0.00050261-0.00056609i,-8.0903e-05-0.00093021i
0.0015011+0.00078275i,0.0019425+0.00028586i,0.001751-0.00031659i,0.00068512-0.00047007i,0.00064496+0.0001416i,0.0013357-0.00011611i,0.00061809+0.00010586i,-0.00042168+0.0011492i,-0.00011814+0.00050941i,0.00056687-0.00071629i,0.00020149-0.00075469i,-0.00055576-0.00083629i,-0.00010617-0.00041673i,0.00047264+0.00056493i,0.00022107+0.0012944i,0.00053517+0.0012641i,0.00083716+0.0005825i,0.00020315+0.00061727i,-0.00064125+0.00068841i,-0.00047494+0.00051409i,-0.00023355+0.00082527i,1.2869e-05+0.00067097i,0.00024106+0.00046413i
-0.00080954+0.00030765i,-0.00042405-0.0003132i,-0.0013335-0.00027168i,-0.0010904+0.00058101i,-0.00045588+0.000675i,-0.0010427+0.0007791i,-0.00094468+0.00020701i,-0.0011092-0.00095439i,-0.00073232-0.001021i,0.00025029-0.00011369i,0.00038441+0.00022272i,-0.00025184-0.00030068i,-0.00050577-0.00048765i,-6.3812e-05+3.8248e-05i,-9.7725e-05+0.0006022i,-0.00035344+0.00054174i,0.00022344+0.00071339i,0.00036694+0.00085065i,-0.0005554+0.00035958i,-0.00088548+0.0001813i,-8.9298e-06+0.0001625i,0.00059345+0.00062089i,0.000422+0.00064629i
3.2749e-05+0.00085752i,6.9842e-06+0.00057806i,-0.00094435+0.00078184i,-0.0010122+0.0017651i,-0.0012937+0.0023712i,-0.00096774+0.0013803i,0.00018737-8.8546e-05i,-6.0153e-05-0.00061736i,-0.00096177+0.00014048i,-0.00045922+0.0010467i,-5.1018e-07+0.00039107i,0.00055912-0.00026301i,0.00081203-0.00048361i,0.00033662-0.00047967i,3.647e-05+0.00026134i,-0.00013689+0.00049264i,-0.00055444+5.5066e-05i,-0.00036627+0.00020959i,-0.00014443+0.00043201i,-0.00033072+0.00084163i,-0.00046814+0.00050341i,-0.00048806+0.00016819i,-0.00075812+0.00082061i
0.0016328+0.00073081i,0.002018-0.00040211i,0.0022962-0.0014099i,0.0015512-0.0013765i,0.00022822-0.00051567i,-0.00065165+0.00031311i,-0.00084435+0.0005607i,-0.0011859+0.00046132i,-0.00089324-0.0002645i,0.00021489-0.00061038i,0.00017701-4.6168e-05i,-0.00038259+0.00020278i,-0.00037515+0.00050496i,-0.00034048+0.001339i,-0.00034421+0.0010912i,-0.00013208-1.8099e-05i,-0.00017672+0.00035904i,-0.00034838+0.00052576i,0.00020375-0.00024368i,0.00069923-3.752e-05i,0.00023537+0.00039159i,-0.0001917+0.00055556i,5.4975e-05+0.0006437i
